childid	planid	plan	nplan
PE031064	1	1	10
PE031064	2	88	88
PE031067	1	1	10
PE031067	2	88	4
PE031078	1	1	10
PE031078	2	88	4
PE031077	1	1	10
PE031077	2	88	88
PE031092	1	10	88
PE031092	2	4	88
PE031083	1	1	10
PE031083	2	88	4
PE031087	1	1	10
PE031087	2	88	88
PE031095	1	1	10
PE031095	2	88	4
PE031098	1	1	6
PE031098	2	88	4
PE031018	1	1	10
PE031018	2	88	88
PE031001	1	4	88
PE031001	2	88	88
PE031008	1	4	88
PE031008	2	88	88
PE031009	1	1	10
PE031009	2	88	88
PE031020	1	10	88
PE031020	2	88	88
PE031022	1	1	6
PE031022	2	88	88
PE031031	1	1	8
PE031031	2	88	88
PE031032	1	1	10
PE031032	2	88	88
PE031061	1	1	10
PE031061	2	88	88
PE031048	1	10	88
PE031048	2	88	88
PE031049	1	10	88
PE031049	2	88	88
PE031063	1	88	10
PE031063	2	88	88
PE031073	1	8	88
PE031073	2	88	88
PE031074	1	10	88
PE031074	2	88	88
PE031085	1	1	2
PE031085	2	88	88
PE031079	1	10	88
PE031079	2	88	88
PE031082	1	1	6
PE031082	2	88	88
PE031089	1	1	10
PE031089	2	88	88
PE031093	1	1	4
PE031093	2	88	88
PE031096	1	10	88
PE031096	2	88	88
PE031099	1	1	10
PE031099	2	88	88
PE031028	1	10	88
PE031028	2	88	88
PE031012	1	4	88
PE031012	2	88	88
PE031016	1	4	88
PE031016	2	88	88
PE031017	1	88	2
PE031017	2	88	88
PE031100	1	10	88
PE031100	2	88	88
PE031044	1	7	88
PE031044	2	88	88
PE031101	1	1	2
PE031101	2	88	88
PE031030	1	88	4
PE031030	2	88	88
PE031038	1	1	4
PE031038	2	88	88
PE031033	1	1	7
PE031033	2	88	88
PE031054	1	1	2
PE031054	2	88	88
PE031045	1	1	8
PE031045	2	88	88
PE031059	1	2	88
PE031059	2	8	88
PE031058	1	4	88
PE031058	2	88	88
PE031065	1	88	4
PE031065	2	88	88
PE031069	1	88	4
PE031069	2	88	88
PE031075	1	4	88
PE031075	2	10	88
PE031072	1	4	88
PE031072	2	10	88
PE031084	1	1	4
PE031084	2	88	88
PE031091	1	10	88
PE031091	2	88	88
PE031002	1	6	88
PE031002	2	88	88
PE031006	1	1	10
PE031006	2	88	4
PE031004	1	10	88
PE031004	2	4	88
PE031011	1	4	88
PE031011	2	88	88
PE031015	1	1	4
PE031015	2	88	10
PE031026	1	1	8
PE031026	2	88	88
PE031027	1	1	2
PE031027	2	88	88
PE031043	1	1	10
PE031043	2	88	6
PE031029	1	1	2
PE031029	2	88	88
PE031036	1	1	10
PE031036	2	88	88
PE031039	1	6	88
PE031039	2	88	88
PE031050	1	10	88
PE031050	2	4	88
PE031060	1	6	88
PE031060	2	88	88
PE031068	1	6	88
PE031068	2	88	88
PE031076	1	1	2
PE031076	2	88	88
PE031097	1	88	1
PE031097	2	88	88
PE031090	1	1	3
PE031090	2	88	88
PE031088	1	4	88
PE031088	2	88	88
PE031094	1	1	2
PE031094	2	88	88
PE031007	1	10	88
PE031007	2	88	88
PE031053	1	4	88
PE031053	2	88	88
PE031013	1	1	10
PE031013	2	88	88
PE031014	1	10	88
PE031014	2	88	88
PE031021	1	4	88
PE031021	2	6	88
PE031019	1	10	88
PE031019	2	88	88
PE031040	1	10	88
PE031040	2	10	88
PE031041	1	10	88
PE031041	2	88	88
PE031034	1	1	1
PE031034	2	88	88
PE031037	1	10	88
PE031037	2	88	88
PE031052	1	4	88
PE031052	2	88	88
PE031051	1	10	88
PE031051	2	88	88
PE031056	1	10	88
PE031056	2	88	88
PE031066	1	6	88
PE031066	2	88	88
PE031070	1	10	88
PE031070	2	88	88
PE031071	1	88	1
PE031071	2	88	88
PE031080	1	10	88
PE031080	2	88	88
PE031086	1	1	10
PE031086	2	88	88
PE031081	1	10	88
PE031081	2	88	88
PE041033	1	1	4
PE041033	2	88	10
PE041032	1	1	10
PE041032	2	88	88
PE041031	1	1	10
PE041031	2	88	4
PE041047	1	1	10
PE041047	2	88	88
PE041048	1	1	10
PE041048	2	88	10
PE041057	1	1	4
PE041057	2	88	10
PE041038	1	1	2
PE041038	2	88	3
PE041060	1	1	10
PE041060	2	88	10
PE041063	1	1	4
PE041063	2	88	88
PE041052	1	10	88
PE041052	2	6	88
PE041084	1	1	2
PE041084	2	88	88
PE041087	1	1	4
PE041087	2	88	88
PE041089	1	1	6
PE041089	2	88	4
PE041092	1	1	4
PE041092	2	88	88
PE041094	1	4	88
PE041094	2	88	88
PE041097	1	1	4
PE041097	2	88	88
PE041096	1	10	88
PE041096	2	10	88
PE041036	1	1	1
PE041036	2	88	88
PE041037	1	6	88
PE041037	2	88	88
PE041028	1	1	1
PE041028	2	88	88
PE041064	1	1	1
PE041064	2	88	88
PE041054	1	1	1
PE041054	2	88	88
PE041029	1	1	1
PE041029	2	88	88
PE041065	1	1	1
PE041065	2	88	88
PE041051	1	4	88
PE041051	2	88	88
PE041045	1	8	88
PE041045	2	88	88
PE041085	1	4	88
PE041085	2	88	88
PE041088	1	1	1
PE041088	2	88	88
PE041090	1	1	1
PE041090	2	88	88
PE041093	1	1	1
PE041093	2	88	88
PE041098	1	1	1
PE041098	2	88	88
PE041081	1	1	1
PE041081	2	88	88
PE041027	1	10	88
PE041027	2	88	88
PE041025	1	1	1
PE041025	2	88	88
PE041022	1	10	88
PE041022	2	6	88
PE041068	1	1	4
PE041068	2	88	88
PE041072	1	2	88
PE041072	2	88	88
PE041070	1	1	1
PE041070	2	88	88
PE041049	1	1	2
PE041049	2	88	88
PE041039	1	1	2
PE041039	2	88	88
PE041056	1	1	2
PE041056	2	88	88
PE041040	1	6	88
PE041040	2	88	88
PE041030	1	1	3
PE041030	2	88	88
PE041053	1	1	2
PE041053	2	88	88
PE041083	1	1	2
PE041083	2	88	88
PE041075	1	4	88
PE041075	2	88	88
PE041079	1	1	10
PE041079	2	88	88
PE041042	1	1	2
PE041042	2	88	3
PE041044	1	6	88
PE041044	2	88	88
PE041078	1	1	10
PE041078	2	88	88
PE041059	1	1	4
PE041059	2	88	88
PE041041	1	2	88
PE041041	2	88	88
PE041061	1	1	2
PE041061	2	88	88
PE041003	1	1	2
PE041003	2	88	88
PE041007	1	1	4
PE041007	2	88	88
PE041101	1	10	88
PE041101	2	88	88
PE041011	1	4	88
PE041011	2	88	88
PE041099	1	4	88
PE041099	2	88	88
PE041014	1	4	88
PE041014	2	88	88
PE041012	1	1	2
PE041012	2	88	88
PE041100	1	1	10
PE041100	2	88	88
PE041002	1	4	88
PE041002	2	88	88
PE041001	1	4	88
PE041001	2	88	88
PE041024	1	4	88
PE041024	2	3	88
PE041069	1	4	88
PE041069	2	88	88
PE041071	1	4	88
PE041071	2	88	88
PE041006	1	1	4
PE041006	2	88	88
PE041066	1	1	4
PE041066	2	88	88
PE041010	1	1	1
PE041010	2	88	88
PE041008	1	4	88
PE041008	2	88	88
PE041073	1	1	1
PE041073	2	88	88
PE041023	1	1	1
PE041023	2	88	88
PE041018	1	1	4
PE041018	2	88	88
PE041074	1	1	1
PE041074	2	88	88
PE041015	1	1	4
PE041015	2	88	88
PE041076	1	1	1
PE041076	2	88	88
PE041017	1	4	88
PE041017	2	88	88
PE041013	1	1	4
PE041013	2	88	88
PE041035	1	10	88
PE041035	2	88	88
PE041026	1	1	2
PE041026	2	88	7
PE041058	1	1	4
PE041058	2	88	88
PE041021	1	1	4
PE041021	2	88	2
PE041034	1	6	88
PE041034	2	88	88
PE041043	1	4	88
PE041043	2	88	88
PE041046	1	1	10
PE041046	2	88	88
PE041050	1	1	7
PE041050	2	88	88
PE041067	1	1	2
PE041067	2	88	88
PE041055	1	6	88
PE041055	2	88	88
PE041082	1	4	88
PE041082	2	88	88
PE041080	1	1	3
PE041080	2	88	2
PE041077	1	6	88
PE041077	2	88	88
PE041062	1	2	88
PE041062	2	88	88
PE041004	1	1	2
PE041004	2	88	88
PE041005	1	10	88
PE041005	2	88	88
PE041019	1	1	4
PE041019	2	88	88
PE041020	1	10	88
PE041020	2	4	88
PE041009	1	4	88
PE041009	2	6	88
PE041016	1	1	4
PE041016	2	88	88
PE041086	1	10	88
PE041086	2	88	88
PE041091	1	4	88
PE041091	2	6	88
PE041095	1	88	4
PE041095	2	88	88
PE051001	1	1	4
PE051001	2	88	10
PE051026	1	1	4
PE051026	2	88	10
PE051027	1	1	10
PE051027	2	88	3
PE051045	1	1	2
PE051045	2	88	88
PE051019	1	10	88
PE051019	2	10	88
PE051022	1	1	10
PE051022	2	88	2
PE051016	1	1	10
PE051016	2	88	88
PE051015	1	1	1
PE051015	2	88	88
PE051033	1	1	10
PE051033	2	88	10
PE051048	1	10	88
PE051048	2	6	88
PE051060	1	1	10
PE051060	2	88	4
PE051059	1	1	4
PE051059	2	88	10
PE051068	1	10	88
PE051068	2	4	88
PE051073	1	1	6
PE051073	2	88	88
PE051104	1	1	4
PE051104	2	88	88
PE051093	1	1	6
PE051093	2	88	88
PE051081	1	10	88
PE051081	2	4	88
PE051079	1	1	6
PE051079	2	88	4
PE051089	1	1	4
PE051089	2	88	3
PE051088	1	1	1
PE051088	2	88	88
PE051011	1	10	88
PE051011	2	88	88
PE051047	1	5	88
PE051047	2	88	88
PE051018	1	1	3
PE051018	2	88	88
PE051041	1	1	2
PE051041	2	88	88
PE051024	1	10	88
PE051024	2	88	88
PE051028	1	1	1
PE051028	2	88	88
PE051014	1	10	88
PE051014	2	88	88
PE051034	1	1	2
PE051034	2	88	88
PE051032	1	4	88
PE051032	2	88	88
PE051062	1	1	1
PE051062	2	88	88
PE051061	1	2	88
PE051061	2	10	88
PE051066	1	4	88
PE051066	2	88	88
PE051070	1	4	88
PE051070	2	88	88
PE051080	1	10	88
PE051080	2	88	88
PE051078	1	1	4
PE051078	2	88	88
PE051087	1	5	88
PE051087	2	88	88
PE051095	1	4	88
PE051095	2	88	88
PE051105	1	10	88
PE051105	2	88	88
PE051097	1	1	10
PE051097	2	88	4
PE051003	1	1	10
PE051003	2	88	6
PE051038	1	1	6
PE051038	2	88	88
PE051044	1	4	88
PE051044	2	10	88
PE051012	1	4	88
PE051012	2	88	88
PE051013	1	6	88
PE051013	2	8	88
PE051020	1	1	8
PE051020	2	88	88
PE051023	1	1	2
PE051023	2	88	88
PE051037	1	1	6
PE051037	2	88	6
PE051030	1	1	6
PE051030	2	88	10
PE051052	1	1	1
PE051052	2	88	88
PE051046	1	4	88
PE051046	2	88	88
PE051069	1	10	88
PE051069	2	88	88
PE051067	1	10	88
PE051067	2	88	88
PE051092	1	1	2
PE051092	2	88	4
PE051082	1	10	88
PE051082	2	88	88
PE051083	1	10	88
PE051083	2	4	88
PE051090	1	8	88
PE051090	2	88	88
PE051086	1	4	88
PE051086	2	88	88
PE051094	1	1	8
PE051094	2	88	88
PE051002	1	1	2
PE051002	2	88	88
PE051006	1	3	88
PE051006	2	6	88
PE051005	1	1	2
PE051005	2	88	88
PE051009	1	10	88
PE051009	2	4	88
PE051040	1	4	88
PE051040	2	88	88
PE051043	1	10	88
PE051043	2	88	88
PE051017	1	2	88
PE051017	2	10	88
PE051036	1	10	88
PE051036	2	4	88
PE051025	1	4	88
PE051025	2	10	88
PE051063	1	10	88
PE051063	2	88	88
PE051051	1	88	2
PE051051	2	88	88
PE051057	1	88	1
PE051057	2	88	88
PE051084	1	88	10
PE051084	2	88	88
PE051074	1	1	2
PE051074	2	88	88
PE051065	1	1	5
PE051065	2	88	88
PE051075	1	1	10
PE051075	2	88	88
PE051091	1	10	88
PE051091	2	7	88
PE051103	1	10	88
PE051103	2	88	88
PE051100	1	10	88
PE051100	2	88	88
PE051098	1	2	88
PE051098	2	88	88
PE051004	1	10	88
PE051004	2	10	88
PE051007	1	6	88
PE051007	2	10	88
PE051008	1	10	88
PE051008	2	10	88
PE051039	1	1	10
PE051039	2	88	88
PE051010	1	10	88
PE051010	2	88	88
PE051021	1	10	88
PE051021	2	10	88
PE051029	1	10	88
PE051029	2	88	88
PE051031	1	10	88
PE051031	2	10	88
PE051035	1	10	88
PE051035	2	88	88
PE051042	1	1	4
PE051042	2	88	88
PE051049	1	1	10
PE051049	2	88	88
PE051050	1	7	88
PE051050	2	88	88
PE051056	1	4	88
PE051056	2	88	88
PE051058	1	6	88
PE051058	2	88	88
PE051064	1	1	4
PE051064	2	88	88
PE051077	1	1	4
PE051077	2	88	88
PE051072	1	10	88
PE051072	2	88	88
PE051071	1	1	4
PE051071	2	88	88
PE051076	1	4	88
PE051076	2	88	88
PE051102	1	10	88
PE051102	2	88	88
PE051085	1	1	1
PE051085	2	88	88
PE051099	1	1	1
PE051099	2	88	88
PE051101	1	10	88
PE051101	2	88	88
PE061002	1	1	2
PE061002	2	88	88
PE061017	1	88	8
PE061017	2	88	88
PE061004	1	1	1
PE061004	2	88	88
PE061005	1	88	2
PE061005	2	88	88
PE061003	1	88	4
PE061003	2	88	88
PE061001	1	1	10
PE061001	2	88	10
PE061006	1	1	4
PE061006	2	88	88
PE061008	1	1	10
PE061008	2	88	88
PE061014	1	1	10
PE061014	2	88	6
PE061013	1	4	88
PE061013	2	10	88
PE061015	1	4	88
PE061015	2	88	88
PE061100	1	1	4
PE061100	2	88	88
PE061009	1	10	88
PE061009	2	88	88
PE061025	1	2	88
PE061025	2	88	88
PE061019	1	4	88
PE061019	2	88	88
PE061026	1	2	88
PE061026	2	88	88
PE061020	1	1	3
PE061020	2	88	88
PE061024	1	1	4
PE061024	2	88	88
PE061102	1	10	88
PE061102	2	4	88
PE061021	1	2	88
PE061021	2	88	88
PE061069	1	88	2
PE061069	2	88	88
PE061060	1	88	3
PE061060	2	88	88
PE061050	1	88	2
PE061050	2	88	88
PE061034	1	1	10
PE061034	2	88	88
PE061043	1	1	4
PE061043	2	88	88
PE061042	1	2	88
PE061042	2	88	88
PE061041	1	4	88
PE061041	2	88	88
PE061052	1	1	4
PE061052	2	88	88
PE061053	1	10	88
PE061053	2	88	88
PE061091	1	1	4
PE061091	2	88	2
PE061054	1	10	88
PE061054	2	88	88
PE061085	1	1	4
PE061085	2	88	88
PE061101	1	4	88
PE061101	2	88	88
PE061088	1	2	88
PE061088	2	88	88
PE061044	1	10	88
PE061044	2	88	88
PE061093	1	4	88
PE061093	2	88	88
PE061089	1	1	1
PE061089	2	88	88
PE061090	1	4	88
PE061090	2	2	88
PE061087	1	1	1
PE061087	2	88	88
PE061086	1	1	1
PE061086	2	88	88
PE061016	1	1	10
PE061016	2	88	88
PE061011	1	1	4
PE061011	2	88	88
PE061012	1	1	8
PE061012	2	88	88
PE061010	1	1	4
PE061010	2	88	88
PE061022	1	88	4
PE061022	2	88	88
PE061007	1	10	88
PE061007	2	88	88
PE061023	1	1	4
PE061023	2	88	4
PE061018	1	1	4
PE061018	2	88	88
PE061027	1	1	4
PE061027	2	88	88
PE061049	1	1	4
PE061049	2	88	88
PE061037	1	1	4
PE061037	2	88	88
PE061055	1	1	4
PE061055	2	88	88
PE061040	1	3	88
PE061040	2	88	88
PE061056	1	4	88
PE061056	2	88	88
PE061039	1	10	88
PE061039	2	88	88
PE061032	1	4	88
PE061032	2	88	88
PE061033	1	10	88
PE061033	2	88	88
PE061036	1	1	10
PE061036	2	88	88
PE061045	1	1	1
PE061045	2	88	88
PE061048	1	7	88
PE061048	2	88	88
PE061062	1	4	88
PE061062	2	88	88
PE061061	1	10	88
PE061061	2	88	88
PE061064	1	1	10
PE061064	2	88	4
PE061065	1	6	88
PE061065	2	88	88
PE061076	1	10	88
PE061076	2	88	88
PE061066	1	1	4
PE061066	2	88	88
PE061077	1	10	88
PE061077	2	88	88
PE061081	1	1	1
PE061081	2	88	88
PE061084	1	1	10
PE061084	2	88	4
PE061096	1	1	2
PE061096	2	88	88
PE061082	1	6	88
PE061082	2	10	88
PE061080	1	1	8
PE061080	2	88	2
PE061099	1	1	4
PE061099	2	88	88
PE061095	1	1	3
PE061095	2	88	88
PE061094	1	10	88
PE061094	2	88	88
PE061103	1	4	88
PE061103	2	88	88
PE061097	1	4	88
PE061097	2	88	88
PE061092	1	1	4
PE061092	2	88	88
PE061035	1	1	6
PE061035	2	88	88
PE061029	1	4	88
PE061029	2	88	88
PE061028	1	1	4
PE061028	2	88	6
PE061070	1	1	4
PE061070	2	88	88
PE061058	1	10	88
PE061058	2	88	88
PE061031	1	10	88
PE061031	2	88	88
PE061046	1	10	88
PE061046	2	88	88
PE061067	1	1	4
PE061067	2	88	88
PE061047	1	1	2
PE061047	2	88	88
PE061038	1	10	88
PE061038	2	88	88
PE061068	1	88	8
PE061068	2	88	88
PE061057	1	1	2
PE061057	2	88	88
PE061075	1	10	88
PE061075	2	88	88
PE061051	1	1	1
PE061051	2	88	88
PE061059	1	4	88
PE061059	2	88	88
PE061063	1	1	8
PE061063	2	88	3
PE061073	1	10	88
PE061073	2	88	88
PE061074	1	88	3
PE061074	2	88	88
PE061071	1	88	7
PE061071	2	88	88
PE061072	1	10	88
PE061072	2	88	88
PE061078	1	88	2
PE061078	2	88	88
PE061079	1	88	6
PE061079	2	88	88
PE061083	1	4	88
PE061083	2	88	88
PE061098	1	1	4
PE061098	2	88	88
PE071048	1	1	1
PE071048	2	88	88
PE071009	1	4	88
PE071009	2	88	88
PE071014	1	1	1
PE071014	2	88	88
PE071074	1	1	1
PE071074	2	88	88
PE071069	1	1	4
PE071069	2	88	88
PE071057	1	10	88
PE071057	2	10	88
PE071061	1	4	88
PE071061	2	88	88
PE071055	1	1	1
PE071055	2	88	88
PE071068	1	88	4
PE071068	2	88	88
PE071084	1	10	88
PE071084	2	88	88
PE071099	1	1	1
PE071099	2	88	88
PE071098	1	1	1
PE071098	2	88	88
PE071082	1	1	1
PE071082	2	88	88
PE071093	1	8	88
PE071093	2	88	88
PE071097	1	1	4
PE071097	2	88	88
PE071101	1	1	5
PE071101	2	88	88
PE071063	1	88	2
PE071063	2	88	88
PE071088	1	1	2
PE071088	2	88	3
PE071080	1	4	88
PE071080	2	88	88
PE071076	1	1	2
PE071076	2	88	3
PE071077	1	1	2
PE071077	2	88	3
PE071091	1	1	1
PE071091	2	88	88
PE071070	1	1	1
PE071070	2	88	88
PE071018	1	1	1
PE071018	2	88	88
PE071106	1	1	2
PE071106	2	88	3
PE071104	1	1	1
PE071104	2	88	88
PE071027	1	1	1
PE071027	2	88	88
PE071020	1	1	1
PE071020	2	88	88
PE071049	1	5	88
PE071049	2	88	88
PE071041	1	1	2
PE071041	2	88	88
