childid	caid	who	timecare	paycare
PE141092	1	1	1	2
PE141092	2	1	1	2
PE141093	1	1	1	2
PE141093	2	1	1	2
PE141102	1	1	1	2
PE141104	1	1	1	2
PE151005	1	1	1	2
PE151008	1	1	1	2
PE151017	1	1	1	2
PE151038	1	2	1	2
PE151043	1	1	1	2
PE151047	1	1	1	2
PE151049	1	1	2	2
PE151052	1	1	1	2
PE151064	1	1	1	2
PE151065	1	1	4	2
PE151068	1	1	4	2
PE151070	1	1	4	2
PE151073	1	1	4	2
PE151077	1	1	4	1
PE151078	1	3	4	1
PE151078	2	1	4	2
PE151104	1	1	1	1
PE151110	1	1	1	1
PE151110	2	1	1	1
PE161011	1	1	1	2
PE161022	1	1	4	2
PE161023	1	1	4	2
PE161031	1	1	1	1
PE161040	1	1	4	2
PE161050	1	1	1	2
PE161051	1	1	1	2
PE161052	1	2	1	1
PE161067	1	1	4	2
PE161068	1	1	4	2
PE161076	1	1	4	2
PE171008	1	1	4	1
PE171016	1	3	4	1
PE171020	1	1	1	1
PE171028	1	1	4	2
PE171029	1	1	1	2
PE171032	1	1	4	2
PE171038	1	1	4	1
PE171040	1	1	1	1
PE171055	1	1	1	2
PE171060	1	1	4	1
PE171065	1	2	4	1
PE171066	1	1	1	2
PE171076	1	1	1	2
PE171081	1	1	1	2
PE171085	1	1	1	2
PE171085	2	1	1	2
PE171097	1	1	1	2
PE171103	1	1	4	2
PE171106	1	1	4	2
PE181002	1	1	4	2
PE181003	1	1	1	2
PE181004	1	1	4	2
PE181014	1	1	1	2
PE181022	1	1	4	1
PE181028	1	1	4	2
PE181049	1	1	4	2
PE181051	1	1	4	2
PE181053	1	1	4	2
PE181069	1	1	4	2
PE181089	1	2	1	1
PE181091	1	1	4	2
PE191003	1	1	1	2
PE191005	1	1	4	1
PE191020	1	2	1	1
PE191021	1	1	4	2
PE191025	1	1	1	1
PE191027	1	1	1	2
PE191031	1	1	1	2
PE191031	2	1	1	2
PE191032	1	1	1	2
PE191041	1	1	3	1
PE191042	1	1	1	2
PE191043	1	3	1	1
PE191045	1	3	1	1
PE191049	1	1	3	1
PE191054	1	1	2	2
PE191056	1	1	1	2
PE191058	1	3	1	2
PE191060	1	1	3	2
PE191063	1	2	1	1
PE191065	1	1	4	2
PE191067	1	1	4	2
PE191068	1	1	1	1
PE191069	1	1	4	2
PE191072	1	1	3	2
PE191076	1	1	1	2
PE191084	1	1	3	2
PE191088	1	1	3	1
PE191089	1	1	3	2
PE191092	1	1	1	2
PE191093	1	1	1	2
PE191094	1	1	1	2
PE191094	2	1	1	2
PE191096	1	1	1	2
PE191104	1	1	1	1
PE201003	1	1	1	2
PE201004	1	1	3	2
PE201007	1	1	1	1
PE201007	2	1	1	2
PE201011	1	1	2	2
PE201014	1	1	1	2
PE201024	1	1	1	2
PE201038	1	1	2	2
PE201038	2	2	1	1
PE201039	1	1	1	1
PE201039	2	1	1	2
PE201039	3	2	2	1
PE201058	1	1	1	2
PE201069	1	1	1	2
PE201070	1	2	1	2
PE201077	1	1	1	2
PE201089	1	1	1	2
PE201095	1	3	1	2
PE201098	1	1	1	2
PE201099	1	1	1	2
