childid	plot	larea	lown	luse	luse1
PE051004	2	40000	1	1	88
PE051005	1	10000	4	1	88
PE051006	1	50000	4	1	2
PE051008	1	20000	4	1	88
PE051009	1	10000	4	1	88
PE051009	2	10000	1	1	88
PE051011	1	110000	4	1	2
PE051012	1	10000	2	1	2
PE051012	2	20000	3	1	88
PE051013	1	30000	4	1	88
PE051013	2	10000	3	1	88
PE051015	1	20000	4	1	4
PE051015	2	10000	4	1	2
PE051015	3	5000	4	1	88
PE051016	1	60000	4	1	2
PE051017	1	25500	1	1	88
PE051018	1	20000	4	1	2
PE051019	1	10000	2	1	88
PE051020	1	20000	4	1	88
PE051021	1	20000	4	1	88
PE051021	2	15000	1	1	88
PE051022	1	30000	1	1	88
PE051023	1	100000	4	1	88
PE051024	1	50000	4	1	88
PE051025	1	400000	4	1	88
PE051026	1	10000	4	4	88
PE051026	2	5000	4	4	2
PE051027	1	40000	4	1	88
PE051027	2	10000	4	1	88
PE051028	1	50000	4	1	88
PE051029	1	50000	4	1	2
PE051029	2	2000	4	1	88
PE051030	1	30000	4	1	2
PE051031	1	20000	4	1	88
PE051032	1	13000	4	1	88
PE051033	1	5000	4	1	88
PE051034	1	15000	4	1	88
PE051035	1	10000	4	1	88
PE051036	1	10000	4	1	88
PE051037	1	140000	4	1	88
PE051038	1	5600	4	1	88
PE051039	1	15000	4	1	88
PE051040	1	10000	4	1	88
PE051041	1	15000	1	1	88
PE051043	1	20000	4	1	88
PE051044	1	5000	4	1	88
PE051044	2	5000	4	7	88
PE051044	3	2500	2	1	88
PE051045	1	80000	4	1	7
PE051046	1	5000	4	1	88
PE051048	1	10000	4	1	7
PE051049	1	20000	4	1	88
PE051050	1	15000	4	1	2
PE051051	1	10000	4	1	88
PE051051	2	30000	4	1	88
PE051052	1	20000	3	1	88
PE051057	1	40000	4	1	2
PE051058	1	200000	4	1	2
PE051058	2	150000	4	3	88
PE051059	1	15000	4	1	7
PE051060	1	10000	4	1	7
PE051061	1	40000	4	1	88
PE051062	1	30000	4	1	2
PE051064	1	20000	4	1	88
PE051064	2	30000	4	3	88
PE051068	1	30000	4	1	3
PE051068	2	10000	4	1	7
PE051068	3	20000	4	7	88
PE051069	1	20000	4	1	88
PE051071	1	10000	4	1	88
PE051073	1	5000	2	1	7
PE051075	1	30000	4	1	88
PE051076	1	5000	4	1	88
PE051077	1	15000	4	1	88
PE051078	1	40000	4	1	2
PE051079	1	20000	4	3	7
PE051079	2	10000	3	1	88
PE051080	1	10000	1	1	88
PE051080	2	5000	3	1	88
PE051081	1	10000	4	1	7
PE051082	1	10000	4	7	88
PE051082	2	160	4	1	88
PE051082	3	1000	2	1	88
PE051083	1	10000	4	1	88
PE051083	2	1000	2	1	88
PE051084	1	70000	4	1	7
PE051085	1	10000	4	6	88
PE051086	1	10000	4	1	88
PE051086	2	5000	4	1	88
PE051086	3	5000	2	1	88
PE051087	1	30000	4	1	88
PE051089	1	7500	4	1	7
PE051090	1	150000	4	1	88
PE051091	1	5000	4	1	88
PE051092	1	50000	4	7	88
PE051092	2	20000	3	1	88
PE051093	1	100000	4	1	7
PE051093	2	20000	4	1	7
PE051093	3	10000	4	1	7
PE051094	1	10000	4	1	88
PE051095	1	50000	4	1	2
PE051097	1	20000	4	1	7
PE051097	2	10000	4	1	7
PE051098	1	15000	4	1	88
PE051099	1	40000	4	7	88
PE051101	1	30000	4	1	88
PE051102	1	10000	4	1	88
PE051104	1	60000	4	1	88
PE051104	2	20000	2	2	7
PE061001	1	20000	4	1	88
PE061007	1	20000	4	7	88
PE061012	1	5000	4	1	88
PE061019	1	70000	4	7	88
PE061028	1	5000	2	1	88
PE061035	1	10000	4	1	88
PE061047	1	30000	4	1	88
PE061048	1	70000	4	1	88
PE061049	1	70000	4	1	88
PE061054	1	7500	1	1	88
PE061068	1	50000	4	1	88
PE061075	1	10000	1	1	88
PE061079	1	40000	4	1	88
PE061080	1	120000	4	1	3
PE061084	1	10000	4	1	88
PE061093	1	15000	1	1	88
PE061097	1	100	4	1	88
PE061103	1	300000	4	1	88
PE071007	1	250	4	7	88
PE071012	1	10000	4	4	88
PE071015	1	118	4	7	88
PE071021	1	2000	1	1	2
PE071030	1	10000	3	1	2
PE071032	1	1000	4	1	4
PE071037	1	80000	4	1	2
PE071043	1	10	1	7	88
PE071049	1	220	4	4	88
PE071054	1	10000	3	1	88
PE071056	1	200	4	3	88
PE071057	1	280	4	4	88
PE071061	1	500	4	1	4
PE071061	2	500	4	1	88
PE071061	3	500	4	1	88
PE071061	4	500	4	1	88
PE071062	1	30000	4	1	88
PE071062	2	40000	4	7	88
PE071064	1	25	4	1	88
PE071074	1	600	4	4	88
PE071079	1	50	4	4	88
PE071082	1	130	4	7	7
PE071083	1	30000	4	1	4
PE071087	1	10000	4	1	88
PE071087	2	5000	3	1	88
PE071100	1	100	4	4	88
PE081012	1	300	4	7	88
PE081013	1	10	4	5	88
PE081023	1	4000	4	1	88
PE081031	1	280	4	7	88
PE081059	1	5000	4	7	88
PE081067	1	10000	1	1	88
PE081077	1	48	4	4	88
PE081080	1	270	4	4	88
PE081091	1	108	4	4	88
PE091001	1	10000	4	7	2
PE091001	2	80	4	1	2
PE091002	1	300	3	1	88
PE091002	2	2800	4	2	88
PE091003	1	2000	3	1	88
PE091003	2	500	4	2	88
PE091004	1	10000	3	1	2
PE091004	2	5000	3	1	2
PE091005	1	2500	1	1	88
PE091005	2	2500	1	1	88
PE091005	3	2500	1	1	88
PE091005	4	3250	3	1	88
PE091005	5	2500	3	1	88
PE091006	1	350	3	1	2
PE091007	1	2500	4	1	2
PE091007	2	5000	4	1	2
PE091008	1	2500	2	1	2
PE091009	1	1000	4	1	88
PE091011	1	5000	4	1	88
PE091012	1	2500	3	1	88
PE091013	1	2500	3	1	88
PE091014	1	10000	4	1	88
PE091015	1	5000	3	1	2
PE091016	1	1250	4	1	88
PE091017	1	2500	4	1	2
PE091017	2	2500	4	1	2
PE091017	3	2500	4	1	2
PE091017	4	3750	3	1	2
PE091017	5	5000	3	1	2
PE091018	1	2000	4	1	88
PE091019	1	1250	4	1	88
PE091019	2	2500	3	1	88
PE091020	1	1250	4	1	4
PE091021	1	500	4	1	88
PE091022	1	500	4	1	88
PE091022	2	500	4	1	88
PE091022	3	500	4	1	88
PE091022	4	250	4	1	88
PE091022	5	250	4	1	88
PE091022	6	1000	4	1	88
PE091023	1	2500	3	1	88
PE091024	1	1000	4	1	2
PE091024	2	1000	4	1	2
PE091025	1	100	3	1	2
PE091025	2	100	3	1	2
PE091025	3	100	3	1	2
PE091025	4	100	3	1	2
PE091025	5	200	3	1	2
PE091025	6	200	3	1	2
PE091025	7	200	3	1	2
PE091026	1	100	3	1	88
PE091027	1	150	4	1	2
PE091029	1	5000	3	1	88
PE091030	1	2500	4	1	2
PE091031	1	90	2	4	88
PE091033	1	900	4	1	2
PE091035	1	300	4	1	2
PE091036	1	5000	3	1	2
PE091037	1	5000	4	1	4
PE091038	1	2500	3	1	2
PE091039	1	400	4	1	88
PE091040	1	1250	4	1	2
PE091041	1	500	4	1	88
PE091043	1	2500	4	1	2
PE091043	2	2500	4	7	2
PE091043	3	2500	4	1	2
PE091044	1	2500	4	1	2
PE091045	1	1250	2	1	88
PE091048	1	6	4	1	88
PE091049	1	2500	3	1	2
PE091050	1	2500	4	1	88
PE091051	1	2500	4	1	2
PE091051	2	1250	3	1	2
PE091052	1	2500	4	1	2
PE091053	1	200	4	1	2
PE091054	1	2500	4	1	2
PE091055	1	100	4	1	2
PE091055	2	100	4	1	2
PE091055	3	100	4	1	2
PE091055	4	100	4	1	2
PE091057	1	2500	4	1	7
PE091058	1	1250	3	1	88
PE091059	1	2500	4	1	2
PE091059	2	5000	4	1	2
PE091061	1	500	4	1	88
PE091062	1	5000	4	1	2
PE091063	1	2500	3	1	2
PE091064	1	2500	2	1	2
PE091065	1	2500	4	1	88
PE091065	2	1000	4	1	88
PE091066	1	7500	4	1	2
PE091066	2	5000	4	1	2
PE091066	3	5000	4	1	2
PE091066	4	5000	4	1	2
PE091067	1	10000	4	1	4
PE091068	1	200	3	1	88
PE091069	1	200	3	1	2
PE091070	1	10000	2	1	88
PE091071	1	2500	4	1	88
PE091072	1	7500	4	1	2
PE091073	1	1000	4	1	2
PE091074	1	7500	4	1	2
PE091074	2	7500	4	1	2
PE091074	3	2500	4	1	2
PE091074	4	1250	4	1	2
PE091074	5	1250	4	1	2
PE091075	1	200	4	1	88
PE091075	2	50	4	1	88
PE091075	3	50	4	1	88
PE091076	1	150	4	1	88
PE091077	1	3000	4	1	88
PE091078	1	700	4	4	88
PE091078	2	700	4	1	2
PE091078	3	300	4	1	2
PE091079	1	500	4	1	2
PE091080	1	10000	4	1	2
PE091081	1	15000	4	1	2
PE091082	1	7500	3	1	2
PE091083	1	250	4	1	88
PE091084	1	30000	4	1	2
PE091085	1	2500	4	1	2
PE091085	2	2500	4	1	2
PE091086	1	30000	4	1	2
PE091087	1	100	4	1	88
PE091088	1	300	4	1	2
PE091089	1	30000	4	1	2
PE091090	1	200	4	1	88
PE091091	1	80	4	1	2
PE091092	1	10000	4	1	2
PE091093	1	15000	4	1	2
PE091094	1	2500	1	1	2
PE091094	2	3000	3	1	2
PE091094	3	2000	3	1	2
PE091094	4	1000	3	1	2
PE091095	1	200	4	1	2
PE091096	1	300	4	1	88
PE091097	1	1000	4	1	2
PE091098	1	300	4	1	88
PE091099	1	300	4	1	88
PE091100	1	70	4	1	2
PE091101	1	2500	4	1	2
PE091101	2	1250	4	1	2
PE091102	1	5000	4	1	88
PE091103	1	250	4	1	2
PE101002	1	180	4	4	88
PE101008	1	151	4	4	88
PE101009	1	2500	4	1	2
PE101011	1	10000	4	1	2
PE101040	1	200	4	1	88
PE101043	1	100	4	4	88
PE101050	1	80	2	1	88
PE101051	1	10000	4	1	2
PE101055	1	2500	3	1	2
PE101062	1	30	4	7	88
PE101070	1	30000	4	1	88
PE101074	1	1000	4	1	2
PE101086	1	200	3	1	2
PE101087	1	40	3	1	88
PE101089	1	2500	2	1	88
PE101100	1	100	4	4	7
PE101104	1	300	4	1	2
PE111001	1	2500	4	1	2
PE111002	1	2500	4	1	88
PE111003	1	10000	4	1	88
PE111003	2	20000	4	1	88
PE111003	3	15000	4	1	88
PE111003	4	20000	4	1	88
PE111005	1	2500	4	1	2
PE111005	2	2500	4	1	2
PE111005	3	1250	4	1	2
PE111005	4	2500	4	7	2
PE111006	1	10000	4	1	2
PE111006	2	7500	4	1	88
PE111007	1	5000	4	1	88
PE111008	1	2500	4	1	2
PE111008	2	2500	4	1	2
PE111009	1	500	4	1	2
PE111010	1	7500	4	1	2
PE111011	1	5000	4	1	2
PE111012	1	810	4	1	2
PE111013	1	2500	4	1	2
PE111013	2	1225	4	1	2
PE111014	1	200	4	1	88
PE111015	1	10000	4	1	2
PE111015	2	5000	4	1	2
PE111016	1	2500	4	1	2
PE111016	2	2500	4	1	2
PE111016	3	20000	4	1	2
PE111017	1	10000	4	1	2
PE111018	1	2000	4	1	88
PE111018	2	200	4	1	88
PE111020	1	20000	4	1	2
PE111020	2	10000	4	1	2
PE111020	3	2500	4	1	2
PE111021	1	10000	4	1	2
PE111022	1	40000	4	1	2
PE111023	1	10000	4	1	2
PE111024	1	10000	4	1	2
PE111026	1	2500	4	1	2
PE111027	1	5000	4	1	2
PE111028	1	10000	4	1	88
PE111029	1	10000	4	1	88
PE111029	2	2500	4	1	88
PE111030	1	250	4	1	88
PE111031	1	5000	4	1	2
PE111032	1	5000	4	1	2
PE111033	1	5000	4	1	2
PE111034	1	2000	1	1	88
PE111034	2	3000	1	1	88
PE111034	3	2000	1	1	2
PE111035	1	10000	4	1	2
PE111036	1	10000	4	1	2
PE111036	2	10000	4	1	88
PE111036	3	10000	4	1	88
PE111037	1	400	4	1	88
PE111038	1	200	4	1	2
PE111039	1	2500	4	1	88
PE111041	1	30000	2	1	88
PE111042	1	30000	4	1	2
PE111042	2	40000	4	1	2
PE111043	1	10000	1	1	2
PE111043	2	2500	1	1	2
PE111044	1	2500	4	1	2
PE111045	1	20000	4	1	2
PE111046	1	30000	4	1	3
PE111047	1	10000	4	1	2
PE111048	1	600	4	1	2
PE111048	2	800	4	1	2
PE111049	1	5000	4	1	88
PE111050	1	2500	4	1	2
PE111050	2	2500	4	1	2
PE111051	1	10000	4	1	88
PE111052	1	10000	4	1	2
PE111053	1	20000	4	1	2
PE111053	2	5000	4	1	2
PE111054	1	25000	3	1	2
PE111055	1	20000	3	1	2
PE111056	1	2500	4	1	2
PE111057	1	30000	4	1	2
PE111057	2	750	4	1	2
PE111057	3	5000	4	1	2
PE111059	1	5000	4	1	2
PE111060	1	2500	4	1	2
PE111060	2	1225	4	1	2
PE111060	3	5000	4	1	2
PE111060	4	2500	4	1	2
PE111061	1	20000	4	1	2
PE111062	1	10000	4	1	2
PE111063	1	60000	4	1	88
PE111064	1	20	4	1	88
PE111064	2	30	1	1	88
PE111065	1	20000	4	1	2
PE111065	2	50000	4	1	2
PE111065	3	20000	4	3	88
PE111065	4	500000	4	2	88
PE111066	1	20000	4	1	2
PE111067	1	10000	4	1	2
PE111068	1	10000	4	1	2
PE111069	1	20000	4	1	2
PE111070	1	1225	2	1	2
PE111071	1	90	4	1	88
PE111071	2	130	1	1	2
PE111072	1	10000	4	1	88
PE111072	2	15000	1	1	88
PE111073	1	20000	4	1	2
PE111074	1	20000	4	1	2
PE111075	1	5000	1	1	2
PE111076	1	10000	4	1	2
PE111077	1	2500	4	1	2
PE111077	2	80	4	1	2
PE111079	1	10000	3	1	2
PE111081	1	10000	4	1	2
PE111082	1	2500	4	1	2
PE111082	2	2500	4	1	2
PE111082	3	2500	4	1	2
PE111084	1	2500	4	1	2
PE111084	2	5000	4	1	2
PE111085	1	5000	4	1	2
PE111085	2	5000	4	1	2
PE111086	1	15000	4	1	2
PE111087	1	280	4	1	2
PE111089	1	1000	4	1	2
PE111090	1	20000	2	1	2
PE111091	1	2000	3	1	2
PE111092	1	3750	4	1	88
PE111093	1	15000	4	1	2
PE111094	1	30000	4	1	2
PE111095	1	40000	4	1	2
PE111096	1	5000	4	1	2
PE111097	1	1225	4	1	2
PE111097	2	1225	4	1	2
PE111098	1	20000	4	1	2
PE111099	1	20000	4	1	2
PE111100	1	40000	4	1	2
PE111101	1	20000	4	1	2
PE111102	1	5000	4	1	88
PE121009	1	120	4	4	88
PE121037	1	120	4	7	88
PE121052	1	300	4	7	88
PE121081	1	500	4	6	88
PE121096	1	100000	4	7	88
PE121099	1	60	4	4	88
PE131019	1	20000	4	6	88
PE131032	1	150	4	1	88
PE131039	1	500000	4	1	88
PE131048	1	90	4	4	88
PE131049	1	90	4	4	88
PE131053	1	120	1	4	 
PE131069	1	90	4	4	88
PE131070	1	90	4	4	88
PE131074	1	200	4	4	88
PE131093	1	90	4	4	88
PE131097	1	90	4	4	88
PE131099	1	90	4	7	88
PE141014	1	1000	2	1	7
PE141034	1	7000	4	7	88
PE141034	2	3000	4	7	88
PE141051	1	10000	4	1	88
PE141081	1	42	4	4	7
PE141094	1	20000	4	4	7
PE151001	1	10000	4	1	88
PE151001	2	10000	4	1	88
PE151003	1	30000	1	1	88
PE151005	1	1500	4	1	88
PE151006	1	10000	4	1	88
PE151008	1	20000	4	7	7
PE151008	2	10000	4	3	7
PE151008	3	5000	4	1	88
PE151009	1	10000	3	1	88
PE151010	1	50000	4	1	88
PE151011	1	150000	4	1	88
PE151012	1	10000	4	1	1
PE151014	1	60000	4	1	88
PE151014	2	100	4	1	88
PE151016	1	50000	4	1	88
PE151017	1	100	1	1	88
PE151018	1	2500	1	1	88
PE151019	1	100000	4	1	2
PE151020	1	20000	1	1	88
PE151021	1	20000	4	1	88
PE151021	2	30000	4	1	88
PE151022	1	40000	4	1	88
PE151023	1	20000	4	1	88
PE151024	1	30000	4	1	88
PE151024	2	50000	4	1	88
PE151027	1	10000	3	1	88
PE151029	1	200	4	1	88
PE151030	1	20000	4	1	88
PE151031	1	10000	4	1	88
PE151031	2	20000	4	1	88
PE151033	1	10000	4	1	88
PE151033	2	20000	4	1	88
PE151034	1	2500	4	1	88
PE151035	1	100000	4	1	88
PE151035	2	70000	4	1	88
PE151035	3	10000	4	1	88
PE151036	1	7500	4	1	88
PE151037	1	300	3	1	2
PE151038	1	200000	4	1	88
PE151039	1	20000	4	7	88
PE151040	1	5000	2	1	88
PE151041	1	20000	4	1	88
PE151042	1	70000	4	1	88
PE151043	1	150000	3	1	2
PE151044	1	30000	1	1	88
PE151045	1	40000	4	1	88
PE151046	1	200000	4	1	88
PE151047	1	500	4	1	88
PE151048	1	25000	4	1	88
PE151049	1	20000	4	1	88
PE151050	1	200000	4	1	88
PE151051	1	100000	4	1	88
PE151052	1	30000	4	1	88
PE151062	1	1000	4	1	88
PE151062	2	1000	4	1	88
PE151063	1	30000	4	1	7
PE151063	2	10000	4	1	7
PE151063	3	10000	4	1	7
PE151064	1	30000	4	1	88
PE151066	1	70000	4	7	88
PE151067	1	80000	4	1	88
PE151068	1	20000	1	1	88
PE151069	1	300000	4	7	88
PE151070	1	10000	1	1	88
PE151071	1	30000	4	1	88
PE151072	1	50000	4	1	88
PE151073	1	15000	3	1	88
PE151074	1	80000	4	1	88
PE151075	1	10000	4	1	88
PE151077	1	10000	4	1	88
PE151080	1	10000	1	1	88
PE151081	1	10000	4	7	88
PE151082	1	10000	4	1	88
PE151082	2	10000	4	1	88
PE151082	3	10000	4	1	88
PE151082	4	10000	4	1	88
PE151082	5	10000	4	1	88
PE151083	1	100	4	1	88
PE151083	2	20000	4	1	88
PE151084	1	40000	4	1	7
PE151085	1	90000	4	1	2
PE151086	1	372	4	1	88
PE151087	1	100000	4	1	7
