childid	id	age	sex	relate	still	yrschool	disabled	care	support	edinicial	grado	anhos
PE011010	4	16	1	4	1	34	2	2	1	 	88	2
PE011010	5	13	1	4	1	33	2	2	2	 	6	88
PE011010	6	8	2	4	1	33	2	2	2	 	1	88
PE011010	15	2	2	4	88	88	2	88	88	1	88	88
PE011011	1	27	1	1	2	34	1	1	1	 	88	1
PE011011	2	27	2	1	2	34	2	1	2	 	88	1
PE011011	15	3	1	5	88	88	2	88	88	1	88	88
PE011012	1	30	1	1	2	36	2	2	1	 	88	3
PE011012	2	30	2	1	2	36	2	1	1	 	88	5
PE011012	15	3	1	5	88	88	2	88	88	1	88	88
PE011013	1	20	1	1	2	34	2	1	1	 	88	4
PE011013	2	21	2	1	2	34	2	1	2	 	88	5
PE011013	3	47	1	3	2	34	2	2	1	 	88	3
PE011013	4	43	2	3	2	34	1	1	2	 	88	2
PE011013	5	19	1	4	2	34	2	2	2	 	88	3
PE011013	6	17	2	4	1	34	2	1	2	 	88	2
PE011014	1	18	2	1	2	34	2	1	2	 	5	88
PE011014	2	60	1	3	2	33	2	1	1	 	88	3
PE011014	3	49	2	3	2	33	2	1	1	 	88	3
PE011014	4	17	2	4	1	34	2	1	2	 	4	88
PE011014	5	14	1	4	1	33	2	1	2	 	6	88
PE011014	6	12	1	4	1	33	2	1	2	 	4	88
PE011014	15	3	2	5	88	88	2	88	88	1	88	88
PE011015	1	20	1	1	2	34	2	1	1	 	88	2
PE011015	2	17	2	1	2	34	2	1	1	 	88	3
PE011015	3	43	1	3	2	34	2	1	2	 	88	1
PE011015	4	39	2	3	2	34	2	1	2	 	88	2
PE011015	5	22	1	4	1	35	2	1	1	 	88	1
PE011015	6	15	1	4	1	34	2	1	1	 	88	1
PE011015	7	14	2	4	1	34	2	1	2	 	88	1
PE011015	8	10	1	4	1	33	1	2	2	 	2	88
PE011015	9	11	2	4	2	33	1	2	2	 	2	88
PE011015	10	6	1	4	1	32	2	2	2	 	88	88
PE011015	11	22	2	4	2	36	2	2	2	 	88	3
PE011015	12	14	2	13	1	34	2	1	2	 	88	1
PE011016	1	28	1	1	2	34	2	1	1	 	88	5
PE011016	2	24	2	1	2	36	2	1	1	 	88	3
PE011016	3	24	1	4	2	36	2	1	2	 	88	3
PE011016	4	21	1	4	1	34	2	2	2	 	88	5
PE011016	5	17	2	4	1	34	2	1	2	 	88	3
PE011016	6	9	1	4	1	33	2	2	2	 	2	88
PE011016	7	18	1	4	1	34	2	2	2	 	88	3
PE011016	8	22	1	7	1	35	2	2	2	 	88	1
PE011016	9	50	1	13	2	34	2	1	1	 	88	5
PE011016	10	42	2	13	2	34	2	1	1	 	88	2
PE011017	1	24	1	1	2	33	2	2	1	 	3	88
PE011017	2	22	2	1	2	33	2	1	2	 	5	88
PE011017	15	4	1	5	88	88	2	88	88	1	88	88
PE011018	1	38	1	1	2	34	2	1	1	 	88	2
PE011018	2	33	2	1	2	34	2	1	1	 	88	2
PE011018	3	11	2	5	1	33	2	1	2	 	5	88
PE011018	4	7	2	5	1	33	2	2	2	 	1	88
PE011018	5	5	1	5	2	0	2	2	2	 	88	88
PE011019	1	27	1	1	2	34	1	1	1	 	88	5
PE011019	2	18	2	1	2	33	1	1	2	 	5	88
PE011020	1	33	1	1	2	36	2	1	1	 	88	3
PE011020	2	25	2	1	2	36	2	1	2	 	88	3
PE011021	1	39	1	1	2	33	2	2	1	 	88	5
PE011021	2	33	2	1	2	33	2	1	2	 	6	88
PE011021	3	11	2	5	1	33	2	1	2	 	5	88
PE011021	4	7	2	5	1	33	2	2	2	 	1	88
PE011022	1	35	1	1	2	34	2	2	1	 	88	5
PE011022	2	30	2	1	2	34	2	1	2	 	88	1
PE011022	3	12	1	5	1	33	2	1	2	 	5	88
PE011023	1	21	1	1	1	34	1	1	1	 	88	5
PE011023	2	18	2	1	2	34	1	1	1	 	88	5
PE011024	1	19	1	1	2	34	2	1	1	 	88	5
PE011024	2	20	2	1	2	34	2	1	2	 	88	5
PE011024	3	39	2	3	2	35	2	1	1	 	88	1
PE011024	4	16	1	4	1	34	2	1	1	 	88	5
PE011024	15	1	2	4	88	88	2	88	88	2	88	88
PE011025	1	27	1	1	2	36	2	1	1	 	88	3
PE011025	2	24	2	1	2	36	2	1	1	 	88	3
PE011025	3	45	1	3	2	33	2	1	1	 	88	5
PE011025	4	41	2	3	2	34	2	1	1	 	88	5
PE011025	5	23	2	4	2	34	2	1	2	 	88	5
PE011025	6	19	1	4	2	34	2	1	2	 	88	5
PE011025	15	3	1	5	88	88	2	88	88	1	88	88
PE011026	1	27	1	1	2	38	2	1	1	 	88	5
PE011026	2	27	2	1	2	35	2	2	2	 	88	2
PE011026	3	5	1	5	1	32	2	2	2	 	88	88
PE011026	15	1	1	5	88	88	2	88	88	3	88	88
PE011027	1	39	1	1	2	34	2	2	1	 	88	2
PE011027	2	29	2	1	2	34	2	1	2	 	88	2
PE011027	3	10	1	5	1	33	1	2	2	 	4	88
PE011027	4	8	2	5	1	33	2	2	2	 	1	88
PE011027	5	16	1	10	1	34	2	2	2	 	88	2
PE011028	1	22	2	1	2	34	2	1	1	 	88	4
PE011028	2	5	2	5	2	0	2	2	2	 	88	88
PE011029	1	42	1	1	2	36	2	2	1	 	88	5
PE011029	2	35	2	1	2	36	2	1	1	 	88	5
PE011029	3	8	1	5	1	33	2	2	2	 	2	88
PE011030	1	20	1	1	1	37	2	2	1	 	88	5
PE011030	2	18	2	1	1	35	2	1	2	 	88	2
PE011030	3	40	1	3	2	34	2	2	1	 	88	5
PE011030	4	37	2	3	2	34	2	1	2	 	88	5
PE011030	5	17	2	4	1	34	2	1	2	 	88	5
PE011030	15	2	1	4	88	88	2	88	88	1	88	88
PE011031	1	24	1	1	2	36	2	2	1	 	88	1
PE011031	2	17	2	1	2	34	2	1	2	 	88	5
PE011032	1	19	2	1	2	33	2	1	1	 	2	88
PE011032	2	67	1	3	2	34	2	1	1	 	88	5
PE011032	3	57	2	3	2	33	1	1	1	 	3	88
PE011033	1	26	2	1	2	34	2	1	2	 	88	5
PE011033	2	61	1	3	2	33	2	2	1	 	88	2
PE011033	3	52	2	3	2	33	2	2	2	 	88	3
PE011033	4	31	2	4	2	34	2	2	1	 	88	5
PE011033	5	21	2	4	2	34	2	2	2	 	88	5
PE011033	6	22	1	4	2	34	2	2	2	 	88	5
PE011033	15	0	1	6	88	88	2	88	88	2	88	88
PE011034	1	18	2	1	2	34	2	1	2	 	88	4
PE011034	2	41	2	3	2	34	1	2	1	 	88	3
PE011034	3	20	2	4	2	34	2	1	1	 	88	5
PE011034	4	15	1	4	1	34	2	2	2	 	88	1
PE011035	1	40	1	1	2	36	1	2	1	 	88	5
PE011035	2	32	2	1	2	34	2	1	2	 	88	5
PE011035	3	12	2	5	1	33	2	2	2	 	5	88
PE011035	4	10	1	5	1	33	2	2	2	 	3	88
PE011035	5	6	2	5	2	0	2	2	2	 	88	88
PE011035	15	3	2	5	88	88	2	88	88	2	88	88
PE011036	1	39	1	1	2	33	1	1	1	 	6	88
PE011036	2	30	2	1	2	33	2	1	2	 	6	88
PE011036	3	12	2	5	1	34	2	1	2	 	1	88
PE011036	4	10	2	5	1	33	2	1	2	 	3	88
PE011036	5	7	1	5	1	33	2	2	2	 	1	88
PE011036	6	5	2	5	2	0	2	2	2	 	88	88
PE011037	1	22	1	1	1	34	2	2	1	 	88	2
PE011037	2	18	2	1	1	33	2	1	2	 	2	88
PE011038	1	25	1	1	2	34	2	2	1	 	88	5
PE011038	2	34	2	1	2	33	2	1	1	 	5	88
PE011038	3	15	2	5	2	33	2	2	2	 	3	88
PE011038	4	14	1	5	1	33	2	2	2	 	5	88
PE011038	5	29	1	11	2	33	2	2	2	 	5	88
PE011039	1	38	1	1	2	33	1	1	1	 	88	5
PE011039	2	36	2	1	2	33	2	1	2	 	88	5
PE011039	3	17	1	5	2	34	2	2	1	 	88	3
PE011039	4	14	1	5	2	33	2	2	1	 	4	88
PE011039	5	8	1	5	1	33	2	2	2	 	2	88
PE011039	6	7	2	5	1	32	2	2	2	 	88	88
PE011039	7	29	1	4	2	33	2	2	1	 	6	88
PE011039	8	25	2	4	2	34	2	2	2	 	88	5
PE011039	15	1	1	6	88	88	2	88	88	2	88	88
PE011040	1	38	1	1	2	37	2	1	1	 	88	5
PE011040	2	30	2	1	2	36	2	1	1	 	88	3
PE011040	3	11	2	5	1	33	2	1	2	 	4	88
PE011040	4	9	1	5	1	33	2	2	2	 	3	88
PE011040	5	5	1	5	2	0	2	2	2	 	88	88
PE011040	6	78	1	3	2	0	2	1	2	 	88	88
PE011040	7	69	2	3	2	0	1	1	2	 	88	88
PE011041	1	23	1	1	2	34	2	1	1	 	88	5
PE011041	2	18	2	1	2	34	2	1	1	 	88	5
PE011042	1	23	1	1	2	33	2	1	1	 	6	88
PE011042	2	24	2	1	2	34	2	1	1	 	88	5
PE011043	1	32	1	1	2	36	2	1	1	 	88	5
PE011043	2	27	2	1	2	34	2	1	2	 	88	5
PE011043	15	3	2	5	88	88	2	88	88	1	88	88
PE011044	1	36	1	1	2	36	2	2	1	 	88	3
PE011044	2	29	2	1	2	34	2	1	1	 	88	5
PE011044	3	8	1	5	1	33	2	2	2	 	2	88
PE011044	4	5	1	5	2	0	2	2	2	 	88	88
PE011044	5	17	1	6	1	34	2	1	2	 	88	3
PE011045	1	26	1	1	2	34	2	1	1	 	88	4
PE011045	2	17	2	1	2	34	2	2	2	 	88	4
PE011046	1	31	1	1	2	35	2	1	1	 	88	3
PE011046	2	28	2	1	2	34	2	1	1	 	88	5
PE011046	3	5	1	5	2	0	2	2	2	 	88	88
PE011047	1	35	1	1	2	36	2	1	1	 	88	3
PE011047	2	27	2	1	2	36	2	1	1	 	88	5
PE011047	3	23	2	7	2	34	2	1	2	 	88	5
PE011048	1	29	2	1	2	34	2	1	2	 	88	5
PE011048	2	7	2	10	1	33	2	2	2	 	1	88
PE011048	3	53	2	3	2	33	1	1	2	 	88	5
PE011048	4	14	1	4	1	34	2	2	2	 	88	2
PE011048	5	17	2	4	1	34	2	1	2	 	88	4
PE011048	6	40	1	13	2	34	2	2	1	 	88	3
PE011049	1	41	1	1	2	36	2	2	1	 	88	3
PE011049	2	31	2	1	2	36	2	1	1	 	88	5
PE011049	3	8	2	5	2	33	2	2	2	 	2	88
PE011049	4	6	2	5	1	32	2	2	2	 	88	88
PE011050	1	31	1	1	2	34	2	1	1	 	88	5
PE011050	2	32	2	1	2	34	2	1	1	 	88	5
PE011050	3	12	2	5	1	33	2	1	2	 	6	88
PE011051	1	44	1	1	2	34	2	2	1	 	88	2
PE011051	2	42	2	1	2	34	2	1	2	 	88	4
PE011051	3	18	1	5	2	34	2	1	1	 	88	5
PE011051	4	16	2	5	1	34	2	1	2	 	88	3
PE011051	5	10	2	5	1	33	2	1	2	 	4	88
PE011051	6	8	2	5	1	33	2	2	2	 	1	88
PE011051	7	5	1	5	2	0	2	2	2	 	88	88
PE011052	1	37	1	1	2	37	2	1	1	 	88	3
PE011052	2	34	2	1	2	34	2	1	1	 	88	5
PE011052	3	14	1	5	2	34	2	1	2	 	88	3
PE011052	4	11	1	5	2	33	2	1	2	 	5	88
PE011052	5	6	1	5	1	32	2	2	2	 	88	88
PE011053	1	21	2	1	2	33	2	1	2	 	3	88
PE011053	2	51	2	3	2	34	1	1	1	 	88	3
PE011053	3	23	1	4	2	33	2	2	1	 	6	88
PE011053	4	19	1	4	2	34	1	1	2	 	88	1
PE011053	5	15	1	4	1	33	2	1	1	 	6	88
PE011053	15	4	2	5	88	88	2	88	88	1	88	88
PE011054	1	39	1	1	2	38	2	2	1	 	88	5
PE011054	2	27	2	1	2	36	2	1	2	 	88	3
PE011055	1	30	1	1	2	34	2	1	1	 	88	4
PE011055	2	27	2	1	2	34	2	1	2	 	88	5
PE011055	3	7	1	5	1	33	2	2	2	 	1	88
PE011056	1	25	1	1	1	37	2	2	1	 	88	3
PE011056	2	20	2	1	1	37	2	1	2	 	88	3
PE011057	1	35	1	1	1	34	2	1	1	 	88	4
PE011057	2	32	2	1	2	36	2	1	2	 	88	3
PE011057	3	13	2	5	1	34	2	1	2	 	88	1
PE011057	4	9	2	5	1	33	2	1	2	 	3	88
PE011057	5	6	1	5	1	33	2	2	2	 	1	88
PE011058	1	22	2	1	2	34	2	1	1	 	88	5
PE011058	2	50	2	3	2	33	2	1	1	 	88	2
PE011058	3	62	1	3	2	33	2	2	1	 	88	2
PE011058	4	27	1	4	2	34	2	2	1	 	88	4
PE011058	5	20	2	4	2	34	2	1	1	 	88	5
PE011058	6	18	1	4	1	34	2	2	2	 	88	4
PE011058	7	17	1	4	1	34	2	2	2	 	88	2
PE011058	8	14	2	4	1	34	2	1	2	 	88	1
PE011058	15	1	1	6	88	88	2	88	88	2	88	88
PE011059	1	28	1	1	2	36	2	2	1	 	88	3
PE011059	2	24	2	1	2	36	2	1	1	 	88	3
PE011060	1	26	1	1	2	36	2	2	1	 	88	4
PE011060	2	22	2	1	2	36	2	1	2	 	88	2
PE011061	1	25	2	1	2	34	2	1	2	 	88	5
PE011061	2	20	1	4	2	34	2	2	2	 	88	5
PE011061	3	16	1	4	1	34	2	1	2	 	88	4
PE011061	4	12	2	4	1	34	2	1	2	 	88	1
PE011061	5	21	2	4	2	34	1	2	2	 	88	5
PE011061	6	40	1	13	2	33	1	2	2	 	5	88
PE011061	15	2	2	6	88	88	2	88	88	1	88	88
PE011062	1	22	2	1	1	37	2	1	2	 	88	4
PE011062	2	55	1	3	2	36	2	2	1	 	88	5
PE011062	3	48	2	3	2	36	2	1	1	 	88	5
PE011062	4	24	2	4	2	36	2	1	2	 	88	3
PE011062	5	6	1	6	1	32	2	2	2	 	88	88
PE011063	1	23	1	1	2	34	2	2	1	 	88	5
PE011063	2	16	2	1	2	33	2	2	2	 	5	88
PE011064	1	29	1	1	2	34	2	1	1	 	88	5
PE011064	2	20	2	1	2	34	2	1	1	 	88	5
PE011064	15	2	1	5	88	88	2	88	88	3	88	88
PE011065	1	32	1	1	2	34	2	1	1	 	88	5
PE011065	2	31	2	1	2	34	2	1	2	 	88	2
PE011065	3	12	1	5	1	33	2	2	2	 	3	88
PE011065	4	6	1	5	1	32	2	2	2	 	88	88
PE011066	1	16	2	1	2	33	2	1	2	 	6	88
PE011066	2	46	2	3	2	33	2	1	1	 	88	4
PE011066	3	30	2	13	2	34	2	1	2	 	88	3
PE011066	4	30	1	13	2	34	2	1	1	 	88	1
PE011066	5	25	1	4	2	33	2	2	1	 	4	88
PE011066	6	23	1	4	2	33	2	2	2	 	4	88
PE011066	7	22	1	4	2	34	2	2	2	 	88	4
PE011066	8	14	1	4	2	33	2	2	2	 	4	88
PE011066	9	14	1	13	2	33	2	2	2	 	4	88
PE011066	10	17	2	13	2	34	2	2	2	 	88	3
PE011066	15	3	1	4	88	88	2	88	88	2	88	88
PE011067	1	24	1	1	2	36	2	2	1	 	88	3
PE011067	2	21	2	1	1	35	2	1	1	 	88	2
PE011068	1	26	2	1	2	34	2	1	1	 	88	5
PE011068	2	52	1	13	2	34	2	2	2	 	88	5
PE011068	3	51	2	13	2	34	2	2	2	 	88	5
PE011068	4	29	2	13	2	38	2	2	2	 	88	5
PE011068	5	42	1	13	2	36	2	2	2	 	88	3
PE011068	6	19	2	13	2	34	2	2	2	 	88	5
PE011068	7	21	1	13	2	34	2	2	2	 	88	5
PE011068	15	2	1	13	88	88	2	88	88	2	88	88
PE011068	16	0	2	13	88	88	2	88	88	2	88	88
PE011068	17	3	2	13	88	88	2	88	88	2	88	88
PE011069	1	47	1	1	2	38	2	2	1	 	88	5
PE011069	2	36	2	1	2	34	2	1	2	 	88	1
PE011069	3	19	2	10	2	34	2	2	2	 	88	5
PE011069	4	14	1	10	1	34	2	2	2	 	88	2
PE011069	5	5	2	5	2	0	2	2	2	 	88	88
PE011070	1	27	1	1	2	36	2	1	1	 	88	3
PE011070	2	27	2	1	2	36	2	1	1	 	88	5
PE011070	15	3	1	5	88	88	2	88	88	2	88	88
PE011071	1	23	1	1	2	34	2	1	1	 	88	5
PE011071	2	20	2	1	2	34	2	1	2	 	88	5
PE011071	3	62	1	13	2	33	2	2	2	 	5	88
PE011071	4	49	2	3	2	33	1	1	2	 	5	88
PE011071	5	18	1	4	2	33	2	2	2	 	5	88
PE011071	6	15	2	4	1	34	2	1	2	 	88	3
PE011071	7	13	2	4	1	33	2	1	2	 	4	88
PE011071	8	11	2	4	1	33	2	2	2	 	3	88
PE011071	9	19	2	4	2	34	2	2	2	 	88	1
PE011071	15	0	1	6	88	88	2	88	88	2	88	88
PE011072	1	29	1	1	2	34	2	1	1	 	88	5
PE011072	2	21	2	1	2	34	2	1	2	 	88	5
PE011073	1	30	1	1	2	35	2	1	1	 	88	3
PE011073	2	21	2	1	2	33	2	1	2	 	6	88
PE011074	1	40	1	1	1	36	2	2	2	 	88	3
PE011074	2	33	2	1	2	38	2	1	1	 	88	5
PE011074	3	11	1	5	1	33	2	2	2	 	6	88
PE011074	4	17	2	7	2	34	2	2	2	 	88	5
PE011075	1	47	1	1	2	34	2	2	1	 	88	1
PE011075	2	43	2	1	2	34	2	1	2	 	88	1
PE011075	3	22	1	5	2	34	2	2	2	 	88	3
PE011075	4	20	2	5	2	34	2	1	2	 	88	5
PE011075	5	13	2	5	1	33	2	1	2	 	5	88
PE011075	6	12	2	5	1	33	2	1	2	 	5	88
PE011075	7	9	2	5	1	33	2	1	2	 	3	88
PE011075	15	3	2	5	88	88	2	88	88	3	88	88
PE011076	1	32	1	1	2	34	2	1	1	 	88	5
PE011076	2	19	2	1	2	34	2	1	2	 	88	2
PE011076	3	60	2	3	2	0	1	2	2	 	88	88
PE011076	4	41	2	4	2	0	2	1	2	 	88	88
PE011076	5	28	1	4	2	33	2	2	1	 	5	88
PE011076	6	22	1	4	2	33	2	2	2	 	5	88
PE011076	7	20	2	4	2	34	2	1	1	 	88	1
PE011076	8	17	1	6	2	34	2	2	2	 	88	2
PE011076	9	12	2	6	1	33	2	2	2	 	6	88
PE011076	10	10	1	6	1	33	2	2	2	 	1	88
PE011076	15	3	1	6	88	88	2	88	88	2	88	88
PE011076	16	4	1	6	88	88	2	88	88	2	88	88
PE011077	1	30	1	1	2	34	2	1	1	 	88	5
PE011077	2	25	2	1	2	34	2	1	1	 	88	3
PE011077	3	5	1	10	2	0	2	2	2	 	88	88
PE011078	1	27	2	1	2	33	2	1	2	 	6	88
PE011078	2	64	1	3	2	0	2	2	1	 	88	88
PE011078	3	52	2	3	2	33	1	1	2	 	88	3
PE011078	4	24	1	4	2	34	2	1	1	 	88	3
PE011078	5	22	1	4	2	34	2	1	1	 	88	4
PE011078	6	20	1	4	2	34	2	1	2	 	88	5
PE011079	1	26	1	1	2	34	2	1	1	 	88	5
PE011079	2	26	2	1	2	36	2	1	2	 	88	3
PE011079	3	58	1	3	2	36	1	2	1	 	88	5
PE011079	4	56	2	3	2	36	1	1	1	 	88	3
PE011079	5	22	2	4	2	36	2	1	1	 	88	3
PE011080	1	32	1	1	2	36	2	2	1	 	88	5
PE011080	2	32	2	1	2	36	2	1	1	 	88	5
PE011081	1	45	1	1	2	34	2	2	1	 	88	5
PE011081	2	19	2	1	2	34	1	1	2	 	88	3
PE011081	15	2	2	10	88	88	2	88	88	2	88	88
PE011081	16	1	1	5	88	88	2	88	88	2	88	88
PE011082	1	21	2	1	2	34	2	1	1	 	88	3
PE011082	2	41	2	3	2	33	1	1	1	 	88	5
PE011082	3	13	2	4	1	33	2	2	2	 	5	88
PE011082	4	9	2	4	1	33	2	2	2	 	1	88
PE011082	15	2	2	4	88	88	1	88	88	2	88	88
PE011083	1	25	1	1	2	34	1	1	1	 	88	5
PE011083	2	24	2	1	2	34	1	1	1	 	88	5
PE011083	3	5	2	5	2	0	2	2	2	 	88	88
PE011083	4	24	1	4	2	34	2	2	2	 	88	5
PE011084	1	26	1	1	2	36	2	1	1	 	88	5
PE011084	2	25	2	1	2	36	2	1	2	 	88	5
PE011084	3	52	1	3	2	34	2	1	1	 	88	5
PE011085	1	43	1	1	2	33	1	1	1	 	88	3
PE011085	2	33	2	1	2	34	1	1	1	 	88	3
PE011085	3	11	2	5	1	33	2	1	2	 	5	88
PE011085	4	8	2	5	1	33	2	2	2	 	2	88
PE011085	5	6	2	5	1	32	2	2	2	 	88	88
PE011086	1	33	1	1	2	36	2	2	1	 	88	3
PE011086	2	27	2	1	2	38	2	1	1	 	88	5
PE011086	3	53	1	3	2	37	1	1	2	 	88	4
PE011086	4	57	2	3	2	34	1	1	2	 	88	5
PE011086	5	24	2	4	1	37	2	2	2	 	88	3
PE011086	6	22	2	4	2	38	2	2	2	 	88	5
PE011086	7	20	1	4	1	37	2	2	2	 	88	3
PE011086	15	3	1	6	88	88	2	88	88	1	88	88
PE011087	1	33	1	1	2	34	2	2	1	 	88	5
PE011087	2	37	2	1	2	34	2	1	1	 	88	5
PE011087	3	15	2	5	1	34	2	1	1	 	88	3
PE011087	4	13	1	5	1	34	2	1	1	 	88	2
PE011087	15	4	2	5	88	88	2	88	88	1	88	88
PE011088	1	43	1	1	2	34	1	2	1	 	88	3
PE011088	2	31	2	1	2	33	2	1	1	 	5	88
PE011088	3	14	1	5	1	34	2	1	2	 	88	3
PE011088	4	11	1	5	1	33	2	2	2	 	3	88
PE011088	5	10	2	5	1	33	2	1	2	 	3	88
PE011089	1	39	1	1	2	36	1	1	1	 	88	3
PE011089	2	41	2	1	2	34	2	1	2	 	88	3
PE011089	3	12	1	5	1	33	2	2	2	 	5	88
PE011089	4	6	2	5	1	0	2	2	2	 	88	88
PE011090	1	25	1	1	2	36	2	1	1	 	88	3
PE011090	2	20	2	1	2	35	2	2	2	 	88	1
PE011091	1	25	1	1	2	34	2	1	1	 	88	5
PE011091	2	23	2	1	2	34	2	1	2	 	88	5
PE011092	1	27	1	1	2	36	2	1	1	 	88	5
PE011092	2	24	2	1	2	36	2	1	1	 	88	5
PE011092	3	57	1	3	2	34	2	2	1	 	88	3
PE011092	4	47	2	3	2	34	2	1	2	 	88	3
PE011092	5	19	2	4	1	37	2	2	2	 	88	3
PE011093	1	23	1	1	2	33	2	1	1	 	5	88
PE011093	2	20	2	1	2	34	2	1	1	 	88	5
PE011093	15	0	2	5	88	88	2	88	88	2	88	88
PE011094	1	34	2	1	2	33	2	1	1	 	5	88
PE011094	2	7	1	5	1	33	2	2	2	 	1	88
PE011095	1	35	1	1	2	34	2	2	1	 	88	3
PE011095	2	34	2	1	2	34	2	1	1	 	88	5
PE011095	3	11	2	5	1	33	2	2	2	 	4	88
PE011095	4	12	1	6	1	33	2	2	2	 	4	88
PE011096	1	34	1	1	2	34	2	2	1	 	88	2
PE011096	2	30	2	1	2	33	2	1	2	 	2	88
PE011096	3	10	2	5	1	33	2	2	2	 	4	88
PE011096	4	5	2	5	2	0	2	2	2	 	88	88
PE011097	1	28	2	1	2	36	2	2	1	 	88	3
PE011097	2	55	1	3	2	36	2	2	1	 	88	3
PE011097	3	47	2	3	2	33	2	1	2	 	88	2
PE011098	1	31	1	1	2	34	2	2	1	 	88	5
PE011098	2	20	2	1	2	34	2	1	2	 	88	5
PE011098	15	2	1	5	88	88	2	88	88	3	88	88
PE011099	1	29	1	1	2	34	2	2	1	 	88	2
PE011099	2	24	2	1	2	34	2	1	2	 	88	5
PE011099	3	6	2	5	1	33	2	2	2	 	2	88
PE011099	4	55	1	3	2	33	1	2	2	 	5	88
PE011099	5	51	2	3	2	33	2	1	2	 	4	88
PE011099	6	31	2	4	2	34	2	2	2	 	88	5
PE011099	7	28	1	4	2	34	2	2	2	 	88	2
PE011099	8	26	2	4	2	34	2	2	2	 	88	5
PE011099	9	20	1	4	2	34	2	2	2	 	88	5
PE011099	10	20	1	4	2	34	2	2	2	 	88	5
PE011099	11	12	1	6	1	33	2	2	2	 	4	88
PE011099	12	8	2	6	1	33	2	2	2	 	2	88
PE011099	13	5	1	6	2	0	2	2	2	 	88	88
PE011099	15	4	1	6	88	88	2	88	88	1	88	88
PE011099	16	3	2	6	88	88	2	88	88	3	88	88
PE011099	17	1	1	6	88	88	2	88	88	2	88	88
PE011100	1	19	2	1	2	34	2	1	1	 	88	2
PE011100	2	44	1	3	2	34	2	2	1	 	88	4
PE011100	3	37	2	3	2	34	2	2	1	 	88	3
PE011100	4	17	1	4	2	34	2	2	2	 	88	1
PE011100	5	15	1	4	1	34	2	2	2	 	88	3
PE011100	6	8	2	4	1	33	2	2	2	 	2	88
PE011100	7	5	2	4	1	0	2	2	2	 	88	88
PE021001	1	22	1	1	2	33	2	2	1	 	6	88
PE021001	2	21	2	1	2	34	2	1	2	 	88	3
PE021002	1	20	1	1	2	34	2	1	1	 	88	5
PE021002	2	20	2	1	2	34	2	1	2	 	88	5
PE021002	3	58	1	3	2	33	2	2	1	 	88	5
PE021002	4	57	2	3	2	33	2	1	1	 	88	5
PE021002	5	8	1	6	1	33	2	2	2	 	2	88
PE021003	1	40	1	1	2	34	1	1	1	 	88	4
PE021003	2	25	2	1	2	34	1	1	2	 	88	4
PE021003	3	7	2	5	1	33	2	2	2	 	1	88
PE021004	1	25	1	1	2	34	2	2	1	 	88	5
PE021004	2	23	2	1	2	33	2	1	2	 	6	88
PE021004	3	6	2	5	1	32	2	2	2	 	88	88
PE021005	1	28	1	1	2	33	2	2	1	 	6	88
PE021005	2	21	2	1	2	33	2	1	2	 	6	88
PE021005	3	5	1	5	2	0	2	2	2	 	88	88
