childid	remid	remrel	remqnt	remtype
PE051099	1	4	1	2
PE061002	1	4	1	1
PE061013	1	2	1	2
PE061016	1	3	12	1
PE061017	1	3	50	2
PE061019	1	3	3	2
PE061020	1	5	30	3
PE061021	1	2	4	2
PE061021	2	2	4	1
PE061023	1	2	1	2
PE061025	1	2	2	2
PE061028	1	2	1	3
PE061040	1	2	5	1
PE061041	1	2	5	2
PE061042	1	3	5	2
PE061044	1	3	12	3
PE061045	1	3	1	2
PE061052	1	2	5	3
PE061053	1	3	3	1
PE061066	1	3	1	1
PE061078	1	2	10	3
PE061081	1	3	3	2
PE061085	1	3	1	2
PE061086	1	6	15	3
PE061090	1	3	10	3
PE061092	1	3	12	1
PE061093	1	5	3	2
PE061098	1	3	12	2
PE061101	1	3	7	1
PE061101	2	2	1	1
PE061102	1	2	30	3
PE061103	1	2	12	2
PE071007	1	1	12	3
PE071007	2	7	4	1
PE071013	1	3	12	1
PE071025	1	1	1	1
PE071027	1	1	12	1
PE071037	1	3	1	1
PE071054	1	3	2	1
PE071066	1	2	48	1
PE071080	1	3	6	3
PE071084	1	2	3	2
PE071100	1	2	3	1
PE071106	1	2	12	2
PE081037	1	2	24	1
PE081040	1	2	6	1
PE081046	1	3	36	3
PE081058	1	1	8	1
PE081067	1	2	2	2
PE081069	1	2	12	1
PE081069	2	2	12	1
PE081075	1	2	9	1
PE081076	1	5	9	1
PE081076	2	6	12	3
PE081076	3	5	12	1
PE081080	1	3	5	2
PE081092	1	2	6	3
PE081097	1	2	5	1
PE081097	2	3	6	2
PE081101	1	1	5	3
PE091001	1	3	8	1
PE091006	1	3	12	2
PE091021	1	2	4	1
PE091035	1	2	2	2
PE091048	1	2	12	1
PE091051	1	2	2	2
PE091068	1	6	12	1
PE091086	1	3	1	1
PE101017	1	3	11	3
PE101018	1	3	2	1
PE101021	1	6	12	1
PE101030	1	3	1	1
PE101035	1	3	6	1
PE101042	1	2	8	1
PE101046	1	3	4	3
PE101055	1	3	6	2
PE101079	1	3	3	2
PE101082	1	3	12	2
PE101092	1	3	3	2
PE101097	1	2	10	2
PE101100	1	3	2	2
PE111016	1	4	2	1
PE111031	1	1	1	1
PE111086	1	2	2	1
PE111092	1	2	1	1
PE111097	1	3	5	1
PE121002	1	3	1	1
PE121003	1	6	3	2
PE121003	2	2	3	1
PE121004	1	2	2	2
PE121007	1	1	11	1
PE121007	2	6	2	1
PE121008	1	6	3	2
PE121009	1	2	1	2
PE121009	2	6	1	1
PE121010	1	2	20	1
PE121012	1	2	1	2
PE121014	1	2	1	1
PE121016	1	3	3	2
PE121017	1	3	10	3
PE121024	1	5	10	1
PE121026	1	6	6	1
PE121030	1	3	4	3
PE121032	1	3	1	2
PE121033	1	3	4	1
PE121034	1	1	5	1
PE121036	1	3	4	2
PE121047	1	1	14	2
PE121047	2	2	2	2
PE121052	1	2	1	1
PE121053	1	3	1	2
PE121053	2	4	1	2
PE121054	1	2	5	3
PE121056	1	1	1	2
PE121060	1	1	44	3
PE121061	1	3	12	2
PE121062	1	2	1	2
PE121067	1	2	8	1
PE121070	1	2	1	2
PE121070	2	5	1	2
PE121072	1	2	48	1
PE121075	1	3	3	2
PE121082	1	1	36	3
PE121083	1	2	1	2
PE121086	1	2	10	1
PE121088	1	3	1	2
PE121091	1	2	4	1
PE121092	1	2	4	2
PE121097	1	6	12	1
PE121099	1	3	2	2
PE121101	1	2	12	2
PE131007	1	1	25	1
PE131008	1	4	1	1
PE131012	1	1	4	3
PE131014	1	6	12	1
PE131024	1	2	1	1
PE131027	1	1	2	1
PE131033	1	3	12	1
PE131037	1	3	12	2
PE131037	2	2	12	1
PE131037	3	1	6	1
PE131042	1	1	4	2
PE131045	1	2	9	1
PE131052	1	1	24	1
PE131055	1	6	1	1
PE131060	1	3	44	3
PE131065	1	1	12	1
PE131072	1	1	12	1
PE131076	1	1	8	1
PE131084	1	1	12	3
PE131085	1	1	12	3
PE131086	1	2	4	1
PE141003	1	3	10	2
PE141010	1	5	12	1
PE141010	2	5	12	1
PE141011	1	2	5	1
PE141011	2	5	1	2
PE141016	1	6	11	1
PE141022	1	2	5	2
PE141022	2	1	12	2
PE141026	1	3	1	2
PE141026	2	3	36	2
PE141026	3	2	48	2
PE141031	1	3	7	3
PE141032	1	3	1	2
PE141036	1	1	60	2
PE141037	1	2	3	2
PE141039	1	2	1	2
PE141044	1	2	12	1
PE141048	1	1	4	1
PE141048	2	4	2	1
PE141052	1	6	2	2
PE141052	2	4	2	2
PE141052	3	3	3	2
PE141069	1	2	1	2
PE141072	1	3	1	2
PE141072	2	3	1	2
PE141074	1	1	20	3
PE141075	1	1	10	1
PE141099	1	3	48	2
PE151005	1	3	2	1
PE151006	1	2	2	1
PE151033	1	1	12	1
PE151036	1	3	8	1
PE151084	1	1	2	1
PE151084	2	2	4	1
PE151086	1	4	1	1
PE151100	1	3	2	2
PE151101	1	2	2	2
PE151107	1	3	12	1
PE151110	1	4	3	1
PE161009	1	6	1	2
PE161010	1	4	3	2
PE161020	1	1	4	1
PE161038	1	4	12	1
PE161044	1	2	2	2
PE161045	1	2	3	1
PE161049	1	1	12	1
PE161050	1	1	4	2
PE161051	1	1	2	1
PE161052	1	1	3	1
PE161056	1	1	48	3
PE161058	1	1	5	2
PE161062	1	3	3	2
PE161069	1	2	1	2
PE161106	1	3	3	2
PE171010	1	1	12	2
PE171013	1	1	4	1
PE171050	1	1	12	1
PE171057	1	2	1	2
PE171063	1	2	2	1
PE171065	1	5	1	3
PE171067	1	1	5	3
PE171076	1	1	3	1
PE171083	1	3	3	3
PE171085	1	3	12	3
PE171089	1	5	1	2
PE171090	1	6	8	2
PE181038	1	3	4	2
PE181078	1	4	3	2
PE181105	1	2	3	1
PE191001	1	2	3	2
PE191017	1	2	1	1
PE191018	1	1	1	2
PE191019	1	3	1	1
PE191026	1	7	6	1
PE191027	1	1	2	1
PE191027	2	2	5	1
PE191029	1	2	5	1
PE191030	1	6	3	2
PE191031	1	1	12	1
PE191043	1	2	3	1
PE191056	1	2	1	1
PE191056	2	2	1	1
PE191056	3	2	1	1
PE191063	1	3	10	1
PE191067	1	6	4	3
PE191087	1	1	4	1
PE191094	1	1	12	3
PE191098	1	3	3	1
PE191102	1	1	1	2
PE191103	1	3	5	2
PE201002	1	1	12	1
PE201009	1	1	12	1
PE201013	1	3	36	3
PE201015	1	1	10	1
PE201017	1	1	12	1
PE201024	1	1	2	2
PE201034	1	1	1	2
PE201039	1	3	6	1
PE201040	1	3	10	2
PE201041	1	3	1	2
PE201050	1	3	8	2
PE201056	1	3	20	2
PE201057	1	3	1	2
PE201058	1	1	8	1
PE201058	2	4	1	3
PE201061	1	3	12	1
PE201069	1	1	12	1
PE201072	1	3	1	2
PE201073	1	3	9	3
PE201077	1	3	3	2
PE201077	2	2	3	2
PE201080	1	3	3	2
PE201080	2	3	3	2
PE201087	1	3	12	1
PE201093	1	4	12	3
PE201100	1	3	2	1
PE201102	1	3	1	2
