PLACEID	RSID	MODULE	SECTION	SECTION2	SECTION3	AGERES	SEXRES	INFCASTE	CAPAC	LIVRES
IN008	14	2	1	 	 	45	2	2	1	45
IN008	15	2	1	2	 	29	2	2	4	29
IN008	16	2	1	 	 	37	1	2	8	20
IN008	17	1	4	 	 	37	1	2	8	20
IN008	18	1	5	 	 	35	1	4	8	9
IN008	19	1	5	 	 	35	1	4	8	30
IN008	20	1	5	 	 	48	1	4	8	25
IN008	21	1	5	 	 	30	1	4	8	30
IN008	22	1	5	 	 	58	1	4	8	45
IN008	23	1	5	 	 	36	1	3	8	36
IN009	1	1	1	2	3	40	1	2	1	40
IN009	2	1	4	 	 	27	1	2	2	27
IN009	3	1	5	 	 	58	1	4	8	45
IN009	4	1	5	 	 	35	1	4	8	9
IN009	5	1	1	2	3	60	1	2	2	60
IN009	6	1	1	2	3	30	2	1	4	30
IN009	7	1	5	 	 	50	1	4	8	30
IN009	8	1	5	 	 	48	1	4	8	20
IN009	9	1	5	 	 	24	1	4	8	24
IN009	10	1	5	 	 	38	1	4	8	38
IN009	11	1	5	 	 	30	1	4	8	30
IN009	12	2	2	 	 	29	2	4	3	2
IN009	13	2	2	 	 	45	2	1	3	20
IN009	14	1	4	 	 	40	1	2	1	40
IN009	15	1	4	 	 	60	1	2	2	60
IN009	16	2	1	2	 	30	2	1	4	30
IN009	17	2	1	 	 	40	1	2	1	40
IN009	18	2	1	 	 	60	1	2	2	60
IN009	19	1	5	 	 	35	1	4	8	30
IN009	20	1	5	 	 	42	1	3	8	42
IN009	21	1	5	 	 	48	1	4	8	25
IN009	22	1	5	 	 	30	1	4	8	30
IN010	1	1	1	2	3	25	1	2	1	25
IN010	2	1	1	2	3	40	1	2	3	40
IN010	3	1	1	2	3	50	1	2	2	50
IN010	4	2	1	2	 	30	2	2	4	30
IN010	5	1	5	 	 	50	1	4	8	30
IN010	6	1	5	 	 	40	1	4	8	20
IN010	7	1	5	 	 	24	1	4	8	24
IN010	8	1	5	 	 	30	1	4	8	30
IN010	9	1	5	 	 	38	1	4	8	38
IN010	10	1	5	 	 	35	1	4	3	30
IN010	11	1	5	 	 	35	1	4	3	9
IN010	12	1	4	 	 	25	1	2	1	25
IN010	13	1	4	 	 	40	1	2	3	40
IN010	14	1	4	 	 	50	1	2	2	50
IN010	15	2	1	2	 	25	1	2	1	25
IN010	16	2	1	2	 	40	1	2	3	40
IN010	17	1	5	 	 	42	1	3	8	42
IN010	18	1	5	 	 	58	1	4	8	45
IN010	19	1	5	 	 	58	1	4	8	45
IN010	20	1	5	 	 	30	1	4	8	30
IN011	1	1	1	2	3	37	1	2	8	37
IN011	2	1	1	2	3	45	2	2	1	40
IN011	3	1	1	2	3	60	1	2	8	30
IN011	4	2	2	 	 	29	2	4	3	2
IN011	5	2	2	 	 	45	2	1	3	20
IN011	6	1	4	 	 	32	2	2	4	32
IN011	7	1	4	 	 	35	2	2	4	35
IN011	8	1	4	 	 	34	2	2	4	30
IN011	9	1	5	 	 	50	1	4	8	30
IN011	10	1	5	 	 	40	1	4	8	20
IN011	11	2	1	2	 	25	2	2	3	1
IN011	12	2	1	 	 	45	1	2	8	7
IN011	13	1	5	 	 	26	1	4	8	20
IN011	14	1	5	 	 	30	1	4	8	30
IN011	15	1	5	 	 	38	1	4	8	20
IN011	16	1	5	 	 	48	1	4	8	25
IN011	17	1	5	 	 	35	1	4	8	30
IN011	18	1	5	 	 	36	1	3	8	6
IN011	19	1	5	 	 	58	1	4	8	45
IN011	20	1	2	1	 	30	2	2	4	30
IN011	21	1	5	 	 	48	1	4	8	25
IN011	22	1	5	 	 	30	1	4	8	30
IN012	1	1	1	2	3	49	1	3	1	49
IN012	2	1	1	2	3	41	1	3	2	41
IN012	3	2	1	 	 	30	1	2	4	1
IN012	4	2	1	 	 	28	1	1	4	1
IN012	5	1	1	2	3	20	2	3	4	20
IN012	6	2	1	 	 	49	1	3	4	6
IN012	7	2	1	 	 	30	1	3	4	1
IN012	8	1	4	5	 	40	2	3	4	17
IN012	9	1	4	5	 	38	2	1	8	38
IN012	10	1	5	4	 	46	2	3	2	46
IN012	11	1	5	4	 	28	1	3	8	28
IN012	12	1	5	 	 	36	1	3	8	8
IN012	13	1	5	 	 	39	1	4	8	17
IN012	14	2	2	 	 	40	1	3	3	2
IN012	15	2	2	 	 	27	1	3	3	1
IN012	16	2	1	2	 	33	2	1	3	2
IN012	17	2	1	2	 	24	2	1	3	4
IN012	18	1	5	 	 	24	1	4	8	6
IN013	1	1	1	2	3	38	1	2	1	38
IN013	2	1	1	2	3	42	1	1	8	42
IN013	3	1	1	2	3	70	1	3	8	70
IN013	4	2	1	2	 	37	2	3	4	17
IN013	5	1	4	5	 	39	2	3	4	20
IN013	6	1	4	5	 	25	2	2	8	25
IN013	7	1	4	5	 	38	2	2	6	20
IN013	8	1	4	5	 	35	1	4	8	25
IN013	9	2	1	 	 	51	1	3	4	1
IN013	10	2	1	 	 	32	1	3	4	32
IN013	11	2	1	 	 	30	1	1	4	32
IN013	12	1	5	 	 	36	1	3	8	8
IN013	13	1	5	 	 	39	1	4	8	17
IN013	14	2	1	2	 	38	2	2	6	20
IN013	15	2	2	 	 	43	1	3	3	4
IN013	16	2	2	 	 	53	1	2	3	2
IN013	17	2	2	 	 	35	2	3	3	3
IN013	18	1	5	 	 	24	1	4	8	6
IN014	1	1	1	2	3	38	2	3	1	38
IN014	2	1	1	2	3	44	1	3	2	44
IN014	3	1	1	2	3	36	2	3	9	7
IN014	4	1	4	5	 	38	1	1	8	38
IN014	5	1	4	5	 	29	2	1	8	8
IN014	6	2	1	2	 	56	1	3	4	1
IN014	7	2	1	2	 	31	1	3	4	4
IN014	8	1	4	5	 	29	1	3	6	29
IN014	9	2	1	2	 	30	2	3	4	30
IN014	10	2	1	2	 	24	2	3	4	5
IN014	11	1	5	 	 	38	1	4	8	38
IN014	12	1	5	 	 	36	1	3	8	8
IN014	13	1	4	5	 	39	1	4	8	17
IN014	14	2	2	 	 	40	1	3	3	2
IN014	15	2	2	 	 	27	1	3	3	1
IN014	16	1	5	 	 	24	1	4	8	6
IN015	1	1	1	2	3	37	2	3	1	37
IN015	2	1	1	2	3	47	1	3	3	47
IN015	3	1	1	2	3	30	2	3	4	20
IN015	4	1	4	5	 	23	2	1	6	26
IN015	5	1	4	5	 	35	1	3	8	35
IN015	6	1	4	5	 	38	2	3	4	 
IN015	7	1	4	5	 	45	1	3	7	45
IN015	8	2	1	2	 	43	1	3	8	43
IN015	9	2	1	2	 	27	1	3	8	43
IN015	10	2	2	 	 	48	1	3	3	10
IN015	11	2	2	 	 	30	1	3	3	1
IN015	12	2	1	2	 	38	2	3	3	9
IN015	13	2	1	2	 	30	1	1	3	3
IN015	14	2	1	 	 	32	2	3	3	8
IN015	15	2	1	 	 	28	1	3	8	28
IN015	16	1	5	 	 	29	1	4	8	38
IN015	17	1	5	 	 	29	1	4	8	29
IN015	18	1	4	5	 	45	2	3	6	20
IN015	19	1	5	 	 	39	1	4	8	17
IN016	1	1	1	2	3	33	1	3	1	33
IN016	2	1	1	2	3	32	1	3	7	32
IN016	3	2	1	 	 	30	2	3	4	12
IN016	4	1	4	5	3	36	2	3	6	23
IN016	5	1	4	5	 	30	2	3	6	10
IN016	6	1	4	5	 	50	1	4	8	6
IN016	7	2	1	 	 	25	2	3	4	8
IN016	8	1	4	2	 	32	2	3	8	18
IN016	9	2	2	 	 	24	2	3	3	2
IN016	10	1	5	4	3	55	1	3	7	55
IN016	11	2	2	 	 	48	1	3	3	10
IN016	12	2	2	 	 	30	1	3	3	1
IN016	13	1	5	4	3	24	1	4	8	6
IN016	14	1	5	 	 	36	1	3	8	17
IN016	15	1	5	 	 	39	1	4	8	17
IN016	16	1	5	 	 	24	1	4	8	6
IN017	1	1	1	2	3	52	2	3	1	36
IN017	2	1	1	2	3	62	1	3	2	62
IN017	3	1	4	5	 	45	1	3	8	45
IN017	4	1	4	5	3	55	1	3	8	55
IN017	5	2	1	 	 	29	2	1	3	1
IN017	6	2	1	 	 	35	2	3	4	15
IN017	7	2	1	 	 	48	2	3	4	1
IN017	8	2	1	 	 	26	1	2	4	6
IN017	9	2	1	 	 	55	2	3	8	55
IN017	10	1	4	5	 	35	2	3	6	20
IN017	11	1	4	5	 	22	2	1	2	22
IN017	12	1	4	5	 	50	2	3	5	30
IN017	13	2	2	 	 	40	1	3	3	2
IN017	14	2	2	 	 	27	1	3	3	1
IN017	15	1	5	 	 	36	1	3	8	8
IN017	16	1	5	 	 	39	1	4	8	17
IN017	17	1	5	 	 	24	1	4	8	6
IN018	1	1	1	2	3	33	1	3	1	33
IN018	2	1	1	2	4	56	1	3	7	56
IN018	3	1	1	2	4	42	1	3	1	42
IN018	4	1	1	2	3	44	1	3	2	44
IN018	5	1	1	5	 	31	1	3	8	31
IN018	6	1	1	3	4	38	2	1	2	20
IN018	7	1	1	3	4	35	2	3	6	20
IN018	8	2	1	2	 	33	1	3	1	33
IN018	9	2	1	2	 	38	2	1	2	20
IN018	10	2	2	 	 	28	1	3	3	1
IN018	11	2	2	 	 	48	1	3	8	16
IN018	12	2	2	 	 	37	2	1	3	2
IN018	13	1	5	 	 	48	1	3	8	20
IN018	14	1	5	 	 	39	1	4	8	39
IN018	15	1	5	 	 	52	1	4	8	30
IN018	16	1	5	 	 	50	1	4	8	30
IN019	1	1	1	2	3	36	2	3	1	20
IN019	2	1	1	2	3	42	1	3	1	42
IN019	3	1	1	2	5	48	1	3	8	35
IN019	4	1	1	2	3	43	1	2	4	4
IN019	5	1	1	2	4	32	1	3	8	32
IN019	6	1	1	2	4	40	2	2	6	25
IN019	7	2	1	2	 	34	1	3	4	34
IN019	8	2	1	2	 	25	1	3	4	25
IN019	9	2	1	2	 	22	1	3	4	22
IN019	10	2	1	2	 	29	1	3	3	2
IN019	11	2	1	2	 	33	2	1	3	1
IN019	12	1	5	 	 	39	1	4	8	39
IN019	13	2	1	2	 	42	2	4	3	15
IN019	14	2	1	2	 	27	2	1	3	2
IN019	15	2	1	2	 	30	2	2	4	13
IN019	16	1	5	 	 	51	1	2	8	30
IN019	17	2	1	2	 	42	1	2	1	42
IN019	18	1	5	 	 	48	1	3	8	20
IN019	19	1	5	 	 	52	1	4	8	30
IN019	20	1	5	 	 	50	1	4	8	30
IN020	1	1	1	2	3	35	1	3	1	12
IN020	2	1	1	2	3	45	1	3	1	45
IN020	3	1	1	2	5	45	1	1	4	8
IN020	4	1	1	2	3	35	1	3	8	35
IN020	5	1	3	4	5	30	2	1	6	30
IN020	6	1	3	4	5	35	1	3	8	35
IN020	7	1	4	5	 	45	1	3	1	45
IN020	8	2	1	2	 	45	1	1	4	8
IN020	9	2	1	1	 	45	1	3	1	45
IN020	10	2	2	 	 	28	1	3	3	1
IN020	11	2	2	 	 	48	1	3	8	16
IN020	12	2	2	 	 	37	2	1	3	2
IN020	13	1	5	 	 	39	1	4	8	39
IN020	14	1	5	 	 	48	1	3	8	20
IN020	15	1	5	 	 	50	1	4	8	30
IN020	16	1	5	 	 	52	1	4	8	30
IN021	1	1	1	2	3	29	2	3	1	13
IN021	2	1	1	2	3	39	1	1	4	0
IN021	3	1	1	2	5	39	2	3	4	21
IN021	4	1	1	2	3	40	1	3	7	40
IN021	5	1	1	2	4	30	1	3	7	30
IN021	6	1	1	2	4	74	1	3	7	74
IN021	7	1	1	2	5	70	1	3	7	70
IN021	8	1	1	2	5	26	2	3	6	26
IN021	9	1	1	2	5	45	2	3	6	45
IN021	10	2	1	2	 	40	1	3	7	40
IN021	11	2	1	2	 	39	2	3	4	21
IN021	12	2	1	2	 	39	1	1	1	3
IN021	13	1	5	 	 	48	1	3	8	20
IN021	14	1	5	 	 	34	1	3	3	3
IN021	15	2	1	2	 	34	1	3	3	3
IN021	16	1	5	 	 	52	1	4	8	30
IN021	17	1	5	 	 	50	1	4	8	30
IN022	1	1	1	2	3	40	1	3	1	40
IN022	2	1	1	2	3	40	2	3	6	40
IN022	3	1	3	4	1	32	2	3	4	32
IN022	4	1	3	4	5	55	2	3	6	40
IN022	5	1	5	 	 	39	2	3	8	20
IN022	6	2	1	2	 	53	1	3	4	1
IN022	7	1	3	4	 	27	2	3	8	15
IN022	8	2	1	2	 	34	1	3	4	1
IN022	9	2	1	2	 	40	1	4	4	6
IN022	10	2	2	 	 	34	1	3	3	3
IN022	11	2	2	 	 	25	2	3	3	2
IN022	12	2	2	 	 	48	1	3	8	20
IN022	13	1	5	 	 	48	1	3	8	20
IN022	14	1	5	 	 	39	1	4	8	39
IN022	15	1	5	 	 	52	1	4	8	30
IN022	16	1	5	 	 	50	1	4	8	30
IN023	1	1	1	2	3	55	2	2	1	50
IN023	2	1	4	5	 	55	1	3	4	1
IN023	3	1	4	5	 	29	2	3	4	10
IN023	4	1	4	5	 	36	2	3	8	20
IN023	5	1	1	2	3	37	2	3	6	37
IN023	6	1	4	5	 	35	2	3	1	35
IN023	7	1	5	 	 	53	1	4	8	53
IN023	8	1	1	2	3	50	1	3	7	50
IN023	9	1	5	 	 	50	1	4	8	30
IN023	10	2	1	2	 	34	1	3	3	3
IN023	11	2	1	2	 	25	2	3	3	3
IN023	12	1	5	 	 	48	1	3	8	20
IN023	13	1	5	 	 	39	1	4	8	39
IN023	14	1	5	 	 	52	1	4	8	30
IN024	1	1	1	2	3	40	1	4	1	40
IN024	2	1	1	2	3	28	2	4	4	28
IN024	3	1	1	2	4	30	2	3	4	11
IN024	4	1	5	3	 	31	1	4	8	7
IN024	5	2	2	 	 	70	1	3	3	5
IN024	6	2	2	 	 	50	2	3	3	50
IN024	7	2	2	 	 	30	2	1	3	3
IN024	8	2	2	 	 	30	2	3	3	1
IN024	9	1	5	 	 	54	2	4	8	56
IN024	10	1	5	 	 	37	1	4	8	18
IN024	11	1	5	 	 	24	1	4	8	24
IN024	12	1	4	5	 	40	1	4	1	40
IN024	13	1	4	5	 	28	2	4	4	28
IN024	14	2	1	2	 	40	1	4	1	40
IN024	15	2	1	2	 	28	2	4	4	28
IN024	16	2	1	2	 	30	2	3	4	11
IN024	17	1	5	 	 	50	1	4	8	50
IN024	18	1	5	 	 	38	1	1	8	38
IN025	1	1	1	2	3	45	2	3	1	21
IN025	2	1	1	2	3	28	2	3	4	9
IN025	3	1	1	2	3	23	2	3	4	13
IN025	4	1	4	5	 	31	2	3	4	31
IN025	5	1	4	5	 	47	1	3	7	47
IN025	6	1	4	5	 	31	1	4	8	7
IN025	7	2	1	2	 	70	1	3	3	5
IN025	8	2	1	2	 	50	2	3	3	50
IN025	9	2	1	2	 	30	2	1	3	3
IN025	10	2	1	2	 	30	2	3	3	1
IN025	11	1	4	5	 	54	2	4	8	56
IN025	12	1	4	5	 	37	1	4	8	18
IN025	13	1	4	5	 	24	1	4	8	24
IN025	14	2	1	2	 	45	2	3	1	21
IN025	15	2	1	2	 	47	1	3	7	47
IN025	16	1	5	 	 	50	1	4	8	50
IN025	17	1	5	 	 	38	1	1	8	38
IN026	1	1	1	2	3	52	1	3	1	52
IN026	2	1	1	2	3	45	1	4	8	26
IN026	3	2	1	2	 	26	2	4	4	9
IN026	4	1	5	 	 	40	1	3	8	1
IN026	5	2	1	2	 	36	2	3	4	15
IN026	6	1	1	2	3	32	2	1	8	4
IN026	7	2	1	2	 	28	2	3	3	1
IN026	8	2	1	2	 	62	1	4	3	1
IN026	9	2	1	2	 	42	2	3	3	1
IN026	10	1	5	4	 	37	1	3	8	33
IN026	11	1	5	4	 	35	1	4	8	35
IN026	12	1	4	5	 	52	1	3	1	52
IN026	13	1	4	5	 	45	1	4	8	26
IN026	14	1	5	 	 	54	2	4	8	56
IN026	15	1	5	 	 	24	1	4	8	24
IN026	16	1	5	 	 	50	1	4	8	50
IN026	17	1	5	 	 	38	1	1	8	38
IN027	1	1	1	2	3	45	1	2	1	45
IN027	2	1	1	2	3	45	1	2	1	45
IN027	3	1	4	 	 	45	1	2	1	45
IN027	4	1	4	 	 	45	1	2	1	45
IN027	5	2	2	 	 	41	1	4	3	25
IN027	6	1	1	2	3	30	2	2	4	30
IN027	7	2	1	 	 	32	2	2	4	25
IN027	8	2	2	 	 	56	1	4	3	10
IN027	9	2	2	 	 	50	1	3	3	12
IN027	10	1	5	 	 	38	1	4	8	10
IN027	11	1	5	 	 	30	1	4	8	5
IN027	12	1	5	 	 	29	1	4	8	10
IN027	13	1	5	 	 	32	1	4	8	5
IN027	14	1	5	 	 	28	2	4	8	10
IN027	15	1	5	 	 	29	1	4	8	7
IN027	16	2	1	 	 	45	1	2	1	45
IN027	17	2	1	 	 	45	1	2	1	45
IN027	18	1	5	 	 	32	1	4	8	20
IN027	19	1	5	 	 	46	1	4	8	30
IN028	1	1	1	2	3	53	1	2	1	26
IN028	2	1	1	2	3	26	2	2	6	6
IN028	3	1	1	2	3	33	1	4	2	9
IN028	4	1	4	 	 	27	1	2	2	27
IN028	5	1	4	 	 	53	1	2	1	26
IN028	6	1	4	 	 	26	2	2	6	6
IN028	7	1	5	 	 	35	1	4	8	32
IN028	8	1	5	 	 	49	1	4	8	30
IN028	9	1	5	 	 	34	1	4	8	34
IN028	10	1	5	 	 	37	1	4	8	32
IN028	11	1	5	 	 	50	2	4	8	30
IN028	12	1	5	 	 	43	1	4	8	23
IN028	13	1	5	 	 	31	1	3	8	31
IN028	14	2	1	 	 	56	2	4	4	26
IN028	15	2	2	 	 	45	2	1	3	1
IN028	16	2	2	 	 	30	1	1	3	4
IN028	17	2	1	 	 	53	1	2	1	26
IN028	18	1	5	 	 	46	1	4	8	20
IN028	19	1	5	 	 	38	1	4	8	35
IN029	1	1	1	2	3	45	2	4	1	30
IN029	2	1	1	2	3	39	1	3	1	39
IN029	3	2	2	 	 	29	2	2	3	2
IN029	4	2	2	 	 	26	2	2	3	1
IN029	5	1	1	2	3	42	2	3	4	20
IN029	6	1	5	 	 	25	1	4	8	6
IN029	7	1	5	 	 	29	1	4	8	10
IN029	8	1	5	 	 	30	1	4	8	30
IN029	9	1	5	 	 	45	1	4	8	15
IN029	10	1	5	 	 	29	1	4	8	7
IN029	11	1	5	 	 	28	2	4	8	6
IN029	12	1	4	 	 	45	2	4	1	30
IN029	13	1	4	 	 	39	1	3	1	39
IN029	14	1	4	 	 	42	2	3	4	20
IN029	15	2	1	 	 	45	2	4	1	30
IN029	16	2	1	 	 	39	1	3	1	39
IN029	17	2	1	 	 	42	2	3	4	20
IN029	18	1	5	 	 	46	1	4	8	46
IN029	19	1	5	 	 	32	1	4	8	20
IN029	20	1	5	 	 	45	1	4	8	45
IN029	21	1	5	 	 	45	1	4	8	45
IN029	22	1	5	 	 	38	1	4	8	38
IN029	23	1	5	 	 	33	1	4	8	33
IN030	1	1	1	2	3	39	1	2	1	39
IN030	2	2	2	 	 	34	2	2	3	20
IN030	3	2	2	 	 	42	2	2	3	20
IN030	4	1	1	2	3	33	2	1	1	12
IN030	5	1	5	 	 	38	1	4	8	34
IN030	6	1	5	 	 	33	1	4	8	33
IN030	7	1	5	 	 	36	1	4	8	36
IN030	8	1	5	 	 	37	1	4	8	37
IN030	9	1	5	 	 	35	1	4	8	35
IN030	10	1	5	 	 	50	1	4	8	30
IN030	11	1	5	 	 	40	1	4	8	20
IN030	12	1	5	 	 	31	1	3	8	31
IN030	13	1	1	2	3	38	1	2	1	38
IN030	14	2	1	 	 	37	2	2	4	19
IN030	15	2	2	 	 	31	1	1	3	4
IN030	16	1	4	 	 	39	1	2	1	39
IN030	17	1	4	 	 	33	2	1	1	12
IN030	18	2	1	 	 	39	1	2	1	39
IN030	19	1	5	 	 	34	2	3	8	7
IN030	20	1	5	 	 	46	1	4	8	20
IN031	1	1	1	2	3	63	1	2	1	63
IN031	2	1	1	2	3	42	2	2	1	42
IN031	3	1	2	4	 	32	1	2	2	32
IN031	4	1	1	3	4	33	1	2	1	33
IN031	5	1	5	 	 	38	2	4	8	18
IN031	6	1	5	 	 	41	2	2	8	23
IN031	7	1	5	 	 	31	1	4	8	31
IN031	8	1	5	 	 	39	1	4	8	14
IN031	9	1	5	 	 	37	2	3	8	12
IN031	10	1	5	 	 	43	1	4	8	13
IN031	11	1	5	 	 	37	1	4	8	7
IN031	12	1	5	 	 	37	1	4	8	10
IN031	13	2	1	2	 	41	2	4	4	14
IN031	14	2	2	 	 	32	1	1	3	5
IN031	15	2	2	 	 	45	2	1	3	1
IN031	16	1	4	 	 	63	1	2	1	63
IN031	17	2	1	 	 	63	1	2	1	63
IN032	1	1	1	2	3	45	1	2	1	45
IN032	2	1	1	2	3	40	1	4	2	40
IN032	3	1	1	2	3	27	2	2	4	6
IN032	4	1	5	 	 	49	1	4	8	49
IN032	5	1	5	 	 	35	1	4	8	35
IN032	6	1	5	 	 	46	1	4	8	46
IN032	7	1	5	 	 	37	1	3	8	20
