placeid	schlid	nmchlatd	descschl
IN089	6	2	1
IN089	7	2	1
IN089	8	4	4
IN089	9	2	1
IN089	10	1	1
IN089	11	1	1
IN089	12	1	1
IN089	13	1	1
IN089	14	2	1
IN089	15	2	1
