CHILDID	PREID	AGEPRESC	PRESCDUR	PRESCTYP	PAYPRESC	PRESCCRE	DAYSPRES	HRSPRESC	PRESCVIS
VN020010	1	64	1	3	1	2	5	3	1
VN020011	1	65	1	3	1	2	5	3	1
VN020012	1	45	1	1	1	3	6	3	1
VN020012	2	57	1	3	1	2	5	3	1
VN020013	1	36	3	1	1	2	6	6	1
VN020016	1	57	1	1	1	2	6	9	1
VN020018	1	56	2	3	1	2	5	3	0
VN020019	1	65	1	3	1	2	5	3	1
VN020020	1	52	4	3	1	3	5	3	1
VN020021	1	47	4	1	1	2	6	5	1
VN020022	1	47	4	1	0	2	6	6	1
VN020023	1	56	1	1	1	2	6	3	1
VN020024	1	61	1	3	1	2	5	3	1
VN020025	1	58	1	3	1	2	5	3	1
VN020026	1	59	1	3	1	3	5	3	1
VN020027	1	40	4	1	1	3	5	3	1
VN020027	2	64	1	3	1	2	5	3	1
VN020028	1	64	1	1	1	2	5	3	1
VN020029	1	57	1	3	1	2	5	3	1
VN020032	1	61	1	3	1	2	5	4	1
VN020033	1	62	1	3	1	2	5	3	1
VN020034	1	59	1	1	1	3	5	3	1
VN020037	1	60	1	3	1	3	5	3	1
VN020038	1	44	1	1	1	2	6	3	1
VN020038	2	62	1	3	1	3	5	3	0
VN020039	1	64	1	3	1	2	5	4	1
VN020041	1	61	1	3	1	2	5	3	1
VN020043	1	60	1	3	1	2	5	3	1
VN020044	1	58	1	3	1	2	5	3	1
VN020046	1	61	1	3	1	2	5	3	1
VN020047	1	62	1	3	1	2	5	3	1
VN020048	1	47	3	3	1	2	5	3	1
VN020050	1	53	3	3	1	3	5	3	1
VN020052	1	48	3	3	1	3	5	3	0
VN020053	1	59	1	3	1	2	5	3	0
VN020054	1	62	1	3	1	3	5	3	1
VN020055	1	57	1	3	1	3	5	3	0
VN020056	1	65	1	3	1	2	5	3	1
VN020060	1	64	1	3	1	2	5	4	1
VN020061	1	61	1	3	1	2	5	3	1
VN020062	1	61	1	3	1	2	5	3	1
VN020063	1	60	1	3	1	3	5	3	0
VN020064	1	60	1	3	1	2	5	3	1
VN020065	1	65	1	3	1	3	5	3	1
VN020066	1	45	1	1	1	2	5	3	0
VN020066	2	61	4	3	1	3	5	3	1
VN020067	1	59	1	3	1	1	5	3	1
VN020069	1	57	1	3	1	2	5	3	1
VN020070	1	65	1	3	1	3	5	3	1
VN020073	1	60	1	3	1	3	5	3	0
VN020075	1	57	1	3	1	3	5	3	0
VN020077	1	59	1	3	1	3	5	3	0
VN020079	1	58	1	3	1	2	5	3	1
VN020080	1	61	1	3	1	2	5	3	1
VN020081	1	57	1	3	1	3	5	3	1
VN020083	1	51	1	3	1	2	5	3	1
VN020084	1	55	1	3	1	2	5	3	0
VN020086	1	61	1	3	1	2	5	6	1
VN020087	1	62	1	3	1	2	5	3	0
VN020088	1	64	1	3	1	1	5	3	1
VN020089	1	47	3	3	1	3	5	3	1
VN020090	1	45	3	3	1	2	5	3	1
VN020091	1	60	1	3	1	3	5	3	0
VN020092	1	58	1	3	1	3	5	4	1
VN020094	1	57	1	3	1	2	5	3	1
VN020096	1	59	1	3	1	2	5	4	1
VN020097	1	62	1	3	1	2	5	3	1
VN020099	1	63	1	3	1	3	5	3	1
VN020105	1	64	1	3	1	2	5	3	0
VN020106	1	59	1	3	1	2	5	4	1
VN020110	1	61	1	3	1	3	5	3	1
VN020112	1	58	1	3	1	3	5	3	1
VN020114	1	64	1	3	1	2	5	3	1
VN020117	1	57	1	3	1	3	5	3	1
VN020118	1	64	1	3	1	2	5	3	1
VN020119	1	59	1	3	1	3	5	3	1
VN020122	1	60	1	3	1	2	5	3	1
VN020125	1	47	3	3	1	2	5	3	1
VN020129	1	55	1	1	1	2	6	3	1
VN020131	1	64	1	3	1	2	5	3	1
VN020133	1	61	1	3	1	3	5	3	1
VN020135	1	52	1	1	1	2	6	9	1
VN020135	2	64	1	3	1	2	5	3	1
VN020136	1	57	1	3	1	2	5	3	0
VN030003	1	49	3	3	1	2	5	4	0
VN030004	1	48	4	1	1	2	5	3	1
VN030005	1	58	4	3	1	2	5	4	0
VN030006	1	65	4	3	1	2	5	3	1
VN030008	1	49	4	3	1	2	5	3	1
VN030009	1	42	4	3	1	2	5	3	1
VN030010	1	46	4	3	1	3	5	3	1
VN030011	1	55	1	3	1	2	5	4	0
VN030012	1	48	2	3	1	2	5	4	0
VN030013	1	49	3	3	1	2	5	4	0
VN030014	1	48	3	3	1	2	5	4	0
VN030016	1	49	4	3	1	2	5	4	0
VN030017	1	60	4	3	1	2	5	4	0
VN030018	1	47	3	3	1	2	5	4	0
VN030019	1	37	4	3	1	2	5	4	1
VN030020	1	46	4	1	1	2	5	3	1
VN030021	1	55	1	3	1	3	5	4	0
VN030022	1	51	2	1	1	2	5	4	1
VN030023	1	54	4	3	1	3	5	3	1
VN030024	1	61	4	3	1	2	5	4	0
VN030025	1	54	2	3	1	2	5	4	0
VN030026	1	45	4	3	1	2	5	3	1
VN030027	1	55	1	3	1	2	5	4	1
VN030029	1	45	1	3	1	3	5	4	0
VN030030	1	37	4	3	1	2	5	4	0
VN030032	1	54	1	3	1	3	5	4	0
VN030034	1	37	4	3	1	2	5	4	1
VN030035	1	48	4	3	1	2	5	3	1
VN030036	1	49	4	3	1	2	5	3	1
VN030037	1	61	4	3	1	2	5	4	0
VN030038	1	64	4	3	1	3	5	3	1
VN030039	1	37	4	3	1	2	5	4	1
VN030040	1	50	4	3	1	2	5	3	1
VN030041	1	59	4	3	1	2	5	3	1
VN030042	1	57	4	3	1	2	5	3	1
VN030043	1	49	2	3	1	2	5	4	1
VN030044	1	38	3	3	1	3	5	4	1
VN030047	1	48	4	3	1	2	5	4	1
VN030048	1	49	2	3	1	2	5	4	0
VN030049	1	48	4	3	1	2	5	4	1
VN030051	1	60	4	3	1	2	5	4	1
VN030052	1	40	4	3	1	2	5	4	1
VN030055	1	48	2	3	1	2	5	4	0
VN030056	1	48	4	3	1	2	5	4	0
VN030057	1	58	4	3	1	2	5	4	1
VN030059	1	48	4	3	1	2	5	4	1
VN030061	1	54	4	3	1	2	5	4	1
VN030064	1	60	4	3	1	2	5	5	1
