CHILDID	CRECHID	AGECRECH	CRECHDUR	CRECHTYP	PAYCRECH	CRCHQUAL	DAYSCREC	HRSCRECH	CRECHVIS
VN160004	1	24	3	3	1	3	5	7	1
VN160005	1	12	3	3	1	2	6	8	0
VN160006	1	15	3	3	1	2	6	8	0
VN160009	1	17	3	3	1	3	5	7	1
VN160010	1	14	1	3	1	3	6	8	0
VN160011	1	24	1	3	1	3	5	7	1
VN160013	1	24	3	3	1	2	5	8	1
VN160014	1	12	2	3	1	2	5	8	1
VN160015	1	24	1	3	1	3	5	7	1
VN160017	1	18	4	3	1	2	6	8	0
VN160018	1	12	4	3	1	2	6	8	0
VN160042	1	24	3	3	1	3	5	8	1
VN160043	1	18	3	3	1	3	6	8	1
VN160046	1	12	3	1	1	3	6	8	1
VN160049	1	12	3	3	1	2	6	7	0
VN160050	1	13	3	3	1	3	5	7	1
VN160051	1	24	3	3	1	2	5	8	1
VN160052	1	26	3	3	1	2	6	8	0
VN160054	1	12	2	3	1	2	5	8	1
VN160056	1	12	3	1	1	2	6	8	1
VN160063	1	18	3	3	1	3	5	7	1
VN160066	1	24	3	4	1	4	5	8	1
VN160071	1	12	2	4	1	3	5	8	1
VN160072	1	10	3	1	1	3	6	7	1
VN160073	1	12	2	4	1	3	5	8	1
VN160074	1	10	2	4	1	4	5	8	1
VN160076	1	32	2	3	1	3	6	7	1
VN160081	1	12	3	1	1	3	7	8	1
VN160082	1	12	3	3	1	2	6	8	0
VN160083	1	24	3	3	1	3	5	8	1
VN160084	1	24	3	4	1	3	5	8	1
VN160085	1	8	3	3	1	2	6	8	0
VN160089	1	30	3	4	1	3	5	8	1
VN160090	1	12	3	3	1	3	5	7	1
VN160091	1	24	2	3	1	3	5	6	1
VN160093	1	12	2	4	1	3	5	8	1
VN160095	1	24	1	1	1	3	7	8	1
VN160096	1	24	2	3	1	2	6	8	0
VN160097	1	18	3	3	1	2	6	8	0
VN160098	1	12	3	3	1	2	6	8	0
VN160099	1	32	1	3	1	3	5	7	1
VN160100	1	12	3	3	1	3	5	7	1
VN160114	1	18	1	3	1	3	6	7	1
VN170001	1	4	3	1	1	3	6	10	1
VN170001	2	24	2	1	1	2	6	10	1
VN170002	1	22	3	3	1	2	6	8	1
VN170003	1	18	3	2	1	2	6	9	1
VN170009	1	25	4	1	1	2	6	10	1
VN170013	1	9	3	1	1	3	7	11	1
VN170017	1	24	3	1	1	2	6	10	1
VN170018	1	24	2	4	1	2	6	9	1
VN170019	1	24	4	1	1	2	6	8	1
VN170021	1	10	3	1	1	3	6	10	1
VN170021	2	34	2	3	1	3	6	10	1
VN170022	1	8	1	1	1	2	7	7	1
VN170022	2	12	2	3	1	2	6	9	1
VN170022	3	24	4	1	1	1	6	7	1
VN170024	1	12	2	4	1	2	7	4	1
VN170024	2	13	1	4	1	2	6	10	1
VN170025	1	10	3	4	1	2	6	9	1
VN170027	1	15	3	1	1	2	7	9	1
VN170029	1	18	3	1	1	2	7	11	1
VN170032	1	6	1	1	1	3	6	10	1
VN170032	2	11	3	3	1	3	6	10	1
VN170032	3	32	4	1	1	2	6	10	1
VN170033	1	20	4	1	1	2	6	10	1
VN170034	1	16	3	2	1	2	6	9	1
VN170035	1	21	1	1	1	3	6	10	1
VN170035	2	22	4	1	1	1	6	10	1
VN170036	1	24	4	1	1	2	6	10	1
VN170037	1	8	3	3	1	2	6	8	1
VN170038	1	20	1	3	1	3	6	8	1
VN170038	2	26	3	1	1	2	6	8	1
VN170040	1	8	3	1	1	2	6	10	1
VN170040	2	24	1	1	1	1	6	10	1
VN170040	3	25	1	1	1	1	6	10	1
VN170040	4	29	4	3	1	2	6	10	1
VN170043	1	24	4	3	1	2	6	10	1
VN170045	1	24	3	3	1	2	6	9	0
VN170046	1	12	4	1	1	2	6	7	1
VN170048	1	4	1	4	1	2	7	9	1
VN170050	1	18	4	3	1	3	6	10	1
VN170053	1	13	4	1	1	2	6	10	1
VN170056	1	24	2	3	1	2	6	10	1
VN170057	1	13	3	1	1	3	6	10	1
VN170059	1	12	3	1	1	2	7	11	1
VN170062	1	20	4	3	1	1	6	10	1
VN170063	1	18	3	1	1	2	6	9	1
VN170064	1	13	1	1	1	3	6	10	1
VN170064	2	16	2	1	1	3	6	10	1
VN170064	3	28	4	3	1	3	6	8	1
VN170069	1	3	1	1	1	2	6	10	1
VN170069	2	8	3	1	1	3	6	10	1
VN170070	1	15	2	3	1	2	5	10	1
VN170070	2	27	4	3	1	2	5	10	1
VN170071	1	15	1	1	1	1	6	10	1
VN170071	2	20	4	1	1	1	6	10	1
VN170072	1	24	2	4	1	3	7	9	1
VN170076	1	10	3	1	1	2	6	8	1
VN170077	1	18	4	3	1	3	6	10	1
VN170079	1	12	3	1	1	2	6	10	1
VN170080	1	15	4	3	1	1	0	10	1
VN170083	1	24	2	1	1	2	6	10	1
VN170084	1	8	2	1	1	2	7	13	1
VN170084	2	20	1	1	1	2	6	9	1
VN170085	1	12	3	1	1	2	6	10	1
VN170086	1	12	3	4	1	2	7	9	1
VN170087	1	15	3	3	1	2	6	11	1
VN170088	1	24	2	1	1	2	5	10	1
VN170090	1	24	3	3	1	2	6	9	0
VN170091	1	18	4	1	1	3	6	10	1
VN170092	1	18	4	1	1	3	6	10	1
VN170093	1	25	4	1	1	2	6	10	1
VN170095	1	6	2	1	1	4	3	4	1
VN170095	2	18	4	3	1	2	6	6	1
VN170096	1	18	3	4	1	2	6	9	1
VN170097	1	12	3	1	1	2	6	8	1
VN170099	1	8	4	1	1	2	6	9	1
VN170100	1	24	4	1	1	2	6	10	1
VN170101	1	10	3	1	1	2	6	10	1
VN170101	2	34	1	1	1	3	6	10	1
VN170103	1	5	1	4	1	2	7	9	1
VN170103	2	12	3	1	1	2	6	8	1
VN170118	1	18	1	1	1	2	6	9	1
VN170118	2	21	1	1	1	2	6	9	1
VN170118	3	25	4	3	1	2	6	8	1
VN170119	1	24	2	3	1	2	6	9	1
VN170126	1	4	3	4	1	2	6	9	0
VN170141	1	30	4	2	1	2	6	10	1
VN170144	1	18	1	1	1	4	5	7	1
VN170144	2	22	4	1	1	2	6	7	1
VN180001	1	16	4	3	1	2	6	10	1
VN180002	1	16	3	1	1	2	6	9	0
VN180005	1	12	3	1	1	2	6	8	1
VN180006	1	18	4	1	1	2	6	8	1
VN180007	1	12	3	3	1	2	5	8	0
VN180008	1	20	2	1	1	1	6	8	1
VN180018	1	18	4	3	1	2	6	9	1
VN180019	1	24	4	3	1	2	6	10	1
VN180020	1	24	4	3	1	2	6	10	1
VN180021	1	27	2	3	1	2	6	4	1
VN180024	1	18	4	3	1	2	5	9	1
VN180025	1	18	3	1	1	2	6	10	1
VN180026	1	18	4	3	1	2	6	10	1
VN180027	1	24	3	1	1	2	6	8	1
VN180028	1	20	3	3	1	2	6	9	1
VN180029	1	17	4	3	1	2	6	10	1
VN180030	1	12	2	3	1	2	5	10	1
VN180030	2	27	4	3	1	2	5	10	1
VN180031	1	18	3	3	1	2	6	9	1
VN180035	1	18	3	3	1	1	5	11	1
VN180037	1	15	4	3	1	1	5	10	1
VN180039	1	24	4	3	1	1	5	9	1
VN180040	1	12	4	3	1	2	6	9	1
VN180042	1	7	1	1	1	2	7	10	1
VN180042	2	12	4	2	1	2	6	10	1
VN180043	1	24	2	3	1	3	5	8	1
VN180044	1	18	4	1	1	1	6	12	1
VN180045	1	24	4	2	1	2	6	10	1
VN180046	1	24	4	1	1	2	6	8	1
VN180048	1	16	4	1	1	2	6	10	0
VN180050	1	10	2	1	1	2	7	12	1
VN180050	2	24	3	1	1	2	6	12	1
VN180051	1	18	3	1	1	3	5	3	1
VN180051	2	24	4	1	1	2	6	10	1
VN180054	1	12	1	1	1	3	6	11	1
VN180054	2	20	3	1	1	3	6	10	1
VN180055	1	18	3	3	1	2	6	10	1
VN180056	1	4	1	1	1	3	6	10	1
VN180056	2	16	4	3	1	2	6	10	1
VN180057	1	24	4	3	1	2	6	8	1
VN180058	1	8	2	4	1	3	6	8	1
VN180058	2	14	3	3	1	3	5	8	1
VN180058	3	20	4	3	1	2	5	8	1
VN180061	1	10	3	1	1	2	6	9	1
VN180061	2	24	3	1	1	2	6	9	1
VN180062	1	18	2	3	1	2	6	10	1
VN180063	1	18	4	3	1	2	6	10	1
VN180066	1	6	3	1	1	3	6	8	1
VN180067	1	21	4	2	1	2	5	9	1
VN180069	1	24	3	1	1	2	6	10	1
VN180071	1	24	4	1	1	2	6	8	0
VN180073	1	24	4	3	1	2	5	9	1
VN180074	1	18	3	3	1	2	5	9	1
VN180078	1	24	3	1	1	3	5	6	1
VN180079	1	30	4	3	1	2	5	10	1
VN180080	1	17	1	1	1	2	6	8	1
VN180081	1	12	3	1	1	2	7	12	1
VN180083	1	6	3	1	1	2	6	10	1
VN180083	2	30	1	1	1	2	6	10	1
VN180084	1	12	2	3	1	2	6	8	1
VN180087	1	20	3	3	1	4	6	8	1
VN180088	1	4	2	1	1	4	6	9	1
VN180089	1	24	3	1	1	3	6	8	1
VN180091	1	18	4	3	1	1	6	8	1
VN180095	1	30	4	1	1	2	6	9	1
VN180098	1	20	2	1	1	4	5	6	1
VN180099	1	24	2	1	1	3	6	8	1
VN180100	1	24	3	1	1	1	6	9	1
VN180105	1	12	2	1	1	3	6	10	1
VN180106	1	15	1	1	1	2	6	11	1
VN180107	1	4	3	1	1	2	6	10	1
VN180107	2	24	3	3	1	2	6	10	1
VN180110	1	24	4	3	1	2	6	10	1
VN180113	1	13	3	1	1	2	6	9	1
VN180117	1	14	4	1	1	1	6	11	0
VN180123	1	18	3	1	1	1	6	12	1
VN190003	1	20	4	3	1	3	6	10	1
VN190005	1	24	4	3	1	2	6	8	1
VN190006	1	6	2	1	1	2	6	10	1
VN190007	1	8	1	4	1	2	6	8	1
VN190009	1	20	4	1	1	2	6	9	1
VN190010	1	6	2	1	1	2	6	8	1
VN190010	2	18	3	1	1	2	6	10	1
VN190012	1	20	1	1	1	2	7	8	1
VN190013	1	18	3	4	1	3	6	8	1
VN190014	1	4	2	1	1	2	6	8	1
VN190014	2	12	2	1	1	2	6	8	1
VN190014	3	18	4	3	1	2	6	10	1
VN190015	1	4	1	4	1	3	5	8	1
VN190016	1	12	3	4	1	3	5	8	1
VN190018	1	24	2	1	1	4	6	10	1
VN190023	1	12	2	1	1	1	7	10	1
VN190024	1	12	3	4	1	3	6	8	1
VN190024	2	30	3	4	1	3	6	8	1
VN190025	1	7	1	4	1	2	6	6	1
VN190027	1	19	3	1	1	2	6	9	1
VN190029	1	12	4	3	1	1	6	9	1
VN190031	1	8	3	1	1	2	6	9	1
VN190033	1	24	3	1	1	2	6	7	1
VN190034	1	18	4	1	1	2	6	8	1
VN190036	1	12	3	4	1	3	6	7	1
VN190039	1	18	1	1	1	3	6	9	1
VN190040	1	30	4	1	1	2	6	9	1
VN190043	1	24	4	1	1	2	6	6	1
VN190044	1	12	4	1	1	2	6	9	1
VN190047	1	6	2	1	1	3	6	10	1
VN190048	1	24	4	3	1	2	6	9	1
VN190050	1	24	4	3	1	2	6	9	1
VN190057	1	12	3	1	1	2	6	10	1
VN190059	1	12	2	3	1	3	6	8	1
VN190059	2	20	3	1	1	2	6	8	1
VN190060	1	6	3	4	1	2	7	8	1
VN190061	1	12	4	3	1	2	6	10	1
VN190063	1	8	3	4	1	2	6	8	1
VN190064	1	18	2	1	1	3	6	10	1
VN190067	1	3	1	4	1	2	6	8	1
VN190067	2	12	1	4	1	2	6	8	1
VN190069	1	12	3	1	1	3	6	10	1
VN190071	1	16	3	1	1	2	6	9	1
VN190074	1	18	3	1	1	3	6	10	1
VN190079	1	18	4	3	1	2	5	9	1
VN190083	1	9	3	1	1	2	6	9	1
VN190089	1	8	3	4	1	3	7	6	1
VN190095	1	18	3	4	1	2	6	8	1
VN190097	1	15	1	3	1	2	6	7	1
VN190098	1	12	3	4	1	3	6	8	1
VN190098	2	14	3	4	1	2	6	8	99
VN190105	1	14	3	4	1	2	6	8	1
VN190107	1	9	2	4	1	3	6	8	1
VN190115	1	25	2	1	1	2	5	9	1
VN190118	1	24	4	1	1	2	6	9	1
VN190130	1	24	4	1	1	2	6	10	1
VN190137	1	24	4	3	1	3	6	9	1
VN190139	1	13	3	1	1	2	6	7	1
VN200001	1	4	3	1	1	3	7	12	1
VN200002	1	18	3	1	1	2	6	9	1
VN200003	1	18	3	3	1	2	6	9	1
VN200004	1	18	2	1	1	2	6	10	1
VN200004	2	30	4	1	1	2	6	10	1
VN200006	1	12	2	4	1	3	7	9	1
VN200006	2	24	2	3	1	3	6	9	0
VN200009	1	24	4	3	1	2	6	10	1
VN200015	1	12	2	3	1	2	6	10	1
VN200015	2	24	2	3	1	3	6	10	1
VN200017	1	24	3	4	1	2	6	9	1
VN200019	1	24	4	1	1	2	6	10	1
VN200020	1	24	3	1	1	2	6	4	1
VN200021	1	5	2	4	1	2	6	8	1
VN200021	2	12	2	4	1	2	6	8	1
VN200024	1	24	4	1	1	1	6	11	1
