CHILDID	LOANID	LOANTYPE	LOANSRCE	LOANIMPT	LOANKIDS	LOANREPY
VN030100	1	1	1	2	2	1
VN030120	1	1	3	1	1	2
VN030130	1	1	3	1	1	2
VN030139	1	1	1	1	1	2
VN040001	1	2	8	3	3	3
VN040003	1	2	8	3	3	2
VN040006	1	1	1	4	4	3
VN040008	1	2	8	2	2	2
VN040009	1	1	2	2	2	1
VN040010	1	1	2	2	2	2
VN040013	1	1	2	2	2	2
VN040013	2	1	1	2	2	2
VN040014	1	2	8	2	2	2
VN040017	1	2	8	2	2	1
VN040018	1	1	2	2	2	3
VN040021	1	1	2	2	2	1
VN040024	1	1	2	1	1	1
VN040025	1	1	2	1	1	1
VN040026	1	1	2	1	1	2
VN040028	1	1	2	2	2	2
VN040029	1	2	8	2	2	2
VN040030	1	1	2	2	2	2
VN040030	2	1	6	2	2	2
VN040031	1	1	2	1	1	1
VN040033	1	1	2	1	1	2
VN040034	1	1	2	2	2	2
VN040035	1	1	1	2	2	2
VN040039	1	2	8	2	2	1
VN040043	1	1	2	2	2	1
VN040044	1	2	8	2	2	1
VN040045	1	1	2	2	2	1
VN040046	1	1	6	5	4	3
VN040046	2	2	8	2	2	3
VN040046	3	2	10	2	2	2
VN040047	1	1	2	3	3	3
VN040047	2	2	7	4	4	3
VN040047	3	2	8	3	3	2
VN040048	1	2	8	2	2	1
VN040049	1	1	2	2	2	2
VN040049	2	2	8	2	3	1
VN040051	1	2	8	2	2	3
VN040052	1	1	2	2	2	3
VN040052	2	1	1	2	2	1
VN040053	1	1	2	1	1	1
VN040054	1	1	2	2	2	1
VN040055	1	1	2	1	1	1
VN040056	1	1	1	2	2	1
VN040059	1	2	8	2	3	1
VN040060	1	1	2	2	2	2
VN040061	1	1	1	5	5	2
VN040061	2	2	10	2	3	1
VN040062	1	2	8	2	3	1
VN040063	1	1	2	2	2	2
VN040064	1	2	8	2	3	1
VN040066	1	1	2	2	2	1
VN040069	1	2	8	2	2	1
VN040073	1	2	8	2	3	2
VN040075	1	2	8	1	1	2
VN040076	1	2	8	2	2	1
VN040078	1	1	1	2	2	1
VN040079	1	1	2	2	2	2
VN040080	1	1	2	2	2	2
VN040080	2	2	8	2	2	2
VN040081	1	1	2	4	3	3
VN040082	1	1	2	2	2	1
VN040083	1	1	2	2	2	3
VN040084	1	2	7	3	3	1
VN040085	1	1	6	1	1	3
VN040087	1	1	2	2	2	1
VN040088	1	2	8	1	1	3
VN040089	1	2	8	2	2	1
VN040090	1	1	6	2	2	2
VN040091	1	2	8	4	3	2
VN040092	1	1	5	2	3	1
VN040096	1	1	6	2	2	3
VN040098	1	2	8	2	2	3
VN040100	1	1	2	1	1	1
VN040100	2	2	8	2	2	1
VN040106	1	2	8	1	1	2
VN040108	1	1	1	2	2	2
VN040113	1	2	8	2	2	1
VN040118	1	2	8	1	1	2
VN040119	1	1	2	1	1	1
VN040129	1	1	1	2	2	2
VN040143	1	1	2	2	2	1
VN040145	1	1	2	2	2	2
VN040164	1	1	2	2	2	1
VN040171	1	1	2	3	2	2
VN050001	1	2	8	1	1	1
VN050003	1	2	7	1	3	1
VN050004	1	2	8	4	4	3
VN050007	1	2	2	2	2	3
VN050008	1	2	7	2	2	3
VN050011	1	1	2	4	4	3
VN050011	2	2	7	4	4	3
VN050012	1	1	2	1	1	1
VN050013	1	2	8	2	2	2
VN050014	1	1	1	2	2	3
VN050017	1	1	1	1	1	2
VN050018	1	2	7	2	2	2
VN050023	1	1	1	2	2	1
VN050024	1	1	2	4	4	3
VN050026	1	2	8	3	3	3
VN050033	1	2	8	1	1	1
VN050034	1	2	7	1	3	2
VN050036	1	1	2	1	1	3
VN050037	1	2	7	3	3	3
VN050041	1	2	8	1	1	3
VN050042	1	2	7	3	3	3
VN050043	1	1	2	1	2	1
VN050045	1	2	8	2	2	2
VN050046	1	2	8	1	1	2
VN050047	1	1	3	4	3	1
VN050048	1	1	2	2	2	1
VN050053	1	1	2	4	4	3
VN050054	1	2	8	1	1	3
VN050055	1	2	7	1	1	2
VN050056	1	2	8	1	1	2
VN050059	1	1	2	1	1	3
VN050066	1	1	1	1	1	1
VN050066	2	2	2	1	1	3
VN050073	1	1	3	2	2	3
VN050075	1	2	7	5	5	3
VN050077	1	2	8	2	3	2
VN050077	2	1	1	1	3	1
VN050079	1	2	8	1	1	1
VN050081	1	1	2	2	2	1
VN050082	1	1	2	2	3	3
VN050082	2	2	7	2	3	3
VN050084	1	1	1	4	4	3
VN050086	1	2	2	2	2	2
VN050089	1	2	8	2	2	3
VN050091	1	1	2	5	5	3
VN050091	2	2	7	2	2	3
VN050094	1	1	2	2	2	1
VN050096	1	2	8	2	2	3
VN050097	1	2	7	3	3	1
VN050098	1	1	1	3	3	2
VN050100	1	1	2	2	2	2
VN050107	1	2	8	1	1	2
VN050108	1	2	8	1	1	1
VN050109	1	1	1	1	3	2
VN050109	2	2	8	1	3	2
VN050117	1	2	7	4	3	1
VN050118	1	1	8	1	3	2
VN060005	1	2	8	2	2	2
VN060012	1	1	1	2	2	1
VN060013	1	2	8	2	2	2
VN060014	1	1	2	2	2	2
VN060016	1	1	1	2	2	3
VN060019	1	2	7	2	2	3
VN060026	1	2	7	2	2	3
VN060027	1	1	3	3	3	1
VN060029	1	2	8	2	2	2
VN060033	1	1	1	2	2	3
VN060035	1	1	2	3	3	1
VN060036	1	1	3	2	2	1
VN060039	1	1	2	4	3	2
VN060044	1	1	2	2	2	2
VN060045	1	1	1	2	2	3
VN060047	1	2	8	3	3	2
VN060051	1	2	10	2	2	2
VN060052	1	1	2	2	2	1
VN060053	1	2	8	3	3	2
VN060054	1	1	6	3	3	2
VN060056	1	2	8	2	2	1
VN060058	1	1	1	2	2	1
VN060059	1	2	8	3	2	2
VN060061	1	1	2	3	3	2
VN060062	1	1	2	2	2	2
VN060068	1	1	3	2	2	2
VN060069	1	2	8	2	2	1
VN060074	1	1	2	1	1	1
VN060075	1	1	1	2	2	2
VN060078	1	1	2	2	2	2
VN060079	1	1	1	1	1	1
VN060081	1	1	2	1	1	1
VN060082	1	1	2	2	2	1
VN060085	1	1	2	2	2	1
VN060087	1	1	2	2	2	2
VN060088	1	1	2	2	2	1
VN060091	1	2	8	3	3	1
VN060095	1	1	2	3	3	3
VN060097	1	2	7	2	2	2
VN060098	1	2	7	2	2	3
VN060099	1	1	2	2	2	2
VN060103	1	1	4	1	1	2
VN060108	1	1	1	2	2	1
VN060111	1	2	8	2	2	2
VN060115	1	1	2	2	2	2
VN060115	2	2	8	2	2	3
VN060119	1	2	8	2	2	2
VN070001	1	1	3	2	2	2
VN070003	1	1	2	4	4	3
VN070004	1	2	7	2	2	3
VN070005	1	1	2	2	2	3
VN070006	1	1	2	2	2	2
VN070007	1	1	2	2	99	2
VN070008	1	1	2	4	3	3
VN070008	2	2	7	4	3	3
VN070013	1	2	8	2	2	2
VN070016	1	2	7	2	2	3
VN070017	1	2	8	2	2	3
VN070018	1	2	7	2	2	1
VN070019	1	1	2	1	1	1
VN070021	1	1	1	5	5	3
VN070022	1	2	7	2	2	2
VN070023	1	2	7	2	2	1
VN070025	1	2	7	1	1	1
VN070026	1	1	1	1	2	1
VN070028	1	2	7	1	3	2
VN070031	1	1	2	2	3	2
VN070034	1	1	1	2	2	2
VN070036	1	1	1	2	2	1
VN070037	1	1	2	2	2	2
VN070038	1	1	2	1	3	1
VN070040	1	1	2	3	3	1
VN070041	1	1	2	1	2	2
VN070042	1	1	2	1	1	3
VN070046	1	2	8	3	3	2
VN070051	1	2	8	1	1	2
VN070053	1	1	2	2	3	1
VN070053	2	2	7	2	3	1
VN070054	1	1	2	2	2	3
VN070066	1	1	1	2	2	3
VN070067	1	1	3	2	2	2
VN070069	1	2	8	1	2	3
VN070071	1	2	7	4	4	3
VN070074	1	2	8	2	3	3
VN070077	1	1	2	4	3	3
VN070079	1	2	7	2	3	1
VN070080	1	2	8	3	3	1
VN070082	1	1	2	3	3	3
VN070084	1	1	2	3	3	3
VN070088	1	2	8	2	2	2
VN070091	1	1	2	3	3	3
VN070093	1	1	2	2	2	1
VN070097	1	1	3	1	3	1
VN070099	1	1	3	5	4	4
VN070102	1	2	8	2	2	3
VN070107	1	1	2	2	3	2
VN070118	1	1	2	1	1	1
VN070123	1	2	8	2	2	2
VN070125	1	2	7	1	1	2
VN070126	1	2	7	1	1	3
VN080001	1	1	1	2	2	2
VN080003	1	2	8	2	2	2
VN080006	1	2	8	3	3	2
VN080008	1	1	2	3	3	2
VN080011	1	1	2	2	2	2
VN080012	1	1	3	2	3	2
VN080018	1	1	2	2	2	1
VN080024	1	2	8	3	3	2
VN080025	1	2	8	2	2	2
VN080034	1	1	2	2	3	1
VN080035	1	1	2	1	1	2
VN080038	1	1	2	2	2	2
VN080040	1	2	7	3	3	1
VN080048	1	2	8	3	3	2
VN080049	1	1	2	3	3	2
VN080049	2	2	8	3	3	2
VN080051	1	1	2	2	2	2
VN080055	1	2	8	3	3	2
VN080059	1	1	2	3	3	1
VN080061	1	1	2	2	2	1
VN080061	2	1	1	2	2	1
VN080064	1	1	2	3	4	3
VN080064	2	2	7	3	4	3
VN080068	1	1	2	3	3	1
VN080070	1	1	2	1	3	1
VN080075	1	2	8	2	2	2
VN080078	1	2	7	3	3	2
VN080080	1	1	2	2	2	2
VN080081	1	1	2	3	3	1
VN080082	1	1	2	3	3	1
VN080084	1	1	2	2	2	2
VN080092	1	1	2	3	2	1
VN080096	1	1	3	3	3	1
VN080098	1	1	2	1	3	2
VN080099	1	2	8	2	2	4
VN080115	1	2	8	3	3	1
VN080119	1	2	7	4	3	2
VN080120	1	2	7	3	3	1
VN080132	1	1	3	2	2	1
VN080142	1	2	7	4	4	2
VN090002	1	2	7	2	2	2
VN090007	1	2	7	3	3	1
VN090009	1	1	1	3	3	1
VN090011	1	2	8	3	3	1
VN090014	1	1	2	1	2	3
VN090015	1	2	8	1	2	3
VN090017	1	1	1	3	3	1
VN090018	1	2	8	1	1	2
VN090021	1	1	1	3	3	1
VN090023	1	1	2	1	1	2
VN090026	1	2	7	2	2	2
VN090027	1	1	1	3	3	1
VN090031	1	2	7	1	2	2
VN090034	1	2	7	2	3	2
VN090036	1	2	7	2	2	1
VN090037	1	2	7	2	2	2
VN090043	1	2	7	2	2	1
VN090052	1	2	8	2	2	2
VN090053	1	1	2	2	2	2
VN090057	1	1	1	2	2	2
VN090061	1	2	7	1	1	3
VN090061	2	2	8	2	2	2
VN090069	1	2	7	2	2	2
VN090073	1	2	7	2	2	1
VN090075	1	2	7	2	2	2
VN090082	1	2	7	1	1	3
VN090085	1	1	1	3	3	2
VN090086	1	2	7	3	3	2
VN090088	1	2	7	2	2	2
VN090094	1	2	7	2	2	1
VN090099	1	2	7	3	3	1
VN090121	1	2	7	2	3	3
VN100002	1	2	8	4	3	2
VN100007	1	1	1	1	2	1
VN100013	1	1	3	3	3	1
VN100015	1	1	2	2	3	1
VN100017	1	1	2	2	2	2
VN100018	1	1	2	2	2	3
VN100022	1	1	2	1	1	2
VN100029	1	2	7	2	3	3
VN100030	1	1	2	1	3	3
VN100032	1	2	8	2	2	1
VN100038	1	1	1	2	2	1
VN100042	1	1	1	2	2	2
VN100044	1	2	7	2	2	2
VN100046	1	1	1	3	3	2
VN100047	1	2	8	2	2	2
VN100048	1	1	2	2	3	1
VN100055	1	1	2	2	2	1
VN100057	1	1	2	2	2	2
VN100059	1	1	2	2	2	1
VN100061	1	1	1	2	2	1
VN100064	1	1	2	1	1	2
VN100066	1	1	1	2	3	3
VN100067	1	1	1	1	1	2
VN100068	1	1	3	2	3	3
VN100069	1	1	2	2	2	2
VN100071	1	2	7	2	2	3
VN100076	1	1	2	1	2	1
VN100078	1	1	1	2	2	2
VN100081	1	1	1	2	2	3
VN100083	1	1	1	3	3	2
VN100084	1	1	2	1	1	2
VN100089	1	1	2	2	2	2
VN100091	1	1	2	1	2	2
VN100092	1	2	8	2	2	1
VN100094	1	2	7	2	3	1
VN100096	1	1	1	2	3	1
VN100097	1	2	7	1	2	2
VN100099	1	1	1	2	2	3
VN100101	1	1	1	2	3	2
VN100103	1	1	2	2	2	2
VN100103	2	1	6	2	2	2
VN100107	1	1	2	3	3	2
VN100111	1	2	8	2	2	1
VN100113	1	2	8	2	3	1
VN100118	1	1	1	3	3	2
VN110002	1	2	7	2	3	1
VN110006	1	1	2	1	1	1
VN110012	1	1	2	1	1	2
VN110013	1	2	8	2	2	1
VN110014	1	1	1	2	2	3
VN110015	1	1	2	1	1	2
VN110017	1	1	2	1	1	1
VN110021	1	2	8	1	1	3
VN110023	1	1	5	3	3	1
VN110024	1	1	1	2	2	1
VN110025	1	1	1	4	3	3
VN110026	1	1	6	2	2	2
VN110027	1	1	1	3	3	3
VN110028	1	1	3	1	1	2
VN110029	1	1	2	1	1	1
VN110030	1	2	8	2	2	1
VN110032	1	1	1	2	2	3
VN110038	1	1	2	2	2	2
VN110040	1	2	6	2	2	2
VN110042	1	1	1	2	2	2
VN110047	1	1	3	1	1	2
VN110048	1	1	1	2	2	2
VN110048	2	2	8	2	2	1
VN110049	1	1	1	3	3	2
VN110049	2	2	7	2	2	2
VN110051	1	1	3	2	2	3
VN110052	1	1	2	2	2	2
VN110054	1	1	1	2	2	2
VN110056	1	1	1	2	2	3
VN110059	1	1	1	2	2	2
VN110060	1	1	1	2	2	2
VN110060	2	2	8	2	2	1
VN110066	1	1	3	2	2	2
VN110072	1	1	2	2	2	1
VN110073	1	2	7	3	3	2
VN110074	1	1	1	2	2	1
VN110075	1	1	1	2	2	2
VN110076	1	2	8	2	2	2
VN110077	1	1	3	1	1	2
VN110079	1	2	8	2	2	3
VN110080	1	1	1	3	3	2
VN110083	1	2	8	2	2	2
VN110084	1	2	8	2	2	1
VN110086	1	1	2	2	2	3
VN110088	1	1	1	2	2	3
VN110091	1	1	2	2	2	2
VN110093	1	2	8	3	3	1
VN110094	1	1	3	1	2	2
VN110095	1	2	8	3	3	1
VN110098	1	1	2	2	2	2
VN110100	1	1	2	2	2	1
VN110100	2	2	8	2	2	1
VN110101	1	1	2	2	3	1
VN110115	1	1	2	2	2	2
VN110123	1	1	1	2	2	2
VN110126	1	1	1	2	1	2
VN110126	2	2	8	2	2	1
VN120001	1	1	2	1	1	2
VN120004	1	1	1	2	2	2
VN120006	1	1	1	2	2	2
VN120009	1	1	1	1	1	1
VN120011	1	1	2	2	2	2
VN120015	1	2	8	3	3	3
VN120016	1	1	1	2	2	2
VN120022	1	1	1	2	2	2
VN120027	1	1	1	3	3	3
VN120030	1	2	8	2	2	1
VN120034	1	1	1	3	3	3
VN120036	1	1	2	1	1	3
VN120036	2	2	8	2	2	1
VN120037	1	1	1	2	2	2
VN120038	1	2	2	1	1	1
VN120042	1	1	2	1	1	2
VN120043	1	1	2	2	2	1
VN120048	1	1	2	1	1	2
VN120053	1	1	1	2	2	2
VN120055	1	2	8	1	1	2
VN120058	1	1	1	2	2	2
VN120060	1	1	1	2	2	3
VN120064	1	2	8	1	1	1
VN120066	1	2	8	2	2	1
VN120067	1	1	1	2	2	1
VN120067	2	2	8	2	2	2
VN120068	1	1	2	3	3	3
VN120070	1	1	2	1	1	1
VN120076	1	2	8	2	2	1
VN120078	1	1	1	2	2	2
VN120078	2	2	8	2	2	2
VN120079	1	1	2	2	2	2
VN120081	1	2	8	3	3	2
VN120084	1	1	2	2	2	3
VN120085	1	1	2	1	1	2
VN120086	1	1	1	2	2	1
VN120087	1	1	1	2	2	2
VN120088	1	1	2	2	2	3
VN120089	1	2	8	2	2	1
VN120089	2	1	1	1	1	2
VN120090	1	1	1	2	2	1
VN120092	1	1	2	1	1	2
VN120094	1	1	1	2	2	2
VN120096	1	1	1	2	2	2
VN120115	1	1	2	1	1	2
VN120121	1	1	2	2	2	3
VN120124	1	1	1	2	2	3
VN120126	1	1	1	2	2	2
VN120148	1	1	2	2	2	2
VN130003	1	2	8	2	2	1
VN130005	1	1	2	2	2	1
VN130006	1	1	2	3	3	2
VN130006	2	2	8	3	3	2
VN130007	1	1	1	3	3	2
VN130007	2	2	8	2	2	2
VN130007	3	1	6	1	2	2
VN130009	1	2	8	3	3	2
VN130010	1	2	8	3	3	2
VN130011	1	1	2	1	3	1
VN130012	1	1	1	3	3	2
VN130015	1	1	1	2	1	3
VN130019	1	2	8	3	3	1
VN130019	2	1	2	3	3	1
VN130020	1	2	8	3	3	3
VN130021	1	2	7	4	4	2
VN130025	1	2	8	2	3	2
VN130025	2	1	5	2	3	2
VN130026	1	1	5	1	3	1
VN130026	2	1	2	1	2	1
VN130026	3	2	8	2	2	1
VN130027	1	2	7	3	3	1
VN130028	1	1	5	3	3	1
VN130028	2	2	8	3	3	1
VN130030	1	2	8	2	3	2
VN130035	1	2	8	2	2	2
VN130036	1	1	2	1	1	1
VN130040	1	1	2	3	3	2
VN130042	1	1	2	2	3	1
VN130045	1	2	8	3	3	1
VN130052	1	2	8	3	2	2
VN130058	1	2	8	3	3	1
VN130059	1	1	6	3	3	2
VN130059	2	2	8	3	3	2
VN130068	1	2	8	3	1	2
VN130072	1	1	5	3	3	2
VN130075	1	1	2	4	3	2
VN130077	1	2	8	3	3	1
VN130078	1	2	8	3	3	99
VN130079	1	1	2	4	3	2
VN130079	2	2	8	3	3	2
VN130079	3	2	7	3	3	2
VN130083	1	1	2	1	1	2
VN130086	1	1	5	2	2	1
VN130087	1	1	2	3	3	1
VN130088	1	1	6	3	3	3
VN130088	2	2	8	3	3	3
VN130089	1	2	8	1	1	3
VN130089	2	2	7	1	1	3
VN130089	3	1	6	1	1	3
VN130090	1	2	8	3	3	1
VN130093	1	2	8	3	3	2
VN130095	1	1	2	3	3	3
VN130096	1	2	8	3	3	3
VN130099	1	1	2	3	3	1
VN130099	2	1	6	3	3	1
VN130101	1	2	8	3	3	1
VN130103	1	1	2	3	3	2
VN130103	2	2	8	3	3	2
VN140001	1	1	1	1	2	1
VN140003	1	1	1	2	3	2
VN140003	2	2	8	2	3	2
VN140005	1	1	1	3	3	3
VN140005	2	2	8	3	3	3
VN140008	1	2	8	4	4	2
VN140009	1	1	1	1	3	3
VN140010	1	1	2	3	3	2
VN140010	2	1	6	3	3	2
VN140015	1	2	7	1	3	2
VN140017	1	2	8	2	3	3
VN140018	1	1	1	2	2	2
VN140018	2	1	2	2	2	2
VN140019	1	1	1	1	3	2
VN140019	2	1	6	2	3	1
VN140021	1	1	6	3	3	1
VN140022	1	1	1	3	3	1
VN140026	1	1	2	1	1	3
VN140026	2	1	6	1	1	3
VN140030	1	2	7	3	3	1
VN140031	1	2	8	4	3	2
VN140032	1	2	8	2	3	1
VN140034	1	1	2	2	3	3
VN140034	2	2	8	2	3	3
VN140036	1	1	2	3	3	1
VN140037	1	1	2	3	2	2
VN140039	1	2	8	1	1	2
VN140041	1	1	2	3	3	2
VN140041	2	1	1	3	3	2
VN140041	3	2	8	3	3	2
VN140047	1	1	2	2	2	1
VN140048	1	1	2	2	2	1
VN140049	1	2	8	2	2	1
VN140051	1	2	8	2	2	1
VN140053	1	2	8	1	1	1
VN140055	1	1	1	3	3	1
VN140058	1	1	6	1	1	2
VN140064	1	2	7	99	3	3
VN140065	1	2	8	3	3	1
VN140068	1	1	4	2	3	2
VN140068	2	1	4	2	3	2
VN140069	1	1	2	1	1	2
VN140069	2	1	6	1	1	2
VN140072	1	2	8	1	1	3
VN140074	1	1	2	3	3	2
VN140077	1	2	8	1	1	2
VN140080	1	2	7	2	3	1
VN140081	1	1	6	1	1	1
VN140083	1	1	5	1	1	3
VN140083	2	2	8	1	1	3
VN140084	1	2	8	1	1	1
VN140085	1	2	8	3	3	2
VN140085	2	2	7	3	3	2
VN140087	1	1	6	3	3	2
VN140087	2	2	8	3	3	2
VN140089	1	1	1	3	3	1
VN140090	1	1	1	3	3	1
VN140090	2	2	8	3	3	1
VN140092	1	2	8	3	3	1
VN140094	1	1	6	2	3	3
VN140094	2	2	8	2	3	3
VN140095	1	2	8	3	3	1
VN140095	2	1	1	3	3	1
VN140095	3	1	6	3	3	1
VN140098	1	1	3	3	3	2
VN140102	1	2	6	2	3	1
VN140103	1	1	2	1	1	2
VN140107	1	1	2	2	3	1
VN150001	1	1	1	2	2	2
VN150005	1	2	8	3	3	1
VN150008	1	2	8	2	2	2
VN150009	1	1	5	3	3	2
VN150010	1	1	5	1	1	1
VN150010	2	2	8	1	1	1
VN150011	1	1	2	3	3	2
VN150012	1	2	8	2	2	1
VN150013	1	1	5	3	3	2
VN150014	1	2	7	2	2	1
VN150015	1	1	2	2	3	2
VN150017	1	2	8	2	2	2
VN150023	1	2	8	3	3	2
VN150024	1	2	8	2	2	3
VN150027	1	2	8	3	3	3
VN150029	1	2	8	3	3	3
VN150030	1	2	8	2	2	2
VN150031	1	2	8	4	4	2
VN150032	1	2	8	2	2	2
VN150033	1	2	8	2	3	2
VN150033	2	1	2	2	3	2
VN150036	1	2	8	1	1	2
VN150038	1	2	8	1	1	2
VN150040	1	2	7	4	1	2
VN150041	1	2	8	2	2	3
VN150043	1	2	8	3	3	2
VN150049	1	2	7	3	3	3
VN150053	1	1	2	1	1	2
VN150055	1	2	7	3	3	2
VN150057	1	2	8	2	2	2
VN150060	1	2	7	2	2	2
VN150064	1	1	1	1	1	2
VN150064	2	2	8	2	2	1
VN150065	1	2	8	4	3	2
VN150068	1	2	8	2	2	1
VN150070	1	2	8	2	2	2
VN150071	1	1	5	3	3	2
VN150071	2	2	8	3	3	2
VN150072	1	2	8	3	3	2
VN150073	1	1	2	2	2	2
VN150075	1	1	2	1	1	2
VN150078	1	1	5	3	3	2
VN150079	1	2	8	4	3	2
VN150079	2	1	2	4	3	2
VN150081	1	2	8	2	3	1
VN150087	1	1	2	1	2	1
VN150089	1	2	8	3	3	2
VN150090	1	2	8	2	2	2
VN150091	1	2	8	2	2	2
VN150092	1	2	8	3	3	2
VN150095	1	1	2	1	1	2
VN150095	2	2	8	1	1	2
VN150096	1	2	8	1	1	3
VN150098	1	2	8	2	2	2
VN150099	1	2	8	3	3	2
VN150101	1	2	7	2	2	2
VN150101	2	2	8	2	2	2
VN150101	3	1	10	2	2	2
VN150103	1	2	8	2	2	2
VN150103	2	1	1	2	2	2
VN150103	3	1	2	2	2	2
VN150105	1	2	8	4	3	2
VN150126	1	1	4	1	1	2
VN150128	1	2	7	2	2	2
VN150130	1	2	6	2	2	2
VN150133	1	2	8	2	2	2
VN150134	1	1	2	2	2	2
VN150137	1	2	8	2	2	99
VN150138	1	1	5	1	1	2
VN150138	2	2	8	1	3	2
VN150139	1	1	2	1	1	2
VN150141	1	2	8	3	3	1
VN150142	1	2	8	3	3	2
VN150145	1	1	1	2	2	2
VN160001	1	2	8	3	3	2
VN160002	1	1	6	1	1	2
VN160003	1	1	1	1	1	3
VN160003	2	1	2	1	1	3
VN160003	3	2	8	1	1	2
