CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
VN080120	1	1	2	0	2
VN080150	1	1	1	15	1
VN080154	1	25	1	54000	1
VN080162	1	1	3	30	80
VN090002	1	13	2	50	90
VN090003	1	1	15	400	80
VN090003	2	2	1	50	80
VN090003	3	3	1	10	80
VN090004	1	13	5	60	3
VN090005	1	15	8	1000	1
VN090010	1	1	2	20	3
VN090012	1	13	4	50	2
VN090014	1	13	3	10	1
VN090015	1	1	6	100	1
VN090016	1	13	2	50	2
VN090020	1	15	10	500	1
VN090023	1	30	4	100	80
VN090024	1	15	3	200	3
VN090025	1	13	2	50	80
VN090026	1	13	2	10	2
VN090027	1	15	10	650	3
VN090028	1	15	8	1000	2
VN090029	1	15	8	1000	1
VN090031	1	1	13	200	1
VN090031	2	3	1	40	1
VN090031	3	6	1	200	1
VN090032	1	15	15	500	3
VN090033	1	1	12	400	1
VN090033	2	3	1	50	1
VN090033	3	6	1	150	1
VN090034	1	1	6	220	3
VN090035	1	1	9	200	1
VN090039	1	30	2	200	2
VN090043	1	30	1	8000	1
VN090047	1	13	2	60	90
VN090061	1	1	1	20	1
VN090063	1	1	10	200	3
VN090087	1	13	3	50	90
VN090093	1	1	10	300	1
VN090093	2	3	1	40	1
VN090099	1	30	3	4000	3
VN090121	1	1	5	150	2
VN100002	1	30	3	60	1
VN100003	1	1	2	20	2
VN100003	2	3	1	50	2
VN100003	3	6	1	100	2
VN100004	1	13	4	20	1
VN100006	1	25	1	6000	1
VN100009	1	30	-99	-99	99
VN100010	1	30	4	500	1
VN100012	1	30	20	600	1
VN100014	1	13	3	100	1
VN100016	1	1	1	3	2
VN100017	1	15	4	2500	2
VN100018	1	1	2	10	1
VN100026	1	1	1	6	1
VN100027	1	23	6	250	2
VN100029	1	1	3	100	3
VN100030	1	13	3	30	3
VN100031	1	13	3	15	1
VN100032	1	1	10	250	2
VN100032	2	3	1	50	2
VN100032	3	6	1	100	2
VN100033	1	30	4	200	2
VN100035	1	1	2	20	1
VN100036	1	1	2	30	4
VN100038	1	31	1	15000	1
VN100040	1	1	12	800	1
VN100040	2	3	1	30	1
VN100040	3	6	1	150	1
VN100042	1	30	4	200	1
VN100043	1	1	6	200	16
VN100043	2	5	1	250	16
VN100044	1	1	4	50	2
VN100044	2	2	1	50	2
VN100044	3	5	1	100	1
VN100045	1	1	2	20	2
VN100048	1	1	10	200	1
VN100048	2	3	1	3500	1
VN100048	3	6	1	1500	1
VN100050	1	15	3	700	3
VN100051	1	13	1	10	3
VN100055	1	30	1	2500	3
VN100057	1	13	3	50	3
VN100059	1	23	5	1500	2
VN100060	1	13	4	50	1
VN100061	1	25	2	1000	3
VN100061	2	23	1	20	3
VN100061	3	30	1	800	3
VN100062	1	30	1	1000	1
VN100067	1	30	1	6000	2
VN100068	1	1	3	100	1
VN100068	2	8	1	250	80
VN100071	1	13	15	350	3
VN100072	1	1	8	400	2
VN100072	2	6	1	200	2
VN100078	1	23	6	3000	2
VN100081	1	23	3	50	1
VN100085	1	1	6	60	3
VN100086	1	20	5	100	90
VN100086	2	2	1	150	90
VN100088	1	13	15	50	3
VN100089	1	13	2	40	90
VN100090	1	1	10	100	2
VN100091	1	25	1	5000	1
VN100093	1	25	1	6000	5
VN100096	1	23	3	450	2
VN100097	1	1	9	200	2
VN100097	2	5	1	100	2
VN100098	1	13	2	20	90
VN100103	1	23	5	500	3
VN100104	1	30	7	250	4
VN100106	1	13	20	1000	1
VN100109	1	1	2	40	1
VN100109	2	3	1	50	1
VN100113	1	13	3	60	1
VN110002	1	1	4	100	3
VN110003	1	21	1	300	7
VN110003	2	23	1	60	7
VN110006	1	8	1	950	1
VN110006	2	1	4	20	1
VN110010	1	25	1	6000	4
VN110015	1	23	10	200	2
VN110023	1	1	9	15	3
VN110028	1	1	8	100	80
VN110028	2	8	4	2000	80
VN110031	1	25	3	4200	2
VN110032	1	1	3	10	80
VN110034	1	1	10	50	80
VN110035	1	8	1	200	80
VN110036	1	1	4	100	80
VN110037	1	24	1	-77	2
VN110041	1	1	7	50	1
VN110043	1	1	5	30	80
VN110043	2	8	1	200	80
VN110044	1	1	6	30	80
VN110045	1	22	4	200	2
VN110047	1	25	1	100	4
VN110049	1	25	1	4000	80
VN110049	2	30	2	200	80
VN110050	1	1	2	10	80
VN110060	1	13	10	100	1
VN110062	1	1	2	20	80
VN110063	1	25	1	100	80
VN110066	1	22	4	1000	1
VN110072	1	30	-77	20	80
VN110073	1	25	1	2000	3
VN110075	1	4	1	100	1
VN110075	2	8	1	150	1
VN110075	3	30	1	5000	1
VN110078	1	1	9	300	80
VN110078	2	8	4	200	80
VN110083	1	15	2	100	2
VN110086	1	25	1	2000	1
VN110090	1	1	7	100	80
VN110090	2	8	4	500	80
