CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	GRADE	STILL	CHGRADE	CHSTILL	WHYNOT	AGEGRADE	AGESTSCH	HHSCHTYP	PERF	SCHOOLEN	DISAB	ACT1	MONTHS1	DAYS1	HOURS1	ACT2	MONTHS2	DAYS2	HOURS2	ACT3	MONTHS3	DAYS3	HOURS3	SLEEP	CHCARE	HHCHORE	NPAYWORK	PAYWORK	SCHOOL	STUDY	PLAY
VN010002	6	24	1	13	1	14	1	 	 	 	 	 	 	 	 	0	15	10	15	3	17	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010002	7	19	2	13	1	13	1	 	 	 	 	 	 	 	 	0	15	10	10	1	17	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010002	8	3	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010003	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	4	1	7
VN010003	1	33	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	5	20	9	1	5	5	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010003	2	34	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	5	9	15	12	30	5	5	2	9	6	 	 	 	 	 	 	 	 
VN010003	3	10	2	7	1	 	 	4	1	88	88	6	3	3	2	0	16	3	10	3	17	88	88	88	88	88	88	88	10	3	0	0	0	4	2	5
VN010003	4	2	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010004	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	1	8
VN010004	1	39	1	1	1	7	0	 	 	 	 	 	 	 	 	0	1	6	5	8	12	2	20	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010004	2	40	2	1	1	7	0	 	 	 	 	 	 	 	 	0	1	6	18	8	5	2	18	8	15	12	30	2	 	 	 	 	 	 	 	 
VN010004	3	18	1	7	1	9	0	 	 	 	 	 	 	 	 	0	1	6	10	8	5	2	18	8	15	12	30	2	 	 	 	 	 	 	 	 
VN010004	4	16	1	7	1	 	 	9	1	88	88	6	3	3	2	0	16	3	15	5	17	88	88	88	88	88	88	88	10	2	2	1	0	4	2	3
VN010005	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	2	7
VN010005	1	47	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	2	38	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	25	8	12	4	20	8	15	12	30	3	 	 	 	 	 	 	 	 
VN010005	3	18	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	4	16	2	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010005	5	13	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010006	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN010006	1	43	1	1	1	5	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	4	8	3	15	2	3	1	 	 	 	 	 	 	 	 
VN010006	2	40	2	1	1	5	0	 	 	 	 	 	 	 	 	0	12	6	18	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010006	3	18	2	7	1	9	0	 	 	 	 	 	 	 	 	0	12	12	24	8	1	3	10	3	15	4	6	2	 	 	 	 	 	 	 	 
VN010006	4	16	2	7	1	 	 	3	0	20	9	6	 	 	 	0	12	10	25	9	15	8	15	2	17	88	88	88	8	0	0	10	0	0	0	6
VN010006	5	11	2	7	1	 	 	0	0	21	7	6	 	 	 	0	12	10	24	8	15	5	10	1	17	88	88	88	8	0	0	10	0	0	0	6
VN010007	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	1	8
VN010007	1	31	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	4	8	4	15	6	15	2	 	 	 	 	 	 	 	 
VN010007	2	32	2	1	1	6	0	 	 	 	 	 	 	 	 	0	10	12	25	7	1	4	4	2	15	12	30	1	 	 	 	 	 	 	 	 
VN010007	15	7	2	7	1	 	 	1	1	88	88	6	3	1	2	0	15	7	10	1	17	88	88	88	88	88	88	88	9	2	0	0	0	4	3	6
VN010007	16	1	2	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010008	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	6	2	5
VN010008	1	40	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	8	6	2	30	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010008	2	38	2	1	1	12	0	 	 	 	 	 	 	 	 	0	1	6	24	8	6	1	30	8	15	12	30	3	 	 	 	 	 	 	 	 
VN010008	3	13	1	7	1	 	 	6	1	88	88	6	3	2	2	0	15	4	10	2	17	88	88	88	88	88	88	88	10	2	2	0	0	4	3	3
VN010008	4	75	1	6	1	7	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010008	5	71	2	6	1	2	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010009	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	3	7
VN010009	1	65	2	5	1	3	0	 	 	 	 	 	 	 	 	0	15	12	18	3	17	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010009	2	30	1	1	1	5	0	 	 	 	 	 	 	 	 	0	12	7	20	8	1	3	9	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010009	3	31	2	1	1	4	0	 	 	 	 	 	 	 	 	0	12	6	20	8	1	4	10	5	15	12	30	2	 	 	 	 	 	 	 	 
VN010009	4	3	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010010	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	3	2	8
VN010010	1	36	1	1	1	12	0	 	 	 	 	 	 	 	 	0	1	12	25	8	4	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010010	2	35	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	12	20	8	15	12	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010010	3	13	1	7	1	 	 	7	1	88	88	6	3	3	3	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	5	3	6
VN010011	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	10	0	4
VN010011	1	40	1	1	1	12	0	 	 	 	 	 	 	 	 	0	10	12	29	10	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010011	2	38	2	1	1	11	0	 	 	 	 	 	 	 	 	0	10	12	29	8	15	12	28	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010011	3	13	2	7	1	 	 	7	1	88	88	6	3	3	2	0	15	12	28	3	88	88	88	88	88	88	88	88	10	3	2	0	0	4	2	3
VN010011	4	10	1	7	1	 	 	4	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	5	0	10
VN010012	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN010012	1	34	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	28	8	1	2	3	6	88	88	88	88	 	 	 	 	 	 	 	 
VN010012	2	33	2	1	1	7	0	 	 	 	 	 	 	 	 	0	10	12	29	10	4	3	5	3	15	12	30	2	 	 	 	 	 	 	 	 
VN010012	3	11	2	7	1	 	 	4	1	88	88	6	3	2	2	0	16	4	20	1	17	88	88	88	88	88	88	88	8	1	0	0	0	4	4	7
VN010012	4	9	2	7	1	 	 	2	1	88	88	6	3	2	2	0	16	3	15	1	17	88	88	88	88	88	88	88	9	1	0	0	0	4	3	7
VN010013	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010013	1	56	1	6	1	12	0	 	 	 	 	 	 	 	 	0	13	12	22	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010013	2	54	2	6	1	6	0	 	 	 	 	 	 	 	 	0	10	12	30	5	15	12	30	2	1	6	20	2	 	 	 	 	 	 	 	 
VN010013	3	36	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	22	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010013	4	34	2	1	1	13	1	 	 	 	 	 	 	 	 	0	13	12	22	8	15	12	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010013	5	9	2	7	1	 	 	3	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	8	2	5
VN010014	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	15	4	10	1	17	88	88	88	88	88	88	88	11	1	0	0	0	4	2	6
VN010014	1	78	2	5	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010014	2	40	2	1	1	10	0	 	 	 	 	 	 	 	 	0	1	6	7	4	15	12	30	5	88	88	88	88	 	 	 	 	 	 	 	 
VN010014	3	36	1	1	1	11	0	 	 	 	 	 	 	 	 	0	13	12	28	8	15	11	28	1	88	88	88	88	 	 	 	 	 	 	 	 
VN010014	4	1	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010015	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN010015	1	42	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	20	8	4	12	10	2	1	4	5	2	 	 	 	 	 	 	 	 
VN010015	2	40	2	1	1	7	0	 	 	 	 	 	 	 	 	0	4	12	30	3	1	7	8	4	15	12	30	2	 	 	 	 	 	 	 	 
VN010015	3	21	2	7	1	12	0	 	 	 	 	 	 	 	 	0	4	4	10	2	15	6	7	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010015	4	16	1	7	1	 	 	10	1	88	88	6	3	3	3	0	15	10	15	2	17	88	88	88	88	88	88	88	8	2	2	0	0	4	4	4
VN010016	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	0	0	12
VN010016	1	28	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010016	2	23	2	1	1	7	0	 	 	 	 	 	 	 	 	0	12	12	24	8	1	4	4	2	15	12	30	1	 	 	 	 	 	 	 	 
VN010016	3	4	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010017	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	15	5	10	2	17	88	88	88	88	88	88	88	11	2	0	0	0	4	2	5
VN010017	1	33	1	1	1	5	0	 	 	 	 	 	 	 	 	0	6	6	20	8	4	6	30	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010017	2	28	2	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	20	8	15	12	30	10	88	88	88	88	 	 	 	 	 	 	 	 
VN010017	3	1	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010018	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	3	7
VN010018	1	36	1	1	1	11	0	 	 	 	 	 	 	 	 	0	12	12	24	8	4	5	4	2	15	4	10	2	 	 	 	 	 	 	 	 
VN010018	2	31	2	1	1	8	0	 	 	 	 	 	 	 	 	0	4	12	20	4	1	4	6	3	15	12	30	2	 	 	 	 	 	 	 	 
VN010018	3	12	1	7	1	 	 	6	1	88	88	6	3	2	2	0	15	8	15	2	17	88	88	88	88	88	88	88	8	1	2	0	0	4	6	3
VN010019	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN010019	1	36	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	8	4	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010019	2	33	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	8	9	12	30	3	15	12	30	2	 	 	 	 	 	 	 	 
VN010019	3	2	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010020	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	1	8
VN010020	1	37	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	6	6	7	15	11	30	3	12	2	29	8	 	 	 	 	 	 	 	 
VN010020	2	31	2	1	1	6	0	 	 	 	 	 	 	 	 	0	1	6	6	8	5	2	15	8	15	12	30	3	 	 	 	 	 	 	 	 
VN010020	3	68	1	6	1	12	0	 	 	 	 	 	 	 	 	0	4	11	30	3	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010020	4	61	2	6	1	6	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010020	5	31	2	13	1	11	0	 	 	 	 	 	 	 	 	0	13	12	28	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010021	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	10	1	2
VN010021	1	40	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	22	8	15	12	30	2	1	6	2	1	 	 	 	 	 	 	 	 
VN010021	2	33	2	1	1	14	1	 	 	 	 	 	 	 	 	0	13	9	22	8	15	12	30	2	1	6	3	1	 	 	 	 	 	 	 	 
VN010021	3	12	1	7	1	 	 	6	1	88	88	6	3	2	2	0	15	3	10	2	17	88	88	88	88	88	88	88	9	1	1	0	0	4	3	6
VN010022	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	2	8
VN010022	1	30	1	1	1	10	0	 	 	 	 	 	 	 	 	0	13	12	22	8	1	6	2	4	15	12	30	1	 	 	 	 	 	 	 	 
VN010022	2	28	2	1	1	10	0	 	 	 	 	 	 	 	 	0	13	12	23	8	1	6	5	3	15	12	30	2	 	 	 	 	 	 	 	 
VN010022	3	3	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010024	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	2	7
VN010024	1	38	1	1	1	9	0	 	 	 	 	 	 	 	 	0	1	7	25	6	4	12	30	4	15	12	30	3	 	 	 	 	 	 	 	 
VN010024	2	36	2	1	1	11	0	 	 	 	 	 	 	 	 	0	9	10	25	10	1	2	5	4	88	88	88	88	 	 	 	 	 	 	 	 
VN010024	3	15	2	7	1	 	 	9	1	88	88	6	3	2	2	0	15	4	20	4	16	3	25	2	17	88	88	88	9	0	4	2	0	4	3	2
VN010024	4	13	1	7	1	 	 	7	1	88	88	6	3	2	2	0	15	3	15	2	16	3	15	2	17	88	88	88	9	0	2	2	0	4	2	5
VN010025	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	4	2	6
VN010025	1	32	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	10	22	8	1	5	10	4	88	88	88	88	 	 	 	 	 	 	 	 
VN010025	2	26	2	1	1	9	0	 	 	 	 	 	 	 	 	0	4	10	23	5	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010025	15	7	1	7	1	 	 	1	1	88	88	6	3	3	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	1	0	0	0	4	4	5
VN010026	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	4	2	6
VN010026	1	35	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	20	8	1	6	9	5	88	88	88	88	 	 	 	 	 	 	 	 
VN010026	2	29	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN010026	4	60	2	6	1	3	0	 	 	 	 	 	 	 	 	0	15	12	30	2	4	5	12	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010026	15	7	2	7	1	 	 	1	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	10	1	0	0	0	4	4	5
VN010027	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	9	0	0	0	0	3	1	11
VN010027	1	62	1	6	1	9	0	 	 	 	 	 	 	 	 	0	1	6	20	5	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010027	2	59	2	6	1	5	0	 	 	 	 	 	 	 	 	0	1	6	15	6	15	12	30	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010027	3	30	1	1	1	13	1	 	 	 	 	 	 	 	 	0	13	12	22	8	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010027	4	27	2	1	1	13	1	 	 	 	 	 	 	 	 	0	13	12	22	8	15	12	30	4	88	88	88	88	 	 	 	 	 	 	 	 
VN010029	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	1	8
VN010029	1	30	1	1	1	12	0	 	 	 	 	 	 	 	 	0	12	9	25	8	1	6	10	3	15	11	15	1	 	 	 	 	 	 	 	 
VN010029	2	25	2	1	1	8	0	 	 	 	 	 	 	 	 	0	1	6	15	5	15	12	29	3	88	88	88	88	 	 	 	 	 	 	 	 
VN010030	0	5	2	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	4	2	6
VN010030	1	28	2	1	1	6	0	 	 	 	 	 	 	 	 	0	12	8	20	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010030	2	27	1	1	1	8	0	 	 	 	 	 	 	 	 	0	4	10	20	5	1	6	12	3	15	12	5	1	 	 	 	 	 	 	 	 
VN010030	3	2	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010031	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	0	0	12
VN010031	1	74	2	6	1	3	0	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010031	2	40	1	1	1	12	0	 	 	 	 	 	 	 	 	0	1	6	20	8	11	12	20	5	88	88	88	88	 	 	 	 	 	 	 	 
VN010031	3	36	2	1	1	12	0	 	 	 	 	 	 	 	 	0	11	12	25	10	1	6	10	5	15	12	30	4	 	 	 	 	 	 	 	 
VN010031	4	19	2	7	1	12	1	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010031	5	16	2	7	1	 	 	9	1	88	88	6	3	2	1	0	17	88	88	88	88	88	88	88	88	88	88	88	8	2	5	0	0	5	2	2
VN010031	6	13	2	7	1	 	 	6	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	8	2	5	0	0	5	2	2
VN010032	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	12	0	0	0	0	4	1	7
VN010032	1	35	1	1	1	5	0	 	 	 	 	 	 	 	 	0	7	7	20	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010032	2	33	2	1	1	5	0	 	 	 	 	 	 	 	 	0	15	12	30	4	1	6	20	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010032	3	13	1	7	1	 	 	7	1	88	88	6	3	2	2	0	15	6	15	1	17	88	88	88	88	88	88	88	11	0	1	0	0	4	2	6
VN010032	4	11	1	7	1	 	 	5	1	88	88	6	3	2	2	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	2	7
VN010033	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	0	0	13
VN010033	1	34	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	10	20	8	1	4	10	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010033	2	27	2	1	1	9	0	 	 	 	 	 	 	 	 	0	12	8	18	5	1	4	8	3	15	12	30	2	 	 	 	 	 	 	 	 
VN010033	15	8	2	7	1	 	 	1	1	88	88	6	3	2	2	0	17	88	88	88	15	10	10	2	88	88	88	88	10	2	1	0	0	4	3	4
VN010034	0	4	2	0	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	3	7
VN010034	1	36	1	1	1	6	0	 	 	 	 	 	 	 	 	0	9	8	29	8	1	2	6	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010034	2	34	2	1	1	7	0	 	 	 	 	 	 	 	 	0	1	6	7	4	12	4	22	8	15	12	25	3	 	 	 	 	 	 	 	 
VN010034	3	10	2	7	1	 	 	4	1	88	88	6	3	2	2	0	16	3	20	1	17	88	88	88	88	88	88	88	10	1	0	0	0	4	4	5
VN010035	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	4	1	9
VN010035	1	33	1	1	1	8	0	 	 	 	 	 	 	 	 	0	1	6	15	6	6	2	28	8	4	10	27	3	 	 	 	 	 	 	 	 
VN010035	2	31	2	1	1	9	0	 	 	 	 	 	 	 	 	0	1	3	10	6	15	12	30	8	88	88	88	88	 	 	 	 	 	 	 	 
VN010035	3	7	2	7	1	 	 	1	1	88	88	6	3	2	2	0	16	3	20	5	17	88	88	88	88	88	88	88	9	5	0	0	0	4	2	4
VN010035	4	1	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010036	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	11	0	0	0	0	4	1	8
VN010036	1	49	1	6	1	5	0	 	 	 	 	 	 	 	 	0	13	8	10	6	1	6	7	4	88	88	88	88	 	 	 	 	 	 	 	 
VN010036	2	47	2	6	1	4	0	 	 	 	 	 	 	 	 	0	1	6	5	3	15	12	30	4	4	12	30	2	 	 	 	 	 	 	 	 
VN010036	3	28	1	1	1	9	0	 	 	 	 	 	 	 	 	0	13	8	15	8	1	2	3	2	15	6	20	1	 	 	 	 	 	 	 	 
VN010036	4	26	2	1	1	9	0	 	 	 	 	 	 	 	 	0	13	11	25	8	15	12	30	2	88	88	88	88	 	 	 	 	 	 	 	 
VN010036	5	0	1	7	1	 	 	 	 	 	 	 	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	 	 	 	 	 	 	 	 
VN010037	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	17	88	88	88	88	88	88	88	88	88	88	88	10	0	0	0	0	3	1	10
VN010037	1	36	1	1	1	7	0	 	 	 	 	 	 	 	 	0	6	8	30	8	12	4	20	8	1	2	15	8	 	 	 	 	 	 	 	 
VN010037	2	34	2	1	1	5	0	 	 	 	 	 	 	 	 	0	1	6	20	8	15	12	30	5	4	12	20	1	 	 	 	 	 	 	 	 
VN010037	3	13	2	7	1	 	 	7	1	88	88	6	3	3	2	0	15	7	20	2	17	88	88	88	88	88	88	88	9	0	2	0	0	7	1	5
VN010037	4	12	1	7	1	 	 	6	1	88	88	6	3	2	2	0	16	4	15	4	17	88	88	88	88	88	88	88	9	0	0	4	0	4	1	6
VN010038	0	5	1	0	1	 	 	0	4	30	88	88	 	 	 	0	99	99	99	99	88	88	88	88	88	88	88	88	12	0	0	0	0	4	1	7
VN010038	1	29	1	1	1	9	0	 	 	 	 	 	 	 	 	0	12	3	30	8	1	6	20	3	15	3	20	3	 	 	 	 	 	 	 	 
