CHILDID	ACTID	ACTYEST	WHOACT	CHOICE
VN010043	2	2	1	1
VN010043	3	3	7	1
VN010043	4	10	11	1
VN010044	1	1	5	0
VN010044	2	2	2	0
VN010044	3	10	2	0
VN010044	4	12	2	0
VN010045	1	1	11	1
VN010045	2	2	2	1
VN010045	3	10	11	1
VN010046	1	1	11	1
VN010046	2	2	2	1
VN010046	3	10	11	1
VN010046	4	12	12	1
VN010047	1	1	4	0
VN010047	2	10	10	1
VN010047	3	2	2	0
VN010048	1	1	11	0
VN010048	2	2	6	1
VN010048	3	10	11	1
VN010049	1	1	11	1
VN010049	2	2	6	1
VN010049	3	10	11	1
VN010050	1	1	5	0
VN010050	2	2	6	1
VN010050	3	3	2	0
VN010050	4	10	10	1
VN010050	5	12	2	0
VN010051	1	1	11	0
VN010051	2	2	6	1
VN010051	3	10	11	1
VN010052	1	1	5	0
VN010052	2	2	6	0
VN010052	3	12	2	1
VN010052	4	10	10	1
VN010053	1	1	1	0
VN010053	2	2	6	0
VN010053	3	10	11	1
VN010054	1	1	1	0
VN010054	2	2	1	0
VN010054	3	10	11	0
VN010055	1	1	11	1
VN010055	2	2	1	1
VN010055	3	10	11	1
VN010056	1	1	11	0
VN010056	2	2	1	1
VN010056	3	11	1	1
VN010056	4	18	3	1
VN010057	1	1	11	1
VN010057	2	2	2	1
VN010057	3	10	11	1
VN010057	4	12	2	1
VN010058	1	1	5	0
VN010058	2	2	1	0
VN010058	3	10	10	1
VN010058	4	12	9	1
VN010059	1	1	5	0
VN010059	2	12	6	1
VN010059	3	10	9	1
VN010060	1	1	11	0
VN010060	2	10	11	1
VN010060	3	2	1	0
VN010061	1	10	1	1
VN010061	2	12	1	1
VN010062	1	1	4	0
VN010062	2	3	8	0
VN010062	3	5	6	1
VN010062	4	17	10	1
VN010062	5	12	8	1
VN010063	1	1	5	0
VN010063	2	12	8	1
VN010063	3	17	7	2
VN010064	1	1	4	0
VN010064	2	12	6	0
VN010064	3	2	6	0
VN010065	1	1	5	0
VN010065	2	12	6	1
VN010065	3	2	8	2
VN010067	1	1	1	0
VN010067	2	10	11	1
VN010067	3	2	1	0
VN010068	1	1	11	1
VN010068	2	2	2	1
VN010068	3	12	12	1
VN010068	4	10	11	1
VN010069	1	1	5	0
VN010069	2	2	1	0
VN010069	3	10	11	1
VN010069	4	12	12	1
VN010070	1	1	4	0
VN010070	2	2	6	0
VN010070	3	10	9	0
VN010070	4	12	2	0
VN010071	1	1	11	1
VN010071	2	2	6	1
VN010071	3	10	11	1
VN010072	1	1	11	1
VN010072	2	2	2	1
VN010072	3	10	11	1
VN010072	4	12	2	1
VN010072	5	17	7	1
VN010073	1	10	9	0
VN010073	2	12	2	0
VN010074	1	1	5	0
VN010074	2	2	1	0
VN010074	3	10	11	1
VN010075	1	1	11	1
VN010075	2	2	6	1
VN010075	3	10	11	1
VN010076	1	1	11	1
VN010076	2	2	6	1
VN010076	3	10	11	1
VN010076	4	12	6	1
VN010077	1	1	11	1
VN010077	2	2	6	1
VN010077	3	12	12	1
VN010077	4	10	11	1
VN010078	1	1	11	1
VN010078	2	2	6	1
VN010078	3	3	7	1
VN010078	4	10	11	1
VN010079	1	1	4	0
VN010079	2	2	6	0
VN010079	3	10	9	0
VN010079	4	12	2	1
VN010080	1	1	5	0
VN010080	2	2	1	0
VN010080	3	10	11	1
VN010080	4	12	1	0
VN010081	1	1	4	0
VN010081	2	2	6	0
VN010081	3	10	10	0
VN010081	4	12	2	0
VN010082	1	1	4	0
VN010082	2	2	6	0
VN010082	3	10	10	0
VN010082	4	12	2	0
VN010083	1	1	11	1
VN010083	2	12	6	1
VN010083	3	10	11	1
VN010084	1	1	11	1
VN010084	2	2	6	1
VN010084	3	10	11	1
VN010086	1	1	5	0
VN010086	2	2	1	0
VN010086	3	10	11	1
VN010086	4	12	1	0
VN010087	1	1	5	0
VN010087	2	2	1	0
VN010087	3	10	11	1
VN010087	4	12	1	0
VN010088	1	1	4	0
VN010088	2	2	2	0
VN010088	3	10	7	0
VN010088	4	12	2	1
VN010089	1	1	5	0
VN010089	2	2	1	0
VN010089	3	10	11	1
VN010089	4	12	12	1
VN010091	1	1	4	0
VN010091	2	2	6	0
VN010091	3	10	9	0
VN010091	4	12	6	0
VN010092	1	1	11	1
VN010092	2	2	12	1
VN010092	3	12	12	1
VN010093	1	1	5	0
VN010093	2	2	1	0
VN010093	3	10	11	1
VN010093	4	12	12	1
VN010094	1	1	11	1
VN010094	2	2	12	1
VN010094	3	10	11	1
VN010095	1	1	11	1
VN010095	2	2	1	1
VN010095	3	3	7	1
VN010095	4	12	1	1
VN010095	5	10	11	1
VN010096	1	1	4	0
VN010096	2	2	2	0
VN010096	3	10	9	0
VN010096	4	12	2	0
VN010097	1	1	4	0
VN010097	2	2	6	0
VN010097	3	10	10	0
VN010097	4	12	2	0
VN010100	1	1	4	0
VN010100	2	2	6	0
VN010100	3	10	6	0
VN010100	4	12	1	0
VN010104	1	1	2	0
VN010104	2	2	7	1
VN010104	3	17	7	1
VN010109	1	1	11	1
VN010109	2	2	1	1
VN010109	3	10	11	1
VN010109	4	12	12	1
VN010118	1	1	5	0
VN010118	2	2	6	0
VN010118	3	12	2	1
VN010118	4	10	9	1
VN010121	1	1	11	0
VN010121	2	10	11	1
VN010121	3	17	7	1
VN010122	1	1	5	0
VN010122	2	2	1	0
VN010122	3	10	11	1
VN010122	4	12	1	0
VN010124	1	1	5	0
VN010124	2	2	1	0
VN010124	3	10	11	1
VN010124	4	12	1	0
VN010140	1	1	11	1
VN010140	2	2	6	1
VN010140	3	12	6	1
VN010140	4	10	11	1
VN020001	1	18	1	1
VN020001	2	10	11	1
VN020002	1	10	11	1
VN020002	2	12	6	1
VN020003	1	1	11	1
VN020003	2	10	11	1
VN020003	3	12	12	1
VN020004	1	1	5	1
VN020004	2	10	11	1
VN020004	3	12	12	1
VN020005	1	1	11	1
VN020005	2	3	12	1
VN020005	3	10	11	1
VN020005	4	12	3	1
VN020007	1	1	11	1
VN020007	2	10	9	1
VN020007	3	12	6	1
VN020008	1	1	11	1
VN020008	2	10	11	1
VN020008	3	12	6	1
VN020009	1	1	5	1
VN020009	2	10	11	1
VN020009	3	12	1	1
VN020010	1	1	11	1
VN020010	2	10	6	1
VN020010	3	12	6	1
VN020011	1	1	11	1
VN020011	2	3	12	1
VN020011	3	5	12	1
VN020011	4	10	11	1
VN020011	5	12	11	1
VN020012	1	1	11	1
VN020012	2	10	11	1
VN020012	3	12	2	1
VN020013	1	1	11	1
VN020013	2	2	1	1
VN020013	3	10	6	1
VN020013	4	12	6	1
VN020016	2	12	2	1
VN020016	3	10	11	1
VN020017	1	23	12	1
VN020018	1	10	11	1
VN020018	2	12	6	1
VN020019	1	10	11	1
VN020019	2	12	12	1
VN020020	1	1	11	1
VN020020	2	10	11	1
VN020020	3	12	12	1
VN020021	1	1	11	0
VN020021	2	10	11	1
VN020021	3	12	1	1
VN020022	1	1	11	1
VN020022	2	10	11	1
VN020022	3	12	11	1
VN020023	1	1	5	1
VN020023	2	10	11	1
VN020023	3	12	12	1
VN020024	1	1	11	1
VN020024	2	23	6	1
VN020024	3	12	6	1
VN020025	1	1	5	1
VN020025	2	10	11	1
VN020025	3	11	6	1
VN020026	1	1	11	1
VN020026	2	10	11	1
VN020026	3	12	6	1
VN020027	1	10	11	1
VN020027	2	12	1	1
VN020028	1	1	5	1
VN020028	2	12	1	1
VN020029	1	1	11	1
VN020029	2	10	2	1
VN020029	3	12	12	1
VN020032	1	1	5	1
VN020032	2	10	11	1
VN020032	3	12	2	1
VN020033	1	1	11	1
VN020033	2	10	11	1
VN020033	3	12	1	1
VN020034	1	1	11	1
VN020034	2	10	11	1
VN020034	3	11	6	1
VN020034	4	12	1	1
VN020035	1	2	1	1
VN020035	2	10	11	1
VN020035	3	12	6	1
VN020036	1	10	8	1
VN020036	2	12	12	1
VN020037	1	3	3	1
VN020037	2	5	12	1
VN020037	3	1	11	1
VN020037	4	10	11	1
VN020038	1	1	11	1
VN020038	2	10	11	1
VN020038	3	12	11	1
VN020039	1	1	5	1
VN020039	2	10	11	1
VN020039	3	12	1	1
VN020041	1	1	5	1
VN020041	2	3	7	0
VN020041	3	12	1	1
VN020043	1	1	11	1
VN020043	2	5	12	1
VN020043	3	10	11	1
VN020044	1	1	5	1
VN020044	2	10	11	1
VN020044	3	12	6	1
VN020046	1	1	5	1
VN020046	2	10	11	1
VN020046	3	12	12	1
VN020047	1	1	11	1
VN020047	2	10	11	1
VN020047	3	12	11	1
VN020048	1	1	5	1
VN020048	2	10	11	1
VN020048	3	12	11	1
VN020050	1	10	1	1
VN020050	2	12	1	1
VN020050	3	1	11	1
VN020052	1	10	11	1
VN020052	2	1	11	1
VN020052	3	12	6	1
VN020053	1	10	11	1
VN020053	2	1	11	1
VN020054	1	1	11	1
VN020054	2	10	11	1
VN020054	3	5	12	1
VN020055	1	10	11	1
VN020055	2	17	1	1
VN020055	3	1	11	1
VN020056	1	10	11	1
VN020056	2	1	5	1
VN020056	3	12	1	1
VN020057	1	10	11	1
VN020057	2	12	6	1
VN020060	1	10	11	1
VN020060	2	12	1	1
VN020060	3	1	5	0
VN020061	1	10	11	1
VN020061	2	12	6	1
VN020061	3	1	5	1
VN020062	1	1	11	1
VN020062	2	10	11	1
VN020062	3	12	1	1
VN020063	1	1	11	1
VN020063	2	10	11	1
VN020063	3	12	1	1
VN020064	1	3	11	1
VN020064	2	10	11	1
VN020064	3	12	11	1
VN020065	1	10	11	1
VN020065	2	12	11	1
VN020066	1	1	11	1
VN020066	2	10	11	1
VN020066	3	12	2	1
VN020067	1	12	6	1
VN020067	2	10	11	1
VN020068	1	10	11	1
VN020068	2	12	12	1
VN020069	1	1	11	1
VN020069	2	5	12	1
VN020069	3	10	11	1
VN020069	4	12	11	1
VN020070	1	10	11	1
VN020070	2	12	12	1
VN020073	1	1	11	1
VN020073	2	10	6	1
VN020073	3	12	6	1
VN020075	1	10	11	1
VN020075	2	12	6	1
VN020077	1	1	11	1
VN020077	2	10	11	1
VN020077	3	12	1	1
VN020078	1	10	11	1
VN020078	2	12	11	1
VN020079	1	10	11	1
VN020079	2	12	11	1
VN020080	1	1	5	1
VN020080	2	12	12	1
VN020080	3	10	11	1
VN020081	1	10	11	1
VN020081	2	12	11	1
VN020083	1	10	11	1
VN020083	2	12	3	1
VN020084	1	10	3	1
VN020084	2	12	3	1
VN020086	1	1	11	1
VN020086	2	12	2	1
VN020086	3	23	2	1
VN020087	1	3	1	1
VN020087	2	10	2	1
VN020087	3	12	2	1
VN020088	1	5	12	1
VN020088	2	10	11	1
VN020088	3	11	11	1
VN020089	1	10	10	1
VN020089	2	12	12	1
VN020090	1	10	11	1
VN020090	2	12	9	1
VN020091	1	1	11	1
VN020091	2	12	11	1
VN020091	3	10	11	1
VN020092	1	2	1	1
VN020092	2	10	11	1
VN020092	3	12	12	1
VN020094	1	1	11	1
VN020094	2	10	11	1
VN020094	3	12	1	1
VN020095	1	10	11	1
VN020095	2	12	12	1
VN020096	1	10	11	1
VN020096	2	12	12	1
VN020096	3	1	11	1
VN020097	1	2	11	1
VN020097	2	10	11	1
VN020097	3	12	11	1
VN020098	1	5	12	1
VN020098	2	10	11	1
VN020098	3	12	11	1
VN020099	1	3	3	1
VN020099	2	10	11	1
VN020100	1	10	11	1
VN020100	2	12	7	1
VN020105	1	18	1	1
VN020106	1	10	11	1
VN020106	2	12	12	1
VN020108	1	10	11	1
VN020108	2	11	3	1
VN020108	3	12	11	1
VN020110	1	10	11	1
VN020110	2	17	1	1
VN020110	3	12	1	1
VN020112	1	17	2	1
VN020112	2	10	11	1
VN020112	3	12	12	1
VN020113	1	10	11	1
VN020114	1	10	11	1
VN020114	2	1	5	1
VN020117	1	1	11	1
VN020117	2	10	11	1
VN020118	1	1	11	1
VN020118	2	10	11	1
VN020118	3	12	11	1
VN020119	1	10	11	1
VN020119	2	12	7	1
VN020122	1	12	11	1
VN020122	2	3	12	1
VN020122	3	5	6	1
VN020122	4	10	11	1
VN020123	1	10	11	1
VN020125	1	10	6	1
VN020125	2	18	1	1
VN020125	3	12	6	1
VN020129	1	1	5	1
VN020129	2	10	11	1
VN020129	3	12	6	1
VN020131	1	10	11	1
VN020131	2	12	11	1
VN020133	1	10	11	1
VN020133	2	12	6	1
VN020133	3	18	1	1
VN020135	1	1	11	1
VN020135	2	3	12	1
VN020135	3	5	12	1
VN020135	4	10	12	1
VN020135	5	12	3	1
VN020136	1	10	11	1
VN020136	2	17	1	1
VN020136	3	12	2	1
VN020136	4	1	11	1
VN030001	1	10	11	1
VN030001	2	12	2	1
VN030002	1	10	10	1
VN030002	2	12	2	1
VN030003	1	1	4	0
VN030003	2	2	6	0
VN030003	3	10	9	1
VN030003	4	12	6	1
VN030004	1	1	5	0
VN030004	2	2	1	0
VN030004	3	12	1	0
VN030004	4	10	11	1
VN030005	1	1	11	1
VN030005	2	10	11	1
VN030005	3	12	12	1
VN030005	4	2	12	1
VN030006	1	1	5	0
VN030006	2	2	1	0
VN030006	3	10	11	1
VN030006	4	12	3	0
VN030008	1	1	5	0
VN030008	2	2	2	0
VN030008	3	10	11	1
VN030008	4	12	1	0
VN030009	1	1	5	0
VN030009	2	2	1	0
VN030009	3	10	11	1
VN030009	4	12	6	1
VN030010	1	1	5	0
VN030010	2	2	1	0
VN030010	3	10	11	1
VN030010	4	12	1	0
VN030011	1	1	4	0
VN030011	2	2	6	0
VN030011	3	10	10	1
VN030011	4	12	9	1
VN030012	1	1	4	0
VN030012	2	2	2	0
VN030012	3	10	9	1
VN030012	4	12	5	1
VN030013	1	1	4	0
VN030013	2	2	2	0
VN030013	3	3	7	0
VN030013	4	10	7	0
VN030013	5	12	7	0
VN030014	1	1	4	0
VN030014	2	2	2	0
VN030014	3	3	2	0
VN030014	4	10	10	1
VN030015	1	10	11	1
VN030016	1	1	11	1
VN030016	2	10	11	1
VN030016	3	2	1	1
VN030017	1	1	11	0
VN030017	2	5	12	0
VN030017	3	2	6	0
VN030017	4	12	12	0
VN030017	5	10	11	0
VN030018	1	1	4	0
VN030018	2	2	2	0
VN030018	3	10	10	1
VN030018	4	12	2	0
VN030019	1	1	11	1
VN030019	2	2	12	1
VN030019	3	10	11	1
VN030019	4	12	12	1
VN030020	1	1	5	0
VN030020	2	2	1	0
VN030020	3	10	11	1
VN030020	4	12	1	0
VN030021	1	1	4	0
VN030021	2	2	2	0
VN030021	3	10	9	0
VN030021	4	12	2	0
VN030022	1	1	5	0
VN030022	2	2	12	1
VN030022	3	10	1	1
VN030022	4	12	11	1
VN030023	1	1	5	0
VN030023	2	2	12	0
VN030023	3	12	1	0
VN030023	4	10	11	1
VN030024	1	1	11	0
VN030024	2	2	1	0
VN030024	3	3	7	0
VN030024	4	10	11	0
VN030025	1	1	4	0
VN030025	2	2	6	0
VN030025	3	10	10	0
VN030025	4	12	2	1
VN030026	1	1	5	0
VN030026	2	2	1	0
VN030026	3	10	11	1
VN030026	4	12	1	0
VN030027	1	1	4	0
VN030027	2	2	6	0
VN030027	3	10	10	0
VN030027	4	12	2	0
VN030028	1	10	7	0
VN030029	1	1	4	0
VN030029	2	2	6	0
VN030029	3	10	10	1
VN030029	4	12	2	0
VN030030	1	19	1	0
VN030031	1	10	11	1
VN030031	2	12	1	0
VN030032	1	1	4	0
VN030032	2	2	2	0
VN030032	3	10	10	1
VN030032	4	12	6	1
VN030033	1	23	3	0
VN030034	1	1	11	1
VN030034	2	2	1	1
VN030034	3	17	7	1
VN030034	4	12	12	1
VN030034	5	10	11	1
VN030035	1	1	5	0
VN030035	2	2	1	0
VN030035	3	10	11	1
VN030035	4	12	1	1
VN030036	1	1	5	0
VN030036	2	2	1	0
VN030036	3	10	11	1
VN030036	4	12	1	1
VN030037	1	1	11	1
VN030037	2	2	6	1
VN030037	3	10	11	1
VN030037	4	12	6	1
VN030038	1	1	5	0
VN030038	2	2	1	0
VN030038	3	10	11	1
VN030039	1	1	11	0
VN030039	2	2	1	1
VN030039	3	10	11	1
VN030040	1	1	5	0
VN030040	2	2	3	0
VN030040	3	10	11	1
VN030040	4	12	3	0
VN030041	1	1	5	0
VN030041	2	2	1	0
VN030041	3	3	7	0
VN030041	4	12	12	1
VN030041	5	10	11	1
VN030042	1	1	5	0
VN030042	2	2	1	0
VN030042	3	10	11	1
VN030042	4	12	6	1
VN030043	1	1	4	0
VN030043	2	2	6	0
VN030043	3	10	9	1
VN030043	4	12	6	1
VN030044	1	1	4	0
VN030044	2	2	1	0
VN030044	3	17	1	0
VN030044	4	12	2	1
VN030044	5	10	10	1
VN030046	1	10	6	1
VN030046	2	12	10	1
VN030047	1	1	11	0
VN030047	2	2	1	0
VN030047	3	10	11	0
VN030048	1	1	4	0
VN030048	2	2	6	0
VN030048	3	10	10	1
VN030048	4	12	6	1
VN030049	1	1	11	0
VN030049	2	2	1	0
VN030049	3	10	11	0
VN030049	4	3	7	0
VN030050	1	3	7	0
VN030050	2	10	9	1
VN030050	3	12	6	1
VN030051	1	1	5	0
VN030051	2	2	1	0
VN030051	3	12	3	0
VN030051	4	10	11	1
VN030052	1	1	4	0
VN030052	2	2	2	0
VN030052	3	10	6	1
VN030052	4	12	6	1
VN030053	1	10	11	0
VN030053	2	17	7	0
VN030055	1	1	4	0
VN030055	2	2	6	0
VN030055	3	3	7	1
VN030055	4	10	7	1
VN030056	1	1	4	0
VN030056	2	2	6	0
VN030056	3	10	10	1
VN030056	4	12	6	1
VN030057	1	1	5	0
VN030057	2	3	7	0
VN030057	3	10	11	1
VN030058	1	10	11	1
VN030059	1	1	11	0
VN030059	2	2	1	0
VN030059	3	10	11	0
VN030059	4	17	7	0
VN030061	1	1	11	0
VN030061	2	2	1	0
VN030061	3	17	7	0
VN030061	4	10	11	0
VN030062	1	10	6	1
VN030062	2	3	7	1
VN030063	1	10	6	1
VN030063	2	12	6	1
VN030064	1	1	5	0
VN030064	2	2	6	0
VN030064	3	10	11	1
VN030065	1	1	5	0
VN030065	2	10	6	1
VN030065	3	12	6	1
VN030065	4	17	7	1
VN030066	1	1	11	0
VN030066	2	2	6	0
VN030066	3	12	12	0
VN030066	4	10	11	0
VN030067	1	1	5	0
VN030067	2	2	1	0
VN030067	3	12	1	0
VN030067	4	10	11	1
VN030069	1	1	4	0
VN030069	2	2	6	0
VN030069	3	17	7	1
VN030069	4	12	8	1
VN030070	1	1	11	1
VN030070	2	2	1	1
VN030070	3	10	11	1
VN030071	1	1	5	0
VN030071	2	2	6	0
VN030071	3	12	1	1
VN030071	4	10	11	1
VN030072	1	1	11	1
VN030072	2	2	1	1
VN030072	3	12	6	0
VN030072	4	23	12	0
VN030073	1	1	4	0
VN030073	2	2	6	0
VN030073	3	10	10	1
VN030073	4	12	6	1
VN030074	1	1	11	1
VN030074	2	2	6	1
VN030074	3	10	11	1
VN030074	4	12	12	1
VN030075	1	1	5	0
VN030075	2	2	12	0
VN030075	3	12	12	1
VN030075	4	10	11	1
VN030077	1	1	5	0
VN030077	2	10	11	1
VN030077	3	2	6	0
VN030077	4	12	2	1
VN030078	1	1	4	0
VN030078	2	2	2	0
VN030078	3	17	7	1
VN030078	4	12	6	1
VN030079	1	1	4	0
VN030079	2	2	6	0
VN030079	3	10	10	1
VN030079	4	12	6	1
VN030081	1	1	5	0
VN030081	2	2	1	0
VN030081	3	12	9	0
VN030081	4	10	11	1
VN030082	1	1	5	0
VN030082	2	2	1	0
VN030082	3	10	6	1
VN030082	4	3	7	1
VN030082	5	12	6	1
VN030083	1	10	9	1
VN030083	2	12	6	1
VN030084	1	1	10	1
VN030084	2	2	6	1
VN030084	3	10	10	1
VN030084	4	12	12	1
VN030086	1	1	11	1
VN030086	2	2	2	1
VN030086	3	12	2	1
VN030086	4	10	11	1
VN030087	1	1	4	0
VN030087	2	2	2	0
VN030087	3	10	8	1
VN030087	4	12	2	1
VN030088	1	1	4	0
VN030088	2	2	6	0
VN030088	3	10	10	1
VN030088	4	12	2	0
VN030089	1	1	4	0
VN030089	2	2	2	0
VN030089	3	10	10	1
VN030089	4	12	2	0
VN030090	1	1	5	0
VN030090	2	2	1	0
VN030090	3	3	12	1
VN030090	4	10	11	1
VN030090	5	12	1	1
VN030092	1	1	4	0
VN030092	2	2	6	0
VN030092	3	10	9	1
VN030092	4	12	6	1
VN030093	1	1	11	1
VN030093	2	2	1	1
VN030093	3	10	11	1
VN030093	4	3	7	1
VN030094	1	1	4	0
VN030094	2	2	2	0
VN030094	3	10	10	1
VN030094	4	12	2	1
VN030094	5	17	7	1
VN030095	1	1	5	0
VN030095	2	2	1	0
VN030095	3	12	6	1
VN030095	4	10	11	1
VN030096	1	1	5	0
VN030096	2	2	1	0
VN030096	3	10	11	1
VN030096	4	12	1	0
VN030097	1	1	5	0
VN030097	2	2	1	0
VN030097	3	3	7	1
VN030097	4	12	4	1
VN030097	5	10	11	1
VN030098	1	1	11	1
VN030098	2	2	12	1
VN030098	3	17	7	1
VN030098	4	12	7	1
VN030099	1	1	11	0
VN030099	2	2	1	0
VN030099	3	10	11	1
VN030099	4	12	12	1
VN030100	1	1	11	1
VN030100	2	2	12	1
VN030100	3	10	11	1
VN030100	4	12	12	1
VN030120	1	1	5	0
VN030120	2	2	1	0
VN030120	3	10	11	1
VN030120	4	12	1	1
VN030127	1	1	11	1
VN030127	2	2	6	1
VN030127	3	10	11	1
VN030127	4	12	6	1
VN030129	1	1	11	1
VN030129	2	2	6	1
VN030129	3	12	12	1
VN030129	4	10	11	1
VN030130	1	1	4	0
VN030130	2	2	2	0
VN030130	3	10	9	1
VN030130	4	12	2	1
VN030131	1	1	10	0
VN030131	2	2	6	0
VN030131	3	10	11	0
VN030131	4	12	12	0
VN030132	1	1	11	0
VN030132	2	2	6	0
VN030132	3	12	12	1
VN030132	4	10	11	1
VN030138	1	1	5	0
VN030138	2	2	1	0
VN030138	3	10	11	1
VN030138	4	12	1	1
VN030139	1	10	10	1
VN030139	2	12	6	1
VN040001	1	10	11	1
VN040001	2	11	11	1
VN040002	2	10	11	1
VN040003	1	12	11	1
VN040003	2	10	11	1
VN040003	3	12	1	1
VN040004	1	1	5	1
VN040004	2	10	11	1
VN040005	1	12	2	0
VN040005	2	10	9	1
VN040006	1	1	11	0
VN040006	2	10	11	1
VN040006	3	12	11	1
VN040007	2	10	11	1
VN040008	1	1	11	1
VN040008	2	10	9	1
VN040009	1	1	11	1
VN040009	2	10	11	1
VN040009	3	12	11	1
VN040010	1	1	11	0
VN040010	2	3	8	1
VN040010	3	12	12	1
VN040012	1	1	11	0
VN040012	2	10	11	1
VN040012	3	12	11	1
VN040013	1	10	11	1
VN040013	2	12	11	1
VN040014	1	1	12	0
VN040014	2	10	11	1
VN040014	3	12	11	1
VN040015	1	10	6	1
VN040016	1	1	5	0
VN040016	2	10	11	1
VN040017	1	11	12	0
VN040017	2	10	11	1
VN040018	1	1	11	1
VN040018	2	12	2	1
VN040018	3	10	11	1
VN040020	1	10	11	1
VN040021	1	1	11	1
VN040021	2	10	11	1
VN040021	3	12	2	1
VN040022	1	10	11	1
VN040023	1	1	11	1
VN040023	2	12	1	1
VN040023	3	10	10	1
VN040024	1	1	5	1
VN040024	2	3	7	1
VN040024	3	10	11	1
VN040025	1	1	5	1
VN040025	2	3	1	1
VN040025	3	10	11	1
VN040026	1	1	11	0
VN040026	2	3	2	0
VN040026	3	10	10	1
VN040028	1	10	11	0
VN040029	1	1	11	1
VN040029	2	10	11	1
VN040030	1	1	11	0
VN040030	2	10	11	1
VN040030	3	12	11	1
VN040031	1	1	5	1
VN040031	2	10	11	1
VN040032	1	1	5	0
VN040032	2	2	6	1
VN040032	3	10	11	1
VN040033	1	1	5	1
VN040033	2	10	11	1
VN040034	1	1	11	1
VN040034	2	10	11	1
VN040035	1	1	11	1
VN040035	2	10	12	1
VN040035	3	12	12	1
VN040036	1	10	1	1
VN040036	2	12	12	1
