CHILDID	OUTID	REMREL	REMEST	REMGOOD
VN030050	1	5	70	20
VN030050	2	6	120	30
VN030051	1	19	100	0
VN030051	2	13	30	20
VN030052	1	5	1000	500
VN030052	2	6	1000	500
VN030052	3	13	1000	300
VN030052	4	21	100	0
VN030055	1	5	250	50
VN030055	2	6	250	50
VN030056	1	6	120	30
VN030056	2	13	70	20
VN030057	1	13	50	20
VN030057	2	19	40	0
VN030058	1	13	60	0
VN030062	1	13	150	50
VN030062	2	19	100	0
VN030063	1	13	200	50
VN030063	2	19	300	0
VN030064	1	19	30	20
VN030065	1	19	300	0
VN030065	2	13	200	0
VN030067	1	19	70	0
VN030067	2	13	30	10
VN030069	1	5	150	70
VN030069	2	6	150	70
VN030069	3	13	70	20
VN030071	1	13	50	20
VN030071	2	6	50	0
VN030072	1	6	3000	200
VN030073	1	5	300	100
VN030073	2	13	180	50
VN030073	3	21	50	0
VN030075	1	13	500	0
VN030075	2	15	300	100
VN030075	3	6	500	0
VN030075	4	5	500	0
VN030078	1	5	350	70
VN030078	2	6	350	70
VN030078	3	13	120	50
VN030078	4	21	20	0
VN030079	1	5	180	50
VN030079	2	6	170	50
VN030079	3	13	30	0
VN030081	1	19	50	0
VN030081	2	13	50	0
VN030082	1	19	30	0
VN030083	1	6	120	40
VN030083	2	13	200	30
VN030084	1	6	300	0
VN030087	1	13	120	30
VN030087	2	21	50	0
VN030088	1	6	120	30
VN030088	2	13	70	15
VN030089	1	5	350	150
VN030089	2	6	350	150
VN030089	3	13	180	50
VN030089	4	21	30	0
VN030090	1	13	300	0
VN030092	1	5	180	30
VN030092	2	6	150	50
VN030092	3	13	100	20
VN030094	1	5	180	70
VN030094	2	6	150	80
VN030094	3	13	120	30
VN030095	1	13	200	50
VN030095	2	19	150	0
VN030095	3	21	100	0
VN030096	1	13	200	0
VN030096	2	21	200	0
VN030096	3	5	1000	0
VN030096	4	6	1000	0
VN030097	1	13	100	0
VN030097	2	6	50	0
VN030099	1	6	100	0
VN030099	2	5	50	-99
VN030100	1	5	200	0
VN030100	2	6	200	0
VN030120	1	19	200	0
VN030120	2	21	50	0
VN030120	3	13	200	50
VN030127	1	5	500	0
VN030127	2	6	500	0
VN030129	1	21	300	0
VN030129	2	6	300	0
VN030130	1	5	120	30
VN030130	2	6	150	50
VN030130	3	13	60	10
VN030138	1	13	200	0
VN030139	1	13	180	70
VN030139	2	21	70	0
VN040001	1	21	10	0
VN040002	1	21	20	0
VN040003	1	21	100	0
VN040004	1	21	30	0
VN040006	1	21	20	-88
VN040008	1	21	50	-88
VN040009	1	5	0	300
VN040009	2	21	20	0
VN040010	1	21	40	-88
VN040012	1	5	500	0
VN040012	2	6	500	0
VN040012	3	21	20	0
VN040013	1	21	20	-88
VN040014	1	21	35	-88
VN040017	1	21	7	-99
VN040018	1	21	200	0
VN040020	1	21	30	0
VN040021	1	21	50	0
VN040021	2	19	200	0
VN040022	1	21	50	0
VN040024	1	21	15	0
VN040025	1	21	20	0
VN040026	1	13	20000	-77
VN040028	1	13	1200	0
VN040028	2	15	600	0
VN040028	3	21	20	60
VN040029	1	21	20	-77
VN040030	1	21	20	-88
VN040031	1	21	20	0
VN040032	1	21	20	-77
VN040033	1	21	25	0
VN040034	1	21	200	0
VN040034	2	6	25000	0
VN040035	1	21	150	-88
VN040035	2	19	130	-88
VN040036	1	21	110	100
VN040037	1	6	500	0
VN040037	2	21	50	0
VN040038	1	21	600	0
VN040039	1	21	20	0
VN040043	1	19	50	0
VN040043	2	21	30	0
VN040045	1	21	20	150
VN040045	2	5	500	0
VN040045	3	6	600	0
VN040047	1	21	150	0
VN040049	1	1	0	500
VN040049	2	21	30	0
VN040051	1	21	30	0
VN040052	1	21	5	0
VN040053	1	21	100	0
VN040054	1	21	40	-88
VN040055	1	21	30	0
VN040056	1	21	30	0
VN040059	1	21	20	0
VN040062	1	21	50	0
VN040064	1	21	20	0
VN040065	1	21	100	0
VN040069	1	6	30	0
VN040069	2	5	30	0
VN040069	3	14	150	0
VN040070	1	6	500	0
VN040070	2	5	100	0
VN040070	3	19	5	0
VN040073	1	21	50	-88
VN040075	1	6	100	0
VN040076	1	19	20	-88
VN040079	1	21	20	0
VN040080	1	21	20	0
VN040081	1	21	20	-77
VN040082	1	21	20	0
VN040083	1	5	0	100
VN040083	2	5	0	100
VN040084	1	21	30	0
VN040087	1	5	0	20
VN040087	2	6	0	20
VN040088	1	1	100	0
VN040088	2	21	10	0
VN040090	1	21	15	0
VN040093	1	21	100	0
VN040095	1	21	30	0
VN040096	1	5	0	50
VN040096	2	6	0	50
VN040098	1	5	0	30
VN040098	2	6	0	30
VN040100	1	21	20	0
VN040106	1	21	40	0
VN040108	1	21	10	0
VN040113	1	21	30	0
VN040118	1	21	100	0
VN040118	2	19	1000	0
VN040119	1	7	1000	0
VN040119	2	21	20	0
VN040122	1	21	20	0
VN040129	1	21	500	-88
VN040129	2	19	200	-88
VN040145	1	6	100	0
VN040145	2	17	70	0
VN040151	1	13	400	-88
VN040151	2	21	150	-88
VN040164	1	21	50	0
VN040171	1	21	20	0
VN040174	1	1	10	-88
VN050006	1	5	2000	600
VN050006	2	13	300	0
VN050008	1	5	0	20
VN050012	1	5	300	600
VN050012	2	6	0	500
VN050012	3	21	300	0
VN050013	1	5	100	100
VN050013	2	6	200	200
VN050013	3	21	60	50
VN050016	1	6	150	50
VN050016	2	5	300	0
VN050016	3	13	300	0
VN050022	1	6	0	2500
VN050022	2	5	0	2500
VN050022	3	21	250	0
VN050024	1	5	100	0
VN050024	2	6	100	0
VN050026	1	6	0	40
VN050031	1	21	20	0
VN050033	1	5	400	200
VN050033	2	21	300	0
VN050036	1	5	0	1160
VN050040	1	21	100	0
VN050044	1	21	300	0
VN050047	1	5	200	200
VN050047	2	21	50	0
VN050055	1	6	600	200
VN050055	2	13	600	200
VN050057	1	19	1000	0
VN050059	1	5	0	200
VN050059	2	6	0	200
VN050061	1	21	50	0
VN050061	2	5	400	200
VN050066	1	6	200	0
VN050069	1	21	50	0
VN050075	1	13	0	39
VN050077	1	21	0	300
VN050079	1	5	1000	500
VN050079	2	6	1000	500
VN050079	3	13	650	0
VN050079	4	21	600	0
VN050081	1	21	20	0
VN050081	2	13	0	150
VN050082	1	21	200	0
VN050083	1	21	30	0
VN050085	1	21	10	0
VN050086	1	21	3000	0
VN050086	2	6	5000	300
VN050086	3	5	10000	1000
VN050094	1	21	150	0
VN050115	1	18	1000	0
VN060006	1	21	100	88
VN060012	1	5	100	0
VN060012	2	6	100	0
VN060018	1	1	5000	0
VN060020	1	21	250	0
VN060025	1	21	45	0
VN060028	1	21	230	0
VN060031	1	5	200	0
VN060043	1	21	100	0
VN060045	1	5	0	680
VN060047	1	21	40	0
VN060052	1	5	0	200
VN060052	2	21	50	0
VN060057	1	21	50	0
VN060060	1	6	1000	0
VN060065	1	5	1200	0
VN060068	1	13	600	150
VN060077	1	6	4000	0
VN060077	2	5	4800	0
VN060080	1	21	40	0
VN060081	1	21	600	0
VN060085	1	5	200	100
VN060088	1	5	100	0
VN060088	2	6	100	0
VN060089	1	5	1500	0
VN060089	2	19	200	0
VN060094	1	21	25	0
VN060098	1	21	200	0
VN060104	1	21	30	0
VN060119	1	21	15	0
VN070001	1	21	4000	0
VN070002	1	21	30	0
VN070004	1	21	10	0
VN070006	1	21	50	0
VN070010	1	21	3000	0
VN070013	1	21	10	0
VN070018	1	21	20	0
VN070019	1	21	200	0
VN070022	1	17	2000	1000
VN070031	1	18	0	50
VN070034	1	6	500	100
VN070034	2	5	500	100
VN070037	1	5	300	200
VN070037	2	21	50	0
VN070040	1	6	1000	300
VN070040	2	5	500	0
VN070041	1	6	-99	30
VN070041	2	5	-99	30
VN070041	3	13	-99	20
VN070042	1	18	200	50
VN070049	1	5	1000	0
VN070049	2	13	10000	0
VN070050	1	13	9000	0
VN070051	1	5	0	200
VN070051	2	6	0	200
VN070054	1	6	300	200
VN070054	2	5	400	200
VN070054	3	13	1350	50
VN070054	4	14	200	0
VN070054	5	21	100	0
VN070058	1	14	200	0
VN070058	2	5	250	0
VN070059	1	5	5000	20
VN070060	1	6	500	100
VN070067	1	19	100	100
VN070068	1	21	20	0
VN070069	1	13	400	0
VN070075	1	21	50	0
VN070076	1	5	0	200
VN070076	2	6	0	100
VN070077	1	21	20	0
VN070080	1	7	600	0
VN070092	1	6	150	50
VN070092	2	13	60	0
VN070092	3	14	0	50
VN070093	1	6	200	50
VN070097	1	13	4000	0
VN070118	1	21	100	200
VN070124	1	21	30	0
VN080004	1	21	20	0
VN080005	1	5	1700	0
VN080006	1	21	35	0
VN080011	1	21	10	0
VN080017	1	21	30	0
VN080018	1	6	600	0
VN080018	2	21	20	0
VN080022	1	21	40	0
VN080029	1	21	40	0
VN080035	1	21	30	0
VN080036	1	21	40	0
VN080040	1	6	300	0
VN080042	1	21	30	0
VN080048	1	21	35	0
VN080050	1	6	6000	0
VN080052	1	5	4800	0
VN080052	2	13	1000	0
VN080055	1	21	40	0
VN080060	1	21	20	0
VN080068	1	21	20	0
VN080069	1	21	100	0
VN080073	1	21	100	0
VN080076	1	13	1000	0
VN080076	2	21	100	0
VN080079	1	5	500	0
VN080079	2	6	500	0
VN080081	1	21	60	0
VN080083	1	14	100	0
VN080085	1	19	460	0
VN080086	1	6	3600	0
VN080086	2	5	1000	0
VN080092	1	14	120	0
VN080094	1	1	0	100
VN080119	1	21	80	0
VN080132	1	6	2000	0
VN080142	1	21	200	0
VN080165	1	21	30	0
VN090002	1	5	100	0
VN090004	1	13	-99	100
VN090007	1	19	100	0
VN090014	1	5	0	50
VN090020	1	5	200	-99
VN090020	2	21	200	-99
VN090024	1	5	2000	0
VN090024	2	6	300	0
VN090029	1	5	0	100
VN090032	1	13	100	0
VN090060	1	7	200	0
VN090087	1	5	150	-77
VN090087	2	6	-77	200
VN090094	1	5	300	0
VN090094	2	6	100	0
VN090105	1	5	-99	100
VN090106	1	6	100	0
VN100003	1	5	100	50
VN100003	2	6	100	50
VN100006	1	6	0	50
VN100007	1	5	0	20
VN100007	2	6	0	20
VN100010	1	6	200	40
VN100011	1	6	100	50
VN100014	1	5	50	50
VN100014	2	6	100	50
VN100015	1	6	500	500
VN100015	2	5	500	500
VN100015	3	14	200	200
VN100017	1	5	200	0
VN100022	1	5	500	0
VN100022	2	6	500	0
VN100025	1	6	10	15
VN100025	2	5	10	15
VN100026	1	1	0	20
VN100026	2	1	0	20
VN100027	1	5	500	0
VN100029	1	6	100	0
VN100029	2	5	100	0
VN100030	1	5	0	50
VN100031	1	6	0	100
VN100032	1	5	400	100
VN100032	2	6	0	100
VN100033	1	5	100	100
VN100035	1	6	50	50
VN100036	1	5	0	30
VN100036	2	6	0	30
VN100040	1	5	100	0
VN100042	1	5	50	100
VN100044	1	5	0	100
VN100044	2	6	0	100
VN100051	1	5	100	20
VN100055	1	5	0	100
VN100056	1	5	100	100
VN100056	2	6	100	100
VN100057	1	5	0	100
VN100058	1	6	0	50
VN100058	2	5	0	100
VN100060	1	5	0	50
VN100060	2	6	0	50
VN100061	1	5	0	50
VN100062	1	5	0	200
VN100064	1	6	0	50
VN100064	2	5	0	50
VN100066	1	5	0	50
VN100066	2	6	0	50
VN100067	1	5	200	200
VN100068	1	18	0	30
VN100068	2	5	0	30
VN100070	1	5	0	50
VN100071	1	5	50	50
VN100072	1	5	0	40
VN100077	1	5	1200	0
VN100077	2	6	1200	0
VN100078	1	6	6000	600
VN100085	1	14	500	0
VN100087	1	6	300	0
VN100093	1	13	500	0
VN100094	1	5	0	200
VN100096	1	5	0	100
VN100096	2	6	0	100
VN100107	1	5	1000	0
VN100107	2	6	1000	0
VN100109	1	6	200	200
VN100109	2	5	200	100
VN100111	1	5	0	30
VN110001	1	13	200	100
VN110001	2	21	70	0
VN110002	1	13	1000	0
VN110002	2	21	200	0
VN110006	1	21	10	10
VN110007	1	6	3000	0
VN110007	2	5	0	200
VN110008	1	13	1000	0
VN110008	2	21	120	0
VN110010	1	21	100	100
VN110012	1	19	1000	200
VN110012	2	21	800	0
VN110013	1	19	50	50
VN110013	2	21	70	0
VN110014	1	21	500	0
VN110015	1	5	200	0
VN110015	2	6	200	0
VN110015	3	21	100	0
VN110017	1	13	0	200
VN110017	2	21	400	0
VN110019	1	19	150	0
VN110019	2	21	700	0
VN110021	1	5	50	0
VN110021	2	21	120	0
VN110023	1	21	150	0
VN110024	1	21	200	0
VN110025	1	21	25	25
VN110026	1	21	180	0
VN110027	1	21	100	0
VN110028	1	13	500	0
VN110028	2	19	1500	0
VN110028	3	21	500	0
VN110029	1	19	300	0
VN110029	2	21	400	0
VN110030	1	19	500	0
VN110030	2	21	500	0
VN110031	1	5	40	30
VN110031	2	21	100	100
VN110032	1	6	100	100
VN110032	2	21	200	200
VN110033	1	13	300	0
VN110033	2	19	700	0
VN110034	1	13	200	0
