PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	MONTHS	MTRNYSSN	FACTORY	KNDFCCL1	KNDFCCL2	KNDFCCL3	KNDFACE1	EMPLMEN	EMPLWOMN	EMPLCHLD	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	PRGINF1	PRGINF2	PRGINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10	EDCNINF1	EDCNINF2	EDCNINF3	LTRCYCMP	HLTHINF1	HLTHINF2	HLTHINF3	MIDWIFE	BIRTHATT	TRADHLR	VILHTHWK	AUXILIAR	NURSE	SOCWRKR	MTLHLTH	GENPHYS	SPECPHYS	DENTIST	OTHRPERS	PHCINF1	TYPESTB	HLTCATR5	ENDDINT
19	15/09/2016 13:14:09	1	07	0	1	3	6	720	0	1	1	0	0	0	0	3	0	 	2	8	18	88	8	5	11	0	1	5	8	9	6	7	13	11	13	4	11	9	9	16	18	18	20	22	24	26	28	30	32	6	7	11	1	13	8	2	0	0	0	1	1	0	0	0	0	0	0	0	6	1	3	21/10/2016 16:07:38
20	18/10/2016 21:21:56	1	07	0	1	2	9	77	1	0	1	0	0	0	0	1	4	0	0	 	 	 	 	 	 	 	1	2	9	6	9	1	2	1	2	9	10	8	6	16	17	18	19	20	21	22	23	24	25	6	8	10	0	3	4	6	0	0	0	1	1	1	0	0	0	0	0	0	3	1	1	04/11/2016 18:48:42
21	22/09/2016 19:06:11	1	07	0	1	4	8	1011	1	0	0	1	0	0	0	1	4	4	1	18	88	 	18	12	0	0	1	3	6	9	6	7	12	1	2	6	1	5	6	16	17	18	28	22	19	20	21	30	31	1	2	6	1	4	10	11	0	0	0	0	1	1	0	0	0	0	0	0	7	2	2	27/10/2016 18:14:43
22	21/10/2016 17:22:56	1	07	0	1	2	10	877	1	0	0	0	0	0	0	1	5	3	1	8	18	88	8	10	100	0	1	1	4	5	1	2	9	2	4	5	1	2	5	16	31	15	22	24	24	28	30	32	34	8	10	11	1	4	5	12	0	0	0	0	1	1	0	0	0	0	0	0	1	1	3	05/11/2016 17:50:01
23	22/09/2016 08:21:01	1	07	0	2	1	5	784	1	1	1	0	1	0	0	2	0	 	2	8	16	18	8	15	7	0	1	3	1	4	13	4	5	13	7	1	12	14	1	17	18	19	22	24	26	27	32	35	36	16	13	2	1	8	10	9	0	0	0	1	0	1	0	0	0	0	0	1	10	1	1	26/09/2016 10:01:05
24	19/12/2016 11:01:17	1	03	0	1	3	2	4130	0	1	1	0	1	1	0	3	0	 	1	16	18	19	16	500	250	0	0	2	4	3	2	4	5	3	4	5	6	2	4	7	9	10	12	14	16	17	21	27	30	2	3	4	1	1	2	4	0	0	0	1	1	1	0	0	1	1	0	0	1	2	2	06/01/2017 17:13:36
25	20/12/2016 10:56:36	1	03	0	2	4	5	4350	0	1	1	0	0	1	0	2	0	 	1	16	19	19	16	8	2	0	0	2	4	3	3	1	4	1	6	2	3	5	1	8	9	10	11	12	14	13	16	18	25	1	4	3	0	1	3	4	0	0	0	0	1	1	1	0	1	1	1	0	5	2	2	28/02/2017 11:40:28
26	18/12/2016 18:36:38	1	03	0	1	2	3	2500	0	1	1	1	0	1	0	2	0	 	1	16	18	88	16	400	200	-77	1	1	2	3	1	2	3	1	2	3	1	2	3	7	8	9	10	13	15	12	19	22	26	1	3	5	0	1	3	6	1	0	0	1	1	1	1	0	1	1	1	1	1	2	4	19/12/2016 12:08:06
27	01/10/2016 06:00:15	5	02	0	1	2	3	1142	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	2	1	2	3	0	13	14	2	0	0	0	1	1	1	0	0	0	0	0	0	13	1	3	02/10/2016 07:13:22
28	08/10/2016 06:13:18	5	02	1	1	2	3	1204	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	6	7	8	9	10	11	12	13	14	15	1	2	3	1	4	5	16	0	0	0	1	1	1	0	0	1	0	0	0	5	1	3	08/10/2016 06:55:02
29	30/09/2016 05:21:58	5	02	0	1	2	3	612	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	3	8	1	2	8	4	5	9	10	11	12	13	14	15	16	1	2	3	0	6	7	3	0	0	0	1	1	1	0	0	0	0	0	0	6	1	3	30/09/2016 07:14:54
30	01/10/2016 07:40:44	5	02	0	1	2	3	1039	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	5	6	1	2	3	4	5	7	8	9	1	2	3	0	7	8	3	1	0	0	1	1	1	0	0	0	0	0	0	7	1	3	03/10/2016 15:23:33
31	06/10/2016 09:45:02	5	02	0	1	2	3	1000	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	5	8	9	10	11	12	13	14	15	9	1	2	3	0	6	7	4	0	0	0	1	1	1	0	0	0	0	0	0	6	1	3	08/10/2016 07:25:46
32	04/10/2016 06:17:41	5	02	0	1	2	3	548	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	1	2	3	4	5	8	9	10	11	12	13	14	15	1	2	3	0	3	6	7	0	0	0	1	1	1	0	0	0	0	0	0	6	1	3	04/10/2016 07:06:05
33	30/11/2016 22:42:45	5	01	0	1	2	3	2155	0	0	1	0	0	0	0	3	0	 	1	19	88	 	19	100	20	0	0	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	1	2	3	0	1	2	3	1	0	0	1	1	1	1	1	1	1	1	0	1	1	3	01/12/2016 06:39:46
34	17/03/2017 17:14:06	5	34	0	1	2	3	1754	0	0	1	0	0	1	0	3	0	 	1	11	88	 	11	50	20	0	0	1	2	3	1	2	3	1	2	3	1	2	3	4	5	6	7	8	9	10	11	12	13	1	2	3	0	14	15	2	1	0	0	1	1	1	1	1	1	1	1	0	14	1	1	17/03/2017 21:09:31
35	17/12/2016 17:06:53	12	11	0	1	2	3	5150	0	1	1	0	0	1	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	2	1	3	5	1	2	3	2	4	5	6	7	8	9	10	11	12	13	14	15	1	2	3	1	1	3	5	0	0	1	1	0	0	1	0	0	0	0	0	1	1	3	17/12/2016 17:55:27
36	08/10/2016 09:48:14	12	11	0	1	6	9	1200	1	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	3	4	2	3	4	9	4	5	6	1	3	4	11	12	13	14	15	16	17	18	19	20	1	2	7	1	1	2	6	0	1	1	1	1	1	0	0	0	0	0	0	3	1	3	17/12/2016 15:58:57
37	22/09/2016 12:27:45	12	11	0	6	3	1	3000	1	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	6	2	3	4	1	3	5	3	5	6	7	8	9	10	11	12	13	14	15	16	2	3	5	1	1	3	6	1	1	0	1	1	0	1	0	0	0	0	0	6	1	3	06/10/2016 09:50:08
38	08/10/2016 09:56:28	12	11	0	1	2	3	2214	1	1	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	2	3	1	2	3	2	3	4	5	6	7	8	9	10	11	12	13	14	1	2	3	1	1	2	3	1	1	0	1	0	0	0	0	0	0	0	0	1	1	3	24/12/2016 18:54:53
40	16/12/2016 17:21:22	12	11	0	1	2	4	2100	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	5	6	1	3	4	1	3	6	5	6	2	7	8	9	10	11	12	13	14	15	16	1	3	4	1	5	1	6	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	24/12/2016 18:55:55
41	16/12/2016 15:16:30	12	12	0	1	2	3	4100	0	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	3	2	1	1	3	4	1	3	4	5	6	7	8	9	10	11	12	13	14	1	2	3	1	1	3	4	1	0	1	1	0	0	1	0	0	0	0	0	1	1	3	24/12/2016 16:47:49
42	16/12/2016 16:54:35	12	12	0	1	2	5	4952	1	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	5	1	2	4	1	5	3	1	4	5	6	7	8	9	10	11	12	13	14	15	1	2	4	1	1	3	4	1	0	0	1	0	0	1	0	0	0	0	0	1	1	3	24/12/2016 10:13:58
43	21/12/2016 15:17:20	12	13	0	1	2	3	2950	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	2	3	1	2	3	1	2	4	6	7	8	9	12	14	15	16	18	20	1	2	5	1	1	2	5	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	21/12/2016 15:58:27
44	17/12/2016 12:44:39	12	13	0	1	2	3	4602	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	4	1	3	4	1	3	4	3	4	5	6	7	8	9	10	11	12	13	14	15	1	3	4	1	1	4	3	0	0	0	1	0	0	1	0	0	0	0	0	3	1	1	17/12/2016 13:26:47
45	17/12/2016 14:51:46	12	13	0	1	2	2	1968	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	4	1	3	4	1	4	5	1	5	4	6	7	8	9	10	11	12	13	14	15	2	3	4	1	1	3	4	0	0	0	1	0	0	1	0	0	0	0	0	3	1	3	17/12/2016 16:57:35
46	17/12/2016 14:05:20	12	13	0	1	3	2	1510	0	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	1	3	4	1	2	4	1	2	3	5	6	7	8	9	10	11	12	13	13	1	2	3	1	1	2	4	0	0	0	1	0	0	1	0	0	0	0	0	1	1	3	17/12/2016 14:44:15
47	30/11/2016 18:30:27	12	13	0	1	2	3	2100	0	0	1	1	0	0	0	3	2	2	0	 	 	 	 	 	 	 	0	1	2	5	3	6	1	2	1	3	1	6	3	5	6	7	8	9	10	11	12	13	14	13	1	3	1	3	4	1	1	0	0	1	1	1	1	0	1	1	1	0	3	1	1	08/12/2016 20:31:00
48	15/12/2016 19:33:00	12	10	0	1	3	5	3000	1	0	1	1	0	0	0	3	1	1	0	 	 	 	 	 	 	 	0	1	4	7	4	1	2	1	4	7	1	2	4	6	7	8	9	10	11	12	13	14	15	1	2	3	0	1	2	5	1	0	0	1	1	1	1	0	1	1	1	0	1	1	5	28/12/2016 22:33:31
49	01/01/2017 19:35:01	12	49	0	2	18	2	4103	1	0	1	0	0	0	0	3	1	1	0	 	 	 	 	 	 	 	0	2	17	4	2	3	1	2	15	1	16	2	5	1	2	6	7	8	9	10	11	12	13	2	15	1	0	2	1	3	1	0	0	1	1	1	1	0	1	1	1	0	1	1	3	10/01/2017 20:35:28
50	20/10/2016 19:48:26	11	08	0	2	3	4	950	0	1	1	0	0	0	0	3	3	3	0	 	 	 	 	 	 	 	0	6	9	5	3	4	5	4	7	2	3	5	1	1	9	10	11	12	13	14	15	16	2	3	2	6	0	3	5	6	1	0	0	1	1	1	0	0	0	0	0	0	2	1	3	23/10/2016 21:48:54
51	14/10/2016 16:11:25	11	08	0	1	3	5	550	0	1	0	0	1	0	0	2	5	3	0	 	 	 	 	 	 	 	0	2	1	4	6	1	9	3	5	3	1	4	3	1	3	11	12	13	14	15	16	17	18	2	4	5	1	4	1	6	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	18/10/2016 15:11:56
52	31/10/2016 19:45:12	11	08	0	1	5	5	3250	1	1	1	1	0	0	0	2	3	3	0	 	 	 	 	 	 	 	1	1	4	6	1	5	3	1	3	5	3	1	7	1	2	11	12	13	14	15	16	17	18	5	6	1	0	7	4	8	1	0	0	0	1	1	1	0	0	0	0	0	7	1	3	03/11/2016 21:45:34
53	25/10/2016 19:47:05	11	09	0	1	2	4	2360	1	1	1	1	0	0	0	3	5	5	0	 	 	 	 	 	 	 	1	1	3	19	1	3	4	3	1	5	18	2	1	1	4	9	10	11	12	13	14	15	16	19	1	3	0	5	1	6	0	1	0	1	1	0	0	0	0	0	0	0	5	1	3	28/10/2016 20:47:38
54	08/10/2016 15:26:21	11	08	0	1	13	15	736	0	1	1	0	1	0	0	2	0	 	0	 	 	 	 	 	 	 	0	1	6	7	1	6	3	6	1	4	1	5	7	1	17	18	19	20	21	22	23	24	2	6	1	2	1	1	5	6	0	0	0	1	0	1	1	0	0	0	0	0	5	1	3	11/10/2016 16:26:57
55	03/10/2016 19:12:49	11	09	0	2	3	4	400	1	0	1	1	0	0	0	1	1	1	0	 	 	 	 	 	 	 	1	9	2	8	11	10	2	1	6	2	9	10	1	1	5	13	14	15	16	17	18	19	20	1	4	3	1	2	6	11	1	0	0	1	0	1	0	0	0	0	0	0	1	1	1	05/10/2016 20:13:13
56	10/08/2016 17:23:43	11	09	1	1	2	15	1070	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	16	8	1	16	1	7	9	1	3	14	6	7	10	11	12	19	20	18	17	3	9	6	9	1	3	0	3	4	16	1	0	0	1	0	0	0	0	1	0	0	0	3	1	3	15/09/2016 16:39:12
57	22/08/2016 19:36:35	11	09	1	1	7	15	686	1	0	1	1	0	0	0	3	1	1	0	 	 	 	 	 	 	 	1	8	13	9	1	6	14	1	6	5	10	12	13	14	16	17	18	19	20	21	22	15	13	1	5	9	0	4	3	13	0	1	1	1	1	1	0	0	1	0	0	0	1	1	3	26/09/2016 19:42:02
58	27/09/2016 18:10:15	11	09	0	1	4	7	2500	0	0	0	0	0	0	0	2	3	2	0	 	 	 	 	 	 	 	1	1	7	6	1	6	5	6	7	1	1	7	6	2	13	14	15	16	17	18	19	1	7	6	1	8	1	7	1	4	0	0	0	0	1	0	0	0	0	0	0	0	7	1	3	30/09/2016 18:10:35
61	24/08/2016 17:03:56	14	17	0	1	2	6	1115	1	1	0	1	0	0	0	2	0	 	2	19	11	18	18	15	10	0	1	2	6	4	2	1	5	1	2	6	4	5	2	8	9	10	11	12	13	14	15	16	17	7	2	1	0	3	1	2	0	1	1	1	1	0	1	0	0	0	0	0	3	1	1	01/09/2016 06:58:21
62	21/08/2016 14:19:51	14	17	0	2	3	4	1259	1	1	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	3	6	1	2	7	2	4	5	1	3	7	8	9	4	10	12	13	14	15	17	19	16	2	3	0	2	3	18	1	1	1	1	0	0	1	0	0	0	0	0	2	1	3	31/08/2016 07:13:52
63	26/08/2016 16:23:59	14	17	0	1	5	6	2200	1	1	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	3	6	7	1	4	5	1	8	3	3	8	1	10	11	12	13	14	15	16	17	18	19	1	9	3	0	2	5	6	1	1	0	1	1	1	1	0	0	0	0	0	2	2	2	01/09/2016 12:02:08
64	03/09/2016 15:17:09	14	17	0	1	2	3	2590	1	0	1	1	0	0	0	3	0	 	2	14	88	 	14	80	20	0	1	10	3	2	10	11	12	1	2	3	10	11	12	4	9	13	14	15	16	17	18	19	20	1	3	9	0	3	1	7	1	1	0	1	1	1	1	0	0	0	0	0	8	2	2	09/09/2016 16:03:24
65	23/08/2016 12:34:14	14	17	0	2	3	1	1030	1	1	0	1	0	0	0	2	0	 	2	14	18	11	18	30	15	0	1	1	6	6	2	7	4	3	1	2	3	8	2	9	10	11	12	13	14	15	16	17	18	5	2	1	0	4	1	2	1	1	1	1	0	0	1	0	0	0	0	0	4	1	3	31/08/2016 10:51:13
66	06/10/2016 14:52:51	14	18	0	1	2	3	2300	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	20	1	2	20	1	2	3	4	5	20	10	11	12	13	14	15	16	17	18	19	1	2	3	1	8	9	20	0	1	1	1	1	1	1	1	0	0	0	0	9	2	2	11/11/2016 06:36:07
67	21/10/2016 15:44:39	14	18	0	1	2	3	1808	1	1	0	1	0	0	0	1	0	 	1	2	88	 	2	10	0	0	1	1	3	4	7	8	3	5	3	2	4	2	1	10	11	12	13	14	15	16	17	18	19	7	8	1	1	6	7	1	1	0	1	0	0	0	0	0	0	0	0	0	6	2	6	22/10/2016 19:41:38
68	23/09/2016 14:13:44	14	18	0	4	1	3	2400	1	0	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	5	3	4	3	6	5	2	3	6	3	4	9	10	11	12	13	14	15	16	17	18	5	4	1	0	8	7	3	0	1	0	1	0	0	1	0	0	0	0	0	8	2	2	25/09/2016 12:26:51
69	29/09/2016 14:34:21	14	18	0	1	2	4	1610	1	0	1	1	0	0	0	3	0	 	1	19	88	 	19	8	8	0	1	1	9	6	9	1	7	5	2	3	1	2	8	10	11	12	13	14	15	16	17	18	18	3	1	4	0	5	7	3	0	1	0	1	0	1	1	0	0	0	0	0	7	2	2	05/10/2016 17:42:07
70	05/11/2016 14:42:16	14	18	0	1	2	3	2410	1	0	1	1	0	1	0	3	3	3	0	 	 	 	 	 	 	 	1	9	3	2	1	8	3	5	7	8	1	3	9	10	11	12	13	14	15	16	17	18	19	2	5	7	1	4	6	7	0	0	0	1	1	1	1	0	0	0	0	0	6	1	3	06/11/2016 16:03:24
71	03/09/2016 08:40:49	14	16	0	1	2	6	2500	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	10	1	3	4	1	2	6	1	3	10	1	3	5	11	8	14	9	13	4	10	1	5	7	0	1	12	10	0	1	0	1	0	0	1	0	0	0	0	0	1	1	5	11/09/2016 10:28:41
72	07/08/2016 08:17:15	14	16	0	1	2	4	1976	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	5	3	1	6	4	1	4	7	1	5	3	9	11	12	13	14	10	15	16	8	5	1	4	6	0	7	1	8	1	1	0	1	0	0	0	0	0	0	0	0	8	1	3	08/08/2016 18:28:32
73	14/08/2016 09:47:13	14	16	0	1	2	3	1450	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	4	5	1	6	7	1	5	2	1	2	4	10	11	12	2	8	9	13	3	4	5	1	5	7	1	1	7	5	0	0	0	1	0	0	0	0	0	0	0	0	7	1	5	24/08/2016 13:51:45
74	16/09/2016 17:16:04	14	16	0	1	5	2	5600	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	11	5	1	4	5	1	2	5	6	7	8	1	6	7	9	10	12	13	14	15	3	1	4	2	0	1	3	12	1	1	0	1	1	1	0	0	0	0	0	0	1	1	1	17/09/2016 20:53:13
75	14/09/2016 12:05:10	14	16	0	1	2	3	1200	0	0	1	0	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	3	4	1	7	4	1	4	7	1	9	10	1	4	8	5	15	16	17	14	11	12	1	2	7	0	1	13	4	0	1	0	0	1	0	0	0	0	0	0	0	1	1	5	16/09/2016 11:00:20
76	13/12/2016 16:40:31	14	19	1	1	2	4	810	0	1	0	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	2	2	6	1	2	7	5	2	3	2	8	1	9	10	11	12	13	14	15	16	17	18	1	6	7	1	1	4	6	0	1	0	0	0	0	0	0	0	0	0	0	4	2	2	14/12/2016 17:49:03
77	21/11/2016 16:05:07	14	19	0	1	2	4	2570	0	1	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	3	2	3	19	1	2	5	19	3	4	9	10	11	12	13	14	15	16	17	20	8	1	4	0	6	5	1	1	1	0	1	0	0	0	0	0	0	0	0	6	2	2	15/01/2017 13:30:55
78	11/12/2016 15:20:16	14	19	0	1	2	3	2531	0	0	1	1	0	1	0	3	0	 	0	 	 	 	 	 	 	 	1	1	2	5	2	4	6	2	8	16	1	5	2	9	10	11	12	13	14	15	17	8	1	1	8	16	0	6	7	18	0	0	0	1	1	1	1	0	0	0	0	0	18	1	3	12/12/2016 19:54:12
79	20/11/2016 14:12:09	14	19	0	1	2	3	1278	1	1	1	1	0	0	0	3	0	 	0	 	 	 	 	 	 	 	1	5	6	1	1	5	6	4	5	1	3	19	1	8	9	10	11	12	13	14	15	17	18	4	5	6	0	7	1	19	1	1	0	1	0	0	0	0	0	0	0	0	7	2	2	07/02/2017 14:20:34
