PLACEID	EDINIDR5	EDFACAVL	EDFACTIM	EDFACTRN
33	7	88	 	 
34	1	0	30	5
34	2	0	30	5
34	3	1	 	 
34	4	0	10	5
34	5	0	30	5
34	6	0	30	5
34	7	88	 	 
35	1	0	30	5
35	2	0	30	5
35	3	0	30	5
35	4	0	30	5
35	5	0	180	8
35	6	0	30	5
35	7	88	 	 
36	1	0	40	8
36	2	0	40	8
36	3	0	35	8
36	4	0	40	8
36	5	0	95	8
36	6	0	40	8
36	7	88	 	 
37	1	0	45	8
37	2	0	45	8
37	3	0	20	8
37	4	0	20	8
37	5	0	150	8
37	6	0	45	8
37	7	88	 	 
38	1	0	60	8
38	2	0	60	8
38	3	0	30	5
38	4	0	30	5
38	5	0	120	8
38	6	0	30	5
38	7	88	 	 
40	1	0	30	5
40	2	0	60	8
40	3	0	30	5
40	4	0	30	5
40	5	0	60	8
40	6	0	30	5
40	7	3	 	 
41	1	0	90	8
41	2	0	60	8
41	3	0	30	5
41	4	0	30	5
41	5	0	90	8
41	6	0	30	5
41	7	88	 	 
42	1	0	60	8
42	2	0	60	8
42	3	0	45	5
42	4	0	45	5
42	5	0	120	8
42	6	0	30	5
42	7	88	 	 
43	1	0	60	8
43	2	0	90	8
43	3	0	30	5
43	4	0	60	8
43	5	0	180	8
43	6	0	60	8
43	7	88	 	 
44	1	0	30	8
44	2	0	30	8
44	3	0	30	5
44	4	0	30	8
44	5	0	180	8
44	6	0	30	8
44	7	88	 	 
45	1	0	90	8
45	2	0	150	8
45	3	0	30	5
45	4	0	30	5
45	5	0	120	8
45	6	0	90	8
45	7	88	 	 
46	1	0	30	8
46	2	3	 	 
46	3	0	30	5
46	4	0	30	8
46	5	0	240	8
46	6	0	30	8
46	7	88	 	 
47	1	0	25	8
47	2	0	25	8
47	3	1	 	 
47	4	1	 	 
47	5	0	25	8
47	6	1	 	 
47	7	77	 	 
48	1	0	25	8
48	2	0	25	8
48	3	0	25	8
48	4	0	20	8
48	5	0	25	8
48	6	0	20	8
48	7	3	 	 
49	1	0	25	8
49	2	0	25	8
49	3	1	 	 
49	4	1	 	 
49	5	0	30	8
49	6	0	20	8
49	7	3	 	 
50	1	3	 	 
50	2	3	 	 
50	3	3	 	 
50	4	3	 	 
50	5	3	 	 
50	6	3	 	 
50	7	3	 	 
51	1	3	 	 
51	2	3	 	 
51	3	3	 	 
51	4	3	 	 
51	5	3	 	 
51	6	3	 	 
51	7	3	 	 
52	1	0	60	8
52	2	3	 	 
52	3	0	55	8
52	4	0	55	8
52	5	3	 	 
52	6	3	 	 
52	7	3	 	 
53	1	3	 	 
53	2	3	 	 
53	3	3	 	 
53	4	3	 	 
53	5	3	 	 
53	6	3	 	 
53	7	3	 	 
54	1	3	 	 
54	2	3	 	 
54	3	3	 	 
54	4	3	 	 
54	5	3	 	 
54	6	3	 	 
54	7	3	 	 
55	1	3	 	 
55	2	3	 	 
55	3	3	 	 
55	4	3	 	 
55	5	3	 	 
55	6	3	 	 
55	7	3	 	 
56	1	3	 	 
56	2	3	 	 
56	3	1	 	 
56	4	1	 	 
56	5	3	 	 
56	6	3	 	 
56	7	88	 	 
57	1	3	 	 
57	2	3	 	 
57	3	1	 	 
57	4	1	 	 
57	5	3	 	 
57	6	3	 	 
57	7	88	 	 
58	1	3	 	 
58	2	3	 	 
58	3	0	40	5
58	4	3	 	 
58	5	3	 	 
58	6	3	 	 
58	7	3	 	 
61	1	0	60	8
61	2	0	60	8
61	3	0	40	8
61	4	0	60	8
61	5	0	120	8
61	6	0	120	8
61	7	3	 	 
62	1	0	60	8
62	2	0	60	8
62	3	0	20	5
62	4	0	15	5
62	5	0	70	8
62	6	0	60	8
62	7	3	 	 
63	1	0	60	8
63	2	0	60	8
63	3	0	15	5
63	4	0	15	5
63	5	0	70	8
63	6	0	60	8
63	7	3	 	 
64	1	0	60	8
64	2	0	60	8
64	3	0	30	8
64	4	0	60	8
64	5	0	60	8
64	6	0	60	8
64	7	88	 	 
65	1	0	45	8
65	2	0	45	8
65	3	0	30	8
65	4	0	45	8
65	5	0	50	8
65	6	0	45	8
65	7	3	 	 
66	1	0	120	8
66	2	0	80	8
66	3	0	30	5
66	4	0	30	5
66	5	0	100	8
66	6	0	120	8
66	7	88	 	 
67	1	0	60	8
67	2	0	60	8
67	3	0	30	5
67	4	0	30	5
67	5	0	60	8
67	6	0	60	8
67	7	3	 	 
68	1	0	30	8
68	2	1	 	 
68	3	0	15	5
68	4	0	15	5
68	5	0	25	8
68	6	1	 	 
68	7	3	 	 
69	1	0	80	8
69	2	0	30	8
69	3	0	20	5
69	4	0	20	5
69	5	0	80	8
69	6	0	80	8
69	7	3	 	 
70	1	0	90	8
70	2	0	90	8
70	3	0	40	8
70	4	0	40	8
70	5	0	90	8
70	6	0	90	8
70	7	3	 	 
71	1	0	10	8
71	2	0	40	8
71	3	0	10	8
71	4	0	40	8
71	5	0	150	8
71	6	3	 	 
71	7	88	 	 
72	1	0	90	8
72	2	0	120	8
72	3	0	80	8
72	4	0	120	8
72	5	0	300	8
72	6	77	 	 
72	7	88	 	 
73	1	0	90	8
73	2	0	120	8
73	3	0	80	8
73	4	0	120	8
73	5	0	240	8
73	6	3	 	 
73	7	88	 	 
74	1	1	 	 
74	2	0	180	8
74	3	1	 	 
74	4	0	40	8
74	5	0	180	8
74	6	3	 	 
74	7	88	 	 
75	1	0	60	8
75	2	0	120	8
75	3	0	60	8
75	4	0	120	8
75	5	0	300	8
75	6	88	 	 
75	7	88	 	 
76	1	0	60	8
76	2	0	60	8
76	3	0	60	8
76	4	0	60	8
76	5	0	180	8
76	6	3	 	 
76	7	3	 	 
77	1	0	180	8
77	2	0	60	8
77	3	0	60	8
77	4	0	60	8
77	5	0	180	8
77	6	0	60	8
77	7	3	 	 
78	1	0	35	8
78	2	0	35	8
78	3	0	25	8
78	4	0	35	8
78	5	0	180	8
78	6	0	35	8
78	7	88	 	 
79	1	0	180	8
79	2	0	60	8
79	3	0	60	8
79	4	0	60	8
79	5	0	180	8
79	6	0	60	8
79	7	3	 	 
80	1	0	45	7
80	2	0	45	8
80	3	0	20	8
80	4	0	45	8
80	5	0	175	8
80	6	0	45	8
80	7	3	 	 
81	1	0	15	8
81	2	0	30	8
81	3	0	15	8
81	4	0	15	8
81	5	0	220	8
81	6	88	 	 
81	7	88	 	 
82	1	0	10	8
82	2	0	30	8
82	3	0	10	8
82	4	0	10	8
82	5	0	120	8
82	6	3	 	 
82	7	88	 	 
83	1	0	10	8
83	2	0	10	8
83	3	0	10	8
83	4	0	10	8
83	5	0	150	8
83	6	88	 	 
83	7	88	 	 
84	1	0	15	8
84	2	0	45	8
84	3	0	15	8
84	4	0	15	8
84	5	0	195	8
84	6	88	 	 
84	7	88	 	 
85	1	0	10	8
85	2	0	30	8
85	3	0	10	8
85	4	0	10	8
85	5	0	190	8
85	6	88	 	 
85	7	88	 	 
86	1	1	 	 
86	2	1	 	 
86	3	1	 	 
86	4	1	 	 
86	5	1	 	 
86	6	1	 	 
86	7	88	 	 
87	1	1	 	 
87	2	1	 	 
87	3	1	 	 
87	4	1	 	 
87	5	1	 	 
87	6	1	 	 
87	7	88	 	 
88	1	1	 	 
88	2	1	 	 
88	3	1	 	 
88	4	1	 	 
88	5	1	 	 
88	6	1	 	 
88	7	88	 	 
89	1	0	35	5
89	2	0	30	5
89	3	0	20	8
89	4	0	30	5
89	5	0	50	8
89	6	0	50	8
89	7	88	 	 
90	1	0	30	13
90	2	0	25	13
90	3	0	30	13
90	4	0	35	13
90	5	0	80	13
90	6	0	80	13
90	7	1	 	 
91	1	1	 	 
91	2	1	 	 
91	3	1	 	 
91	4	1	 	 
91	5	77	 	 
91	6	1	 	 
91	7	88	 	 
92	1	0	20	8
92	2	0	20	8
92	3	0	10	8
92	4	0	15	8
92	5	3	 	 
92	6	3	 	 
92	7	3	 	 
93	1	3	 	 
93	2	3	 	 
93	3	0	30	8
93	4	0	30	8
93	5	3	 	 
93	6	0	30	8
93	7	88	 	 
94	1	0	20	5
94	2	0	30	5
94	3	0	10	1
94	4	0	20	5
94	5	3	 	 
94	6	0	20	5
94	7	88	 	 
96	1	1	 	 
96	2	0	30	8
96	3	1	 	 
96	4	1	 	 
96	5	0	180	8
96	6	88	 	 
96	7	88	 	 
97	1	0	60	8
97	2	1	 	 
97	3	0	20	5
97	4	0	30	8
97	5	3	 	 
97	6	3	 	 
97	7	3	 	 
98	1	0	90	8
98	2	0	90	8
98	3	0	30	8
98	4	0	30	8
98	5	0	90	8
98	6	0	90	8
98	7	3	 	 
99	1	3	 	 
99	2	3	 	 
99	3	3	 	 
99	4	3	 	 
99	5	3	 	 
99	6	3	 	 
99	7	88	 	 
101	1	0	20	5
101	2	0	30	5
101	3	1	 	 
101	4	1	 	 
101	5	0	45	5
101	6	3	 	 
101	7	3	 	 
102	1	88	 	 
102	2	88	 	 
102	3	1	 	 
102	4	1	 	 
102	5	1	 	 
102	6	0	-77	88
102	7	0	-77	88
