PLACEID	HLTHIDR5	CURHFAC	TRNHFAC
25	8	1	 
25	9	0	5
25	10	1	 
25	11	1	 
26	1	0	5
26	2	0	5
26	3	0	5
26	4	1	 
26	5	1	 
26	6	0	5
26	7	1	 
26	8	0	5
26	9	0	5
26	10	88	 
26	11	0	5
27	1	3	 
27	2	3	 
27	3	0	5
27	4	0	5
27	5	3	 
27	6	3	 
27	7	0	5
27	8	0	5
27	9	3	 
27	10	88	 
27	11	3	 
28	1	3	 
28	2	0	5
28	3	1	 
28	4	0	5
28	5	0	5
28	6	0	5
28	7	0	5
28	8	1	 
28	9	0	5
28	10	88	 
28	11	0	5
29	1	3	 
29	2	0	5
29	3	0	5
29	4	0	5
29	5	1	 
29	6	0	5
29	7	0	5
29	8	0	5
29	9	0	5
29	10	88	 
29	11	0	5
30	1	3	 
30	2	0	5
30	3	0	5
30	4	1	 
30	5	1	 
30	6	0	5
30	7	0	5
30	8	0	5
30	9	0	5
30	10	88	 
30	11	0	5
31	1	3	 
31	2	0	5
31	3	0	5
31	4	0	5
31	5	0	5
31	6	0	5
31	7	0	5
31	8	0	5
31	9	0	5
31	10	88	 
31	11	0	5
32	1	3	 
32	2	0	8
32	3	0	8
32	4	0	5
32	5	0	8
32	6	3	 
32	7	0	5
32	8	0	5
32	9	0	5
32	10	0	5
32	11	0	8
33	1	0	5
33	2	1	 
33	3	1	 
33	4	1	 
33	5	1	 
33	6	1	 
33	7	1	 
33	8	0	5
33	9	1	 
33	10	88	 
33	11	1	 
34	1	1	 
34	2	1	 
34	3	3	 
34	4	1	 
34	5	3	 
34	6	1	 
34	7	1	 
34	8	1	 
34	9	1	 
34	10	88	 
34	11	1	 
35	1	0	5
35	2	0	5
35	3	0	5
35	4	0	5
35	5	1	 
35	6	0	5
35	7	0	5
35	8	0	5
35	9	0	5
35	10	88	 
35	11	0	5
36	1	0	5
36	2	0	5
36	3	0	5
36	4	0	5
36	5	1	 
36	6	0	5
36	7	0	5
36	8	0	5
36	9	0	5
36	10	88	 
36	11	0	5
37	1	0	5
37	2	0	5
37	3	1	 
37	4	0	5
37	5	0	5
37	6	0	5
37	7	0	5
37	8	0	5
37	9	1	 
37	10	88	 
37	11	0	5
38	1	0	5
38	2	0	5
38	3	0	5
38	4	1	 
38	5	1	 
38	6	0	5
38	7	0	5
38	8	0	5
38	9	0	5
38	10	0	88
38	11	0	5
40	1	0	5
40	2	0	5
40	3	0	5
40	4	0	5
40	5	1	 
40	6	0	5
40	7	1	 
40	8	0	5
40	9	0	5
40	10	88	 
40	11	0	5
41	1	0	8
41	2	0	8
41	3	1	 
41	4	1	 
41	5	1	 
41	6	1	 
41	7	1	 
41	8	0	8
41	9	0	8
41	10	88	 
41	11	0	8
42	1	0	5
42	2	0	5
42	3	0	5
42	4	1	 
42	5	1	 
42	6	1	 
42	7	1	 
42	8	0	5
42	9	0	5
42	10	88	 
42	11	0	5
43	1	0	8
43	2	0	8
43	3	0	5
43	4	1	 
43	5	1	 
43	6	1	 
43	7	1	 
43	8	0	8
43	9	0	8
43	10	88	 
43	11	0	8
44	1	0	8
44	2	0	8
44	3	0	5
44	4	1	 
44	5	1	 
44	6	1	 
44	7	1	 
44	8	0	5
44	9	0	8
44	10	88	 
44	11	0	8
45	1	0	8
45	2	0	5
45	3	0	5
45	4	1	 
45	5	1	 
45	6	0	5
45	7	0	5
45	8	0	5
45	9	0	8
45	10	88	 
45	11	0	8
46	1	0	8
46	2	0	8
46	3	0	5
46	4	0	5
46	5	1	 
46	6	0	5
46	7	0	5
46	8	0	5
46	9	0	8
46	10	88	 
46	11	0	8
47	1	1	 
47	2	1	 
47	3	1	 
47	4	1	 
47	5	1	 
47	6	1	 
47	7	1	 
47	8	1	 
47	9	1	 
47	10	3	 
47	11	1	 
48	1	0	1
48	2	1	 
48	3	0	1
48	4	1	 
48	5	1	 
48	6	3	 
48	7	1	 
48	8	1	 
48	9	3	 
48	10	3	 
48	11	1	 
49	1	0	8
49	2	1	 
49	3	1	 
49	4	1	 
49	5	1	 
49	6	3	 
49	7	1	 
49	8	1	 
49	9	3	 
49	10	3	 
49	11	1	 
50	1	3	 
50	2	3	 
50	3	3	 
50	4	3	 
50	5	1	 
50	6	3	 
50	7	3	 
50	8	3	 
50	9	3	 
50	10	3	 
50	11	3	 
51	1	0	8
51	2	1	 
51	3	1	 
51	4	3	 
51	5	3	 
51	6	3	 
51	7	3	 
51	8	1	 
51	9	3	 
51	10	3	 
51	11	3	 
52	1	3	 
52	2	3	 
52	3	3	 
52	4	3	 
52	5	1	 
52	6	1	 
52	7	1	 
52	8	3	 
52	9	3	 
52	10	3	 
52	11	3	 
53	1	3	 
53	2	3	 
53	3	3	 
53	4	3	 
53	5	1	 
53	6	3	 
53	7	3	 
53	8	3	 
53	9	3	 
53	10	3	 
53	11	3	 
54	1	0	5
54	2	0	5
54	3	0	5
54	4	0	5
54	5	0	5
54	6	0	5
54	7	0	5
54	8	0	5
54	9	0	5
54	10	3	 
54	11	3	 
55	1	3	 
55	2	3	 
55	3	3	 
55	4	3	 
55	5	3	 
55	6	3	 
55	7	3	 
55	8	3	 
55	9	3	 
55	10	3	 
55	11	3	 
56	1	3	 
56	2	1	 
56	3	0	5
56	4	3	 
56	5	3	 
56	6	3	 
56	7	0	5
56	8	3	 
56	9	3	 
56	10	3	 
56	11	3	 
57	1	3	 
57	2	1	 
57	3	0	5
57	4	3	 
57	5	3	 
57	6	3	 
57	7	0	5
57	8	3	 
57	9	3	 
57	10	3	 
57	11	3	 
58	1	1	 
58	2	1	 
58	3	3	 
58	4	3	 
58	5	3	 
58	6	3	 
58	7	1	 
58	8	3	 
58	9	3	 
58	10	3	 
58	11	3	 
61	1	0	8
61	2	0	8
61	3	0	8
61	4	0	1
61	5	0	1
61	6	0	8
61	7	0	5
61	8	0	8
61	9	0	8
61	10	3	 
61	11	0	8
62	1	0	8
62	2	0	8
62	3	0	5
62	4	0	5
62	5	0	5
62	6	0	5
62	7	0	5
62	8	0	5
62	9	0	8
62	10	3	 
62	11	0	8
63	1	0	8
63	2	0	8
63	3	0	5
63	4	1	 
63	5	1	 
63	6	0	5
63	7	0	5
63	8	0	5
63	9	3	 
63	10	3	 
63	11	0	8
64	1	0	8
64	2	0	8
64	3	0	8
64	4	1	 
64	5	1	 
64	6	0	8
64	7	1	 
64	8	0	8
64	9	0	8
64	10	3	 
64	11	0	8
65	1	0	8
65	2	0	8
65	3	0	5
65	4	1	 
65	5	0	1
65	6	0	8
65	7	0	1
65	8	0	5
65	9	0	8
65	10	3	 
65	11	0	8
66	1	0	8
66	2	0	5
66	3	0	5
66	4	1	 
66	5	1	 
66	6	0	5
66	7	0	5
66	8	0	5
66	9	0	5
66	10	88	 
66	11	0	8
67	1	0	8
67	2	0	5
67	3	0	5
67	4	0	1
67	5	0	1
67	6	0	5
67	7	0	5
67	8	0	5
67	9	0	5
67	10	3	 
67	11	0	8
68	1	0	8
68	2	0	5
68	3	0	5
68	4	0	5
68	5	0	5
68	6	0	5
68	7	0	5
68	8	0	5
68	9	0	8
68	10	3	 
68	11	0	8
69	1	0	8
69	2	0	5
69	3	0	5
69	4	1	 
69	5	0	5
69	6	0	5
69	7	0	5
69	8	0	5
69	9	0	8
69	10	88	 
69	11	0	5
70	1	0	8
70	2	0	8
70	3	0	1
70	4	0	1
70	5	1	 
70	6	0	5
70	7	0	8
70	8	0	8
70	9	0	8
70	10	3	 
70	11	0	8
71	1	0	8
71	2	0	8
71	3	0	8
71	4	0	8
71	5	0	8
71	6	0	8
71	7	0	8
71	8	0	8
71	9	0	8
71	10	88	 
71	11	0	8
72	1	0	8
72	2	0	8
72	3	0	8
72	4	1	 
72	5	1	 
72	6	0	8
72	7	0	8
72	8	0	8
72	9	0	8
72	10	88	 
72	11	0	8
73	1	0	8
73	2	0	8
73	3	0	8
73	4	0	8
73	5	0	8
73	6	0	8
73	7	0	8
73	8	0	8
73	9	0	8
73	10	88	 
73	11	0	8
74	1	1	 
74	2	0	8
74	3	0	8
74	4	1	 
74	5	0	8
74	6	0	8
74	7	1	 
74	8	0	8
74	9	0	8
74	10	88	 
74	11	0	8
75	1	0	8
75	2	0	8
75	3	1	 
75	4	1	 
75	5	1	 
75	6	0	8
75	7	0	8
75	8	0	8
75	9	0	8
75	10	88	 
75	11	0	8
76	1	0	8
76	2	0	8
76	3	0	5
76	4	0	5
76	5	0	5
76	6	0	8
76	7	0	8
76	8	0	8
76	9	0	8
76	10	88	 
76	11	0	8
77	1	0	8
77	2	0	8
77	3	0	8
77	4	1	 
77	5	1	 
77	6	0	8
77	7	1	 
77	8	0	8
77	9	0	8
77	10	88	 
77	11	0	8
78	1	0	8
78	2	0	8
78	3	0	8
78	4	1	 
78	5	1	 
78	6	0	8
78	7	1	 
78	8	0	8
78	9	0	8
78	10	3	 
78	11	0	8
79	1	0	8
79	2	0	8
79	3	0	8
79	4	0	1
79	5	0	1
79	6	0	5
79	7	0	5
79	8	0	8
79	9	0	8
79	10	3	 
79	11	0	8
80	1	0	8
80	2	0	8
80	3	0	8
80	4	0	5
80	5	0	5
80	6	0	8
80	7	0	8
80	8	0	8
80	9	0	8
80	10	3	 
80	11	0	8
81	1	0	8
81	2	0	8
81	3	0	8
81	4	1	 
81	5	0	8
81	6	0	8
81	7	0	8
81	8	0	8
81	9	0	8
81	10	88	 
81	11	0	8
82	1	0	8
82	2	0	8
82	3	0	8
82	4	1	 
82	5	0	8
82	6	0	8
82	7	0	8
82	8	0	8
82	9	0	8
82	10	88	 
82	11	0	8
83	1	0	8
83	2	0	8
83	3	0	8
83	4	1	 
83	5	0	8
83	6	0	8
83	7	0	8
83	8	0	8
83	9	0	8
83	10	88	 
83	11	0	8
84	1	0	8
84	2	0	8
84	3	0	8
84	4	1	 
84	5	0	8
84	6	0	8
84	7	0	8
84	8	0	8
84	9	0	8
84	10	88	 
84	11	0	8
85	1	0	8
85	2	0	8
85	3	0	8
85	4	1	 
85	5	0	8
85	6	0	8
85	7	0	8
85	8	0	8
85	9	0	8
85	10	88	 
85	11	0	8
86	1	1	 
86	2	1	 
86	3	1	 
86	4	1	 
86	5	1	 
86	6	1	 
86	7	1	 
86	8	1	 
86	9	1	 
86	10	88	 
86	11	1	 
87	1	1	 
87	2	1	 
87	3	1	 
87	4	1	 
87	5	1	 
87	6	1	 
87	7	1	 
87	8	1	 
87	9	1	 
87	10	88	 
87	11	1	 
88	1	1	 
88	2	1	 
88	3	1	 
88	4	1	 
88	5	1	 
88	6	1	 
88	7	1	 
88	8	1	 
88	9	1	 
88	10	88	 
88	11	1	 
89	1	0	5
89	2	1	 
89	3	0	5
89	4	1	 
89	5	0	5
89	6	1	 
89	7	1	 
89	8	0	5
89	9	0	5
89	10	88	 
89	11	0	5
90	1	1	 
90	2	1	 
90	3	1	 
90	4	1	 
90	5	1	 
90	6	1	 
90	7	1	 
90	8	1	 
90	9	1	 
90	10	88	 
90	11	1	 
91	1	1	 
91	2	1	 
91	3	1	 
91	4	1	 
91	5	1	 
91	6	1	 
91	7	1	 
91	8	1	 
91	9	1	 
91	10	88	 
91	11	1	 
92	1	0	5
92	2	0	8
92	3	0	5
92	4	0	5
92	5	1	 
92	6	0	5
92	7	0	5
92	8	0	5
92	9	3	 
92	10	3	 
92	11	0	8
93	1	3	 
93	2	0	8
93	3	0	5
93	4	0	5
93	5	1	 
93	6	0	8
93	7	0	5
93	8	0	5
93	9	0	8
93	10	88	 
93	11	0	8
94	1	0	5
94	2	1	 
94	3	1	 
94	4	1	 
94	5	1	 
94	6	1	 
94	7	1	 
94	8	0	5
94	9	0	5
94	10	88	 
94	11	0	5
96	1	1	 
96	2	1	 
96	3	1	 
96	4	1	 
96	5	1	 
96	6	1	 
96	7	1	 
96	8	0	8
96	9	0	8
96	10	88	 
96	11	0	8
97	1	0	8
97	2	0	8
97	3	0	5
97	4	0	8
97	5	1	 
97	6	0	8
97	7	0	5
97	8	0	5
97	9	3	 
97	10	3	 
97	11	0	8
98	1	0	8
98	2	0	5
98	3	0	5
98	4	1	 
98	5	1	 
98	6	0	5
98	7	1	 
98	8	0	8
98	9	0	8
98	10	3	 
98	11	0	8
99	1	3	 
99	2	3	 
99	3	3	 
99	4	3	 
99	5	3	 
99	6	3	 
99	7	3	 
99	8	3	 
99	9	3	 
99	10	88	 
99	11	3	 
101	1	0	5
101	2	1	 
101	3	1	 
101	4	1	 
101	5	1	 
101	6	1	 
101	7	1	 
101	8	1	 
101	9	1	 
101	10	88	 
101	11	1	 
102	1	1	 
102	2	1	 
102	3	0	1
102	4	1	 
102	5	0	1
102	6	1	 
102	7	1	 
102	8	1	 
102	9	1	 
102	10	0	88
102	11	1	 
