PLACEID	RSID	AGERES	SEXRES	CASTE	CAPAC	LIVRES
10	11	60	1	4	8	40
10	12	35	1	3	8	15
11	1	45	2	2	1	25
11	2	48	2	4	4	20
11	3	65	2	2	1	40
11	4	48	1	4	8	25
11	5	46	1	4	8	20
11	6	46	1	3	8	20
11	7	45	1	3	8	23
11	8	30	1	4	8	30
11	9	40	1	4	8	15
11	10	50	1	3	8	35
11	11	60	1	4	8	40
11	12	35	1	3	8	15
11	13	70	1	2	7	70
11	14	35	2	2	3	15
11	15	43	2	2	3	20
12	1	30	2	3	1	10
12	2	63	1	3	5	63
12	3	60	1	3	7	60
12	4	55	2	1	1	40
12	5	52	1	3	8	52
12	6	50	2	4	8	30
12	7	40	2	3	3	22
12	8	60	1	3	1	60
12	9	42	1	2	4	4
12	10	45	1	3	8	45
12	11	42	1	4	8	15
12	12	40	1	4	8	40
12	13	38	1	3	8	10
12	14	36	1	3	8	12
12	15	42	1	4	8	42
12	16	48	1	4	8	48
12	17	30	1	3	8	30
12	18	32	1	3	8	32
12	19	51	1	3	8	51
12	20	42	1	4	8	42
12	21	33	1	3	8	33
12	22	45	1	4	8	45
12	23	53	1	4	8	53
12	24	44	1	4	8	15
12	25	48	1	3	8	10
12	26	32	1	3	8	32
12	27	48	1	4	8	48
12	28	55	1	88	8	15
12	29	34	2	3	8	10
12	30	50	1	4	8	50
12	31	60	2	3	8	20
12	32	43	2	3	8	18
12	33	50	1	4	8	15
13	1	68	2	3	1	50
13	2	50	1	4	7	40
13	3	38	2	3	3	5
13	4	48	1	3	7	48
13	5	49	2	3	8	15
13	6	35	2	3	3	16
13	7	30	2	3	4	3
13	8	36	1	3	4	4
13	9	34	2	3	6	12
13	10	45	1	4	8	45
13	11	42	1	4	8	15
13	12	40	1	4	8	40
13	13	38	1	3	8	10
13	14	36	1	3	8	12
13	15	42	1	4	8	42
13	16	48	1	4	8	48
13	17	30	1	3	8	30
13	18	32	1	3	8	32
13	19	51	1	3	8	51
13	20	42	1	4	8	42
13	21	33	1	3	8	33
13	22	45	1	4	8	45
13	23	53	1	4	8	53
13	24	44	1	4	8	44
13	25	48	1	3	8	48
13	26	32	1	3	8	32
13	27	48	1	4	8	48
13	28	55	1	4	8	15
13	29	34	2	3	8	10
13	30	50	1	4	8	50
13	31	60	2	3	8	20
13	32	43	2	3	8	18
13	33	50	1	4	8	15
14	1	44	2	3	1	44
14	2	45	1	3	1	45
14	3	47	1	3	1	47
14	4	29	1	1	8	29
14	5	30	2	4	3	30
14	6	25	2	3	6	25
14	7	30	2	3	3	30
14	8	43	1	4	7	43
14	9	37	2	3	6	37
14	10	35	2	3	3	35
14	11	42	1	4	8	42
14	12	40	1	4	8	40
14	13	38	1	3	8	38
14	14	36	1	3	8	36
14	15	42	1	3	8	42
14	16	48	1	4	8	48
14	17	30	1	3	8	30
14	18	32	1	3	8	32
14	19	51	1	3	8	51
14	20	42	1	3	8	42
14	21	33	1	3	8	33
14	22	45	1	4	8	45
14	23	53	1	4	8	53
14	24	44	1	4	8	15
14	25	48	1	3	8	10
14	26	32	1	3	8	32
14	27	48	1	4	8	48
14	28	55	1	4	8	15
14	29	34	2	3	8	10
14	30	50	1	4	8	50
14	31	60	2	3	8	20
14	32	43	2	3	8	18
14	33	50	1	4	8	15
15	1	53	2	2	1	53
15	2	35	2	3	1	13
15	3	50	1	3	9	2
15	4	35	2	1	3	4
15	5	38	2	3	4	38
15	6	42	2	1	3	18
15	7	45	1	3	1	45
15	8	32	2	1	6	12
15	9	34	1	1	4	5
15	10	53	2	3	4	5
15	11	44	2	3	4	26
15	12	60	1	4	8	12
15	13	52	1	3	8	52
15	14	35	1	3	8	5
15	15	55	1	4	8	18
15	16	40	1	4	8	40
15	17	42	1	4	8	42
15	18	47	1	3	8	47
15	19	41	1	3	8	16
15	20	53	1	3	8	53
15	21	30	1	4	8	20
15	22	35	1	3	8	12
15	23	60	1	4	8	60
15	24	46	1	4	8	46
15	25	42	1	4	8	12
15	26	36	1	3	8	36
15	27	31	1	3	8	11
15	28	46	1	4	8	46
15	29	51	1	4	8	51
15	30	43	2	3	8	43
15	31	60	2	3	8	15
15	32	54	2	3	8	20
15	33	60	1	4	8	15
15	34	46	1	4	8	12
15	35	51	1	4	8	51
16	1	65	2	3	1	49
16	2	42	1	3	7	42
16	3	60	2	3	1	60
16	4	37	2	3	8	37
16	5	35	2	1	3	20
16	6	30	2	3	6	10
16	7	40	2	4	8	40
16	8	52	1	3	8	52
16	9	35	1	3	8	5
16	10	55	1	4	8	18
16	11	40	1	4	8	40
16	12	42	1	4	8	42
16	13	47	1	3	8	47
16	14	41	1	3	8	16
16	15	53	1	3	8	53
16	16	30	1	4	8	20
16	17	35	1	3	8	12
16	18	60	1	4	8	60
16	19	46	1	4	8	46
16	20	42	1	4	8	12
16	21	36	1	3	8	36
16	22	31	1	3	8	11
16	23	46	1	4	8	46
16	24	51	1	4	8	51
16	25	43	2	3	8	43
16	26	60	2	3	8	15
16	27	54	2	3	8	20
16	28	60	1	4	8	15
16	29	46	1	4	8	12
16	30	51	1	4	8	51
17	1	38	1	1	1	38
17	2	39	1	1	2	39
17	3	38	1	4	9	5
17	4	45	2	3	4	12
17	5	33	2	1	3	3
17	6	31	1	3	5	31
17	7	30	2	1	3	15
17	8	39	2	3	6	18
17	9	42	1	3	7	42
17	10	45	1	3	8	45
17	11	42	1	4	8	15
17	12	40	1	4	8	40
17	13	38	1	3	8	10
17	14	36	1	3	8	12
17	15	42	1	4	8	42
17	16	48	1	4	8	48
17	17	30	1	3	8	30
17	18	32	1	3	8	32
17	19	51	1	3	8	51
17	20	42	1	4	8	42
17	21	33	1	3	8	33
17	22	45	1	4	8	45
17	23	53	1	4	8	53
17	24	44	1	4	8	15
17	25	48	1	3	8	10
17	26	32	1	3	8	32
17	27	48	1	4	8	48
17	28	55	1	4	8	15
17	29	34	2	3	8	10
17	30	50	1	4	8	50
17	31	60	2	3	8	20
17	32	43	2	3	8	18
17	33	50	1	4	8	15
17	34	46	1	3	8	46
17	35	38	1	3	8	38
18	1	56	2	3	1	30
18	2	55	1	3	1	55
18	3	45	1	4	1	45
18	4	50	2	3	1	30
18	5	55	2	3	1	32
18	6	56	1	3	1	56
18	7	50	2	1	1	28
18	8	38	1	4	4	4
18	9	34	2	3	4	3
18	10	34	2	3	8	20
18	11	30	2	3	8	15
18	12	40	1	3	1	40
18	13	32	2	3	2	16
18	14	41	2	1	1	21
18	15	52	1	77	9	2
18	16	48	1	1	9	2
18	17	70	1	3	7	70
18	18	25	2	3	1	15
18	19	46	2	1	3	3
18	20	45	1	4	8	25
18	21	38	1	3	8	15
18	22	55	1	4	8	12
18	23	54	1	4	8	10
18	24	60	1	4	8	25
18	25	49	1	4	8	17
18	26	45	1	3	8	6
18	27	38	1	4	8	7
18	28	46	1	4	8	8
18	29	62	1	4	8	12
18	30	32	1	4	8	15
18	31	51	1	3	8	35
18	32	30	1	3	8	13
18	33	40	1	3	8	35
18	34	38	1	3	8	17
18	35	46	1	3	8	35
18	36	56	1	3	8	40
18	37	60	2	3	8	30
18	38	43	1	1	8	25
18	39	35	1	1	8	12
19	1	28	1	3	1	32
19	2	38	1	3	1	38
19	3	43	2	3	1	25
19	4	45	2	4	6	20
19	5	32	2	2	6	32
19	6	38	2	4	3	8
19	7	45	2	3	8	40
19	8	33	1	4	9	3
19	9	45	1	3	1	45
19	10	50	1	2	7	50
19	11	38	1	3	7	38
19	12	60	1	3	7	60
19	13	62	1	2	4	62
19	14	45	1	2	7	45
19	15	63	1	2	1	63
19	16	45	1	2	8	45
19	17	38	1	3	8	12
19	18	55	1	4	8	35
19	19	54	1	4	8	54
19	20	60	1	4	8	60
19	21	49	1	4	8	14
19	22	45	1	3	8	9
19	23	48	1	4	8	5
19	24	46	1	4	8	16
19	25	32	1	4	8	32
19	26	51	1	3	8	8
19	27	36	1	3	8	4
19	28	40	1	3	8	15
19	29	38	1	3	8	38
19	30	46	1	3	8	46
19	31	56	1	3	8	13
19	32	60	2	1	8	11
19	33	40	1	1	8	21
19	34	35	1	1	8	35
19	35	62	1	4	8	20
19	36	55	1	4	8	10
20	1	45	1	4	1	45
20	2	37	2	3	1	37
20	3	35	2	1	3	35
20	4	22	2	3	3	22
20	5	25	2	1	6	25
20	6	50	1	4	4	50
20	7	37	2	3	3	37
20	8	42	2	3	3	42
20	9	30	1	3	1	30
20	10	45	1	2	1	45
20	11	50	1	3	8	50
20	12	43	1	3	1	43
20	13	43	1	3	8	43
20	14	48	1	3	4	48
20	15	45	1	4	8	45
20	16	38	1	3	8	38
20	17	55	1	4	8	55
20	18	60	1	4	8	60
20	19	49	1	4	8	49
20	20	45	1	3	8	45
20	21	38	1	4	8	38
20	22	46	1	4	8	46
20	23	32	1	4	8	32
20	24	62	1	4	8	62
20	25	51	1	3	8	51
20	26	36	1	3	8	36
20	27	40	1	3	8	40
20	28	38	1	3	8	38
20	29	46	1	3	8	46
20	30	56	1	3	8	56
20	31	60	2	3	8	60
20	32	40	1	3	8	40
20	33	41	1	3	8	41
21	1	52	1	3	1	52
21	2	46	1	2	1	46
21	3	45	1	3	1	45
21	4	45	2	3	8	25
21	5	43	2	3	6	24
21	6	62	1	3	4	60
21	7	65	1	3	7	65
21	8	68	1	3	7	68
21	9	69	1	3	7	69
21	10	31	2	3	8	4
21	11	32	2	4	3	32
21	12	70	1	3	1	70
21	13	61	1	3	1	61
21	14	56	1	3	4	15
21	15	60	1	3	1	60
21	16	56	1	4	8	45
21	17	60	1	4	8	60
21	18	38	1	3	8	38
21	19	42	1	3	8	42
21	20	50	1	3	8	50
21	21	43	1	3	8	43
21	22	45	1	4	8	45
21	23	55	1	3	8	55
21	24	30	1	3	8	30
21	25	40	1	3	8	40
21	26	46	1	4	8	46
21	27	41	1	4	8	41
21	28	48	1	4	8	18
21	29	40	1	3	8	40
21	30	45	1	3	8	20
21	31	35	1	4	8	35
21	32	46	1	4	8	46
21	33	34	1	4	8	34
21	34	61	1	4	8	61
21	35	48	1	4	8	48
21	36	54	1	4	8	54
21	37	46	1	3	8	46
22	1	33	1	3	1	33
22	2	32	1	3	1	52
22	3	42	1	3	1	42
22	4	28	2	3	8	3
22	5	40	2	3	8	20
22	6	32	2	3	6	15
22	7	45	2	3	7	45
22	8	42	1	3	7	42
22	9	35	2	3	1	35
22	10	36	1	3	4	6
22	11	29	1	3	4	4
22	12	40	2	3	3	20
22	13	56	1	4	8	56
22	14	60	1	4	8	60
22	15	38	1	3	8	38
22	16	42	1	3	8	42
22	17	50	1	3	8	50
22	18	43	1	3	8	43
22	19	45	1	4	8	45
22	20	55	1	3	8	55
22	21	30	1	3	8	30
22	22	40	1	3	8	40
22	23	46	1	4	8	46
22	24	41	1	4	8	41
22	25	48	1	4	8	48
22	26	40	1	3	8	40
22	27	45	1	3	8	45
22	28	35	1	4	8	35
22	29	46	1	4	8	46
22	30	34	1	4	8	34
22	31	61	1	4	8	61
22	32	48	1	4	8	48
22	33	54	1	4	8	54
22	34	46	1	3	8	46
22	35	46	1	3	8	46
22	36	56	1	4	8	56
23	1	48	2	3	1	28
23	2	47	1	3	8	47
23	3	37	2	3	8	20
23	4	48	1	3	2	48
23	5	57	1	3	7	57
23	6	55	1	3	9	2
23	7	38	2	3	6	15
23	8	36	2	3	3	5
23	9	34	2	3	8	34
23	10	35	2	3	3	15
23	11	50	1	3	1	50
23	12	63	1	3	8	63
23	13	56	1	3	4	56
23	14	48	1	3	1	48
23	15	40	1	3	7	40
23	16	27	1	4	4	6
23	17	56	1	4	8	56
23	18	60	1	4	8	60
23	19	38	1	3	8	38
23	20	42	1	3	8	42
23	21	50	1	3	8	50
23	22	43	1	3	8	43
23	23	45	1	4	8	45
23	24	55	1	3	8	55
23	25	30	1	3	8	20
23	26	40	1	3	8	20
23	27	46	1	4	8	46
23	28	41	1	4	8	9
23	29	48	1	4	8	12
23	30	40	1	3	8	19
23	31	45	1	3	8	19
23	32	35	1	4	8	6
23	33	46	1	4	8	46
23	34	34	1	4	8	5
23	35	61	1	4	8	61
23	36	48	1	4	8	18
23	37	54	1	4	8	13
23	38	46	1	3	8	10
23	39	38	1	3	8	8
23	40	36	1	4	8	36
24	1	34	2	4	3	5
24	2	50	2	4	1	18
24	3	45	1	3	4	15
24	4	48	1	3	4	10
24	5	42	2	3	6	12
24	6	45	1	4	2	45
24	7	42	1	4	8	42
24	8	38	1	3	8	12
24	9	39	1	3	8	18
24	10	48	1	4	8	48
24	11	45	1	4	8	30
24	12	60	1	4	8	60
24	13	42	1	4	8	42
24	14	48	1	3	8	48
24	15	61	1	4	8	22
24	16	55	1	4	8	55
24	17	48	1	3	8	18
24	18	46	1	3	8	10
24	19	47	1	3	8	47
24	20	42	1	4	8	42
24	21	60	1	4	8	60
24	22	48	1	4	8	15
24	23	50	1	4	8	50
24	24	45	1	4	8	45
24	25	30	1	3	8	30
24	26	47	1	1	8	18
24	27	52	1	3	8	52
24	28	48	2	3	8	12
24	29	55	1	3	8	55
24	30	42	2	1	8	15
25	1	45	1	3	1	45
25	2	35	2	3	6	10
25	3	40	2	4	3	4
25	4	42	1	3	8	11
25	5	60	1	4	8	15
25	6	40	2	3	6	18
25	7	43	2	3	8	10
25	8	42	1	3	8	23
25	9	38	1	3	8	12
25	10	39	1	3	8	18
25	11	48	1	4	8	48
25	12	45	1	4	8	30
25	13	60	1	4	8	60
25	14	42	1	4	8	42
25	15	48	1	3	8	48
25	16	67	1	4	8	67
25	17	55	1	4	8	55
25	18	48	1	3	8	48
25	19	46	1	3	8	46
25	20	47	1	3	8	47
25	21	42	1	4	8	42
25	22	60	1	4	8	60
25	23	48	1	4	8	48
25	24	50	1	4	8	50
25	25	45	1	4	8	45
25	26	30	1	3	8	30
25	27	47	1	1	8	18
25	28	52	1	3	8	52
25	29	48	2	3	8	12
25	30	55	1	3	8	55
25	31	42	2	1	8	15
26	1	55	1	4	1	55
26	2	55	1	4	2	55
26	3	35	2	4	8	15
26	4	71	1	4	2	71
26	5	30	1	2	4	2
26	6	32	2	3	3	5
26	7	34	1	3	8	34
26	8	37	1	3	8	37
26	9	21	1	3	8	21
26	10	48	1	3	8	48
26	11	40	1	3	8	40
26	12	47	1	4	8	47
26	13	30	1	3	8	30
26	14	47	1	4	8	47
26	15	40	1	3	8	40
26	16	25	1	3	8	25
26	17	30	1	3	8	30
26	18	40	1	3	8	40
26	19	65	2	3	8	50
26	20	56	1	3	8	56
26	21	32	1	4	8	32
26	22	40	1	4	8	40
26	23	50	1	2	8	35
26	24	36	1	4	8	36
26	25	40	1	2	8	40
26	26	35	1	3	8	35
27	1	40	1	2	1	40
27	2	38	2	2	1	20
27	3	30	1	2	8	20
27	4	58	1	4	8	40
27	5	55	1	4	8	30
27	6	48	1	3	8	20
27	7	37	1	4	8	10
27	8	46	1	4	8	20
27	9	32	1	4	8	15
27	10	33	1	4	8	33
27	11	45	1	4	8	45
27	12	42	1	4	8	42
27	13	45	2	1	3	20
27	14	28	2	2	3	8
28	1	45	2	2	1	45
28	2	50	1	2	1	30
28	3	27	2	2	4	2
28	4	22	2	2	3	10
28	5	40	1	2	3	7
28	6	45	1	3	8	20
28	7	49	1	4	8	25
28	8	43	1	4	8	15
28	9	40	1	4	8	20
28	10	62	1	4	8	40
28	11	51	1	4	8	40
28	12	28	1	3	8	20
28	13	53	1	3	8	30
28	14	43	1	4	8	25
28	15	42	1	4	8	30
28	16	36	2	2	3	15
28	17	35	2	2	3	12
28	18	30	1	2	8	10
28	19	25	1	1	8	10
29	1	51	2	2	1	45
29	2	36	1	2	1	36
29	3	49	2	3	4	30
29	4	40	1	4	8	40
29	5	60	1	4	8	40
29	6	35	2	2	3	5
29	7	28	2	2	3	4
29	8	55	2	3	6	35
29	9	55	1	4	8	30
29	10	48	1	3	8	20
29	11	37	1	4	8	10
29	12	46	1	4	8	26
29	13	32	1	4	8	15
29	14	33	1	4	8	33
29	15	45	1	4	8	45
29	16	42	1	4	8	42
30	1	45	2	2	1	45
30	2	38	1	1	1	38
30	3	38	2	2	4	38
30	4	45	2	2	4	45
30	5	50	1	4	8	50
30	6	60	1	4	8	60
30	7	45	2	1	3	45
30	8	38	2	2	3	38
30	9	55	1	4	8	30
30	10	48	1	3	8	20
30	11	37	1	4	8	10
30	12	46	1	4	8	26
30	13	32	1	4	8	15
30	14	33	1	4	8	33
30	15	45	1	4	8	45
30	16	42	1	4	8	42
31	1	48	2	2	1	48
31	2	23	2	2	4	23
31	3	40	1	3	1	40
31	4	27	2	2	4	27
31	5	45	1	1	8	20
31	6	23	2	2	3	23
31	7	26	2	2	3	26
31	8	49	1	1	8	25
31	9	43	1	4	8	20
31	10	40	1	4	8	19
31	11	28	1	3	8	10
31	12	53	1	3	8	13
31	13	28	1	2	8	15
31	14	35	1	1	8	12
31	15	43	1	4	8	20
31	16	40	1	4	8	18
32	1	32	1	2	2	32
32	2	45	1	2	1	45
32	3	35	2	2	4	15
32	4	50	1	3	8	20
32	5	60	1	3	8	35
32	6	32	2	2	3	10
32	7	27	2	2	3	8
32	8	55	1	4	8	30
32	9	48	1	3	8	20
32	10	37	1	4	8	10
32	11	32	1	4	8	15
32	12	33	1	4	8	33
32	13	46	1	4	8	26
32	14	45	1	4	8	45
32	15	42	1	4	8	42
33	1	36	2	4	4	20
33	2	45	2	3	1	25
33	3	35	2	4	3	27
33	4	30	2	3	8	20
33	5	67	1	4	8	40
33	6	30	1	3	8	15
33	7	55	1	4	8	35
33	8	53	1	4	8	30
33	9	51	1	4	8	35
33	10	59	1	4	8	40
33	11	39	2	3	8	24
33	12	40	1	3	8	20
33	13	50	1	3	8	30
33	14	46	1	3	8	35
34	1	35	2	4	1	35
34	2	41	2	3	4	20
34	3	48	1	4	2	20
34	4	58	1	3	8	40
34	5	50	1	4	8	30
34	6	47	1	3	8	47
34	7	60	1	4	8	35
34	8	40	1	3	8	40
34	9	30	1	3	8	30
34	10	45	1	3	8	45
34	11	54	2	3	8	30
34	12	30	1	3	8	30
34	13	60	1	3	8	45
34	14	30	2	3	3	10
34	15	42	2	3	3	22
35	1	35	1	1	1	35
35	2	46	1	3	7	46
35	3	48	2	3	6	28
35	4	39	1	3	8	39
35	5	41	1	1	3	41
35	6	46	1	4	8	46
35	7	34	1	3	8	25
35	8	38	1	3	8	28
35	9	40	1	4	8	30
35	10	33	2	3	8	19
35	11	29	1	4	8	16
35	12	42	1	4	8	28
35	13	28	1	3	8	12
35	14	41	1	3	8	30
35	15	44	1	3	8	23
35	16	30	2	3	8	30
35	17	39	2	3	8	20
35	18	47	1	4	8	27
35	19	29	1	3	8	16
35	20	43	1	4	8	12
35	21	47	1	3	8	8
36	1	38	2	1	8	38
36	2	35	1	4	1	35
36	3	60	1	3	2	60
36	4	29	1	1	7	29
36	5	32	1	3	2	30
36	6	40	1	3	1	30
36	7	28	1	3	8	28
36	8	30	1	3	8	30
36	9	45	2	3	3	45
36	10	39	1	3	8	39
36	11	65	1	4	8	35
36	12	46	1	4	8	25
36	13	24	1	3	8	24
36	14	43	1	3	8	32
36	15	35	1	3	8	35
36	16	42	1	3	8	30
36	17	28	2	1	8	28
36	18	38	1	4	8	38
36	19	65	1	4	8	40
36	20	38	1	3	8	38
36	21	40	1	3	8	20
36	22	48	1	3	8	30
36	23	50	1	3	8	25
37	1	61	1	3	2	61
37	2	50	1	3	7	50
37	3	37	1	1	7	37
37	4	65	2	1	8	50
37	5	40	1	3	1	40
37	6	42	2	1	8	42
37	7	65	1	4	8	35
37	8	46	1	4	8	25
37	9	24	1	3	8	24
37	10	43	1	3	8	32
37	11	35	1	3	8	35
37	12	42	1	3	8	30
37	13	28	2	1	8	28
37	14	38	1	4	8	38
37	15	65	1	4	8	40
37	16	38	1	3	8	38
37	17	40	1	3	8	20
37	18	48	1	3	8	30
37	19	50	1	3	8	25
38	1	35	2	2	1	20
38	2	36	1	3	8	30
38	3	39	2	3	6	20
38	4	45	1	1	8	45
38	5	65	1	4	8	35
38	6	46	1	4	8	25
38	7	24	1	3	8	24
38	8	43	1	3	8	32
38	9	35	1	3	8	35
38	10	42	1	3	8	30
38	11	28	2	1	8	28
38	12	38	1	4	8	38
38	13	65	1	4	8	40
38	14	38	1	3	8	38
38	15	40	1	3	8	20
38	16	48	1	3	8	30
38	17	50	1	3	8	25
40	1	36	1	1	1	36
40	2	40	1	3	2	40
40	3	46	1	3	4	6
40	4	42	2	3	8	42
40	5	36	2	3	6	18
40	6	47	2	3	3	30
40	7	65	1	4	8	35
40	8	46	1	4	8	25
40	9	24	1	3	8	24
40	10	43	1	3	8	32
40	11	35	1	3	8	35
40	12	42	1	3	8	30
40	13	28	2	1	8	28
40	14	38	1	4	8	38
40	15	65	1	4	8	40
40	16	38	1	3	8	38
40	17	40	1	3	8	20
40	18	48	1	3	8	30
40	19	50	1	3	8	25
41	1	48	1	3	1	48
41	2	49	1	4	4	49
41	3	44	2	3	8	28
41	4	40	2	1	6	40
41	5	35	2	3	8	15
41	6	39	1	3	8	39
41	7	53	1	4	8	53
41	8	45	1	3	8	45
41	9	35	1	3	8	35
41	10	52	1	3	8	52
41	11	48	2	4	8	28
41	12	35	1	1	8	35
41	13	39	2	4	8	20
41	14	54	1	3	8	54
41	15	48	1	3	8	48
41	16	32	1	3	8	32
41	17	42	1	3	8	42
41	18	42	1	4	8	42
41	19	46	1	3	8	46
41	20	49	1	2	8	49
42	1	38	1	4	1	38
42	2	40	1	3	4	40
42	3	42	2	3	8	22
42	4	39	2	1	6	20
42	5	36	1	3	2	36
42	6	45	1	3	8	19
42	7	40	1	3	8	26
42	8	48	1	4	8	48
42	9	37	2	4	8	17
42	10	42	1	3	8	42
42	11	38	1	4	8	38
42	12	31	1	3	8	31
42	13	36	1	3	8	36
42	14	45	1	3	8	30
42	15	36	1	3	8	36
42	16	40	2	4	8	21
