PLACEID	SERVIDR5	AVLOC
12	11	1
12	12	0
12	13	0
12	14	0
12	15	0
12	16	0
12	17	0
12	18	1
12	19	0
12	20	0
12	21	1
12	22	0
12	23	1
12	24	0
12	25	1
12	26	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	1
13	7	1
13	8	1
13	9	0
13	10	1
13	11	0
13	12	0
13	13	0
13	14	0
13	15	0
13	16	0
13	17	0
13	18	0
13	19	0
13	20	0
13	21	1
13	22	0
13	23	1
13	24	0
13	25	1
13	26	0
14	1	0
14	2	0
14	3	0
14	4	0
14	5	0
14	6	1
14	7	0
14	8	0
14	9	0
14	10	1
14	11	0
14	12	0
14	13	0
14	14	0
14	15	0
14	16	0
14	17	0
14	18	1
14	19	0
14	20	1
14	21	1
14	22	0
14	23	1
14	24	0
14	25	1
14	26	1
15	1	0
15	2	0
15	3	0
15	4	0
15	5	0
15	6	1
15	7	0
15	8	0
15	9	0
15	10	1
15	11	1
15	12	1
15	13	0
15	14	0
15	15	0
15	16	0
15	17	0
15	18	1
15	19	1
15	20	0
15	21	1
15	22	1
15	23	1
15	24	0
15	25	1
15	26	0
16	1	0
16	2	0
16	3	0
16	4	0
16	5	0
16	6	1
16	7	1
16	8	1
16	9	0
16	10	1
16	11	1
16	12	0
16	13	0
16	14	0
16	15	0
16	16	0
16	17	0
16	18	0
16	19	0
16	20	0
16	21	1
16	22	0
16	23	1
16	24	0
16	25	1
16	26	0
17	1	0
17	2	0
17	3	0
17	4	0
17	5	0
17	6	1
17	7	1
17	8	1
17	9	0
17	10	1
17	11	1
17	12	1
17	13	0
17	14	1
17	15	0
17	16	0
17	17	1
17	18	0
17	19	0
17	20	0
17	21	1
17	22	0
17	23	1
17	24	0
17	25	1
17	26	0
18	1	0
18	2	0
18	3	0
18	4	0
18	5	0
18	6	1
18	7	0
18	8	0
18	9	0
18	10	1
18	11	1
18	12	0
18	13	0
18	14	1
18	15	0
18	16	0
18	17	0
18	18	0
18	19	0
18	20	0
18	21	1
18	22	0
18	23	1
18	24	0
18	25	1
18	26	0
19	1	0
19	2	0
19	3	0
19	4	0
19	5	0
19	6	1
19	7	0
19	8	0
19	9	0
19	10	1
19	11	1
19	12	0
19	13	0
19	14	1
19	15	0
19	16	0
19	17	0
19	18	1
19	19	0
19	20	0
19	21	1
19	22	0
19	23	0
19	24	0
19	25	0
19	26	0
20	1	0
20	2	0
20	3	0
20	4	0
20	5	0
20	6	1
20	7	0
20	8	0
20	9	0
20	10	0
20	11	1
20	12	0
20	13	0
20	14	0
20	15	0
20	16	0
20	17	0
20	18	1
20	19	0
20	20	1
20	21	0
20	22	0
20	23	1
20	24	0
20	25	0
20	26	0
21	1	1
21	2	0
21	3	0
21	4	0
21	5	0
21	6	1
21	7	0
21	8	0
21	9	0
21	10	1
21	11	1
21	12	0
21	13	0
21	14	0
21	15	0
21	16	0
21	17	0
21	18	1
21	19	1
21	20	0
21	21	1
21	22	0
21	23	1
21	24	1
21	25	0
21	26	0
22	1	1
22	2	1
22	3	0
22	4	0
22	5	0
22	6	1
22	7	0
22	8	0
22	9	0
22	10	1
22	11	1
22	12	0
22	13	0
22	14	0
22	15	0
22	16	0
22	17	0
22	18	1
22	19	0
22	20	0
22	21	1
22	22	0
22	23	1
22	24	0
22	25	0
22	26	0
23	1	0
23	2	0
23	3	0
23	4	0
23	5	0
23	6	1
23	7	0
23	8	0
23	9	0
23	10	1
23	11	0
23	12	0
23	13	0
23	14	0
23	15	0
23	16	0
23	17	0
23	18	1
23	19	1
23	20	1
23	21	0
23	22	0
23	23	1
23	24	0
23	25	0
23	26	0
24	1	0
24	2	0
24	3	1
24	4	1
24	5	1
24	6	1
24	7	1
24	8	1
24	9	1
24	10	1
24	11	1
24	12	1
24	13	1
24	14	1
24	15	1
24	16	1
24	17	1
24	18	1
24	19	0
24	20	0
24	21	1
24	22	1
24	23	1
24	24	0
24	25	1
24	26	1
25	1	0
25	2	0
25	3	1
25	4	1
25	5	1
25	6	1
25	7	1
25	8	1
25	9	1
25	10	1
25	11	1
25	12	1
25	13	1
25	14	1
25	15	1
25	16	1
25	17	1
25	18	1
25	19	0
25	20	0
25	21	1
25	22	0
25	23	1
25	24	1
25	25	1
25	26	1
26	1	1
26	2	1
26	3	1
26	4	1
26	5	1
26	6	1
26	7	1
26	8	1
26	9	1
26	10	1
26	11	1
26	12	1
26	13	1
26	14	1
26	15	1
26	16	1
26	17	1
26	18	1
26	19	1
26	20	0
26	21	1
26	22	0
26	23	0
26	24	0
26	25	1
26	26	1
27	1	0
27	2	0
27	3	0
27	4	0
27	5	0
27	6	1
27	7	0
27	8	0
27	9	0
27	10	1
27	11	1
27	12	1
27	13	0
27	14	1
27	15	0
27	16	0
27	17	0
27	18	1
27	19	0
27	20	0
27	21	1
27	22	0
27	23	1
27	24	0
27	25	1
27	26	0
28	1	0
28	2	0
28	3	0
28	4	0
28	5	0
28	6	1
28	7	0
28	8	0
28	9	0
28	10	1
28	11	1
28	12	1
28	13	0
28	14	0
28	15	0
28	16	0
28	17	0
28	18	1
28	19	0
28	20	0
28	21	1
28	22	0
28	23	1
28	24	0
28	25	0
28	26	0
29	1	0
29	2	0
29	3	0
29	4	0
29	5	0
29	6	1
29	7	0
29	8	0
29	9	0
29	10	1
29	11	1
29	12	1
29	13	0
29	14	1
29	15	0
29	16	0
29	17	0
29	18	1
29	19	0
29	20	0
29	21	1
29	22	0
29	23	0
29	24	0
29	25	1
29	26	0
30	1	0
30	2	0
30	3	0
30	4	0
30	5	0
30	6	1
30	7	0
30	8	0
30	9	0
30	10	1
30	11	1
30	12	1
30	13	0
30	14	0
30	15	0
30	16	0
30	17	0
30	18	1
30	19	0
30	20	0
30	21	1
30	22	0
30	23	1
30	24	1
30	25	1
30	26	0
31	1	1
31	2	1
31	3	0
31	4	0
31	5	0
31	6	1
31	7	0
31	8	0
31	9	0
31	10	1
31	11	1
31	12	1
31	13	0
31	14	1
31	15	0
31	16	0
31	17	0
31	18	0
31	19	0
31	20	0
31	21	1
31	22	0
31	23	1
31	24	0
31	25	1
31	26	1
32	1	0
32	2	0
32	3	0
32	4	0
32	5	0
32	6	1
32	7	0
32	8	0
32	9	0
32	10	1
32	11	1
32	12	1
32	13	0
32	14	1
32	15	0
32	16	0
32	17	0
32	18	1
32	19	0
32	20	0
32	21	1
32	22	0
32	23	1
32	24	1
32	25	1
32	26	0
33	1	1
33	2	0
33	3	1
33	4	1
33	5	1
33	6	1
33	7	1
33	8	1
33	9	1
33	10	1
33	11	1
33	12	1
33	13	1
33	14	1
33	15	1
33	16	0
33	17	0
33	18	1
33	19	0
33	20	0
33	21	1
33	22	0
33	23	1
33	24	0
33	25	1
33	26	1
34	1	1
34	2	1
34	3	1
34	4	1
34	5	1
34	6	1
34	7	0
34	8	1
34	9	0
34	10	1
34	11	1
34	12	1
34	13	1
34	14	1
34	15	1
34	16	1
34	17	1
34	18	1
34	19	1
34	20	0
34	21	1
34	22	1
34	23	1
34	24	0
34	25	1
34	26	1
35	1	1
35	2	0
35	3	0
35	4	0
35	5	0
35	6	1
35	7	0
35	8	1
35	9	0
35	10	1
35	11	1
35	12	1
35	13	0
35	14	0
35	15	0
35	16	1
35	17	0
35	18	1
35	19	1
35	20	0
35	21	1
35	22	0
35	23	1
35	24	1
35	25	1
35	26	0
36	1	1
36	2	0
36	3	0
36	4	1
36	5	0
36	6	1
36	7	1
36	8	1
36	9	0
36	10	1
36	11	1
36	12	1
36	13	1
36	14	0
36	15	0
36	16	1
36	17	1
36	18	1
36	19	0
36	20	1
36	21	1
36	22	1
36	23	1
36	24	1
36	25	1
36	26	1
37	1	1
37	2	0
37	3	0
37	4	1
37	5	0
37	6	1
37	7	1
37	8	1
37	9	0
37	10	1
37	11	1
37	12	0
37	13	1
37	14	0
37	15	0
37	16	1
37	17	1
37	18	1
37	19	1
37	20	0
37	21	1
37	22	1
37	23	1
37	24	1
37	25	0
37	26	1
38	1	1
38	2	0
38	3	0
38	4	0
38	5	0
38	6	1
38	7	1
38	8	1
38	9	0
38	10	1
38	11	0
38	12	1
38	13	1
38	14	0
38	15	0
38	16	1
38	17	0
38	18	1
38	19	1
38	20	0
38	21	1
38	22	1
38	23	1
38	24	1
38	25	1
38	26	0
40	1	1
40	2	0
40	3	1
40	4	1
40	5	0
40	6	1
40	7	1
40	8	1
40	9	1
40	10	1
40	11	1
40	12	0
40	13	1
40	14	1
40	15	0
40	16	1
40	17	1
40	18	1
40	19	1
40	20	0
40	21	1
40	22	1
40	23	1
40	24	1
40	25	1
40	26	1
41	1	1
41	2	0
41	3	0
41	4	0
41	5	0
41	6	1
41	7	0
41	8	1
41	9	0
41	10	1
41	11	1
41	12	1
41	13	0
41	14	0
41	15	0
41	16	0
41	17	0
41	18	1
41	19	1
41	20	0
41	21	1
41	22	0
41	23	1
41	24	1
41	25	0
41	26	0
42	1	1
42	2	0
42	3	0
42	4	0
42	5	0
42	6	1
42	7	0
42	8	1
42	9	0
42	10	1
42	11	1
42	12	1
42	13	0
42	14	1
42	15	0
42	16	0
42	17	0
42	18	1
42	19	1
42	20	0
42	21	1
42	22	0
42	23	1
42	24	1
42	25	1
42	26	0
43	1	1
43	2	0
43	3	0
43	4	0
43	5	0
43	6	1
43	7	0
43	8	1
43	9	0
43	10	1
43	11	1
43	12	1
43	13	0
43	14	1
43	15	0
43	16	1
43	17	0
43	18	1
43	19	1
43	20	0
43	21	1
43	22	0
43	23	1
43	24	1
43	25	1
43	26	0
44	1	1
44	2	0
44	3	0
44	4	0
44	5	0
44	6	1
44	7	0
44	8	1
44	9	0
44	10	1
44	11	1
44	12	1
44	13	0
44	14	0
44	15	0
44	16	1
44	17	0
44	18	1
44	19	1
44	20	0
44	21	1
44	22	1
44	23	1
44	24	1
44	25	1
44	26	0
45	1	1
45	2	0
45	3	0
45	4	0
45	5	0
45	6	1
45	7	0
45	8	1
45	9	0
45	10	1
45	11	1
45	12	1
45	13	0
45	14	0
45	15	0
45	16	1
45	17	0
45	18	1
45	19	1
45	20	0
45	21	1
45	22	0
45	23	1
45	24	1
45	25	1
45	26	0
46	1	1
46	2	0
46	3	0
46	4	0
46	5	0
46	6	1
46	7	0
46	8	1
46	9	0
46	10	1
46	11	1
46	12	1
46	13	0
46	14	1
46	15	0
46	16	0
46	17	0
46	18	1
46	19	1
46	20	0
46	21	1
46	22	0
46	23	1
46	24	1
46	25	0
46	26	0
47	1	1
47	2	1
47	3	1
47	4	1
47	5	0
47	6	1
47	7	1
47	8	1
47	9	1
47	10	1
47	11	1
47	12	1
47	13	1
47	14	1
47	15	0
47	16	1
47	17	1
47	18	1
47	19	0
47	20	0
47	21	1
47	22	0
47	23	1
47	24	1
47	25	1
47	26	1
48	1	1
48	2	0
48	3	1
48	4	1
48	5	0
48	6	1
48	7	0
48	8	1
48	9	1
48	10	1
48	11	1
48	12	1
48	13	0
48	14	1
48	15	0
48	16	1
48	17	1
48	18	1
48	19	0
48	20	0
48	21	1
48	22	0
48	23	1
48	24	0
48	25	1
48	26	1
49	1	0
49	2	1
49	3	0
49	4	1
49	5	0
49	6	1
49	7	1
49	8	1
49	9	1
49	10	1
49	11	1
49	12	1
49	13	0
49	14	0
49	15	0
49	16	1
49	17	1
49	18	1
49	19	0
49	20	0
49	21	1
49	22	0
49	23	1
49	24	0
49	25	1
49	26	1
50	1	0
50	2	0
50	3	0
50	4	0
50	5	0
50	6	0
50	7	0
50	8	1
50	9	0
50	10	1
50	11	1
50	12	1
50	13	0
50	14	1
50	15	0
50	16	0
50	17	0
50	18	1
50	19	0
50	20	0
50	21	1
50	22	0
50	23	1
50	24	1
50	25	1
50	26	0
51	1	0
51	2	0
51	3	0
51	4	0
51	5	0
51	6	0
51	7	0
51	8	0
51	9	0
51	10	1
51	11	1
51	12	1
51	13	0
51	14	0
51	15	0
51	16	0
51	17	0
51	18	0
51	19	1
51	20	0
51	21	1
51	22	0
51	23	1
51	24	1
51	25	1
51	26	0
52	1	0
52	2	0
52	3	0
52	4	0
52	5	0
52	6	1
52	7	1
52	8	1
52	9	0
52	10	1
52	11	1
52	12	1
52	13	0
52	14	1
52	15	0
52	16	0
52	17	0
52	18	0
52	19	0
52	20	0
52	21	1
52	22	0
52	23	1
52	24	1
52	25	1
52	26	0
53	1	0
53	2	0
53	3	0
53	4	0
53	5	0
53	6	1
53	7	0
53	8	1
53	9	0
53	10	1
53	11	1
53	12	1
53	13	0
53	14	1
53	15	0
53	16	0
53	17	0
53	18	1
53	19	0
53	20	0
53	21	1
53	22	0
53	23	0
53	24	1
53	25	1
53	26	0
54	1	0
54	2	0
54	3	0
54	4	0
54	5	1
54	6	0
54	7	0
54	8	0
54	9	0
54	10	1
54	11	1
54	12	0
54	13	0
54	14	0
54	15	0
54	16	0
54	17	0
54	18	1
54	19	0
54	20	0
54	21	1
54	22	0
54	23	1
54	24	0
54	25	1
54	26	0
55	1	0
55	2	0
55	3	0
55	4	0
55	5	0
55	6	0
55	7	0
55	8	0
55	9	0
55	10	1
55	11	1
55	12	1
55	13	0
55	14	1
55	15	0
55	16	0
55	17	1
55	18	0
55	19	0
55	20	0
55	21	1
55	22	1
55	23	1
55	24	0
55	25	1
55	26	0
56	1	0
56	2	0
56	3	0
56	4	0
56	5	0
56	6	1
56	7	0
56	8	1
56	9	0
56	10	1
56	11	1
56	12	0
56	13	1
56	14	0
56	15	1
56	16	0
56	17	0
56	18	1
56	19	1
56	20	0
56	21	1
56	22	0
56	23	1
56	24	0
56	25	0
56	26	0
57	1	0
57	2	0
57	3	0
57	4	0
57	5	0
57	6	0
57	7	0
57	8	1
57	9	0
57	10	1
57	11	1
57	12	0
57	13	0
57	14	1
57	15	0
57	16	0
57	17	0
57	18	1
57	19	0
57	20	0
57	21	1
57	22	0
57	23	1
57	24	0
57	25	1
57	26	0
58	1	0
58	2	0
58	3	0
58	4	0
58	5	0
58	6	0
58	7	0
58	8	0
58	9	0
58	10	1
58	11	1
58	12	0
58	13	0
58	14	1
58	15	0
58	16	0
58	17	0
58	18	1
58	19	0
58	20	0
58	21	1
58	22	0
58	23	1
58	24	0
58	25	0
58	26	0
61	1	1
61	2	1
61	3	1
61	4	0
61	5	0
61	6	1
61	7	0
61	8	1
61	9	0
61	10	1
61	11	1
61	12	1
61	13	0
61	14	1
61	15	0
61	16	0
61	17	0
61	18	1
61	19	0
61	20	0
61	21	1
61	22	0
61	23	1
61	24	0
61	25	0
61	26	0
62	1	1
62	2	0
62	3	1
62	4	0
62	5	0
62	6	1
62	7	1
62	8	1
62	9	0
62	10	1
62	11	1
62	12	1
62	13	0
62	14	1
62	15	0
62	16	0
62	17	0
62	18	0
62	19	0
62	20	0
62	21	1
62	22	0
62	23	1
62	24	0
62	25	0
62	26	0
63	1	1
63	2	1
63	3	1
63	4	0
63	5	0
63	6	1
63	7	0
63	8	1
63	9	0
63	10	1
63	11	1
63	12	1
63	13	0
63	14	1
63	15	0
63	16	1
63	17	0
63	18	1
63	19	0
63	20	0
63	21	1
63	22	0
63	23	1
63	24	0
63	25	0
63	26	0
64	1	1
64	2	1
64	3	0
64	4	0
64	5	0
64	6	1
64	7	0
64	8	1
64	9	0
64	10	1
64	11	1
64	12	1
64	13	0
64	14	1
64	15	0
64	16	0
64	17	0
64	18	1
64	19	0
64	20	0
64	21	1
64	22	0
64	23	1
64	24	0
64	25	0
64	26	0
65	1	1
65	2	1
65	3	1
65	4	0
65	5	0
65	6	1
65	7	0
65	8	1
65	9	0
65	10	1
65	11	1
65	12	1
65	13	0
65	14	1
65	15	0
65	16	0
65	17	0
65	18	1
65	19	0
65	20	0
65	21	1
65	22	0
65	23	1
65	24	0
65	25	0
65	26	0
66	1	1
66	2	1
66	3	1
66	4	0
66	5	0
66	6	1
66	7	0
66	8	1
66	9	0
66	10	1
66	11	1
66	12	1
66	13	0
66	14	1
66	15	0
66	16	0
66	17	0
66	18	1
66	19	0
66	20	0
66	21	1
66	22	0
66	23	1
66	24	0
66	25	0
66	26	0
67	1	1
67	2	1
67	3	1
67	4	0
67	5	0
67	6	1
67	7	0
67	8	1
67	9	0
67	10	1
67	11	1
67	12	1
67	13	0
67	14	1
67	15	0
67	16	0
67	17	0
67	18	1
67	19	0
67	20	0
67	21	1
67	22	0
67	23	1
67	24	0
67	25	0
67	26	0
68	1	1
68	2	1
68	3	0
68	4	0
68	5	0
68	6	1
68	7	0
68	8	1
68	9	0
68	10	1
68	11	1
68	12	1
68	13	0
68	14	1
68	15	0
68	16	0
68	17	0
68	18	1
68	19	0
68	20	0
68	21	1
68	22	0
68	23	1
68	24	0
68	25	0
68	26	0
69	1	0
69	2	0
69	3	0
69	4	0
69	5	0
69	6	1
69	7	0
69	8	1
69	9	0
69	10	1
69	11	1
69	12	1
69	13	0
69	14	1
69	15	0
69	16	0
69	17	0
69	18	1
69	19	0
69	20	0
69	21	1
69	22	0
69	23	1
69	24	0
69	25	0
69	26	0
70	1	0
70	2	1
70	3	1
70	4	0
70	5	0
70	6	1
70	7	1
70	8	0
70	9	0
70	10	1
70	11	1
70	12	1
70	13	0
70	14	1
70	15	0
70	16	0
70	17	0
70	18	1
70	19	0
70	20	0
70	21	1
70	22	0
70	23	1
70	24	0
70	25	0
70	26	0
71	1	0
71	2	0
71	3	0
71	4	0
71	5	0
71	6	1
71	7	0
71	8	1
71	9	0
71	10	1
71	11	1
71	12	0
71	13	0
71	14	0
71	15	0
71	16	0
71	17	0
71	18	0
71	19	0
71	20	1
71	21	0
71	22	1
71	23	0
71	24	0
71	25	1
71	26	0
72	1	1
72	2	0
72	3	0
72	4	0
72	5	0
72	6	1
72	7	0
72	8	1
72	9	0
72	10	1
72	11	1
72	12	0
72	13	0
72	14	0
72	15	0
72	16	0
72	17	0
72	18	0
72	19	0
72	20	0
72	21	1
72	22	0
72	23	1
72	24	0
72	25	1
72	26	0
73	1	0
73	2	0
73	3	0
73	4	0
73	5	0
73	6	1
73	7	0
73	8	1
73	9	0
73	10	1
73	11	1
73	12	0
73	13	0
73	14	0
73	15	0
73	16	0
73	17	0
73	18	0
73	19	0
73	20	0
73	21	1
73	22	0
73	23	1
73	24	0
73	25	0
73	26	0
74	1	0
74	2	0
74	3	0
74	4	0
74	5	0
74	6	1
74	7	0
74	8	1
74	9	0
74	10	1
74	11	1
74	12	1
74	13	1
74	14	0
74	15	0
74	16	1
74	17	0
74	18	0
74	19	0
74	20	0
74	21	1
74	22	0
74	23	1
74	24	1
74	25	1
74	26	0
75	1	0
75	2	0
75	3	0
75	4	0
75	5	0
75	6	1
75	7	0
75	8	1
75	9	0
75	10	1
75	11	0
75	12	1
75	13	0
75	14	0
75	15	0
75	16	0
75	17	0
75	18	0
75	19	0
75	20	0
75	21	1
75	22	0
75	23	1
75	24	1
75	25	0
75	26	0
76	1	0
76	2	0
76	3	0
76	4	0
76	5	0
76	6	1
76	7	0
76	8	1
76	9	0
76	10	1
76	11	1
76	12	0
76	13	0
76	14	1
76	15	0
76	16	0
76	17	0
76	18	1
76	19	0
76	20	0
76	21	1
76	22	0
76	23	0
76	24	0
76	25	0
76	26	0
77	1	1
77	2	1
77	3	0
77	4	0
77	5	0
77	6	1
77	7	0
77	8	1
77	9	0
77	10	1
77	11	1
77	12	0
77	13	0
77	14	1
77	15	0
77	16	0
77	17	0
77	18	1
77	19	0
77	20	0
77	21	1
77	22	0
77	23	1
77	24	0
77	25	0
77	26	0
78	1	1
78	2	1
78	3	0
78	4	0
78	5	0
78	6	1
78	7	0
78	8	0
78	9	0
78	10	1
78	11	1
78	12	0
78	13	0
78	14	1
78	15	0
78	16	0
78	17	0
78	18	1
78	19	0
78	20	0
78	21	1
78	22	0
78	23	1
78	24	0
78	25	0
78	26	0
79	1	1
79	2	1
79	3	0
79	4	0
79	5	0
79	6	1
79	7	0
79	8	1
79	9	0
79	10	1
79	11	1
79	12	0
79	13	0
79	14	1
79	15	0
79	16	0
79	17	0
79	18	1
79	19	0
79	20	0
79	21	1
79	22	0
79	23	1
79	24	0
79	25	0
79	26	0
80	1	0
80	2	0
80	3	0
80	4	0
80	5	0
80	6	1
80	7	0
80	8	0
80	9	0
80	10	1
80	11	1
80	12	0
80	13	1
80	14	1
80	15	0
80	16	0
80	17	0
80	18	1
80	19	1
80	20	0
80	21	1
80	22	1
80	23	1
80	24	0
80	25	1
80	26	0
81	1	0
81	2	0
81	3	0
81	4	0
81	5	0
81	6	1
81	7	0
81	8	1
81	9	0
81	10	1
81	11	1
81	12	1
81	13	0
81	14	0
81	15	0
81	16	0
81	17	0
81	18	0
81	19	0
81	20	0
81	21	1
81	22	0
81	23	1
81	24	0
81	25	0
81	26	0
82	1	0
82	2	0
82	3	0
82	4	0
82	5	0
82	6	1
82	7	0
82	8	1
82	9	0
82	10	1
82	11	1
82	12	1
82	13	0
82	14	0
82	15	0
82	16	0
82	17	0
82	18	0
82	19	0
82	20	0
82	21	1
82	22	1
82	23	1
82	24	0
82	25	0
82	26	0
83	1	0
83	2	0
83	3	0
83	4	0
83	5	0
83	6	1
83	7	0
83	8	1
83	9	0
83	10	1
83	11	1
83	12	1
83	13	0
83	14	0
83	15	0
83	16	0
83	17	0
83	18	0
83	19	0
83	20	0
83	21	1
83	22	0
83	23	1
83	24	0
83	25	0
83	26	0
84	1	0
84	2	0
84	3	0
84	4	0
84	5	0
84	6	1
84	7	0
84	8	1
84	9	0
84	10	1
84	11	0
84	12	1
84	13	0
84	14	0
84	15	0
84	16	0
84	17	0
84	18	0
84	19	0
84	20	0
84	21	1
84	22	0
84	23	1
84	24	0
84	25	0
84	26	0
85	1	0
85	2	0
85	3	0
85	4	0
85	5	0
85	6	1
85	7	0
85	8	1
85	9	0
85	10	1
85	11	1
85	12	1
85	13	0
85	14	0
85	15	0
85	16	0
85	17	0
85	18	0
85	19	0
85	20	0
85	21	1
85	22	0
85	23	0
85	24	0
85	25	0
85	26	0
86	1	1
86	2	1
86	3	1
86	4	1
86	5	1
86	6	1
86	7	0
86	8	1
86	9	1
86	10	1
86	11	1
86	12	1
86	13	1
86	14	1
86	15	1
86	16	1
86	17	1
86	18	1
86	19	1
86	20	0
86	21	1
86	22	1
86	23	1
86	24	1
86	25	1
86	26	1
87	1	1
87	2	1
87	3	1
87	4	1
87	5	1
87	6	1
87	7	0
87	8	1
87	9	1
87	10	1
87	11	1
87	12	1
87	13	1
87	14	1
87	15	1
87	16	1
87	17	1
87	18	1
87	19	1
87	20	0
87	21	1
87	22	1
87	23	1
87	24	1
87	25	1
87	26	1
88	1	1
88	2	1
88	3	1
88	4	1
88	5	1
88	6	1
88	7	0
88	8	1
88	9	1
88	10	1
88	11	1
88	12	1
88	13	1
88	14	1
88	15	1
88	16	1
88	17	1
88	18	1
88	19	1
88	20	1
88	21	1
88	22	1
88	23	1
88	24	1
88	25	1
88	26	1
89	1	0
89	2	0
89	3	0
89	4	0
89	5	1
89	6	1
89	7	1
89	8	1
89	9	0
89	10	1
89	11	1
89	12	1
89	13	0
89	14	1
89	15	0
89	16	0
89	17	0
89	18	1
89	19	0
89	20	0
89	21	1
89	22	0
89	23	1
89	24	0
89	25	1
89	26	1
90	1	0
90	2	0
90	3	0
90	4	1
90	5	1
90	6	1
90	7	1
90	8	1
90	9	1
90	10	1
90	11	1
90	12	1
90	13	1
90	14	1
90	15	1
90	16	1
90	17	1
90	18	1
90	19	0
90	20	0
90	21	1
90	22	0
90	23	1
90	24	0
90	25	1
90	26	1
91	1	1
91	2	0
91	3	0
91	4	0
91	5	1
91	6	1
91	7	1
91	8	1
91	9	1
91	10	1
91	11	1
91	12	1
91	13	1
91	14	1
91	15	1
91	16	1
91	17	1
91	18	1
91	19	0
91	20	1
91	21	1
91	22	1
91	23	1
91	24	0
91	25	1
91	26	1
92	1	1
92	2	1
92	3	0
92	4	0
92	5	1
92	6	0
92	7	0
92	8	0
92	9	0
92	10	1
92	11	0
92	12	0
92	13	0
92	14	0
92	15	0
92	16	0
92	17	0
92	18	1
92	19	0
92	20	0
92	21	1
92	22	0
92	23	1
92	24	0
92	25	1
92	26	0
93	1	1
93	2	0
93	3	0
93	4	0
93	5	0
93	6	1
93	7	0
93	8	0
93	9	0
93	10	1
93	11	1
93	12	1
