placeid	rsid	module	sectin11	sectin12	sectin13	sectin14	module2	sectin21	sectin22	sectin23	sectin24	ageres	sexres	capac	livres
ET1022	18	1	 	 	 	5	2	 	 	 	 	32	2	8	32
ET1022	19	1	 	 	 	5	2	 	 	 	 	79	1	8	79
ET1022	20	1	 	 	 	5	2	 	 	 	 	79	1	8	11
ET1022	21	1	 	 	 	5	2	 	 	 	 	21	1	8	21
ET1022	22	1	 	 	 	5	2	 	 	 	 	28	1	8	28
ET1022	23	1	 	 	 	5	2	 	 	 	 	58	1	8	19
ET1022	24	1	 	 	 	 	2	 	 	2	 	49	1	8	22
ET1022	25	1	 	 	 	5	2	 	 	 	 	26	1	8	0
ET1022	26	1	 	 	 	5	2	 	 	 	 	45	1	8	40
ET1022	27	1	 	 	 	5	2	 	 	 	 	 	1	8	 
ET1022	28	1	 	 	 	5	2	 	 	 	 	33	2	8	33
ET1022	29	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1022	30	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1022	31	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1022	32	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1022	33	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1022	34	1	 	 	 	5	2	 	 	 	 	-79	1	8	-79
ET1021	1	1	 	 	 	5	2	 	 	 	 	79	2	8	30
ET1021	2	1	 	 	 	5	2	 	 	 	 	50	2	8	50
ET1021	3	1	 	 	 	5	2	 	 	 	 	37	2	8	37
ET1021	4	1	 	 	 	5	2	 	 	 	 	27	1	8	27
ET1021	5	1	 	 	 	5	2	 	 	 	 	26	2	8	12
ET1021	6	1	 	 	 	5	2	 	 	 	 	27	2	8	27
ET1021	7	1	 	 	 	5	2	 	 	 	 	40	2	8	40
ET1021	8	1	1	2	3	4	2	4	 	 	 	37	1	1	37
ET1021	9	1	1	2	3	4	2	 	1	 	 	39	1	1	39
ET1021	10	1	1	2	3	4	2	 	2	 	 	40	1	1	8
ET1021	11	1	1	2	3	4	2	1	2	4	 	42	2	8	42
ET1021	12	1	1	2	3	4	2	1	2	4	 	32	1	1	32
ET1021	13	1	1	2	3	4	2	1	2	4	 	38	1	1	-77
ET1021	14	1	 	 	5	 	2	 	 	 	 	79	1	8	79
ET1021	15	1	 	 	5	 	2	 	 	 	 	 	1	8	 
ET1021	16	1	 	 	5	 	2	 	 	 	 	26	1	8	26
ET1021	17	1	 	 	5	 	2	 	 	 	 	30	2	8	30
ET1021	18	1	 	 	5	 	2	 	 	 	 	32	2	8	32
ET1021	19	1	 	 	5	 	2	 	 	 	 	79	1	8	79
ET1021	20	1	 	 	5	 	2	 	 	 	 	79	1	8	11
ET1021	21	1	 	 	5	 	2	 	 	 	 	21	1	8	21
ET1021	22	1	 	 	5	 	2	 	 	 	 	28	1	8	28
ET1021	23	1	 	 	5	 	2	 	 	 	 	58	1	8	19
ET1021	24	1	 	 	 	 	2	2	 	 	 	49	1	8	22
ET1021	25	1	 	 	5	 	2	 	 	 	 	26	1	8	0
ET1021	26	1	 	 	5	 	2	 	 	 	 	45	1	8	40
ET1021	27	1	 	 	5	 	2	 	 	 	 	 	1	8	79
ET1021	28	1	 	 	5	 	2	 	 	 	 	33	2	8	33
ET1021	29	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET4141	1	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4141	2	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4141	3	1	5	 	 	 	2	 	 	 	 	 	 	 	 
ET4141	4	1	5	 	 	 	2	 	 	 	 	30	2	8	7
ET4141	5	1	5	 	 	 	2	 	 	 	 	60	2	8	30
ET4141	6	1	5	 	 	 	2	 	 	 	 	18	1	8	4
ET4141	7	1	5	 	 	 	2	 	 	 	 	37	2	8	18
ET4141	8	1	5	 	 	 	2	 	 	 	 	45	1	8	25
ET4141	9	1	5	 	 	 	2	 	 	 	 	32	1	8	15
ET4141	10	1	5	 	 	 	2	 	 	 	 	55	2	8	28
ET4141	11	1	5	 	 	 	2	 	 	 	 	30	2	8	22
ET4141	12	1	5	 	 	 	2	 	 	 	 	28	2	8	5
ET4141	13	1	5	 	 	 	2	 	 	 	 	38	2	8	35
ET4141	14	1	1	2	3	4	2	1	2	3	4	26	1	1	26
ET4141	15	1	1	2	3	4	2	1	2	3	4	48	1	7	17
ET4141	16	1	1	2	3	4	2	1	2	3	4	46	1	4	36
ET4141	17	1	5	 	 	 	2	 	 	 	 	25	1	8	3
ET4141	18	1	5	 	 	 	2	 	 	 	 	22	1	8	4
ET4141	19	1	5	 	 	 	2	 	 	 	 	15	2	8	5
ET4141	20	1	5	 	 	 	2	 	 	 	 	27	2	8	4
ET4141	21	1	5	 	 	 	2	 	 	 	 	22	2	8	15
ET4141	22	1	5	2	 	 	2	 	 	 	 	35	1	8	2
ET4141	23	1	5	 	 	 	2	 	 	 	 	30	2	8	20
ET4141	24	1	5	 	 	 	2	 	 	 	 	23	2	8	10
ET4141	25	1	5	 	 	 	2	 	 	 	 	25	1	8	0
ET4141	26	1	5	 	 	 	2	 	 	 	 	35	1	8	7
ET4161	1	1	 	 	 	 	2	 	 	 	 	30	1	1	30
ET4161	2	1	 	 	 	 	2	 	 	 	 	20	2	8	20
ET4161	3	1	 	 	 	 	2	 	 	 	 	20	2	3	20
ET4161	11	1	 	 	 	 	2	 	 	 	 	21	1	8	5
ET4161	12	1	 	 	 	 	2	 	 	 	 	22	1	8	2
ET4161	13	1	 	 	 	 	2	 	 	 	 	28	1	8	28
ET4161	14	1	 	 	 	 	2	 	 	 	 	45	1	8	45
ET4161	15	1	 	 	 	 	2	 	 	 	 	17	2	8	17
ET4161	16	1	 	 	 	 	2	 	 	 	 	15	1	8	15
ET4161	17	1	 	 	 	 	2	 	 	 	 	15	2	8	15
ET4161	18	1	 	 	 	 	2	 	 	 	 	20	1	8	20
ET4161	19	1	 	 	 	 	2	 	 	 	 	33	1	8	33
ET4161	20	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4161	21	1	 	 	 	 	2	 	 	 	 	32	1	8	1
ET4161	22	1	 	 	 	 	2	 	 	 	 	39	1	8	1
ET4161	23	1	 	 	 	 	2	 	 	 	 	32	1	8	32
ET4161	24	1	 	 	 	 	2	 	 	 	 	20	1	8	20
ET4161	25	1	 	 	 	 	2	 	 	 	 	28	1	8	28
ET4161	26	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4161	27	1	 	 	 	 	2	 	 	 	 	25	2	8	25
ET4161	28	1	 	 	 	 	2	 	 	 	 	25	1	8	4
ET4161	29	1	 	 	 	 	2	 	 	 	 	15	1	8	1
ET4161	30	1	 	 	 	 	2	 	 	 	 	30	1	8	10
ET4161	31	1	 	 	 	 	2	 	 	 	 	40	1	8	6
ET4161	32	1	 	 	 	 	2	 	 	 	 	30	2	8	1
ET4161	33	1	 	 	 	 	2	 	 	 	 	20	1	8	2
ET4161	34	1	 	 	 	 	2	 	 	 	 	21	1	8	1
ET4161	35	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET4161	36	1	 	 	 	 	2	 	 	 	 	35	2	8	35
ET4161	37	1	 	 	 	 	2	 	 	 	 	43	2	8	43
ET4161	38	1	 	 	 	 	2	 	 	 	 	37	1	8	5
ET4161	39	1	 	 	 	 	2	 	 	 	 	29	2	8	29
ET4161	40	1	 	 	 	 	2	 	 	 	 	55	2	8	55
ET4161	41	1	 	 	 	 	2	 	 	 	 	27	1	8	27
ET4161	42	1	 	 	 	 	2	 	 	 	 	40	1	8	40
ET4161	43	1	 	 	 	 	2	 	 	 	 	32	2	8	32
ET4161	44	1	 	 	 	 	2	 	 	 	 	29	2	8	29
ET4161	45	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4161	46	1	 	 	 	 	2	 	 	 	 	33	1	8	33
ET4161	47	1	 	 	 	 	2	 	 	 	 	42	1	8	42
ET4161	48	1	 	 	 	 	2	 	 	 	 	30	2	8	30
ET4161	49	1	 	 	 	 	2	 	 	 	 	35	1	8	35
ET4161	50	1	 	 	 	 	2	 	 	 	 	25	1	8	25
ET4161	51	1	 	 	 	 	2	 	 	 	 	35	2	8	35
ET4161	52	1	 	 	 	 	2	 	 	 	 	48	2	8	48
ET4161	53	1	 	 	 	 	2	 	 	 	 	50	2	8	50
ET3091	3	1	1	4	3	 	2	1	 	 	 	34	1	4	3
ET3091	4	1	2	3	 	 	2	2	 	 	 	28	1	2	28
ET3091	5	1	4	6	 	 	2	4	 	 	 	64	1	11	64
ET3091	6	1	1	2	 	 	2	4	 	 	 	30	2	3	17
ET3091	7	1	5	 	 	 	2	 	 	 	 	40	2	8	11
ET3091	8	1	5	 	 	 	2	 	 	 	 	33	1	8	33
ET3091	9	1	5	 	 	 	2	 	 	 	 	50	2	8	30
ET3091	10	1	5	 	 	 	2	 	 	 	 	25	2	8	8
ET3091	11	1	5	 	 	 	2	 	 	 	 	43	1	8	11
ET3091	12	1	5	 	 	 	2	 	 	 	 	40	1	8	20
ET3091	13	1	5	 	 	 	2	 	 	 	 	43	1	8	43
ET3091	14	1	5	 	 	 	2	 	 	 	 	39	1	8	12
ET3091	15	1	5	 	 	 	2	 	 	 	 	25	2	8	25
ET3091	16	1	5	 	 	 	2	 	 	 	 	33	1	8	33
ET3091	17	1	5	 	 	 	2	 	 	 	 	40	1	8	25
ET3091	18	1	5	 	 	 	2	 	 	 	 	23	1	8	15
ET3091	19	1	5	 	 	 	2	 	 	 	 	28	2	8	28
ET3091	20	1	5	 	 	 	2	 	 	 	 	43	1	8	43
ET3091	21	1	5	 	 	 	2	 	 	 	 	37	1	8	79
ET3091	22	1	5	 	 	 	2	 	 	 	 	28	1	8	28
ET3091	23	1	5	 	 	 	2	 	 	 	 	30	1	8	30
ET3091	24	1	5	 	 	 	2	 	 	 	 	60	2	8	60
ET3091	25	1	5	 	 	 	2	 	 	 	 	26	1	8	2
ET3091	26	1	5	 	 	 	2	 	 	 	 	38	2	8	30
ET3091	27	1	5	 	 	 	2	 	 	 	 	42	2	8	25
ET3091	28	1	5	 	 	 	2	 	 	 	 	55	2	8	42
ET3091	29	1	5	 	 	 	2	 	 	 	 	28	2	8	23
ET3091	30	1	5	 	 	 	2	 	 	 	 	35	1	8	10
ET3091	31	1	5	 	 	 	2	 	 	 	 	35	2	8	35
ET3091	32	1	5	 	 	 	2	 	 	 	 	40	1	8	8
ET3091	33	1	5	 	 	 	2	 	 	 	 	28	2	8	12
ET1032	1	1	1	2	3	4	2	1	2	4	 	35	1	8	1
ET1032	2	1	1	2	3	4	2	1	2	4	 	25	1	1	25
ET1032	3	1	1	2	3	4	2	1	2	4	 	34	1	1	34
ET1032	4	1	1	2	3	4	2	1	2	4	 	37	2	8	20
ET1032	5	1	5	 	 	 	2	3	 	 	 	 	 	8	79
ET1032	6	1	5	 	 	 	2	3	 	 	 	79	2	8	79
ET1032	7	1	5	 	 	 	2	3	 	 	 	79	1	8	79
ET1032	8	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	9	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	10	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1032	11	1	5	 	 	 	2	 	 	 	 	21	2	8	21
ET1032	12	1	5	 	 	 	2	2	 	 	 	32	1	8	4
ET1032	13	1	5	 	 	 	2	 	 	 	 	19	2	8	2
ET1032	14	1	5	 	 	 	2	 	 	 	 	12	2	8	4
ET1032	15	1	5	 	 	 	2	 	 	 	 	21	2	4	21
ET1032	16	1	5	 	 	 	2	 	 	 	 	34	1	8	34
ET1032	17	1	5	 	 	 	2	 	 	 	 	24	2	8	14
ET1032	18	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	19	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	20	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	21	1	5	 	 	 	2	 	 	 	 	28	2	8	28
ET1032	22	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1032	23	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1032	24	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1032	25	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	1	1	1	3	4	 	2	 	 	 	 	42	1	8	42
ET1031	2	1	2	4	6	 	2	4	 	 	 	35	2	2	7
ET1031	3	1	1	2	3	6	2	1	4	 	 	24	1	1	1
ET1031	4	1	1	2	3	4	2	1	4	 	 	40	2	6	0
ET1031	5	1	 	 	 	 	2	1	 	 	 	50	1	4	6
ET1031	6	1	 	 	 	 	2	2	 	 	 	35	2	1	12
ET1031	7	1	 	 	 	 	2	2	 	 	 	32	1	8	4
ET1031	8	1	5	 	 	 	2	3	 	 	 	79	1	8	 
ET1031	9	1	5	 	 	 	2	3	 	 	 	79	2	8	79
ET1031	10	1	5	 	 	 	2	3	 	 	 	79	1	8	79
ET1031	11	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	12	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	13	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1031	14	1	5	 	 	 	2	 	 	 	 	21	2	8	21
ET1031	15	1	 	 	 	 	2	2	 	 	 	32	1	8	4
ET1031	16	1	5	 	 	 	2	 	 	 	 	19	2	8	2
ET1031	17	1	5	 	 	 	2	 	 	 	 	12	2	8	4
ET1031	18	1	5	 	 	 	2	 	 	 	 	21	2	4	21
ET1031	19	1	5	 	 	 	2	 	 	 	 	34	1	8	34
ET1031	20	1	5	 	 	 	2	 	 	 	 	24	2	8	14
ET1031	21	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	22	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	23	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	24	1	5	 	 	 	2	 	 	 	 	28	2	8	28
ET1031	25	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1031	26	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET1031	27	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET1031	28	1	5	 	 	 	2	 	 	 	 	79	1	8	79
ET4161	54	1	 	 	 	 	2	 	 	 	 	55	2	8	55
ET4161	55	1	 	 	 	 	2	 	 	 	 	30	1	8	30
ET4161	56	1	 	 	 	 	2	 	 	 	 	27	1	8	2
ET4161	57	1	 	 	 	 	2	 	 	 	 	25	2	8	25
ET4161	58	1	 	 	 	 	2	 	 	 	 	18	2	8	18
ET4161	59	1	 	 	 	 	2	 	 	 	 	40	2	8	40
ET4161	60	1	 	 	 	 	2	 	 	 	 	40	2	8	40
ET4161	61	1	 	 	 	 	2	 	 	 	 	29	1	8	29
ET4161	62	1	 	 	 	 	2	 	 	 	 	45	2	8	40
ET3081	1	1	 	 	 	 	2	 	 	 	 	22	2	3	3
ET3081	2	1	1	2	3	4	2	4	 	 	 	33	1	7	6
ET3081	3	1	1	4	6	 	2	4	 	 	 	34	1	9	2
ET3081	4	1	1	 	 	 	2	1	 	 	 	33	2	4	9
ET3081	5	1	2	4	6	5	2	4	 	 	 	32	2	10	2
ET3081	6	1	3	4	 	 	2	 	 	 	 	61	1	11	61
ET3081	7	1	3	 	 	 	2	 	 	 	 	45	1	11	45
ET3081	8	1	2	 	 	 	2	 	 	 	 	30	1	2	30
ET3081	9	1	3	 	 	 	2	 	 	 	 	34	1	2	34
ET3081	10	1	5	 	 	 	2	 	 	 	 	40	2	8	20
ET3081	11	1	5	 	 	 	2	 	 	 	 	79	2	8	79
ET3081	12	1	5	 	 	 	2	 	 	 	 	26	1	8	10
ET3081	13	1	5	 	 	 	2	 	 	 	 	41	1	8	21
ET3081	14	1	5	 	 	 	2	 	 	 	 	24	2	8	10
ET3081	15	1	5	 	 	 	2	 	 	 	 	50	2	8	20
ET3081	16	1	5	 	 	 	2	 	 	 	 	40	2	8	6
ET3081	17	1	5	 	 	 	2	 	 	 	 	26	1	8	26
ET3081	18	1	5	 	 	 	2	 	 	 	 	26	2	8	7
ET3081	19	1	5	 	 	 	2	 	 	 	 	22	2	8	5
ET3081	20	1	5	 	 	 	2	 	 	 	 	47	2	8	32
ET3081	21	1	5	 	 	 	2	 	 	 	 	65	1	8	25
ET3081	22	1	5	 	 	 	2	 	 	 	 	38	2	8	15
ET3081	23	1	5	 	 	 	2	 	 	 	 	40	1	8	20
ET3101	3	1	1	2	3	4	2	1	4	 	 	36	1	1	36
ET3101	4	1	 	 	 	 	2	1	 	 	 	48	1	8	12
ET3101	5	1	5	 	 	 	2	 	 	 	 	45	2	4	15
ET3101	6	1	 	 	 	 	2	2	 	 	 	24	2	8	2
ET3101	7	1	5	 	 	 	2	 	 	 	 	28	2	8	2
ET3101	8	1	5	 	 	 	2	 	 	 	 	45	2	8	5
ET3101	9	1	5	 	 	 	2	 	 	 	 	50	2	8	50
ET3101	10	1	5	 	 	 	2	 	 	 	 	52	2	8	52
ET3101	11	1	5	 	 	 	2	 	 	 	 	32	1	8	32
ET3101	12	1	5	 	 	 	2	 	 	 	 	38	1	8	38
ET3101	13	1	5	 	 	 	2	 	 	 	 	45	2	8	45
ET3101	14	1	5	 	 	 	2	 	 	 	 	34	2	8	34
ET3101	15	1	5	 	 	 	2	 	 	 	 	24	2	8	24
ET3101	16	1	5	 	 	 	2	 	 	 	 	30	2	8	30
ET3101	17	1	5	 	 	 	2	 	 	 	 	33	2	8	33
ET3101	18	1	5	 	 	 	2	 	 	 	 	38	2	8	38
ET3101	19	1	5	 	 	 	2	 	 	 	 	40	2	8	40
ET3101	20	1	5	 	 	 	2	 	 	 	 	58	2	8	58
ET3101	21	1	5	 	 	 	2	 	 	 	 	45	2	8	45
ET3101	22	1	5	 	 	 	2	 	 	 	 	27	1	8	27
ET3101	23	1	5	 	 	 	2	 	 	 	 	23	1	8	23
ET4151	5	1	1	2	3	4	2	1	2	4	 	65	1	11	65
ET4151	6	1	5	 	 	 	2	2	 	 	 	22	2	3	9
ET4151	7	1	5	 	 	 	2	 	 	 	 	25	1	8	 
ET4151	8	1	5	 	 	 	2	3	 	 	 	16	2	8	 
ET4151	9	1	5	 	 	 	2	3	 	 	 	25	1	8	3
ET4151	10	1	5	 	 	 	2	3	 	 	 	16	2	8	3
ET4151	11	1	5	 	 	 	2	3	 	 	 	17	1	8	8
ET4151	12	1	5	 	 	 	2	3	 	 	 	15	2	8	3
ET1021	30	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET1021	31	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET1021	32	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET1021	33	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET1021	34	1	 	 	 	 	2	 	 	5	 	 	1	8	79
ET4121	1	1	1	2	6	 	2	4	 	 	 	35	1	2	35
ET4121	2	1	2	4	 	 	2	4	 	 	 	47	1	11	47
ET4121	3	1	 	 	 	 	2	2	 	 	 	29	1	3	29
ET4121	4	1	3	 	 	 	2	1	 	 	 	31	1	11	31
ET4121	5	1	3	 	 	 	2	3	 	 	 	55	1	11	55
ET4121	6	1	1	4	 	 	2	 	 	 	 	30	1	1	27
ET4121	7	1	1	6	 	 	2	4	 	 	 	53	1	11	53
ET4121	8	1	2	 	 	 	2	3	 	 	 	42	1	2	42
ET4121	10	1	 	 	 	 	2	1	 	 	 	35	1	4	2
ET4121	11	1	3	6	 	 	2	 	 	 	 	30	1	1	30
ET4121	12	1	 	 	 	 	2	2	 	 	 	22	2	3	3
ET4121	13	1	5	 	 	 	2	 	 	 	 	28	1	3	1
ET4121	14	1	5	 	 	 	2	 	 	 	 	56	1	3	6
ET4121	15	1	5	 	 	 	2	 	 	 	 	40	1	8	10
ET4121	16	1	5	 	 	 	2	 	 	 	 	24	2	8	8
ET4121	17	1	5	 	 	 	2	 	 	 	 	39	2	8	20
ET4121	18	1	5	 	 	 	2	 	 	 	 	38	1	8	8
ET4121	19	1	5	 	 	 	2	 	 	 	 	35	1	8	20
ET4121	20	1	5	 	 	 	2	 	 	 	 	22	1	8	10
ET4121	21	1	5	 	 	 	2	 	 	 	 	36	1	8	7
ET4121	22	1	5	 	 	 	2	 	 	 	 	42	1	8	4
ET4121	23	1	5	 	 	 	2	 	 	 	 	33	1	8	3
ET4121	24	1	5	 	 	 	2	 	 	 	 	25	1	8	1
ET4121	25	1	5	 	 	 	2	 	 	 	 	32	2	8	4
ET3081	24	1	5	 	 	 	2	 	 	 	 	28	1	8	10
ET3081	25	1	5	 	 	 	2	 	 	 	 	27	1	8	5
ET3081	26	1	5	 	 	 	2	 	 	 	 	24	2	8	79
ET3081	27	1	5	 	 	 	2	 	 	 	 	31	1	8	21
ET3081	28	1	5	 	 	 	2	 	 	 	 	40	1	8	26
ET3081	29	1	5	 	 	 	2	 	 	 	 	22	1	8	4
ET3081	30	1	5	 	 	 	2	 	 	 	 	25	1	8	10
ET3081	31	1	5	 	 	 	2	 	 	 	 	30	2	 	13
ET3081	32	1	5	 	 	 	2	 	 	 	 	52	1	8	20
ET3081	33	1	5	 	 	 	2	 	 	 	 	61	1	8	27
ET3101	1	1	1	2	3	4	2	1	4	 	 	32	1	8	30
ET3101	2	1	1	2	3	4	2	1	4	 	 	45	1	1	28
ET4151	13	1	5	 	 	 	2	3	 	 	 	30	2	8	6
ET4151	14	1	5	 	 	 	2	3	 	 	 	20	2	8	10
ET4151	15	1	5	 	 	 	2	3	 	 	 	25	1	8	7
ET4151	16	1	5	 	 	 	2	3	 	 	 	24	1	8	14
ET4151	17	1	5	 	 	 	2	3	 	 	 	40	2	8	1
ET4151	18	1	5	 	 	 	2	3	 	 	 	55	2	8	10
ET4151	19	1	5	 	 	 	2	3	 	 	 	45	1	8	10
ET4151	20	1	5	 	 	 	2	3	 	 	 	20	2	8	2
ET4151	21	1	5	 	 	 	2	 	 	 	 	79	2	8	5
ET4151	22	1	5	 	 	 	2	 	 	 	 	18	1	8	1
ET4151	23	1	5	 	 	 	2	 	 	 	 	40	1	8	4
ET4151	24	1	5	 	 	 	2	 	 	 	 	88	1	8	30
ET3091	1	1	1	2	3	4	2	1	4	 	 	41	1	7	41
ET3091	2	1	1	2	3	4	2	1	4	 	 	22	1	9	22
ET1011	1	1	2	3	 	 	2	 	 	 	 	67	1	11	38
ET1011	2	1	2	6	 	 	2	1	 	 	 	65	1	11	23
ET1011	3	1	3	 	 	 	2	4	 	 	 	32	2	2	32
ET1011	4	1	2	 	 	 	2	1	4	 	 	52	1	11	52
ET1011	5	1	3	4	 	 	2	 	 	 	 	52	1	11	22
ET1011	6	1	1	 	 	 	2	4	 	 	 	64	1	11	38
ET1011	7	1	1	4	 	 	2	 	 	 	 	33	1	1	11
ET1011	8	1	1	6	 	 	2	2	 	 	 	36	1	1	2
ET5171	38	1	5	 	 	 	2	 	 	 	 	75	2	1	38
ET5171	39	1	5	 	 	 	2	 	 	 	 	56	2	1	56
ET5171	40	1	5	 	 	 	2	 	 	 	 	69	2	1	47
ET5171	41	1	5	 	 	 	2	 	 	 	 	70	1	1	70
ET5171	42	1	5	 	 	 	2	 	 	 	 	54	1	9	24
ET5171	43	1	5	 	 	 	2	 	 	 	 	56	1	1	18
ET5171	44	1	5	 	 	 	2	 	 	 	 	35	1	1	15
ET5171	45	1	5	 	 	 	2	 	 	 	 	22	1	1	6
ET5171	46	1	5	 	 	 	2	 	 	 	 	45	2	1	28
ET5171	47	1	5	 	 	 	2	 	 	 	 	48	1	9	18
ET5171	48	1	5	 	 	 	2	 	 	 	 	25	2	1	2
ET5171	49	1	5	 	 	 	2	 	 	 	 	23	1	1	23
ET5171	50	1	5	 	 	 	2	 	 	 	 	32	2	1	32
ET5171	51	1	5	 	 	 	2	 	 	 	 	32	2	1	32
ET5181	1	1	 	 	 	 	2	1	 	 	 	23	1	4	5
ET5181	2	1	6	 	 	 	2	2	 	 	 	26	2	3	5
ET5181	3	1	1	4	6	 	2	 	 	 	 	23	1	10	3
ET5181	4	1	1	2	3	6	2	1	4	 	 	46	1	1	46
ET5181	5	1	2	3	4	 	2	4	 	 	 	57	1	11	57
ET5181	6	1	1	2	3	4	2	1	4	 	 	32	1	1	32
ET5181	7	1	5	 	 	 	2	 	 	 	 	47	1	8	6
ET5181	8	1	5	 	 	 	2	 	 	 	 	35	2	8	9
ET5181	9	1	5	 	 	 	2	 	 	 	 	19	2	8	11
ET5181	10	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5181	11	1	5	 	 	 	2	 	 	 	 	32	2	8	32
ET5181	12	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5181	13	1	5	 	 	 	2	 	 	 	 	41	1	8	25
ET5181	14	1	5	 	 	 	2	 	 	 	 	47	1	8	47
ET5181	15	1	5	 	 	 	2	 	 	 	 	38	1	8	15
ET5181	16	1	5	 	 	 	2	 	 	 	 	49	2	8	49
ET5181	17	1	5	 	 	 	2	 	 	 	 	55	1	8	55
ET5181	18	1	5	 	 	 	2	 	 	 	 	59	2	8	59
ET5181	19	1	5	 	 	 	2	 	 	 	 	51	2	8	51
ET5181	20	1	5	 	 	 	2	 	 	 	 	43	2	8	43
ET5181	21	1	5	 	 	 	2	 	 	 	 	48	2	8	48
ET5181	22	1	5	 	 	 	2	 	 	 	 	35	2	8	35
ET5181	23	1	5	 	 	 	2	 	 	 	 	49	2	8	49
ET5181	24	1	5	 	 	 	2	 	 	 	 	38	2	8	38
ET5181	25	1	5	 	 	 	2	 	 	 	 	56	1	8	56
ET5181	26	1	5	 	 	 	2	 	 	 	 	52	1	8	52
ET5181	27	1	5	 	 	 	2	 	 	 	 	29	1	8	29
ET5191	1	1	1	3	4	6	2	1	 	 	 	40	1	1	12
