FORMNO	CHILDID	CROPID	CROP	QNTHARV	QNTUNIT	VLCRSLD	CROPCOST
R28YRS	ET061020	1	44	6	41	0	0
R28YRS	ET061020	2	7	10	41	400	100
R28YRS	ET061020	3	76	10	41	0	180
R28YRS	ET061020	4	15	10	41	0	0
R28YRS	ET061020	5	20	6	41	0	80
R28YRS	ET061020	6	79	4	41	0	0
R28YRS	ET061020	7	46	3	41	360	0
R28YRS	ET061020	8	31	10	55	0	0
R28YRS	ET061021	1	44	1.5	2	0	0
R28YRS	ET061021	2	15	1.5	2	16	0
R28YRS	ET061021	3	76	5	2	150	90
R28YRS	ET061021	4	79	8	2	120	0
R28YRS	ET061021	5	20	.5	2	0	0
R28YRS	ET061021	6	55	5	2	42	0
R28YRS	ET061021	7	7	.5	2	0	0
R28YRS	ET061021	8	5	4	2	50	0
R28YRS	ET061021	9	8	.5	2	0	0
R28YRS	ET061021	10	21	200	56	150	0
R28YRS	ET061022	1	44	4	41	100	0
R28YRS	ET061022	2	7	2	41	0	0
R28YRS	ET061022	3	15	6	41	350	0
R28YRS	ET061022	4	8	10	41	0	200
R28YRS	ET061022	5	31	1	95	0	0
R28YRS	ET061022	6	79	10	41	300	0
R28YRS	ET061022	7	20	3	41	0	180
R28YRS	ET061023	1	44	10	95	200	60
R28YRS	ET061023	2	76	10	95	50	90
R28YRS	ET061023	3	20	7	95	100	20
R28YRS	ET061023	4	15	6	95	0	100
R28YRS	ET061023	5	79	10	95	0	0
R28YRS	ET061024	1	20	60	1	0	20
R28YRS	ET061024	2	8	150	1	0	60
R28YRS	ET061024	3	5	50	1	0	0
R28YRS	ET061024	4	55	2	2	0	40
R28YRS	ET061024	5	7	30	1	20	0
R28YRS	ET061025	1	75	2	2	100	30
R28YRS	ET061025	2	64	2	2	0	10
R28YRS	ET061025	3	64	3	2	0	20
R28YRS	ET061025	4	5	3	2	100	0
R28YRS	ET061025	5	7	2	40	110	20
R28YRS	ET061026	1	7	2	41	90	0
R28YRS	ET061026	2	44	4	41	0	0
R28YRS	ET061026	3	47	30	1	150	0
R28YRS	ET061026	4	76	2	2	100	0
R28YRS	ET061026	5	79	1	2	100	0
R28YRS	ET061026	6	20	1	2	60	0
R28YRS	ET061028	1	20	10	22	50	30
R28YRS	ET061028	2	5	8	22	0	20
R28YRS	ET061028	3	76	14	22	150	10
R28YRS	ET061028	4	21	125	56	0	0
R28YRS	ET061029	1	44	8	41	150	0
R28YRS	ET061029	2	5	3	95	170	0
R28YRS	ET061029	3	75	3	95	120	0
R28YRS	ET061029	4	79	5	41	100	0
R28YRS	ET061029	5	7	2	41	250	0
R28YRS	ET061029	6	76	4	41	200	100
R28YRS	ET061029	7	50	3	41	400	0
R28YRS	ET061029	8	20	3	41	100	50
R28YRS	ET061029	9	31	20	55	0	0
R28YRS	ET061031	1	44	1	2	25	0
R28YRS	ET061031	2	75	.5	2	20	0
R28YRS	ET061031	3	8	.5	2	15	0
R28YRS	ET061031	4	5	1	2	0	0
R28YRS	ET061031	5	76	.5	2	40	0
R28YRS	ET061031	6	15	.5	2	0	0
R28YRS	ET061031	7	79	2	2	40	0
R28YRS	ET061033	1	44	5	2	100	100
R28YRS	ET061033	2	47	1.5	2	300	0
R28YRS	ET061033	3	123	1	2	200	0
R28YRS	ET061033	4	79	3.5	2	90	0
R28YRS	ET061033	5	5	2.5	2	0	0
R28YRS	ET061033	6	76	3	2	500	150
R28YRS	ET061033	7	8	3	2	200	100
R28YRS	ET061033	8	125	1.5	2	0	0
R28YRS	ET061033	9	23	1.5	2	0	0
R28YRS	ET061034	1	79	10	22	0	25
R28YRS	ET061034	2	76	7	22	0	20
R28YRS	ET061034	3	20	5	22	0	15
R28YRS	ET061034	4	7	4	22	150	10
R28YRS	ET061034	5	21	30	56	0	0
R28YRS	ET061036	1	44	1	2	0	0
R28YRS	ET061036	2	21	80	60	0	10
R28YRS	ET061036	3	75	4	2	300	75
R28YRS	ET061036	4	79	1.5	2	0	30
R28YRS	ET061036	5	20	1.5	2	0	20
R28YRS	ET061036	6	55	2	2	0	60
R28YRS	ET061037	1	8	8	22	30	60
R28YRS	ET061037	2	5	4	22	50	40
R28YRS	ET061037	3	124	2	22	0	10
R28YRS	ET061037	4	96	20	56	10	0
R28YRS	ET061037	5	44	2	22	0	3
R28YRS	ET061038	1	15	2	22	30	20
R28YRS	ET061038	2	55	4	22	0	50
R28YRS	ET061038	3	31	50	10	250	0
R28YRS	ET061038	4	8	2	22	0	15
R28YRS	ET061038	5	44	6	22	0	5
R28YRS	ET061038	6	21	50	56	0	0
R28YRS	ET061038	7	44	2	41	0	5
R28YRS	ET061039	1	5	60	1	80	50
R28YRS	ET061039	2	76	90	1	250	30
R28YRS	ET061039	3	31	31	55	240	80
R28YRS	ET061039	4	64	100	1	120	0
R28YRS	ET061039	5	124	60	1	100	50
R28YRS	ET061040	1	41	10	41	600	122
R28YRS	ET061040	2	76	3	22	250	90
R28YRS	ET061040	3	31	30	55	400	350
R28YRS	ET061040	4	64	3	41	60	15
R28YRS	ET061040	5	21	6	56	250	1
R28YRS	ET061041	1	44	3	41	25	0
R28YRS	ET061041	2	124	1	99	50	0
R28YRS	ET061041	3	8	4	41	22	0
R28YRS	ET061044	1	79	7	22	90	70
R28YRS	ET061044	2	15	3	22	100	80
R28YRS	ET061044	3	8	11	22	150	150
R28YRS	ET061044	4	44	3	22	0	10
R28YRS	ET061044	6	20	3	22	0	20
R28YRS	ET061044	7	47	1	22	100	20
R28YRS	ET061046	1	31	10	10	0	0
R28YRS	ET061046	2	15	2	22	0	20
R28YRS	ET061046	3	44	4	22	0	10
R28YRS	ET061046	4	75	2	22	0	40
R28YRS	ET061047	1	44	3	2	200	100
R28YRS	ET061047	2	7	50	1	70	0
R28YRS	ET061047	3	5	12	95	100	100
R28YRS	ET061047	4	75	14	95	0	0
R28YRS	ET061047	5	8	20	95	0	100
R28YRS	ET061047	6	19	6	95	0	0
R28YRS	ET061047	7	124	5	95	0	0
R28YRS	ET061047	8	47	20	1	60	0
R28YRS	ET061049	1	55	5	95	0	50
R28YRS	ET061049	2	44	4	95	40	0
R28YRS	ET061049	3	15	5	95	400	60
R28YRS	ET061049	4	79	10	95	100	20
R28YRS	ET061049	5	76	4	95	100	0
R28YRS	ET061049	6	88	2	95	180	300
R28YRS	ET061050	1	44	2	2	0	20
R28YRS	ET061050	2	55	6	2	0	100
R28YRS	ET061050	3	79	4	2	0	0
R28YRS	ET061050	4	15	3	2	800	70
R28YRS	ET061050	5	8	1	2	0	30
R28YRS	ET061050	6	55	20	9	500	150
R28YRS	ET061050	7	7	1	2	0	0
R28YRS	ET061051	1	47	2	95	150	0
R28YRS	ET061051	2	7	3	41	140	0
R28YRS	ET061051	3	75	12	95	0	0
R28YRS	ET061051	4	5	10	95	0	0
R28YRS	ET061051	5	8	9	95	70	190
R28YRS	ET061051	6	20	8	95	0	0
R28YRS	ET061051	7	44	4	95	0	0
R28YRS	ET061051	8	31	10	55	0	0
R28YRS	ET061051	9	27	2	41	100	0
R28YRS	ET061052	1	44	8	9	150	15
R28YRS	ET061052	2	76	4	9	740	90
R28YRS	ET061052	4	20	3	9	260	30
R28YRS	ET061052	5	5	6	40	720	200
R28YRS	ET061053	1	44	1	40	0	20
R28YRS	ET061053	2	8	10	9	290	140
R28YRS	ET061053	3	79	3	9	150	30
R28YRS	ET061053	4	47	4	9	420	17
R28YRS	ET061053	5	7	1	40	0	4
R28YRS	ET061053	6	50	2	40	350	140
R28YRS	ET061053	9	55	18	41	400	120
R28YRS	ET061054	1	44	1	2	0	20
R28YRS	ET061054	2	8	.5	2	0	20
R28YRS	ET061054	3	7	.5	2	0	0
R28YRS	ET061054	4	47	.5	2	70	20
R28YRS	ET061056	1	8	1	9	0	0
R28YRS	ET061056	2	75	8	9	0	0
R28YRS	ET061057	1	76	10	22	0	105
R28YRS	ET061057	2	47	6	22	600	25
R28YRS	ET061057	4	44	4	22	0	15
R28YRS	ET061057	5	55	3	40	0	95
R28YRS	ET061057	6	96	30	56	0	0
R28YRS	ET061057	7	96	15	56	0	0
R28YRS	ET061058	2	8	2	22	0	20
R28YRS	ET061058	3	44	3	22	35	10
R28YRS	ET061058	5	55	21	41	25	16
R28YRS	ET071001	1	124	3	41	130	0
R28YRS	ET071001	2	96	6	41	0	0
R28YRS	ET071001	3	5	4	41	90	0
R28YRS	ET071001	4	31	5	55	0	0
R28YRS	ET071002	1	5	3	9	100	38
R28YRS	ET071002	2	75	4	9	50	74
R28YRS	ET071002	3	55	14	9	50	0
R28YRS	ET071002	4	124	4	9	120	21.5
R28YRS	ET071002	5	21	20	56	600	0
R28YRS	ET071002	6	21	20	88	-88	-88
R28YRS	ET071003	1	5	10	9	0	0
R28YRS	ET071003	2	75	4	9	0	0
R28YRS	ET071003	3	19	3	9	200	0
R28YRS	ET071003	4	43	1	9	50	0
R28YRS	ET071003	5	55	2	41	0	10
R28YRS	ET071004	1	5	7	40	40	120
R28YRS	ET071004	2	75	13	40	170	120
R28YRS	ET071004	3	55	10	40	124	0
R28YRS	ET071004	4	50	20	40	0	0
R28YRS	ET071004	5	21	20	56	0	0
R28YRS	ET071005	1	10	8	10	0	20
R28YRS	ET071005	2	21	80	56	800	40
R28YRS	ET071005	3	96	3	41	0	0
R28YRS	ET071005	4	55	1	41	50	20
R28YRS	ET071005	5	75	1	41	0	100
R28YRS	ET071005	6	125	4	41	1200	40
R28YRS	ET071006	1	21	20	60	300	50
R28YRS	ET071006	2	10	6	3	60	10
R28YRS	ET071006	3	5	6	2	100	50
R28YRS	ET071006	4	124	1	2	0	9
R28YRS	ET071006	5	55	15	40	150	10
R28YRS	ET071006	6	43	3	2	175	50
R28YRS	ET071007	1	55	20	41	500	40
R28YRS	ET071007	2	75	4	41	0	300
R28YRS	ET071007	3	5	10	41	0	200
R28YRS	ET071007	4	125	2.5	41	0	100
R28YRS	ET071008	1	5	4	2	200	0
R28YRS	ET071008	2	125	.5	2	0	0
R28YRS	ET071008	3	55	5	41	20	25
R28YRS	ET071008	4	96	3	2	50	0
R28YRS	ET071009	1	55	15	41	300	0
R28YRS	ET071009	2	5	30	41	100	0
R28YRS	ET071009	3	124	5	41	150	0
R28YRS	ET071009	4	21	80	56	300	0
R28YRS	ET071010	1	75	10	41	250	0
R28YRS	ET071010	2	55	8	41	160	0
R28YRS	ET071010	3	21	50	56	400	0
R28YRS	ET071011	1	21	25	60	300	4
R28YRS	ET071011	2	10	2	6	20	4
R28YRS	ET071011	3	23	3	9	0	80
R28YRS	ET071011	4	75	4	9	0	120
R28YRS	ET071011	5	55	11	41	85	40
R28YRS	ET071012	1	5	3	2	70	30
R28YRS	ET071012	2	55	12	41	60	24
R28YRS	ET071012	3	75	1	2	0	0
R28YRS	ET071012	4	96	1	2	30	0
R28YRS	ET071012	5	10	10	56	3	1
R28YRS	ET071012	6	21	10	56	100	0
R28YRS	ET071013	1	5	5	41	60	100
R28YRS	ET071013	2	75	2	41	120	100
R28YRS	ET071013	3	124	1	41	50	50
R28YRS	ET071014	1	23	1	2	100	0
R28YRS	ET071014	2	96	1.5	2	0	0
R28YRS	ET071014	3	55	4	2	20	0
R28YRS	ET071014	4	21	12	56	96	0
R28YRS	ET071015	1	50	5	49	0	40
R28YRS	ET071015	2	5	6	9	0	50
R28YRS	ET071015	3	75	10	9	0	80
R28YRS	ET071016	1	55	5	40	0	40
R28YRS	ET071016	2	5	10	2	100	100
R28YRS	ET071016	3	124	6	2	100	300
R28YRS	ET071017	1	5	6	40	600	0
R28YRS	ET071017	2	55	5	40	50	20
R28YRS	ET071017	3	75	2	40	0	80
R28YRS	ET071017	4	43	1	40	0	15
R28YRS	ET071017	5	124	2	40	0	0
R28YRS	ET071018	1	21	20	56	150	-77
R28YRS	ET071018	2	96	5	9	80	130
R28YRS	ET071018	3	5	20	9	200	130
R28YRS	ET071018	4	55	20	9	60	60
R28YRS	ET071019	1	21	-77	56	1000	0
R28YRS	ET071019	2	19	2	41	0	180
R28YRS	ET071020	1	125	2	2	0	16
R28YRS	ET071020	2	75	4	2	0	28
R28YRS	ET071020	3	96	4	2	0	0
R28YRS	ET071020	4	55	10	2	0	16
R28YRS	ET071020	5	5	1	1	0	0
R28YRS	ET071021	1	5	10	40	50	100
R28YRS	ET071021	2	75	5	40	120	100
R28YRS	ET071021	3	55	5	40	90	80
R28YRS	ET071021	4	124	6	40	0	150
R28YRS	ET071022	1	5	4	2	110	30
R28YRS	ET071022	2	96	5	2	20	20
R28YRS	ET071022	3	125	1	2	0	0
R28YRS	ET071022	4	55	3	2	25	0
R28YRS	ET071024	1	5	4	10	0	5
R28YRS	ET071024	2	96	4	41	0	0
R28YRS	ET071024	3	43	1	41	30	0
R28YRS	ET071024	4	5	6	9	180	0
R28YRS	ET071024	5	124	1.5	9	70	0
R28YRS	ET071025	1	10	20	3	60	10
R28YRS	ET071025	2	12	3	2	100	30
R28YRS	ET071025	3	75	15	2	100	100
R28YRS	ET071025	4	124	5	2	1000	100
R28YRS	ET071025	5	23	3	2	1100	50
R28YRS	ET071026	1	55	5	2	80	100
R28YRS	ET071026	2	96	5	2	50	200
R28YRS	ET071026	3	125	.5	2	0	0
R28YRS	ET071026	4	5	6	2	70	120
R28YRS	ET071026	5	88	.5	2	0	20
R28YRS	ET071027	1	55	2.5	2	18	10
R28YRS	ET071027	2	5	2	2	0	15
R28YRS	ET071027	3	125	.5	2	80	0
R28YRS	ET071027	4	96	.5	2	0	0
R28YRS	ET071027	5	21	10	56	80	0
R28YRS	ET071028	1	5	3	9	0	0
R28YRS	ET071028	2	55	16	9	0	90
R28YRS	ET071028	3	75	4	9	0	30
R28YRS	ET071028	4	5	5	9	50	50
R28YRS	ET071028	5	5	2	9	70	0
R28YRS	ET071028	6	5	3	9	0	0
R28YRS	ET071028	7	21	60	56	40	0
R28YRS	ET071029	1	5	8	41	60	0
R28YRS	ET071029	2	75	7	41	130	0
R28YRS	ET071029	3	43	3	41	50	0
R28YRS	ET071029	4	21	600	56	600	0
R28YRS	ET071029	5	125	4	41	0	0
R28YRS	ET071030	1	21	40	56	200	0
R28YRS	ET071030	2	124	1	9	0	30
R28YRS	ET071030	3	76	8	9	0	200
R28YRS	ET071030	4	19	2	9	0	22
R28YRS	ET071030	5	96	5	9	0	30
R28YRS	ET071031	1	75	10	40	50	0
R28YRS	ET071031	2	5	7	40	100	0
R28YRS	ET071031	3	124	2	40	0	0
R28YRS	ET071031	4	55	10	40	0	100
R28YRS	ET071031	5	43	1	40	47	0
R28YRS	ET071032	1	21	3	56	15	0
R28YRS	ET071032	2	5	3	41	100	0
R28YRS	ET071032	3	124	1	41	60	0
R28YRS	ET071032	4	96	10	1	0	0
R28YRS	ET071032	5	75	5	1	0	0
R28YRS	ET071032	6	31	4	55	40	0
R28YRS	ET071033	1	21	20	56	60	0
R28YRS	ET071033	2	96	4	41	0	0
R28YRS	ET071033	3	124	3	41	80	0
R28YRS	ET071033	4	5	5	41	90	0
R28YRS	ET071033	5	55	12	41	40	0
R28YRS	ET071033	6	43	.5	41	0	0
R28YRS	ET071033	7	31	7	55	40	0
R28YRS	ET071035	1	5	5	41	90	-77
R28YRS	ET071035	2	75	2	41	60	-77
R28YRS	ET071035	3	43	1	41	20	-77
R28YRS	ET071035	4	21	100	56	40	-77
R28YRS	ET071036	1	5	16	40	320	0
R28YRS	ET071036	2	96	8	40	100	0
R28YRS	ET071036	3	75	5	40	25	0
R28YRS	ET071036	4	21	70	56	100	0
R28YRS	ET071037	1	21	38	56	900	0
R28YRS	ET071037	2	5	4	9	0	0
R28YRS	ET071037	3	75	1	9	0	0
R28YRS	ET071037	4	124	1	9	0	0
R28YRS	ET071038	1	55	1.5	40	0	10
R28YRS	ET071038	2	5	10	40	20	35
R28YRS	ET071038	3	43	2	40	0	15
R28YRS	ET071038	4	124	5	40	30	40
R28YRS	ET071039	1	5	2	2	100	0
R28YRS	ET071039	2	125	2	2	300	0
R28YRS	ET071039	3	96	4	2	0	0
R28YRS	ET071039	4	10	10	56	0	0
R28YRS	ET071039	5	75	1.5	2	0	0
R28YRS	ET071040	1	55	5	2	0	50
R28YRS	ET071040	2	124	2	2	180	0
R28YRS	ET071040	3	5	2	1	0	100
R28YRS	ET071042	1	21	100	56	250	0
R28YRS	ET071044	1	21	10	56	100	0
R28YRS	ET071044	2	55	10	9	0	100
R28YRS	ET071044	3	55	5	9	0	40
R28YRS	ET071044	4	124	4	9	0	50
R28YRS	ET071044	5	96	6	9	0	100
R28YRS	ET071044	6	55	3	9	0	50
R28YRS	ET071044	7	43	2	9	0	40
R28YRS	ET071045	1	21	-77	60	600	0
R28YRS	ET071045	2	75	6	9	0	30
R28YRS	ET071045	3	124	3	9	50	30
R28YRS	ET071045	4	50	4	6	40	0
R28YRS	ET071045	5	96	3	9	0	0
R28YRS	ET071046	1	5	4	49	0	20
R28YRS	ET071046	2	55	10	40	80	60
R28YRS	ET071046	3	75	30	40	0	100
R28YRS	ET071047	1	21	60	56	100	0
R28YRS	ET071047	2	10	6	6	0	0
R28YRS	ET071047	3	96	7	40	100	0
R28YRS	ET071048	1	124	4	9	0	0
R28YRS	ET071049	1	21	100	56	100	0
R28YRS	ET071049	2	124	1	40	0	0
R28YRS	ET071049	3	5	1	40	0	0
R28YRS	ET071049	4	75	2	40	0	0
R28YRS	ET071049	5	19	3	40	0	0
R28YRS	ET071050	1	21	100	60	1500	40
R28YRS	ET071050	2	96	10	2	500	120
R28YRS	ET071050	3	43	2	2	250	34
R28YRS	ET071050	4	5	3	2	350	60
R28YRS	ET081001	1	44	15	2	0	336
R28YRS	ET081001	2	75	4	2	0	300
R28YRS	ET081001	3	8	2	2	0	200
R28YRS	ET081001	4	50	35	2	3500	2500
R28YRS	ET081002	1	44	6	2	0	250
R28YRS	ET081002	2	76	2	2	0	400
R28YRS	ET081003	1	8	4	2	0	300
R28YRS	ET081003	2	44	12	2	600	300
R28YRS	ET081003	3	70	1000	56	400	400
R28YRS	ET081003	4	50	39	2	3800	2500
R28YRS	ET081003	5	39	10	40	2000	500
R28YRS	ET081004	1	44	6	2	0	410
R28YRS	ET081005	1	44	3	2	0	170
R28YRS	ET081006	1	44	8	2	0	720
R28YRS	ET081006	2	35	150	1	160	175
R28YRS	ET081006	3	8	50	1	0	200
R28YRS	ET081007	1	44	14	2	0	670
R28YRS	ET081007	2	76	70	1	0	190
R28YRS	ET081007	3	39	10	41	800	600
R28YRS	ET081007	4	10	8	41	600	320
R28YRS	ET081007	5	35	2	2	440	230
R28YRS	ET081007	6	75	2.70000004768372	2	0	300
R28YRS	ET081007	7	50	4	2	430	220
R28YRS	ET081008	1	44	25	2	0	950
R28YRS	ET081008	2	50	75	2	15000	8000
R28YRS	ET081009	1	44	3	2	0	200
R28YRS	ET081010	1	76	1.5	2	0	260
R28YRS	ET081010	2	44	6	2	0	230
R28YRS	ET081010	3	35	2	2	500	180
R28YRS	ET081010	4	50	11	2	2200	600
R28YRS	ET081011	1	44	22	2	0	747
R28YRS	ET081011	2	75	5	2	700	634
R28YRS	ET081011	3	50	80	2	16000	8900
R28YRS	ET081012	1	44	9	2	0	270
R28YRS	ET081012	2	75	2	2	0	90
R28YRS	ET081013	1	44	.5	2	0	100
R28YRS	ET081014	1	44	6.5	2	0	440
R28YRS	ET081014	2	5	2	2	0	240
R28YRS	ET081014	3	75	2.5	2	0	135
R28YRS	ET081014	4	8	.5	2	0	131
R28YRS	ET081014	5	35	.5	2	0	90
R28YRS	ET081015	1	44	2	2	0	30
R28YRS	ET081015	2	50	53	40	10600	5500
R28YRS	ET081015	3	31	-77	88	0	0
R28YRS	ET081015	4	21	0	88	0	0
R28YRS	ET081016	1	44	4	2	0	220
R28YRS	ET081016	2	75	4	2	0	185
R28YRS	ET081016	3	5	3	2	0	130
R28YRS	ET081016	4	50	1	95	10000	9650
R28YRS	ET081017	1	44	8	2	240	170
R28YRS	ET081017	2	8	1	2	0	80
R28YRS	ET081018	1	44	8	2	300	250
R28YRS	ET081018	2	76	2	2	400	200
R28YRS	ET081018	3	75	2	2	120	200
R28YRS	ET081019	1	44	20	2	875	500
R28YRS	ET081019	2	5	2	2	0	150
