FORMNO	CHILDID	SASSID	SASSET	NUMSRNT	NUMSASS	VALSASS	DECSASS
R28YRS	ET081042	1	30	0	0	0	1
R28YRS	ET081043	1	30	0	1	200	1
R28YRS	ET081043	2	30	0	1	120	1
R28YRS	ET081044	1	30	0	2	6	2
R28YRS	ET081046	1	1	1	0	0	90
R28YRS	ET081047	1	30	0	5	15	80
R28YRS	ET081048	1	30	1	0	-88	90
R28YRS	ET081049	1	1	1	0	0	90
R28YRS	ET081050	1	1	0	2	25	1
R28YRS	ET091002	1	1	0	4	36	80
R28YRS	ET091002	2	4	0	1	30	80
R28YRS	ET091013	1	4	0	1	100	1
R28YRS	ET091015	1	30	0	1	200	80
R28YRS	ET091015	2	23	0	3	6	80
R28YRS	ET091019	1	15	0	15	80	2
R28YRS	ET091021	1	19	0	2	15	2
R28YRS	ET091021	2	15	0	10	20	2
R28YRS	ET091029	1	15	0	8	41.25	1
R28YRS	ET091029	2	15	1	0	24	1
R28YRS	ET091030	1	1	0	6	61	1
R28YRS	ET091031	1	15	0	1	35	2
R28YRS	ET091033	1	30	0	3	20	1
R28YRS	ET091034	1	1	2	1	35	1
R28YRS	ET091039	1	23	0	1	15	80
R28YRS	ET091050	1	23	0	1	15	1
R28YRS	ET101001	1	23	0	5	125.5	1
R28YRS	ET101003	1	30	0	4	20	80
R28YRS	ET101005	1	15	0	1	100	2
R28YRS	ET101007	1	30	0	2	12	2
R28YRS	ET101007	2	30	0	1	8	2
R28YRS	ET101007	3	30	0	2	2	2
R28YRS	ET101008	1	13	0	7	250	3
R28YRS	ET101010	1	30	0	6	20	1
R28YRS	ET101011	1	30	0	1	150	80
R28YRS	ET101012	1	30	0	4	33	2
R28YRS	ET101014	1	12	0	-77	-77	1
R28YRS	ET101015	1	1	0	4	110	2
R28YRS	ET101016	1	30	0	1	350	80
R28YRS	ET101017	1	15	0	2	35	2
R28YRS	ET101017	2	19	0	10	35	2
R28YRS	ET101018	1	30	0	4	20	80
R28YRS	ET101019	1	15	0	5	250	2
R28YRS	ET101020	1	15	0	6	119	2
R28YRS	ET101022	1	15	0	4	300	2
R28YRS	ET101022	2	19	0	3	45	2
R28YRS	ET101024	1	15	0	7	370	2
R28YRS	ET101024	2	19	0	5	40	2
R28YRS	ET101025	1	15	0	4	230	3
R28YRS	ET101025	2	19	0	18	70	3
R28YRS	ET101028	1	30	0	2	60	3
R28YRS	ET101029	1	15	0	5	200	2
R28YRS	ET101030	1	15	0	6	90	2
R28YRS	ET101031	1	30	0	3	10	2
R28YRS	ET101032	1	30	-88	-88	-88	88
R28YRS	ET101033	1	23	0	4	900	80
R28YRS	ET101034	1	1	0	2	60	80
R28YRS	ET101035	1	30	0	3	50	80
R28YRS	ET101037	1	15	0	7	516	1
R28YRS	ET101038	1	15	0	6	151	2
R28YRS	ET101039	1	30	0	4	40	2
R28YRS	ET101045	1	15	0	8	111	2
R28YRS	ET101046	1	1	-88	3	250	80
R28YRS	ET111002	1	30	0	4	70	1
R28YRS	ET111005	1	13	0	2	120	1
R28YRS	ET111006	1	30	0	3	70	4
R28YRS	ET111008	1	13	0	4	199	1
R28YRS	ET111012	1	1	0	6	11	80
R28YRS	ET111015	1	15	0	8	120	80
R28YRS	ET111017	1	15	0	13	73	2
R28YRS	ET111022	1	19	0	1	40	2
R28YRS	ET111022	2	15	0	2	35	2
R28YRS	ET111024	1	15	0	5	100	1
R28YRS	ET111028	1	15	0	6	180	80
R28YRS	ET111033	1	15	0	3	120	2
R28YRS	ET111034	1	15	0	32	127.5	2
R28YRS	ET111036	1	13	0	4	170	3
R28YRS	ET111037	1	39	0	1	580	80
R28YRS	ET111040	1	30	-88	-88	-88	88
R28YRS	ET111045	1	1	12	0	-77	90
R28YRS	ET111046	1	15	1	3	135	1
R28YRS	ET111047	1	13	0	5	600	1
R28YRS	ET111048	1	15	0	4	150	5
R28YRS	ET121001	1	12	0	3	10	0
R28YRS	ET121003	1	1	0	3	5	1
R28YRS	ET121004	1	15	0	4	23	2
R28YRS	ET121009	1	15	0	5	50	2
R28YRS	ET121009	2	25	1	0	-88	90
R28YRS	ET121011	1	2	0	1	5000	80
R28YRS	ET121012	1	1	2	0	-88	88
R28YRS	ET121013	1	2	0	1	500	80
R28YRS	ET121014	1	30	0	6	6	2
R28YRS	ET121015	1	23	0	2	10	2
R28YRS	ET121021	1	1	1	1	.5	1
R28YRS	ET121023	1	1	0	8	300	1
R28YRS	ET121027	1	2	0	1	5000	1
R28YRS	ET121028	1	30	0	1	2	2
R28YRS	ET121031	1	23	0	2	10	1
R28YRS	ET121038	1	2	0	1	500	2
R28YRS	ET121038	2	30	1	2	15	2
R28YRS	ET121043	1	23	0	5	13.1999998092651	2
R28YRS	ET121043	2	23	0	4	12	3
R28YRS	ET121048	1	39	0	2	10	2
R28YRS	ET121048	2	2	0	1	300	1
R28YRS	ET121054	1	30	0	3	5	2
R28YRS	ET121055	1	1	0	2	15	80
R28YRS	ET131002	1	15	0	26	103	2
R28YRS	ET131005	1	23	0	8	1225	80
R28YRS	ET131007	1	15	0	41	110	80
R28YRS	ET131009	1	15	0	13	200	80
R28YRS	ET131011	1	19	0	2	30	2
R28YRS	ET131012	1	15	0	22	80	2
R28YRS	ET131014	1	15	0	2	10	2
R28YRS	ET131017	1	25	0	2	400000	80
R28YRS	ET131018	1	23	2	0	14	90
R28YRS	ET131020	1	13	0	10	100	1
R28YRS	ET131021	1	19	0	4	40	2
R28YRS	ET131024	1	30	1	3	35	80
R28YRS	ET131025	1	15	0	4	15	80
R28YRS	ET131027	1	15	0	19	45	2
R28YRS	ET131029	1	1	0	3	55	1
R28YRS	ET131031	1	17	0	13	50	16
R28YRS	ET131031	2	25	0	3	900	16
R28YRS	ET131035	1	23	0	4	90	1
R28YRS	ET131036	1	25	0	1	250000	1
R28YRS	ET131038	1	1	88	10	50	1
R28YRS	ET131040	1	15	0	3	50	80
R28YRS	ET131041	1	23	0	6	580	2
R28YRS	ET131042	1	15	0	8	40	2
R28YRS	ET131045	1	30	2	0	51	90
R28YRS	ET131050	1	25	0	1	250000	1
R28YRS	ET141001	1	30	-88	-88	-88	88
R28YRS	ET141002	1	30	-88	-88	-88	88
R28YRS	ET141004	1	30	-88	-88	-88	88
R28YRS	ET141005	1	15	0	5	20	2
R28YRS	ET141006	1	15	0	16	100	2
R28YRS	ET141007	1	17	0	5	350	6
R28YRS	ET141009	1	30	-88	-88	-88	88
R28YRS	ET141015	1	8	2	0	-88	90
R28YRS	ET141019	1	30	0	1	1500	1
R28YRS	ET141020	1	30	-88	-88	-88	88
R28YRS	ET141022	1	30	-88	-88	-88	88
R28YRS	ET141025	1	30	-88	-88	-88	88
R28YRS	ET141026	1	30	-88	-88	-88	88
R28YRS	ET141028	1	23	0	4	400	2
R28YRS	ET141029	1	30	-88	-88	-88	88
R28YRS	ET141031	1	30	-88	-88	-88	88
R28YRS	ET141034	1	27	0	1	30000	3
R28YRS	ET141035	1	23	0	5	264	2
R28YRS	ET141036	1	27	0	7	15000	1
R28YRS	ET141041	1	13	0	2	32	1
R28YRS	ET141043	1	23	0	1	200	2
R28YRS	ET141044	1	30	-88	-88	-88	88
R28YRS	ET141046	1	30	-88	-88	-88	88
R28YRS	ET141049	1	27	0	5	24000	2
R28YRS	ET141050	1	15	0	4	50	0
R28YRS	ET151001	1	30	-88	-88	-88	88
R28YRS	ET151002	1	23	0	5	1000	3
R28YRS	ET151004	1	1	0	2	12	1
R28YRS	ET151009	1	30	-88	-88	-88	88
R28YRS	ET151010	1	15	0	12	180	2
R28YRS	ET151011	1	30	-88	-88	-88	88
R28YRS	ET151012	1	30	-88	-88	-88	88
R28YRS	ET151015	1	30	-88	-88	-88	88
R28YRS	ET151016	1	1	0	3	50	1
R28YRS	ET151019	1	1	0	2	50	1
R28YRS	ET151020	1	20	0	1	80	1
R28YRS	ET151023	1	23	0	7	15	2
R28YRS	ET151024	1	15	0	9	500	2
R28YRS	ET151025	1	15	0	10	600	2
R28YRS	ET151026	1	23	0	7	30	2
R28YRS	ET151026	2	30	0	1	700	80
R28YRS	ET151029	1	30	-88	-88	-88	88
R28YRS	ET151031	1	23	0	80	90	1
R28YRS	ET151035	1	23	1	71	255	1
R28YRS	ET151041	1	1	0	6	75	80
R28YRS	ET151044	1	1	0	3	15	2
R28YRS	ET151052	1	30	-88	-88	-88	88
R28YRS	ET151054	1	1	0	2	10	1
R28YRS	ET151056	1	23	0	3	50	1
R28YRS	ET151057	1	1	0	4	16	1
R28YRS	ET151058	1	23	0	2	5	2
R28YRS	ET151059	1	1	0	5	20	2
R28YRS	ET151064	1	1	0	1	10	1
R28YRS	ET151066	1	1	0	2	24	1
R28YRS	ET151068	1	30	-88	-88	-88	88
R28YRS	ET161001	1	1	3	0	-88	90
R28YRS	ET161011	1	23	2	6	150	5
R28YRS	ET161015	1	1	0	3	90	1
R28YRS	ET161020	1	1	0	6	300	1
R28YRS	ET161020	2	99	0	4	74	1
R28YRS	ET161023	1	1	0	1	25	1
R28YRS	ET161026	1	1	2	5	75	80
R28YRS	ET161029	1	1	0	9	229	1
R28YRS	ET161029	2	4	1	0	-88	90
R28YRS	ET161033	1	1	0	6	100	1
R28YRS	ET161033	2	8	0	4	85	1
R28YRS	ET161035	1	15	0	8	200	1
R28YRS	ET161037	1	1	0	3	14	1
R28YRS	ET161037	2	4	0	1	10	1
R28YRS	ET161037	3	8	0	1	0	1
R28YRS	ET161042	1	20	0	2	40	17
R28YRS	ET161043	1	4	0	1	30	1
R28YRS	ET161043	2	1	0	4	65	1
R28YRS	ET161043	3	8	0	6	75	2
R28YRS	ET161044	1	1	0	2	6	2
R28YRS	ET161044	2	4	0	1	2	2
R28YRS	ET161044	3	8	0	1	15	2
R28YRS	ET171002	1	30	0	1	25	1
R28YRS	ET171003	1	1	0	1	15	1
R28YRS	ET171005	1	1	0	1	13	80
R28YRS	ET171008	1	1	4	0	-77	90
R28YRS	ET171009	1	13	0	8	160	80
R28YRS	ET171010	1	1	0	1	20	80
R28YRS	ET171011	1	1	0	2	30	80
R28YRS	ET171012	1	1	4	1	17	80
R28YRS	ET171015	1	1	0	1	10	80
R28YRS	ET171016	1	1	0	2	40	80
R28YRS	ET171017	1	13	0	6	100	80
R28YRS	ET171019	1	13	0	6	150	8
R28YRS	ET171021	1	1	0	12	230	80
R28YRS	ET171021	2	4	0	2	280	80
R28YRS	ET171021	3	8	0	7	110	80
R28YRS	ET171024	1	30	0	6	14500	80
R28YRS	ET171025	1	23	0	2	1200	80
R28YRS	ET171026	1	1	0	3	38	1
R28YRS	ET171027	1	1	0	1	45	80
R28YRS	ET171029	1	1	0	2	12	80
R28YRS	ET171032	1	30	0	6	10000	1
R28YRS	ET171034	1	9	0	1	110	1
R28YRS	ET171035	1	1	0	1	15	80
R28YRS	ET171037	1	13	0	3	49	1
R28YRS	ET171042	1	1	0	2	35	80
R28YRS	ET171043	1	1	0	1	20	80
R28YRS	ET171045	1	1	0	1	15	80
R28YRS	ET171046	1	1	4	0	-77	90
R28YRS	ET181001	1	1	0	5	120	80
R28YRS	ET181002	1	1	0	2	60	0
R28YRS	ET181003	1	1	0	2	60	1
R28YRS	ET181004	1	1	0	2	50	1
R28YRS	ET181005	1	1	0	1	12	80
R28YRS	ET181006	1	1	1	1	8	80
R28YRS	ET181007	1	1	0	1	7	1
R28YRS	ET181008	1	1	3	0	-88	88
R28YRS	ET181009	1	1	0	2	20	80
R28YRS	ET181010	1	1	2	2	25	1
R28YRS	ET181011	1	1	0	2	50	1
R28YRS	ET181012	1	1	0	2	30	1
R28YRS	ET181013	1	1	0	3	68	3
R28YRS	ET181014	1	1	0	2	40	80
R28YRS	ET181015	1	1	1	3	100	1
R28YRS	ET181016	1	1	1	0	6	90
R28YRS	ET181017	1	1	2	0	88	88
R28YRS	ET181018	1	1	1	0	-88	77
R28YRS	ET181019	1	1	0	2	30	1
R28YRS	ET181020	1	1	2	0	88	88
R28YRS	ET181021	1	13	0	18	340	1
R28YRS	ET181023	1	1	2	0	-88	1
R28YRS	ET181024	1	1	2	0	-88	88
R28YRS	ET181026	1	1	0	10	130	1
R28YRS	ET181026	2	4	0	2	120	1
R28YRS	ET181028	1	1	2	0	-88	88
R28YRS	ET181029	1	1	1	0	40	77
R28YRS	ET181031	1	1	2	0	-88	88
R28YRS	ET181033	1	30	0	1	5	80
R28YRS	ET181033	2	1	0	3	10	80
R28YRS	ET181034	1	1	0	3	50	1
R28YRS	ET181035	1	13	0	5	80	1
R28YRS	ET181036	1	1	1	2	20	1
R28YRS	ET181038	1	1	0	1	6	80
R28YRS	ET181039	1	1	0	2	28	80
R28YRS	ET181040	1	1	0	2	50	1
R28YRS	ET181041	1	1	1	0	-88	88
R28YRS	ET181042	1	1	2	0	-88	88
R28YRS	ET181044	1	1	2	0	-88	88
R28YRS	ET181045	1	1	2	0	-88	88
R28YRS	ET181046	1	13	0	6	300	1
R28YRS	ET181047	1	1	2	0	-88	88
R28YRS	ET181048	1	1	1	1	10	1
R28YRS	ET181049	1	1	5	0	-88	88
R28YRS	ET181050	3	1	0	1	12	1
R28YRS	ET191002	1	15	0	1	20	1
R28YRS	ET191003	1	15	0	1	200	3
R28YRS	ET191004	1	1	2	0	-88	88
R28YRS	ET191005	1	1	1	0	-88	88
R28YRS	ET191006	1	21	0	1	2000	80
R28YRS	ET191007	1	30	0	1	6	2
R28YRS	ET191008	1	1	3	0	-88	88
R28YRS	ET191011	1	1	2	0	-88	88
R28YRS	ET191012	1	30	0	4	.5	3
R28YRS	ET191014	1	1	1	0	-77	88
R28YRS	ET191018	1	4	0	1	120	1
R28YRS	ET191020	1	1	1	0	-88	88
R28YRS	ET191021	1	23	0	2	400	2
R28YRS	ET191024	1	1	0	1	-77	80
R28YRS	ET191025	1	1	1	0	-88	88
R28YRS	ET191026	1	1	2	0	-88	88
R28YRS	ET191027	1	23	1	2	170	1
R28YRS	ET191029	1	1	0	1	-77	1
R28YRS	ET191032	1	1	2	0	-88	88
R28YRS	ET191033	1	1	1	0	-88	88
R28YRS	ET191034	1	1	1	0	-77	88
R28YRS	ET191035	1	15	2	0	-88	88
R28YRS	ET191044	1	23	0	1	1800	80
R28YRS	ET191048	1	1	1	0	-88	88
R28YRS	ET191049	1	2	2	0	-88	88
R28YRS	ET191051	1	1	2	0	-88	88
R28YRS	ET201001	1	15	0	3	150	1
R28YRS	ET201002	1	15	0	9	207	80
R28YRS	ET201003	1	1	1	0	-88	88
R28YRS	ET201004	1	4	0	1	50	1
R28YRS	ET201004	2	1	0	7	50	1
R28YRS	ET201006	1	1	1	0	-88	88
R28YRS	ET201007	1	15	0	2	38	2
R28YRS	ET201008	1	13	0	2	100	1
R28YRS	ET201009	1	1	4	0	120	1
R28YRS	ET201010	1	1	0	2	18	80
R28YRS	ET201015	1	15	0	3	360	1
R28YRS	ET201018	1	1	1	0	-88	88
R28YRS	ET201021	1	1	0	7	115	1
R28YRS	ET201021	2	4	0	1	160	1
R28YRS	ET201021	3	8	3	5	-77	1
R28YRS	ET201023	1	13	0	2	32	1
R28YRS	ET201028	1	1	4	0	-77	90
R28YRS	ET201029	1	1	2	-88	-88	88
R28YRS	ET201036	1	1	4	0	-88	88
R28YRS	ET201037	1	1	3	5	110	80
R28YRS	ET201037	2	4	1	0	-77	90
R28YRS	ET201041	1	1	0	1	-88	80
R28YRS	ET201045	1	1	2	0	-88	88
R28YRS	ET201047	1	1	2	0	-88	88
R28YRS	ET201050	1	1	0	1	16	1
