FORMNO	CHILDID	SUPPRGID	SUPKIND	SUPWHO	SUPSTRT	SUPEND	SUPFREQ	SUPRID	SUPEXP	SUPIMP1	SUPIMP2
R28YRS	ET021029	2	8	6	1995	99	5	2	5	1	5
R28YRS	ET021031	1	8	6	1998	99	6	2	4	3	77
R28YRS	ET021031	2	7	6	1998	99	6	80	5	3	77
R28YRS	ET021035	1	12	15	1994	99	4	0	4	4	77
R28YRS	ET021035	2	14	15	1998	99	6	0	4	2	6
R28YRS	ET021050	1	14	22	1997	1996	5	0	4	4	2
R28YRS	ET031012	1	7	15	1997	99	4	2	5	5	1
R28YRS	ET031012	2	8	6	1994	99	2	2	5	1	77
R28YRS	ET031015	1	14	15	1997	99	6	0	4	1	2
R28YRS	ET031015	2	12	15	1997	99	4	0	4	9	77
R28YRS	ET031021	1	14	15	1999	99	4	0	4	1	77
R28YRS	ET031022	1	7	6	1994	99	6	2	3	3	77
R28YRS	ET031022	2	8	6	1994	99	6	2	3	3	77
R28YRS	ET031025	1	7	6	1996	99	6	2	5	3	77
R28YRS	ET031027	1	8	6	1993	99	5	2	4	5	77
R28YRS	ET031029	1	14	22	1999	99	6	80	5	2	1
R28YRS	ET031035	1	7	6	1997	99	3	1	5	5	1
R28YRS	ET031044	1	7	6	1993	99	4	1	4	3	77
R28YRS	ET031044	2	14	77	1999	99	77	80	4	2	77
R28YRS	ET041001	1	12	15	1993	99	4	0	2	8	77
R28YRS	ET041001	2	12	15	1993	99	4	0	2	8	77
R28YRS	ET041001	3	5	13	1995	99	7	80	4	2	77
R28YRS	ET041001	4	5	13	1997	99	7	80	4	2	77
R28YRS	ET041002	1	12	15	1997	99	4	0	4	4	77
R28YRS	ET041006	1	4	15	1995	1996	6	80	4	2	77
R28YRS	ET041007	1	6	15	1994	99	77	0	4	5	77
R28YRS	ET041008	1	12	15	1996	99	4	0	4	4	77
R28YRS	ET041009	1	12	15	1997	99	4	7	2	4	77
R28YRS	ET041010	1	7	6	1997	1997	6	80	4	5	77
R28YRS	ET041010	2	5	15	1998	99	4	80	4	2	77
R28YRS	ET041011	1	13	14	1999	1999	4	2	4	3	5
R28YRS	ET041011	2	13	14	1994	99	4	2	4	7	8
R28YRS	ET041011	3	5	15	1994	99	77	80	4	4	77
R28YRS	ET041014	1	12	15	1999	99	6	0	4	5	77
R28YRS	ET041015	1	5	13	1996	99	4	80	3	4	5
R28YRS	ET041017	1	7	6	1999	1999	4	80	4	5	77
R28YRS	ET041018	1	5	13	1996	99	4	1	5	1	5
R28YRS	ET041020	1	5	13	1996	99	4	2	4	9	77
R28YRS	ET041021	1	6	77	1998	1998	4	1	2	2	77
R28YRS	ET041021	2	5	13	1996	99	3	80	3	2	1
R28YRS	ET041022	1	3	77	1993	1993	1	80	3	9	77
R28YRS	ET041023	1	12	15	1993	1995	6	80	2	2	77
R28YRS	ET041024	1	12	15	1999	99	4	2	4	4	77
R28YRS	ET041025	1	12	15	1998	99	4	80	4	4	6
R28YRS	ET041026	1	12	15	1997	99	4	0	2	4	77
R28YRS	ET041026	2	12	15	1997	99	4	15	2	4	77
R28YRS	ET041027	1	12	15	1994	99	4	0	2	5	4
R28YRS	ET041027	2	9	15	1994	99	4	15	2	5	4
R28YRS	ET041029	1	8	15	1999	99	6	2	4	2	3
R28YRS	ET041030	1	5	13	1998	99	4	80	5	2	77
R28YRS	ET041031	1	9	15	1993	99	5	0	1	5	77
R28YRS	ET041032	1	12	15	1996	99	4	80	4	4	6
R28YRS	ET041033	1	12	15	1996	99	4	0	4	4	77
R28YRS	ET041033	2	5	13	1995	99	4	80	4	1	2
R28YRS	ET041034	1	5	13	1998	99	7	80	4	2	77
R28YRS	ET041035	1	13	77	1999	99	4	1	4	5	77
R28YRS	ET041035	2	12	15	1999	99	4	0	4	4	77
R28YRS	ET041036	1	4	5	1997	99	1	1	3	1	2
R28YRS	ET041036	2	3	15	1997	99	1	1	3	8	1
R28YRS	ET041036	3	12	6	1999	99	4	80	4	5	77
R28YRS	ET041037	1	8	15	1999	99	6	2	3	4	5
R28YRS	ET041038	1	12	15	1999	99	4	0	4	4	77
R28YRS	ET041039	1	12	15	1997	99	4	0	3	4	77
R28YRS	ET041039	2	12	15	1997	99	4	2	3	4	77
R28YRS	ET041039	3	14	77	1999	99	6	0	3	1	2
R28YRS	ET041040	1	13	15	1999	1999	77	1	4	4	77
R28YRS	ET041040	2	5	15	1998	99	4	80	4	2	77
R28YRS	ET041041	1	12	15	1994	99	4	80	4	4	77
R28YRS	ET041041	2	12	6	1999	99	4	80	4	5	77
R28YRS	ET041042	1	12	15	1998	99	6	0	4	5	77
R28YRS	ET041042	2	12	15	1997	99	4	0	4	4	77
R28YRS	ET041042	3	12	15	1998	99	4	15	4	4	77
R28YRS	ET041043	1	7	6	1998	99	6	1	1	3	5
R28YRS	ET041043	2	5	13	1993	99	4	1	1	1	2
R28YRS	ET041044	1	12	15	1996	99	4	0	4	4	77
R28YRS	ET041044	2	12	15	1998	99	4	5	4	4	77
R28YRS	ET041044	3	12	15	1998	99	7	0	4	5	77
R28YRS	ET041045	1	5	15	1998	1999	77	80	4	9	77
R28YRS	ET041046	1	12	15	1995	99	4	0	4	5	77
R28YRS	ET041046	2	12	15	1995	99	4	5	4	5	77
R28YRS	ET041047	1	12	15	1997	99	4	0	3	4	77
R28YRS	ET041048	1	12	15	1998	99	4	0	4	4	77
R28YRS	ET041048	2	12	15	1999	99	4	0	4	4	77
R28YRS	ET041049	1	12	15	1998	99	6	1	5	2	1
R28YRS	ET041049	2	7	15	1998	99	4	1	4	3	77
R28YRS	ET041049	3	12	15	1996	99	4	0	2	4	77
R28YRS	ET041049	4	12	6	1998	99	5	1	3	5	77
R28YRS	ET041049	5	12	15	-77	99	77	0	2	5	77
R28YRS	ET041050	1	12	15	1996	99	4	80	4	4	6
R28YRS	ET041050	2	15	6	1999	1999	77	80	4	5	77
R28YRS	ET051001	1	5	13	1998	99	7	80	3	2	77
R28YRS	ET051001	2	4	25	1998	99	6	80	4	2	1
R28YRS	ET051002	1	5	13	1996	99	4	80	4	2	4
R28YRS	ET051004	1	4	25	1998	99	6	80	4	2	1
R28YRS	ET051005	1	5	13	1998	99	7	1	3	2	1
R28YRS	ET051006	1	5	13	1994	99	7	80	3	1	2
R28YRS	ET051006	2	4	25	1996	99	4	80	3	1	2
R28YRS	ET051007	1	4	5	1997	1997	77	80	4	1	2
R28YRS	ET051007	2	5	15	1998	99	2	80	4	9	77
R28YRS	ET051009	1	4	25	1998	99	6	80	4	1	2
R28YRS	ET051009	2	9	6	1999	99	4	80	4	5	77
R28YRS	ET051009	3	5	13	1998	99	4	80	4	1	2
R28YRS	ET051010	1	4	25	1998	99	6	80	4	1	2
R28YRS	ET051011	1	5	13	1998	99	4	80	4	1	2
R28YRS	ET051012	1	14	15	1998	99	4	1	4	1	2
R28YRS	ET051012	2	7	15	1998	99	4	1	4	5	77
R28YRS	ET051012	3	12	15	1999	99	4	0	4	4	77
R28YRS	ET051013	1	14	25	1998	99	6	80	4	2	77
R28YRS	ET051014	1	4	25	1997	99	4	80	4	2	77
R28YRS	ET051015	1	4	25	1996	99	4	80	1	1	2
R28YRS	ET051016	1	4	25	1998	99	4	80	4	1	2
R28YRS	ET051016	2	5	13	1997	99	7	80	4	2	1
R28YRS	ET051017	1	5	13	1995	1997	4	1	4	2	77
R28YRS	ET051017	2	5	15	1998	99	4	1	4	2	7
R28YRS	ET051017	3	4	25	1996	99	6	80	3	1	2
R28YRS	ET051018	1	5	13	1998	99	7	80	3	2	77
R28YRS	ET051019	1	4	25	1997	99	4	80	4	1	2
R28YRS	ET051019	2	14	6	1999	1999	77	2	4	1	2
R28YRS	ET051019	3	12	6	1999	1999	77	80	4	5	77
R28YRS	ET051019	4	5	13	1997	99	2	80	4	9	77
R28YRS	ET051020	1	4	25	1998	99	6	80	1	2	1
R28YRS	ET051021	1	14	25	1998	99	6	2	3	2	1
R28YRS	ET051022	1	14	6	1999	1999	77	80	4	1	2
R28YRS	ET051022	2	12	6	1999	1999	77	80	4	5	77
R28YRS	ET051023	1	12	15	1999	99	4	80	3	4	77
R28YRS	ET051023	2	12	6	1999	99	4	80	4	5	77
R28YRS	ET051024	1	5	13	1995	99	7	80	3	1	2
R28YRS	ET051024	2	4	25	1998	99	6	1	3	2	1
R28YRS	ET051025	1	12	6	1999	99	4	80	4	5	77
R28YRS	ET051025	2	4	25	1997	99	6	80	4	1	2
R28YRS	ET051025	3	5	77	1997	99	4	80	4	2	77
R28YRS	ET051026	1	4	25	1997	1997	4	1	4	2	77
R28YRS	ET051027	1	5	13	1998	99	77	80	4	1	2
R28YRS	ET051027	2	3	25	1997	99	4	80	4	1	2
R28YRS	ET051027	3	4	25	1996	99	4	80	4	1	2
R28YRS	ET051028	1	5	15	1998	99	77	80	5	7	8
R28YRS	ET051029	1	14	15	1998	99	4	4	4	1	2
R28YRS	ET051029	2	7	15	1998	99	4	4	4	5	77
R28YRS	ET051029	3	12	15	1999	99	4	80	4	4	77
R28YRS	ET051030	1	4	25	1997	99	4	80	4	1	2
R28YRS	ET051030	2	12	6	1999	1999	77	80	4	5	77
R28YRS	ET051031	1	5	13	1998	99	7	80	4	2	77
R28YRS	ET051031	2	4	25	1997	99	6	80	3	1	2
R28YRS	ET051032	1	4	25	1998	99	6	80	4	1	2
R28YRS	ET051032	2	5	13	1998	99	7	80	5	5	77
R28YRS	ET051034	1	4	25	1998	99	4	80	4	1	2
R28YRS	ET051034	2	12	6	1999	1999	77	80	4	5	77
R28YRS	ET051035	1	5	13	1997	99	4	1	4	9	77
R28YRS	ET051036	1	4	25	1996	1997	4	80	3	2	8
R28YRS	ET051037	1	9	6	1999	99	4	80	4	5	77
R28YRS	ET051037	2	5	77	1997	99	4	80	4	1	2
R28YRS	ET051039	1	5	13	1997	99	4	80	4	2	77
R28YRS	ET051040	1	9	6	1999	99	4	80	4	5	77
R28YRS	ET051041	1	12	77	1999	99	4	0	4	4	77
R28YRS	ET051042	1	12	6	1999	99	4	80	4	5	77
R28YRS	ET051042	2	4	25	1998	99	6	80	4	1	2
R28YRS	ET051043	1	4	25	1997	99	4	80	4	2	77
R28YRS	ET051044	1	5	15	1998	99	2	80	4	1	2
R28YRS	ET051045	1	4	25	1998	99	6	80	4	1	2
R28YRS	ET051045	2	5	13	1996	99	77	80	4	4	5
R28YRS	ET051046	1	4	25	1998	99	6	80	5	2	1
R28YRS	ET051048	1	14	25	1997	99	4	80	4	2	77
R28YRS	ET051048	2	5	15	1998	99	2	80	4	9	77
R28YRS	ET051049	1	5	13	1998	99	7	80	5	6	2
R28YRS	ET051050	1	4	25	1994	99	6	80	3	1	2
R28YRS	ET051050	2	12	6	1999	1999	77	80	3	3	5
R28YRS	ET061002	1	13	1	1998	1998	5	80	4	1	2
R28YRS	ET061003	1	4	5	1998	99	6	80	2	4	2
R28YRS	ET061003	2	4	15	1993	1998	6	80	4	1	2
R28YRS	ET061003	3	4	25	1994	1999	1	80	4	1	2
R28YRS	ET061005	1	4	25	1998	1998	5	80	3	2	1
R28YRS	ET061005	2	4	25	1997	1997	5	80	3	2	4
R28YRS	ET061005	3	4	25	1996	1996	5	80	3	2	77
R28YRS	ET061008	1	5	13	1998	99	4	80	5	1	2
R28YRS	ET061008	2	4	15	1998	99	4	80	5	1	2
R28YRS	ET061008	3	7	6	1993	99	5	80	5	3	77
R28YRS	ET061008	4	8	6	1993	99	5	1	5	3	77
R28YRS	ET061009	1	4	15	1997	99	4	1	4	2	4
R28YRS	ET061009	2	5	13	1998	99	4	1	4	2	77
R28YRS	ET061009	3	5	5	1997	99	4	1	4	2	77
R28YRS	ET061009	4	9	6	1993	99	6	80	5	5	77
R28YRS	ET061010	1	3	25	1998	99	2	80	4	1	2
R28YRS	ET061010	2	4	11	1996	1996	2	80	4	1	2
R28YRS	ET061011	1	3	25	1998	99	2	80	2	2	77
R28YRS	ET061012	1	5	5	1998	99	4	80	5	1	2
R28YRS	ET061012	2	5	13	1998	99	4	80	5	1	2
R28YRS	ET061012	3	5	5	1998	99	4	80	5	1	2
R28YRS	ET061012	4	9	5	1993	99	4	80	5	5	77
R28YRS	ET061016	1	1	5	1996	1999	4	1	5	1	77
R28YRS	ET061016	2	1	5	1997	1994	4	1	5	1	77
R28YRS	ET061016	3	1	5	1998	1994	4	1	5	1	77
R28YRS	ET061018	1	4	25	1998	99	5	80	4	1	8
R28YRS	ET061018	2	1	5	1993	99	4	80	4	1	77
R28YRS	ET061018	3	9	6	1994	99	5	80	5	5	77
R28YRS	ET061019	1	4	25	1998	99	4	80	4	1	3
R28YRS	ET061019	2	1	5	1999	99	4	80	4	1	2
R28YRS	ET061019	3	9	6	1993	99	3	80	5	5	77
R28YRS	ET061020	1	9	6	1993	99	4	80	5	5	77
R28YRS	ET061020	2	1	5	1993	99	4	80	5	1	2
R28YRS	ET061021	1	4	25	1997	1997	2	6	2	1	2
R28YRS	ET061021	2	4	11	1996	1996	2	1	2	1	2
R28YRS	ET061021	3	4	11	1995	1995	2	1	4	1	2
R28YRS	ET061022	1	7	6	1993	99	5	80	5	3	77
R28YRS	ET061022	2	8	6	1993	99	5	80	5	3	77
R28YRS	ET061022	3	5	5	1998	99	4	80	5	1	2
R28YRS	ET061022	4	9	6	1993	99	4	80	5	5	77
R28YRS	ET061023	1	1	25	1997	1999	4	1	5	1	77
R28YRS	ET061024	1	4	25	1997	1998	4	80	2	2	4
R28YRS	ET061024	2	9	6	1998	99	6	80	4	3	5
R28YRS	ET061024	3	1	5	1996	99	6	1	4	2	3
R28YRS	ET061026	1	4	15	1993	99	4	1	4	2	77
R28YRS	ET061026	2	5	15	1997	99	4	1	4	3	77
R28YRS	ET061026	3	9	5	1994	99	6	80	4	6	77
R28YRS	ET061028	1	4	25	1994	1998	5	88	2	2	77
R28YRS	ET061029	1	5	13	1998	99	4	80	5	1	2
R28YRS	ET061029	2	4	15	1998	99	4	80	4	1	2
R28YRS	ET061029	3	9	15	1994	99	6	80	4	5	77
R28YRS	ET061029	4	1	5	1994	99	6	80	4	2	77
R28YRS	ET061031	1	3	25	1997	99	2	80	4	1	2
R28YRS	ET061033	1	4	25	1997	1998	2	80	4	1	2
R28YRS	ET061036	1	5	13	1997	99	4	80	2	4	3
R28YRS	ET061036	2	9	6	1997	99	6	80	4	1	5
R28YRS	ET061036	3	1	5	1996	99	6	1	4	2	3
R28YRS	ET061036	4	15	15	1997	99	4	80	4	8	1
R28YRS	ET061037	1	4	25	1994	1999	4	80	4	2	77
R28YRS	ET061039	1	4	25	1998	99	5	80	4	1	7
R28YRS	ET061041	1	4	25	1995	1999	4	1	5	1	77
R28YRS	ET061041	2	4	25	1996	1999	4	1	5	1	77
R28YRS	ET061041	3	4	25	1997	1999	4	1	5	1	77
R28YRS	ET061041	4	4	25	1998	1999	4	1	5	1	77
R28YRS	ET061046	1	4	25	1995	99	5	80	3	1	77
R28YRS	ET061047	1	7	6	1993	99	5	80	4	3	77
R28YRS	ET061047	2	5	5	1994	99	4	1	5	1	77
R28YRS	ET061049	1	4	25	1994	1999	4	1	5	1	77
R28YRS	ET061049	2	4	25	1995	1999	4	1	5	1	77
R28YRS	ET061049	3	4	15	1996	1999	4	1	5	1	77
R28YRS	ET061049	4	4	15	1997	1999	4	1	5	1	77
R28YRS	ET061049	5	4	15	1998	1999	4	1	5	1	77
R28YRS	ET061050	1	4	5	1993	99	5	80	4	2	1
R28YRS	ET061050	2	9	6	1996	99	6	80	4	3	1
R28YRS	ET061050	3	13	5	1993	99	6	1	4	3	1
R28YRS	ET061050	4	5	13	1996	99	4	80	4	1	2
R28YRS	ET061051	1	5	5	1998	99	4	80	5	1	2
R28YRS	ET061051	2	1	5	1993	99	6	80	4	1	2
R28YRS	ET061051	3	9	6	1993	99	6	80	5	5	77
R28YRS	ET061051	4	15	77	1996	99	7	80	5	3	77
R28YRS	ET061054	1	3	25	1998	99	1	1	4	1	2
R28YRS	ET061054	2	4	11	1995	1996	1	1	4	1	2
R28YRS	ET061056	1	1	25	1998	99	5	80	4	2	77
R28YRS	ET061056	2	1	25	1997	1997	5	80	4	2	77
R28YRS	ET061056	3	1	25	1996	1996	5	80	4	2	77
R28YRS	ET061057	1	4	25	1994	1998	4	80	2	2	77
R28YRS	ET061058	1	4	25	1995	1998	5	80	3	1	77
R28YRS	ET061059	1	4	25	1997	1998	4	80	3	2	1
R28YRS	ET061059	2	5	13	1998	99	4	80	4	3	4
R28YRS	ET071001	1	8	6	1993	99	4	2	4	3	77
R28YRS	ET071001	2	7	6	1993	99	5	80	5	3	77
R28YRS	ET071002	1	4	25	1998	1998	6	80	4	1	2
R28YRS	ET071003	1	5	25	1995	99	4	2	4	4	77
R28YRS	ET071004	1	4	77	1997	1999	77	1	5	1	2
R28YRS	ET071004	2	5	15	1998	1999	5	1	4	2	77
R28YRS	ET071004	3	14	25	1995	1999	4	1	5	1	77
R28YRS	ET071004	4	14	29	1994	1999	4	1	5	1	77
R28YRS	ET071005	1	4	25	1996	99	3	80	5	1	77
R28YRS	ET071006	1	4	11	1998	1998	1	2	3	2	3
R28YRS	ET071006	2	5	25	1997	1998	4	80	4	4	1
R28YRS	ET071007	1	15	11	1999	1999	1	80	4	5	1
R28YRS	ET071007	2	8	6	1999	99	5	80	4	3	77
R28YRS	ET071007	3	7	6	1999	99	5	80	4	3	77
R28YRS	ET071008	1	4	11	1997	1997	2	1	4	2	77
R28YRS	ET071009	1	4	22	1997	1998	5	80	4	99	99
R28YRS	ET071010	1	4	25	1998	1999	5	80	2	2	77
R28YRS	ET071011	1	4	25	1998	1999	6	2	4	1	4
R28YRS	ET071011	2	4	11	1996	1997	5	3	3	2	4
R28YRS	ET071011	3	12	29	1997	1998	4	80	1	1	4
R28YRS	ET071012	1	4	25	1997	1997	3	80	4	1	2
R28YRS	ET071012	2	4	11	1994	1995	5	80	4	1	2
R28YRS	ET071012	3	4	19	1996	1996	3	80	4	1	2
R28YRS	ET071013	1	3	25	1997	99	4	1	4	2	1
R28YRS	ET071014	1	4	22	1996	1996	4	80	2	1	2
R28YRS	ET071014	2	14	25	1994	1994	4	80	2	1	2
R28YRS	ET071015	1	15	11	1998	99	4	80	3	2	4
R28YRS	ET071016	1	1	5	1998	1999	4	1	3	2	4
R28YRS	ET071017	1	14	29	1994	1999	4	80	5	1	77
R28YRS	ET071017	2	14	30	1998	1999	4	80	5	1	77
R28YRS	ET071018	1	4	30	1998	99	2	80	1	1	2
R28YRS	ET071020	1	4	11	1998	1998	1	80	4	1	2
R28YRS	ET071021	1	15	25	1998	1999	77	80	5	5	77
R28YRS	ET071022	1	4	11	1997	1997	6	80	4	1	2
R28YRS	ET071024	1	4	25	1998	1998	4	1	5	1	2
R28YRS	ET071024	2	4	25	1998	99	4	1	5	1	2
R28YRS	ET071024	3	5	25	1993	99	1	1	5	1	2
R28YRS	ET071025	1	4	29	1996	1994	4	80	2	2	1
R28YRS	ET071025	2	5	25	1997	99	4	80	4	4	1
R28YRS	ET071026	1	15	29	1998	1999	2	80	1	1	2
R28YRS	ET071026	2	8	6	1998	99	5	80	1	3	77
R28YRS	ET071027	1	4	25	1998	1998	3	80	4	1	2
R28YRS	ET071027	2	4	29	1994	1995	3	80	4	1	2
R28YRS	ET071028	1	4	30	1998	1998	5	80	4	1	2
R28YRS	ET071028	2	4	25	1997	1997	5	80	2	1	77
R28YRS	ET071028	3	1	30	1994	1996	6	80	1	1	2
R28YRS	ET071029	1	4	30	1997	1998	5	80	4	2	77
R28YRS	ET071030	1	4	30	1998	1998	4	80	2	1	2
R28YRS	ET071030	2	4	30	1995	1995	5	80	1	1	77
R28YRS	ET071032	1	8	6	1998	99	6	80	4	3	77
R28YRS	ET071032	2	7	6	1998	99	6	80	4	3	77
R28YRS	ET071032	3	12	25	1998	99	4	80	4	3	77
R28YRS	ET071033	1	5	13	1995	99	4	80	4	1	2
R28YRS	ET071033	2	8	6	1993	99	4	2	4	3	77
R28YRS	ET071033	3	7	6	1993	99	4	80	4	3	77
R28YRS	ET071034	1	14	11	1995	1996	5	80	4	2	77
R28YRS	ET071034	2	15	29	1996	99	5	80	5	5	8
R28YRS	ET071035	1	4	25	1997	1998	6	80	4	2	77
R28YRS	ET071036	1	4	25	1997	1998	5	80	4	2	77
R28YRS	ET071037	1	4	25	1998	1998	4	80	5	1	2
R28YRS	ET071038	1	3	24	1998	1999	4	1	4	1	2
R28YRS	ET071038	2	4	13	1995	1999	4	1	5	2	77
R28YRS	ET071038	3	14	25	1993	1999	4	1	5	1	77
R28YRS	ET071038	4	14	29	1994	1999	4	1	5	1	77
R28YRS	ET071039	1	4	11	1996	1996	3	80	4	1	2
R28YRS	ET071040	1	4	25	1998	1999	6	1	4	1	77
R28YRS	ET071040	2	4	11	1996	1997	5	1	3	2	77
R28YRS	ET071040	3	77	5	1997	99	4	1	1	1	4
R28YRS	ET071041	1	4	25	1995	1997	4	1	4	2	77
R28YRS	ET071042	1	4	25	1997	1998	5	80	4	2	77
R28YRS	ET071043	1	4	25	1998	99	4	1	4	1	77
R28YRS	ET071043	2	5	25	1998	99	4	1	4	1	77
R28YRS	ET071045	1	6	25	1998	99	6	80	4	1	2
R28YRS	ET071047	1	14	25	1995	1999	4	80	5	1	77
R28YRS	ET071047	2	14	29	1993	1999	4	80	5	1	77
R28YRS	ET071049	1	14	29	1994	1999	4	80	5	1	77
R28YRS	ET071049	2	14	29	1995	1999	4	80	5	1	77
R28YRS	ET071050	1	4	11	1997	1998	6	80	4	2	1
R28YRS	ET071050	2	5	25	1996	99	4	80	4	1	2
R28YRS	ET081002	1	3	15	1998	99	6	80	4	4	2
R28YRS	ET081003	1	1	24	1997	99	1	80	4	2	1
R28YRS	ET081004	1	3	15	1998	99	6	80	3	2	4
R28YRS	ET081005	1	3	15	1998	99	6	80	4	1	2
R28YRS	ET081006	1	3	77	1998	99	5	80	4	2	77
R28YRS	ET081007	1	3	24	1998	1999	6	80	4	4	5
R28YRS	ET081007	2	10	77	1999	99	4	80	5	7	2
R28YRS	ET081008	1	3	15	1998	99	5	80	4	2	4
R28YRS	ET081008	2	12	24	1998	1998	1	80	4	7	1
R28YRS	ET081009	1	3	15	1998	99	6	80	3	2	4
R28YRS	ET081010	1	3	15	1998	99	6	80	4	2	4
R28YRS	ET081011	1	3	15	1998	99	6	80	2	1	4
R28YRS	ET081012	1	3	77	1998	99	6	80	5	2	77
R28YRS	ET081013	1	3	15	1998	99	6	80	3	1	2
R28YRS	ET081014	1	3	77	1998	99	6	80	5	2	7
R28YRS	ET081015	1	4	77	1996	1997	6	2	2	2	77
R28YRS	ET081015	2	3	15	1998	99	6	80	5	4	2
R28YRS	ET081016	1	12	24	1998	1999	4	80	4	1	77
R28YRS	ET081016	2	3	15	1998	99	6	80	4	2	4
R28YRS	ET081017	1	5	1	1998	1998	1	1	4	2	1
R28YRS	ET081017	2	3	15	1998	1999	6	80	1	1	2
R28YRS	ET081018	1	3	77	1998	1999	6	80	4	2	77
R28YRS	ET081019	1	3	15	1998	99	6	80	4	4	77
R28YRS	ET081019	2	5	1	1996	1996	4	80	4	4	77
R28YRS	ET081020	1	3	15	1998	1998	6	80	2	2	4
R28YRS	ET081020	2	5	24	1999	99	7	2	4	2	77
R28YRS	ET081021	1	3	77	1998	99	6	80	5	2	77
R28YRS	ET081022	1	3	77	1998	1999	6	8	4	2	77
R28YRS	ET081023	1	3	77	1998	99	5	80	4	2	77
R28YRS	ET081023	2	5	77	1998	1998	4	80	4	4	77
R28YRS	ET081024	1	3	15	1998	99	6	80	4	2	1
R28YRS	ET081024	2	14	77	1998	1998	7	80	4	2	77
R28YRS	ET081025	1	3	77	1999	99	5	80	4	4	3
R28YRS	ET081026	1	3	15	1998	1999	6	80	4	2	77
R28YRS	ET081027	1	3	15	1998	1999	3	80	4	1	3
R28YRS	ET081028	1	3	77	1995	1996	6	80	2	2	3
R28YRS	ET081028	2	3	77	1998	99	6	80	2	2	3
R28YRS	ET081029	1	12	77	1998	1998	4	1	2	3	77
R28YRS	ET081029	2	3	15	1998	99	6	80	5	2	4
R28YRS	ET081031	1	3	15	1998	1999	5	80	5	7	2
R28YRS	ET081031	2	5	24	1998	1998	4	80	2	9	77
R28YRS	ET081032	1	3	15	1998	99	6	80	4	2	4
R28YRS	ET081032	2	14	15	1997	1998	6	80	4	1	2
