FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	ET031008	2	1	0	0	0
R28YRS	ET031008	3	10	0	0	1
R28YRS	ET031008	4	2	0	0	1
R28YRS	ET031009	1	1	0	1	1
R28YRS	ET031009	2	2	0	0	1
R28YRS	ET031009	3	5	1	1	2
R28YRS	ET031009	4	10	0	0	1
R28YRS	ET031010	1	1	1	0	0
R28YRS	ET031010	2	2	0	0	0
R28YRS	ET031010	3	10	0	0	1
R28YRS	ET031011	1	1	1	0	0
R28YRS	ET031011	2	2	1	0	0
R28YRS	ET031011	3	5	1	0	0
R28YRS	ET031012	1	1	1	1	2
R28YRS	ET031012	2	10	0	0	1
R28YRS	ET031012	3	2	0	0	1
R28YRS	ET031012	4	6	1	0	1
R28YRS	ET031013	1	3	1	1	0
R28YRS	ET031013	2	1	0	0	0
R28YRS	ET031013	3	10	0	0	1
R28YRS	ET031013	4	2	0	0	0
R28YRS	ET031014	1	5	1	0	0
R28YRS	ET031014	2	10	1	0	0
R28YRS	ET031015	1	1	1	0	0
R28YRS	ET031015	2	10	0	0	1
R28YRS	ET031015	3	2	1	1	0
R28YRS	ET031015	4	12	1	0	1
R28YRS	ET031016	1	1	1	0	0
R28YRS	ET031016	2	9	1	0	0
R28YRS	ET031016	3	10	1	0	1
R28YRS	ET031016	4	12	1	0	1
R28YRS	ET031017	1	1	1	1	0
R28YRS	ET031017	2	2	1	1	0
R28YRS	ET031017	3	10	1	1	1
R28YRS	ET031017	4	12	1	1	1
R28YRS	ET031018	1	1	0	0	0
R28YRS	ET031018	2	2	0	0	0
R28YRS	ET031018	3	5	0	0	1
R28YRS	ET031018	4	10	0	0	1
R28YRS	ET031018	5	12	0	0	1
R28YRS	ET031019	1	1	0	0	0
R28YRS	ET031019	2	2	1	0	1
R28YRS	ET031019	3	5	1	0	1
R28YRS	ET031019	4	17	0	1	1
R28YRS	ET031020	1	1	0	1	0
R28YRS	ET031020	2	2	1	1	0
R28YRS	ET031020	3	6	0	1	1
R28YRS	ET031020	4	5	1	1	1
R28YRS	ET031020	5	17	0	1	1
R28YRS	ET031021	1	1	1	0	1
R28YRS	ET031021	2	2	1	0	1
R28YRS	ET031021	3	5	1	0	1
R28YRS	ET031022	1	1	0	1	0
R28YRS	ET031022	2	2	0	1	0
R28YRS	ET031022	3	17	0	1	1
R28YRS	ET031023	1	1	0	0	0
R28YRS	ET031023	2	2	0	0	0
R28YRS	ET031023	3	10	0	0	1
R28YRS	ET031023	4	12	0	1	1
R28YRS	ET031024	1	1	1	0	1
R28YRS	ET031024	2	2	1	0	1
R28YRS	ET031024	3	10	1	0	0
R28YRS	ET031025	1	5	0	0	0
R28YRS	ET031025	2	18	0	0	0
R28YRS	ET031026	1	1	0	0	0
R28YRS	ET031026	2	2	1	0	0
R28YRS	ET031026	3	5	1	0	0
R28YRS	ET031026	4	12	0	0	1
R28YRS	ET031027	1	1	1	0	0
R28YRS	ET031027	2	2	1	0	0
R28YRS	ET031027	3	17	0	1	2
R28YRS	ET031028	1	1	1	1	0
R28YRS	ET031028	2	2	1	1	0
R28YRS	ET031028	3	10	1	1	1
R28YRS	ET031028	4	12	1	1	1
R28YRS	ET031028	5	17	1	1	1
R28YRS	ET031029	1	5	0	0	0
R28YRS	ET031029	2	1	0	0	0
R28YRS	ET031029	3	2	0	0	0
R28YRS	ET031029	4	4	0	0	0
R28YRS	ET031030	1	5	1	0	1
R28YRS	ET031030	2	10	1	0	1
