FORMNO	CHILDID	PASSID	PASSET	NUMPRNT	NUMPASS	VALPASS	DECPASS
R28YRS	ET041035	1	23	0	5	120	1
R28YRS	ET041036	1	15	2	4	57	1
R28YRS	ET041037	1	13	0	3	145	1
R28YRS	ET041040	1	22	-77	0	-88	88
R28YRS	ET041041	1	13	0	4	170	1
R28YRS	ET041042	1	30	0	2	1000	80
R28YRS	ET041043	1	15	0	8	7000	1
R28YRS	ET041043	2	30	1	0	-88	90
R28YRS	ET041043	3	24	0	1	-88	1
R28YRS	ET041045	1	13	0	6	70	1
R28YRS	ET041046	1	22	0	0	-77	90
R28YRS	ET041047	1	1	-77	0	-88	90
R28YRS	ET051002	1	1	0	10	100	1
R28YRS	ET051003	1	15	0	10	1000	1
R28YRS	ET051004	1	1	0	4	25	3
R28YRS	ET051005	1	13	0	4	90	1
R28YRS	ET051007	1	1	0	10	119	80
R28YRS	ET051008	1	15	0	6	35	1
R28YRS	ET051009	1	16	1	0	-88	90
R28YRS	ET051011	1	23	0	4	20	1
R28YRS	ET051014	1	15	0	8	50	1
R28YRS	ET051017	1	30	-88	-88	-88	77
R28YRS	ET051018	1	1	0	7	110	80
R28YRS	ET051019	1	1	0	11	100	80
R28YRS	ET051023	1	13	3	0	-88	90
R28YRS	ET051024	1	15	0	4	100	1
R28YRS	ET051025	1	13	0	8	180	1
R28YRS	ET051027	1	1	0	8	400	1
R28YRS	ET051027	2	30	2	0	-88	90
R28YRS	ET051028	1	15	0	8	80	1
R28YRS	ET051030	1	1	0	1	14	1
R28YRS	ET051031	1	1	0	8	100	80
R28YRS	ET051032	1	1	1	4	80	1
R28YRS	ET051032	2	30	2	0	-88	90
R28YRS	ET051033	1	13	0	6	100	1
R28YRS	ET051034	1	15	5	0	-88	90
R28YRS	ET051035	1	1	0	8	100	1
R28YRS	ET051036	1	1	0	8	-77	1
R28YRS	ET051038	1	15	0	7	150	2
R28YRS	ET051039	1	1	0	5	200	80
R28YRS	ET051040	1	16	1	0	-88	90
R28YRS	ET051042	1	15	0	10	80	2
R28YRS	ET051043	1	15	0	4	50	1
R28YRS	ET051044	1	1	0	9	110	2
R28YRS	ET051045	1	1	5	0	-88	90
R28YRS	ET051045	2	30	2	0	-88	90
R28YRS	ET051046	1	15	0	13	100	1
R28YRS	ET051047	1	13	0	8	300	3
R28YRS	ET051048	1	30	0	2	1000	1
R28YRS	ET051049	1	1	0	8	200	1
R28YRS	ET051050	1	15	0	7	200	1
R28YRS	ET061002	1	1	0	10	70	1
R28YRS	ET061002	2	4	0	1	30	1
R28YRS	ET061003	1	1	0	6	80	80
R28YRS	ET061003	2	4	0	1	120	80
R28YRS	ET061004	1	1	0	6	20	1
R28YRS	ET061005	1	1	0	7	90	1
R28YRS	ET061005	2	4	0	1	40	1
R28YRS	ET061007	1	1	0	5	21	1
R28YRS	ET061007	2	4	0	1	13	1
R28YRS	ET061008	1	1	0	3	70	1
R28YRS	ET061008	2	4	0	1	70	1
R28YRS	ET061009	1	1	0	5	40	1
R28YRS	ET061009	2	4	0	1	30	1
R28YRS	ET061010	1	1	0	6	5	1
R28YRS	ET061010	2	4	0	1	50	1
R28YRS	ET061011	1	1	0	5	10	1
R28YRS	ET061011	2	4	0	1	35	1
R28YRS	ET061012	1	1	0	1	60	1
