CHILDCODE	PLOTIDR4	PLTUSER4	SZPLTR4	LUPLTR4	PLTDSCR4	PLTTRNR4	PLTCLLR4	PLTCRTR4	SEENCTR4	PLTINCR4	PLTVINR4	PLTSPTR4	CRPRN1R4	CRPRN2R4	CRPDR1R4	CRPDR2R4	PLTIRRR4	PLTPRIR4
20018	2	7	250	17	1	1	0	1	N	 	 	0	 	 	 	 	 	 
20019	1	1	36	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20019	2	7	28	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20020	1	1	21	17	1	1	1	1	Y	 	 	 	 	 	 	 	 	 
20022	1	1	30	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20022	2	7	60	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
20023	1	1	24	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20023	2	7	9	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20024	1	1	25	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20025	1	1	30	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20026	1	1	45	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20027	1	1	30	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20027	2	7	50	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20028	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20029	1	1	58	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20029	2	8	12	17	1	1	1	0	 	0	 	0	 	 	 	 	 	 
20030	1	1	30	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20031	1	1	14	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20032	1	1	8	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20032	2	7	10	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20033	1	1	9	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20034	1	1	45	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20035	1	1	46	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20035	2	6	30	17	5	0	88	0	 	0	 	200	 	 	 	 	 	 
20036	1	1	13	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20036	2	7	280	17	3	0	88	0	 	 	 	0	 	 	 	 	 	 
20037	1	1	41	17	1	1	1	0	 	 	 	 	 	 	 	 	 	 
20037	2	7	250	17	1	1	1	0	 	 	 	0	 	 	 	 	 	 
20037	3	8	37	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20038	1	1	14	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20039	1	1	200	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20039	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20039	3	20	10	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20040	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20040	2	11	50	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20041	1	1	14	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20041	2	8	1	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20042	1	1	12	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20043	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20043	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20044	1	1	10.5	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20045	1	1	15	17	3	0	88	0	 	 	 	 	 	 	 	 	 	 
20045	2	7	15	17	3	0	88	0	 	 	 	0	 	 	 	 	 	 
20046	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20047	1	1	48	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20048	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20049	1	1	15	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20050	1	1	16	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20050	2	7	36	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20051	1	1	15	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20051	2	7	6	17	2	0	88	0	 	 	 	0	 	 	 	 	 	 
20052	1	1	8	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20052	2	13	8	17	2	0	88	0	 	0	 	0	 	 	 	 	 	 
20053	1	1	20	17	2	0	88	0	 	 	 	 	 	 	 	 	 	 
20054	1	1	60	17	1	1	1	1	N	 	 	 	 	 	 	 	 	 
20054	2	7	250	17	1	1	1	1	N	 	 	0	 	 	 	 	 	 
20054	3	5	1	2	1	1	1	1	N	 	 	 	75	88	88	88	0	 
