CHILDCODE	IMEVIDR4	RKEVR4	LOSS09R4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
10021	3	88	 	 	 	 	 	 	 	 
10022	1	36	 	 	 	2	 	7	88	88
10022	2	88	 	 	 	 	 	 	 	 
10022	3	88	 	 	 	 	 	 	 	 
10023	1	35	 	3	 	 	 	25	9	2
10023	2	37	 	 	 	4	4	9	10	25
10023	3	42	 	 	 	 	2	8	15	2
10024	1	39	 	 	2	2	2	17	88	88
10024	2	88	 	 	 	 	 	 	 	 
10024	3	88	 	 	 	 	 	 	 	 
10025	1	37	2	2	2	2	2	2	1	11
10025	2	88	 	 	 	 	 	 	 	 
10025	3	88	 	 	 	 	 	 	 	 
10026	1	41	 	 	 	3	 	17	16	88
10026	2	39	 	 	 	2	2	17	88	88
10026	3	37	 	 	2	2	2	17	88	88
10028	1	47	 	2	2	2	2	7	88	88
10028	2	88	 	 	 	 	 	 	 	 
10028	3	88	 	 	 	 	 	 	 	 
10029	1	47	 	 	3	3	3	2	28	88
10029	2	39	 	2	 	2	 	17	88	88
10029	3	88	 	 	 	 	 	 	 	 
10030	1	88	 	 	 	 	 	 	 	 
10030	2	88	 	 	 	 	 	 	 	 
10030	3	88	 	 	 	 	 	 	 	 
10031	1	37	 	 	 	3	 	25	9	2
10031	2	16	 	 	 	3	 	18	9	2
10031	3	39	 	 	 	 	2	25	9	88
10032	1	47	 	 	 	2	2	2	1	7
10032	2	16	 	 	 	2	 	2	1	7
10032	3	88	 	 	 	 	 	 	 	 
10033	1	39	 	 	3	3	3	9	88	88
10033	2	42	 	 	 	2	2	9	88	88
10033	3	12	 	 	 	2	2	19	88	88
10035	1	47	 	 	2	2	2	22	2	7
10035	2	88	 	 	 	 	 	 	 	 
10035	3	88	 	 	 	 	 	 	 	 
10036	1	16	 	 	3	3	3	2	1	7
10036	2	88	 	 	 	 	 	 	 	 
10036	3	88	 	 	 	 	 	 	 	 
10037	1	47	 	 	2	2	 	9	88	88
10037	2	39	2	2	2	2	 	9	17	88
10037	3	88	 	 	 	 	 	 	 	 
10038	1	37	 	 	 	2	 	10	9	7
10038	2	88	 	 	 	 	 	 	 	 
10038	3	88	 	 	 	 	 	 	 	 
10040	1	88	 	 	 	 	 	 	 	 
10040	2	88	 	 	 	 	 	 	 	 
10040	3	88	 	 	 	 	 	 	 	 
10041	1	88	 	 	 	 	 	 	 	 
10041	2	88	 	 	 	 	 	 	 	 
10041	3	88	 	 	 	 	 	 	 	 
10042	1	47	 	4	4	3	3	1	2	7
10042	2	88	 	 	 	 	 	 	 	 
10042	3	88	 	 	 	 	 	 	 	 
10043	1	88	 	 	 	 	 	 	 	 
10043	2	88	 	 	 	 	 	 	 	 
10043	3	88	 	 	 	 	 	 	 	 
10044	1	88	 	 	 	 	 	 	 	 
10044	2	88	 	 	 	 	 	 	 	 
10044	3	88	 	 	 	 	 	 	 	 
10045	1	88	 	 	 	 	 	 	 	 
10045	2	88	 	 	 	 	 	 	 	 
10045	3	88	 	 	 	 	 	 	 	 
10046	1	47	2	2	2	2	1	2	1	88
10046	2	88	 	 	 	 	 	 	 	 
10046	3	88	 	 	 	 	 	 	 	 
10048	1	88	 	 	 	 	 	 	 	 
10048	2	88	 	 	 	 	 	 	 	 
10048	3	88	 	 	 	 	 	 	 	 
10049	1	88	 	 	 	 	 	 	 	 
10049	2	88	 	 	 	 	 	 	 	 
10049	3	88	 	 	 	 	 	 	 	 
10050	1	47	 	 	3	4	4	17	2	7
10050	2	88	 	 	 	 	 	 	 	 
10050	3	88	 	 	 	 	 	 	 	 
10051	1	88	 	 	 	 	 	 	 	 
10051	2	88	 	 	 	 	 	 	 	 
10051	3	88	 	 	 	 	 	 	 	 
10052	1	40	 	4	 	 	 	2	7	88
10052	2	47	 	 	2	2	2	7	88	88
10052	3	88	 	 	 	 	 	 	 	 
10053	1	88	 	 	 	 	 	 	 	 
10053	2	88	 	 	 	 	 	 	 	 
10053	3	88	 	 	 	 	 	 	 	 
10055	1	29	 	4	 	 	 	9	1	88
10055	2	27	 	4	 	 	 	2	9	88
10055	3	88	 	 	 	 	 	 	 	 
10056	1	12	 	 	3	3	 	1	2	7
10056	2	29	 	 	 	2	 	2	1	7
10056	3	14	 	 	 	 	2	2	7	88
10057	1	88	 	 	 	 	 	 	 	 
10057	2	88	 	 	 	 	 	 	 	 
10057	3	88	 	 	 	 	 	 	 	 
10059	1	38	 	 	 	3	3	7	88	88
10059	2	47	 	3	3	3	 	2	7	88
10059	3	88	 	 	 	 	 	 	 	 
10060	1	88	 	 	 	 	 	 	 	 
10060	2	88	 	 	 	 	 	 	 	 
10060	3	88	 	 	 	 	 	 	 	 
10061	1	88	 	 	 	 	 	 	 	 
10061	2	88	 	 	 	 	 	 	 	 
10061	3	88	 	 	 	 	 	 	 	 
10062	1	47	 	 	2	2	 	7	88	88
10062	2	88	 	 	 	 	 	 	 	 
10062	3	88	 	 	 	 	 	 	 	 
10063	1	39	4	4	4	4	4	9	88	77
10063	2	40	 	 	3	 	 	2	11	7
10063	3	88	 	 	 	 	 	 	 	 
10064	1	38	 	 	 	3	 	9	16	2
10064	2	88	 	 	 	 	 	 	 	 
10064	3	88	 	 	 	 	 	 	 	 
10065	1	47	 	 	 	2	2	17	88	88
10065	2	42	 	 	 	 	2	17	88	88
10065	3	38	 	 	2	 	 	17	88	88
10066	1	88	 	 	 	 	 	 	 	 
10066	2	88	 	 	 	 	 	 	 	 
10066	3	88	 	 	 	 	 	 	 	 
10067	1	39	 	2	2	2	 	17	88	88
10067	2	37	 	 	2	2	2	17	88	88
10067	3	88	 	 	 	 	 	 	 	 
10068	1	47	 	 	 	3	3	2	88	88
10068	2	38	 	2	2	2	2	7	88	88
10068	3	39	 	 	2	2	2	7	88	88
10069	1	88	 	 	 	 	 	 	 	 
10069	2	88	 	 	 	 	 	 	 	 
10069	3	88	 	 	 	 	 	 	 	 
10070	1	16	 	 	 	 	2	16	7	88
10070	2	39	 	 	 	2	 	16	7	88
10070	3	88	 	 	 	 	 	 	 	 
10071	1	47	 	2	2	2	2	2	7	88
10071	2	88	 	 	 	 	 	 	 	 
10071	3	88	 	 	 	 	 	 	 	 
10072	1	88	 	 	 	 	 	 	 	 
10072	2	88	 	 	 	 	 	 	 	 
10072	3	88	 	 	 	 	 	 	 	 
10073	1	39	 	 	 	 	3	9	2	88
10073	2	88	 	 	 	 	 	 	 	 
10073	3	88	 	 	 	 	 	 	 	 
10074	1	38	 	 	 	 	2	16	7	88
10074	2	88	 	 	 	 	 	 	 	 
10074	3	88	 	 	 	 	 	 	 	 
10075	1	36	 	 	 	2	 	8	9	7
10075	2	88	 	 	 	 	 	 	 	 
10075	3	88	 	 	 	 	 	 	 	 
10076	1	88	 	 	 	 	 	 	 	 
10076	2	88	 	 	 	 	 	 	 	 
10076	3	88	 	 	 	 	 	 	 	 
10077	1	32	 	 	4	 	 	9	16	88
10077	2	47	2	2	2	2	2	2	1	7
10077	3	88	 	 	 	 	 	 	 	 
10079	1	47	 	 	3	3	3	2	18	88
10079	2	37	 	 	2	 	 	17	88	88
10079	3	88	 	 	 	 	 	 	 	 
10080	1	88	 	 	 	 	 	 	 	 
10080	2	88	 	 	 	 	 	 	 	 
10080	3	88	 	 	 	 	 	 	 	 
10081	1	47	 	3	3	3	 	2	7	88
10081	2	88	 	 	 	 	 	 	 	 
10081	3	88	 	 	 	 	 	 	 	 
10082	1	88	 	 	 	 	 	 	 	 
10082	2	88	 	 	 	 	 	 	 	 
10082	3	88	 	 	 	 	 	 	 	 
10083	1	39	3	 	 	 	 	9	7	88
10083	2	88	 	 	 	 	 	 	 	 
10083	3	88	 	 	 	 	 	 	 	 
10084	1	88	 	 	 	 	 	 	 	 
10084	2	88	 	 	 	 	 	 	 	 
10084	3	88	 	 	 	 	 	 	 	 
10085	1	37	2	 	 	2	 	10	2	7
10085	2	88	 	 	 	 	 	 	 	 
10085	3	88	 	 	 	 	 	 	 	 
10086	1	47	 	2	 	 	 	18	7	88
10086	2	88	 	 	 	 	 	 	 	 
10086	3	88	 	 	 	 	 	 	 	 
10087	1	88	 	 	 	 	 	 	 	 
10087	2	88	 	 	 	 	 	 	 	 
10087	3	88	 	 	 	 	 	 	 	 
10088	1	88	 	 	 	 	 	 	 	 
10088	2	88	 	 	 	 	 	 	 	 
10088	3	88	 	 	 	 	 	 	 	 
10089	1	47	 	3	3	3	 	7	88	88
10089	2	88	 	 	 	 	 	 	 	 
10089	3	88	 	 	 	 	 	 	 	 
10090	1	39	 	 	2	2	 	9	88	88
10090	2	1	 	 	 	2	 	24	88	88
10090	3	88	 	 	 	 	 	 	 	 
10091	1	88	 	 	 	 	 	 	 	 
10091	2	88	 	 	 	 	 	 	 	 
10091	3	88	 	 	 	 	 	 	 	 
10092	1	47	 	 	3	3	 	88	88	88
10092	2	88	 	 	 	 	 	 	 	 
10092	3	88	 	 	 	 	 	 	 	 
10093	1	47	 	 	 	2	2	2	77	88
10093	2	38	2	2	2	2	1	9	17	88
10093	3	39	 	 	2	2	3	17	88	88
10094	1	47	 	1	1	1	1	7	88	88
10094	2	88	 	 	 	 	 	 	 	 
10094	3	88	 	 	 	 	 	 	 	 
10095	1	47	 	2	2	2	 	2	7	88
10095	2	88	 	 	 	 	 	 	 	 
10095	3	88	 	 	 	 	 	 	 	 
10096	1	38	 	 	 	3	 	17	88	88
10096	2	47	 	2	2	2	 	2	18	88
10096	3	41	 	 	 	2	 	17	88	88
10097	1	38	2	2	2	3	2	17	88	88
10097	2	39	 	 	2	2	2	17	88	88
10097	3	37	 	 	2	2	 	17	88	88
10098	1	12	 	 	2	2	2	1	2	88
10098	2	88	 	 	 	 	 	 	 	 
10098	3	88	 	 	 	 	 	 	 	 
10099	1	88	 	 	 	 	 	 	 	 
10099	2	88	 	 	 	 	 	 	 	 
10099	3	88	 	 	 	 	 	 	 	 
10100	1	39	 	 	 	2	 	9	88	88
10100	2	88	 	 	 	 	 	 	 	 
10100	3	88	 	 	 	 	 	 	 	 
20001	1	47	 	 	3	3	3	9	2	1
20001	2	88	 	 	 	 	 	 	 	 
20001	3	88	 	 	 	 	 	 	 	 
20002	1	47	 	 	 	 	3	1	2	9
20002	2	88	 	 	 	 	 	 	 	 
20002	3	88	 	 	 	 	 	 	 	 
20003	1	47	 	 	2	2	2	2	7	88
20003	2	88	 	 	 	 	 	 	 	 
20003	3	88	 	 	 	 	 	 	 	 
20004	1	16	 	 	3	 	 	2	1	7
20004	2	47	 	 	 	3	3	1	2	7
20004	3	88	 	 	 	 	 	 	 	 
20005	1	47	 	 	2	2	2	2	7	88
20005	2	88	 	 	 	 	 	 	 	 
20005	3	88	 	 	 	 	 	 	 	 
20007	1	47	 	 	2	2	2	2	7	88
20007	2	88	 	 	 	 	 	 	 	 
20007	3	88	 	 	 	 	 	 	 	 
20008	1	88	 	 	 	 	 	 	 	 
20008	2	88	 	 	 	 	 	 	 	 
20008	3	88	 	 	 	 	 	 	 	 
20011	1	47	 	 	 	4	4	1	2	9
20011	2	16	 	 	 	 	3	1	2	16
20011	3	39	 	 	 	 	2	16	9	2
20012	1	36	 	 	 	2	 	7	88	88
20012	2	47	 	 	2	2	2	2	7	88
20012	3	88	 	 	 	 	 	 	 	 
20013	1	47	 	 	4	4	4	1	2	12
20013	2	14	 	 	 	3	 	1	2	9
20013	3	38	 	 	 	2	 	1	2	25
20014	1	16	 	 	 	3	3	1	2	22
20014	2	88	 	 	 	 	 	 	 	 
20014	3	88	 	 	 	 	 	 	 	 
20015	1	42	3	3	3	3	3	1	2	9
20015	2	47	 	2	2	2	2	1	4	18
20015	3	38	 	 	 	 	2	1	2	25
20016	1	25	 	 	 	3	 	2	7	88
20016	2	88	 	 	 	 	 	 	 	 
20016	3	88	 	 	 	 	 	 	 	 
20017	1	16	 	 	 	4	4	2	7	88
20017	2	47	2	2	2	2	2	2	7	88
20017	3	88	 	 	 	 	 	 	 	 
20018	1	47	2	2	2	3	3	2	7	88
20018	2	40	 	 	 	3	 	2	7	88
20018	3	88	 	 	 	 	 	 	 	 
20019	1	47	 	 	2	3	4	2	7	88
20019	2	88	 	 	 	 	 	 	 	 
20019	3	88	 	 	 	 	 	 	 	 
20020	1	38	 	 	 	4	4	9	23	8
20020	2	16	 	 	 	4	 	11	2	1
20020	3	47	 	 	 	3	3	1	2	8
20022	1	47	 	 	 	 	3	1	2	7
20022	2	40	 	 	 	2	 	1	2	9
20022	3	88	 	 	 	 	 	 	 	 
20023	1	37	 	4	4	4	4	1	2	25
20023	2	16	 	 	3	3	 	1	2	22
20023	3	47	 	 	 	2	2	1	2	7
20024	1	47	4	4	4	4	4	1	2	19
20024	2	42	3	3	3	3	 	1	2	9
20024	3	39	2	2	2	2	2	1	2	25
20025	1	47	4	4	4	4	4	1	2	28
20025	2	42	2	2	2	 	 	28	18	7
20025	3	39	 	 	 	2	2	1	2	25
20026	1	47	 	 	3	3	3	1	2	9
20026	2	39	 	 	 	3	3	1	2	25
20026	3	88	 	 	 	 	 	 	 	 
20027	1	16	 	 	 	 	4	1	2	28
20027	2	47	2	2	2	2	2	1	2	28
20027	3	10	 	 	 	2	 	1	2	7
20028	1	40	 	 	 	4	 	9	7	88
20028	2	47	 	 	3	3	 	9	7	88
20028	3	88	 	 	 	 	 	 	 	 
20029	1	47	4	4	4	4	 	1	2	15
20029	2	16	 	 	4	4	4	1	2	10
20029	3	10	 	 	3	3	 	12	1	2
20030	1	23	 	 	 	4	 	1	2	16
20030	2	47	 	 	3	3	3	1	2	12
20030	3	41	2	2	 	 	 	1	2	18
20031	1	47	3	3	3	3	3	1	2	17
20031	2	16	 	 	 	 	4	1	6	17
20031	3	39	2	2	2	2	2	1	2	25
20032	1	47	 	 	2	2	2	7	88	88
20032	2	88	 	 	 	 	 	 	 	 
20032	3	88	 	 	 	 	 	 	 	 
20033	1	47	 	 	 	2	 	1	2	7
20033	2	88	 	 	 	 	 	 	 	 
20033	3	88	 	 	 	 	 	 	 	 
20034	1	38	 	 	4	4	4	1	2	10
20034	2	47	3	3	3	3	3	1	2	18
20034	3	36	 	 	 	 	2	19	9	7
20035	1	1	 	 	 	4	 	9	7	88
20035	2	47	 	 	 	3	3	9	2	1
20035	3	14	 	 	3	 	 	9	7	88
20036	1	47	2	2	2	2	3	18	2	7
20036	2	88	 	 	 	 	 	 	 	 
20036	3	88	 	 	 	 	 	 	 	 
20037	1	47	 	 	2	2	2	18	2	7
20037	2	14	 	 	 	2	 	2	7	88
20037	3	88	 	 	 	 	 	 	 	 
20038	1	47	2	2	2	2	2	1	2	28
20038	2	41	 	2	 	 	 	1	2	18
20038	3	88	 	 	 	 	 	 	 	 
20039	1	36	 	 	4	 	 	1	2	18
20039	2	47	4	4	4	4	4	1	2	18
20039	3	14	 	 	 	2	 	1	7	88
20040	1	47	 	 	 	4	4	9	1	2
20040	2	39	 	 	 	 	2	9	7	88
20040	3	88	 	 	 	 	 	 	 	 
20041	1	47	4	4	4	4	4	1	2	18
20041	2	41	 	 	 	2	 	1	2	18
20041	3	88	 	 	 	 	 	 	 	 
20042	1	47	 	 	2	3	3	2	16	7
20042	2	37	 	 	3	 	 	12	2	1
20042	3	88	 	 	 	 	 	 	 	 
20043	1	47	 	 	2	2	2	2	18	7
20043	2	88	 	 	 	 	 	 	 	 
20043	3	88	 	 	 	 	 	 	 	 
20044	1	47	 	 	 	3	 	17	2	7
20044	2	88	 	 	 	 	 	 	 	 
20044	3	88	 	 	 	 	 	 	 	 
20045	1	41	 	 	1	 	 	7	88	88
20045	2	88	 	 	 	 	 	 	 	 
20045	3	88	 	 	 	 	 	 	 	 
20046	1	47	4	4	4	4	4	1	2	10
20046	2	10	 	 	 	3	3	1	2	7
20046	3	88	 	 	 	 	 	 	 	 
20047	1	47	 	 	 	3	 	17	7	88
20047	2	88	 	 	 	 	 	 	 	 
20047	3	88	 	 	 	 	 	 	 	 
20048	1	35	 	 	 	4	4	1	2	18
20048	2	47	 	3	3	3	3	1	2	28
20048	3	88	 	 	 	 	 	 	 	 
20049	1	47	 	4	4	4	4	1	2	10
20049	2	39	 	2	2	 	 	10	17	9
20049	3	16	 	 	 	3	3	1	2	18
20050	1	47	 	 	2	2	2	7	88	88
20050	2	88	 	 	 	 	 	 	 	 
20050	3	88	 	 	 	 	 	 	 	 
20051	1	41	2	 	 	 	 	9	7	88
20051	2	47	 	 	2	2	2	2	7	88
20051	3	88	 	 	 	 	 	 	 	 
20052	1	12	 	 	3	3	3	1	2	7
20052	2	47	2	2	2	2	2	1	2	18
20052	3	14	 	 	3	3	 	7	88	88
20053	1	47	 	 	 	 	3	2	1	9
20053	2	88	 	 	 	 	 	 	 	 
20053	3	88	 	 	 	 	 	 	 	 
20054	1	88	 	 	 	 	 	 	 	 
20054	2	88	 	 	 	 	 	 	 	 
20054	3	88	 	 	 	 	 	 	 	 
20055	1	47	 	 	 	4	 	1	2	9
20055	2	39	 	 	 	3	 	16	7	88
20055	3	88	 	 	 	 	 	 	 	 
20056	1	47	3	3	2	2	2	6	2	7
20056	2	88	 	 	 	 	 	 	 	 
20056	3	88	 	 	 	 	 	 	 	 
20058	1	16	 	 	 	4	4	1	2	7
20058	2	47	 	 	 	 	3	1	2	7
20058	3	88	 	 	 	 	 	 	 	 
20059	1	38	2	2	 	 	 	7	88	88
20059	2	47	 	 	2	2	2	2	7	88
20059	3	41	 	 	 	 	1	7	88	88
20060	1	12	 	 	 	 	3	17	7	88
20060	2	88	 	 	 	 	 	 	 	 
20060	3	88	 	 	 	 	 	 	 	 
20061	1	37	 	 	 	 	4	17	9	7
20061	2	34	 	 	 	 	4	17	9	19
20061	3	38	 	 	2	 	 	17	7	88
20062	1	47	 	 	2	2	2	2	6	7
20062	2	88	 	 	 	 	 	 	 	 
20062	3	88	 	 	 	 	 	 	 	 
20064	1	10	 	 	 	4	 	16	2	7
20064	2	47	 	2	2	2	2	2	18	7
20064	3	88	 	 	 	 	 	 	 	 
20065	1	47	 	 	 	2	2	2	7	88
20065	2	36	 	 	 	2	 	7	88	88
20065	3	88	 	 	 	 	 	 	 	 
20066	1	47	2	2	3	3	3	2	19	7
20066	2	39	 	 	 	2	 	25	7	88
20066	3	88	 	 	 	 	 	 	 	 
20067	1	47	 	 	 	2	2	9	2	7
20067	2	39	 	 	 	2	 	9	25	2
20067	3	88	 	 	 	 	 	 	 	 
20068	1	47	 	 	2	2	2	6	7	88
20068	2	88	 	 	 	 	 	 	 	 
20068	3	88	 	 	 	 	 	 	 	 
20070	1	39	4	4	4	4	4	1	2	9
20070	2	36	3	 	 	 	 	1	2	9
20070	3	23	 	 	 	2	2	24	8	7
20071	1	39	 	4	 	 	 	17	25	7
20071	2	47	 	 	 	2	2	2	18	7
20071	3	1	 	 	 	2	 	24	7	88
20072	1	42	 	 	 	4	 	2	18	7
20072	2	47	2	2	3	4	4	2	18	7
20072	3	16	 	 	 	 	3	2	22	7
20073	1	47	 	 	 	4	 	1	2	22
20073	2	88	 	 	 	 	 	 	 	 
20073	3	88	 	 	 	 	 	 	 	 
20074	1	47	 	 	 	 	4	1	2	9
20074	2	88	 	 	 	 	 	 	 	 
20074	3	88	 	 	 	 	 	 	 	 
20075	1	16	 	 	 	4	 	6	7	88
20075	2	47	 	 	2	2	2	2	7	88
20075	3	88	 	 	 	 	 	 	 	 
20076	1	47	 	3	3	3	3	2	7	88
20076	2	1	 	 	 	2	 	7	88	88
20076	3	88	 	 	 	 	 	 	 	 
20077	1	47	 	4	 	 	 	2	1	16
20077	2	88	 	 	 	 	 	 	 	 
20077	3	88	 	 	 	 	 	 	 	 
20078	1	47	 	 	3	3	3	1	2	17
20078	2	88	 	 	 	 	 	 	 	 
20078	3	88	 	 	 	 	 	 	 	 
20079	1	47	 	 	4	4	4	1	2	22
20079	2	41	 	 	 	3	 	1	2	28
20079	3	42	 	 	 	 	2	1	2	18
20080	1	47	4	4	4	4	2	2	1	7
20080	2	88	 	 	 	 	 	 	 	 
20080	3	88	 	 	 	 	 	 	 	 
20081	1	34	 	 	 	4	 	1	2	12
20081	2	47	 	3	3	3	3	1	2	12
20081	3	88	 	 	 	 	 	 	 	 
20082	1	47	 	 	2	2	2	7	88	88
20082	2	88	 	 	 	 	 	 	 	 
20082	3	88	 	 	 	 	 	 	 	 
20083	1	88	 	 	 	 	 	 	 	 
20083	2	88	 	 	 	 	 	 	 	 
20083	3	88	 	 	 	 	 	 	 	 
20084	1	47	 	 	 	4	4	17	2	7
20084	2	88	 	 	 	 	 	 	 	 
20084	3	88	 	 	 	 	 	 	 	 
20085	1	39	 	4	4	 	 	2	1	25
20085	2	16	 	4	4	 	 	2	1	7
20085	3	47	2	2	2	2	2	2	1	7
20086	1	47	 	 	2	2	2	7	88	88
20086	2	88	 	 	 	 	 	 	 	 
20086	3	88	 	 	 	 	 	 	 	 
20087	1	47	 	 	2	2	2	7	88	88
20087	2	88	 	 	 	 	 	 	 	 
20087	3	88	 	 	 	 	 	 	 	 
20088	1	47	2	2	2	3	3	2	7	88
20088	2	88	 	 	 	 	 	 	 	 
20088	3	88	 	 	 	 	 	 	 	 
20089	1	38	 	 	3	 	 	16	2	1
20089	2	88	 	 	 	 	 	 	 	 
20089	3	88	 	 	 	 	 	 	 	 
20090	1	47	 	 	 	 	3	2	1	7
20090	2	88	 	 	 	 	 	 	 	 
20090	3	88	 	 	 	 	 	 	 	 
20091	1	47	2	2	2	3	3	2	7	88
20091	2	88	 	 	 	 	 	 	 	 
20091	3	88	 	 	 	 	 	 	 	 
20092	1	47	4	4	4	4	4	1	2	28
20092	2	40	 	3	 	 	 	1	2	88
20092	3	88	 	 	 	 	 	 	 	 
20093	1	47	 	 	2	2	2	2	7	88
20093	2	88	 	 	 	 	 	 	 	 
20093	3	88	 	 	 	 	 	 	 	 
20094	1	37	 	 	 	3	 	9	17	7
20094	2	38	 	 	3	 	 	8	7	88
20094	3	47	 	 	 	3	 	2	7	88
20095	1	47	4	4	4	4	4	2	7	88
20095	2	88	 	 	 	 	 	 	 	 
20095	3	88	 	 	 	 	 	 	 	 
20096	1	16	 	 	 	3	 	7	88	88
20096	2	47	 	 	 	2	 	7	88	88
20096	3	88	 	 	 	 	 	 	 	 
20097	1	47	 	 	2	2	2	2	15	9
20097	2	88	 	 	 	 	 	 	 	 
20097	3	88	 	 	 	 	 	 	 	 
20098	1	47	4	4	4	4	4	2	7	88
20098	2	88	 	 	 	 	 	 	 	 
20098	3	88	 	 	 	 	 	 	 	 
20099	1	88	 	 	 	 	 	 	 	 
20099	2	88	 	 	 	 	 	 	 	 
20099	3	88	 	 	 	 	 	 	 	 
20100	1	13	 	 	 	4	 	2	18	7
20100	2	38	 	 	 	 	4	2	25	7
20100	3	47	 	 	2	2	2	2	7	88
30001	1	47	 	 	4	4	4	1	2	28
30001	2	42	 	 	2	2	2	28	88	88
30001	3	88	 	 	 	 	 	 	 	 
30002	1	88	 	 	 	 	 	 	 	 
30002	2	41	 	 	 	1	 	7	88	88
30002	3	88	 	 	 	 	 	 	 	 
30003	1	34	 	2	 	 	 	22	88	88
30003	2	88	 	 	 	 	 	 	 	 
30003	3	88	 	 	 	 	 	 	 	 
30004	1	16	 	 	 	4	 	1	2	9
30004	2	47	 	 	 	3	3	1	2	9
30004	3	88	 	 	 	 	 	 	 	 
30005	1	42	 	 	 	 	4	9	7	88
30005	2	16	 	4	4	 	 	9	7	88
30005	3	47	 	 	 	3	3	9	2	7
30006	1	47	 	 	2	2	2	2	18	88
30006	2	42	 	 	 	 	2	19	88	88
30006	3	88	 	 	 	 	 	 	 	 
30007	1	38	 	 	 	 	4	16	9	88
30007	2	16	 	 	 	 	4	9	88	88
30007	3	47	 	 	 	 	2	2	88	88
30008	1	16	 	 	 	4	 	17	7	88
30008	2	47	 	 	 	2	2	2	17	7
30008	3	88	 	 	 	 	 	 	 	 
30009	1	39	 	 	 	2	 	9	88	77
30009	2	47	 	 	 	2	2	2	88	88
30009	3	1	 	1	 	 	 	7	88	88
30010	1	37	 	 	4	4	4	18	88	88
30010	2	16	 	 	 	4	4	18	7	88
30010	3	47	 	 	2	2	 	1	2	7
30011	1	47	 	 	2	3	4	2	9	88
30011	2	88	 	 	 	 	 	 	 	 
30011	3	88	 	 	 	 	 	 	 	 
30012	1	42	 	3	3	3	 	2	18	88
30012	2	47	 	 	 	2	2	1	2	28
30012	3	88	 	 	 	 	 	 	 	 
30013	1	41	 	2	 	 	 	7	88	88
30013	2	47	 	 	2	2	2	7	88	88
30013	3	88	 	 	 	 	 	 	 	 
30014	1	47	 	 	3	3	 	1	2	7
30014	2	88	 	 	 	 	 	 	 	 
30014	3	88	 	 	 	 	 	 	 	 
30015	1	39	 	 	 	2	 	7	88	88
30015	2	47	 	 	2	2	2	2	6	7
30015	3	88	 	 	 	 	 	 	 	 
30016	1	47	2	2	2	2	2	2	88	88
30016	2	88	 	 	 	 	 	 	 	 
30016	3	88	 	 	 	 	 	 	 	 
30018	1	39	 	3	3	3	3	18	9	88
30018	2	47	 	 	2	2	2	1	2	88
30018	3	88	 	 	 	 	 	 	 	 
30019	1	88	 	 	 	 	 	 	 	 
