CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10015	26	0	 	 
10015	27	0	 	 
10015	28	0	 	 
10015	29	0	 	 
10015	30	0	 	 
10015	31	0	 	 
10016	1	1	750	 
10016	2	1	400	 
10016	3	1	300	88
10016	4	1	800	2
10016	5	0	 	 
10016	6	1	250	 
10016	7	1	120	88
10016	8	1	400	1
10016	9	1	800	2
10016	10	1	300	88
10016	11	1	6800	2
10016	12	1	60	88
10016	13	1	3000	2
10016	14	0	 	 
10016	15	1	150	1
10016	16	1	2500	2
10016	17	1	120	0
10016	18	0	 	 
10016	19	0	 	 
10016	20	0	 	 
10016	21	0	 	 
10016	22	0	 	 
10016	23	0	 	 
10016	24	0	 	 
10016	25	0	 	 
10016	26	1	1400	1
10016	27	0	 	 
10016	28	0	 	 
10016	29	0	 	 
10016	30	0	 	 
10016	31	0	 	 
10017	1	0	 	 
10017	2	0	 	 
10017	3	1	150	4
10017	4	0	 	 
10017	5	0	 	 
10017	6	1	100	 
10017	7	1	250	4
10017	8	1	350	88
10017	9	1	200	88
10017	10	1	180	4
10017	11	1	50	88
10017	12	1	50	4
10017	13	1	500	88
10017	14	1	500	4
10017	15	1	110	2
10017	16	0	 	 
10017	17	0	 	 
10017	18	0	 	 
10017	19	0	 	 
10017	20	0	 	 
10017	21	0	 	 
10017	22	0	 	 
10017	23	0	 	 
10017	24	0	 	 
10017	25	0	 	 
10017	26	0	 	 
10017	27	0	 	 
10017	28	0	 	 
10017	29	0	 	 
10017	30	0	 	 
10017	31	0	 	 
10018	1	0	 	 
10018	2	0	 	 
10018	3	0	 	 
10018	4	0	 	 
10018	5	0	 	 
10018	6	1	42	 
10018	7	1	68	77
10018	8	1	200	4
10018	9	1	500	4
10018	10	0	 	 
10018	11	1	50	4
10018	12	1	110	4
10018	13	0	 	 
10018	14	0	 	 
10018	15	1	350	1
10018	16	0	 	 
10018	17	1	24	88
10018	18	1	39	88
10018	19	0	 	 
10018	20	0	 	 
10018	21	0	 	 
10018	22	0	 	 
10018	23	0	 	 
10018	24	0	 	 
10018	25	0	 	 
10018	26	0	 	 
10018	27	0	 	 
10018	28	0	 	 
10018	29	0	 	 
10018	30	0	 	 
10018	31	0	 	 
10020	1	1	500	 
10020	2	0	 	 
10020	3	1	300	3
10020	4	0	 	 
10020	5	1	250	 
10020	6	0	 	 
10020	7	1	200	3
10020	8	0	 	 
10020	9	0	 	 
10020	10	1	170	4
10020	11	0	 	 
10020	12	1	220	1
10020	13	0	 	 
10020	14	0	 	 
10020	15	1	300	3
10020	16	0	 	 
10020	17	1	250	1
10020	18	1	30	1
10020	19	0	 	 
10020	20	0	 	 
10020	21	0	 	 
10020	22	0	 	 
10020	23	0	 	 
10020	24	0	 	 
10020	25	0	 	 
10020	26	1	100	1
10020	27	0	 	 
10020	28	0	 	 
10020	29	0	 	 
10020	30	0	 	 
10020	31	0	 	 
10021	1	1	1280	 
10021	2	0	 	 
10021	3	1	800	88
10021	4	1	400	4
10021	5	1	500	 
10021	6	0	 	 
10021	7	1	200	88
10021	8	1	300	4
10021	9	1	400	4
10021	10	0	 	 
10021	11	1	150	4
10021	12	1	250	88
10021	13	0	 	 
