CHILDCODE	LIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTR4	FINPAYR4	PYTIMER4	NOBACKR4
10055	2	2	6	1	10	2003	750	8	1	1	 
10055	3	2	6	1	11	2004	720	8	1	1	 
10055	4	2	6	1	10	2005	780	8	1	1	 
10056	1	9	8	1	12	2005	2000	10	0	 	 
10057	1	10	2	15	1	2006	100	0	1	1	 
10059	1	8	1	19	9	2005	300	0	1	1	 
10059	2	10	1	19	2	2006	300	0	0	 	 
10064	1	15	1	2	3	2006	600	10	0	 	 
10064	2	15	1	2	11	2004	600	10	1	1	 
10067	1	15	2	2	12	2004	1000	10	1	1	 
10068	1	8	2	15	1	2004	300	0	1	1	 
10070	1	2	1	19	1	2005	2000	-77	0	 	 
10070	2	10	1	7	2	2006	2000	0	0	 	 
10071	1	10	3	4	77	2003	300	0	1	1	 
10071	2	10	3	18	77	2003	600	0	1	1	 
10071	3	10	3	18	2	2005	300	0	1	1	 
10073	1	10	1	2	4	2006	100	0	1	1	 
10074	1	10	5	7	2	2006	920	0	1	1	 
10076	1	3	1	19	6	2004	7000	12	0	 	 
10077	1	7	2	8	11	2002	10000	10	0	 	 
10077	2	8	2	8	11	2002	8500	0	1	0	11
10080	1	5	3	2	4	2002	2500	0	0	 	 
10082	1	8	1	2	3	2006	300	0	1	1	 
10082	2	8	2	2	2	2006	285	0	1	1	 
10083	1	2	2	2	4	2004	10000	7	0	 	 
10083	2	2	2	2	11	2005	3000	0	0	 	 
10084	1	10	3	3	2	2004	300	0	1	1	 
10084	2	10	3	4	2	2006	200	0	0	 	 
10085	1	10	1	2	8	2005	250	0	1	1	 
10085	2	10	1	2	4	2003	300	0	1	1	 
10087	1	2	2	3	2	2006	2000	0	0	 	 
10090	1	6	4	13	2	2004	8000	10	0	 	 
10094	1	8	1	7	6	2002	1000	0	1	1	 
10096	1	13	2	2	1	2005	500	0	1	1	 
10097	1	8	1	4	4	2004	2000	0	1	1	 
10098	1	10	1	15	4	2003	600	0	1	1	 
10098	2	10	1	15	1	2005	500	0	1	1	 
10099	1	10	2	2	3	2006	1500	0	0	 	 
10100	1	6	1	10	1	2004	136000	-77	0	 	 
20005	1	7	3	8	5	2006	5000	8	0	 	 
20008	1	7	2	40	3	2003	3000	-77	1	1	 
20011	1	10	2	6	5	2006	700	0	0	 	 
20016	1	8	7	3	4	2005	600	0	1	1	 
20017	1	10	1	40	12	2005	3500	0	0	 	 
20027	1	9	2	2	4	2006	3000	-77	0	 	 
20030	1	10	1	10	9	2005	5000	0	0	 	 
20034	1	12	2	19	2	2006	500	-77	0	 	 
20037	1	10	1	4	10	2005	250	0	0	 	 
20041	1	5	2	19	4	2004	3000	-77	1	1	 
20042	1	7	2	40	77	2003	3400	-77	0	 	 
20042	2	10	1	2	1	2005	500	0	0	 	 
20042	3	7	1	2	1	2004	1700	-77	0	 	 
20053	1	10	1	10	5	2006	1500	0	0	 	 
20054	1	8	4	2	10	2002	800	0	1	1	 
20054	2	7	5	1	8	2004	2500	15	1	1	 
20054	3	8	5	1	6	2006	5000	0	0	 	 
20055	1	7	2	15	5	2005	2400	-77	0	 	 
20064	1	10	2	4	11	2005	2000	0	1	0	6
20064	2	10	4	41	77	2003	5000	0	1	0	6
20065	1	2	2	40	1	2006	2000	0	0	 	 
20066	1	5	2	8	5	2005	2000	6	0	 	 
20071	1	10	2	41	1	2006	20000	0	1	1	 
20072	1	10	2	7	5	2006	100	0	1	1	 
20072	2	10	2	6	77	2004	200	0	1	1	 
20074	1	7	1	6	8	2005	1000	-77	0	 	 
20076	1	7	13	1	1	2005	6900	-77	1	1	 
20076	2	7	13	1	1	2004	6900	-77	1	1	 
20076	3	7	13	1	1	2003	5000	-77	1	1	 
20076	4	7	13	1	1	2002	5000	-77	1	1	 
20078	1	7	1	18	5	2005	5000	-77	1	1	 
20078	2	12	1	10	2	2006	5000	-77	0	 	 
20079	1	7	2	1	1	2006	5000	-77	0	 	 
20080	1	10	16	2	2	2006	1100	0	0	 	 
20080	2	10	2	40	7	2002	5000	0	0	 	 
20089	1	9	1	8	6	2003	10000	10	0	 	 
20089	2	9	2	2	11	2005	400	10	0	 	 
20095	1	10	2	2	2	2005	300	0	1	1	 
20099	1	7	2	8	3	2004	8000	-77	1	1	 
20100	1	10	2	19	12	2005	450	0	0	 	 
30002	1	2	4	10	2	2005	5000	0	1	1	 
30004	1	10	2	2	1	2005	6600	0	0	 	 
30006	1	5	2	6	3	2005	15000	0	0	 	 
30007	1	10	2	7	2	2006	2600	0	0	 	 
30008	1	8	3	40	3	2003	40000	0	1	1	 
30022	1	12	2	40	2	2004	2000	-77	0	 	 
30025	1	12	2	41	12	2005	8000	-77	0	 	 
30035	1	10	5	19	12	2005	200	40	1	1	 
30038	1	5	1	8	9	2005	160000	-77	0	 	 
30041	1	5	2	19	9	2005	1600	-77	0	 	 
30043	1	7	6	40	8	2005	5000	-77	0	 	 
30044	1	10	2	2	12	2004	500	0	1	1	 
30044	2	10	2	2	1	2006	2000	0	0	 	 
30052	1	7	6	2	5	2003	1000	-77	1	1	 
30055	1	5	2	2	5	2005	2000	-77	0	 	 
30057	1	12	2	1	11	2004	6000	-77	0	 	 
30059	1	7	2	7	3	2005	4000	-77	1	1	 
30060	1	6	2	8	12	2005	6000	-77	0	 	 
30064	1	5	1	19	12	2005	2000	-77	0	 	 
30065	1	10	1	10	12	2005	150	0	0	 	 
30071	1	7	6	40	9	2005	3000	-77	0	 	 
30071	2	8	8	41	77	2005	15000	0	0	 	 
30072	1	8	3	6	11	2005	2500	0	0	 	 
30074	1	10	1	13	12	2006	530	0	0	 	 
30075	1	8	2	2	9	2005	60	0	1	1	 
30081	1	6	3	4	2	2004	2000	-88	0	 	 
30082	1	7	2	40	1	2006	30000	2000	0	 	 
30084	1	7	2	13	1	2005	5000	144	0	 	 
30091	1	6	2	8	2	2005	5000	-77	0	 	 
30094	1	10	2	13	10	2005	2000	0	1	1	 
30095	1	2	2	2	3	2002	1400	300	1	1	 
40002	1	4	2	2	4	2005	1000	5	0	 	 
40004	1	7	3	19	1	2004	400000	9	0	 	 
40006	1	7	2	3	3	2004	5000	13	0	 	 
40006	2	4	2	3	1	2006	200	5	0	 	 
40006	3	4	2	3	2	2005	400	5	1	1	 
40008	1	10	9	2	12	2005	2000	0	0	 	 
40011	1	6	1	2	12	2005	500	36	0	 	 
40013	1	6	2	2	9	2005	300	36	1	1	 
40014	1	7	2	19	1	1999	5000	10	1	1	 
40016	1	7	1	40	10	2004	18000	6	0	 	 
40017	1	9	2	2	11	2003	250	0	0	 	 
40018	1	7	1	5	8	2005	7000	10	0	 	 
40022	1	7	1	2	9	2004	10000	13	0	 	 
40024	1	7	1	8	4	2005	7000	18	0	 	 
40024	2	7	1	2	4	2004	3500	13	1	1	 
40025	1	6	2	4	2	2006	500	15	0	 	 
40027	1	10	2	1	8	2005	3000	0	1	0	1
40031	1	7	1	8	7	2005	51000	13	0	 	 
40032	1	8	5	40	4	2002	5000	0	1	1	 
40034	1	9	2	6	11	2005	500	25	0	 	 
40034	2	10	2	6	12	2005	1200	0	0	 	 
40036	1	4	1	2	11	2005	1700	10	0	 	 
40037	1	7	1	19	9	2002	5000	15	0	 	 
40039	1	7	2	41	8	2005	15000	18	0	 	 
40040	1	7	2	16	9	2005	5000	15	0	 	 
40041	1	10	2	2	12	2005	200	0	0	 	 
40041	2	2	2	2	10	2005	300	20	0	 	 
40041	3	10	2	2	2	2006	100	5	0	 	 
40041	4	10	2	2	8	2005	200	5	1	1	 
40041	5	10	2	2	7	2005	250	5	1	1	 
40042	1	8	1	8	1	2004	5000	0	1	1	 
40043	1	7	6	7	4	2005	1500	-77	0	 	 
40047	1	10	2	7	7	2004	400	0	0	 	 
40050	1	7	1	2	11	2005	3000	-77	0	 	 
40050	2	10	1	2	1	2006	2000	0	0	 	 
40051	1	4	1	19	1	2005	45000	10	0	 	 
40052	1	7	1	8	12	2005	75000	18	1	1	 
40054	1	7	1	3	5	2005	7000	18	0	 	 
40055	1	8	1	8	8	2004	8350	0	0	 	 
40055	2	7	2	10	1	2006	15000	15	0	 	 
40058	1	10	8	2	10	2005	700	0	0	 	 
40059	1	6	2	10	9	2005	4000	10	1	1	 
40059	2	2	2	10	9	2005	2000	60	0	 	 
40064	1	7	1	8	5	2004	5000	-77	0	 	 
40072	1	6	1	8	10	2005	8000	10	0	 	 
40073	1	7	1	4	6	2005	1000	3	0	 	 
40073	2	10	1	10	6	2003	2000	0	0	 	 
40074	1	4	2	2	10	2005	800	10	0	 	 
40075	1	6	1	19	3	2006	200	0	0	 	 
40078	1	7	2	3	8	2005	7000	13	0	 	 
40078	2	7	2	3	8	2004	7000	13	1	1	 
40078	3	7	2	3	8	2003	7000	13	1	1	 
40078	4	7	2	3	8	2002	7000	13	1	1	 
40080	1	10	2	7	12	2004	1000	0	0	 	 
40081	1	7	1	8	11	2003	10000	18	0	 	 
40083	1	7	1	8	10	2004	10000	18	0	 	 
40084	1	10	2	10	5	2005	12000	0	1	1	 
40085	1	7	2	16	2	2006	1500	15	0	 	 
40085	2	10	2	8	10	2004	2000	0	0	 	 
40089	1	8	2	10	9	2005	1300	0	0	 	 
40090	1	7	1	10	5	2004	7000	13	0	 	 
40091	1	7	1	10	12	2004	7000	13	0	 	 
40091	2	4	1	19	1	2006	2000	 	0	 	 
40092	1	6	3	2	11	2005	3000	0	0	 	 
40094	1	2	2	7	3	2003	9000	7	1	0	11
40097	1	7	2	4	4	2002	4000	10	1	1	 
40097	2	7	2	4	4	2005	5000	10	0	 	 
40098	1	4	1	10	1	2003	2000	0	0	 	 
40098	2	4	1	15	1	2006	110	0	0	 	 
40100	1	7	3	40	3	2003	6000	15	1	1	 
40100	2	10	3	4	2	2006	200	0	0	 	 
50001	1	3	2	2	10	2002	1500	10	0	 	 
50003	1	7	19	3	4	2004	6000	-77	0	 	 
50004	1	7	1	10	12	2004	1400	15	0	 	 
50006	1	4	1	2	1	2006	2000	60	0	 	 
50008	1	7	1	1	8	2003	5000	10	0	 	 
50009	1	7	1	3	5	2005	7000	8	0	 	 
50010	1	2	1	2	1	2006	1000	100	1	1	 
50010	2	4	1	2	1	2006	300	100	1	1	 
50014	1	10	1	2	1	2006	300	0	0	 	 
50018	1	10	2	2	10	2005	1500	0	0	 	 
50019	1	4	1	2	12	2005	1000	4	1	1	 
50020	1	10	2	2	11	2005	2000	0	0	 	 
50022	1	14	3	1	8	2002	4000	-77	0	 	 
50024	1	4	1	2	12	2005	200	60	1	1	 
50025	1	7	1	8	10	2003	5000	1	0	 	 
50030	1	10	2	8	11	2005	7000	0	0	 	 
50030	2	7	2	19	10	2005	7500	18	0	 	 
50032	1	7	1	4	9	2004	10000	7	0	 	 
50033	1	8	1	2	1	2006	210	0	0	 	 
50036	1	7	2	19	10	2004	9000	15	0	 	 
50036	2	4	2	19	5	1999	15000	4	0	 	 
50038	1	8	1	8	1	2006	1000	0	0	 	 
50039	1	7	16	8	6	2002	2000	-77	0	 	 
50041	1	5	2	41	9	2005	7000	10	0	 	 
50042	1	8	1	2	12	2005	400	0	0	 	 
50048	1	5	1	41	4	2001	2000	4	0	 	 
50049	1	10	1	2	10	2005	700	0	0	 	 
50050	1	4	1	7	7	2005	400	120	0	 	 
50052	1	7	1	19	11	2002	4200	15	0	 	 
50053	1	8	1	2	2	2006	500	36	0	 	 
50054	1	10	4	18	1	2006	2500	0	0	 	 
50054	2	10	4	3	6	2006	2500	0	0	 	 
50057	1	6	2	2	5	2005	400	0	0	 	 
50058	1	7	1	19	2	2005	7000	15	0	 	 
50059	1	3	1	8	2	2004	5000	0	0	 	 
50061	1	7	3	10	7	2002	5000	15	0	 	 
50068	1	4	0	2	10	2005	3500	5	0	 	 
50072	1	7	5	2	10	2005	10000	16	0	 	 
50073	1	7	1	8	3	2004	2000	15	1	1	 
50074	1	7	2	7	5	2003	5000	15	0	 	 
50074	2	10	2	7	6	2005	3000	0	0	 	 
50075	1	8	1	2	1	2006	2000	0	0	 	 
50076	1	4	1	2	11	2005	400	48	1	1	 
50076	2	10	1	10	6	2004	500	0	1	1	 
50077	1	7	1	1	12	2005	3500	10	0	 	 
50082	1	10	2	2	9	2005	1000	60	0	 	 
50082	2	5	1	1	10	2005	2550	0	0	 	 
50082	3	10	1	10	5	2006	1200	0	0	 	 
50084	1	8	2	2	1	2006	850	0	1	1	 
50086	1	10	1	1	2	2006	1000	4	0	 	 
50087	1	4	1	2	10	2005	500	5	0	 	 
50088	1	8	1	1	1	2006	300	0	0	 	 
50092	1	10	2	2	2	2006	200	0	0	 	 
50096	1	4	1	2	10	2005	1000	48	1	1	 
50099	1	8	2	6	2	2004	200	5	1	1	 
50100	1	2	1	1	9	2005	500	-77	1	1	 
60002	1	7	1	14	8	2002	2500	18	1	1	 
60002	2	7	1	2	8	2003	3000	18	1	1	 
60002	3	7	1	14	8	2004	3500	18	1	1	 
60002	4	7	1	2	8	2005	4000	18	0	 	 
60003	1	7	16	1	7	2005	4000	18	0	 	 
60003	2	2	16	1	11	2005	1200	14	0	 	 
60003	3	2	16	1	11	2004	1200	14	0	 	 
60003	4	2	16	1	11	2003	1200	7	1	1	 
60004	1	7	2	14	9	2005	3500	18	0	 	 
60004	2	10	2	2	11	2005	200	0	1	1	 
60004	3	2	1	1	9	2005	1130	14	0	 	 
60004	4	7	2	14	9	2004	3000	18	1	1	 
60004	5	2	1	1	9	2004	900	14	1	1	 
60004	6	7	2	14	9	2003	2500	18	1	1	 
60004	7	2	1	1	9	2003	550	7	1	1	 
60004	8	7	2	14	9	2002	2000	18	1	1	 
60004	9	2	1	1	9	2002	435	-77	1	1	 
60005	1	7	1	1	5	2004	7000	18	0	 	 
60006	1	7	1	1	8	2002	500	18	1	1	 
60006	2	2	1	1	10	2002	677	7	1	1	 
60006	3	7	1	1	8	2003	2000	18	1	1	 
60006	4	2	1	1	10	2003	677	7	1	1	 
60006	5	7	1	1	8	2004	3000	18	1	1	 
60006	6	2	1	1	8	2004	677	14	1	1	 
60006	7	7	1	1	8	2005	4500	18	0	 	 
60006	8	2	1	1	10	2005	677	14	0	 	 
60006	9	10	1	1	2	2005	1372	0	1	0	2
60007	1	7	1	10	8	2005	2000	18	0	 	 
60007	2	7	1	14	8	2004	3000	18	1	1	 
60007	3	7	1	14	8	2003	3000	18	1	1	 
60007	4	7	1	14	8	2002	3000	18	1	1	 
60009	1	7	1	1	7	2002	2400	18	1	1	 
60009	2	7	1	1	7	2003	2800	18	1	1	 
60009	3	7	1	1	7	2004	3300	18	1	1	 
60009	4	7	1	1	8	2005	3500	18	0	 	 
60009	5	2	1	1	10	2004	300	14	0	 	 
60009	6	2	1	1	10	2005	300	14	0	 	 
60010	1	10	16	1	3	2006	2200	0	0	 	 
60010	2	2	16	1	10	2005	2200	14	0	 	 
60010	3	7	16	14	7	2005	4000	18	0	 	 
60010	4	7	16	41	2	2005	10000	18	0	 	 
60010	5	2	16	1	11	2004	1200	14	1	1	 
60010	6	7	16	14	7	2004	4000	18	1	1	 
60010	7	2	16	1	11	2003	1500	7	1	1	 
60010	8	7	16	14	7	2003	3500	18	1	1	 
60010	9	2	16	1	11	2002	1000	7	1	1	 
60010	10	7	16	14	7	2002	3500	18	1	1	 
60011	1	7	2	10	8	2005	4000	18	0	 	 
60011	2	10	1	1	1	2005	200	0	1	1	 
60011	3	7	2	14	8	2002	3000	18	1	1	 
60011	4	7	2	14	8	2003	3400	18	1	1	 
60011	5	7	2	1	8	2004	3400	18	1	1	 
60012	1	7	1	14	7	2005	4000	18	0	 	 
60012	2	2	1	1	10	2005	400	14	0	 	 
60012	3	7	1	14	7	2004	3000	18	1	1	 
60012	4	2	1	1	10	2004	400	14	1	1	 
60012	5	7	1	14	7	2003	2800	18	1	1	 
60012	6	2	1	1	10	2003	400	7	1	1	 
60012	7	7	1	14	7	2002	2500	18	1	1	 
60012	8	2	1	1	10	2002	400	7	1	1	 
60016	1	7	1	1	8	2002	2000	18	1	1	 
60016	2	7	1	1	8	2003	2500	18	1	1	 
60016	3	7	1	1	8	2004	3000	18	1	1	 
60016	4	7	1	1	8	2005	3000	18	1	1	 
60016	5	2	1	1	10	2005	600	14	1	1	 
60016	6	7	1	10	2	2006	9000	18	0	 	 
60017	1	7	2	18	7	2005	5000	18	0	 	 
60017	2	8	4	1	11	2005	200	14	0	 	 
60017	3	7	2	7	7	2004	2000	18	1	1	 
60017	4	7	2	1	7	2003	1800	18	1	1	 
60017	5	7	2	1	7	2002	1500	18	1	1	 
60018	1	7	2	2	7	2005	2800	18	0	 	 
60018	2	7	2	2	7	2004	2600	18	1	1	 
60018	3	7	2	1	7	2003	2400	18	1	1	 
60018	4	7	2	1	7	2002	2400	18	1	1	 
60019	1	8	1	1	1	2006	100	0	1	1	 
60019	2	2	1	1	10	2005	300	14	0	 	 
60019	3	7	2	14	8	2005	3500	18	0	 	 
60019	4	8	1	18	8	2004	2000	0	1	1	 
60019	6	8	1	18	8	2004	2500	0	1	1	 
60019	7	7	2	14	8	2004	3000	18	1	1	 
60019	8	2	1	1	10	2004	150	14	1	1	 
60019	9	8	1	18	8	2003	1500	0	1	1	 
60019	10	7	2	14	8	2003	1500	18	1	1	 
60019	11	2	1	1	10	2003	150	7	1	1	 
60019	12	8	1	18	8	2002	1500	0	1	1	 
60019	13	7	2	14	8	2002	2000	18	1	1	 
60019	14	2	1	1	10	2002	150	7	1	1	 
60020	1	8	1	2	1	2006	300	0	0	 	 
60020	2	8	2	18	4	2006	200	0	0	 	 
60020	3	7	2	14	9	2005	4000	18	0	 	 
60020	4	2	1	1	11	2005	900	14	0	 	 
60020	5	7	2	14	8	2004	2800	18	1	1	 
60020	6	2	1	1	11	2004	600	14	1	1	 
60020	7	7	2	14	8	2003	2000	18	1	1	 
60020	8	2	1	1	11	2003	600	7	1	1	 
60020	9	7	2	14	8	2002	2000	18	1	1	 
60020	10	2	1	1	11	2002	300	7	1	1	 
60021	1	2	1	1	10	2003	300	7	1	1	 
60021	2	2	1	1	10	2004	600	14	1	1	 
60021	3	2	1	1	10	2005	600	14	0	 	 
60021	4	10	1	2	10	2005	300	0	1	1	 
60021	5	10	1	2	1	2006	500	0	1	1	 
60023	1	7	2	1	8	2002	1800	18	1	1	 
60023	2	7	2	14	8	2003	2500	18	1	1	 
60023	3	7	2	14	9	2004	3000	18	1	1	 
60023	4	7	2	14	9	2005	4000	18	0	 	 
60023	5	2	4	1	11	2005	640	14	0	 	 
60024	1	7	2	1	9	2002	2000	18	1	1	 
60024	2	7	2	1	9	2003	2000	18	1	1	 
60024	3	7	2	1	9	2004	2000	18	1	1	 
60024	4	2	1	1	11	2004	600	14	1	1	 
60024	5	7	2	1	9	2005	3500	18	0	 	 
60024	6	2	1	1	11	2005	600	14	0	 	 
60025	1	10	2	4	6	2004	600	0	1	1	 
60025	2	10	5	18	11	2005	100	0	1	1	 
60026	1	7	1	14	7	2005	4000	18	0	 	 
60026	2	2	1	1	10	2005	300	14	0	 	 
60026	3	7	1	14	7	2004	3000	18	1	1	 
60026	4	2	1	1	10	2004	300	14	0	 	 
60026	5	7	1	14	7	2003	3000	18	1	1	 
60026	6	2	1	1	10	2003	500	7	1	1	 
60026	7	7	1	14	7	2002	3000	18	1	1	 
60027	1	10	1	8	10	2005	5000	0	0	 	 
60027	2	4	4	3	3	2006	600	20	0	 	 
60027	3	7	1	3	3	2006	24000	18	0	 	 
60029	1	8	2	2	1	2005	100	0	0	 	 
60029	2	8	2	15	11	2005	50	0	0	 	 
60029	3	8	2	15	1	2006	100	0	0	 	 
60030	1	7	2	1	8	2005	3300	18	0	 	 
60030	2	7	2	14	8	2004	2000	18	1	1	 
60030	3	7	2	14	8	2003	1000	18	1	1	 
60030	4	7	2	1	8	2002	600	18	1	1	 
60030	5	2	1	1	11	2005	300	14	0	 	 
60031	1	7	1	1	8	2002	1500	18	1	1	 
60031	2	2	1	1	10	2002	450	7	1	1	 
60031	3	7	1	1	8	2003	1800	18	1	1	 
60031	4	2	1	1	10	2003	500	7	1	1	 
60031	5	7	1	1	8	2004	2000	18	1	1	 
60031	6	2	1	1	10	2004	550	14	1	1	 
60031	7	2	1	1	10	2005	600	14	0	 	 
60031	8	7	1	10	2	2005	8000	18	0	 	 
60032	1	8	1	1	2	2002	2000	0	1	0	11
60032	2	8	1	1	8	2003	1000	0	1	0	12
60032	3	8	1	10	3	2004	600	0	1	1	 
60032	4	8	1	1	2	2006	100	0	1	1	 
60033	1	8	1	2	11	2005	700	0	0	 	 
60033	2	2	1	1	11	2005	600	14	0	 	 
60033	3	2	1	1	11	2004	600	14	0	 	 
60034	1	7	1	14	7	2005	4000	18	0	 	 
60034	2	7	1	14	7	2004	3000	18	1	1	 
60034	3	7	1	14	7	2003	3000	18	1	1	 
60034	4	7	1	14	7	2002	3000	18	1	1	 
60034	5	8	1	2	1	2006	300	0	1	1	 
60035	1	8	1	2	1	2006	1000	0	0	 	 
60035	2	8	1	2	2	2006	1450	0	0	 	 
60035	3	8	1	2	12	2005	800	0	1	0	11
60035	4	7	2	14	8	2005	3500	18	0	 	 
60035	5	7	2	14	8	2004	3100	18	1	1	 
60035	6	7	2	14	8	2003	2100	18	1	1	 
60035	7	7	2	14	8	2002	2000	18	1	1	 
60036	1	7	16	1	7	2002	2400	18	1	1	 
60036	2	7	16	1	7	2003	3000	18	1	1	 
60036	3	2	16	1	11	2003	250	7	1	1	 
60036	4	7	16	1	7	2004	3000	18	1	1	 
60036	5	7	16	1	7	2005	3000	18	0	 	 
60036	6	4	16	10	10	2005	200	20	1	1	 
60037	1	2	1	1	12	2005	300	14	0	 	 
60037	2	10	1	2	11	2005	500	0	0	 	 
60037	3	10	1	2	10	2004	1500	0	1	1	 
60037	4	2	1	1	11	2004	300	14	1	1	 
60038	1	2	1	1	10	2005	315	14	0	 	 
60038	2	8	1	2	8	2005	500	0	1	1	 
60039	1	2	1	1	9	2005	600	14	0	 	 
60039	4	8	1	1	9	2005	600	0	1	1	 
60039	5	8	1	2	11	2005	600	0	1	1	 
60040	1	8	1	2	2	2006	50	0	0	 	 
60041	1	8	1	1	11	2005	500	0	1	1	 
60041	2	8	1	2	9	2005	150	0	0	 	 
60041	3	8	2	1	10	2005	300	0	0	 	 
60041	4	8	2	18	7	2004	800	0	0	 	 
60041	5	8	1	18	7	2004	400	0	0	 	 
60041	6	8	1	18	7	2003	900	0	1	1	 
60043	1	6	1	18	10	2003	5000	15	0	 	 
60043	2	6	1	2	5	2005	600	50	0	 	 
60045	1	7	2	14	8	2005	2000	18	0	 	 
60045	2	8	1	18	6	2005	500	0	1	1	 
60045	3	7	2	14	8	2004	1500	18	1	1	 
60045	4	7	2	14	8	2003	1300	18	1	1	 
60045	5	7	2	14	8	2002	1300	18	1	1	 
60047	1	4	2	2	1	2006	500	25	1	1	 
60047	2	8	2	15	1	2006	500	0	0	 	 
60047	3	4	2	3	12	2005	300	0	0	 	 
60047	4	2	1	1	11	2005	600	14	0	 	 
60047	5	8	2	2	9	2004	600	0	0	 	 
60047	6	4	2	2	8	2003	800	0	1	1	 
60047	7	2	1	1	11	2003	444	7	1	1	 
60047	8	2	1	1	11	2002	600	7	1	1	 
60047	9	4	2	7	3	2002	800	0	1	1	 
60048	1	8	2	2	5	2006	100	0	1	1	 
60048	2	8	2	2	4	2006	100	0	1	1	 
60048	3	10	2	2	5	2006	530	0	1	1	 
60048	4	7	1	14	8	2005	3000	18	0	 	 
60048	5	8	2	2	10	2005	200	0	1	1	 
60048	6	8	1	14	9	2005	1000	0	1	1	 
60048	7	8	1	2	1	2005	500	0	1	1	 
60048	8	7	1	14	8	2004	3000	18	1	1	 
60048	9	7	1	14	8	2003	3000	18	1	1	 
60048	10	7	1	14	8	2002	3000	18	1	1	 
60049	1	10	1	7	9	2004	2000	0	1	1	 
60049	2	8	1	7	9	2004	3000	0	1	1	 
60049	3	10	1	7	9	2004	400	0	1	1	 
60049	4	8	1	7	9	2004	670	0	1	1	 
60049	5	10	1	7	9	2004	200	0	1	1	 
60049	6	8	1	7	9	2004	200	0	1	1	 
60049	7	10	1	7	9	2004	200	0	1	1	 
60049	8	10	1	7	9	2004	200	0	1	1	 
60049	9	7	1	1	7	2003	3000	18	1	1	 
60049	10	7	1	1	7	2004	3000	18	1	1	 
60049	11	7	1	1	7	2005	3000	18	0	 	 
60049	12	8	1	7	9	2004	400	0	0	 	 
60049	13	8	1	7	9	2004	200	0	0	 	 
60049	14	10	1	7	9	2004	100	0	0	 	 
60049	15	8	1	7	9	2004	100	0	1	1	 
60050	1	10	4	2	1	2002	500	0	1	1	 
60050	2	10	1	2	4	2002	1000	10	1	1	 
60050	3	7	1	14	9	2003	4000	18	1	1	 
60050	4	7	1	14	8	2004	4000	18	1	1	 
60050	5	7	1	14	8	2005	4000	18	1	1	 
60050	6	2	1	1	9	2003	2000	18	0	 	 
60051	1	7	1	1	10	2002	700	18	1	1	 
60051	2	7	1	10	7	2003	1000	18	1	1	 
60051	3	7	1	2	10	2004	2000	18	1	1	 
60051	4	7	1	2	7	2005	3000	18	0	 	 
60052	1	10	3	2	11	2005	550	0	1	0	2
60052	2	8	3	2	1	2006	300	0	1	1	 
60052	3	8	3	2	2	2006	200	0	1	1	 
60053	1	10	1	1	2	2006	1500	5	0	 	 
60053	2	10	2	2	3	2006	100	0	0	 	 
