PLACEID	EDUCIDR5	SCHFUNC	NUMSCH	SCHLOC	SCHDES	SCHLOW	SCHHIGH
21	21	Y	174	1	3	10	12
21	22	Y	179	1	3	10	12
21	23	Y	998	1	3	10	12
21	24	Y	998	1	3	10	12
22	1	Y	163	2	3	10	12
22	2	Y	118	1	3	6	9
22	3	Y	36	1	3	1	5
22	4	Y	998	2	3	10	12
22	5	Y	998	2	8	10	12
22	6	Y	998	2	3	10	12
23	1	Y	37	1	3	1	5
23	2	Y	119	1	3	6	9
23	3	Y	998	2	3	10	12
23	4	Y	998	2	1	10	12
24	1	Y	34	1	3	1	5
24	2	Y	116	1	3	7	9
25	1	Y	33	1	3	1	5
25	2	Y	115	1	3	6	9
26	1	Y	114	1	3	6	9
26	2	Y	31	1	3	1	5
26	3	Y	32	1	3	1	5
27	1	Y	117	1	3	6	9
27	2	Y	35	1	3	1	5
27	3	Y	162	1	3	10	12
28	1	Y	26	1	3	1	5
28	2	Y	110	1	3	6	9
29	1	Y	27	1	3	1	5
29	2	Y	998	1	3	1	5
29	3	Y	28	1	3	1	5
29	4	Y	998	1	3	1	5
29	5	Y	111	1	3	6	9
29	6	Y	159	1	3	10	12
29	7	Y	154	1	3	10	12
32	2	Y	109	1	3	1	5
32	3	Y	109	1	3	6	9
32	4	Y	155	1	3	10	12
32	5	Y	998	1	8	10	12
33	1	Y	108	1	3	6	9
33	2	Y	998	1	3	1	5
33	3	Y	20	1	3	1	5
33	4	Y	19	1	3	1	5
34	1	Y	23	1	3	1	5
34	2	Y	22	1	3	1	5
34	3	Y	107	1	3	6	9
34	6	Y	157	1	3	10	12
34	7	Y	107	1	3	6	6
34	8	Y	25	2	3	1	5
35	1	Y	29	1	3	1	5
35	2	Y	18	1	3	1	5
35	3	Y	998	1	3	1	5
35	4	Y	106	1	3	6	9
35	5	Y	113	1	3	6	9
35	6	Y	998	1	3	10	12
36	1	Y	15	1	3	1	5
36	2	Y	17	1	3	1	5
36	3	Y	112	1	3	6	9
36	4	Y	998	2	3	10	12
