CHILDID	REMID	REMREL	REMQNT	REMTYPE	V1070403
VN040023	2	5	20	3	1
VN040024	1	3	10	2	1
VN040025	1	3	10	2	1
VN040026	1	3	5	3	1
VN040028	1	2	1	1	2
VN040030	1	3	5	3	1
VN040030	2	2	20	1	2
VN040031	1	2	60	3	1
VN040031	2	3	60	3	1
VN040033	1	3	4	2	1
VN040033	2	2	2	1	2
VN040035	1	3	5	2	1
VN040035	2	2	1	2	1
VN040036	1	3	12	2	2
VN040036	2	2	12	3	2
VN040036	3	5	10	1	2
VN040037	1	3	3	3	2
VN040037	2	2	3	2	2
VN040038	1	3	240	3	1
VN040038	2	2	36	3	1
VN040044	1	3	4	3	2
VN040045	1	3	10	2	1
VN040046	1	2	36	3	1
VN040046	2	3	24	3	1
VN040046	3	4	12	2	1
VN040046	4	5	1	2	1
VN040047	1	2	2	2	1
VN040047	2	3	6	3	1
VN040048	1	3	24	3	2
VN040048	2	2	8	3	2
VN040049	1	2	2	1	2
VN040051	1	2	10	3	1
VN040051	2	3	6	3	1
VN040052	1	3	3	1	2
VN040053	1	2	240	3	1
VN040053	2	3	60	3	1
VN040053	3	4	120	3	1
VN040053	4	5	240	2	1
VN040054	1	3	10	2	1
VN040054	2	2	3	3	1
VN040054	3	5	2	1	1
VN040055	1	2	5	3	1
VN040055	2	3	3	3	1
VN040056	1	2	6	3	1
VN040056	2	3	3	3	1
VN040058	1	2	5	3	1
VN040058	2	3	6	3	1
VN040060	1	3	6	3	2
VN040060	2	2	3	3	1
VN040061	1	2	2	2	1
VN040061	2	3	3	3	1
VN040061	3	5	40	2	1
VN040064	1	3	2	2	1
VN040064	2	2	3	2	1
VN040066	1	3	3	1	1
VN040066	2	2	1	1	1
VN040069	1	2	36	3	1
VN040069	2	3	2	3	1
VN040070	1	2	60	2	1
VN040070	2	3	60	3	1
VN040071	1	3	12	1	2
VN040071	2	2	2	1	2
VN040073	1	2	5	3	2
VN040073	2	3	7	3	1
VN040076	1	3	30	2	1
VN040077	1	2	6	3	1
VN040077	2	3	5	3	1
VN040078	1	2	3	3	1
VN040078	2	3	5	3	1
VN040079	1	2	4	3	1
VN040079	2	3	6	3	1
VN040082	1	3	7	1	2
VN040085	1	3	3	1	2
VN040085	2	2	8	3	2
VN040087	1	3	3	3	1
VN040087	2	2	4	1	1
VN040088	1	3	15	3	2
VN040088	2	2	4	3	1
VN040091	1	3	3	3	2
VN040091	2	2	2	3	2
VN040092	1	2	120	3	2
VN040092	2	3	240	3	2
VN040092	3	4	2	1	1
VN040092	4	5	24	2	1
VN040093	1	2	60	3	1
VN040093	2	3	375	3	1
VN040093	3	5	42	3	1
VN040094	1	2	8	3	2
VN040094	2	3	6	3	2
VN040095	1	3	24	2	1
VN040095	2	2	60	2	1
VN040096	1	2	4	3	1
VN040096	2	3	2	3	1
VN040097	1	3	120	3	2
VN040097	2	2	60	2	2
VN040098	1	2	5	2	2
VN040098	2	3	8	3	1
VN040100	1	3	9	3	2
VN040106	1	2	7	3	1
VN040106	2	3	6	3	2
VN040108	1	3	2	2	2
VN040108	2	4	2	2	1
VN040119	1	3	4	3	2
VN040119	2	2	3	2	2
VN040122	1	3	40	3	2
VN040151	1	3	6	3	1
VN040151	2	2	3	3	1
VN040171	1	3	10	2	1
VN040174	1	2	1	1	2
VN050002	1	3	1	1	2
VN050003	1	3	5	3	2
VN050003	2	2	10	1	2
VN050004	1	2	1	3	1
VN050004	2	3	12	3	1
VN050004	3	5	6	2	1
VN050005	1	3	1	2	1
VN050007	1	2	3	3	2
VN050009	1	2	5	3	1
VN050009	2	3	4	3	1
VN050010	1	3	1	1	1
VN050010	2	2	1	1	1
VN050011	1	3	5	3	1
VN050011	2	2	3	3	1
VN050012	1	2	4	3	1
VN050012	2	3	12	3	1
VN050013	1	2	240	3	1
VN050013	2	3	15	3	1
VN050013	3	4	12	2	1
VN050013	4	5	60	2	1
VN050015	1	3	10	3	2
VN050015	2	2	4	3	1
VN050015	3	4	4	2	1
VN050017	1	2	1	1	1
VN050018	1	3	12	3	2
VN050019	1	3	3	1	1
VN050019	2	2	2	2	1
VN050019	3	5	2	2	1
VN050021	1	2	5	3	2
VN050021	2	3	4	3	2
VN050022	1	3	12	3	1
VN050023	1	3	3	1	2
VN050024	1	3	10	3	1
VN050025	1	2	10	2	1
VN050025	2	3	2	2	1
VN050025	3	5	20	2	1
VN050026	1	3	12	1	1
VN050027	1	3	50	3	2
VN050028	1	2	3	2	1
VN050028	2	3	25	2	1
VN050028	3	5	7	2	1
VN050029	1	3	4	2	1
VN050033	1	1	12	3	1
VN050033	2	2	3	3	1
VN050033	3	3	2	3	1
VN050033	4	5	4	3	1
VN050036	1	2	6	3	1
VN050036	2	3	8	3	2
VN050037	1	2	5	3	2
VN050037	2	3	2	3	1
VN050040	1	3	4	2	2
VN050041	1	2	2	2	1
VN050041	2	3	4	3	1
VN050041	3	5	5	2	1
VN050042	1	3	365	3	1
VN050042	2	2	48	1	1
VN050042	3	5	60	2	1
VN050043	1	3	20	2	1
VN050043	2	2	7	1	1
VN050044	1	2	144	3	1
VN050044	2	3	24	3	1
VN050044	3	5	12	2	1
VN050045	1	3	5	2	1
VN050045	2	2	2	2	1
VN050046	1	2	12	2	2
VN050046	2	3	3	3	1
VN050046	3	4	120	2	2
VN050047	1	2	22	3	1
VN050047	2	3	300	3	1
VN050049	1	3	3	1	1
VN050053	1	3	15	2	1
VN050054	1	3	50	3	2
VN050055	1	3	10	1	2
VN050056	1	3	2	3	1
VN050056	2	2	2	3	1
VN050058	1	2	2	2	1
VN050058	2	5	2	2	1
VN050060	1	2	6	3	1
VN050060	2	3	3	1	1
VN050060	3	6	2	2	2
VN050061	1	2	4	3	1
VN050061	2	3	2	3	1
VN050062	1	3	5	3	1
VN050065	1	2	4	1	1
VN050065	2	3	3	3	1
VN050068	1	3	10	1	2
VN050070	1	3	12	3	1
VN050073	1	2	12	3	1
VN050073	2	3	24	2	1
VN050079	1	2	5	3	1
VN050079	2	3	14	3	1
VN050079	3	5	5	3	1
VN050080	1	1	2	2	1
VN050080	2	2	36	3	1
VN050080	3	5	12	2	1
VN050083	1	3	1	1	2
VN050085	1	2	18	3	2
VN050086	1	2	10	2	1
VN050086	2	3	20	3	1
VN050086	3	5	10	2	1
VN050087	1	2	6	3	1
VN050087	2	3	2	1	1
VN050091	1	2	16	3	2
VN050093	1	3	3	3	1
VN050094	1	2	4	3	2
VN050094	2	3	3	3	1
VN050098	1	3	3	1	1
VN050104	1	3	1	1	2
VN050104	2	2	15	1	2
VN050105	1	3	100	3	2
VN050108	1	2	5	3	1
VN050108	2	3	3	3	1
VN050109	1	3	10	3	1
VN050109	2	5	6	2	1
VN050115	1	2	24	3	2
VN050115	2	3	36	3	1
VN050115	3	5	6	2	1
VN050117	1	2	3	2	1
VN050118	1	2	2	3	2
VN060002	1	2	120	2	1
VN060002	2	3	120	3	1
VN060003	1	2	3	1	2
VN060005	1	2	36	2	1
VN060005	2	3	12	2	1
VN060009	1	3	4	3	2
VN060009	2	5	2	2	1
VN060010	1	3	5	1	1
VN060013	1	2	5	1	2
VN060014	1	3	1	1	2
VN060019	1	2	6	3	1
VN060019	2	3	4	3	1
VN060020	1	2	2	3	1
VN060020	2	5	4	3	1
VN060023	1	2	24	2	1
VN060023	2	3	36	3	1
VN060023	3	5	60	3	1
VN060024	1	3	2	2	1
VN060025	1	2	2	3	1
VN060025	2	3	8	1	1
VN060025	3	5	2	2	1
VN060026	1	2	3	2	1
VN060026	2	3	4	2	1
VN060028	1	3	15	3	2
VN060029	1	2	6	3	1
VN060029	2	3	4	3	1
VN060033	1	3	10	3	1
VN060033	2	2	5	3	1
VN060034	1	3	2	3	1
VN060035	1	2	2	1	1
VN060035	2	3	5	1	1
VN060036	1	3	10	3	2
VN060036	2	2	5	3	2
VN060036	3	5	2	1	2
VN060037	1	2	10	3	1
VN060038	1	3	5	1	1
VN060038	2	2	3	1	2
VN060040	1	2	3	1	2
VN060040	2	3	3	3	1
VN060041	1	2	4	3	1
VN060041	2	3	2	3	1
VN060043	1	2	30	3	1
VN060043	2	3	25	2	1
VN060043	3	5	10	3	1
VN060045	1	2	24	3	1
VN060045	2	3	180	3	1
VN060045	3	4	4	3	1
VN060045	4	5	48	2	1
VN060048	1	3	20	2	2
VN060049	1	2	12	1	1
VN060049	2	3	6	1	1
VN060052	1	2	2	2	1
VN060052	2	3	3	3	1
VN060053	1	3	2	3	1
VN060053	2	2	2	1	2
VN060058	1	2	2	1	1
VN060058	2	3	6	3	1
VN060059	1	3	10	1	1
VN060061	1	3	2	2	2
VN060061	2	2	2	3	2
VN060063	1	3	1	1	1
VN060063	2	2	1	1	2
VN060064	1	3	24	2	2
VN060064	2	2	2	2	2
VN060064	3	5	1	2	2
VN060066	1	2	12	3	1
VN060066	2	3	240	2	1
VN060066	3	4	12	2	1
VN060066	4	5	12	2	1
VN060067	1	2	6	3	2
VN060068	1	2	6	3	1
VN060068	2	3	3	3	1
VN060069	1	2	4	3	1
VN060069	2	3	3	3	1
VN060070	1	3	15	2	1
VN060070	2	2	7	2	1
VN060071	1	3	15	2	2
VN060071	2	2	2	1	2
VN060071	3	5	12	2	2
VN060073	1	2	7	3	1
VN060073	2	3	6	3	1
VN060073	3	5	6	3	1
VN060075	1	2	48	2	1
VN060075	2	3	3	3	1
VN060075	3	5	36	2	1
VN060076	1	2	2	3	1
VN060078	1	3	7	2	2
VN060079	1	1	5	1	1
VN060080	1	2	6	3	1
VN060080	2	3	4	3	1
VN060081	1	2	6	3	1
VN060081	2	3	4	3	1
VN060082	1	3	10	3	1
VN060082	2	2	5	2	1
VN060084	1	2	2	3	1
VN060084	2	3	5	3	1
VN060085	1	2	3	2	1
VN060087	1	2	4	3	1
VN060087	2	4	3	2	1
VN060088	1	2	36	3	1
VN060088	2	3	24	3	1
VN060088	3	4	12	2	1
VN060089	1	2	2	1	2
VN060092	1	2	10	3	1
VN060092	2	3	10	3	1
VN060093	1	2	5	3	1
VN060093	2	3	6	3	1
VN060097	1	3	4	1	1
VN060099	1	5	8	2	1
VN060099	2	2	12	3	2
VN060100	1	3	2	2	1
VN060106	1	2	5	1	2
VN060109	1	2	8	3	1
VN060109	2	3	6	3	1
VN060111	1	3	12	3	2
VN060119	1	2	60	3	1
VN060119	2	3	365	3	1
VN060127	1	3	6	3	1
VN060127	2	2	2	1	1
VN070001	1	2	3	3	2
VN070001	2	3	2	3	2
VN070003	1	3	2	1	2
VN070003	2	2	3	2	2
