PLACEID	SERVIDR4	SERVAVLB	TIM2PLCE	CMNTRNSP
309	11	0	 	 
309	12	0	180	1
309	13	1	 	 
309	14	1	 	 
309	15	0	 	 
309	16	0	180	1
309	17	0	180	1
309	18	0	180	1
309	19	0	180	1
309	20	0	180	1
309	21	0	180	1
309	22	1	 	 
309	23	0	180	1
309	24	0	 	 
309	25	0	 	 
309	27	0	-77	88
309	28	88	 	 
309	29	0	180	1
309	30	1	 	 
309	31	0	-77	88
309	32	1	 	 
309	33	1	 	 
309	34	0	60	1
309	35	0	80	1
310	1	0	 	 
310	2	0	 	 
310	3	0	 	 
310	4	0	 	 
310	5	0	 	 
310	6	0	 	 
310	7	0	 	 
310	8	0	 	 
310	9	1	 	 
310	10	0	60	1
310	11	0	 	 
310	12	0	180	1
310	13	1	 	 
310	14	1	 	 
310	15	0	 	 
310	16	0	180	1
310	17	0	180	1
310	18	0	180	1
310	19	0	180	1
310	20	0	300	8
310	21	0	300	8
310	22	0	300	8
310	23	0	180	1
310	24	0	 	 
310	25	0	 	 
310	27	0	300	8
310	28	88	 	 
310	29	0	300	8
310	30	1	 	 
310	31	0	300	8
310	32	1	 	 
310	33	1	 	 
310	34	0	60	1
310	35	0	60	1
311	1	0	 	 
311	2	1	 	 
311	3	0	 	 
311	4	0	 	 
311	5	0	 	 
311	6	1	 	 
311	7	0	 	 
311	8	0	 	 
311	9	1	 	 
311	10	1	 	 
311	11	0	 	 
311	12	0	60	1
311	13	1	 	 
311	14	1	 	 
311	15	0	 	 
311	16	0	120	1
311	17	0	120	1
311	18	0	120	1
311	19	0	120	1
311	20	0	120	1
311	21	0	360	8
311	22	0	360	8
311	23	0	120	1
311	24	0	 	 
311	25	0	 	 
311	27	0	360	8
311	28	88	 	 
311	29	0	360	8
311	30	1	 	 
311	31	0	120	1
311	32	1	 	 
311	33	1	 	 
311	34	0	40	1
311	35	0	30	1
312	1	0	 	 
312	2	1	 	 
312	3	0	 	 
312	4	0	 	 
312	5	0	 	 
312	6	0	 	 
312	7	0	 	 
312	8	0	 	 
312	9	1	 	 
312	10	0	30	1
312	11	0	 	 
312	12	0	30	1
312	13	1	 	 
312	14	1	 	 
312	15	0	 	 
312	16	0	30	1
312	17	0	30	1
312	18	0	30	1
312	19	0	30	1
312	20	0	300	8
312	21	0	30	1
312	22	0	300	8
312	23	0	30	1
312	24	0	 	 
312	25	0	 	 
312	27	0	300	88
312	28	88	 	 
312	29	0	300	8
312	30	0	30	1
312	31	0	300	8
312	32	0	 	 
312	33	0	30	1
312	34	0	30	1
312	35	0	30	1
313	1	0	 	 
313	2	1	 	 
313	3	0	 	 
313	4	0	 	 
313	5	0	 	 
313	6	0	 	 
313	7	0	 	 
313	8	0	 	 
313	9	1	 	 
313	10	0	60	1
313	11	0	 	 
313	12	0	60	1
313	13	1	 	 
313	14	1	 	 
313	15	0	 	 
313	16	0	180	1
313	17	0	10	1
313	18	0	120	6
313	19	0	180	1
313	20	0	120	6
313	21	0	180	1
313	22	0	120	6
313	23	0	180	1
313	24	0	 	 
313	25	0	 	 
313	27	0	120	6
313	28	88	 	 
313	29	0	120	6
313	30	1	 	 
313	31	0	120	6
313	32	1	 	 
313	33	1	 	 
313	34	0	60	1
313	35	0	60	1
314	1	0	 	 
314	2	1	 	 
314	3	0	 	 
314	4	0	 	 
314	5	0	 	 
314	6	0	 	 
314	7	0	 	 
314	8	0	 	 
314	9	1	 	 
314	10	1	 	 
314	11	0	 	 
314	12	0	30	1
314	13	1	 	 
314	14	1	 	 
314	15	1	 	 
314	16	0	120	1
314	17	0	30	1
314	18	0	120	1
314	19	0	240	1
314	20	0	300	6
314	21	0	300	6
314	22	0	300	7
314	23	0	240	1
314	24	0	 	 
314	25	0	 	 
314	27	0	300	6
314	28	0	-88	88
314	29	0	300	6
314	30	0	30	1
314	31	1	 	 
314	32	1	 	 
314	33	1	 	 
314	34	0	30	1
314	35	0	30	1
401	1	0	 	 
401	2	1	 	 
401	3	0	 	 
401	4	0	 	 
401	5	0	 	 
401	6	0	 	 
401	7	0	 	 
401	8	0	 	 
401	9	1	 	 
401	10	1	 	 
401	11	0	 	 
401	12	0	120	1
401	13	1	 	 
401	14	1	 	 
401	15	0	 	 
401	16	0	120	1
401	17	0	120	1
401	18	0	120	1
401	19	0	120	6
401	20	0	120	6
401	21	0	120	6
401	22	0	120	6
401	23	0	120	1
401	24	0	 	 
401	25	0	 	 
401	27	0	120	6
401	28	88	 	 
401	29	0	120	6
401	30	1	 	 
401	31	0	120	6
401	32	1	 	 
401	33	1	 	 
401	34	0	120	1
401	35	1	 	 
402	1	0	 	 
402	2	1	 	 
402	3	0	 	 
402	4	0	 	 
402	5	0	 	 
402	6	0	 	 
402	7	1	 	 
402	8	0	 	 
402	9	1	 	 
402	10	1	 	 
402	11	0	 	 
402	12	0	150	7
402	13	1	 	 
402	14	1	 	 
402	15	1	 	 
402	16	0	60	7
402	17	0	30	1
