PLACEID	ANFDIDR4	ITEM	PRICE	ACCOUNT
1703	1	CARNE DE CORDERO	10	1
1703	2	LECHE	2	3
1703	3	QUESO	14	1
1801	1	LECHE	1,8	3
1801	2	QUESO	2,5	2
1801	3	HUEVO	6	1
1802	1	QUESO	10	1
1802	2	LECHE	2	3
1802	3	CARNE DE CUY	20	2
2002	1	CARNE DE CARNERO	12	1
2002	2	POLLO	8,5	1
2002	3	HUEVO	5,4	1
2004	1	POLLO	8,5	1
2004	2	PESCADO	6,5	1
2004	3	CARNE	12	1
2005	1	RES	9	1
2005	2	OVINO	13	1
2005	3	PORCINO	12	1
2006	1	CARNE DE RES	9	1
2006	2	CARNE DE CORDERO	12	1
2006	3	POLLO	8,5	1
2007	1	POLLO	9	1
2007	2	CORDERO	12	1
2007	3	HUEVOS	5,5	1
2008	1	CARNE DE CARNERO	12	1
2008	2	POLLO	9	1
2008	3	QUESO	12	1
2009	1	CARNE DE ALPACA	8,5	1
2009	2	CARNE DE RES	11	1
2009	3	CARNE DE CARNERO	12	1
2010	1	CARNE DE CARNERO	14	1
2010	2	PESCADO (JUREL)	6	1
2010	3	LECHE	3	4
2011	1	CARNE DE CARNERO	17	1
2011	2	POLLO	9	1
2011	3	PESCADO (JUREL)	6	1
2012	1	ALPACA	7,5	1
2012	2	POLLO	8,5	1
2012	3	PESCADO	6	1
2014	1	CARNE DE CARNERO	12	1
2014	2	POLLO	8,5	1
2014	3	HUEVO	5,5	1
2015	1	CARNERO	12	1
2015	2	HUEVO	5,4	1
2015	3	PESCADO	10	1
2016	1	OVINO	9	1
2016	2	HUEVO	6	1
2016	3	QUESO	13	1
2017	1	POLLO	8,5	1
2017	2	CARNE	12	1
2017	3	QUESO	13	1
2018	1	CARNE DE CARNERO	13	1
2018	2	POLLO	8,5	1
2018	3	PESCADO( JUREL)	6	1
2019	1	RES	13	1
2019	2	POLLO	9	1
2019	3	PESCADO	12	1
2020	1	POLLO	8	1
2020	2	CARNE	9	1
2020	3	PESCADO	10	1
2021	1	LECHE	2	3
2021	2	HUEVO	4	1
2021	3	POLLO	9	1
8003	1	POLLO	8	1
8003	2	LECHE	3	2
8003	3	HUEVO	0,25	2
8004	1	POLLO	7	1
