PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
503	3	10	2011	10	10	6	4	0	 	 
503	4	10	2012	10	10	6	4	0	 	 
503	5	12	2012	10	5	6	4	0	 	 
503	6	13	2011	4	6	88	1	0	 	 
505	1	4	2010	11	8	6	1	0	 	 
506	1	6	2010	1	10	6	2	0	 	 
506	2	6	2010	1	5	6	2	0	 	 
506	3	10	2012	1	10	6	4	0	 	 
506	4	13	2011	9	6	88	1	1	88	 
506	5	13	2012	9	6	88	1	1	88	 
601	1	3	2010	9	10	6	2	0	 	 
601	2	3	2013	9	10	6	2	0	 	 
709	1	6	2012	2	8	88	1	3	88	 
710	1	11	2012	2	8	88	1	3	88	 
711	1	4	2013	5	8	10	1	1	3	4
714	1	6	2013	2	8	88	1	1	88	 
802	1	11	2010	3	8	88	2	1	88	 
803	1	11	2010	3	8	88	2	1	88	 
901	1	4	2012	3	12	88	4	1	88	 
1103	1	3	2009	6	10	6	4	0	 	 
1103	2	3	2010	6	10	6	4	0	 	 
1103	3	3	2011	6	10	6	4	0	 	 
1103	4	3	2012	6	10	6	4	0	 	 
1103	5	3	2013	6	10	6	4	0	 	 
1103	6	7	2009	8	10	5	3	0	 	 
1103	7	7	2010	8	10	5	3	0	 	 
1103	8	7	2011	8	10	5	3	0	 	 
1103	9	7	2012	8	10	5	3	0	 	 
1103	10	7	2013	8	10	5	3	0	 	 
1202	1	13	2011	5	6	88	1	1	88	 
1202	2	13	2011	4	6	88	1	1	88	 
1203	1	13	2009	9	6	7	1	1	88	 
1203	2	13	2010	2	6	7	1	1	88	 
1203	3	13	2011	0	6	7	1	1	88	 
1203	4	13	2012	2	6	7	1	1	88	 
1204	1	13	2013	2	6	88	1	1	88	 
1204	2	13	2009	3	6	88	1	1	88	 
1205	1	13	2011	-88	13	88	1	1	88	 
1205	2	13	2012	-88	13	88	1	1	88	 
1208	1	13	2009	6	13	6	1	1	88	 
1208	2	13	2010	6	13	6	1	1	88	 
1208	3	13	2011	6	13	6	1	1	88	 
1208	4	13	2012	6	13	6	1	1	88	 
1211	1	13	2009	1	6	88	1	1	88	 
1213	1	13	2012	2	6	88	1	1	88	 
1215	1	13	2011	11	6	88	1	1	88	 
1220	1	13	2013	4	13	88	1	0	 	 
1225	1	13	2008	2	6	88	1	1	88	 
1401	1	7	2009	8	13	88	1	1	88	 
1401	2	7	2010	8	13	88	1	1	88	 
1401	3	7	2011	6	13	88	1	1	88	 
1401	4	7	2012	6	13	88	1	1	88	 
1403	1	7	2011	6	13	17	3	1	4	88
1403	2	7	2012	6	13	17	2	1	4	88
1405	1	7	2009	8	13	88	2	1	88	 
1405	2	7	2010	8	13	88	2	1	88	 
1405	3	7	2011	8	13	88	2	1	88	 
1405	4	7	2012	8	13	88	2	1	88	 
1406	1	14	2009	7	8	88	1	1	88	 
1406	2	14	2010	8	8	88	1	1	88	 
1406	3	14	2011	6	8	88	1	1	88	 
1406	4	14	2012	9	8	88	1	1	88	 
1408	1	7	2009	8	13	88	1	0	 	 
1408	2	7	2010	8	13	88	1	0	 	 
1408	3	7	2011	8	13	88	1	0	 	 
1408	4	7	2012	8	13	88	1	0	 	 
1501	1	11	2012	4	10	12	1	1	88	 
1504	1	13	2010	10	13	88	1	1	88	 
1504	2	13	2010	11	13	88	1	1	88	 
1504	3	13	2011	9	13	88	1	1	88	 
1505	1	11	2012	9	10	88	3	0	 	 
1505	2	10	2013	3	10	88	4	0	 	 
1507	1	10	2013	5	14	88	2	1	88	 
1508	1	10	2013	4	14	10	2	0	 	 
1510	1	10	2013	4	10	14	2	0	 	 
1603	1	7	2012	7	10	88	3	0	 	 
1604	1	7	2011	9	10	88	4	1	88	 
1701	1	7	2010	2	10	88	2	0	 	 
1701	2	7	2013	4	10	88	2	0	 	 
1702	1	12	2012	5	5	88	1	0	 	 
1702	2	11	2013	9	6	88	1	0	 	 
1703	1	13	2010	2	10	88	4	0	 	 
1703	2	13	2011	2	14	88	2	0	 	 
1703	3	7	2012	6	5	13	2	0	 	 
1703	4	11	2013	9	8	88	1	0	 	 
1801	1	16	 	 	 	 	 	 	 	 
1801	2	7	2013	1	8	88	2	0	 	 
2021	1	11	2011	2	8	88	1	1	88	 
2021	2	11	2010	2	8	88	1	1	88	 
8004	1	6	2009	2	17	10	2	0	 	 
8004	2	13	2012	6	13	17	3	1	0	 
8005	1	10	2013	1	10	6	1	0	 	 
8008	1	7	2011	5	10	5	2	1	0	 
8008	2	7	2012	5	10	5	3	1	0	 
8008	3	7	2013	5	5	10	3	1	0	 
8014	1	7	2010	4	10	3	3	0	 	 
8014	2	11	2011	3	12	19	4	1	3	88
8018	1	16	 	 	 	 	 	 	 	 
8018	2	16	 	 	 	 	 	 	 	 
8029	1	7	2011	2	10	88	4	3	0	 
8032	1	11	2012	11	8	88	1	1	88	 
8037	1	13	2012	3	13	88	1	1	88	 
8039	1	13	2013	3	6	88	2	1	88	 
8039	2	13	2011	7	6	88	2	1	88	 
8041	1	4	2009	1	5	88	1	0	 	 
8041	2	3	2010	9	10	88	1	0	 	 
8041	3	3	2011	9	10	88	1	0	 	 
8046	1	13	2009	8	6	88	1	1	88	 
8048	1	4	2010	3	4	10	3	1	88	 
8048	2	4	2010	3	4	10	3	1	88	 
8048	3	4	2010	3	4	10	3	1	88	 
8064	1	12	2012	11	5	88	1	1	88	 
8067	1	6	2011	1	10	88	1	1	88	 
8069	1	16	 	 	 	 	 	 	 	 
8070	1	11	2013	5	14	88	3	0	 	 
8071	1	11	2012	3	10	88	4	0	 	 
8071	2	11	2013	3	10	88	4	0	 	 
8083	1	11	2012	6	6	88	1	1	88	 
8088	1	11	2012	3	6	88	1	1	88	 
8088	2	13	2010	8	6	88	1	1	88	 
8090	1	4	2012	1	6	88	1	0	 	 
8090	2	4	2012	4	12	6	1	1	4	88
8128	1	11	2011	7	8	9	1	0	 	 
8135	1	13	2010	3	6	88	1	1	88	 
8135	2	10	2011	8	10	6	2	0	 	 
8135	3	3	2011	8	10	6	2	0	 	 
8135	4	12	2011	8	5	6	1	0	 	 
8140	1	13	2013	4	10	14	2	1	88	 
8141	1	16	 	 	 	 	 	 	 	 
8141	2	16	 	 	 	 	 	 	 	 
8141	3	16	 	 	 	 	 	 	 	 
8141	4	16	 	 	 	 	 	 	 	 
8145	1	13	2013	1	6	1	1	1	4	88
8148	1	16	 	 	 	 	 	 	 	 
8148	2	7	2013	8	10	5	3	0	 	 
8151	1	16	 	 	 	 	 	 	 	 
8151	2	7	2013	5	10	13	1	0	 	 
8152	1	11	2012	2	8	88	3	1	88	 
8152	2	11	2013	3	10	88	2	1	88	 
8161	1	13	2009	3	6	88	1	1	88	 
8161	2	13	2012	4	6	88	1	1	88	 
8161	3	10	2012	2	10	6	3	0	 	 
8161	4	12	2013	2	5	6	1	1	88	 
8161	5	6	2012	10	6	10	1	0	 	 
8162	1	10	2013	1	10	88	2	0	 	 
8162	2	12	2011	8	5	88	1	0	 	 
8163	1	10	2012	1	10	88	4	0	 	 
8163	2	4	2011	3	12	88	3	0	 	 
8163	3	13	2012	6	6	11	1	0	 	 
8166	1	6	2012	2	10	8	1	1	88	 
8166	2	10	2013	1	10	6	3	1	88	 
8166	3	10	2010	2	10	6	1	0	 	 
8166	4	10	2011	3	10	6	1	0	 	 
8168	1	10	2012	2	10	6	3	1	88	 
8169	1	13	2009	11	6	88	1	1	88	 
8169	2	12	2013	9	5	6	1	0	 	 
8169	3	10	2013	3	10	6	4	1	88	 
8170	1	6	2013	10	10	6	1	0	 	 
8171	1	11	2012	8	8	6	1	0	 	 
8172	1	10	2012	2	10	6	3	1	88	 
8177	1	4	2011	2	10	88	1	0	 	 
8177	2	13	2012	11	13	88	1	1	88	 
8181	1	13	2013	1	6	88	1	1	88	 
8181	2	13	2013	1	6	88	1	1	88	 
8181	3	13	2012	1	13	6	1	1	88	 
8182	1	13	2012	11	13	17	2	1	88	 
8182	2	11	2013	1	11	10	1	1	3	88
8184	1	1	2010	5	8	88	1	1	88	 
8184	2	16	 	 	 	 	 	 	 	 
8186	1	4	2010	3	10	12	3	0	 	 
8186	2	4	2011	3	10	12	3	0	 	 
8186	3	4	2012	3	10	12	3	0	 	 
8186	4	4	2013	3	10	12	3	0	 	 
8189	1	4	2013	2	10	6	1	1	3	88
8198	1	16	 	 	 	 	 	 	 	 
8198	2	16	 	 	 	 	 	 	 	 
8199	1	11	2010	2	8	88	1	0	 	 
8202	1	13	2010	12	6	88	1	1	88	 
8205	1	10	2011	1	10	88	1	88	 	 
8206	1	16	 	 	 	 	 	 	 	 
8207	1	6	2011	11	8	10	2	1	88	 
8207	2	11	2013	2	8	10	3	1	88	 
8207	3	10	2012	1	10	6	3	1	88	 
8209	1	16	 	 	 	 	 	 	 	 
8209	2	12	2013	1	15	88	2	0	 	 
8210	1	10	2013	5	10	88	4	1	88	 
8210	2	11	2013	2	10	88	4	0	 	 
8211	1	13	2013	8	13	88	1	0	 	 
8211	2	13	2012	3	13	88	2	0	 	 
8213	1	10	2013	5	10	6	3	0	 	 
8215	1	3	2012	10	10	88	3	0	 	 
8228	1	4	2013	2	10	8	2	3	4	88
8228	2	5	2013	9	8	19	3	1	2	4
8232	1	4	2013	10	10	88	2	0	 	 
8232	2	2	2013	10	8	88	2	0	 	 
8236	1	2	2013	8	8	88	1	1	88	 
8239	1	4	2012	1	6	10	4	1	0	 
8250	1	13	2013	8	14	88	3	4	88	 
8250	2	4	2011	11	12	88	2	1	88	 
8250	3	4	2012	10	4	12	2	1	3	88
8251	1	6	2013	2	10	12	3	0	 	 
8251	2	6	2014	2	10	12	3	0	 	 
8251	3	10	2009	1	10	14	4	4	88	 
8251	4	10	2010	1	10	14	4	0	 	 
8251	5	10	2011	1	10	14	4	0	 	 
8251	6	10	2012	1	10	14	4	0	 	 
8259	1	4	2013	2	8	88	3	1	4	88
8277	1	6	2009	1	10	6	2	0	 	 
8277	2	13	2012	1	6	88	1	1	88	 
8277	3	7	2013	6	10	6	2	0	 	 
8277	4	12	2013	3	5	88	1	1	88	 
8302	1	13	2011	2	6	88	1	1	88	 
8304	1	13	2011	2	6	88	1	1	88	 
8316	1	6	2013	3	8	10	1	1	88	 
8316	2	13	2013	6	6	7	3	1	88	 
8317	1	13	2013	1	13	88	1	1	88	 
8317	2	13	2013	1	13	88	1	1	88	 
8318	1	13	2013	2	13	88	4	2	1	88
8318	2	13	2013	2	13	88	3	2	1	88
8318	3	13	2014	2	13	88	1	2	1	88
8319	1	13	2013	9	13	88	1	0	 	 
8319	2	13	2014	2	13	88	1	1	88	 
8319	3	11	2014	3	10	88	1	0	 	 
8321	1	13	2012	7	13	6	1	1	88	 
8325	1	13	2013	7	6	88	1	1	3	88
8328	1	15	2012	3	10	88	3	0	 	 
8328	2	7	2012	8	10	88	3	0	 	 
8328	3	4	2013	7	4	88	1	0	 	 
8333	1	10	2013	5	10	88	4	0	 	 
8333	2	12	2013	8	5	88	4	0	 	 
8334	1	10	2012	4	10	6	4	0	 	 
8336	1	10	2011	3	10	6	3	0	 	 
8337	1	10	2013	7	10	6	4	0	 	 
8337	2	12	2013	8	6	88	4	0	 	 
8337	3	13	2013	9	6	88	2	0	 	 
8342	1	4	2012	5	10	6	2	0	 	 
8342	2	6	2010	5	10	6	1	0	 	 
8342	3	10	2013	1	10	6	4	1	88	 
8342	4	12	2013	10	5	6	1	1	88	 
8343	1	13	2011	5	6	88	1	1	88	 
8345	1	13	2011	5	6	88	2	0	 	 
8345	2	13	2011	2	6	88	1	0	 	 
8345	3	10	2012	1	14	88	4	0	 	 
8348	1	3	2009	7	10	6	3	0	 	 
8348	2	3	2010	7	10	6	3	0	 	 
8348	3	10	2013	6	10	6	1	0	 	 
8349	1	10	2012	1	10	6	1	0	 	 
8349	2	13	2013	8	6	88	1	1	88	 
8350	1	10	2012	8	10	6	3	3	88	 
8357	1	13	2010	1	6	88	1	1	88	 
8357	2	10	2012	6	6	7	3	1	88	 
8357	3	10	2012	6	6	7	2	1	88	 
8357	4	12	2012	6	5	88	1	1	88	 
8358	1	6	2009	1	10	88	1	0	 	 
8358	2	6	2010	1	10	88	1	0	 	 
8358	3	6	2011	1	10	88	1	0	 	 
8358	4	6	2012	1	10	88	1	0	 	 
8358	5	11	2011	12	10	88	1	0	 	 
8360	1	13	2012	3	13	17	1	1	88	 
8362	1	6	2009	2	8	88	3	0	 	 
8362	2	6	2010	2	8	88	3	0	 	 
8362	3	6	2011	2	8	88	3	0	 	 
8362	4	6	2012	2	8	88	3	0	 	 
8362	5	6	2013	2	8	88	3	0	 	 
8365	1	13	2011	4	17	88	1	1	88	 
8366	1	13	2011	7	6	88	1	1	0	 
8369	1	11	2012	7	6	88	88	1	88	 
8372	1	4	2011	3	8	19	1	1	3	88
8381	1	12	2013	11	5	6	1	0	 	 
8402	1	11	2011	11	8	10	1	1	88	 
8403	1	12	2011	3	15	88	2	0	 	 
8403	2	14	2013	6	14	88	3	1	0	 
8403	3	14	2011	3	14	88	3	0	 	 
8404	1	3	2012	11	10	88	4	0	 	 
8404	2	12	2013	1	5	88	3	0	 	 
8407	1	11	2010	1	10	12	3	1	4	0
8408	1	11	2010	2	6	13	1	3	88	 
8408	2	6	2009	2	6	7	2	0	 	 
8408	3	13	2009	2	1	88	1	1	88	 
8409	1	11	2011	12	10	6	1	1	88	 
8409	2	6	2011	12	10	6	1	1	88	 
8412	1	11	2011	3	6	88	3	1	88	 
8414	1	11	2009	2	6	7	2	0	 	 
8414	2	11	2010	2	6	7	2	0	 	 
8414	3	11	2011	2	6	7	2	0	 	 
8414	4	11	2012	2	6	7	2	0	 	 
8415	1	6	2013	6	10	88	1	0	 	 
8416	1	10	2013	3	10	88	4	0	 	 
8416	2	12	2012	1	5	88	4	0	 	 
8416	3	12	2012	12	5	88	4	0	 	 
8416	4	13	2012	2	6	88	2	0	 	 
8417	1	13	2009	2	6	88	1	1	88	 
8417	2	13	2010	3	6	88	1	1	88	 
8417	3	13	2011	2	6	88	1	1	88	 
8417	4	13	2012	3	6	88	1	1	88	 
8417	5	13	2013	3	6	88	1	1	88	 
8418	1	13	2011	8	6	88	1	1	88	 
8420	1	10	2013	1	10	6	4	0	 	 
8420	2	12	2009	2	5	88	1	0	 	 
8421	1	10	2009	6	10	6	1	0	 	 
8421	2	10	2010	6	10	6	1	0	 	 
8421	3	10	2011	6	10	6	1	0	 	 
8421	4	10	2012	6	10	6	1	0	 	 
8421	5	13	2012	3	6	88	1	1	88	 
8422	1	10	2013	3	10	6	3	0	 	 
8422	2	12	2012	6	5	6	3	0	 	 
8423	1	4	2011	2	10	6	2	0	 	 
8424	1	10	2012	3	10	6	4	0	 	 
8424	2	10	2013	1	10	6	4	0	 	 
8424	3	13	2013	1	6	88	1	1	88	 
8425	1	10	2012	3	10	6	4	0	 	 
8427	1	10	2012	6	10	6	1	1	88	 
8428	1	6	2012	1	10	6	3	1	88	 
8429	1	11	2013	11	10	6	1	0	 	 
8429	2	10	2013	1	10	6	3	0	 	 
8429	3	10	2010	12	10	6	2	0	 	 
8429	4	10	2011	12	10	6	2	0	 	 
8429	5	10	2012	12	10	6	2	0	 	 
8430	1	10	2013	2	10	88	4	1	4	2
8430	2	13	2012	5	13	88	4	0	 	 
8430	3	12	2012	10	15	88	2	1	88	 
8431	1	13	2012	1	13	88	1	1	88	 
8431	2	13	2012	2	13	88	1	1	88	 
8438	1	11	2012	10	9	88	1	0	 	 
8438	2	11	2014	2	9	88	1	1	88	 
8439	1	13	2014	1	6	88	1	1	88	 
8502	1	14	2010	4	6	7	88	1	88	 
8506	1	11	2012	1	8	88	4	0	 	 
8508	1	11	2009	1	8	88	2	1	88	 
8508	2	11	2010	1	10	88	2	1	88	 
8509	1	11	2012	10	4	10	1	1	88	 
8509	2	11	2011	11	4	88	2	1	88	 
8510	1	11	2012	10	4	10	1	0	 	 
8511	1	10	2013	4	14	10	2	0	 	 
8512	1	11	2012	12	8	88	1	0	 	 
8513	1	4	2012	2	10	88	3	1	88	 
8513	2	4	2013	2	10	88	3	1	88	 
8514	1	11	2010	3	8	88	1	1	88	 
8515	1	11	2010	3	8	88	2	1	88	 
8517	1	2	2013	9	8	88	1	0	 	 
8518	1	13	2011	3	13	88	1	1	88	 
8518	2	14	2011	12	8	88	1	1	88	 
8519	1	13	2013	5	13	88	1	0	 	 
8522	1	4	2009	3	8	88	2	0	 	 
8522	2	4	2010	3	8	88	2	0	 	 
8522	3	4	2011	3	8	88	2	0	 	 
8522	4	4	2012	3	8	88	2	0	 	 
8522	5	4	2013	3	8	88	2	0	 	 
8605	1	14	2013	2	10	88	1	1	88	 
8605	2	15	2010	1	10	88	1	1	88	 
8618	1	14	2012	1	4	10	1	1	88	 
8619	1	6	2010	1	12	14	1	0	 	 
8619	2	6	2011	2	12	14	1	0	 	 
8619	3	6	2012	3	12	14	1	0	 	 
8619	4	6	2013	3	12	14	1	0	 	 
8622	1	4	2011	3	8	10	1	1	88	 
8622	2	7	2012	8	10	88	1	0	 	 
8623	1	11	2013	3	17	10	4	1	88	 
8623	2	11	2012	2	7	88	4	1	88	 
8627	1	11	2011	2	8	88	2	1	88	 
8628	1	5	2013	9	8	88	2	0	 	 
8633	1	6	2011	1	10	88	2	0	 	 
8635	1	16	 	 	 	 	 	 	 	 
8636	1	13	2013	6	13	88	2	0	 	 
8636	2	16	 	 	 	 	 	 	 	 
8636	3	3	2011	2	10	88	4	0	 	 
8637	1	16	 	 	 	 	 	 	 	 
8639	1	3	2010	10	10	88	2	0	 	 
8639	2	6	2012	1	4	88	3	3	4	88
8639	3	16	 	 	 	 	 	 	 	 
8640	1	6	2010	12	8	10	1	3	88	 
