PLACEID	DWAGIDR4	EARNMALE	MMON	EARNFMLE	FMON	EARNCHLD	CMON
715	2	-11	88	-11	88	-11	88
715	3	-11	88	-11	88	-11	88
716	1	-11	88	-11	88	-11	88
716	2	-11	88	-11	88	-11	88
716	3	-88	88	-88	88	-88	88
717	1	-11	88	-11	88	-11	88
717	2	-11	88	-11	88	-11	88
717	3	-88	88	-88	88	-88	88
718	1	-11	88	-11	88	-11	88
718	2	-11	88	-11	88	-11	88
718	3	-11	88	-11	88	-11	88
719	1	-11	88	-11	88	-11	88
719	2	-11	88	-11	88	-11	88
719	3	-88	88	-88	88	-88	88
801	1	-11	88	-11	88	-11	88
801	2	-11	88	-11	88	-11	88
801	3	-88	88	-88	88	-88	88
802	1	-88	88	-88	88	-88	88
802	2	-88	88	-88	88	-88	88
802	3	-88	88	-88	88	-88	88
803	1	-88	88	-88	88	-88	88
803	2	-88	88	-88	88	-88	88
803	3	-88	88	-88	88	-88	88
804	1	-11	88	-11	88	-11	88
804	2	-11	88	-11	88	-11	88
804	3	-88	88	-88	88	-88	88
901	1	25	88	-11	88	-11	88
901	2	-11	88	-11	88	-11	88
901	3	-88	88	-88	88	-88	88
1103	1	15	2	15	2	-22	88
1103	2	-88	88	-88	88	-88	88
1103	3	-88	88	-88	88	-88	88
1201	1	-88	88	-88	88	-88	88
1201	2	-88	88	-88	88	-88	88
1201	3	-88	88	-88	88	-88	88
1202	1	-88	88	-88	88	-88	88
1202	2	-88	88	-88	88	-88	88
1202	3	-88	88	-88	88	-88	88
1203	1	-88	88	-88	88	-88	88
1203	2	-88	88	-88	88	-88	88
1203	3	-88	88	-88	88	-88	88
1204	1	-88	88	-88	88	-88	88
1204	2	-88	88	-88	88	-88	88
1204	3	-88	88	-88	88	-88	88
1205	1	-88	88	-88	88	-88	88
1205	2	-88	88	-88	88	-88	88
1205	3	-88	88	-88	88	-88	88
1206	1	-88	88	-88	88	-88	88
1206	2	-88	88	-88	88	-88	88
1206	3	-88	88	-88	88	-88	88
1207	1	-88	88	-88	88	-88	88
1207	2	-88	88	-88	88	-88	88
1207	3	-88	88	-88	88	-88	88
1208	1	-88	88	-88	88	-88	88
1208	2	-88	88	-88	88	-88	88
1208	3	-88	88	-88	88	-88	88
1209	1	-88	88	-88	88	-88	88
1209	2	-88	88	-88	88	-88	88
1209	3	-88	88	-88	88	-88	88
1210	1	-88	88	-88	88	-88	88
1210	2	-88	88	-88	88	-88	88
1210	3	-88	88	-88	88	-88	88
1211	1	-88	88	-88	88	-88	88
1211	2	-88	88	-88	88	-88	88
1211	3	-88	88	-88	88	-88	88
1212	1	-88	88	-88	88	-88	88
1212	2	-88	88	-88	88	-88	88
1212	3	-88	88	-88	88	-88	88
1213	1	-88	88	-88	88	-88	88
1213	2	-88	88	-88	88	-88	88
1213	3	-88	88	-88	88	-88	88
1215	1	-88	88	-88	88	-88	88
1215	2	-88	88	-88	88	-88	88
1215	3	-88	88	-88	88	-88	88
1216	1	-88	88	-88	88	-88	88
1216	2	-88	88	-88	88	-88	88
1216	3	-88	88	-88	88	-88	88
1217	1	-88	88	-88	88	-88	88
1217	2	-88	88	-88	88	-88	88
1217	3	-88	88	-88	88	-88	88
1218	1	-88	88	-88	88	-88	88
1218	2	-88	88	-88	88	-88	88
1218	3	-88	88	-88	88	-88	88
1219	1	-88	88	-88	88	-88	88
1219	2	-88	88	-88	88	-88	88
1219	3	-88	88	-88	88	-88	88
1220	1	-88	88	-88	88	-88	88
1220	2	-88	88	-88	88	-88	88
1220	3	-88	88	-88	88	-88	88
1221	1	-88	88	-88	88	-88	88
1221	2	-88	88	-88	88	-88	88
1221	3	-88	88	-88	88	-88	88
1222	1	-88	88	-88	88	-88	88
1222	2	-88	88	-88	88	-88	88
1222	3	-88	88	-88	88	-88	88
1223	1	-88	88	-88	88	-88	88
1223	2	-88	88	-88	88	-88	88
1223	3	-88	88	-88	88	-88	88
1224	1	-88	88	-88	88	-88	88
1224	2	-88	88	-88	88	-88	88
1224	3	-88	88	-88	88	-88	88
1225	1	-88	88	-88	88	-88	88
1225	2	-88	88	-88	88	-88	88
1225	3	-88	88	-88	88	-88	88
1226	1	-88	88	-88	88	-88	88
1226	2	-88	88	-88	88	-88	88
1226	3	-88	88	-88	88	-88	88
1227	1	-88	88	-88	88	-88	88
1227	2	-88	88	-88	88	-88	88
1227	3	-88	88	-88	88	-88	88
1228	1	-88	88	-88	88	-88	88
1228	2	-88	88	-88	88	-88	88
1228	3	-88	88	-88	88	-88	88
1301	1	-11	88	-11	88	-11	88
1301	2	-11	88	-11	88	-11	88
1301	3	-88	88	-88	88	-88	88
1303	1	-88	88	-88	88	-88	88
1303	2	-88	88	-88	88	-88	88
1303	3	-88	88	-88	88	-88	88
1304	1	-11	88	-11	88	-11	88
1304	2	-11	88	-11	88	-11	88
1304	3	-88	88	-88	88	-88	88
1305	1	-88	88	-88	88	-88	88
1305	2	-88	88	-88	88	-88	88
1305	3	-88	88	-88	88	-88	88
1306	1	-88	88	-88	88	-88	88
1306	2	-88	88	-88	88	-88	88
1306	3	-88	88	-88	88	-88	88
1307	1	-88	88	-88	88	-88	88
1307	2	-88	88	-88	88	-88	88
1307	3	-88	88	-88	88	-88	88
1401	1	-88	88	-88	88	-88	88
1401	2	-88	88	-88	88	-88	88
1401	3	-88	88	-88	88	-88	88
1402	1	-88	88	-88	88	-88	88
1402	2	-88	88	-88	88	-88	88
1402	3	-88	88	-88	88	-88	88
1403	1	-88	88	-88	88	-88	88
1403	2	-88	88	-88	88	-88	88
1403	3	-88	88	-88	88	-88	88
1404	1	-88	88	-88	88	-88	88
1404	2	-88	88	-88	88	-88	88
1404	3	-88	88	-88	88	-88	88
1405	1	-88	88	-88	88	-88	88
1405	2	-88	88	-88	88	-88	88
1405	3	-88	88	-88	88	-88	88
1406	1	-88	88	-88	88	-88	88
1406	2	-88	88	-88	88	-88	88
1406	3	-88	88	-88	88	-88	88
1407	1	-88	88	-88	88	-88	88
1407	2	-88	88	-88	88	-88	88
1407	3	-88	88	-88	88	-88	88
1408	1	-88	88	-88	88	-88	88
1408	2	-88	88	-88	88	-88	88
1408	3	-88	88	-88	88	-88	88
1409	1	-88	88	-88	88	-88	88
1409	2	-88	88	-88	88	-88	88
1409	3	-88	88	-88	88	-88	88
1501	1	25	0	25	0	20	0
1501	2	-11	88	-11	88	-11	88
1501	3	-88	88	-88	88	-88	88
1502	1	25	0	25	0	-11	88
1502	2	-11	88	-11	88	-11	88
1502	3	-88	88	-88	88	-88	88
1503	1	25	0	25	0	15	0
1503	2	-11	88	-11	88	-11	88
1503	3	-11	88	-11	88	-11	88
1504	1	25	6	25	6	10	6
1504	2	-11	88	-11	88	-11	88
1504	3	-11	88	-11	88	-11	88
1505	1	20	6	20	6	20	6
1505	2	-11	88	-11	88	-11	88
1505	3	-11	88	-11	88	-11	88
1507	1	25	2	20	2	15	2
1507	2	-88	88	-88	88	-88	88
1507	3	-88	88	-88	88	-88	88
1508	1	20	6	20	6	-11	88
1508	2	-11	88	-11	88	-11	88
1508	3	-88	88	-88	88	-88	88
1509	1	30	0	25	0	20	0
1509	2	-11	88	-11	88	-11	88
1509	3	-11	88	-11	88	-11	88
1510	1	20	6	20	6	-11	88
1510	2	-11	88	-11	88	-11	88
1510	3	-88	88	-88	88	-88	88
1601	1	25	6	20	6	20	2
1601	2	-22	88	-22	88	-22	88
1601	3	-88	88	-88	88	-88	88
1603	1	25	6	15	6	-11	88
1603	2	-11	88	-11	88	-11	88
1603	3	-11	88	-11	88	-11	88
1604	1	25	6	18	6	10	2
1604	2	-22	88	-22	88	-22	88
1604	3	-88	88	-88	88	-88	88
1701	1	20	6	10	6	-11	88
1701	2	-11	88	-11	88	-11	88
1701	3	-88	88	-88	88	-88	88
1702	1	25	6	10	6	-11	88
1702	2	25	6	-11	88	-11	88
1702	3	-88	88	-88	88	-88	88
1703	1	25	6	20	2	-11	88
1703	2	-11	88	-11	88	-11	88
1703	3	-88	88	-88	88	-88	88
1801	1	35	5	35	5	-22	88
1801	2	30	5	30	5	-22	88
1801	3	-88	88	-88	88	-88	88
1802	1	25	2	20	2	15	2
1802	2	-22	88	-22	88	-22	88
1802	3	-88	88	-88	88	-88	88
2002	1	-88	88	-88	88	-88	88
2002	2	-88	88	-88	88	-88	88
2002	3	-88	88	-88	88	-88	88
2004	1	-88	88	-88	88	-88	88
2004	2	-88	88	-88	88	-88	88
2004	3	-88	88	-88	88	-88	88
2005	1	-88	88	-88	88	-88	88
2005	2	-88	88	-88	88	-88	88
2005	3	-88	88	-88	88	-88	88
2006	1	-88	88	-88	88	-88	88
2006	2	-88	88	-88	88	-88	88
2006	3	-88	88	-88	88	-88	88
2007	1	-88	88	-88	88	-88	88
2007	2	-88	88	-88	88	-88	88
2007	3	-88	88	-88	88	-88	88
2008	1	-88	88	-88	88	-88	88
2008	2	-88	88	-88	88	-88	88
2008	3	-88	88	-88	88	-88	88
2009	1	-88	88	-88	88	-88	88
2009	2	-88	88	-88	88	-88	88
2009	3	-88	88	-88	88	-88	88
2010	1	-88	88	-88	88	-88	88
2010	2	-88	88	-88	88	-88	88
2010	3	-88	88	-88	88	-88	88
2011	1	-88	88	-88	88	-88	88
2011	2	-88	88	-88	88	-88	88
2011	3	-88	88	-88	88	-88	88
2012	1	-88	88	-88	88	-88	88
2012	2	-88	88	-88	88	-88	88
2012	3	-88	88	-88	88	-88	88
2014	1	-88	88	-88	88	-88	88
2014	2	-88	88	-88	88	-88	88
2014	3	-88	88	-88	88	-88	88
2015	1	-88	88	-88	88	-88	88
2015	2	-88	88	-88	88	-88	88
2015	3	-88	88	-88	88	-88	88
2016	1	-88	88	-88	88	-88	88
2016	2	-88	88	-88	88	-88	88
2016	3	-88	88	-88	88	-88	88
2017	1	-88	88	-88	88	-88	88
2017	2	-88	88	-88	88	-88	88
2017	3	-88	88	-88	88	-88	88
2018	1	-88	88	-88	88	-88	88
2018	2	-88	88	-88	88	-88	88
2018	3	-88	88	-88	88	-88	88
2019	1	-88	88	-88	88	-88	88
2019	2	-88	88	-88	88	-88	88
2019	3	-88	88	-88	88	-88	88
2020	1	-88	88	-88	88	-88	88
2020	2	-88	88	-88	88	-88	88
2020	3	-88	88	-88	88	-88	88
2021	1	-88	88	-88	88	-88	88
2021	2	-88	88	-88	88	-88	88
2021	3	-88	88	-88	88	-88	88
8003	1	-11	88	-11	88	-11	88
8003	2	-11	88	-11	88	-11	88
8003	3	-88	88	-88	88	-88	88
8004	1	30	0	20	0	15	0
8004	2	30	0	20	0	15	0
8004	3	-88	88	-88	88	-88	88
8005	1	15	6	15	6	10	6
8005	2	-11	88	-11	88	-11	88
8005	3	-88	88	-88	88	-88	88
8007	1	-88	88	-88	88	-88	88
8007	2	-88	88	-88	88	-88	88
8007	3	-88	88	-88	88	-88	88
8008	1	15	2	10	2	8	2
8008	2	-88	88	-88	88	-88	88
8008	3	-88	88	-88	88	-88	88
8012	1	-88	88	-88	88	-88	88
8012	2	-88	88	-88	88	-88	88
8012	3	-88	88	-88	88	-88	88
8014	1	35	6	25	0	-88	88
8014	2	15	0	-88	88	-88	88
8014	3	15	6	-88	88	-88	88
8016	1	35	2	30	2	20	2
8016	2	35	2	30	2	20	2
8016	3	-88	88	-88	88	-88	88
8018	1	30	6	25	6	-11	88
8018	2	30	2	25	2	-11	88
8018	3	-88	88	-88	88	-88	88
8020	1	-88	88	-88	88	-88	88
8020	2	-88	88	-88	88	-88	88
8020	3	-88	88	-88	88	-88	88
8025	1	-11	88	-11	88	-11	88
8025	2	20	0	-11	88	-11	88
8025	3	-11	88	-11	88	-11	88
8026	1	50	0	50	0	50	0
8026	2	-11	88	-11	88	-11	88
8026	3	-11	88	-11	88	-11	88
8029	1	25	6	-11	88	-11	88
8029	2	-11	88	-11	88	-11	88
8029	3	-11	88	-11	88	-11	88
8032	1	20	0	20	0	-11	88
8032	2	20	0	20	0	-11	88
8032	3	-88	88	-88	88	-88	88
8034	1	20	0	-11	88	-11	88
8034	2	-88	88	-11	88	-11	88
8034	3	-88	88	-88	88	-88	88
8037	1	15	6	15	6	10	0
8037	2	-11	88	-11	88	-11	88
8037	3	-88	88	-88	88	-88	88
8038	1	20	2	-11	88	-11	88
8038	2	-11	88	-11	88	-11	88
8038	3	-11	88	-11	88	-11	88
8039	1	-11	88	-11	88	-11	88
8039	2	-11	88	-11	88	-11	88
8039	3	-88	88	-88	88	-88	88
8040	1	30	0	30	0	30	0
8040	2	-11	88	-11	88	-11	88
8040	3	-88	88	-88	88	-88	88
8041	1	20	6	20	6	-11	88
8041	2	-11	88	-11	88	-11	88
8041	3	-88	88	-88	88	-88	88
8046	1	-88	88	-88	88	-88	88
8046	2	-88	88	-88	88	-88	88
8046	3	-88	88	-88	88	-88	88
8048	1	20	0	20	0	10	0
8048	2	-11	88	-11	88	-11	88
8048	3	-11	88	-11	88	-11	88
8059	1	25	6	25	6	-11	88
8059	2	-11	88	-11	88	-11	88
8059	3	-88	88	-88	88	-88	88
8060	1	-88	88	-88	88	-88	79
8060	2	-88	88	-88	88	-88	88
8060	3	-88	88	-88	88	-88	88
8062	1	-88	88	-88	88	-88	88
8062	2	-11	88	-11	88	-11	88
8062	3	-88	88	-88	88	-88	88
8064	1	40	0	35	0	15	0
8064	2	-11	88	-11	88	-11	88
8064	3	-88	88	-88	88	-88	88
8066	1	20	6	-11	88	20	6
8066	2	-88	88	-88	88	-88	88
8066	3	-88	88	-88	88	-88	88
8067	1	25	0	25	0	-11	88
8067	2	-88	88	-11	88	-11	88
8067	3	-88	88	-88	88	-88	88
8069	1	35	0	30	0	-11	88
8069	2	35	0	30	0	-11	88
8069	3	-88	88	-88	88	-88	88
8070	1	20	6	20	6	15	6
8070	2	-11	88	-11	88	-11	88
8070	3	-88	88	-88	88	-88	88
8071	1	25	0	20	0	15	0
8071	2	-11	88	-11	88	-11	88
8071	3	-11	88	-11	88	-11	88
8072	1	25	6	25	6	10	6
8072	2	-11	88	-11	88	-11	88
8072	3	-11	88	-11	88	-11	88
8083	1	-88	88	-88	88	-88	88
8083	2	-88	88	-88	88	-88	88
8083	3	-88	88	-88	88	-88	88
8084	1	-11	88	-11	88	-11	88
8084	2	-11	88	-11	88	-11	88
8084	3	-11	88	-11	88	-11	88
8085	1	30	0	30	0	-11	88
8085	2	-11	88	-11	88	-11	88
8085	3	-88	88	-88	88	-88	88
8086	1	25	2	25	2	-11	88
8086	2	-88	88	-88	88	-88	88
8086	3	-88	88	-88	88	-88	88
8088	1	-88	88	-88	88	-88	88
8088	2	-88	88	-88	88	-88	88
8088	3	-88	88	-88	88	-88	88
8090	1	-88	88	-88	88	-88	88
8090	2	-88	88	-88	88	-88	88
8090	3	-88	88	-88	88	-88	88
8091	1	-88	88	-88	88	-88	88
8091	2	-88	88	-88	88	-88	88
8091	3	-88	88	-88	88	-88	88
8092	1	-88	88	-88	88	-88	88
8092	2	-88	88	-88	88	-88	88
8092	3	-88	88	-88	88	-88	88
8094	1	-88	88	-88	88	-88	88
8094	2	-88	88	-88	88	-88	88
8094	3	-88	88	-88	88	-88	88
8097	1	-88	88	-88	88	-88	88
8097	2	-88	88	-88	88	-88	88
8097	3	-88	88	-88	88	-88	88
8098	1	-88	88	-88	88	-88	88
8098	2	-88	88	-88	88	-88	88
8098	3	-88	88	-88	88	-88	88
8099	1	-88	88	-88	88	-88	88
8099	2	-88	88	-88	88	-88	88
8099	3	-88	88	-88	88	-88	88
8107	1	-88	88	-88	88	-88	88
8107	2	-88	88	-88	88	-88	88
8107	3	-88	88	-88	88	-88	88
8108	1	-88	88	-88	88	-88	88
8108	2	-88	88	-88	88	-88	88
8108	3	-88	88	-88	88	-88	88
8109	1	-88	88	-88	88	-88	88
8109	2	-88	88	-88	88	-88	88
8109	3	-88	88	-88	88	-88	88
8110	1	-88	88	-88	88	-88	88
8110	2	-88	88	-88	88	-88	88
8110	3	-88	88	-88	88	-88	88
8111	1	-88	88	-88	88	-88	88
8111	2	-88	88	-88	88	-88	88
8111	3	-88	88	-88	88	-88	88
8112	1	-88	88	-88	88	-88	88
8112	2	-88	88	-88	88	-88	88
8112	3	-88	88	-88	88	-88	88
8114	1	0,88	88	-88	88	-88	88
8114	2	-88	88	-88	88	-88	88
8114	3	-88	88	-88	88	-88	88
8115	1	-88	88	-88	88	-88	88
8115	2	-88	88	-88	88	-88	88
8115	3	-88	88	-88	88	-88	88
8123	1	-88	88	-88	88	-88	88
8123	2	-88	88	-88	88	-88	88
8123	3	-88	88	-88	88	-88	88
8124	1	-88	88	-88	88	-88	88
8124	2	-88	88	-88	88	-88	88
8124	3	-88	88	-88	88	-88	88
8125	1	-88	88	-88	88	-88	88
8125	2	-88	88	-88	88	-88	88
8125	3	-88	88	-88	88	-88	88
8126	1	-88	88	-88	88	-88	88
8126	2	-88	88	-88	88	-88	88
8126	3	-88	88	-88	88	-88	88
8127	1	-88	88	-88	88	-88	88
8127	2	-88	88	-88	88	-88	88
8127	3	-88	88	-88	88	-88	88
8128	1	-88	88	-88	88	-88	88
8128	2	-88	88	-88	88	-88	88
8128	3	-88	88	-88	88	-88	88
8129	1	40	0	35	0	35	0
8129	2	-88	88	-88	88	-88	88
8129	3	-88	88	-88	88	-88	88
8130	1	-88	88	-88	88	-88	88
8130	2	-88	88	-88	88	-88	88
8130	3	-88	88	-88	88	-88	88
8135	1	10	2	10	2	-11	88
8135	2	-11	88	-11	88	-11	88
8135	3	-88	88	-88	88	-88	88
8138	1	20	2	15	2	30	2
8138	2	-11	88	-11	88	-11	88
8138	3	-88	88	-88	88	-88	88
8140	1	40	0	35	0	15	0
8140	2	-88	88	-88	88	-88	88
8140	3	-88	88	-88	88	-88	88
8141	1	30	0	30	0	-11	88
8141	2	30	0	-11	88	-11	88
8141	3	-88	88	-88	88	-88	88
8142	1	-88	88	-88	88	-88	88
8142	2	-88	88	-88	88	-88	88
8142	3	-88	88	-88	88	-88	88
8143	1	20	88	20	88	-11	88
8143	2	-11	88	-11	88	-11	88
8143	3	-88	88	-88	88	-88	88
8144	1	-88	88	-88	88	-88	88
8144	2	-88	88	-88	88	-88	88
8144	3	-88	88	-88	88	-88	88
8145	1	30	0	20	0	15	0
8145	2	-11	88	-11	88	-11	88
8145	3	-88	88	-88	88	-88	88
8146	1	-11	88	-11	88	-11	88
8146	2	-11	88	-11	88	-11	88
8146	3	40	0	-11	88	-11	88
8147	1	-88	88	-88	88	-88	88
8147	2	-88	88	-88	88	-88	88
8147	3	-88	88	-88	88	-88	88
8148	1	30	2	25	2	-22	88
8148	2	25	2	25	2	-22	88
8148	3	-11	88	-11	88	-11	88
8151	1	20	0	20	0	-11	88
8151	2	20	0	20	0	-11	88
8151	3	-88	88	-88	88	-88	88
8152	1	15	2	15	2	10	2
8152	2	-22	88	-22	88	-22	88
8152	3	-88	88	-88	88	-88	88
8160	1	15	0	15	0	8	0
8160	2	-11	88	-11	88	-11	88
8160	3	-88	88	-88	88	-88	88
8161	1	30	0	22	0	22	0
8161	2	15	6	15	6	-11	88
8161	3	-88	88	-88	88	-88	88
8162	1	20	0	15	0	-11	88
8162	2	-11	88	-11	88	-11	88
8162	3	-88	88	-88	88	-88	88
8163	1	15	0	15	0	-11	88
8163	2	-11	88	-11	88	-11	88
8163	3	-88	88	-88	88	-88	88
8166	1	30	0	30	0	-11	88
8166	2	-11	88	-11	88	-11	88
8166	3	-88	88	-88	88	-88	88
8168	1	20	2	20	2	-11	88
8168	2	-11	88	-11	88	-11	88
8168	3	-88	88	-88	88	-88	88
8169	1	15	2	15	2	-11	88
8169	2	15	2	15	2	-11	88
8169	3	-88	88	-88	88	-88	88
8170	1	20	6	20	6	-11	88
8170	2	-11	88	-11	88	-11	88
8170	3	-88	88	-88	88	-88	88
8171	1	25	0	25	0	-11	88
8171	2	-11	88	-11	88	-11	88
8171	3	-88	88	-88	88	-88	88
8172	1	20	0	20	0	-11	88
8172	2	-11	88	-11	88	-11	88
8172	3	50	0	-11	88	-11	88
8175	1	25	6	20	6	10	6
8175	2	-11	88	-11	88	-11	88
8175	3	-88	88	-88	88	-88	88
8177	1	25	6	25	6	-11	88
8177	2	-11	88	-11	88	-11	88
8177	3	-88	88	-88	88	-88	88
8180	1	40	0	30	0	20	0
8180	2	30	0	30	0	20	0
8180	3	40	0	-11	88	-11	88
8181	1	25	0	15	0	-11	88
8181	2	-11	88	-11	88	-11	88
8181	3	-88	88	-88	88	-88	88
8182	1	25	6	25	6	-11	88
8182	2	25	0	25	0	-11	88
8182	3	-88	88	-88	88	-88	88
8184	1	25	0	25	0	15	0
8184	2	25	0	-11	88	20	0
8184	3	-88	88	-88	88	88	88
8185	1	-88	88	-88	88	-88	88
8185	2	-88	88	-88	88	-88	88
8185	3	84	0	-11	88	-11	88
8186	1	25	88	-11	88	-11	88
8186	2	-11	88	-11	88	-11	88
8186	3	-88	88	-88	88	-88	88
8188	1	-88	88	-88	88	-88	88
8188	2	-88	88	-88	88	-88	88
8188	3	-88	88	-88	88	-88	88
8189	1	30	0	30	0	-11	88
8189	2	-11	88	-11	88	-11	88
8189	3	-88	88	-88	88	-88	88
8192	1	-88	88	-88	88	-88	88
8192	2	-88	88	-88	88	-88	88
8192	3	-88	88	-88	88	-88	88
8193	1	20	0	-11	88	-11	88
8193	2	-11	88	-11	88	-11	88
8193	3	-88	88	-88	88	-88	88
8198	1	15	2	15	1	5	88
8198	2	-11	88	-11	88	-11	88
8198	3	-88	88	-88	88	-88	88
8199	1	-11	88	-11	88	-11	88
8199	2	-11	88	-11	88	-11	88
8199	3	-88	88	-88	88	-88	88
8201	1	15	6	15	6	10	6
8201	2	-11	88	-11	88	-11	88
8201	3	-11	88	-88	88	-88	88
8202	1	30	0	30	0	-11	88
8202	2	20	0	20	0	-11	88
8202	3	25	0	-11	88	-11	88
8203	1	40	0	30	0	-11	88
8203	2	-22	88	-22	88	-11	88
8203	3	-88	88	-88	88	-88	88
8204	1	25	0	25	0	15	0
8204	2	-11	88	-11	88	-11	88
8204	3	-88	88	-88	88	-88	88
8205	1	27	6	15	6	-11	88
8205	2	40	0	-11	88	-11	88
8205	3	-88	88	-88	88	-88	88
8206	1	30	0	30	0	-11	88
8206	2	-11	88	-11	88	-11	0
8206	3	-88	88	-88	88	-11	88
8207	1	30	0	25	0	-11	88
8207	2	30	0	25	0	-11	88
8207	3	-88	88	-88	88	-88	88
8209	1	20	2	20	2	10	2
8209	2	20	2	20	2	10	88
8209	3	-88	88	-88	88	-88	6
8210	1	15	2	15	2	10	1
8210	2	-11	88	-11	88	-11	88
8210	3	-88	88	-88	88	-88	88
8211	1	15	0	10	0	10	0
8211	2	15	0	10	0	10	0
8211	3	-88	88	-88	88	-88	88
8212	1	20	0	-11	88	-11	88
8212	2	20	0	-11	88	-11	88
8212	3	-88	88	-88	88	-88	88
8213	1	20	6	20	6	-11	88
8213	2	-11	88	-11	88	-11	88
8213	3	-88	88	-88	88	-88	88
8215	1	20	0	20	0	-11	88
8215	2	-11	88	-11	88	-11	88
8215	3	-11	88	-11	88	-11	88
8216	1	-88	88	-88	88	-88	88
8216	2	-88	88	-88	88	-88	88
8216	3	-88	88	-88	88	-88	88
8217	1	-88	88	-88	88	-88	88
8217	2	-88	88	-88	88	-88	88
8217	3	-88	88	-88	88	-88	88
8219	1	-11	88	-11	88	-11	88
8219	2	-11	88	-11	88	-11	88
8219	3	-88	88	-88	88	-88	88
8220	1	25	6	-11	88	-11	88
8220	2	-11	88	-11	88	-11	88
8220	3	-77	88	-77	88	-77	88
8223	1	-88	88	-88	88	-88	88
8223	2	-88	88	-88	88	-88	88
8223	3	-88	88	-88	88	-88	88
8226	1	-88	88	-88	88	-88	88
8226	2	-88	88	-88	88	-88	88
8226	3	-88	88	-88	88	-88	88
8227	1	-88	88	-88	88	-88	88
8227	2	-88	88	-88	88	-88	88
8227	3	-88	88	-88	88	-88	88
8228	1	30	88	30	88	30	88
8228	2	-11	88	-11	88	-11	88
8228	3	-88	88	-88	88	-88	88
