PLACEID	ACWTIDR4	PLCEWAT	HRSWATER	DAYSWATER	PERWATER
406	5	0	 	 	 
406	6	0	 	 	 
406	7	0	 	 	 
406	8	0	 	 	 
407	1	1	24	7	100
407	2	0	 	 	 
407	3	0	 	 	 
407	4	0	 	 	 
407	5	0	 	 	 
407	6	0	 	 	 
407	7	0	 	 	 
407	8	0	 	 	 
408	1	1	24	7	80
408	2	0	 	 	 
408	3	0	 	 	 
408	4	0	 	 	 
408	5	0	 	 	 
408	6	0	 	 	 
408	7	0	 	 	 
408	8	0	 	 	 
502	1	1	24	7	10
502	2	0	 	 	 
502	3	0	 	 	 
502	4	0	 	 	 
502	5	0	 	 	 
502	6	0	 	 	 
502	7	1	 	 	 
502	8	0	 	 	 
503	1	1	24	7	100
503	2	0	 	 	 
503	3	0	 	 	 
503	4	0	 	 	 
503	5	0	 	 	 
503	6	0	 	 	 
503	7	0	 	 	 
503	8	0	 	 	 
505	1	1	24	7	100
505	2	0	 	 	 
505	3	0	 	 	 
505	4	0	 	 	 
505	5	0	 	 	 
505	6	0	 	 	 
505	7	0	 	 	 
505	8	0	 	 	 
506	1	1	24	7	100
506	2	0	 	 	 
506	3	0	 	 	 
506	4	0	 	 	 
506	5	0	 	 	 
506	6	0	 	 	 
506	7	0	 	 	 
506	8	0	 	 	 
601	1	1	16	7	80
601	2	0	 	 	 
601	3	0	 	 	 
601	4	0	 	 	 
601	5	0	 	 	 
601	6	0	 	 	 
601	7	0	 	 	 
601	8	1	 	 	 
701	1	1	24	7	80
701	2	1	 	 	20
701	3	0	 	 	 
701	4	0	 	 	 
701	5	0	 	 	 
701	6	0	 	 	 
701	7	0	 	 	 
701	8	0	 	 	 
702	1	1	24	7	100
702	2	0	 	 	 
702	3	0	 	 	 
702	4	0	 	 	 
702	5	0	 	 	 
702	6	0	 	 	 
702	7	0	 	 	 
702	8	0	 	 	 
703	1	0	 	 	 
703	2	1	 	 	100
703	3	0	 	 	 
703	4	0	 	 	 
703	5	0	 	 	 
703	6	0	 	 	 
703	7	0	 	 	 
703	8	0	 	 	 
707	1	1	8	3	100
707	2	0	 	 	 
707	3	0	 	 	 
707	4	0	 	 	 
707	5	0	 	 	 
707	6	0	 	 	 
707	7	0	 	 	 
707	8	0	 	 	 
708	1	1	16	7	100
708	2	0	 	 	 
708	3	0	 	 	 
708	4	0	 	 	 
708	5	0	 	 	 
708	6	0	 	 	 
708	7	0	 	 	 
708	8	0	 	 	 
709	1	1	16	7	40
709	2	1	 	 	40
709	3	0	 	 	 
709	4	0	 	 	 
709	5	0	 	 	 
709	6	0	 	 	 
709	7	1	 	 	 
709	8	0	 	 	 
710	1	1	24	7	90
710	2	1	 	 	10
710	3	0	 	 	 
710	4	0	 	 	 
710	5	0	 	 	 
710	6	0	 	 	 
710	7	0	 	 	 
710	8	0	 	 	 
711	1	1	24	7	10
711	2	1	 	 	90
711	3	0	 	 	 
711	4	0	 	 	 
711	5	0	 	 	 
711	6	0	 	 	 
711	7	0	 	 	 
711	8	0	 	 	 
712	1	1	24	7	100
712	2	0	 	 	 
712	3	0	 	 	 
712	4	0	 	 	 
712	5	0	 	 	 
712	6	0	 	 	 
712	7	0	 	 	 
712	8	0	 	 	 
713	1	1	9	7	100
713	2	0	 	 	 
713	3	0	 	 	 
713	4	0	 	 	 
713	5	0	 	 	 
713	6	0	 	 	 
713	7	0	 	 	 
713	8	0	 	 	 
714	1	1	6	7	98
714	2	0	 	 	 
714	3	0	 	 	 
714	4	0	 	 	 
714	5	0	 	 	 
714	6	0	 	 	 
714	7	0	 	 	 
714	8	1	 	 	 
715	1	1	24	7	100
715	2	0	 	 	 
715	3	0	 	 	 
715	4	0	 	 	 
715	5	0	 	 	 
715	6	0	 	 	 
715	7	0	 	 	 
715	8	0	 	 	 
716	1	1	16	7	100
716	2	0	 	 	 
716	3	0	 	 	 
716	4	0	 	 	 
716	5	0	 	 	 
716	6	0	 	 	 
716	7	0	 	 	 
716	8	0	 	 	 
717	1	1	24	7	100
717	2	0	 	 	 
717	3	0	 	 	 
717	4	0	 	 	 
717	5	0	 	 	 
717	6	0	 	 	 
717	7	0	 	 	 
717	8	0	 	 	 
718	1	1	12	7	45
718	2	1	 	 	40
718	3	0	 	 	 
718	4	0	 	 	 
718	5	0	 	 	 
718	6	0	 	 	 
718	7	1	 	 	 
718	8	0	 	 	 
719	1	1	24	4	100
719	2	0	 	 	 
719	3	0	 	 	 
719	4	0	 	 	 
719	5	0	 	 	 
719	6	0	 	 	 
719	7	0	 	 	 
719	8	0	 	 	 
801	1	1	2	4	100
801	2	0	 	 	 
801	3	0	 	 	 
801	4	0	 	 	 
801	5	0	 	 	 
801	6	0	 	 	 
801	7	0	 	 	 
801	8	0	 	 	 
802	1	1	2	7	100
802	2	0	 	 	 
802	3	0	 	 	 
802	4	0	 	 	 
802	5	0	 	 	 
802	6	0	 	 	 
802	7	0	 	 	 
802	8	0	 	 	 
803	1	1	2	7	100
803	2	0	 	 	 
803	3	0	 	 	 
803	4	0	 	 	 
803	5	0	 	 	 
803	6	0	 	 	 
803	7	0	 	 	 
803	8	0	 	 	 
804	1	1	2	3	100
804	2	0	 	 	 
804	3	0	 	 	 
804	4	0	 	 	 
804	5	0	 	 	 
804	6	0	 	 	 
804	7	0	 	 	 
804	8	0	 	 	 
901	1	1	1	7	100
901	2	0	 	 	 
901	3	0	 	 	 
901	4	0	 	 	 
901	5	0	 	 	 
901	6	0	 	 	 
901	7	0	 	 	 
901	8	0	 	 	 
1103	1	0	 	 	 
1103	2	1	 	 	90
1103	3	0	 	 	 
1103	4	1	 	 	10
1103	5	0	 	 	 
1103	6	0	 	 	 
1103	7	1	 	 	 
1103	8	0	 	 	 
1201	1	1	24	7	100
1201	2	0	 	 	 
1201	3	0	 	 	 
1201	4	0	 	 	 
1201	5	0	 	 	 
1201	6	0	 	 	 
1201	7	0	 	 	 
1201	8	0	 	 	 
1202	1	1	2	4	100
1202	2	0	 	 	 
1202	3	0	 	 	 
1202	4	0	 	 	 
1202	5	0	 	 	 
1202	6	0	 	 	 
1202	7	0	 	 	 
1202	8	0	 	 	 
1203	1	1	7	7	100
1203	2	0	 	 	 
1203	3	0	 	 	 
1203	4	0	 	 	 
1203	5	0	 	 	 
1203	6	0	 	 	 
1203	7	0	 	 	 
1203	8	0	 	 	 
1204	1	1	8	7	90
1204	2	0	 	 	 
1204	3	0	 	 	 
1204	4	0	 	 	 
1204	5	0	 	 	 
1204	6	1	 	 	 
1204	7	0	 	 	 
1204	8	0	 	 	 
1205	1	1	24	7	100
1205	2	0	 	 	 
1205	3	0	 	 	 
1205	4	0	 	 	 
1205	5	0	 	 	 
1205	6	0	 	 	 
1205	7	0	 	 	 
1205	8	0	 	 	 
1206	1	1	24	7	100
1206	2	0	 	 	 
1206	3	0	 	 	 
1206	4	0	 	 	 
1206	5	0	 	 	 
1206	6	0	 	 	 
1206	7	0	 	 	 
1206	8	0	 	 	 
1207	1	1	24	7	100
1207	2	0	 	 	 
1207	3	0	 	 	 
1207	4	0	 	 	 
1207	5	0	 	 	 
1207	6	0	 	 	 
1207	7	0	 	 	 
1207	8	0	 	 	 
1208	1	1	24	7	100
1208	2	0	 	 	 
1208	3	0	 	 	 
1208	4	0	 	 	 
1208	5	0	 	 	 
1208	6	0	 	 	 
1208	7	0	 	 	 
1208	8	0	 	 	 
1209	1	1	24	7	100
1209	2	0	 	 	 
1209	3	0	 	 	 
1209	4	0	 	 	 
1209	5	0	 	 	 
1209	6	0	 	 	 
1209	7	0	 	 	 
1209	8	0	 	 	 
1210	1	1	24	7	100
1210	2	0	 	 	 
1210	3	0	 	 	 
1210	4	0	 	 	 
1210	5	0	 	 	 
1210	6	0	 	 	 
1210	7	0	 	 	 
1210	8	0	 	 	 
1211	1	1	24	7	100
1211	2	0	 	 	 
1211	3	0	 	 	 
1211	4	0	 	 	 
1211	5	0	 	 	 
1211	6	0	 	 	 
1211	7	0	 	 	 
1211	8	0	 	 	 
1212	1	1	24	7	100
1212	2	0	 	 	 
1212	3	0	 	 	 
1212	4	0	 	 	 
1212	5	0	 	 	 
1212	6	0	 	 	 
1212	7	0	 	 	 
1212	8	0	 	 	 
1213	1	1	24	7	100
1213	2	0	 	 	 
1213	3	0	 	 	 
1213	4	0	 	 	 
1213	5	0	 	 	 
1213	6	0	 	 	 
1213	7	0	 	 	 
1213	8	0	 	 	 
1215	1	1	24	7	100
1215	2	0	 	 	 
1215	3	0	 	 	 
1215	4	0	 	 	 
1215	5	0	 	 	 
1215	6	0	 	 	 
1215	7	0	 	 	 
1215	8	0	 	 	 
1216	1	1	24	7	100
1216	2	0	 	 	 
1216	3	0	 	 	 
1216	4	0	 	 	 
1216	5	0	 	 	 
1216	6	0	 	 	 
1216	7	0	 	 	 
1216	8	0	 	 	 
1217	1	1	24	7	100
1217	2	0	 	 	 
1217	3	0	 	 	 
1217	4	0	 	 	 
1217	5	0	 	 	 
1217	6	0	 	 	 
1217	7	0	 	 	 
1217	8	0	 	 	 
1218	1	1	24	7	100
1218	2	0	 	 	 
1218	3	0	 	 	 
1218	4	0	 	 	 
1218	5	0	 	 	 
1218	6	0	 	 	 
1218	7	0	 	 	 
1218	8	0	 	 	 
1219	1	1	24	7	100
1219	2	0	 	 	 
1219	3	0	 	 	 
1219	4	0	 	 	 
1219	5	0	 	 	 
1219	6	0	 	 	 
1219	7	0	 	 	 
1219	8	0	 	 	 
1220	1	0	 	 	 
1220	2	0	 	 	 
1220	3	0	 	 	 
1220	4	1	 	 	100
1220	5	0	 	 	 
1220	6	0	 	 	 
1220	7	0	 	 	 
1220	8	0	 	 	 
1221	1	1	24	7	100
1221	2	0	 	 	 
1221	3	0	 	 	 
1221	4	0	 	 	 
1221	5	0	 	 	 
1221	6	0	 	 	 
1221	7	0	 	 	 
1221	8	0	 	 	 
1222	1	1	24	7	100
1222	2	0	 	 	 
1222	3	0	 	 	 
1222	4	0	 	 	 
1222	5	0	 	 	 
1222	6	0	 	 	 
1222	7	0	 	 	 
1222	8	0	 	 	 
1223	1	1	24	7	100
1223	2	0	 	 	 
1223	3	0	 	 	 
1223	4	0	 	 	 
1223	5	0	 	 	 
1223	6	0	 	 	 
1223	7	0	 	 	 
1223	8	0	 	 	 
1224	1	1	24	7	100
1224	2	0	 	 	 
1224	3	0	 	 	 
1224	4	0	 	 	 
1224	5	0	 	 	 
1224	6	0	 	 	 
1224	7	0	 	 	 
1224	8	0	 	 	 
1225	1	1	24	7	100
1225	2	0	 	 	 
1225	3	0	 	 	 
1225	4	0	 	 	 
1225	5	0	 	 	 
1225	6	0	 	 	 
1225	7	0	 	 	 
1225	8	0	 	 	 
1226	1	0	 	 	 
1226	2	0	 	 	 
1226	3	0	 	 	 
1226	4	1	 	 	100
1226	5	0	 	 	 
1226	6	0	 	 	 
1226	7	0	 	 	 
1226	8	0	 	 	 
1227	1	1	24	7	100
1227	2	0	 	 	 
1227	3	0	 	 	 
1227	4	0	 	 	 
1227	5	0	 	 	 
1227	6	0	 	 	 
1227	7	0	 	 	 
1227	8	0	 	 	 
1228	1	1	12	7	100
1228	2	0	 	 	 
1228	3	0	 	 	 
1228	4	0	 	 	 
1228	5	0	 	 	 
1228	6	0	 	 	 
1228	7	0	 	 	 
1228	8	0	 	 	 
1301	1	1	24	3	95
1301	2	1	 	 	5
1301	3	0	 	 	 
1301	4	0	 	 	 
1301	5	0	 	 	 
1301	6	0	 	 	 
1301	7	0	 	 	 
1301	8	0	 	 	 
1303	1	0	 	 	 
1303	2	0	 	 	 
1303	3	0	 	 	 
1303	4	0	 	 	 
1303	5	0	 	 	 
1303	6	0	 	 	 
1303	7	0	 	 	 
1303	8	1	 	 	 
1304	1	1	24	7	100
1304	2	0	 	 	 
1304	3	0	 	 	 
1304	4	0	 	 	 
1304	5	0	 	 	 
1304	6	0	 	 	 
1304	7	0	 	 	 
1304	8	0	 	 	 
1305	1	1	24	7	100
1305	2	0	 	 	 
1305	3	0	 	 	 
1305	4	0	 	 	 
1305	5	0	 	 	 
1305	6	0	 	 	 
1305	7	0	 	 	 
1305	8	0	 	 	 
1306	1	1	24	7	100
1306	2	0	 	 	 
1306	3	0	 	 	 
1306	4	0	 	 	 
1306	5	0	 	 	 
1306	6	0	 	 	 
1306	7	0	 	 	 
1306	8	0	 	 	 
1307	1	1	24	7	100
1307	2	0	 	 	 
1307	3	0	 	 	 
1307	4	0	 	 	 
1307	5	0	 	 	 
1307	6	0	 	 	 
1307	7	0	 	 	 
1307	8	0	 	 	 
1401	1	1	24	7	100
1401	2	0	 	 	 
1401	3	0	 	 	 
1401	4	0	 	 	 
1401	5	0	 	 	 
1401	6	0	 	 	 
1401	7	0	 	 	 
1401	8	0	 	 	 
1402	1	0	 	 	 
1402	2	0	 	 	 
1402	3	0	 	 	 
1402	4	0	 	 	 
1402	5	0	 	 	 
1402	6	1	 	 	 
1402	7	0	 	 	 
1402	8	0	 	 	 
1403	1	1	24	7	100
1403	2	0	 	 	 
1403	3	0	 	 	 
1403	4	0	 	 	 
1403	5	0	 	 	 
1403	6	0	 	 	 
1403	7	0	 	 	 
1403	8	0	 	 	 
1404	1	1	24	7	100
1404	2	0	 	 	 
1404	3	0	 	 	 
1404	4	0	 	 	 
1404	5	0	 	 	 
1404	6	0	 	 	 
1404	7	0	 	 	 
1404	8	0	 	 	 
1405	1	1	24	7	100
1405	2	0	 	 	 
1405	3	0	 	 	 
1405	4	0	 	 	 
1405	5	0	 	 	 
1405	6	0	 	 	 
1405	7	0	 	 	 
1405	8	0	 	 	 
1406	1	1	24	7	100
1406	2	0	 	 	 
1406	3	0	 	 	 
1406	4	0	 	 	 
1406	5	0	 	 	 
1406	6	0	 	 	 
1406	7	0	 	 	 
1406	8	0	 	 	 
1407	1	1	24	7	100
1407	2	0	 	 	 
1407	3	0	 	 	 
1407	4	0	 	 	 
1407	5	0	 	 	 
1407	6	0	 	 	 
1407	7	0	 	 	 
1407	8	0	 	 	 
1408	1	1	24	7	86
1408	2	0	 	 	 
1408	3	0	 	 	 
1408	4	0	 	 	 
1408	5	0	 	 	 
1408	6	0	 	 	 
1408	7	0	 	 	 
1408	8	1	 	 	 
1409	1	1	24	7	100
1409	2	0	 	 	 
1409	3	0	 	 	 
1409	4	0	 	 	 
1409	5	0	 	 	 
1409	6	0	 	 	 
1409	7	0	 	 	 
1409	8	0	 	 	 
1501	1	0	 	 	 
1501	2	1	 	 	95
1501	3	0	 	 	 
1501	4	0	 	 	 
1501	5	0	 	 	 
1501	6	0	 	 	 
1501	7	1	 	 	 
1501	8	0	 	 	 
1502	1	1	24	7	100
1502	2	0	 	 	 
1502	3	0	 	 	 
1502	4	0	 	 	 
1502	5	0	 	 	 
1502	6	0	 	 	 
1502	7	0	 	 	 
1502	8	0	 	 	 
1503	1	0	 	 	 
1503	2	1	 	 	100
1503	3	0	 	 	 
1503	4	0	 	 	 
1503	5	0	 	 	 
1503	6	0	 	 	 
1503	7	0	 	 	 
1503	8	0	 	 	 
1504	1	0	 	 	 
1504	2	1	 	 	100
1504	3	0	 	 	 
1504	4	0	 	 	 
1504	5	0	 	 	 
1504	6	0	 	 	 
1504	7	1	 	 	 
1504	8	0	 	 	 
1505	1	0	 	 	 
1505	2	1	 	 	50
1505	3	0	 	 	 
1505	4	0	 	 	 
1505	5	0	 	 	 
1505	6	0	 	 	 
1505	7	0	 	 	 
1505	8	1	 	 	 
1507	1	0	 	 	 
1507	2	1	 	 	95
1507	3	0	 	 	 
1507	4	0	 	 	 
1507	5	0	 	 	 
1507	6	0	 	 	 
1507	7	1	 	 	 
1507	8	0	 	 	 
1508	1	0	 	 	 
1508	2	1	 	 	100
1508	3	0	 	 	 
1508	4	0	 	 	 
1508	5	0	 	 	 
1508	6	0	 	 	 
1508	7	0	 	 	 
1508	8	0	 	 	 
1509	1	0	 	 	 
1509	2	1	 	 	100
1509	3	0	 	 	 
1509	4	0	 	 	 
1509	5	0	 	 	 
1509	6	0	 	 	 
1509	7	0	 	 	 
1509	8	0	 	 	 
1510	1	1	24	7	86
1510	2	1	 	 	15
1510	3	0	 	 	 
1510	4	0	 	 	 
1510	5	0	 	 	 
1510	6	0	 	 	 
1510	7	1	 	 	 
1510	8	0	 	 	 
1601	1	1	24	7	100
1601	2	0	 	 	 
1601	3	0	 	 	 
1601	4	0	 	 	 
1601	5	0	 	 	 
1601	6	0	 	 	 
1601	7	0	 	 	 
1601	8	0	 	 	 
1603	1	1	24	7	100
1603	2	0	 	 	 
1603	3	0	 	 	 
1603	4	0	 	 	 
1603	5	0	 	 	 
1603	6	0	 	 	 
1603	7	0	 	 	 
1603	8	0	 	 	 
1604	1	0	 	 	 
1604	2	1	 	 	100
1604	3	0	 	 	 
1604	4	0	 	 	 
1604	5	0	 	 	 
1604	6	0	 	 	 
1604	7	0	 	 	 
1604	8	0	 	 	 
1701	1	1	24	7	100
1701	2	0	 	 	 
1701	3	0	 	 	 
1701	4	0	 	 	 
1701	5	0	 	 	 
1701	6	0	 	 	 
1701	7	0	 	 	 
1701	8	0	 	 	 
1702	1	0	 	 	 
1702	2	1	 	 	100
1702	3	0	 	 	 
1702	4	0	 	 	 
1702	5	0	 	 	 
1702	6	0	 	 	 
1702	7	0	 	 	 
1702	8	0	 	 	 
1703	1	1	24	7	100
1703	2	0	 	 	 
1703	3	0	 	 	 
1703	4	0	 	 	 
1703	5	0	 	 	 
1703	6	0	 	 	 
1703	7	0	 	 	 
1703	8	0	 	 	 
1801	1	0	 	 	 
1801	2	1	 	 	100
1801	3	0	 	 	 
1801	4	0	 	 	 
1801	5	0	 	 	 
1801	6	0	 	 	 
1801	7	0	 	 	 
1801	8	0	 	 	 
1802	1	0	 	 	 
1802	2	1	 	 	100
1802	3	0	 	 	 
1802	4	0	 	 	 
1802	5	0	 	 	 
1802	6	0	 	 	 
1802	7	0	 	 	 
1802	8	0	 	 	 
2002	1	1	3	7	80
2002	2	0	 	 	 
2002	3	1	 	 	20
2002	4	0	 	 	 
2002	5	0	 	 	 
2002	6	0	 	 	 
2002	7	0	 	 	 
2002	8	0	 	 	 
2004	1	1	5	7	100
2004	2	0	 	 	 
2004	3	0	 	 	 
2004	4	0	 	 	 
2004	5	0	 	 	 
2004	6	0	 	 	 
2004	7	0	 	 	 
2004	8	0	 	 	 
2005	1	1	2	7	90
2005	2	0	 	 	 
2005	3	0	 	 	 
2005	4	0	 	 	 
2005	5	1	 	 	10
2005	6	0	 	 	 
2005	7	0	 	 	 
2005	8	0	 	 	 
2006	1	1	3	1	90
2006	2	0	 	 	 
2006	3	1	 	 	10
2006	4	0	 	 	 
2006	5	0	 	 	 
2006	6	0	 	 	 
2006	7	0	 	 	 
2006	8	0	 	 	 
2007	1	1	3	7	80
2007	2	0	 	 	 
2007	3	1	 	 	20
2007	4	0	 	 	 
2007	5	0	 	 	 
2007	6	0	 	 	 
2007	7	0	 	 	 
2007	8	0	 	 	 
2008	1	0	 	 	 
2008	2	0	 	 	 
2008	3	1	 	 	100
2008	4	0	 	 	 
2008	5	0	 	 	 
2008	6	0	 	 	 
2008	7	0	 	 	 
2008	8	0	 	 	 
2009	1	1	2	7	90
2009	2	0	 	 	 
2009	3	1	 	 	10
2009	4	0	 	 	 
2009	5	0	 	 	 
2009	6	0	 	 	 
2009	7	0	 	 	 
2009	8	0	 	 	 
2010	1	0	 	 	 
2010	2	0	 	 	 
2010	3	1	 	 	100
2010	4	0	 	 	 
2010	5	0	 	 	 
2010	6	0	 	 	 
2010	7	0	 	 	 
2010	8	0	 	 	 
2011	1	1	9	7	100
2011	2	0	 	 	 
2011	3	0	 	 	 
2011	4	0	 	 	 
2011	5	0	 	 	 
2011	6	0	 	 	 
2011	7	0	 	 	 
2011	8	0	 	 	 
2012	1	1	5	7	100
2012	2	0	 	 	 
2012	3	0	 	 	 
2012	4	0	 	 	 
2012	5	0	 	 	 
2012	6	0	 	 	 
2012	7	0	 	 	 
2012	8	0	 	 	 
2014	1	0	 	 	 
2014	2	0	 	 	 
2014	3	1	 	 	100
2014	4	0	 	 	 
2014	5	0	 	 	 
2014	6	0	 	 	 
2014	7	0	 	 	 
2014	8	0	 	 	 
2015	1	0	 	 	 
2015	2	0	 	 	 
2015	3	1	 	 	100
2015	4	0	 	 	 
2015	5	0	 	 	 
2015	6	0	 	 	 
2015	7	0	 	 	 
2015	8	0	 	 	 
2016	1	0	 	 	 
2016	2	0	 	 	 
2016	3	1	 	 	100
2016	4	0	 	 	 
2016	5	0	 	 	 
2016	6	0	 	 	 
2016	7	0	 	 	 
2016	8	0	 	 	 
2017	1	1	5	7	100
2017	2	0	 	 	 
2017	3	0	 	 	 
2017	4	0	 	 	 
2017	5	0	 	 	 
2017	6	0	 	 	 
2017	7	0	 	 	 
2017	8	0	 	 	 
2018	1	1	3	7	100
2018	2	0	 	 	 
2018	3	0	 	 	 
2018	4	0	 	 	 
2018	5	0	 	 	 
2018	6	0	 	 	 
2018	7	0	 	 	 
2018	8	0	 	 	 
2019	1	0	 	 	 
2019	2	0	 	 	 
2019	3	1	 	 	100
2019	4	0	 	 	 
2019	5	0	 	 	 
2019	6	0	 	 	 
2019	7	0	 	 	 
2019	8	0	 	 	 
2020	1	1	24	7	100
2020	2	0	 	 	 
2020	3	0	 	 	 
2020	4	0	 	 	 
2020	5	0	 	 	 
2020	6	0	 	 	 
2020	7	0	 	 	 
2020	8	0	 	 	 
2021	1	1	2	7	100
2021	2	0	 	 	 
2021	3	0	 	 	 
2021	4	0	 	 	 
2021	5	0	 	 	 
2021	6	0	 	 	 
2021	7	0	 	 	 
2021	8	0	 	 	 
8003	1	1	2	3	100
8003	2	0	 	 	 
8003	3	0	 	 	 
8003	4	0	 	 	 
8003	5	0	 	 	 
8003	6	0	 	 	 
8003	7	0	 	 	 
8003	8	0	 	 	 
8004	1	1	3	4	80
8004	2	0	 	 	 
8004	3	0	 	 	 
8004	4	0	 	 	 
8004	5	1	 	 	20
8004	6	0	 	 	 
8004	7	0	 	 	 
8004	8	0	 	 	 
8005	1	1	24	7	80
8005	2	0	 	 	 
8005	3	0	 	 	 
8005	4	0	 	 	 
8005	5	0	 	 	 
8005	6	0	 	 	 
8005	7	1	 	 	 
8005	8	0	 	 	 
8007	1	1	24	7	100
8007	2	0	 	 	 
8007	3	0	 	 	 
8007	4	0	 	 	 
8007	5	0	 	 	 
8007	6	0	 	 	 
8007	7	0	 	 	 
8007	8	0	 	 	 
8008	1	1	24	7	100
8008	2	0	 	 	 
8008	3	0	 	 	 
8008	4	0	 	 	 
8008	5	0	 	 	 
8008	6	0	 	 	 
8008	7	0	 	 	 
8008	8	0	 	 	 
8012	1	1	4	7	100
8012	2	0	 	 	 
8012	3	0	 	 	 
8012	4	0	 	 	 
8012	5	0	 	 	 
8012	6	0	 	 	 
8012	7	0	 	 	 
8012	8	0	 	 	 
8014	1	1	24	7	100
8014	2	0	 	 	 
8014	3	0	 	 	 
8014	4	0	 	 	 
8014	5	0	 	 	 
8014	6	0	 	 	 
8014	7	0	 	 	 
8014	8	0	 	 	 
8016	1	1	12	7	100
8016	2	0	 	 	 
8016	3	0	 	 	 
8016	4	0	 	 	 
8016	5	0	 	 	 
8016	6	0	 	 	 
8016	7	0	 	 	 
8016	8	0	 	 	 
8018	1	1	24	7	100
8018	2	0	 	 	 
8018	3	0	 	 	 
8018	4	0	 	 	 
8018	5	0	 	 	 
8018	6	0	 	 	 
8018	7	0	 	 	 
8018	8	0	 	 	 
8020	1	1	24	7	100
8020	2	0	 	 	 
8020	3	0	 	 	 
8020	4	0	 	 	 
8020	5	0	 	 	 
8020	6	0	 	 	 
8020	7	0	 	 	 
8020	8	0	 	 	 
8025	1	1	0	3	40
8025	2	0	 	 	 
8025	3	1	 	 	40
8025	4	0	 	 	 
8025	5	0	 	 	 
8025	6	1	 	 	 
8025	7	0	 	 	 
8025	8	0	 	 	 
8026	1	1	12	7	10
8026	2	1	 	 	90
8026	3	0	 	 	 
8026	4	0	 	 	 
8026	5	0	 	 	 
8026	6	1	 	 	 
8026	7	0	 	 	 
8026	8	0	 	 	 
8029	1	0	 	 	 
8029	2	1	 	 	100
8029	3	0	 	 	 
8029	4	0	 	 	 
8029	5	0	 	 	 
8029	6	0	 	 	 
8029	7	0	 	 	 
8029	8	0	 	 	 
8032	1	1	24	7	90
8032	2	1	 	 	10
8032	3	0	 	 	 
8032	4	0	 	 	 
8032	5	0	 	 	 
8032	6	0	 	 	 
8032	7	0	 	 	 
8032	8	0	 	 	 
8034	1	1	24	7	100
8034	2	0	 	 	 
8034	3	0	 	 	 
8034	4	0	 	 	 
8034	5	0	 	 	 
8034	6	0	 	 	 
8034	7	0	 	 	 
8034	8	0	 	 	 
8037	1	1	8	7	100
8037	2	0	 	 	 
8037	3	0	 	 	 
8037	4	0	 	 	 
8037	5	0	 	 	 
8037	6	0	 	 	 
8037	7	0	 	 	 
8037	8	0	 	 	 
