PLACEID	STRTDINT	MNDPTOID	MNSENSIT	GENCHRST	POPSIZE	HOUSING	ILLOCCUP	OTHRES	AGRIC	LIVEST	FISHING	MINING	INDUST	HANDICR	RETAIL	OTHUSE	CITY	POPCITY	TIMECAP	TRANS1	TRANS2	TRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	MAINRTE	NTRLDIST	LBRUNION	COMMKITC	MTHRCLUB	APAFA	POLTGRP	RELGGRP	SVGSCOOP	HOUSCOOP	LENDCOOP	SPRTASSC	CRMASSC	PSNTASSC	NTVASSC	AGRIASSC	PRDCRS	OTHERS1	RLOTHR1	OTHERS2	RLOTHR2	OTHERS3	RLOTHR3	OTHERS4	RLOTHR4	OTHERS5	RLOTHR5	OTHERS6	RLOTHR6	OTHERS7	RLOTHR7	OTHERS8	RLOTHR8	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	IMPCROP	PRICCROP	MINCROP	MAXCROP	PRICEEN	ENDDINT
401	23/10/2013	1	4	23/10/2013 HORA: 8:33	300	5	5	1	2	3	5	5	5	5	4	88	1	5000	120	1	88	 	0	0	1	1	0	0	3	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	MAIZ	3	 	 	23/10/2013  HORA: 10:30	23/10/2013
402	29/10/2013	1	4	29/10/2013 HORA: 15:10	520	5	5	3	1	2	5	5	5	5	4	88	1	-77	600	1	88	 	0	0	1	1	0	0	3	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	CAFE	3	 	 	29/10/2013  HORA: 17:00	29/10/2013
404	23/10/2013	1	4	23/10/2013   HORA: 08:25	70	5	5	2	1	3	5	5	5	5	5	88	1	-77	120	1	88	 	0	0	0	1	0	0	4	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	MAIZ BLANCO	5	 	 	23/10/2013  HORA: 11:30	23/10/2013
405	22/10/2013	1	4	22/10/2013  HORA: 13:05	180	5	5	1	2	3	5	5	5	5	4	88	1	8000	60	7	88	 	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	MAIZ	3	 	 	22/10/2013  HORA: 16:00	22/10/2013
406	22/10/2013	1	4	22/10/2013 HORA: 07:11	200	5	5	1	2	3	5	5	5	5	4	88	1	-77	40	1	88	 	0	0	1	1	0	0	3	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	PAPA	1	 	 	22/10/2013  HORA:10:30	22/10/2013
407	28/10/2013	1	4	28/10/2013  HORA:15:41	200	3	5	88	1	2	5	5	5	5	4	88	1	5000	600	1	88	 	0	1	0	1	0	0	2	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	CAFE	6	 	 	28/10/2013  HORA: 20:49	28/10/2013
408	30/10/2013	1	4	30/10/2013  HORA: 09:03	80	2	5	88	1	3	5	5	5	5	4	88	1	2000	90	7	88	 	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	MAIZ	2	 	 	30/10/2013  HORA: 11:30	30/10/2013
502	08/11/2013	22	5	08/11/2013  HORA: 15:38	80	5	5	3	1	2	5	5	5	5	5	5	1	-77	150	1	6	88	0	0	0	1	0	0	4	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	10	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	CAFE	15	 	 	08/11/2013 HORA:16:46	08/11/2013
503	08/11/2013	22	5	08/11/2013  HORA: 06:37	80	5	5	1	2	3	5	5	5	5	4	88	1	6000	5	5	88	 	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	CAFE	1	 	 	08/11/2013 HORA: 9:00	08/11/2013
505	06/11/2013	22	5	06/11/2013  HORA: 07:40	450	5	5	3	1	2	5	5	5	5	4	88	1	-77	15	6	88	 	1	0	0	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	1	7	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	CAFE	2,5	 	 	06/11/2013  HORA: 10:00	06/11/2013
506	10/11/2013	22	5	08/11/2013  HORA: 08:29	2500	5	5	1	2	3	5	5	5	5	4	88	1	10000	20	5	88	 	0	0	1	0	0	0	3	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	9	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	CAFE	2,5	 	 	10/11/2013 HORA: 10:30	10/11/2013
601	24/11/2013	22	6	24/11/2013  HORA: 08:43	2500	5	5	2	1	3	5	5	5	5	4	88	1	80000	15	5	88	 	1	1	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	ARROZ	1	 	 	25/11/2013  HORA: 10:00	25/11/2013
701	13/08/2013	6	7	13/08/2013   HORA: 09:01	2800	1	3	77	5	5	5	5	5	5	2	77	1	200000	15	7	6	5	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	14/08/2013    HORA: 11:08	14/08/2013
702	15/08/2013	6	7	15/08/2013   HORA: 12:46	18000	1	5	77	5	5	5	5	5	3	2	88	1	200000	10	7	6	5	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	-88	-88	 	 	17/08/2013    HORA: 15:10	17/08/2013
703	08/08/2013	6	7	08/08/2013   HORA: 08:30	1750	1	5	77	5	5	5	5	5	5	2	77	1	200000	20	6	7	5	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	 	 	 	 	 
707	20/08/2013	6	7	20/08/2013   HORA: 08:03	1500	2	1	88	5	5	5	5	5	5	5	88	1	200000	30	1	5	88	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	20/08/2013   HORA: 17:15	20/08/2013
708	13/08/2013	6	7	13/08/2013   HORA: 08:10	800	1	5	88	5	5	5	5	5	5	2	88	1	200000	5	7	6	88	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	 	 	13/08/2013   HORA: 18:20	13/08/2013
709	19/08/2013	6	7	19/08/2013    HORA: 08:05	2500	5	5	1	5	5	5	5	5	3	2	88	1	200000	15	5	7	88	1	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	7	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	19/08/2013   HORA: 17:45	19/08/2013
710	11/08/2013	6	7	10/08/2013   HORA:16:05	3000	1	5	88	5	5	5	5	5	5	2	88	1	200000	15	6	7	5	1	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	11/08/2013   HORA: 16:30	11/08/2013
711	17/08/2013	6	7	16/08/2013   HORA: 10:38	2500	5	5	88	2	3	5	5	5	5	4	77	1	200000	40	7	6	88	0	1	0	0	0	0	2	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	1	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	17/08/2013    HORA: 11: 40	17/08/2013
712	05/08/2013	6	7	05/08/2013   HORA: 14:05	2500	1	5	5	5	5	5	5	5	5	2	88	1	200000	25	6	7	5	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	 	 	06/08/2013   HORA: 18:49	06/08/2013
713	17/08/2013	6	7	09/08/2013   HORA: 10:20	5000	1	5	88	5	5	5	5	5	5	2	88	1	200000	10	7	6	88	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	10/08/2013    HORA. 16:05	10708/2013
714	18/08/2013	6	7	17/08/2013   HORA: 08:20	6000	1	5	88	5	5	5	5	5	3	2	88	1	200000	10	1	7	6	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	1	11	1	7	1	15	1	15	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-88	-88	 	 	18/08/2013   HORA: 15:30	18/08/2013
715	14/08/2013	6	7	14/08/2013    HORA: 08:10	2000	1	5	5	5	5	5	5	5	5	2	3	1	200000	15	7	6	88	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	 	 	15/08/2013   HORA:17:30	15/08/2013
716	11/08/2013	6	7	11/08/2013   HORA: 08:35	1500	1	5	88	5	5	5	5	5	5	2	88	1	200000	10	7	6	88	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	 	 	12/08/2013   HORA: 17:10	12/08/2013
717	16/08/2013	6	7	16/08/2013    HORA: 08:42	1750	1	5	77	5	5	5	5	5	3	2	77	1	200000	15	7	6	5	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-88	-88	 	 	16/08/2013   HORA: 17:10	16/08/2013
718	18/08/2013	6	7	18/08/2013   HORA: 09:10	2400	1	5	77	5	5	5	5	5	5	2	88	1	200000	20	7	5	6	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	19/08/2013   HORA: 12:45	19/08/2013
719	06/08/2013	6	7	06/08/2013   HORA: 11:30	2500	1	5	77	1	5	5	5	5	5	2	77	1	200000	10	6	7	5	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	 	 	07/08/2013   HORA: 12:30	07/08/2013
801	11/09/2013	13	8	11/09/2013   HORA: 11:00	3000	1	5	2	5	5	5	5	5	5	3	88	1	170000	40	7	6	88	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	11	1	9	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	1	0	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	11/09/2013   HORA: 15:40	11/09/2013
802	12/09/2013	13	8	12/09/2013   HORA: 09:10	2500	1	88	88	5	5	5	5	5	5	2	88	1	150000	15	7	6	88	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	12/09/2013   HORA: 14:45	12/09/2013
803	13/09/2013	13	8	13/09/2013   HORA:09:30	20000	1	5	88	5	5	5	5	5	5	2	88	1	150000	10	7	6	88	1	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-88	-88	 	 	13/09/2013   HORA: 15:35	13/09/2013
