CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10004	28	N	 	 
10004	29	N	 	 
10004	30	N	 	 
10004	31	N	 	 
10005	1	Y	1000	 
10005	2	Y	1000	 
10005	3	Y	2000	1
10005	4	Y	2000	88
10005	5	Y	500	 
10005	6	Y	200	 
10005	7	Y	300	1
10005	8	Y	500	88
10005	9	Y	600	88
10005	10	Y	1000	1
10005	11	N	 	 
10005	12	N	 	 
10005	13	N	 	 
10005	14	N	 	 
10005	15	Y	500	1
10005	16	N	 	 
10005	17	N	 	 
10005	18	N	 	 
10005	19	N	 	 
10005	20	N	 	 
10005	21	Y	1800	1
10005	22	N	 	 
10005	23	N	 	 
10005	24	N	 	 
10005	25	N	 	 
10005	26	N	 	 
10005	27	N	 	 
10005	28	N	 	 
10005	29	N	 	 
10005	30	N	 	 
10005	31	N	 	 
10007	1	Y	2000	 
10007	2	Y	1500	 
10007	3	Y	1000	4
10007	4	Y	1000	88
10007	5	Y	200	 
10007	6	Y	200	 
10007	7	Y	300	4
10007	8	Y	300	88
10007	9	Y	500	4
10007	10	Y	500	88
10007	11	N	 	 
10007	12	N	 	 
10007	13	N	 	 
10007	14	N	 	 
10007	15	Y	500	2
10007	16	N	 	 
10007	17	N	 	 
10007	18	N	 	 
10007	19	N	 	 
10007	20	N	 	 
10007	21	Y	2000	1
10007	22	Y	1000	2
10007	23	N	 	 
10007	24	N	 	 
10007	25	N	 	 
10007	26	Y	500	1
10007	27	N	 	 
10007	28	N	 	 
10007	29	N	 	 
10007	30	N	 	 
10007	31	N	 	 
10008	1	N	 	 
10008	2	Y	2000	 
10008	3	Y	750	4
10008	4	Y	800	88
10008	5	N	 	 
10008	6	Y	200	 
10008	7	Y	380	4
10008	8	Y	120	88
10008	9	Y	600	88
10008	10	N	 	 
10008	11	N	 	 
10008	12	Y	9000	4
10008	13	N	 	 
10008	14	N	 	 
10008	15	Y	1000	2
10008	16	Y	4000	4
10008	17	Y	600	1
10008	18	Y	1000	1
10008	19	N	 	 
10008	20	N	 	 
10008	21	Y	1440	1
10008	22	N	 	 
10008	23	N	 	 
10008	24	N	 	 
10008	25	N	 	 
10008	26	N	 	 
10008	27	N	 	 
10008	28	N	 	 
10008	29	N	 	 
10008	30	N	 	 
