CHILDCODE	CHMVIDR4	YRMOVER4	MTHSTYR4	WHRMVER4	LOCMVER4	MVEMEMR4	RSNMVR41
40018	3	2013	6	3	2	0	2
40019	1	2010	30	3	2	0	2
40022	1	2011	20	1	2	0	2
40024	1	2012	10	1	2	0	2
40024	2	2013	6	1	2	0	2
40025	1	2010	27	2	2	0	2
40028	1	2013	6	1	1	0	2
40029	1	2012	18	2	2	0	2
40030	1	2013	6	2	2	0	2
40032	1	2012	21	1	2	0	2
40033	1	2012	12	1	2	3	15
40034	1	2011	17	1	1	0	2
40036	1	2013	2	1	2	0	2
40037	1	2012	16	1	1	0	2
40038	1	2011	26	1	1	0	2
40041	1	2013	6	1	1	0	2
40042	1	2011	26	1	2	0	2
40043	1	2010	40	1	1	0	2
40045	1	2010	36	2	2	0	2
40046	1	2010	37	1	1	0	2
40048	1	2013	6	1	1	0	2
40049	1	2012	16	1	1	0	2
40050	1	2012	17	1	1	0	2
40051	1	2009	46	2	1	0	2
40053	1	2012	18	1	2	0	2
40055	1	2010	38	1	1	0	2
40056	1	2009	46	1	2	0	2
40058	1	2012	18	2	2	0	2
40067	1	2013	6	2	1	4	2
40069	1	2012	16	1	1	0	2
40070	1	2012	14	1	1	3	5
40074	1	2011	8	2	1	0	2
40074	2	2012	8	2	1	0	2
40074	3	2013	6	2	1	0	2
40081	1	2009	47	1	2	0	2
40085	1	2012	16	2	1	0	2
40087	1	2010	18	1	2	0	2
40088	1	2011	17	1	2	0	2
40089	1	2009	46	2	1	0	2
40090	1	2010	39	1	1	0	2
40091	1	2010	9	1	1	0	2
40091	2	2011	9	1	1	0	2
40091	3	2012	9	1	1	0	2
40091	4	2013	7	1	1	0	2
40092	1	2010	36	1	1	0	2
40093	1	2010	36	1	2	0	2
40094	1	2010	36	1	1	0	2
40098	1	2012	16	1	2	0	2
40099	1	2012	18	1	2	0	2
40100	1	2009	46	1	1	0	2
50007	1	2012	4	2	1	0	12
50007	2	2012	6	2	1	0	12
50017	1	2013	4	2	4	0	2
50017	2	2013	3	2	4	0	2
50017	3	2012	6	2	4	0	2
50017	4	2012	4	2	4	0	2
50017	5	2011	7	2	4	0	2
50017	6	2010	5	2	4	0	2
50017	7	2010	4	2	4	0	2
50032	1	2010	8	1	1	2	2
50032	2	2011	3	1	1	2	2
50032	3	2011	7	1	1	2	2
50032	4	2012	3	1	1	0	2
50032	5	2012	6	1	1	0	2
50038	1	2013	11	3	6	90	1
50040	1	2012	3	2	1	0	2
50040	2	2011	4	2	1	0	2
50061	1	2011	3	3	1	2	15
50080	1	2012	9	3	2	3	15
50080	2	2011	8	3	2	3	15
50086	1	2010	3	2	2	0	2
50094	1	2011	2	2	2	0	2
50094	2	2011	3	2	2	0	2
50094	3	2012	2	2	2	0	2
50094	4	2012	2	2	2	0	2
50094	5	2013	3	2	2	0	2
50094	6	2013	3	2	2	0	2
50097	1	2013	2	3	1	3	12
60003	1	2012	2	1	1	0	15
60019	1	2012	3	1	2	0	2
60019	2	2012	5	1	2	0	3
60020	1	2012	3	2	2	0	12
60020	2	2013	2	2	2	0	12
60024	1	2013	3	2	3	0	2
60024	2	2012	2	2	3	0	2
60024	3	2011	4	2	3	0	2
60024	4	2011	2	2	3	0	2
60025	1	2011	2	2	2	2	2
60029	1	2013	2	2	3	0	2
60034	1	2013	4	3	2	0	2
60034	2	2014	3	3	2	0	2
60039	1	2013	3	2	2	0	2
60042	1	2012	5	2	1	1	2
60042	2	2013	4	2	1	1	2
60046	1	2013	5	2	2	0	2
60046	2	2013	2	2	2	0	2
60046	3	2012	5	2	2	3	2
60057	1	2011	4	2	1	0	2
60058	1	2012	2	1	2	0	2
60061	1	2011	10	2	1	1	2
60063	1	2012	2	3	1	3	5
60066	1	2012	2	3	3	80	2
60076	1	2012	2	1	1	0	3
60084	1	2013	3	1	1	0	2
60084	2	2012	2	1	1	0	2
60084	3	2011	3	1	1	0	2
60090	1	2012	3	2	2	0	2
60090	2	2012	5	2	2	0	2
60090	3	2012	2	2	2	0	2
60092	1	2013	3	2	1	90	2
60092	2	2012	3	2	1	1	2
60092	3	2012	5	2	1	1	2
60093	1	2013	3	2	2	0	2
60094	1	2013	2	2	1	0	2
60096	1	2013	3	2	3	0	2
60096	2	2012	3	2	3	0	2
60096	3	2012	2	2	3	0	2
60097	1	2013	4	2	2	0	2
60097	2	2013	2	2	2	0	2
60097	3	2012	4	2	2	0	2
60097	4	2012	2	2	2	0	2
60097	5	2011	5	2	2	0	2
60097	6	2010	6	2	2	0	2
60098	1	2010	4	2	1	0	2
60100	1	2012	2	2	4	0	12
70001	1	2010	36	2	2	0	2
70004	1	2012	4	2	2	0	2
70004	2	2012	3	2	2	0	2
70004	3	2011	3	2	2	0	2
70004	4	2011	2	2	2	0	2
70004	5	2010	4	2	2	0	2
70005	1	2012	3	2	2	0	2
70005	2	2012	4	2	2	0	2
70005	3	2013	2	2	2	0	2
70034	1	2010	5	2	1	80	2
70034	2	2010	4	2	1	80	2
70035	1	2012	2	2	2	0	2
70042	1	2013	3	1	1	0	2
70045	1	2013	3	1	1	0	2
70051	1	2010	2	2	3	0	2
70057	1	2011	2	1	1	0	15
70059	1	2010	4	3	3	3	5
70059	2	2011	6	3	3	3	5
70067	1	2013	2	4	1	80	15
70070	1	2012	2	5	1	3	5
70070	2	2013	2	5	1	3	5
70072	1	2013	2	4	7	1	5
70079	1	2013	3	1	1	0	2
70079	2	2012	4	1	1	0	2
70079	3	2012	3	1	1	0	2
70079	4	2011	5	1	1	0	2
70080	1	2011	2	3	2	3	12
70081	1	2013	7	3	4	3	2
70081	2	2012	8	3	4	3	2
70081	3	2011	6	3	4	3	2
70081	4	2010	7	3	4	3	2
70085	1	2012	2	3	4	1	3
70091	1	2010	24	3	4	80	10
80004	1	2013	6	2	3	0	2
80004	2	2012	10	2	3	0	2
80004	3	2011	10	2	3	0	2
80005	1	2013	4	1	2	3	2
80005	2	2012	10	1	2	3	2
80005	3	2011	10	1	2	3	2
80005	4	2010	10	1	2	3	2
80009	1	2012	10	2	2	2	2
80009	2	2011	10	2	2	2	2
80010	1	2012	10	2	1	3	2
80010	2	2011	10	2	1	3	2
80010	3	2010	10	2	1	3	2
80011	1	2010	10	2	2	1	2
80011	2	2011	10	2	2	1	2
80011	3	2012	10	2	2	1	2
80013	1	2010	10	2	2	1	2
80013	2	2011	10	2	2	2	2
80013	3	2012	10	2	2	1	2
80030	1	2012	10	2	3	0	2
80030	2	2013	6	2	3	0	2
80038	1	2012	10	2	2	1	2
80038	2	2011	10	2	2	1	2
80038	3	2010	10	2	2	1	2
80042	1	2013	5	2	4	1	2
80042	2	2012	10	2	4	1	2
80045	1	2013	11	2	2	80	5
80045	2	2012	12	2	2	80	5
80045	3	2011	12	2	2	80	5
80045	4	2010	12	2	2	80	5
80046	1	2013	4	2	2	1	2
80047	1	2013	9	2	2	1	2
80047	2	2012	10	2	2	1	2
80047	3	2011	6	2	2	1	2
80050	1	2013	5	2	2	3	2
80050	2	2012	12	2	2	3	2
80051	1	2010	47	1	1	2	11
80052	1	2010	10	2	2	1	2
80057	1	2013	6	2	2	3	2
80063	1	2011	10	2	2	1	2
80063	2	2012	10	2	2	1	2
80063	3	2013	4	2	2	2	2
80065	1	2013	6	2	2	0	2
80069	1	2012	17	2	1	3	5
80079	1	2012	10	2	1	80	10
80088	1	2013	5	3	2	1	2
80090	1	2013	5	2	1	1	2
80096	1	2012	8	2	2	3	2
80096	2	2013	8	2	2	3	2
90001	1	2012	7	2	2	1	2
90001	2	2013	4	2	2	3	2
90001	3	2013	3	2	2	3	2
90003	1	2012	9	2	1	1	2
90003	2	2013	2	2	1	1	2
90004	1	2013	3	2	2	1	2
90007	1	2013	3	3	3	3	2
90007	2	2012	10	3	3	3	2
90009	1	2013	5	2	4	1	2
90009	2	2012	10	2	4	1	2
90010	1	2013	2	2	2	2	2
90012	1	2011	5	1	2	1	2
90012	2	2012	7	1	2	1	2
90012	3	2013	8	1	2	1	2
90014	1	2013	3	1	1	1	2
90015	1	2009	7	2	2	2	2
90016	1	2013	3	1	2	1	2
90016	2	2012	8	1	2	1	2
90016	3	2011	6	1	2	1	2
90019	1	2013	5	1	2	1	2
90019	2	2012	9	1	2	1	2
90019	3	2011	9	1	2	1	2
90019	4	2010	6	1	2	1	2
90021	1	2013	5	3	1	1	5
90021	2	2012	10	3	1	1	5
90026	1	2013	5	2	4	1	2
90026	2	2012	10	2	4	1	2
90026	3	2011	10	2	4	1	2
90026	4	2010	10	2	2	1	2
90026	5	2009	6	2	3	1	2
90027	1	2013	6	2	1	1	2
90027	3	2012	10	2	1	1	2
90027	4	2011	10	2	1	1	2
90027	5	2010	10	2	1	3	2
90028	1	2010	12	2	1	3	2
90028	2	2011	12	2	1	3	2
90028	3	2012	12	2	1	2	2
90028	4	2013	6	2	1	2	2
90030	1	2012	12	1	2	80	2
90031	1	2013	2	2	2	80	2
90031	2	2012	8	2	2	80	2
90031	3	2011	8	2	2	80	2
90031	4	2010	8	2	2	80	2
90032	1	2013	2	2	4	1	2
90032	2	2012	8	2	4	1	2
90032	3	2011	8	2	4	1	2
90033	1	2010	10	2	4	0	2
90033	2	2011	10	2	4	0	2
90033	3	2012	10	2	4	0	2
90033	4	2013	10	2	4	0	2
90034	1	2013	5	2	1	1	2
90034	2	2012	10	2	1	1	2
90034	3	2011	6	2	1	1	2
90035	1	2013	3	1	2	1	2
90035	2	2012	10	1	2	1	2
90035	3	2011	10	1	2	1	2
90035	4	2010	10	1	2	1	2
90035	5	2009	10	1	2	1	2
90036	1	2012	10	2	2	1	2
90036	2	2013	2	2	2	1	2
90037	1	2013	2	2	2	1	2
90037	2	2012	8	2	2	1	2
90037	3	2011	8	2	2	1	2
90038	1	2013	4	2	1	1	2
90038	2	2012	6	2	1	1	2
90039	1	2012	8	2	3	0	2
90039	2	2013	8	2	3	0	2
90042	1	2013	7	1	2	0	2
90042	2	2012	10	1	2	0	2
90042	3	2011	10	1	2	1	2
90042	4	2010	10	1	2	3	2
90042	5	2009	10	1	2	3	2
90044	1	2010	36	2	1	3	15
90045	1	2013	6	2	4	1	2
90045	2	2012	10	2	4	1	2
90045	3	2011	10	2	4	1	2
90046	1	2013	3	2	1	1	2
90046	2	2012	10	2	1	1	2
90046	3	2011	10	2	1	1	2
90046	4	2010	10	2	1	1	2
90046	5	2009	10	2	1	1	2
90047	1	2010	10	2	4	1	2
90047	2	2011	10	2	4	2	2
90047	3	2012	10	2	4	1	2
90047	4	2013	3	2	4	3	2
90049	1	2013	5	2	4	1	2
90049	2	2012	10	2	4	1	2
90053	1	2012	8	1	2	1	2
90053	2	2013	3	1	2	1	2
90058	1	2013	3	2	2	1	2
90059	1	2012	10	1	2	2	1
90059	2	2013	4	1	2	2	2
90060	1	2013	3	1	2	1	2
90061	1	2013	3	3	2	1	2
90063	1	2013	7	3	2	2	2
90063	2	2012	10	3	2	2	2
90063	3	2011	10	3	2	3	2
90063	4	2010	10	3	2	3	2
90063	5	2009	10	3	2	3	2
90064	1	2013	3	3	2	0	2
90066	1	2013	3	2	2	1	2
90066	2	2012	10	2	2	1	2
90066	3	2011	10	2	2	1	2
90066	4	2010	10	2	2	2	2
90067	1	2013	10	3	2	3	2
90067	2	2012	6	3	2	3	2
90071	1	2013	3	2	2	1	2
90073	1	2011	10	2	4	2	2
90073	2	2012	10	2	4	2	2
90073	3	2013	3	2	4	2	2
90074	1	2011	10	2	2	3	2
90074	2	2012	10	2	2	1	2
90074	3	2013	3	2	2	1	2
90075	1	2013	3	2	2	1	2
90075	2	2012	10	2	2	1	2
90075	3	2011	10	2	2	3	2
90076	1	2013	3	2	4	1	2
90076	2	2012	10	2	4	1	2
90076	3	2011	10	2	4	1	2
90076	4	2010	10	2	4	1	2
90077	1	2013	3	2	1	4	2
90078	1	2013	5	2	2	2	2
90079	1	2013	3	1	2	4	2
90079	2	2012	10	1	2	4	2
90079	3	2011	10	1	2	4	2
90080	1	2011	10	1	2	1	2
90080	2	2012	10	1	2	1	2
90080	3	2013	4	1	2	2	2
90081	1	2013	4	2	2	3	2
90082	1	2013	3	2	2	2	2
90083	1	2013	2	2	3	1	2
90083	2	2012	10	2	3	80	2
90083	3	2011	10	2	3	80	2
90083	4	2010	10	2	3	80	2
90083	5	2009	6	2	3	80	2
90088	1	2009	10	3	2	3	2
90088	2	2010	10	3	2	3	2
90088	3	2011	10	3	2	3	2
90092	1	2013	8	2	2	80	5
90092	2	2012	12	2	2	80	5
90092	3	2011	12	2	2	80	5
90094	1	2013	8	2	1	80	5
90094	2	2012	12	2	1	80	5
90094	3	2011	12	2	1	80	5
90095	1	2013	9	2	3	80	5
90095	2	2012	12	2	3	80	5
90095	3	2011	12	2	3	80	5
90095	4	2010	12	2	3	80	5
90098	1	2013	3	2	1	80	2
90098	2	2012	10	2	1	4	2
100005	1	2011	36	1	3	80	7
100009	1	2010	38	1	2	3	7
100013	1	2011	24	4	6	3	2
100016	1	2013	10	1	2	3	2
100016	2	2012	10	1	2	3	2
100019	1	2012	25	1	2	3	7
100026	1	2012	2	4	3	4	2
100034	1	2011	6	2	4	3	2
100034	2	2012	10	2	4	1	2
100034	3	2013	10	2	4	1	2
100042	1	2009	2	2	2	3	5
100042	2	2010	12	2	2	3	5
100042	3	2012	12	2	2	3	5
100042	4	2013	12	2	2	3	5
100047	1	2013	4	3	2	3	2
100047	2	2012	10	3	2	80	2
100047	3	2011	11	3	2	80	2
100047	4	2010	11	3	2	80	2
100053	1	2012	25	2	1	80	7
100057	1	2010	48	2	1	3	5
100064	1	2013	7	2	2	2	2
100065	1	2010	36	4	4	3	5
100073	1	2009	60	2	1	80	7
110004	1	2012	27	2	1	0	2
110007	1	2013	2	2	2	90	2
110008	1	2012	10	2	2	0	2
110008	2	2013	10	2	2	0	2
110013	1	2011	39	2	2	90	2
110014	1	2011	25	2	2	0	2
110014	2	2009	24	1	1	0	2
110018	1	2013	3	2	4	0	2
110024	1	2013	4	2	2	4	2
110025	1	2012	13	2	2	0	2
110035	1	2009	51	2	2	3	7
110041	1	2010	36	2	2	0	2
110044	1	2009	40	1	2	4	2
110045	1	2010	39	3	1	3	7
110046	1	2013	3	2	3	4	2
110051	1	2010	39	2	2	90	2
110057	1	2012	15	2	2	0	2
110058	1	2010	30	2	2	0	2
110065	1	2012	12	1	2	0	2
110068	1	2010	36	4	6	3	2
110073	1	 	 	 	 	 	 
110078	1	2011	36	3	3	0	2
110085	1	2010	45	4	1	3	7
110089	1	2013	3	2	3	90	2
110091	1	2011	39	3	6	3	5
120001	1	2013	4	2	2	0	2
120002	1	2011	24	3	3	4	2
120014	1	2009	17	1	2	4	2
120014	2	2011	17	2	4	4	2
120016	1	2010	46	2	1	3	5
120019	2	2012	3	2	1	0	12
120022	1	2010	12	2	2	0	2
120022	2	2011	12	2	3	0	2
120022	3	2012	16	2	2	0	2
120025	1	2012	16	2	1	0	2
120026	1	2013	5	2	4	80	2
120028	1	2012	12	2	2	4	2
120036	1	2011	10	2	4	4	2
120036	2	2012	10	2	4	4	2
120044	1	2013	5	2	2	0	2
120065	1	2009	20	2	2	0	2
120067	1	2011	29	1	1	3	12
120074	1	2013	4	2	2	80	2
120078	1	2012	18	4	7	3	5
120080	1	2013	3	3	1	1	8
120081	1	2013	7	2	2	0	2
120085	1	2013	4	2	2	0	2
120097	1	2011	26	2	2	0	2
120101	1	2012	17	2	2	0	2
130013	1	2012	16	2	1	0	2
130023	1	2010	30	1	2	4	2
130025	1	2009	47	2	2	4	2
130031	1	2012	18	2	1	0	2
130032	1	2013	6	2	2	90	2
130051	1	2010	42	2	2	4	2
130054	1	2009	42	4	1	0	2
130060	1	2009	42	4	1	0	2
130066	1	2009	10	2	1	0	2
130068	1	2012	19	2	2	0	2
130071	1	2012	17	2	1	0	2
130079	1	2011	24	1	2	0	2
130080	1	2011	24	1	2	0	2
130084	1	2013	3	4	2	90	2
130085	1	2013	8	2	3	0	2
130086	1	2009	46	1	1	0	2
130089	1	2013	6	2	1	80	2
130096	1	2009	56	4	1	3	2
130098	1	2012	10	1	2	0	2
140006	1	2010	38	1	1	3	7
140013	1	2013	8	2	1	0	2
140013	2	2012	9	2	1	0	2
140013	3	2011	6	2	1	0	2
140020	1	2013	7	2	2	0	2
140020	2	2012	10	2	2	0	2
140020	3	2011	10	2	2	0	2
140021	1	2012	6	1	2	0	2
140040	1	2013	8	4	2	0	2
140040	2	2012	10	4	2	0	2
140040	3	2011	10	4	1	0	2
140041	1	2012	9	2	1	4	2
140041	2	2011	9	2	1	4	2
140041	3	2010	6	1	1	4	2
140059	1	2010	2	2	2	4	7
140061	1	2013	6	3	6	0	2
140089	1	2013	9	2	1	0	2
140089	2	2012	9	2	1	0	2
140089	3	2011	9	2	4	0	2
140089	4	2010	9	2	4	0	2
150008	1	2013	7	2	2	0	2
150008	2	2012	10	2	2	0	2
150008	3	2011	10	2	2	0	2
150008	4	2010	10	2	2	0	2
150014	1	2013	4	1	2	0	2
150017	1	2013	7	2	2	0	2
150017	2	2012	9	2	2	0	2
150017	3	2011	6	2	2	0	2
150021	1	2010	36	3	5	80	2
150022	1	2010	10	2	2	0	2
150025	1	2013	4	2	1	0	2
150025	2	2012	10	2	1	0	2
150029	1	2013	4	1	2	0	2
150033	1	2013	9	1	1	0	2
150033	2	2012	9	1	1	0	2
150033	3	2011	9	1	1	0	2
150033	4	2010	9	1	1	0	2
150035	1	2013	4	1	2	0	2
150036	1	2013	6	2	2	0	2
150036	2	2012	9	1	2	0	2
150036	3	2011	9	1	2	0	2
150036	4	2010	3	1	2	0	2
150039	1	2013	4	1	1	0	2
150040	1	2013	5	2	2	0	2
150040	2	2012	10	2	2	0	2
150040	3	2011	10	2	2	0	2
150041	1	2011	10	3	2	0	2
150041	2	2012	10	3	2	0	2
150041	3	2013	4	3	2	0	2
150043	1	2012	10	2	2	0	2
150043	2	2013	5	2	2	0	2
150044	1	2011	10	2	2	0	2
150044	2	2012	10	2	2	0	2
150044	3	2013	4	2	2	0	2
150045	1	2013	6	1	2	0	2
150050	1	2013	7	2	2	0	2
150050	2	2012	10	2	2	0	2
150050	3	2011	10	2	2	0	2
150052	1	2010	10	2	2	0	2
150058	1	2013	6	2	1	0	2
150058	2	2012	10	2	1	0	2
150058	3	2011	10	2	1	0	2
150058	4	2010	10	2	1	0	2
150060	1	2012	9	1	2	4	2
150060	2	2011	9	1	2	4	2
150060	3	2010	6	1	2	4	2
150065	1	2012	3	1	2	4	2
150065	2	2011	9	1	2	4	2
150065	3	2010	9	1	2	4	2
150070	1	2012	10	1	2	0	2
150070	2	2013	6	1	2	0	2
150070	3	2011	10	2	2	0	2
150071	1	2013	4	2	1	0	2
150071	2	2012	10	2	1	0	2
150071	3	2011	10	2	1	0	2
150075	1	2013	5	2	2	0	2
150075	2	2012	10	2	2	0	2
150075	3	2011	10	2	2	0	2
150075	4	2010	10	2	2	0	2
150085	1	2012	11	1	2	0	2
150089	1	2011	9	1	2	4	2
150089	2	2010	6	1	2	0	2
150090	1	2013	7	1	2	0	2
150090	2	2012	10	1	2	0	2
150096	1	2013	5	2	2	0	2
150096	2	2012	10	2	2	0	2
150098	1	2011	10	2	2	0	2
150098	2	2012	10	2	2	0	2
150098	3	2013	6	2	2	0	2
160002	1	2013	2	3	6	2	12
160003	1	2012	8	1	1	3	5
160004	1	2013	3	1	2	0	2
160004	2	2012	10	1	2	0	2
160004	3	2011	10	1	2	0	2
160005	1	2013	6	3	1	0	2
160006	1	2010	33	2	2	80	5
160007	1	2013	2	2	2	0	2
160007	2	2012	10	1	1	0	2
160007	3	2011	10	1	1	0	2
160007	4	2010	10	1	1	0	2
160008	1	2011	28	1	1	90	2
160010	1	2011	38	1	1	80	5
160012	1	2013	7	2	2	0	2
160012	2	2012	9	2	2	0	2
160012	3	2011	6	2	2	0	2
160015	1	2013	6	2	2	0	2
160015	2	2012	10	2	2	0	2
160015	3	2011	10	2	2	0	2
160016	1	2013	7	2	2	0	2
160016	2	2012	10	2	2	0	2
160016	3	2011	10	2	2	0	2
160016	4	2010	10	2	2	0	2
160017	1	2013	3	2	2	90	2
160018	1	2013	7	2	1	0	2
160018	2	2012	10	2	1	0	2
160018	3	2011	10	2	1	0	2
160019	1	2013	6	2	1	0	2
160019	2	2012	10	2	1	0	2
160019	3	2011	10	2	1	0	2
160020	1	2013	4	2	1	0	2
160020	2	2012	10	2	1	0	2
160021	1	2013	6	2	1	0	2
160021	2	2012	10	2	1	0	2
160021	3	2011	10	2	1	0	2
160021	4	2010	10	2	1	90	2
160022	1	2013	3	2	1	0	2
160022	2	2012	10	2	1	0	2
160022	3	2011	10	2	1	0	2
160022	4	2010	10	2	1	0	2
160023	1	2013	6	1	1	0	2
160023	2	2012	10	1	1	0	2
160024	1	2013	3	2	2	0	2
160025	1	2013	9	2	2	3	5
160025	2	2012	12	2	2	3	5
160025	3	2011	12	2	2	3	5
160026	1	2013	6	1	1	0	2
160026	2	2012	10	1	1	0	2
160026	3	2011	10	1	1	0	2
160026	4	2010	10	1	1	0	2
160027	1	2013	7	3	3	0	2
160027	2	2012	10	2	2	0	2
160027	3	2011	10	2	2	0	2
160027	4	2010	10	2	2	0	2
160028	1	2013	2	2	2	0	2
160029	1	2013	6	2	2	0	2
160029	2	2012	10	2	2	0	2
160029	3	2011	10	2	2	0	2
160029	4	2010	10	2	2	0	2
160030	1	2013	6	2	2	0	2
160032	1	2013	6	2	2	4	2
160032	2	2012	10	2	2	4	2
160032	3	2011	10	1	1	4	2
160032	4	2010	10	1	1	4	2
160033	1	2013	6	2	2	4	2
160033	2	2012	10	2	2	4	2
160033	3	2011	10	2	2	4	2
160033	4	2010	10	1	2	4	2
160034	1	2013	3	2	4	0	2
160034	2	2012	10	2	4	0	2
160035	1	2013	3	1	2	0	2
160039	1	2013	6	3	4	0	2
160039	2	2012	10	3	4	0	2
160041	1	2011	26	3	2	3	5
160042	1	2013	6	3	3	0	2
160042	2	2012	10	3	3	0	2
160042	3	2011	10	3	3	0	2
160042	4	2010	10	3	3	0	2
160043	1	2013	6	1	2	0	2
160043	2	2012	10	1	2	0	2
160044	1	2013	3	1	2	0	2
160046	1	2013	4	2	2	0	2
160046	2	2012	10	2	2	0	2
160046	3	2011	10	2	2	0	2
160046	4	2010	10	2	2	0	2
160046	5	2009	10	2	2	0	2
160047	1	2013	5	2	2	4	2
160047	2	2012	9	2	2	4	2
160047	3	2011	9	2	2	4	2
160048	1	2013	5	2	2	4	2
160048	2	2012	9	2	2	4	2
160048	3	2011	6	2	2	4	2
160050	1	2013	9	1	1	0	2
160050	2	2012	9	1	1	0	2
160050	3	2011	9	1	1	0	2
160050	4	2010	9	1	1	0	2
160051	1	2010	6	3	1	3	6
160053	1	2013	6	2	2	0	2
160055	1	2013	5	2	2	0	2
160055	2	2012	9	2	2	0	2
160055	3	2011	6	2	2	0	2
160059	1	2013	6	3	6	0	2
160059	2	2012	10	2	2	0	2
160059	3	2011	10	2	2	0	2
160060	1	2013	5	1	1	4	2
160060	2	2012	9	1	1	4	2
160060	3	2011	9	1	1	4	2
160060	4	2010	9	1	1	4	2
160061	1	2013	6	3	1	0	2
160064	1	2012	24	3	6	3	1
160066	1	2013	6	2	2	0	2
160068	1	2013	5	1	1	0	2
160068	2	2012	9	1	1	0	2
160068	3	2011	9	1	1	0	2
160068	4	2010	5	1	1	90	2
160071	1	2013	6	1	2	0	2
160071	2	2012	10	1	2	0	2
160071	3	2010	10	1	2	0	2
160073	1	2013	6	1	2	4	2
160073	2	2012	10	1	2	4	2
160073	3	2011	10	1	2	0	2
160073	4	2010	10	1	2	0	2
160074	1	2013	3	2	3	0	2
160074	2	2012	10	2	3	0	2
160074	3	2011	10	2	3	0	2
160074	4	2010	10	2	3	0	2
160077	1	2013	7	2	1	0	2
160077	2	2012	10	2	1	0	2
160079	1	2013	3	2	1	0	2
160079	2	2012	10	2	1	0	2
160080	1	2011	10	2	2	0	2
160081	1	2013	3	2	1	0	2
160081	2	2012	10	2	1	0	2
160087	1	2013	7	2	1	4	2
160087	2	2012	10	2	1	4	2
160087	3	2011	10	2	1	4	2
160100	1	2013	7	1	1	0	2
160100	2	2012	9	1	1	0	2
160100	3	2011	6	1	1	0	2
170007	1	2012	12	1	2	2	2
170018	1	2013	2	1	2	0	2
170020	1	2013	2	1	2	0	2
170023	1	2011	12	2	1	3	5
170024	1	2012	9	3	6	80	2
170025	1	2012	10	1	2	4	2
170025	2	2013	2	1	2	4	2
170026	1	2013	2	1	1	4	2
170027	1	2011	10	1	1	0	2
170027	2	2012	10	1	1	0	2
170027	3	2013	3	1	1	0	2
170028	1	2013	2	2	1	0	2
170028	2	2012	10	2	1	0	2
170028	3	2011	10	2	1	0	2
170030	2	2013	3	1	2	4	2
170032	1	2009	36	1	1	3	5
170040	1	2013	10	2	4	80	2
170040	2	2012	10	2	4	90	2
170040	3	2011	10	2	4	90	2
170040	4	2009	10	2	4	80	2
170041	1	2010	40	3	6	3	5
170042	1	2010	10	2	4	80	2
170042	2	2011	10	2	4	80	2
170042	3	2012	10	2	4	80	2
170042	4	2013	2	2	4	80	2
170044	1	2011	10	1	1	0	2
