CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	PRMCRER4	THSVILR4	CHLBRNR4	LIVHSER4	YRDIEDR4	RWHLIVR4	RSEECHR4	RCHLVER4	RLNLIVR4	RELHHR4	MRTLSTR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	STRYRR4	STRMTHR4	AGEGRDR4	GRDRPR4	TYPLSTR4	PERFR4	TYPATDR4	FEESR4	EXTTUTR4	BRDSCHR4	WHSCHR4	SLEEPR4	CHCARER4	HHCHRER4	NPYWRKR4	PAYWRKR4	SCHOOLR4	STUDYR4	PLAYR4	IMPAC1R4	RGJOB1R4	MONTH1R4	WEEKS1R4	DAYS1R4	HOURS1R4	SSAC11R4	SSAC12R4	SSAC13R4	SSAC14R4	OFPEN1R4	IMINC1R4	IMPAC2R4	RGJOB2R4	MONTH2R4	WEEKS2R4	DAYS2R4	HOURS2R4	SSAC21R4	SSAC22R4	SSAC23R4	SSAC24R4	OFPEN2R4	IMINC2R4	IMPAC3R4	RGJOB3R4	MONTH3R4	WEEKS3R4	DAYS3R4	HOURS3R4	SSAC31R4	SSAC32R4	SSAC33R4	SSAC34R4	OFPEN3R4	IMINC3R4	MEMCNSR4	DISABR4	MEMAFCR4	MEMLNGR4	MLNHLR41	MLNHLR42	MLNHLR43	HTSFFR41	HTSFFR42	HTSFFR43	SEEKTRR4	WHSEEKR4	MEMSMKR4	MEMTOBR4	MEMALCR4
10005	5	3	7	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	4	3	 	 	 	 	1	1	1	 	5	6	 	 	 	3	1	1800	1800	0	 	9	1	1	0	0	9	2	2	17	0	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10007	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	4	6	 	 	 	3	1	12000	0	0	5	8	0	1	0	0	9	3	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	4	3	4	1	1	1	0	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10007	1	33	37	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	1	12	4	6	10	1	1	1	1	 	1	15	0	6	2	3	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10007	2	29	33	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	98	98	1	9	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	6	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10007	28	10	14	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	8	1	 	3	6	 	 	 	3	1	14000	0	0	 	8	1	1	0	0	9	3	2	17	1	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10008	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	5	0	 	 	 	 	 	 	1	4	1	 	6	0	 	 	 	2	8	13000	0	0	5	8	0	0	0	0	11	1	4	17	1	10	4	6	11	1	1	1	1	 	0	15	0	12	4	1	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10008	1	 	35	 	1	1	1	N	 	 	3	2006	 	 	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10008	2	33	37	 	2	1	1	Y	 	0	1	 	 	 	 	 	2	3	3	98	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	1	12	4	7	4	1	1	1	1	 	1	4	0	12	4	7	2	1	1	1	1	 	0	15	0	12	4	6	2	1	1	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10008	3	52	56	 	2	5	5	N	 	 	1	 	 	 	 	 	 	1	5	99	1	5	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	4	6	4	1	1	1	1	 	1	15	0	12	4	7	2	1	1	1	1	 	0	10	0	12	4	7	1	1	1	1	1	0	0	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10008	4	11	15	 	1	7	7	N	 	 	1	 	 	 	 	 	5	0	2	99	 	 	 	 	1	8	1	 	5	8	 	 	 	3	3	0	0	0	 	8	0	1	0	0	8	2	5	17	1	10	4	6	8	1	1	1	1	 	0	15	0	12	4	3	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10008	5	 	75	 	2	 	17	N	 	 	1	 	 	 	 	 	3	3	99	99	1	2	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	0	12	4	7	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10009	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	8	1	 	5	4	 	 	 	2	3	0	0	0	1	9	0	1	0	2	8	1	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	6	4	3	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10009	1	63	67	 	1	6	6	N	 	 	1	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	12	4	4	8	1	1	1	1	 	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	0	1
10009	2	52	56	 	2	6	6	N	 	 	1	 	 	 	 	 	3	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	4	3	2	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	17	88	 	2	 	 	2	5	0	0	2
10009	3	30	34	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	2	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	6	4	5	9	1	1	1	1	0	1	15	0	4	4	3	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10009	4	27	31	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	98	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	12	0	6	3	4	9	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10009	6	6	10	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	4	3	 	 	 	 	1	5	1	 	5	3	 	 	 	2	3	0	0	0	 	10	0	1	0	0	8	1	4	17	1	10	4	6	8	1	1	1	1	 	0	15	0	3	2	3	1	1	1	0	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10009	28	10	14	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	4	3	 	 	 	 	1	8	0	15	5	2	12	9	3	 	 	 	 	 	 	8	0	1	0	11	0	0	4	12	1	12	4	6	11	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10010	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	5	1	 	4	2	 	 	 	1	3	0	0	0	5	8	0	1	0	0	9	3	3	17	0	10	4	6	9	1	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10010	1	33	37	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	1	8	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	12	4	6	10	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10010	2	28	32	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	98	98	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10010	3	13	17	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	12	1	 	5	0	 	 	 	3	3	5000	0	0	 	8	0	1	0	0	7	1	7	17	0	10	4	6	9	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10010	4	12	16	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	10	1	 	5	1	 	 	 	2	3	3000	0	0	 	9	0	0	0	0	8	1	6	17	0	10	4	6	9	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10010	5	10	14	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	7	1	 	5	1	 	 	 	2	1	7000	0	0	 	9	0	0	0	0	9	3	3	17	0	10	4	6	9	1	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10011	0	7	11	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	6	 	 	 	2	3	0	0	0	5	8	1	2	0	0	9	2	2	17	0	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	1	42	46	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	12	4	6	8	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	1	2
10011	2	32	36	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	99	98	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	0	12	4	7	3	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10011	3	14	18	 	2	11	11	N	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10011	4	10	14	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	10	1	 	4	6	 	 	 	2	3	0	0	0	 	8	2	2	0	0	8	2	2	17	0	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10012	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	5	1	 	5	8	 	 	 	3	1	9000	0	0	5	9	0	0	0	0	9	1	5	17	1	10	4	5	9	1	1	1	1	 	0	15	0	8	2	4	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10012	1	33	37	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	98	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	10	4	5	6	1	1	1	1	 	1	15	0	8	2	5	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10012	2	27	31	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	98	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	6	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	19	88	 	10	 	 	1	5	0	0	2
10012	3	5	9	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	3	1	 	5	4	 	 	 	1	1	8000	0	0	 	9	0	0	0	0	9	1	5	17	1	10	4	5	9	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10013	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	5	4	 	 	 	2	1	0	1800	0	5	9	0	1	0	0	8	3	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	6	4	4	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	1	32	36	 	1	1	1	N	 	 	3	2013	 	 	1	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10013	2	28	32	 	2	1	1	Y	 	0	1	 	 	 	 	 	 	3	98	98	1	7	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	19	0	11	4	7	5	1	1	1	1	 	1	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10013	3	9	13	 	1	7	7	N	 	 	1	 	 	 	 	 	2	0	2	99	 	 	 	 	1	8	1	 	5	3	 	 	 	4	1	0	1800	0	 	9	0	1	0	0	8	3	3	17	1	10	4	6	8	1	1	1	1	 	0	15	0	5	3	5	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10014	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	4	2	 	 	 	2	1	5000	0	0	5	10	0	1	0	0	9	2	2	17	0	10	4	6	9	1	1	1	1	 	0	15	0	12	4	7	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10014	1	 	65	 	2	6	6	N	 	 	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10014	2	36	40	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	99	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	19	1	12	4	6	8	1	1	1	1	 	1	15	0	12	4	6	7	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	0	1
