CHILDCODE	GRPIDR4	HHMEMR4	GROUPR4	LEADMR4	BENFTR41	BENFTR42	BENFTR43
20093	1	2	6	1	3	4	88
20094	1	2	6	1	3	4	88
20094	2	4	6	1	3	4	88
20095	1	2	6	0	3	88	 
20095	2	1	16	1	5	88	 
20096	1	3	6	0	3	2	88
20097	1	4	6	0	1	3	88
20098	1	2	6	0	3	1	2
30001	1	4	6	1	3	2	88
30001	2	2	6	0	3	88	 
30004	1	4	6	0	3	88	 
30005	1	3	6	0	3	88	 
30006	1	3	6	0	3	88	 
30013	1	6	6	0	3	88	 
30014	1	3	6	0	3	88	 
30019	1	5	6	0	3	88	 
30021	1	3	6	0	3	1	88
30026	1	5	6	1	3	2	88
30030	1	4	6	1	3	88	 
30032	1	2	6	0	3	88	 
30033	1	2	6	0	4	88	 
30034	1	1	6	1	3	88	 
30034	2	5	6	0	3	88	 
30035	1	4	6	1	3	88	 
30036	1	2	6	0	3	88	 
30040	1	4	6	0	3	88	 
30043	1	3	6	0	3	88	 
30043	2	5	6	1	3	88	 
30047	1	4	6	0	3	88	 
30048	1	5	6	0	3	88	 
30050	1	3	6	1	4	88	 
30051	1	2	6	1	3	4	88
30055	1	8	6	0	3	88	 
30055	2	13	6	1	3	88	 
30058	1	2	6	0	3	88	 
30058	2	4	6	0	3	88	 
30059	1	3	6	0	3	88	 
30061	1	2	6	1	3	88	 
30063	1	3	8	1	6	2	88
30064	1	4	6	1	4	88	 
30066	1	2	6	1	3	88	 
30067	1	3	6	0	3	88	 
30068	1	30	6	1	1	4	88
30070	1	3	6	0	3	88	 
30072	1	2	6	0	3	88	 
30073	1	2	6	1	4	3	88
30075	1	3	6	1	3	88	 
30075	2	5	6	1	3	88	 
30080	1	3	6	0	3	88	 
30082	1	3	6	0	3	88	 
30086	1	6	6	0	3	88	 
30086	2	7	6	0	3	88	 
30087	1	2	6	1	3	88	 
30092	1	6	6	0	3	88	 
30094	1	4	6	0	3	88	 
30095	1	2	6	0	3	88	 
30097	1	4	6	0	3	88	 
30098	1	31	6	0	3	88	 
30099	1	5	6	0	3	88	 
30100	1	8	6	0	3	88	 
40001	1	4	6	0	1	2	3
40002	1	3	6	0	3	1	2
40004	1	3	6	0	3	88	 
40005	1	4	6	0	1	3	2
40006	1	3	6	0	1	3	5
40007	1	1	6	1	3	88	 
40008	1	2	6	1	3	88	 
40010	1	4	6	1	3	2	4
40011	1	4	6	0	3	1	2
40013	1	2	6	0	3	2	1
40015	1	3	6	0	3	88	 
40017	1	2	6	0	3	1	5
40018	1	2	6	1	3	1	5
40019	1	2	6	0	1	3	6
40020	1	2	6	1	1	3	6
40021	1	3	6	0	1	3	2
40022	1	2	6	0	3	88	 
40023	1	2	6	0	1	2	3
40024	1	4	6	0	1	3	2
40028	1	4	6	0	3	1	88
40030	1	2	6	1	3	88	 
40031	1	5	6	0	3	88	 
40031	2	2	6	1	3	88	 
40031	3	3	6	1	3	88	 
40032	1	4	6	0	3	88	 
40033	1	2	6	0	3	88	 
40034	1	2	6	1	2	1	4
40035	1	3	6	0	3	88	 
40036	1	2	6	1	3	2	88
40037	1	3	6	0	3	4	5
40038	1	2	6	1	3	88	 
40039	1	4	6	0	3	4	1
40041	1	2	6	0	3	88	 
40042	1	3	6	0	3	88	 
40043	1	3	6	0	3	4	1
40045	1	2	6	1	3	1	4
40046	1	3	6	0	3	88	 
40048	1	3	6	0	1	3	2
40048	2	2	6	0	3	1	2
40050	1	2	6	0	2	1	3
40051	1	4	6	0	1	3	2
40055	1	2	6	1	3	5	1
40056	1	4	6	0	2	1	4
40057	1	2	6	0	3	2	1
40059	1	1	22	0	2	6	88
40060	1	4	6	1	2	1	3
40063	1	6	6	0	3	4	6
40064	1	2	6	1	3	88	 
40065	1	3	6	0	3	88	 
40069	1	4	6	0	3	88	 
40070	1	4	6	0	3	4	5
40071	1	1	22	0	2	5	6
40073	1	2	6	1	1	5	3
40074	1	2	6	0	3	1	4
40078	1	5	6	1	3	88	 
40080	1	5	6	0	2	1	3
40081	1	2	6	0	1	2	3
40082	1	4	6	1	1	2	3
40083	1	2	6	0	3	88	 
40084	1	2	6	0	3	88	 
40085	1	3	6	0	3	88	 
40086	1	3	6	0	1	2	3
40087	1	2	6	0	3	88	 
40088	1	3	6	0	1	3	2
40089	1	5	6	0	3	88	 
40090	1	7	6	1	3	1	4
40092	1	2	6	0	3	4	2
40093	1	2	6	0	3	88	 
40094	1	3	6	1	1	3	4
40097	1	1	6	0	3	1	2
40098	1	4	6	0	3	88	 
40100	1	5	6	0	3	6	1
50004	1	7	6	0	3	88	 
50005	1	2	6	0	3	88	 
50005	2	6	6	0	3	88	 
50005	3	9	6	0	3	5	88
50006	1	2	6	1	3	88	 
50007	1	2	6	1	3	2	88
50009	1	2	6	0	3	88	 
50010	1	4	6	0	3	88	 
50010	2	6	6	0	3	88	 
50010	3	7	6	1	3	88	 
50011	1	2	6	0	3	88	 
50012	1	4	6	0	3	88	 
50014	1	3	6	1	4	2	3
50015	1	2	6	1	3	88	 
50016	1	2	5	0	3	11	88
50018	1	4	6	0	3	88	 
50019	1	 	 	 	 	 	 
50020	1	6	6	0	3	4	88
50021	1	2	6	1	3	88	 
50022	1	2	6	0	3	88	 
50024	1	3	6	0	1	88	 
50027	1	3	6	0	3	88	 
50029	1	2	6	0	3	5	88
50030	1	6	6	0	3	88	 
50030	2	2	6	0	3	88	 
50031	1	2	6	0	3	88	 
50037	1	4	6	1	3	88	 
50038	1	2	6	1	3	88	 
50039	1	3	6	0	3	88	 
50040	1	2	6	0	3	88	 
50042	1	2	6	1	4	3	88
50043	1	4	6	0	3	88	 
50044	1	4	6	0	3	88	 
50045	1	2	6	0	3	88	 
50046	1	3	6	0	3	88	 
50047	1	4	6	0	3	88	 
50048	1	3	6	0	3	1	88
50049	1	2	6	0	3	88	 
50050	1	1	6	0	3	88	 
50051	1	7	6	0	3	88	 
50052	1	3	6	0	3	88	 
50054	1	2	6	0	3	88	 
50055	1	4	6	0	3	88	 
50056	1	2	6	0	3	88	 
50057	1	2	6	0	3	88	 
50058	1	2	6	0	4	5	88
50059	1	3	6	0	3	11	88
50060	1	4	6	0	3	2	88
50061	1	5	6	0	3	88	 
50064	1	3	6	0	4	5	88
50064	2	1	6	0	3	88	 
50065	1	2	6	1	3	5	2
50067	1	2	6	1	3	11	88
50069	1	3	6	0	3	2	88
50069	2	6	6	0	3	5	88
50070	1	6	6	0	4	1	88
50071	1	6	6	0	3	88	 
50072	1	5	6	0	3	88	 
50073	1	3	6	1	3	88	 
50075	1	4	6	0	3	88	 
50076	1	3	6	0	3	88	 
50077	1	2	6	0	3	88	 
50078	1	2	6	0	3	88	 
50079	1	6	6	1	3	88	 
50080	1	8	6	0	3	88	 
50081	1	2	6	0	3	88	 
50082	1	4	6	0	3	88	 
50083	1	5	6	0	3	88	 
50084	1	3	6	0	3	88	 
50085	1	2	6	1	4	5	88
50086	1	2	6	1	3	88	 
50087	1	8	6	1	4	5	88
50088	1	3	6	0	3	88	 
50089	1	4	6	0	3	11	88
50090	1	6	6	1	3	2	88
50091	1	4	6	0	3	88	 
50091	2	5	6	0	3	88	 
50091	3	8	6	0	3	88	 
50091	4	9	6	0	3	88	 
50093	1	4	6	0	4	88	 
50094	1	7	6	0	3	88	 
50095	1	2	6	0	3	88	 
50097	1	4	6	0	3	88	 
50098	1	4	6	0	3	88	 
50099	1	4	6	0	3	88	 
50100	1	11	6	0	3	4	88
60002	1	5	6	1	1	3	5
60006	1	7	6	0	3	88	 
60009	1	5	6	1	3	88	 
60010	1	4	6	0	3	88	 
60012	1	3	6	0	3	88	 
60013	1	4	6	0	3	88	 
60015	1	2	6	1	3	88	 
60016	1	6	6	0	3	88	 
60018	1	2	6	0	3	88	 
60018	2	4	6	0	3	88	 
60019	1	2	6	1	3	88	 
60020	1	 	 	 	 	 	 
60022	1	2	6	0	3	88	 
60023	1	4	6	1	3	88	 
60024	1	2	6	1	3	88	 
60025	1	8	6	0	5	4	88
60025	2	13	6	0	4	1	5
60027	1	3	6	0	3	88	 
60028	1	2	6	0	3	88	 
60029	1	4	6	1	3	88	 
60031	1	3	6	1	3	5	88
60032	1	9	6	0	3	88	 
60033	1	4	6	0	3	88	 
60035	1	2	6	0	4	6	1
60037	1	5	6	1	2	88	 
60038	1	2	6	0	3	88	 
60041	1	3	6	0	3	88	 
60042	1	2	6	0	3	88	 
60043	1	8	6	0	3	88	 
60044	1	3	6	0	3	88	 
60045	1	2	6	1	3	88	 
60048	1	3	6	0	3	88	 
60049	1	4	6	0	4	1	6
60050	1	1	6	0	3	88	 
60051	1	5	6	1	3	88	 
60052	1	5	6	1	3	88	 
60054	1	5	6	0	3	88	 
60055	1	4	6	1	4	5	88
60056	1	2	6	0	3	88	 
60057	1	2	6	0	3	5	88
60058	1	7	6	0	3	6	88
60059	1	3	6	0	3	88	 
60060	1	3	6	0	3	88	 
60061	1	2	10	0	2	5	88
60062	1	5	6	1	3	1	88
60063	1	3	6	0	3	88	 
60065	1	4	6	0	3	88	 
60066	1	6	6	0	4	2	88
60067	1	2	6	0	3	88	 
60068	1	2	6	1	4	3	88
60069	1	1	6	0	5	6	88
60070	1	3	6	0	3	2	5
60070	2	1	6	0	3	88	 
60071	1	4	6	0	3	88	 
60072	1	3	6	1	3	4	88
60073	1	3	6	0	3	88	 
60074	1	7	6	0	3	88	 
60075	1	8	6	0	3	88	 
60076	1	4	6	0	3	88	 
60077	1	8	6	1	4	88	 
60077	2	4	6	0	3	88	 
60077	3	10	6	0	3	88	 
60078	1	4	6	0	4	1	5
60079	1	4	6	0	3	88	 
60080	1	3	6	1	4	3	1
60082	1	3	6	1	3	88	 
60084	1	2	6	1	3	88	 
60085	1	3	8	0	88	 	 
60086	1	2	6	0	3	88	 
60089	1	4	6	1	3	88	 
60092	1	4	6	0	3	88	 
60093	1	4	6	1	4	2	5
60094	1	2	6	0	3	88	 
60096	1	2	6	0	3	88	 
60098	1	2	6	0	3	88	 
60099	1	2	6	1	3	88	 
60100	1	2	6	0	3	88	 
60100	2	2	6	0	3	88	 
70002	1	7	6	0	3	88	 
70003	1	5	6	1	3	88	 
70004	1	4	6	0	2	88	 
70005	1	3	6	1	3	88	 
70006	1	5	6	0	4	5	88
70009	1	3	6	0	3	88	 
70010	1	2	6	0	3	11	2
70011	1	4	6	0	3	88	 
70012	1	2	6	0	4	88	 
70014	1	3	6	0	3	88	 
70016	1	4	6	0	3	88	 
70017	1	2	6	0	3	88	 
70018	1	4	6	0	3	2	88
70018	2	3	8	0	2	88	 
70019	1	4	6	1	3	88	 
70020	1	2	6	0	3	88	 
70021	1	7	6	0	3	88	 
70022	1	4	6	0	3	88	 
70024	1	3	6	1	3	88	 
70025	1	2	6	0	3	88	 
70026	1	2	6	0	3	88	 
70027	1	2	6	0	3	88	 
70028	1	2	6	1	3	88	 
70029	1	2	6	0	3	88	 
70033	1	3	6	0	6	5	1
70034	1	5	6	0	3	88	 
70034	2	11	6	0	3	88	 
70035	1	4	6	0	3	88	 
70035	2	8	6	0	3	88	 
70036	1	4	6	0	3	88	 
70036	2	2	6	1	3	7	88
70038	1	2	6	0	3	88	 
70038	2	4	6	0	3	88	 
70039	1	30	6	0	3	88	 
70041	1	2	6	0	3	1	88
70042	1	2	6	0	3	88	 
70043	1	2	6	0	3	88	 
70045	1	2	6	0	3	88	 
70046	1	4	6	0	3	5	88
70047	1	2	6	0	3	88	 
70048	1	6	6	0	3	88	 
70049	1	2	6	0	3	88	 
70050	1	2	6	0	5	4	1
70051	1	4	6	0	3	2	77
70052	1	3	6	1	3	88	 
70053	1	2	6	0	3	88	 
70054	1	2	6	1	3	88	 
70055	1	3	6	0	3	88	 
70056	1	6	6	0	3	88	 
70060	1	3	6	0	3	88	 
70061	1	3	6	1	3	4	5
70062	1	2	6	0	3	88	 
70063	1	2	6	1	5	2	88
70068	1	6	6	0	3	88	 
70070	1	8	6	0	3	88	 
70071	1	2	23	0	4	5	6
70072	1	5	6	0	3	77	88
70074	1	2	6	0	3	88	 
70075	1	8	6	0	5	6	4
70075	2	6	6	0	5	6	4
70078	1	2	6	0	3	88	 
70079	1	2	6	0	5	4	6
70083	1	3	6	1	3	1	4
70084	1	4	6	0	3	1	88
70085	1	4	6	1	3	7	88
70086	1	5	6	0	3	1	88
70087	1	1	6	0	3	11	1
70088	1	3	6	1	7	2	3
70089	1	4	6	0	3	88	 
70090	1	5	6	1	3	1	88
70093	1	3	6	0	3	77	88
70094	1	2	6	1	3	5	77
70095	1	3	6	1	3	5	88
70095	2	2	1	0	3	2	88
70096	1	2	6	1	3	1	88
70097	1	2	6	0	3	88	 
70097	2	1	8	0	3	8	88
70098	1	3	6	0	3	88	 
70099	1	3	23	0	4	88	 
80002	1	2	6	0	3	4	1
80005	1	2	6	0	1	3	4
80006	1	4	6	0	3	88	 
80006	2	2	6	0	3	88	 
80006	3	6	6	0	3	88	 
80009	1	2	6	0	3	88	 
80010	1	2	6	0	3	2	1
80012	1	2	6	0	3	88	 
80018	1	3	6	1	3	4	1
80021	1	2	6	0	3	1	88
80021	2	4	6	0	3	1	88
80022	1	2	6	0	3	1	4
80024	1	2	6	0	3	4	88
80033	1	2	6	0	3	2	1
80034	1	2	6	1	3	88	 
80035	1	3	6	1	3	1	4
80041	1	3	6	0	3	1	88
80042	1	4	6	0	3	1	4
80045	1	5	6	0	4	88	 
80050	1	3	6	0	3	1	4
80052	1	4	6	0	3	4	88
80059	1	2	6	0	3	1	4
80066	1	3	6	0	3	5	88
80067	1	4	6	1	3	4	1
80068	1	5	6	0	3	4	88
80069	1	2	6	0	3	1	88
80070	1	4	6	1	3	4	88
80088	1	3	6	0	3	1	2
80090	1	4	6	1	3	1	88
80092	1	4	6	0	3	1	88
80093	1	4	6	0	1	3	88
80095	1	2	6	0	3	5	88
80095	2	29	6	0	3	88	 
80097	1	2	6	1	3	1	4
90001	1	3	7	1	5	88	 
90004	1	 	 	 	 	 	 
90007	1	4	6	1	3	88	 
90010	1	5	6	1	3	88	 
90011	1	1	6	1	3	88	 
90012	1	2	6	1	3	5	88
90014	1	2	23	0	3	4	88
90015	1	3	6	1	3	88	 
90015	2	2	6	0	3	88	 
90018	1	2	6	0	3	1	79
90026	1	4	35	1	5	1	88
90028	1	4	6	0	3	88	 
90030	1	6	6	0	3	4	88
90030	2	31	6	0	3	88	 
90035	1	2	6	0	3	1	79
90036	1	2	6	0	3	88	 
90037	1	4	23	0	3	4	79
90043	1	2	11	0	3	88	 
90062	1	3	6	0	3	4	88
90076	1	2	23	1	1	3	4
90083	1	4	6	1	4	5	3
90094	1	3	6	0	3	1	4
90096	1	2	6	1	3	88	 
90099	1	2	6	0	3	88	 
90100	1	2	6	1	3	1	88
100009	1	2	6	0	3	1	2
100014	1	4	6	1	3	1	4
100016	1	2	6	1	3	1	88
100023	1	2	6	0	3	88	 
100023	2	10	6	0	3	88	 
100025	1	2	6	0	3	88	 
100035	1	2	6	1	3	4	5
100042	1	2	6	0	3	4	1
100046	1	2	6	0	3	1	88
100046	2	4	6	0	3	1	88
100049	1	3	6	0	1	3	88
100053	1	2	6	0	3	88	 
100054	1	2	6	1	3	88	 
100062	1	2	6	1	3	4	88
100066	1	4	6	1	3	4	88
100066	2	2	6	0	3	88	 
100067	1	2	6	1	3	88	 
100070	1	2	6	0	3	2	1
100071	1	2	6	0	3	4	88
100079	1	1	6	0	3	1	88
100080	1	7	6	0	3	1	4
100081	1	3	6	0	3	1	88
100092	1	4	6	0	3	88	 
100092	2	2	6	0	3	88	 
100094	1	2	11	1	4	3	1
100095	1	2	6	0	3	88	 
100099	1	2	6	0	3	88	 
110003	1	3	6	1	1	88	 
110004	1	6	6	0	3	1	4
110007	1	5	6	0	3	1	4
110008	1	6	6	0	3	5	88
110012	1	4	6	1	3	2	1
110012	2	4	28	0	6	1	5
110013	1	3	6	0	1	2	3
110017	1	3	6	0	1	3	4
110018	1	4	6	0	3	4	1
110019	1	3	6	0	3	1	5
110020	1	2	6	1	1	3	4
110021	1	4	6	0	1	2	3
110022	1	2	6	0	1	3	2
110022	2	0	28	0	1	3	88
110028	1	4	9	0	3	1	4
110029	1	3	6	1	1	3	5
110030	1	2	6	1	3	88	 
110031	1	2	6	0	1	3	2
110031	2	4	6	1	1	3	4
110033	1	2	6	0	1	3	4
110034	1	3	6	1	3	1	4
110035	1	3	6	0	1	3	4
110038	1	 	 	 	 	 	 
110039	1	7	9	0	3	5	88
110042	1	2	6	0	1	3	2
110042	2	4	6	0	2	3	4
110042	3	11	6	0	1	3	4
110048	1	5	6	1	3	4	5
110050	1	2	6	1	3	88	 
110051	1	2	9	0	3	4	88
110055	1	2	6	0	1	3	2
110059	1	4	9	0	3	5	2
110064	1	4	6	0	3	1	2
110065	1	2	23	1	2	3	88
110066	1	3	6	1	3	1	4
110078	1	1	6	0	3	1	88
110084	1	2	6	0	1	3	4
110088	1	30	6	0	3	1	4
110089	1	4	6	1	3	1	4
120001	1	2	6	0	3	1	4
120004	1	2	6	1	1	3	4
120006	1	4	6	0	3	4	1
120010	1	3	6	0	1	4	3
120012	1	6	9	0	3	4	88
120014	1	3	9	0	3	4	88
120015	1	6	6	0	3	4	88
120016	1	2	6	1	3	1	4
120017	1	2	6	1	3	5	1
120018	1	4	6	0	1	3	2
120020	1	2	6	0	1	3	4
120020	2	4	6	0	1	2	3
120024	1	2	6	1	3	4	1
120025	1	3	6	0	3	1	4
120026	1	4	6	0	1	3	4
120027	1	2	6	0	1	3	4
120029	1	5	9	0	1	3	4
120030	1	2	6	0	3	1	2
120033	1	2	6	0	3	2	1
120036	1	3	9	0	1	2	3
120043	1	5	6	0	3	2	1
120044	1	2	6	0	3	4	5
120047	1	2	6	0	1	3	2
120048	1	5	6	0	3	1	2
120049	1	2	6	0	1	3	4
120050	1	2	6	0	3	2	1
120051	1	4	6	0	1	2	3
120053	1	3	6	0	1	3	4
120054	1	7	6	0	5	1	88
120054	2	8	6	0	4	3	88
120054	3	13	6	0	3	4	88
120056	1	9	9	1	3	4	88
120057	1	7	6	0	1	3	4
120059	1	4	6	1	5	3	1
120060	1	3	6	0	3	5	88
120060	2	1	6	0	3	5	4
120061	1	5	6	0	1	3	2
120062	1	4	6	0	3	1	4
120063	1	2	6	0	1	2	3
120064	1	0	28	0	1	2	88
120069	1	4	6	0	1	3	2
120070	1	4	6	1	1	3	4
120071	1	2	6	0	3	1	2
120073	1	2	6	1	1	3	4
120074	1	4	6	0	3	1	5
120074	2	2	6	0	3	1	2
120075	1	2	6	0	2	1	3
120076	1	2	6	1	1	3	88
120077	1	4	6	0	2	1	3
120079	1	2	6	0	3	4	5
120080	1	5	6	0	3	88	 
120081	1	3	9	1	3	4	88
120082	1	5	6	0	1	3	4
120085	1	5	6	0	1	3	4
120086	1	2	6	0	2	1	3
120087	1	3	6	0	3	5	4
120091	1	4	6	1	1	3	4
120097	1	3	6	0	3	1	2
120100	1	2	6	0	3	4	88
130002	1	4	6	0	3	4	1
130005	1	3	6	0	2	3	1
130010	1	2	6	1	2	1	3
130011	1	2	9	0	3	4	1
130012	1	3	6	1	3	1	4
130016	1	4	6	1	1	2	3
130018	1	2	6	0	3	1	2
130021	1	4	9	1	1	3	4
130022	1	4	6	0	3	2	1
130023	1	4	9	1	3	4	2
130025	1	2	9	1	1	3	4
130026	1	2	6	0	3	1	2
130028	1	2	6	0	3	2	1
130029	1	2	6	0	2	1	3
130031	1	2	9	1	3	1	2
130032	2	2	33	0	4	3	2
130036	1	1	6	0	2	1	3
130037	1	3	6	0	1	3	2
130040	1	3	6	0	2	1	3
130041	1	2	6	1	2	1	3
130042	1	3	6	0	3	1	2
130046	1	3	6	0	1	5	4
130047	1	3	6	0	2	1	3
130050	1	2	6	0	3	2	1
130051	1	2	9	1	1	3	2
130052	1	5	9	0	1	2	3
130053	1	4	6	0	3	1	5
130054	1	4	6	1	1	2	5
130055	1	2	6	0	3	1	4
130057	1	2	6	1	3	1	2
130058	1	2	6	0	3	4	5
130061	1	4	6	1	4	1	3
130062	1	2	6	0	1	3	2
130064	1	4	6	0	3	4	5
130068	1	4	6	1	3	1	2
130069	1	6	6	0	3	2	1
130070	1	3	8	0	3	2	1
130071	1	4	6	1	3	1	4
130072	1	14	6	0	3	5	88
130073	1	2	9	1	3	4	1
130078	1	4	6	0	2	4	3
130080	1	2	9	0	3	2	88
130081	1	3	9	0	3	88	 
130082	1	4	9	1	3	4	2
130083	1	4	6	0	1	4	3
130085	1	3	6	0	1	3	4
130089	1	3	9	0	3	1	4
130090	1	 	 	 	 	 	 
130091	1	2	9	1	1	3	4
130093	1	3	6	1	4	2	3
130100	1	3	6	1	3	4	1
140001	1	3	33	1	1	3	2
140008	1	2	23	1	4	3	2
140009	1	5	23	1	1	3	2
140010	1	2	33	0	3	5	88
140011	1	2	23	0	3	1	2
140012	1	2	6	0	3	4	2
140013	1	2	6	0	3	5	88
140014	1	2	23	0	1	3	2
140021	1	2	6	0	3	5	88
140022	1	4	23	1	1	3	2
140024	1	4	23	0	3	88	 
140029	1	3	6	1	3	2	5
140030	1	2	23	0	1	3	88
140032	1	2	23	1	5	88	 
140041	1	2	6	0	3	88	 
140042	1	2	6	0	3	2	5
140043	1	2	6	1	3	1	4
140045	1	4	33	1	3	1	88
140047	1	2	23	1	1	3	2
140048	1	2	33	1	3	1	2
140049	1	2	23	0	3	1	2
140050	1	2	23	0	3	5	88
140051	1	 	 	 	 	 	 
140055	1	2	33	0	1	3	88
140056	1	4	23	0	3	1	2
140058	1	2	23	1	3	1	2
140059	1	2	23	0	3	88	 
140060	1	2	6	0	3	1	88
140064	1	4	23	0	3	1	2
140065	1	6	23	0	3	1	2
140067	1	2	23	0	3	1	2
140068	1	2	23	0	1	3	2
140069	1	4	23	1	1	2	3
140076	1	3	23	0	1	3	2
140081	1	3	6	0	3	5	2
140092	1	2	23	1	1	3	2
140094	1	2	23	1	3	5	2
140097	1	4	23	1	3	1	88
150001	1	4	23	1	3	4	88
150002	1	2	23	1	3	1	2
150003	1	4	33	1	3	1	2
150006	1	4	23	0	1	3	2
150007	1	1	23	0	1	3	88
150009	1	2	23	0	3	4	88
150014	1	2	6	0	3	5	2
150015	1	2	6	0	3	5	88
150016	1	4	6	1	3	5	6
150017	1	1	6	1	3	88	 
150017	2	3	6	0	3	88	 
150020	1	2	23	0	3	1	2
150022	1	4	23	1	3	4	88
150026	1	5	23	0	3	88	 
150028	1	2	23	0	3	88	 
150029	1	2	23	0	3	1	88
150030	1	1	23	0	3	1	2
150031	1	2	23	1	3	1	2
150033	1	2	6	0	3	5	2
150034	1	2	23	0	3	1	2
150035	1	4	23	0	3	1	2
150036	1	2	6	0	3	5	88
150039	1	2	6	1	5	88	 
150040	1	3	23	0	1	3	88
150042	1	4	23	0	3	88	 
150043	1	2	23	0	3	1	88
150044	1	2	23	0	3	88	 
150046	1	2	23	0	2	3	88
150047	1	2	23	0	3	1	2
150050	1	3	23	0	1	3	88
150052	1	2	23	0	3	1	2
150053	1	3	23	0	3	88	 
150054	1	2	23	0	1	3	88
150056	1	2	6	0	3	88	 
150058	1	3	33	0	1	3	88
150059	1	2	33	0	1	3	88
150060	1	4	6	0	3	5	88
150062	1	3	23	0	3	1	2
150062	2	2	33	0	3	1	2
150064	1	7	23	0	1	3	88
150065	1	4	6	1	3	2	1
150066	1	3	23	1	3	1	2
150068	1	2	33	1	1	2	3
150069	1	4	6	0	3	1	88
150070	1	2	23	0	3	88	 
150071	1	2	23	1	3	1	2
150072	1	2	6	1	3	5	88
150073	1	4	23	0	3	88	 
150076	1	1	8	0	5	88	 
150076	2	2	23	0	3	88	 
150077	1	2	33	0	1	3	88
150078	1	2	23	0	5	88	 
150078	2	1	8	0	3	4	88
150082	1	3	23	0	3	88	 
150083	1	4	23	1	1	3	88
150086	1	5	23	0	1	2	3
150087	1	2	33	1	1	3	88
150088	1	2	6	0	3	88	 
150089	1	2	6	0	3	88	 
