CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPRIDR4	SUPEXPR4	SUPIMR401	SUPIMR402
40009	2	12	36	2011	99	1	3	3	6	4
40010	1	16	49	2009	99	1	0	4	4	6
40010	2	16	49	2011	99	1	5	5	4	1
40011	1	16	36	2010	99	1	0	4	2	4
40011	2	19	36	2011	2012	6	4	4	8	5
40012	1	12	36	2012	99	1	0	4	6	4
40012	2	16	36	2011	99	1	8	4	6	4
40013	1	16	36	2012	99	1	0	5	4	1
40013	2	16	36	2012	99	1	3	5	4	6
40013	3	16	36	2010	99	1	4	4	1	5
40014	1	16	36	2010	99	1	0	5	6	4
40015	1	16	36	2009	99	1	7	4	1	4
40017	1	12	36	2010	2012	1	3	4	4	6
40017	2	12	36	2012	99	1	4	4	4	6
40018	1	16	36	2011	99	6	0	4	4	88
40019	1	16	36	2010	2013	1	0	3	4	1
40020	1	12	36	2010	99	1	0	3	2	4
40020	2	16	36	2010	99	1	3	4	4	6
40021	1	12	36	2011	99	1	0	4	4	6
40022	1	16	36	2012	99	1	0	4	4	2
40023	1	12	36	2009	99	1	0	4	6	4
40023	2	12	36	2009	99	1	4	4	4	6
40024	1	16	36	2009	99	1	0	4	6	1
40025	1	12	36	2009	99	1	0	4	6	4
40025	2	12	36	2011	99	1	4	4	6	4
40027	1	12	36	2011	99	1	7	4	6	4
40028	1	16	36	2013	99	1	0	4	6	4
40028	2	16	36	2012	99	1	6	5	4	6
40029	1	16	44	2009	99	1	0	4	4	6
40029	2	12	36	2009	99	1	7	4	6	4
40030	1	16	36	2009	2012	1	0	4	1	4
40032	1	16	36	2009	99	1	0	4	4	6
40032	2	12	36	2009	99	1	5	4	6	4
40032	3	12	36	2012	99	1	6	4	6	4
40034	1	16	36	2011	99	1	0	3	4	6
40036	1	19	36	2011	2012	4	2	4	5	88
40036	2	12	36	2012	99	1	0	4	6	4
40037	1	12	36	2009	99	1	0	4	6	4
40037	2	12	36	2009	99	1	4	4	6	4
40038	1	16	36	2011	99	1	0	4	1	6
40041	1	16	36	2012	99	1	0	5	4	1
40042	1	16	36	2010	99	1	0	5	4	6
40042	2	16	36	2011	99	1	4	4	6	2
40043	1	16	36	2010	99	1	0	4	6	4
40044	1	16	36	2009	99	1	0	4	6	2
40044	2	16	36	2010	99	1	12	4	6	2
40045	1	16	36	2009	99	1	80	4	4	6
40046	1	16	36	2010	99	1	0	4	4	6
40047	1	12	36	2013	99	1	0	4	4	2
40048	1	12	36	2013	99	1	0	4	4	6
40049	1	16	36	2012	99	1	0	4	5	6
40050	1	16	36	2012	99	1	0	2	4	6
40051	1	16	36	2009	99	1	0	4	4	6
40052	1	16	36	2012	99	1	6	4	1	5
40052	2	16	36	2013	99	1	0	4	6	4
40053	1	16	36	2009	99	1	0	4	6	4
40053	2	16	36	2012	99	1	6	4	6	2
40054	1	19	36	2012	99	6	2	3	5	88
40055	1	16	36	2010	99	1	0	4	4	2
40056	1	16	36	2009	99	1	0	4	1	4
40059	1	16	36	2009	99	1	3	3	4	2
40061	1	16	36	2009	99	1	0	4	4	2
40061	2	16	36	2009	99	1	3	4	4	2
40067	1	12	36	2013	99	1	0	4	6	4
40067	2	12	36	2009	99	1	5	4	6	4
40068	1	16	36	2011	99	1	0	5	4	6
40068	2	16	36	2013	99	1	4	4	4	6
40069	1	16	36	2012	99	1	0	5	2	4
40073	1	19	36	2010	99	4	2	4	5	88
40074	1	12	48	2010	2012	4	0	4	4	88
40075	1	12	36	2011	99	1	0	4	6	4
40075	2	12	36	2009	99	1	7	4	4	6
40076	1	12	36	2009	2012	1	0	4	2	4
40081	1	16	36	2009	99	6	0	4	4	6
40082	1	12	36	2011	99	1	0	4	1	6
40082	2	12	36	2010	99	1	9	4	6	1
40082	3	12	36	2012	99	1	10	4	1	6
40084	1	16	36	2009	99	1	0	5	1	4
40087	1	19	36	2010	99	5	2	4	5	88
40088	1	16	36	2011	99	1	0	4	4	6
40089	1	16	36	2009	99	1	0	4	2	4
40089	2	16	36	2009	99	1	7	4	4	2
40090	1	16	36	2010	99	1	0	4	4	2
40090	2	16	36	2010	99	1	4	4	4	2
40091	1	12	36	2010	99	1	0	4	6	4
40091	2	12	36	2010	99	1	8	4	4	6
40091	3	12	36	2012	99	1	9	4	4	6
40092	1	16	36	2010	99	1	0	4	4	1
40092	2	16	36	2010	99	1	4	3	4	6
40093	1	16	36	2010	99	1	0	5	4	1
40093	2	16	36	2011	99	1	3	4	4	6
40094	1	16	36	2010	99	1	0	5	4	6
40094	2	16	36	2011	99	1	6	3	4	1
40095	1	16	36	2009	99	1	5	4	4	1
40095	2	16	36	2009	99	1	6	4	4	1
40098	1	16	36	2010	99	1	0	4	4	1
40099	1	16	36	2012	99	1	0	5	2	4
40099	2	16	36	2009	99	1	4	4	6	1
40099	3	16	36	2013	99	1	5	4	4	1
40100	1	16	36	2010	99	1	80	3	4	2
50004	1	5	45	2012	99	6	7	4	5	88
50006	1	5	36	2012	99	7	2	4	4	88
50009	1	5	45	2011	99	6	2	4	1	5
50010	1	5	45	2010	99	6	4	4	1	5
50010	2	5	45	2010	99	6	6	4	6	1
50010	3	5	45	2010	99	6	7	4	1	88
50012	1	5	45	2011	99	6	4	4	1	88
50013	1	5	36	2012	99	7	2	4	4	2
50015	1	5	36	2013	99	7	2	4	4	5
50016	1	5	36	2010	99	7	2	4	4	1
50018	1	5	45	2009	99	6	4	3	1	88
50022	1	5	45	2009	99	6	2	4	2	5
50023	1	9	36	2009	2010	4	1	3	5	88
50026	1	5	36	2010	99	4	4	3	5	88
50027	1	5	45	2010	99	6	3	3	1	5
50030	1	5	36	2012	99	7	80	4	4	1
50031	1	19	36	2011	99	7	2	4	9	88
50033	1	5	36	2010	99	88	3	4	8	88
50034	1	19	36	2013	99	7	2	4	9	88
50037	1	5	45	2009	99	6	4	4	5	88
50039	1	5	45	2009	99	6	3	3	1	88
50040	1	5	36	2009	99	4	2	4	6	88
50043	1	5	45	2009	99	6	4	3	1	88
50044	1	5	36	2009	99	4	4	3	4	88
50045	1	5	36	2009	99	4	2	3	7	88
50045	2	5	36	2009	99	4	3	3	4	88
50047	1	5	45	2011	99	6	4	3	5	1
50049	1	5	36	2009	99	4	2	3	77	88
50050	1	5	45	2011	99	6	2	4	5	2
50051	1	5	45	2011	99	6	7	3	5	88
50052	1	5	45	2010	99	6	3	4	1	88
50053	1	5	36	2009	99	4	2	3	8	88
50054	1	5	45	2011	99	6	2	4	1	5
50055	1	5	45	2010	99	6	4	4	1	5
50056	1	5	36	2009	99	4	2	4	5	88
50057	1	5	36	2011	99	7	2	4	4	5
50059	1	19	36	2009	99	7	2	4	9	88
50061	1	5	45	2011	99	6	5	4	4	2
50066	1	5	45	2009	99	6	90	4	2	88
50067	1	5	45	2011	99	7	2	4	4	88
50067	2	19	36	2013	99	7	1	4	9	88
50068	1	5	45	2009	99	6	2	2	4	1
50071	1	5	36	2009	99	4	6	3	4	88
50072	1	5	45	2009	99	6	5	4	4	1
50073	1	5	36	2012	99	4	3	4	5	88
50077	1	5	45	2010	99	6	2	4	4	1
50078	1	5	36	2009	99	4	2	3	4	88
50079	1	5	36	2012	99	7	6	4	4	1
50080	1	5	36	2009	99	4	5	3	4	88
50080	2	5	36	2009	99	6	3	3	7	88
50080	3	5	36	2009	99	6	15	4	6	88
50082	1	5	36	2010	99	4	4	3	2	88
50083	1	5	36	2012	99	7	5	4	4	5
50088	1	5	36	2009	99	4	3	88	6	88
50089	1	5	36	2012	99	7	4	4	4	5
50091	1	5	36	2009	99	6	4	3	5	88
50091	2	5	36	2009	99	6	5	3	5	88
50091	3	5	36	2009	99	6	8	4	5	88
50091	4	5	36	2009	99	6	9	4	5	88
50098	1	5	36	2009	99	4	4	3	4	88
50099	1	5	36	2013	99	4	4	3	2	4
60002	1	5	45	2010	99	6	5	4	5	6
60004	1	19	36	2010	2010	7	3	4	9	88
60006	1	5	45	2011	99	7	7	4	1	4
60010	1	5	45	2009	99	6	4	3	1	88
60014	1	5	45	2011	99	6	2	4	2	88
60015	1	5	45	2012	99	7	2	4	5	4
60016	1	5	45	2012	99	6	6	4	1	5
60018	1	5	45	2010	99	6	80	4	1	4
60019	1	5	36	2009	99	5	2	3	1	6
60020	1	5	36	2009	99	4	90	3	4	88
60022	1	5	45	2012	99	6	2	4	9	1
60023	1	5	45	2011	99	6	4	4	5	88
60024	1	5	36	2010	99	4	2	4	4	88
60028	1	5	45	2013	99	6	2	4	4	5
60029	1	5	45	2011	99	6	4	3	1	4
60031	1	5	45	2010	99	7	4	4	1	6
60032	1	5	45	2010	99	6	9	5	1	88
60033	1	19	36	2010	99	8	4	4	5	88
60033	2	5	45	2010	99	6	4	4	1	88
60037	1	5	36	2011	99	6	4	3	5	88
60038	1	5	36	2009	99	4	2	4	1	88
60041	1	12	36	2012	2013	6	4	4	4	88
60043	1	5	45	2012	99	6	8	4	1	88
60045	1	5	36	2009	99	4	2	3	2	88
60048	1	5	45	2012	99	6	3	4	1	5
60050	1	5	45	2011	99	6	1	3	1	88
60052	1	5	36	2010	99	4	5	3	2	88
60059	1	5	45	2013	99	6	3	3	1	5
60060	1	5	36	2009	99	5	3	4	2	88
60062	1	5	45	2010	99	6	5	3	1	88
60064	1	5	45	2010	2013	6	80	3	4	1
60065	1	5	45	2011	99	7	4	3	2	5
60067	1	5	45	2011	99	6	2	4	1	2
60071	1	5	36	2009	99	4	4	4	5	88
60072	1	5	36	2009	99	5	3	4	6	88
60073	1	5	45	2013	99	7	3	4	4	88
60075	1	5	45	2012	99	7	8	4	4	88
60076	1	5	45	2011	99	6	4	4	5	88
60077	1	5	36	2010	99	4	8	4	4	88
60077	2	5	36	2009	99	6	4	4	8	88
60077	3	5	36	2009	99	6	13	4	8	88
60079	1	5	45	2013	99	6	4	4	4	88
60082	1	5	45	2010	99	6	3	4	1	5
60084	1	5	36	2011	99	6	2	3	2	88
60086	1	5	45	2012	99	6	2	4	1	5
60089	1	5	36	2009	99	4	4	3	2	88
60094	1	5	45	2013	99	7	2	4	1	88
60096	1	5	45	2011	99	6	2	4	1	88
60098	1	5	45	2012	99	6	2	3	4	1
60099	1	5	45	2013	99	7	2	4	4	1
60100	1	5	45	2011	99	6	80	4	1	5
70002	1	5	45	2012	99	8	7	3	5	4
70003	1	5	36	2009	99	8	5	1	5	88
70004	1	5	36	2010	99	6	4	4	4	88
70005	1	5	36	2009	99	6	3	3	4	2
70009	1	5	45	2009	2010	6	3	4	2	88
70010	1	5	45	2012	99	7	2	4	4	5
70010	2	12	45	2011	99	6	90	4	4	5
70011	1	5	36	2009	99	6	4	3	4	88
70013	1	5	45	2012	99	6	3	4	1	88
70016	1	5	45	2011	99	6	4	4	1	88
70017	1	5	45	2011	99	6	2	3	1	5
70019	1	5	45	2012	99	6	4	4	5	1
70020	1	5	45	2012	99	6	2	4	4	2
70022	1	5	36	2010	99	6	4	3	2	88
70023	1	19	36	2011	99	6	4	4	5	88
70024	1	5	45	2012	99	6	3	4	5	1
70025	1	5	36	2009	99	5	2	4	2	88
70026	1	19	36	2010	99	6	1	2	5	88
70027	1	5	45	2009	99	7	2	4	4	1
70028	1	5	45	2012	99	6	2	3	2	88
70029	1	5	45	2010	99	6	2	4	2	5
70030	1	5	36	2010	99	4	2	4	1	88
70034	1	5	45	2011	99	6	80	3	1	4
70035	1	5	45	2013	99	7	80	4	4	5
70038	1	5	45	2013	99	7	80	4	4	5
70039	1	19	45	2012	2013	88	90	4	9	88
70041	1	19	36	2010	99	6	1	4	5	88
70042	1	5	45	2011	99	6	2	3	5	1
70042	2	12	45	2012	2012	6	2	4	4	88
70042	3	9	36	2012	2012	6	80	4	5	88
70043	1	12	8	2010	99	1	0	5	4	1
70045	1	5	45	2011	2011	6	2	3	1	5
70045	2	9	36	2012	2012	6	80	4	5	88
70046	2	19	36	2011	99	3	2	2	5	88
70046	3	5	45	2009	99	7	4	3	4	1
70047	1	5	45	2010	99	7	2	4	4	9
70048	2	6	36	2010	99	3	6	4	1	4
70048	3	5	45	2009	99	7	6	4	1	5
70049	2	5	45	2010	99	7	2	4	2	4
70051	1	5	45	2012	2012	6	4	4	1	5
70051	2	12	45	2013	2013	6	5	4	4	88
70053	1	5	45	2011	99	7	2	4	3	88
70054	1	12	45	2011	99	4	2	4	4	88
70055	1	5	45	2009	99	7	3	3	4	88
70057	1	19	36	2012	99	8	4	3	9	88
70059	1	5	36	2011	99	4	2	4	4	88
70061	1	5	45	2009	2009	6	3	4	9	88
70062	1	12	45	2009	2010	6	3	3	4	88
70068	1	19	36	2009	2010	88	4	4	9	88
70070	1	5	45	2010	99	7	8	3	1	4
70072	1	12	45	2013	2013	6	7	4	4	88
70072	2	5	45	2012	2012	6	5	4	5	1
70077	1	3	36	2009	2011	4	1	4	7	88
70083	1	12	45	2011	99	6	80	5	2	4
70084	1	17	36	2013	2013	7	4	4	5	88
