CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	DSSCR4	NMSCWDR4	LNGINSR4
10083	10	1	3	 	3	5	118	73
10083	11	1	4	 	3	5	118	73
10083	12	1	5	 	3	5	118	73
10083	13	1	6	 	3	5	118	73
10084	10	1	3	 	1	5	117	75
10084	11	1	4	 	1	5	117	75
10084	12	1	5	 	1	5	117	75
10084	13	1	6	 	1	5	117	75
10085	10	1	4	 	1	5	2043	75
10085	11	1	5	 	1	5	1846	75
10085	12	1	6	 	1	5	1846	75
10085	13	1	7	 	1	5	1846	75
10086	10	1	4	 	3	5	139	72
10086	11	1	5	 	3	5	139	72
10086	12	1	6	 	3	5	858	72
10086	13	1	7	 	3	5	858	72
10087	10	1	4	 	1	5	1910	75
10087	11	1	5	 	1	5	1910	75
10087	12	1	6	 	1	5	1910	75
10087	13	1	7	 	1	5	1910	75
10088	10	1	3	 	3	5	113	72
10088	11	1	4	 	3	5	139	72
10088	12	1	5	 	3	5	139	72
10088	13	1	6	 	3	5	858	75
10089	10	1	3	 	1	5	1378	75
10089	11	1	4	 	1	5	1378	75
10089	12	1	5	 	1	5	1378	75
10089	13	1	6	 	1	5	1378	75
10090	10	1	4	 	1	5	122	75
10090	11	1	5	 	1	5	122	75
10090	12	1	6	 	1	5	122	75
10090	13	1	7	 	1	5	95	75
10091	10	1	3	 	1	5	1966	75
10091	11	1	4	 	1	5	1966	75
10091	12	1	5	 	1	5	1966	75
10091	13	1	6	 	1	5	1966	75
10092	10	1	5	 	1	5	1910	75
10092	11	1	6	 	1	5	1910	75
10092	12	1	7	 	1	5	1910	75
10092	13	1	8	 	1	5	1910	75
10093	10	1	4	 	1	5	1378	75
10093	11	1	5	 	1	5	1378	75
10093	12	1	6	 	1	5	1378	75
10093	13	1	7	 	1	5	1378	75
10094	10	1	4	 	1	5	1910	75
10094	11	1	5	 	1	5	1910	75
10094	12	1	6	 	1	5	1910	75
10094	13	1	7	 	1	5	1910	75
10095	10	1	3	 	1	5	117	75
10095	11	1	4	 	1	6	2127	75
10095	12	1	5	 	1	6	2127	75
10095	13	1	6	 	1	6	2127	75
10096	10	1	4	 	1	5	113	75
10096	11	1	5	 	1	5	113	75
10096	12	1	6	 	1	5	2033	75
10096	13	1	7	 	1	5	2033	75
10097	10	1	3	 	1	5	117	75
10097	11	1	4	 	3	5	2163	72
10097	12	1	5	 	3	5	2163	72
10097	13	1	6	 	3	5	2163	72
10098	10	1	3	 	3	5	2225	72
10098	11	1	4	 	3	5	2225	72
10098	12	1	5	 	3	5	2225	72
10098	13	1	6	 	3	5	2225	72
10099	10	1	5	 	1	5	845	75
10099	11	1	6	 	1	5	845	75
10099	12	1	7	 	1	5	845	75
10099	13	1	8	 	1	5	845	75
10100	10	1	4	 	1	5	1539	75
10100	11	1	6	 	3	5	858	75
10100	12	1	7	 	3	5	858	75
10100	13	1	8	 	3	5	858	75
20001	10	0	 	 	 	 	 	 
20001	11	0	 	 	 	 	 	 
20001	12	0	 	 	 	 	 	 
20001	13	0	 	 	 	 	 	 
20002	10	1	4	1	 	 	 	 
20002	11	1	5	1	 	 	 	 
20002	12	1	6	0	3	4	2054	72
20002	13	1	7	1	 	 	 	 
20003	10	1	4	1	 	 	 	 
20003	11	1	5	1	 	 	 	 
20003	12	1	6	1	 	 	 	 
20003	13	1	7	1	 	 	 	 
20004	10	1	4	1	 	 	 	 
20004	11	1	5	1	 	 	 	 
20004	12	1	6	0	3	5	867	72
20004	13	1	7	1	 	 	 	 
20005	10	1	5	0	3	5	1487	75
20005	11	1	6	1	 	 	 	 
20005	12	1	7	1	 	 	 	 
20005	13	1	8	1	 	 	 	 
20006	10	1	3	1	 	 	 	 
20006	11	1	4	1	 	 	 	 
20006	12	1	5	1	 	 	 	 
20006	13	1	6	1	 	 	 	 
20007	10	1	1	 	3	5	2053	72
20007	11	1	2	 	3	5	2053	72
20007	12	1	3	 	3	5	2053	72
20007	13	1	4	 	3	5	2053	72
20008	10	1	3	1	 	 	 	 
20008	11	1	4	1	 	 	 	 
20008	12	1	5	1	 	 	 	 
20008	13	1	6	1	 	 	 	 
20009	10	1	3	0	3	5	859	72
20009	11	1	4	1	 	 	 	 
20009	12	1	5	1	 	 	 	 
20009	13	1	5	1	 	 	 	 
20010	10	1	1	1	 	 	 	 
20010	11	1	2	1	 	 	 	 
20010	12	1	3	1	 	 	 	 
20010	13	1	4	1	 	 	 	 
20011	10	1	1	1	 	 	 	 
20011	11	1	1	0	3	5	2053	72
20011	12	1	2	1	 	 	 	 
20011	13	1	3	1	 	 	 	 
20014	10	1	2	1	 	 	 	 
20014	11	1	3	0	3	5	2053	72
20014	12	1	4	1	 	 	 	 
20014	13	1	5	1	 	 	 	 
20015	10	1	2	1	 	 	 	 
20015	11	1	3	0	3	5	859	72
20015	12	1	4	0	3	5	867	72
20015	13	1	5	1	 	 	 	 
