placeid	departid	clustid	survday	survmnth	survyear	survdate	popsize	housing	illoccup	othres	agric	livest	fishing	mining	indust	handicr	retail	othuse	city	timecap	trans1	trans2	trans3	howlong4	timeloc	trnslcl1	trnslcl2	trnslcl3	a_4yrslocl	pvedn	earthn	unpavedn	tracksn	rivern	airn	railn	ottrann	pvedn4yr	earth4yr	unpav4yr	track4yr	river4yr	airn4yr	railn4yr	ottrn4yr	indwprob	minwprob	garwprob	anmwprob	frmdump	fmlydump	locldump	excrdump	grbbrng	indsactv	carspssg	pesticid	noisepll	stndwatr	other1	other2	lbrunion	commkitc	mthrclub	apafa	poltgrp	relggrp	svgscoop	houscoop	lendcoop	sprtassc	crmassc	psntassc	ntvassc	agriassc	prdcrs	others1	others2	others3	others4	others5	rlothr1	rlothr2	rlothr3	rlothr4	rlothr5	robbery	cttlthft	prstitn	gangs	adltbnds	drugsllg	drugadct	alchlsm	vlntcrme	othrprb1	othrprb2	lttlchld	adlscnt	fmlycmpg	theatre	videogms	bullfght	fairgrnd	slotmch	relginst	pbltele	prvtele	pblinrnt	elctrcty	drnkwatr	sewager	plcsttn	nonjudg	profjudg	ntlbank	othrbank	lclgovrn	puchct	prchct	puprsc	prprsc	prisch	secsch	heactr	cadctr	othserv1	othserv2	othserv3	timerelg	timetele	timeintr	timepolc	timenon	timeprof	timenatl	timepriv	timegov	timepucc	timeprcc	timepups	timeprps	timeprsc	timesesc	timehect	timecadc	timeoth1	timeoth2	timeoth3	trnsrelg	trnstele	trnsint	trnspolc	trnnonjg	trnprojg	trnntabk	trnothbk	trnsgov	trnpucc	trnprcc	trnpups	trnprps	trnprsc	trnsesc	trnhect	trncadc	trnsoth1	trnsoth2	trnsoth3	toiletin	toiltout	pitin	pitout	shrpit	hillopen	rvrtoilt	othrtolt	glssmilk	foodwork	foodbskt	compfeed	othfood1	othfood2	glsmilk4	comkitc4	foodwrk4	foodbkt4	comfeed4	othfd1y4	othfd2y4	wawawasi	pronoei	schbkfst	schclth	schltext	litrcy	eductn1	eductn2	wawa4yr	pron4yr	bkfst4yr	clth4yr	text4yr	ltrcy4yr	edc14yr	edc24yr	hlthinsr	grwth	fmlyplng	tubcntrl	vaccnprg	hemoinfl	hepb	yellowfv	malaria	hivsida	mentlhth	cntrlstd	hlthoth1	hlthoth2	insr4yr	grwth4yr	fmly4yr	tub4yr	vaccn4yr	hemo4yr	hepb4yr	yellw4yr	malar4yr	hiv4yr	mentl4yr	std4yr	hlth14yr	hlth24yr	rprschl	rprhlth	rprwtr	rprswr	rprpit	rprbrdg	rprand	reforest	irrgtn	infroth1	infroth2	schl4yr	hlth4yr	wtr4yr	swr4yr	pit4yr	brdg4yr	and4yr	rfrst4yr	irrgn4yr	infr14yr	infr24yr	agritech	animal	agrinput	titling	techncal	microcrd	laborenr	othothr1	othothr2	agrtch4y	animal4y	agrinp4y	titlng4y	tchncl4y	mcrcrd4y	lbrenr4y	a_4yothr1	a_4yothr2	lndmale	plntmale	weedmale	hrvsmale	postmale	pstrmale	othrmale	mmonland	mmonplnt	mmonweed	mmonhrvs	mmonpost	mmonpstr	mmonothr	lndfmle	plntfmle	weedfmle	hrvsfmle	postfmle	pstrfmle	othrfmle	fmonland	fmonplnt	fmonweed	fmonhrvs	fmonpost	fmonpstr	fmonothr	lndchld	plntchld	weedchld	hrvschld	postchld	pstrchld	othrchld	cmonland	cmonplnt	cmonweed	cmonhrvs	cmonpost	cmonpstr	cmonothr	lndrmale	helpmale	cnstmale	factmale	othmale1	othmale2	lndrfmle	helpfmle	cnstfmle	factfmle	othfmle1	othfmle2	lndrchld	helpchld	cnstchld	factchld	othchld1	othchld2	othchld3	othchld4	noteprc1	shoeprc1	byshprc1	grshprc1	byptprc1	grskprc1	oralprc1	paraprc1	amoxprc1	mebeprc1	potaprc1	riceprc1	spagprc1	coffprc1	nescprc1	milkprc1	sugrprc1	oilprc1	saltprc1	cigrprc1	detgprc1	krsnprc1	prcirrgt	prcdry	prcpstr	prcbuild	minirrgt	mindry	minpstr	minbuild	maxirrgt	maxdry	maxpstr	maxbuild	mdrncow	tradcow	ox	donkey	mule	sheep	goat	pig	chckn	rabbit	gneapig	llama	minmdrn	mintrad	minox	mindnky	minmule	minsheep	mingoat	minpig	minchckn	minrbbt	mingnea	minllama	maxmdrn	maxtrad	maxox	maxdnky	maxmule	maxsheep	maxgoat	maxpig	maxchckn	maxrbbt	maxgnea	maxllama	priccrop	mincrop	maxcrop
PE13MC01	15	13	16	5	2007	5/16/2007	20000	1	2	5	3	4	5	5	5	5	4	5	1	45	7	88	88	45	-88	88	88	88	-88	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	88	88	88	88	88	1	0	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	-88	-88	-88	-88	-88	45	45	40	45	-88	45	-88	-88	-88	-88	-88	20	-88	-88	-88	88	88	88	88	88	7	7	7	7	88	7	88	88	88	88	88	7	88	88	88	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	15	15	15	15	-11	-88	0	0	0	0	0	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	-11	20	20	-11	-88	-88	12	-11	-11	-11	-88	-88	-22	-11	-11	-11	-88	-88	-88	-88	1.5	20	8	8	15	20	.150000005960464	.100000001490116	.0199999995529652	.200000002980232	.699999988079071	2.79999995231628	4.19999980926514	-88	30	2.20000004768372	2	4	.600000023841858	5.09999990463257	1	12.1000003814697	10000	-77	-77	90	-88	-88	-88	-88	-88	-88	-88	-88	-77	800	-77	400	600	200	200	150	20	20	15	-77	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
PE14MC01	15	14	4	7	2007	7/4/2007	25000	1	5	5	5	5	5	5	4	3	2	5	1	30	7	88	88	30	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	-88	-88	-88	-88	-88	20	20	20	120	15	20	-88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	7	7	7	8	7	7	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-11	15	25	15	-88	-88	15	15	-11	15	-88	-88	-22	-22	-11	-11	-88	-88	-88	-88	1.5	35	7	7	18	15	1	.200000002980232	.150000005960464	.300000011920929	1	1.79999995231628	2.5	12	24.6000003814697	1.89999997615814	1.79999995231628	4.5	.600000023841858	4.5	1.5	10.6400003433228	-88	-88	-88	33	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC02	15	14	5	8	2007	8/5/2007	12305	2	1	5	5	5	5	5	5	5	5	5	1	30	7	88	88	30	-88	88	88	88	-88	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	-88	-88	-88	3	3	3	30	30	35	-88	-88	-88	-88	-88	-88	-88	35	-88	-88	-88	88	88	88	7	7	7	7	7	7	88	88	88	88	88	88	88	7	88	88	88	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	77	77	77	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	-11	25	25	30	-88	-88	15	20	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.60000002384186	35	9	9	25	12	.5	.300000011920929	.129999995231628	2	1	1.79999995231628	2.70000004768372	14	18	2.09999990463257	1.79999995231628	4.59999990463257	.600000023841858	3.59999990463257	1.70000004768372	10	-88	-88	-88	50	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	20	-88	10	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC03	15	14	17	5	2007	5/17/2007	1800	5	5	1	5	5	5	5	5	2	3	5	1	25	7	88	88	25	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	5	-88	-88	20	25	25	25	25	-77	-88	-88	-88	-88	-88	-88	10	25	-88	-88	-88	1	88	88	7	7	7	7	7	7	88	88	88	88	88	88	1	7	88	88	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-11	12	20	16	-88	-88	10	8	-11	16	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.5	32	10	10	25	22	.600000023841858	.100000001490116	.129999995231628	.200000002980232	1	1.60000002384186	3	10	27	2.09999990463257	2	3	.600000023841858	4.5	1.20000004768372	11.1999998092651	-88	-88	-88	-88	-88	-88	-88	50	-88	-88	-88	80	-88	-88	-88	-88	-88	-88	-88	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC04	15	14	26	4	2007	4/26/2007	20000	1	5	5	5	5	5	5	5	5	2	5	1	20	5	88	88	30	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	0	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	-88	-88	-88	20	20	20	20	20	20	20	20	-88	-88	-88	-88	-88	20	-88	-88	-88	88	88	88	5	5	5	5	5	5	5	5	88	88	88	88	88	5	88	88	88	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	15	35	-77	-88	-88	20	-11	-11	-77	-88	-88	-88	-11	-11	-11	-88	-88	-88	-88	1.29999995231628	54	12	12	26	20	.600000023841858	.0399999991059303	.129999995231628	.25	1.29999995231628	1.79999995231628	2.79999995231628	-88	30	2.09999990463257	2	3.79999995231628	.5	3	2	11.1000003814697	-88	-88	-88	50	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC05	15	14	28	4	2007	4/28/2007	-77	1	5	5	5	5	5	5	5	5	2	5	1	30	7	88	88	40	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	1	1	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	-88	-88	-88	-88	10	10	20	15	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	7	7	7	7	7	88	88	88	88	88	88	88	88	88	88	88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-11	15	40	15	-88	-88	20	-11	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.29999995231628	40	12	12	30	23	.600000023841858	.0399999991059303	.129999995231628	.25	.699999988079071	1.5	2.40000009536743	-88	24.7999992370605	2.09999990463257	2	3.79999995231628	.600000023841858	3.79999995231628	1.5	12	-88	-88	-88	40	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC06	15	14	27	4	2007	4/27/2007	-77	5	1	5	5	5	5	5	5	5	2	5	1	20	5	88	88	20	-88	88	88	88	-88	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	5	10	15	10	10	20	25	-77	10	20	5	20	10	10	5	20	-88	-88	-88	88	1	1	1	5	5	5	7	88	1	1	1	1	5	1	1	5	88	88	88	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	77	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-11	-11	30	-11	-88	-88	20	-11	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.29999995231628	36	10	10	28	22	.600000023841858	.0399999991059303	.129999995231628	-88	1	1.79999995231628	2.79999995231628	-88	-88	20	2	4	.600000023841858	3.79999995231628	2	12	-88	-88	-88	93.3300018310547	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE14MC07	15	14	30	4	2007	4/30/2007	45575	1	2	5	5	5	5	5	5	5	3	5	1	10	7	88	88	10	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	11	88	88	88	88	1	0	1	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	-88	-88	-88	-88	10	10	10	10	-77	10	10	-88	-88	-88	-88	-88	10	-88	-88	-88	88	88	88	88	7	7	7	7	88	7	7	88	88	88	88	88	7	88	88	88	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-88	-88	-88	-88	-88	-88	-88	88	88	88	88	88	88	88	-11	20	-77	15	-88	-88	10	-11	-11	15	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.5	38	10	10	30	25	.699999988079071	.0299999993294477	.129999995231628	.200000002980232	.800000011920929	1.79999995231628	2.40000009536743	-88	27	2	1.89999997615814	3.70000004768372	.5	4	2	12	-88	-88	-88	160	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88
PE15MC01	12	15	8	12	2006	12/8/2006	450	4	5	5	1	2	5	5	5	5	5	5	1	10	5	88	88	10	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	88	88	88	88	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	-88	10	10	10	10	10	10	10	120	10	-77	-88	-77	-88	10	10	10	-88	-88	-88	88	5	5	5	5	5	5	5	6	5	88	88	88	88	5	5	5	88	88	88	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	-11	-11	2	2	2	2	2	88	88	10	10	10	10	10	-11	-11	2	2	2	2	2	88	88	8	8	8	8	8	-11	-11	2	2	2	2	2	88	88	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	1.20000004768372	25	10	10	25	20	1.5	.100000001490116	.5	.5	1.20000004768372	1	2.40000009536743	-88	5	2.20000004768372	2	3.5	.699999988079071	4	1	-88	-88	5000	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1200	800	-88	-88	-88	-88	-88	100	18	-88	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	8	-88	-88
PE15MC02	12	15	11	12	2006	12/11/2006	300	4	5	5	1	5	5	5	5	5	4	5	1	20	6	88	88	30	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	88	88	88	88	88	88	88	88	88	88	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	88	88	88	-88	20	20	20	20	20	20	20	20	20	20	-88	20	-88	-88	-88	20	-88	-88	-88	88	5	5	5	5	5	5	5	5	5	5	88	5	88	88	88	88	88	88	88	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	10	10	10	10	10	-11	-11	6	6	6	6	6	88	88	-11	-11	-11	10	-11	-11	-11	88	88	88	6	88	88	88	5	-11	-11	-11	-11	-11	-11	6	88	88	88	88	88	88	-11	-11	-11	-11	-88	-88	3	-11	-11	-11	-88	-88	1.5	-11	-11	-11	-88	-88	-88	-88	1.20000004768372	25	10	10	25	20	.569999992847443	.100000001490116	.5	.5	.899999976158142	1.5	2.40000009536743	-88	5	2.20000004768372	2.20000004768372	3.5	.699999988079071	5.80000019073486	1	-88	-88	1000	1000	10	-88	-88	-88	-88	-88	-88	-88	-88	-88	600	-88	-88	-88	-88	-88	75	14	-88	10	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	4	-88	-88
PE15MC03	12	15	8	12	2006	12/8/2006	400	4	5	5	1	4	5	5	2	5	5	5	1	20	5	88	88	20	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	88	88	88	88	88	1	0	0	0	1	0	0	1	0	1	0	0	1	88	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	-88	20	20	20	30	20	20	20	60	20	-77	-88	20	-88	20	20	20	-88	-88	-88	88	5	5	5	5	5	5	5	5	5	88	88	5	88	5	5	5	88	88	88	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	10	10	-11	-77	6	6	6	6	6	88	88	10	10	10	10	-11	-11	-11	6	6	6	6	88	88	88	5	5	5	5	-11	-11	-11	6	6	6	6	88	88	88	-11	-11	25	-11	-11	-11	10	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	1.39999997615814	25	10	10	25	20	1.79999995231628	.100000001490116	.5	.5	.800000011920929	1.5	2.40000009536743	-88	5	2.20000004768372	1.89999997615814	3.79999995231628	.699999988079071	4	1	-88	-88	3000	3000	3	-88	-88	-88	-88	-88	-88	-88	-88	1200	600	1200	60	-88	-88	-88	250	15	-88	10	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	2	-88	-88
