placeid	anmlfdid	item	price	account
PE80MC12	2	HUEVO	2	2
PE80MC12	3	LECHE	1.20000004768372	3
PE80MC13	1	HUEVOS	3	1
PE80MC13	2	LECHE	1	3
PE80MC13	3	CUY	10	2
PE80MC14	1	CARNE DE RES	6	1
PE80MC14	2	CUY	10	2
PE80MC14	3	CARNERO	8	1
PE80MC15	1	CARNE DE RES	6.5	1
PE80MC15	2	CUY	10	2
PE80MC15	3	CHANCHO	9	1
PE80MC16	1	POLLO	5	1
PE80MC16	2	RES	8	1
PE80MC16	3	CERDO	8	1
PE80MC17	1	OVINO	5	1
PE80MC17	2	CERDO	5	1
PE80MC17	3	CABRA	5	1
PE80MC18	1	CARNE DE RES	6	1
PE80MC18	2	CARNE DE PORCINO	6	1
PE80MC18	3	LECHE	1.5	3
PE80MC18	4	QUESO	1.79999995231628	2
PE80MC19	1	POLLO	5.40000009536743	1
PE80MC19	2	CARNE DE RES	7	1
PE80MC19	3	PESCADO	2	1
PE80MC20	1	CARNE DE RES	7	1
PE80MC20	2	POLLO	5.19999980926514	1
PE80MC20	3	PESCADO	2.5	1
PE80MC21	1	CUY	10	2
PE80MC21	2	GALLINA	15	2
PE80MC21	3	CARNE DE RES	6	1
PE80MC22	1	ALLPACA	4	1
PE80MC22	2	POLLO	5.5	1
PE80MC22	3	PESCADO	2	1
PE80MC23	1	CORDERO	7	1
PE80MC23	2	ALPACA	6	1
PE80MC23	3	HUEVO	3.70000004768372	1
PE80MC24	1	CARNE DE RES	7.5	1
PE80MC24	2	POLLO	5.19999980926514	1
PE80MC24	3	PESCADO	2	1
PE80MC25	1	PESCADO	4	1
PE80MC25	2	POLLO	8	1
PE80MC25	3	HUEVO	4.59999990463257	1
PE80MC26	1	POLLO	5.5	1
PE80MC26	2	CORDERO	9	1
PE80MC26	3	PEZ	6.5	1
PE80MC27	1	CARNE OVINO	6	1
PE80MC27	2	CARNE PORCINO	6	1
PE80MC27	3	LECHE	1	3
PE80MC27	4	QUESO	7	2
PE80MC27	5	HUEVOS	.300000011920929	2
PE80MC28	1	CARNE OVINO	6	1
PE80MC28	2	CARNE PORCINO	6	1
PE80MC28	3	TRUCHA	8	1
PE80MC28	4	QUESO	14	2
PE80MC29	1	CARNE OVINO	5	1
PE80MC29	2	CARNE RES	5	1
PE80MC29	3	LECHE	1	3
PE80MC29	4	HUEVOS	4	1
PE80MC30	1	CARNE DE RES	5	1
PE80MC30	2	CARNE DE QUINO	5	1
PE80MC30	3	HUEVOS	4	1
PE80MC30	4	QUESO	7	1
PE80MC31	1	CARNE LLAMA	3.5	1
PE80MC31	2	CARNE ALPACA	3.5	1
PE80MC31	3	CARNERO	4.5	1
PE80MC32	1	CARNES ROJAS	7	1
PE80MC32	2	HUEVOS	.200000002980232	2
PE80MC32	3	POLLO	6	1
PE80MC33	1	POLLO	6	1
PE80MC33	2	CARNERO	9	1
PE80MC33	3	CERDO	8	1
PE80MC34	1	POLLO	6	1
PE80MC34	2	PESCADO	4	1
PE80MC34	3	HUEVOS	1	4
PE80MC35	1	QUESO	8	1
PE80MC35	2	LECHE	1	3
PE80MC35	3	CHANCHO	8	1
PE80MC36	1	GALLINA	7	1
PE80MC36	2	LECHE	1	3
PE80MC36	3	HUEVO	4	1
PE80MC37	1	CARNE DE GALLINA	12	2
PE80MC37	2	CARNE DE RES	4	1
PE80MC37	3	CARNE DE CHANCHO	5	1
PE80MC38	1	LECHE	1	3
PE80MC38	2	QUESO	9	1
PE80MC38	3	QUESILLO	6	1
PE80MC38	4	CARNE DE RES	8	1
PE80MC39	1	POLLO	5	1
PE80MC39	2	HUEVOS	.200000002980232	2
PE80MC39	3	CARNE RES	8	1
PE80MC40	1	CHANCHO	6	1
PE80MC40	2	CARNE DE RES	8	1
PE80MC40	3	POLLO	7	1
PE80MC41	1	HUEVOS	.300000011920929	2
PE80MC41	2	CERDO	5	1
PE80MC41	3	GALLINA	8	1
PE80MC42	1	GALLINAS	20	2
PE80MC42	2	CUY	8	2
PE80MC42	3	CHANCHO	5	1
PE80MC43	1	POLLO	6	1
PE80MC43	2	PESCADO	3	1
PE80MC43	3	HUEVOS	3.79999995231628	1
PE80MC44	1	POLLO	5.5	1
PE80MC44	2	CARNE DE RES	16	1
PE80MC44	3	PESCADO	2.5	1
PE80MC45	1	POLLO	5.5	1
PE80MC45	2	CARNE	16	1
PE80MC45	3	PESCADO	2.5	1
PE80MC46	1	POLLO	5.5	1
PE80MC46	2	PESCADO	2	1
PE80MC46	3	(VISCERAS) HIGADO, MONDONGO	4	1
PE80MC47	1	PESCADO	6	1
PE80MC47	2	RES	8	1
PE80MC47	3	GALLINA	10	1
PE80MC48	1	GALLINA	15	2
PE80MC48	2	CUY	8	2
PE80MC48	3	HUEVOS	.300000011920929	2
PE80MC49	1	POLLO	5	1
PE80MC49	2	HUEVOS	.5	2
PE80MC49	3	CARNE	6	1
PE80MC50	1	POLLO	5	1
PE80MC50	2	HUEVOS	.5	2
PE80MC50	3	CARNE DE RES	6	1
PE80MC51	1	CARNE - CARNERO	4	1
PE80MC51	2	CUY	5	2
PE80MC51	3	GALLINA	6	1
PE80MC52	1	GALLINA	8	1
PE80MC52	2	PICURO	8	1
PE80MC52	3	SAJINO	8	1
PE80MC53	1	CARNERO	5	1
PE80MC53	2	RES (CHARQUI)	18	1
PE80MC53	3	HUEVO	.400000005960464	2
PE80MC54	1	POLLO	6	1
PE80MC54	2	HUEVO	3	1
PE80MC54	3	SAJINO	8	1
PE80MC55	1	PESCADO	3	1
PE80MC55	2	HUEVOS	3	1
PE80MC55	3	GALLINAS	8	1
PE80MC56	1	CUY	5	1
PE80MC56	2	OVEJA	7	1
PE80MC56	3	CABRA	5	1
PE80MC57	1	POLLO	6.5	1
PE80MC57	2	CARNE	10	1
PE80MC57	3	LECHE	2.20000004768372	4
PE80MC58	1	RES	11.5	1
PE80MC58	2	POLLO	7.80000019073486	1
PE80MC58	3	HUEVOS	4	1
PE80MC59	1	POLLO	6.19999980926514	1
PE80MC59	2	PESCADO	3	1
PE80MC59	3	RES	8	1
PE80MC60	1	POLLO	7	1
PE80MC60	2	PESCADO	12	1
PE80MC60	3	HUEVOS	4	1
PE80MC61	1	POLLO	6.80000019073486	1
PE80MC61	2	CARNE DE RES	13	1
PE80MC61	3	PESCADO	10	1
PE80MC62	1	QUESO	4	1
PE80MC62	2	CARNE	5	1
PE80MC62	3	PESCADO	4	1
PE80MC63	1	RES	5	1
PE80MC63	2	POLLO	6	1
PE80MC63	3	LECHE	1	3
PE80MC64	1	GALLINA	8	1
PE80MC64	2	CUY	10	4
PE80MC64	3	HUEVOS	.200000002980232	2
PE80MC65	1	RES	7	1
PE80MC65	2	POLLO	5.5	1
PE80MC65	3	PESCADO	3	1
PE80MC66	1	GALLINA	9	1
PE80MC66	2	CUY	10	2
PE80MC66	3	CHANCHO	6.5	1
PE80MC67	1	SAJINO	10	1
PE80MC67	2	TRUCHA	8	1
PE80MC67	3	POLLO	6	1
PE80MC68	1	CARNE	6.5	1
PE80MC68	2	TRUCHA	8	1
PE80MC68	3	QUESO	9	1
PE80MC69	1	CARNE  RES	8	1
PE80MC69	2	LECHE	2	3
PE80MC69	3	POLLO	6	1
PE80MC70	1	GALLINA	7	1
PE80MC70	2	POLLO GRANJA	6.40000009536743	1
PE80MC70	3	HUEVOS	3.79999995231628	1
