CHILDCODE	NONFODR4	SPYRR4
31020	1	500
31020	2	0
31020	3	0
31020	4	60
31020	5	450
31020	6	0
31020	7	0
31020	8	0
31021	1	0
31021	2	4800
31021	3	0
31021	4	0
31021	5	0
31021	6	2400
31021	7	0
31021	8	0
31022	1	0
31022	2	0
31022	3	0
31022	4	0
31022	5	200
31022	6	0
31022	7	180
31022	8	850
31023	1	600
31023	2	1600
31023	3	700
31023	4	0
31023	5	2000
31023	6	450
31023	7	350
31023	8	0
31024	1	3000
31024	2	350
31024	3	0
31024	4	0
31024	5	1200
31024	6	170
31024	7	0
31024	8	0
31026	1	900
31026	2	360
31026	3	0
31026	4	0
31026	5	1200
31026	6	300
31026	7	0
31026	8	0
31027	1	1000
31027	2	300
31027	3	0
31027	4	3000
31027	5	1000
31027	6	200
31027	7	0
31027	8	1000
31028	1	1000
31028	2	0
31028	3	0
31028	4	1500
31028	5	400
31028	6	60
31028	7	0
31028	8	350
31029	1	0
31029	2	100
31029	3	250
31029	4	0
31029	5	0
31029	6	0
31029	7	200
31029	8	0
31030	1	7000
31030	2	1100
31030	3	2200
31030	4	2000
31030	5	2740
31030	6	1150
31030	7	1800
31030	8	1680
31033	1	0
31033	2	0
31033	3	0
31033	4	0
31033	5	0
31033	6	300
31033	7	0
31033	8	0
31034	1	450
31034	2	500
31034	3	0
31034	4	0
31034	5	700
31034	6	400
31034	7	0
31034	8	0
31035	1	0
31035	2	0
31035	3	0
31035	4	0
31035	5	0
31035	6	0
31035	7	0
31035	8	0
31036	1	0
31036	2	0
31036	3	220
31036	4	0
31036	5	550
31036	6	40
31036	7	150
31036	8	130
31037	1	0
31037	2	0
31037	3	0
31037	4	0
31037	5	400
31037	6	90
31037	7	0
31037	8	0
31038	1	0
31038	2	2000
31038	3	0
31038	4	600
31038	5	0
31038	6	1000
31038	7	0
31038	8	75
31039	1	0
31039	2	3400
31039	3	0
31039	4	0
31039	5	0
31039	6	2100
31039	7	0
31039	8	0
31040	1	2400
31040	2	3150
31040	3	0
31040	4	600
31040	5	2800
31040	6	2400
31040	7	0
31040	8	1200
31042	1	0
31042	2	0
31042	3	0
31042	4	0
31042	5	0
31042	6	0
31042	7	0
31042	8	400
31043	1	0
31043	2	525
31043	3	120
31043	4	0
31043	5	0
31043	6	0
31043	7	110
31043	8	100
31044	1	350
31044	2	0
31044	3	420
31044	4	0
31044	5	130
31044	6	0
31044	7	0
31044	8	0
31045	1	0
31045	2	350
31045	3	0
31045	4	120
31045	5	0
31045	6	150
31045	7	0
31045	8	200
31046	1	300
31046	2	0
31046	3	0
31046	4	0
31046	5	450
31046	6	30
31046	7	0
31046	8	0
31048	1	1200
31048	2	2000
31048	3	0
31048	4	0
31048	5	700
31048	6	600
31048	7	0
31048	8	500
31050	1	610
31050	2	2160
31050	3	0
31050	4	610
31050	5	400
31050	6	1000
31050	7	0
31050	8	400
41001	1	1500
41001	2	600
41001	3	350
41001	4	50
41001	5	500
41001	6	40
41001	7	60
41001	8	10
41002	1	0
41002	2	420
41002	3	300
41002	4	0
41002	5	76
41002	6	280
41002	7	112
41002	8	340
41003	1	500
41003	2	300
41003	3	70
41003	4	50
41003	5	40
41003	6	60
41003	7	60
41003	8	50
41005	1	520
41005	2	1000
41005	3	0
41005	4	1000
41005	5	420
41005	6	320
41005	7	0
41005	8	960
41006	1	2800
41006	2	1520
41006	3	-88
41006	4	-88
41006	5	840
41006	6	320
41006	7	-88
41006	8	-88
41007	1	700
41007	2	0
41007	3	0
41007	4	0
41007	5	350
41007	6	35
41007	7	0
41007	8	0
41008	1	0
41008	2	650
41008	3	0
41008	4	300
41008	5	70
41008	6	120
41008	7	0
41008	8	70
41009	1	0
41009	2	0
41009	3	0
41009	4	0
41009	5	0
41009	6	0
41009	7	0
41009	8	0
41010	1	450
41010	2	1500
41010	3	500
41010	4	300
41010	5	600
41010	6	250
41010	7	450
41010	8	60
41011	1	1000
41011	2	1500
41011	3	0
41011	4	0
41011	5	380
41011	6	180
41011	7	0
41011	8	0
41012	1	500
41012	2	2000
41012	3	300
41012	4	200
41012	5	350
41012	6	690
41012	7	240
41012	8	250
41013	1	0
41013	2	0
41013	3	0
41013	4	0
41013	5	0
41013	6	70
41013	7	70
41013	8	0
41014	1	470
41014	2	820
41014	3	270
41014	4	200
41014	5	230
41014	6	160
41014	7	61
41014	8	100
41015	1	2000
41015	2	1000
41015	3	0
41015	4	700
41015	5	600
41015	6	600
41015	7	0
41015	8	300
41016	1	680
41016	2	0
41016	3	0
41016	4	0
41016	5	280
41016	6	0
41016	7	0
41016	8	0
41017	1	0
41017	2	0
41017	3	0
41017	4	0
41017	5	400
41017	6	55
41017	7	0
41017	8	0
41018	1	400
41018	2	1000
41018	3	500
41018	4	500
41018	5	600
41018	6	500
41018	7	100
41018	8	200
41020	1	0
41020	2	2200
41020	3	0
41020	4	0
41020	5	0
41020	6	2120
41020	7	0
41020	8	0
41021	1	0
41021	2	400
41021	3	350
41021	4	350
41021	5	30
41021	6	200
41021	7	30
41021	8	116
41022	1	1800
41022	2	800
41022	3	400
41022	4	800
41022	5	700
41022	6	300
41022	7	200
41022	8	500
41023	1	0
41023	2	0
41023	3	0
41023	4	0
41023	5	0
41023	6	65
41023	7	0
41023	8	60
41024	1	350
41024	2	300
41024	3	0
41024	4	550
41024	5	325
41024	6	200
41024	7	0
41024	8	140
41025	1	1300
41025	2	1270
41025	3	0
41025	4	680
41025	5	1400
41025	6	220
41025	7	0
41025	8	240
41026	1	300
41026	2	750
41026	3	150
41026	4	400
41026	5	0
41026	6	0
41026	7	30
41026	8	45
41027	1	380
41027	2	100
41027	3	200
41027	4	200
41027	5	90
41027	6	20
41027	7	30
41027	8	30
41028	1	0
41028	2	0
41028	3	0
41028	4	0
41028	5	0
41028	6	50
41028	7	0
41028	8	0
41029	1	500
41029	2	900
41029	3	300
41029	4	0
41029	5	500
41029	6	120
41029	7	80
41029	8	0
41030	1	-88
41030	2	500
41030	3	-88
41030	4	-88
41030	5	-88
41030	6	300
41030	7	-88
41030	8	-88
41031	1	1500
41031	2	3000
41031	3	1000
41031	4	0
41031	5	0
41031	6	1500
41031	7	300
41031	8	0
41032	1	500
41032	2	800
41032	3	300
41032	4	400
41032	5	150
41032	6	80
41032	7	28
41032	8	150
41034	1	200
41034	2	0
41034	3	470
41034	4	0
41034	5	20
41034	6	0
41034	7	90
41034	8	0
41035	1	650
41035	2	600
41035	3	500
41035	4	0
41035	5	700
41035	6	100
41035	7	100
41035	8	0
41036	1	0
41036	2	150
41036	3	190
41036	4	170
41036	5	40
41036	6	30
41036	7	90
41036	8	40
41037	1	0
41037	2	240
41037	3	310
41037	4	140
41037	5	35
41037	6	65
41037	7	85
41037	8	30
41038	1	370
41038	2	230
41038	3	0
41038	4	0
41038	5	130
41038	6	50
41038	7	85
41038	8	0
41039	1	600
41039	2	0
41039	3	0
41039	4	0
41039	5	400
41039	6	0
41039	7	0
41039	8	0
41040	1	0
41040	2	150
41040	3	0
41040	4	0
41040	5	0
41040	6	200
41040	7	60
41040	8	0
41041	1	600
41041	2	0
41041	3	0
41041	4	100
41041	5	340
41041	6	60
41041	7	0
41041	8	53
41042	1	1300
41042	2	1700
41042	3	500
41042	4	450
41042	5	500
41042	6	1100
41042	7	680
41042	8	540
41043	1	250
41043	2	1500
41043	3	500
41043	4	950
41043	5	50
41043	6	200
41043	7	60
41043	8	400
41044	1	0
41044	2	1800
41044	3	470
41044	4	0
41044	5	0
41044	6	300
41044	7	135
41044	8	0
41045	1	800
41045	2	800
41045	3	0
41045	4	1200
41045	5	80
41045	6	200
41045	7	0
41045	8	240
41046	1	3000
41046	2	0
41046	3	2000
41046	4	0
41046	5	1500
41046	6	0
41046	7	300
41046	8	0
41047	1	300
41047	2	400
41047	3	700
41047	4	200
41047	5	120
41047	6	80
41047	7	100
41047	8	60
41048	1	0
41048	2	2000
41048	3	0
41048	4	1000
41048	5	0
41048	6	1000
41048	7	0
41048	8	1000
41049	1	1000
41049	2	210
41049	3	0
41049	4	0
41049	5	500
41049	6	70
41049	7	0
41049	8	0
41050	1	700
41050	2	600
41050	3	0
41050	4	200
41050	5	300
41050	6	150
41050	7	0
41050	8	40
51001	1	0
51001	2	150
51001	3	0
51001	4	0
51001	5	210
51001	6	105
51001	7	0
51001	8	0
51002	1	400
51002	2	200
51002	3	0
51002	4	30
51002	5	300
51002	6	30
51002	7	0
51002	8	0
51003	1	1000
51003	2	1500
51003	3	200
51003	4	2000
51003	5	150
51003	6	550
51003	7	40
51003	8	400
51004	1	1325
51004	2	670
51004	3	0
51004	4	0
51004	5	261
51004	6	55
51004	7	0
51004	8	0
51005	1	300
51005	2	375
51005	3	180
51005	4	150
51005	5	70
51005	6	58
51005	7	17
51005	8	30
51006	1	700
51006	2	0
51006	3	0
51006	4	0
51006	5	200
51006	6	0
51006	7	0
51006	8	0
51007	1	380
51007	2	1360
51007	3	200
51007	4	150
51007	5	160
51007	6	414
51007	7	120
51007	8	28
51008	1	0
51008	2	200
51008	3	320
51008	4	0
51008	5	0
51008	6	0
51008	7	100
51008	8	0
51009	1	0
51009	2	600
51009	3	300
51009	4	700
51009	5	80
51009	6	150
51009	7	75
51009	8	300
51010	1	0
51010	2	380
51010	3	0
51010	4	0
51010	5	0
51010	6	40
51010	7	0
51010	8	0
51012	1	3000
51012	2	0
51012	3	0
51012	4	0
51012	5	0
51012	6	2000
51012	7	0
51012	8	0
51013	1	0
51013	2	200
51013	3	0
51013	4	0
51013	5	0
51013	6	40
51013	7	0
51013	8	0
51014	1	0
51014	2	710
51014	3	210
51014	4	0
51014	5	0
51014	6	70
51014	7	0
51014	8	0
51015	1	0
51015	2	330
51015	3	0
51015	4	290
51015	5	0
51015	6	92
51015	7	0
51015	8	125
51016	1	170
51016	2	200
51016	3	270
51016	4	140
51016	5	155
51016	6	40
51016	7	108
51016	8	50
51017	1	-88
51017	2	200
51017	3	-88
51017	4	-88
51017	5	-88
51017	6	27
51017	7	-88
51017	8	-88
51018	1	2000
51018	2	600
51018	3	0
