CHILDCODE	IMEVIDR4	RKEVR4	LOSS02R4	LOSS03R4	LOSS04R4	LOSS05R4	LOSS06R4	RESEVR41	RESEVR42	RESEVR43
31029	1	36	 	4	 	 	 	16	9	88
31029	2	47	 	 	4	4	 	2	1	16
31029	3	1	 	2	 	 	 	9	2	7
31030	1	47	 	 	4	4	4	2	88	88
31030	2	88	 	 	 	 	 	 	 	 
31030	3	88	 	 	 	 	 	 	 	 
31033	1	34	 	 	 	2	 	9	88	88
31033	2	37	 	 	 	3	 	9	7	88
31033	3	47	 	 	 	2	 	2	9	7
31034	1	16	 	 	 	3	 	2	7	88
31034	2	47	 	 	 	3	 	1	2	9
31034	3	88	 	 	 	 	 	 	 	 
31035	1	38	 	 	 	4	 	9	2	7
31035	2	16	 	 	 	4	 	2	9	7
31035	3	47	 	 	 	2	2	2	7	88
31036	1	37	 	 	 	4	 	17	15	6
31036	2	39	 	 	 	4	 	17	16	7
31036	3	47	 	 	2	3	 	1	2	6
31037	1	47	 	 	 	2	2	2	88	88
31037	2	39	 	 	 	3	4	2	88	88
31037	3	88	 	 	 	 	 	 	 	 
31038	1	47	 	 	 	 	4	2	1	7
31038	2	88	 	 	 	 	 	 	 	 
31038	3	88	 	 	 	 	 	 	 	 
31039	1	 	 	 	 	 	 	 	 	 
31039	2	 	 	 	 	 	 	 	 	 
31039	3	 	 	 	 	 	 	 	 	 
31040	1	47	 	 	 	 	2	2	88	88
31040	2	88	 	 	 	 	 	 	 	 
31040	3	88	 	 	 	 	 	 	 	 
31042	1	47	 	2	2	2	2	2	88	88
31042	2	88	 	 	 	 	 	 	 	 
31042	3	88	 	 	 	 	 	 	 	 
31043	1	16	4	4	4	4	4	2	1	88
31043	2	47	 	 	2	3	4	1	2	88
31043	3	37	 	 	 	2	 	9	88	88
31044	1	39	 	 	 	 	4	16	9	7
31044	2	38	3	 	 	 	 	2	12	8
31044	3	47	 	 	 	3	 	2	1	12
31045	1	39	4	 	 	 	 	23	88	88
31045	2	16	 	4	 	 	 	9	23	88
31045	3	47	 	 	 	4	4	2	1	88
31046	1	47	 	 	 	3	 	12	1	16
31046	2	39	 	 	 	 	2	9	7	7
31046	3	88	 	 	 	 	 	 	 	 
31048	1	 	 	 	 	 	 	 	 	 
31048	2	 	 	 	 	 	 	 	 	 
31048	3	 	 	 	 	 	 	 	 	 
31050	1	47	 	 	 	4	4	2	1	88
