CHILDCODE	ASSTIDR4	ASSETR4	NUMASSR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
41007	5	88	 	 	 	 	 
41007	6	88	 	 	 	 	 
41008	1	 	 	 	 	 	 
41008	2	 	 	 	 	 	 
41008	3	 	 	 	 	 	 
41008	4	 	 	 	 	 	 
41008	5	 	 	 	 	 	 
41008	6	 	 	 	 	 	 
41009	1	 	 	 	 	 	 
41009	2	 	 	 	 	 	 
41009	3	 	 	 	 	 	 
41009	4	 	 	 	 	 	 
41009	5	 	 	 	 	 	 
41009	6	 	 	 	 	 	 
41010	1	23	1	23	1	1000	0
41010	2	23	3	23	3	400	0
41010	3	88	 	 	 	 	 
41010	4	88	 	 	 	 	 
41010	5	88	 	 	 	 	 
41010	6	88	 	 	 	 	 
41011	1	 	 	 	 	 	 
41011	2	 	 	 	 	 	 
41011	3	 	 	 	 	 	 
41011	4	 	 	 	 	 	 
41011	5	 	 	 	 	 	 
41011	6	 	 	 	 	 	 
41012	1	30	2	11	2	-77	0
41012	2	88	 	 	 	 	 
41012	3	88	 	 	 	 	 
41012	4	88	 	 	 	 	 
41012	5	88	 	 	 	 	 
41012	6	88	 	 	 	 	 
41013	1	 	 	 	 	 	 
41013	2	 	 	 	 	 	 
41013	3	 	 	 	 	 	 
41013	4	 	 	 	 	 	 
41013	5	 	 	 	 	 	 
41013	6	 	 	 	 	 	 
41014	1	 	 	 	 	 	 
41014	2	 	 	 	 	 	 
41014	3	 	 	 	 	 	 
41014	4	 	 	 	 	 	 
41014	5	 	 	 	 	 	 
41014	6	 	 	 	 	 	 
41015	1	30	4	31	4	50000	0
41015	2	88	 	 	 	 	 
41015	3	88	 	 	 	 	 
41015	4	88	 	 	 	 	 
41015	5	88	 	 	 	 	 
41015	6	88	 	 	 	 	 
41016	1	 	 	 	 	 	 
41016	2	 	 	 	 	 	 
41016	3	 	 	 	 	 	 
41016	4	 	 	 	 	 	 
41016	5	 	 	 	 	 	 
41016	6	 	 	 	 	 	 
41017	1	30	3	31	3	100000	0
41017	2	22	8	22	8	800	0
41017	3	88	 	 	 	 	 
41017	4	88	 	 	 	 	 
41017	5	88	 	 	 	 	 
41017	6	88	 	 	 	 	 
41018	1	 	 	 	 	 	 
41018	2	 	 	 	 	 	 
41018	3	 	 	 	 	 	 
41018	4	 	 	 	 	 	 
41018	5	 	 	 	 	 	 
41018	6	 	 	 	 	 	 
41020	1	 	 	 	 	 	 
41020	2	 	 	 	 	 	 
41020	3	 	 	 	 	 	 
41020	4	 	 	 	 	 	 
41020	5	 	 	 	 	 	 
41020	6	 	 	 	 	 	 
41021	1	 	 	 	 	 	 
41021	2	 	 	 	 	 	 
41021	3	 	 	 	 	 	 
41021	4	 	 	 	 	 	 
41021	5	 	 	 	 	 	 
41021	6	 	 	 	 	 	 
41022	1	1	6	11	6	500	1
41022	2	88	 	 	 	 	 
41022	3	88	 	 	 	 	 
41022	4	88	 	 	 	 	 
41022	5	88	 	 	 	 	 
41022	6	88	 	 	 	 	 
41023	1	 	 	 	 	 	 
41023	2	 	 	 	 	 	 
41023	3	 	 	 	 	 	 
41023	4	 	 	 	 	 	 
41023	5	 	 	 	 	 	 
41023	6	 	 	 	 	 	 
41024	1	24	1	23	1	20000	1
41024	2	88	 	 	 	 	 
41024	3	88	 	 	 	 	 
41024	4	88	 	 	 	 	 
41024	5	88	 	 	 	 	 
41024	6	88	 	 	 	 	 
41025	1	 	 	 	 	 	 
41025	2	 	 	 	 	 	 
41025	3	 	 	 	 	 	 
41025	4	 	 	 	 	 	 
41025	5	 	 	 	 	 	 
41025	6	 	 	 	 	 	 
41026	1	 	 	 	 	 	 
41026	2	 	 	 	 	 	 
41026	3	 	 	 	 	 	 
41026	4	 	 	 	 	 	 
41026	5	 	 	 	 	 	 
41026	6	 	 	 	 	 	 
41027	1	13	2	7	2	40	0
41027	2	88	 	 	 	 	 
41027	3	88	 	 	 	 	 
41027	4	88	 	 	 	 	 
41027	5	88	 	 	 	 	 
41027	6	88	 	 	 	 	 
41028	1	 	 	 	 	 	 
41028	2	 	 	 	 	 	 
41028	3	 	 	 	 	 	 
41028	4	 	 	 	 	 	 
41028	5	 	 	 	 	 	 
41028	6	 	 	 	 	 	 
41029	1	 	 	 	 	 	 
41029	2	 	 	 	 	 	 
41029	3	 	 	 	 	 	 
41029	4	 	 	 	 	 	 
41029	5	 	 	 	 	 	 
41029	6	 	 	 	 	 	 
41030	1	 	 	 	 	 	 
41030	2	 	 	 	 	 	 
41030	3	 	 	 	 	 	 
41030	4	 	 	 	 	 	 
41030	5	 	 	 	 	 	 
41030	6	 	 	 	 	 	 
41031	1	 	 	 	 	 	 
41031	2	 	 	 	 	 	 
41031	3	 	 	 	 	 	 
41031	4	 	 	 	 	 	 
41031	5	 	 	 	 	 	 
41031	6	 	 	 	 	 	 
41032	1	30	4	26	4	437	0
41032	2	88	 	 	 	 	 
41032	3	88	 	 	 	 	 
41032	4	88	 	 	 	 	 
41032	5	88	 	 	 	 	 
41032	6	88	 	 	 	 	 
41034	1	4	5	11	5	120	0
41034	2	88	 	 	 	 	 
41034	3	88	 	 	 	 	 
41034	4	88	 	 	 	 	 
41034	5	88	 	 	 	 	 
41034	6	88	 	 	 	 	 
41035	1	30	2	31	2	50000	0
41035	2	88	 	 	 	 	 
41035	3	88	 	 	 	 	 
41035	4	88	 	 	 	 	 
41035	5	88	 	 	 	 	 
41035	6	88	 	 	 	 	 
41036	1	 	 	 	 	 	 
41036	2	 	 	 	 	 	 
41036	3	 	 	 	 	 	 
41036	4	 	 	 	 	 	 
41036	5	 	 	 	 	 	 
41036	6	 	 	 	 	 	 
41037	1	13	1	26	1	250	0
41037	2	88	 	 	 	 	 
41037	3	88	 	 	 	 	 
41037	4	88	 	 	 	 	 
41037	5	88	 	 	 	 	 
41037	6	88	 	 	 	 	 
41038	1	12	7	26	0	 	 
41038	2	88	 	 	 	 	 
41038	3	88	 	 	 	 	 
41038	4	88	 	 	 	 	 
41038	5	88	 	 	 	 	 
41038	6	88	 	 	 	 	 
41039	1	 	 	 	 	 	 
41039	2	 	 	 	 	 	 
41039	3	 	 	 	 	 	 
41039	4	 	 	 	 	 	 
41039	5	 	 	 	 	 	 
41039	6	 	 	 	 	 	 
41040	1	 	 	 	 	 	 
41040	2	 	 	 	 	 	 
41040	3	 	 	 	 	 	 
41040	4	 	 	 	 	 	 
41040	5	 	 	 	 	 	 
41040	6	 	 	 	 	 	 
41041	1	13	3	7	3	330	1
41041	2	26	3	25	3	7	1
41041	3	88	 	 	 	 	 
41041	4	88	 	 	 	 	 
41041	5	88	 	 	 	 	 
41041	6	88	 	 	 	 	 
41042	1	 	 	 	 	 	 
41042	2	 	 	 	 	 	 
41042	3	 	 	 	 	 	 
41042	4	 	 	 	 	 	 
41042	5	 	 	 	 	 	 
41042	6	 	 	 	 	 	 
41043	1	15	5	12	5	300	1
41043	2	30	1	12	1	4500	1
41043	3	88	 	 	 	 	 
41043	4	88	 	 	 	 	 
41043	5	88	 	 	 	 	 
41043	6	88	 	 	 	 	 
41044	1	 	 	 	 	 	 
41044	2	 	 	 	 	 	 
41044	3	 	 	 	 	 	 
41044	4	 	 	 	 	 	 
41044	5	 	 	 	 	 	 
41044	6	 	 	 	 	 	 
41045	1	13	5	7	5	1500	1
41045	2	88	 	 	 	 	 
41045	3	88	 	 	 	 	 
41045	4	88	 	 	 	 	 
41045	5	88	 	 	 	 	 
41045	6	88	 	 	 	 	 
41046	1	 	 	 	 	 	 
41046	2	 	 	 	 	 	 
41046	3	 	 	 	 	 	 
41046	4	 	 	 	 	 	 
41046	5	 	 	 	 	 	 
41046	6	 	 	 	 	 	 
41047	1	30	1	26	1	15000	1
41047	2	30	6	31	6	30000	1
41047	3	88	 	 	 	 	 
41047	4	88	 	 	 	 	 
41047	5	88	 	 	 	 	 
41047	6	88	 	 	 	 	 
41048	1	30	50	26	50	6000	1
41048	2	88	 	 	 	 	 
41048	3	88	 	 	 	 	 
41048	4	88	 	 	 	 	 
41048	5	88	 	 	 	 	 
41048	6	88	 	 	 	 	 
41049	1	 	 	 	 	 	 
41049	2	 	 	 	 	 	 
41049	3	 	 	 	 	 	 
41049	4	 	 	 	 	 	 
41049	5	 	 	 	 	 	 
41049	6	 	 	 	 	 	 
41050	1	1	1	11	1	10	1
41050	2	19	2	26	2	500	1
41050	3	88	 	 	 	 	 
41050	4	88	 	 	 	 	 
41050	5	88	 	 	 	 	 
41050	6	88	 	 	 	 	 
51001	1	1	2	11	2	75	1
51001	2	88	 	 	 	 	 
51001	3	88	 	 	 	 	 
51001	4	88	 	 	 	 	 
51001	5	88	 	 	 	 	 
51001	6	88	 	 	 	 	 
51002	1	 	 	 	 	 	 
51002	2	 	 	 	 	 	 
51002	3	 	 	 	 	 	 
51002	4	 	 	 	 	 	 
51002	5	 	 	 	 	 	 
51002	6	 	 	 	 	 	 
51003	1	15	32	12	32	24880	1
51003	2	88	 	 	 	 	 
51003	3	88	 	 	 	 	 
51003	4	88	 	 	 	 	 
51003	5	88	 	 	 	 	 
51003	6	88	 	 	 	 	 
51004	1	8	3	11	3	150	1
51004	2	4	1	11	1	100	1
51004	3	1	3	11	3	75	1
51004	4	88	 	 	 	 	 
51004	5	88	 	 	 	 	 
51004	6	88	 	 	 	 	 
51005	1	13	2	14	2	170	0
51005	2	88	 	 	 	 	 
51005	3	88	 	 	 	 	 
51005	4	88	 	 	 	 	 
51005	5	88	 	 	 	 	 
51005	6	88	 	 	 	 	 
51006	1	 	 	 	 	 	 
51006	2	 	 	 	 	 	 
51006	3	 	 	 	 	 	 
51006	4	 	 	 	 	 	 
51006	5	 	 	 	 	 	 
51006	6	 	 	 	 	 	 
51007	1	1	16	11	16	550	0
51007	2	88	 	 	 	 	 
51007	3	88	 	 	 	 	 
51007	4	88	 	 	 	 	 
51007	5	88	 	 	 	 	 
51007	6	88	 	 	 	 	 
51008	1	15	9	12	6	210	1
51008	2	88	 	 	 	 	 
51008	3	88	 	 	 	 	 
51008	4	88	 	 	 	 	 
51008	5	88	 	 	 	 	 
51008	6	88	 	 	 	 	 
51009	1	1	9	11	9	260	1
51009	2	88	 	 	 	 	 
51009	3	88	 	 	 	 	 
51009	4	88	 	 	 	 	 
51009	5	88	 	 	 	 	 
51009	6	88	 	 	 	 	 
51010	1	 	 	 	 	 	 
51010	2	 	 	 	 	 	 
51010	3	 	 	 	 	 	 
51010	4	 	 	 	 	 	 
51010	5	 	 	 	 	 	 
51010	6	 	 	 	 	 	 
51012	1	 	 	 	 	 	 
51012	2	 	 	 	 	 	 
51012	3	 	 	 	 	 	 
51012	4	 	 	 	 	 	 
51012	5	 	 	 	 	 	 
51012	6	 	 	 	 	 	 
51013	1	 	 	 	 	 	 
51013	2	 	 	 	 	 	 
51013	3	 	 	 	 	 	 
51013	4	 	 	 	 	 	 
51013	5	 	 	 	 	 	 
51013	6	 	 	 	 	 	 
51014	1	 	 	 	 	 	 
51014	2	 	 	 	 	 	 
51014	3	 	 	 	 	 	 
51014	4	 	 	 	 	 	 
51014	5	 	 	 	 	 	 
51014	6	 	 	 	 	 	 
51015	1	30	2	26	2	150	1
51015	2	88	 	 	 	 	 
51015	3	88	 	 	 	 	 
51015	4	88	 	 	 	 	 
51015	5	88	 	 	 	 	 
51015	6	88	 	 	 	 	 
51016	1	1	8	11	8	350	1
51016	2	88	 	 	 	 	 
51016	3	88	 	 	 	 	 
51016	4	88	 	 	 	 	 
51016	5	88	 	 	 	 	 
51016	6	88	 	 	 	 	 
51017	1	 	 	 	 	 	 
51017	2	 	 	 	 	 	 
51017	3	 	 	 	 	 	 
51017	4	 	 	 	 	 	 
51017	5	 	 	 	 	 	 
51017	6	 	 	 	 	 	 
51018	1	8	1	11	1	200	1
51018	2	4	1	11	1	150	1
51018	3	1	3	11	3	110	1
51018	4	88	 	 	 	 	 
51018	5	88	 	 	 	 	 
51018	6	88	 	 	 	 	 
51019	1	1	8	11	8	480	1
51019	2	4	3	11	3	500	1
51019	3	1	8	11	8	480	1
51019	4	88	 	 	 	 	 
51019	5	88	 	 	 	 	 
51019	6	88	 	 	 	 	 
51021	1	 	 	 	 	 	 
51021	2	 	 	 	 	 	 
51021	3	 	 	 	 	 	 
51021	4	 	 	 	 	 	 
51021	5	 	 	 	 	 	 
51021	6	 	 	 	 	 	 
51022	1	30	2	26	2	5000	1
51022	2	88	 	 	 	 	 
51022	3	88	 	 	 	 	 
51022	4	88	 	 	 	 	 
51022	5	88	 	 	 	 	 
51022	6	88	 	 	 	 	 
51023	1	 	 	 	 	 	 
51023	2	 	 	 	 	 	 
51023	3	 	 	 	 	 	 
51023	4	 	 	 	 	 	 
51023	5	 	 	 	 	 	 
51023	6	 	 	 	 	 	 
51024	1	30	2	26	2	8000	1
51024	2	88	 	 	 	 	 
51024	3	88	 	 	 	 	 
51024	4	88	 	 	 	 	 
51024	5	88	 	 	 	 	 
51024	6	88	 	 	 	 	 
51025	1	4	2	11	2	300	0
51025	2	1	5	11	5	280	0
51025	3	88	 	 	 	 	 
51025	4	88	 	 	 	 	 
51025	5	88	 	 	 	 	 
51025	6	88	 	 	 	 	 
51026	1	 	 	 	 	 	 
51026	2	 	 	 	 	 	 
51026	3	 	 	 	 	 	 
51026	4	 	 	 	 	 	 
51026	5	 	 	 	 	 	 
51026	6	 	 	 	 	 	 
51027	1	30	1	26	1	6000	1
51027	2	15	7	26	7	490	1
51027	3	88	 	 	 	 	 
51027	4	88	 	 	 	 	 
51027	5	88	 	 	 	 	 
51027	6	88	 	 	 	 	 
51028	1	30	2	26	2	9000	0
51028	2	88	 	 	 	 	 
51028	3	88	 	 	 	 	 
51028	4	88	 	 	 	 	 
51028	5	88	 	 	 	 	 
51028	6	88	 	 	 	 	 
51029	1	25	2	24	0	 	 
51029	2	88	 	 	 	 	 
51029	3	88	 	 	 	 	 
51029	4	88	 	 	 	 	 
51029	5	88	 	 	 	 	 
51029	6	88	 	 	 	 	 
51030	1	30	1	26	1	8000	1
51030	2	88	 	 	 	 	 
51030	3	88	 	 	 	 	 
51030	4	88	 	 	 	 	 
51030	5	88	 	 	 	 	 
51030	6	88	 	 	 	 	 
51031	1	30	1	31	1	9000	1
51031	2	15	4	26	4	600	1
51031	3	88	 	 	 	 	 
51031	4	88	 	 	 	 	 
51031	5	88	 	 	 	 	 
51031	6	88	 	 	 	 	 
51032	1	1	7	11	7	600	1
51032	2	88	 	 	 	 	 
51032	3	88	 	 	 	 	 
51032	4	88	 	 	 	 	 
51032	5	88	 	 	 	 	 
51032	6	88	 	 	 	 	 
51033	1	1	8	11	8	280	1
51033	2	88	 	 	 	 	 
51033	3	88	 	 	 	 	 
51033	4	88	 	 	 	 	 
51033	5	88	 	 	 	 	 
51033	6	88	 	 	 	 	 
51034	1	 	 	 	 	 	 
51034	2	 	 	 	 	 	 
51034	3	 	 	 	 	 	 
51034	4	 	 	 	 	 	 
51034	5	 	 	 	 	 	 
51034	6	 	 	 	 	 	 
51035	1	1	11	11	11	540	1
51035	2	88	 	 	 	 	 
51035	3	88	 	 	 	 	 
51035	4	88	 	 	 	 	 
51035	5	88	 	 	 	 	 
51035	6	88	 	 	 	 	 
51036	1	1	5	11	5	185	1
51036	2	88	 	 	 	 	 
51036	3	88	 	 	 	 	 
51036	4	88	 	 	 	 	 
51036	5	88	 	 	 	 	 
51036	6	88	 	 	 	 	 
51038	1	15	2	26	2	11600	1
51038	2	88	 	 	 	 	 
51038	3	88	 	 	 	 	 
51038	4	88	 	 	 	 	 
51038	5	88	 	 	 	 	 
51038	6	88	 	 	 	 	 
51039	1	1	10	11	10	470	1
51039	2	88	 	 	 	 	 
51039	3	88	 	 	 	 	 
51039	4	88	 	 	 	 	 
51039	5	88	 	 	 	 	 
51039	6	88	 	 	 	 	 
51040	1	8	1	11	1	250	1
51040	2	4	1	11	1	100	1
51040	3	1	2	11	2	60	1
51040	4	79	 	 	 	 	 
51040	5	88	 	 	 	 	 
51040	6	88	 	 	 	 	 
51041	1	 	 	 	 	 	 
51041	2	 	 	 	 	 	 
51041	3	 	 	 	 	 	 
51041	4	 	 	 	 	 	 
51041	5	 	 	 	 	 	 
51041	6	 	 	 	 	 	 
51042	1	 	 	 	 	 	 
51042	2	 	 	 	 	 	 
51042	3	 	 	 	 	 	 
51042	4	 	 	 	 	 	 
51042	5	 	 	 	 	 	 
51042	6	 	 	 	 	 	 
51043	1	 	 	 	 	 	 
51043	2	 	 	 	 	 	 
51043	3	 	 	 	 	 	 
51043	4	 	 	 	 	 	 
51043	5	 	 	 	 	 	 
51043	6	 	 	 	 	 	 
51044	1	1	17	11	17	700	1
51044	2	88	 	 	 	 	 
51044	3	88	 	 	 	 	 
51044	4	88	 	 	 	 	 
51044	5	88	 	 	 	 	 
51044	6	88	 	 	 	 	 
51045	1	1	1	11	1	200	0
51045	2	1	1	11	1	100	0
51045	3	1	1	11	1	50	0
51045	4	1	1	11	1	30	0
51045	5	88	 	 	 	 	 
51045	6	88	 	 	 	 	 
51046	1	 	 	 	 	 	 
51046	2	 	 	 	 	 	 
51046	3	 	 	 	 	 	 
51046	4	 	 	 	 	 	 
51046	5	 	 	 	 	 	 
51046	6	 	 	 	 	 	 
51047	1	15	5	26	5	300	1
51047	2	88	 	 	 	 	 
51047	3	88	 	 	 	 	 
51047	4	88	 	 	 	 	 
51047	5	88	 	 	 	 	 
51047	6	88	 	 	 	 	 
51048	1	 	 	 	 	 	 
51048	2	 	 	 	 	 	 
51048	3	 	 	 	 	 	 
51048	4	 	 	 	 	 	 
51048	5	 	 	 	 	 	 
51048	6	 	 	 	 	 	 
51049	1	15	3	12	3	150	1
51049	2	88	 	 	 	 	 
51049	3	88	 	 	 	 	 
51049	4	88	 	 	 	 	 
51049	5	88	 	 	 	 	 
51049	6	88	 	 	 	 	 
51050	1	15	2	12	2	320	0
51050	2	15	2	12	2	170	0
51050	3	15	2	12	2	60	0
51050	4	15	2	12	2	35	0
51050	5	15	15	12	15	75	0
51050	6	15	2	12	2	45	0
61002	1	1	6	11	6	160	1
61002	2	4	1	11	1	100	0
61002	3	88	 	 	 	 	 
61002	4	88	 	 	 	 	 
61002	5	88	 	 	 	 	 
61002	6	88	 	 	 	 	 
61003	1	 	 	 	 	 	 
61003	2	 	 	 	 	 	 
61003	3	 	 	 	 	 	 
61003	4	 	 	 	 	 	 
61003	5	 	 	 	 	 	 
61003	6	 	 	 	 	 	 
61004	1	1	16	11	16	325	0
61004	2	4	2	11	2	100	0
61004	3	3	1	11	0	 	 
61004	4	5	1	11	0	 	 
61004	5	13	3	7	3	125	0
61004	6	21	4	21	4	26	0
61005	1	1	7	11	7	265	0
61005	2	4	1	11	1	100	0
61005	3	88	 	 	 	 	 
61005	4	88	 	 	 	 	 
61005	5	88	 	 	 	 	 
61005	6	88	 	 	 	 	 
61007	1	1	2	11	2	30	0
61007	2	4	1	11	0	 	 
61007	3	88	 	 	 	 	 
61007	4	88	 	 	 	 	 
61007	5	88	 	 	 	 	 
61007	6	88	 	 	 	 	 
61008	1	1	13	11	12	158	0
61008	2	4	7	11	7	180	0
61008	3	88	 	 	 	 	 
61008	4	88	 	 	 	 	 
61008	5	88	 	 	 	 	 
61008	6	88	 	 	 	 	 
61009	1	1	8	11	8	131	0
61009	2	4	3	11	3	60	1
61009	3	3	1	11	0	 	 
61009	4	5	1	11	0	 	 
61009	5	16	1	20	0	 	 
61009	6	88	 	 	 	 	 
61010	1	4	7	11	7	170	0
61010	2	1	8	11	8	262	0
61010	3	88	 	 	 	 	 
61010	4	88	 	 	 	 	 
61010	5	88	 	 	 	 	 
61010	6	88	 	 	 	 	 
61011	1	1	7	11	7	190	1
61011	2	4	5	11	5	290	1
61011	3	88	 	 	 	 	 
61011	4	88	 	 	 	 	 
61011	5	88	 	 	 	 	 
61011	6	88	 	 	 	 	 
61012	1	1	17	11	17	282	0
61012	2	4	1	11	1	30	0
61012	3	88	 	 	 	 	 
61012	4	88	 	 	 	 	 
61012	5	88	 	 	 	 	 
61012	6	88	 	 	 	 	 
61014	1	1	6	11	6	160	1
61014	2	4	5	11	5	120	1
61014	3	88	 	 	 	 	 
61014	4	88	 	 	 	 	 
61014	5	88	 	 	 	 	 
61014	6	88	 	 	 	 	 
61015	1	1	15	11	15	466	0
61015	2	4	1	11	1	150	0
61015	3	88	 	 	 	 	 
61015	4	88	 	 	 	 	 
61015	5	88	 	 	 	 	 
61015	6	88	 	 	 	 	 
61016	1	1	15	11	14	420	0
61016	2	4	9	11	9	120	0
61016	3	5	1	11	1	6000	0
61016	4	3	3	11	0	 	 
61016	5	88	 	 	 	 	 
61016	6	88	 	 	 	 	 
61018	1	 	 	 	 	 	 
61018	2	 	 	 	 	 	 
61018	3	 	 	 	 	 	 
61018	4	 	 	 	 	 	 
61018	5	 	 	 	 	 	 
61018	6	 	 	 	 	 	 
61019	1	1	10	11	10	310	0
61019	2	4	2	11	2	80	0
61019	3	88	 	 	 	 	 
61019	4	88	 	 	 	 	 
61019	5	88	 	 	 	 	 
61019	6	88	 	 	 	 	 
61020	1	1	16	11	16	266	0
61020	2	4	2	11	2	100	0
61020	3	3	1	11	1	400	0
61020	4	5	1	11	1	9000	0
61020	5	23	1	23	0	 	 
61020	6	88	 	 	 	 	 
61021	1	1	11	11	11	148	0
61021	2	4	1	11	1	50	0
61021	3	88	 	 	 	 	 
61021	4	88	 	 	 	 	 
61021	5	88	 	 	 	 	 
61021	6	88	 	 	 	 	 
61022	1	1	12	11	12	200	0
61022	2	4	6	11	6	150	0
61022	3	88	 	 	 	 	 
61022	4	88	 	 	 	 	 
61022	5	88	 	 	 	 	 
61022	6	88	 	 	 	 	 
61023	1	4	5	11	5	100	1
61023	2	1	6	11	0	 	 
61023	3	5	1	11	0	 	 
61023	4	88	 	 	 	 	 
61023	5	88	 	 	 	 	 
61023	6	88	 	 	 	 	 
61024	1	1	7	11	7	170	0
61024	2	4	1	11	1	100	0
61024	3	88	 	 	 	 	 
61024	4	88	 	 	 	 	 
61024	5	88	 	 	 	 	 
61024	6	88	 	 	 	 	 
61025	1	21	1	21	1	1	0
61025	2	88	 	 	 	 	 
61025	3	88	 	 	 	 	 
61025	4	88	 	 	 	 	 
61025	5	88	 	 	 	 	 
61025	6	88	 	 	 	 	 
61026	1	1	6	11	6	190	0
61026	2	4	1	11	1	100	0
61026	3	88	 	 	 	 	 
61026	4	88	 	 	 	 	 
61026	5	88	 	 	 	 	 
61026	6	88	 	 	 	 	 
61027	1	1	13	11	13	310	0
61027	2	4	10	11	10	290	0
61027	3	88	 	 	 	 	 
61027	4	88	 	 	 	 	 
61027	5	88	 	 	 	 	 
61027	6	88	 	 	 	 	 
61029	1	1	8	11	6	205	0
61029	2	4	4	11	4	178	0
61029	3	88	 	 	 	 	 
61029	4	88	 	 	 	 	 
61029	5	88	 	 	 	 	 
61029	6	88	 	 	 	 	 
61031	1	1	6	11	6	60	1
61031	2	4	5	11	0	 	 
61031	3	88	 	 	 	 	 
61031	4	88	 	 	 	 	 
61031	5	88	 	 	 	 	 
61031	6	88	 	 	 	 	 
61033	1	1	12	11	12	420	1
61033	2	4	10	11	10	280	1
61033	3	88	 	 	 	 	 
61033	4	88	 	 	 	 	 
61033	5	88	 	 	 	 	 
61033	6	88	 	 	 	 	 
61034	1	1	17	11	17	567	0
61034	2	4	2	11	2	200	0
61034	3	88	 	 	 	 	 
61034	4	88	 	 	 	 	 
61034	5	88	 	 	 	 	 
61034	6	88	 	 	 	 	 
61036	1	3	1	11	1	200	0
61036	2	4	1	11	1	140	0
61036	3	1	14	11	14	83	0
61036	4	88	 	 	 	 	 
61036	5	88	 	 	 	 	 
61036	6	88	 	 	 	 	 
61037	1	1	7	11	5	265	0
61037	2	4	1	11	1	100	0
61037	3	88	 	 	 	 	 
61037	4	88	 	 	 	 	 
61037	5	88	 	 	 	 	 
61037	6	88	 	 	 	 	 
61038	1	1	9	11	9	125	0
61038	2	4	1	11	1	100	0
61038	3	88	 	 	 	 	 
61038	4	88	 	 	 	 	 
61038	5	88	 	 	 	 	 
61038	6	88	 	 	 	 	 
61039	1	1	18	11	18	550	0
61039	2	4	2	11	2	80	0
61039	3	3	1	11	0	 	 
61039	4	88	 	 	 	 	 
61039	5	88	 	 	 	 	 
61039	6	88	 	 	 	 	 
61041	1	 	 	 	 	 	 
61041	2	 	 	 	 	 	 
61041	3	 	 	 	 	 	 
61041	4	 	 	 	 	 	 
61041	5	 	 	 	 	 	 
61041	6	 	 	 	 	 	 
61044	1	1	18	11	18	630	0
61044	2	4	2	11	2	100	0
61044	3	5	1	11	0	 	 
61044	4	3	1	11	0	 	 
61044	5	88	 	 	 	 	 
61044	6	88	 	 	 	 	 
61046	1	1	9	11	9	200	0
61046	2	4	5	11	5	104	0
61046	3	88	 	 	 	 	 
61046	4	88	 	 	 	 	 
61046	5	88	 	 	 	 	 
61046	6	88	 	 	 	 	 
61047	1	 	 	 	 	 	 
61047	2	 	 	 	 	 	 
61047	3	 	 	 	 	 	 
61047	4	 	 	 	 	 	 
61047	5	 	 	 	 	 	 
61047	6	 	 	 	 	 	 
61049	1	1	10	11	9	220	0
61049	2	4	9	11	9	210	0
61049	3	15	6	12	6	550	0
61049	4	88	 	 	 	 	 
61049	5	88	 	 	 	 	 
61049	6	88	 	 	 	 	 
61050	1	1	22	11	22	538	0
61050	2	4	2	11	2	200	0
61050	3	88	 	 	 	 	 
61050	4	88	 	 	 	 	 
61050	5	88	 	 	 	 	 
61050	6	88	 	 	 	 	 
61051	1	1	10	11	10	210	0
61051	2	4	8	11	8	302	0
61051	3	88	 	 	 	 	 
61051	4	88	 	 	 	 	 
61051	5	88	 	 	 	 	 
61051	6	88	 	 	 	 	 
61052	1	1	14	11	14	162	0
61052	2	4	2	11	2	60	0
61052	3	13	2	7	0	 	 
61052	4	3	1	11	0	 	 
61052	5	5	1	11	0	 	 
61052	6	88	 	 	 	 	 
61054	1	1	11	11	11	88	0
61054	2	21	4	21	4	10	0
61054	3	88	 	 	 	 	 
61054	4	88	 	 	 	 	 
61054	5	88	 	 	 	 	 
61054	6	88	 	 	 	 	 
61056	1	15	34	12	34	731	1
61056	2	88	 	 	 	 	 
61056	3	88	 	 	 	 	 
61056	4	88	 	 	 	 	 
61056	5	88	 	 	 	 	 
61056	6	88	 	 	 	 	 
61057	1	 	 	 	 	 	 
61057	2	 	 	 	 	 	 
61057	3	 	 	 	 	 	 
61057	4	 	 	 	 	 	 
61057	5	 	 	 	 	 	 
61057	6	 	 	 	 	 	 
61058	1	1	6	11	6	195	0
61058	2	88	 	 	 	 	 
61058	3	88	 	 	 	 	 
61058	4	88	 	 	 	 	 
61058	5	88	 	 	 	 	 
61058	6	88	 	 	 	 	 
61059	1	1	11	11	1	190	0
61059	2	4	1	11	1	50	0
61059	3	8	1	5	1	20	0
61059	4	88	 	 	 	 	 
61059	5	88	 	 	 	 	 
61059	6	88	 	 	 	 	 
71001	1	1	9	11	9	91	0
71001	2	4	8	11	8	222	0
71001	3	88	 	 	 	 	 
71001	4	88	 	 	 	 	 
71001	5	88	 	 	 	 	 
71001	6	88	 	 	 	 	 
71002	1	13	6	7	6	200	0
71002	2	88	 	 	 	 	 
71002	3	88	 	 	 	 	 
71002	4	88	 	 	 	 	 
71002	5	88	 	 	 	 	 
71002	6	88	 	 	 	 	 
71003	1	1	13	11	11	280	0
71003	2	4	2	11	2	120	0
71003	3	2	1	24	1	1000	0
71003	4	88	 	 	 	 	 
71003	5	88	 	 	 	 	 
71003	6	88	 	 	 	 	 
71004	1	4	9	11	9	304	0
71004	2	1	10	11	10	275	0
71004	3	88	 	 	 	 	 
71004	4	88	 	 	 	 	 
71004	5	88	 	 	 	 	 
71004	6	88	 	 	 	 	 
