CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
71010	6	15	5	2002	9999	5	1
71010	7	17	6	2002	9999	5	80
71010	8	26	6	2002	9999	7	80
71011	1	1	5	2004	9999	4	80
71011	2	3	39	1997	9999	7	80
71011	3	4	39	1997	9999	7	80
71011	4	5	13	2005	9999	4	17
71012	1	1	5	1994	9999	10	1
71013	2	1	5	2002	9999	8	1
71013	3	3	39	2001	2005	5	80
71013	4	4	39	2001	2005	5	80
71014	1	5	13	2005	9999	4	0
71014	2	1	5	2002	9999	4	22
71015	1	3	39	1999	2004	8	80
71015	2	4	39	1999	2004	8	80
71015	3	8	6	2002	9999	4	2
71015	4	17	55	2002	9999	4	80
71015	5	7	6	2003	2003	11	90
71015	6	26	55	2002	9999	4	80
71016	1	1	5	1999	9999	10	1
71016	3	8	6	2002	9999	8	2
71016	5	13	5	1999	9999	4	1
71017	1	1	5	2000	9999	10	2
71017	2	28	39	2001	2005	9	80
71018	1	1	5	1983	9999	10	2
71018	2	3	39	1998	9999	7	80
71018	3	4	39	1998	9999	7	80
71018	4	5	13	2005	9999	4	2
71018	5	5	15	1994	9999	10	2
71019	1	1	5	2002	9999	10	2
71019	3	28	15	2002	2006	10	2
71019	4	7	55	2002	9999	8	2
71019	5	8	55	2002	9999	8	80
71019	7	11	55	2002	2006	6	2
71019	8	17	55	2002	2006	9	80
71019	11	30	1	2002	9999	4	2
71019	12	15	1	2002	9999	6	2
71020	1	1	5	2002	999	7	1
71020	2	5	13	2005	9999	4	1
71021	1	5	13	2006	9999	4	3
71021	2	1	5	1999	9999	5	1
71022	2	5	13	2002	2003	10	2
71022	3	10	5	2002	9999	9	1
71022	4	1	5	2005	9999	4	1
71024	1	1	5	2000	9999	5	1
71024	2	17	6	2003	9999	9	80
71024	3	3	39	2003	2005	5	80
71024	4	5	13	2005	9999	4	1
71025	1	1	5	2003	9999	9	1
71025	2	5	13	2005	9999	4	2
71026	1	1	5	2001	9999	4	1
71026	2	3	39	1998	2005	5	80
71026	3	4	39	1998	2005	7	80
71026	4	10	5	2005	9999	4	1
71027	1	1	5	1998	9999	4	1
71027	2	5	13	2005	9999	4	1
71028	1	1	5	1985	9999	4	1
71028	2	3	39	2001	2004	7	80
71028	3	4	39	2001	2004	7	80
71028	6	11	6	2002	9999	4	80
71029	1	1	5	2000	9999	10	1
71029	2	5	13	2005	9999	4	1
71030	1	1	5	1998	9999	4	2
71030	5	31	13	2005	9999	4	2
71031	1	1	5	2000	9999	4	1
71031	2	5	15	1986	9999	10	1
71032	1	28	15	1997	9999	8	7
71033	1	1	5	2001	9999	4	80
71033	2	5	13	2004	9999	4	2
71033	3	5	15	1994	9999	10	1
71033	4	12	28	2003	9999	4	0
71034	1	1	5	2001	9999	4	4
71034	2	2	15	2003	9999	10	5
71034	3	5	15	1994	9999	10	5
71034	6	10	5	2001	9999	10	5
71035	1	1	5	2002	9999	4	1
71037	1	1	5	2002	9999	4	1
71037	2	5	15	2004	9999	4	1
71038	1	1	5	2001	9999	10	1
71038	2	28	39	2003	2005	9	80
71039	1	1	5	2001	9999	5	1
71039	3	10	5	1988	9999	4	1
71040	1	28	39	2003	9999	9	80
71040	2	5	15	2003	9999	12	1
71041	1	5	13	2004	9999	4	7
71041	3	25	39	1999	2004	8	80
71042	1	3	39	2002	2005	11	80
71042	3	14	15	2004	2004	7	2
71042	4	8	55	2002	9999	4	80
71042	5	26	55	2002	9999	4	80
71042	6	17	55	2002	9999	4	80
71043	1	1	5	2003	9999	4	1
71043	2	3	39	1997	9999	5	80
71043	3	4	39	1997	9999	5	80
71043	4	7	6	1992	9999	7	80
71043	5	8	6	1990	9999	5	80
71043	6	11	6	1992	9999	7	80
71043	7	15	6	1992	1992	4	1
71043	8	17	6	2002	9999	4	80
71043	9	5	13	2002	9999	1	1
71044	1	7	6	2005	2005	11	16
71044	2	30	42	2005	9999	4	16
71045	1	13	15	2002	9999	10	4
71045	3	25	39	2000	9999	8	2
71045	4	5	13	2005	9999	4	4
71045	7	10	5	2000	9999	4	4
71046	1	1	5	2000	9999	4	1
71046	4	11	6	1996	9999	4	1
71046	7	28	58	2003	9999	10	1
