CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
201047	5	7	6	-77	9999	12	80
201047	6	8	6	-77	9999	8	2
201047	7	13	5	-77	9999	12	80
201047	8	19	22	-77	9999	11	80
201049	1	3	5	2000	9999	9	80
201049	2	4	5	2000	9999	9	80
201049	3	5	5	2001	9999	4	1
201049	4	19	20	2002	9999	11	6
201049	5	7	6	2001	9999	6	80
201050	1	3	39	2001	9999	9	80
201050	2	4	39	2001	9999	9	80
201050	3	7	6	-77	9999	8	80
201050	4	8	6	-77	9999	8	80
