CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	CRPOUTR4
21013	5	 	 	 
21013	6	 	 	 
21013	7	 	 	 
21013	8	 	 	 
21013	9	 	 	 
21013	11	 	 	 
21014	1	 	 	 
21014	2	 	 	 
21014	3	 	 	 
21014	4	 	 	 
21014	5	 	 	 
21014	6	 	 	 
21014	7	 	 	 
21014	8	 	 	 
21014	9	 	 	 
21014	11	 	 	 
21015	1	 	 	 
21015	2	 	 	 
21015	3	 	 	 
21015	4	 	 	 
21015	5	 	 	 
21015	6	 	 	 
21015	7	 	 	 
21015	8	 	 	 
21015	9	 	 	 
21015	11	 	 	 
21016	1	 	 	 
21016	2	 	 	 
21016	3	 	 	 
21016	4	 	 	 
21016	5	 	 	 
21016	6	 	 	 
21016	7	 	 	 
21016	8	 	 	 
21016	9	 	 	 
21016	11	 	 	 
21017	1	 	 	 
21017	2	 	 	 
21017	3	 	 	 
21017	4	 	 	 
21017	5	 	 	 
21017	6	 	 	 
21017	7	 	 	 
21017	8	 	 	 
21017	9	 	 	 
21017	11	 	 	 
21018	1	 	 	 
21018	2	 	 	 
21018	3	 	 	 
21018	4	 	 	 
21018	5	 	 	 
21018	6	 	 	 
21018	7	 	 	 
21018	8	 	 	 
21018	9	 	 	 
21018	11	 	 	 
21019	1	 	 	 
21019	2	 	 	 
21019	3	 	 	 
21019	4	 	 	 
21019	5	 	 	 
21019	6	 	 	 
21019	7	 	 	 
21019	8	 	 	 
21019	9	 	 	 
21019	11	 	 	 
21020	1	 	 	 
21020	2	 	 	 
21020	3	 	 	 
21020	4	 	 	 
21020	5	 	 	 
21020	6	 	 	 
21020	7	 	 	 
21020	8	 	 	 
21020	9	 	 	 
21020	11	 	 	 
21021	1	 	 	 
21021	2	 	 	 
21021	3	 	 	 
21021	4	 	 	 
21021	5	 	 	 
21021	6	 	 	 
21021	7	 	 	 
21021	8	 	 	 
21021	9	 	 	 
21021	11	 	 	 
21022	1	 	 	 
21022	2	 	 	 
21022	3	 	 	 
21022	4	 	 	 
21022	5	 	 	 
21022	6	 	 	 
21022	7	 	 	 
21022	8	 	 	 
21022	9	 	 	 
21022	11	 	 	 
21023	1	 	 	 
21023	2	 	 	 
21023	3	 	 	 
21023	4	 	 	 
21023	5	 	 	 
21023	6	 	 	 
21023	7	 	 	 
21023	8	 	 	 
21023	9	 	 	 
21023	11	 	 	 
21024	1	 	 	 
21024	2	 	 	 
21024	3	 	 	 
21024	4	 	 	 
21024	5	 	 	 
21024	6	 	 	 
21024	7	 	 	 
21024	8	 	 	 
21024	9	 	 	 
21024	11	 	 	 
21027	1	 	 	 
21027	2	 	 	 
21027	3	 	 	 
21027	4	 	 	 
21027	5	 	 	 
21027	6	 	 	 
21027	7	 	 	 
21027	8	 	 	 
21027	9	 	 	 
