CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH18R4	MEMCNSR4
11022	4	25	29	 	1	15	15	 	 	 	 	1	 	5	0	0	98	98	1	9	0	 	 	 	0	N
11022	5	20	24	 	1	7	7	 	 	 	 	1	 	5	0	0	99	98	1	9	0	 	 	 	0	N
11022	6	19	23	 	1	7	7	 	 	 	 	1	 	5	0	0	99	98	1	9	0	 	 	 	0	N
11022	7	18	22	 	2	15	19	 	 	 	 	1	 	7	0	0	98	98	1	13	1	4	 	 	1	N
11022	8	15	19	 	1	15	19	 	 	 	 	1	 	7	0	0	99	98	1	9	0	 	 	 	1	N
11022	9	24	29	 	1	9	9	 	 	 	 	1	 	5	0	0	99	98	1	10	0	 	 	 	0	N
11024	0	15	19	 	2	0	0	1	 	 	 	1	 	3	0	0	2	1	1	13	1	1	 	 	1	N
11024	1	60	64	 	1	1	1	 	 	 	 	1	 	1	1	0	99	99	1	4	0	 	 	 	0	N
11024	2	51	55	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	0	 	 	 	 	 	 	N
11024	3	30	34	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	13	1	4	 	 	1	N
11024	4	28	32	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	11	0	 	 	 	0	N
11024	5	25	29	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	6	21	25	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	0	N
11024	7	19	23	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	0	N
11024	8	34	38	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11024	9	3	7	 	2	15	15	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11025	0	15	19	 	2	0	0	1	 	 	 	1	 	3	0	0	99	1	1	13	1	1	 	 	1	N
11025	1	52	56	 	1	1	1	 	 	 	 	1	 	1	3	0	99	99	1	12	0	 	 	 	0	N
11025	2	45	49	 	1	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11025	3	37	41	 	2	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11025	4	27	31	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11025	5	25	29	 	2	7	7	 	 	 	 	1	 	3	0	0	99	1	1	10	0	 	 	 	0	N
11025	6	24	28	 	2	7	7	 	 	 	 	1	 	3	0	0	99	1	1	10	0	 	 	 	0	N
11025	7	21	25	 	2	7	7	 	 	 	 	1	 	3	0	0	99	1	1	13	1	1	 	 	1	N
11025	8	17	21	 	2	7	7	 	 	 	 	1	 	3	0	0	99	1	1	14	1	4	 	 	1	N
11025	15	10	14	 	1	7	7	 	 	 	 	1	 	3	0	0	99	1	1	9	1	4	 	 	1	N
11025	16	8	12	 	2	7	7	 	 	 	 	1	 	3	 	0	99	1	1	7	1	1	 	 	1	N
11026	0	15	19	 	2	0	0	1	 	 	 	1	 	5	0	0	99	98	1	10	0	 	 	 	1	N
11026	1	57	61	 	1	6	6	 	 	 	 	1	 	1	1	0	98	99	1	10	0	 	 	 	0	N
11026	2	52	56	 	2	5	5	 	 	 	 	1	 	2	1	0	99	99	0	 	 	 	 	 	 	N
11026	3	27	31	 	1	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11026	4	31	35	 	1	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11026	5	23	27	 	2	13	13	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	0	N
11026	6	21	25	 	2	13	13	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	0	N
11026	7	19	23	 	2	13	13	 	 	 	 	1	 	3	0	0	2	1	1	9	0	 	 	 	0	N
11027	0	15	19	 	2	0	0	1	 	 	 	1	 	3	0	0	1	99	1	13	1	1	 	 	1	N
