CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
51047	1	7	1	1	10	2004	5000	10	0	 	 
51047	2	4	1	8	12	2005	2000	40	0	 	 
51048	1	10	1	2	1	2006	400	0	1	1	 
51048	2	10	1	7	12	2005	300	0	1	1	 
51048	3	10	1	2	11	2004	400	0	1	1	 
51049	1	7	0	3	8	2005	10000	10	0	 	 
61002	1	8	18	1	1	2005	100	0	1	1	 
61002	2	2	18	1	10	2005	300	14	1	1	 
61004	1	10	1	2	1	2006	510	0	0	 	 
61004	2	10	17	13	6	2006	300	0	0	 	 
61004	3	8	1	2	1	2005	400	0	1	1	 
61004	4	2	17	1	11	2005	300	14	0	 	 
61004	5	2	17	1	11	2004	150	14	1	1	 
61005	1	7	1	1	8	2002	3000	18	1	1	 
61005	2	7	1	1	8	2003	3000	18	1	1	 
61005	3	7	1	1	8	2004	3500	18	1	1	 
61005	4	7	1	1	8	2005	3600	18	0	 	 
61005	5	2	1	1	2	2005	300	14	0	 	 
61005	6	8	1	1	2	2006	130	0	0	 	 
61005	7	10	1	1	2	2006	50	0	0	 	 
61007	1	8	6	2	5	2006	400	0	0	 	 
61008	1	7	1	14	8	2005	2700	18	0	 	 
61008	2	7	1	1	8	2004	2300	18	1	1	 
61008	3	7	1	1	8	2003	2100	18	1	1	 
61008	4	7	1	1	8	2002	2000	18	1	1	 
61008	5	6	1	1	10	2001	3000	15	0	 	 
61008	6	10	1	1	11	2005	500	0	0	 	 
61008	7	8	1	6	3	2003	1600	0	1	1	 
61009	1	8	1	18	8	2005	700	0	1	1	 
61009	2	7	1	14	8	2005	3500	18	0	 	 
61009	3	10	2	2	10	2005	500	0	1	1	 
61009	4	10	2	2	10	2005	400	0	1	1	 
61009	5	10	2	2	10	2005	300	0	1	1	 
61009	6	7	1	14	8	2004	3800	18	1	1	 
61009	7	2	1	1	10	2004	300	14	1	1	 
61009	8	7	1	14	8	2003	3500	18	1	1	 
61009	9	2	1	1	10	2003	150	7	1	1	 
61009	10	7	1	14	8	2002	3000	18	1	1	 
61009	11	2	1	1	10	2002	150	7	1	1	 
61011	1	7	1	14	7	2005	3000	18	0	 	 
61011	2	7	1	14	7	2004	2000	18	1	1	 
61011	3	7	1	14	7	2003	1700	18	1	1	 
61011	4	7	1	14	7	2002	1600	18	1	1	 
61012	1	7	1	1	7	2002	3000	18	1	1	 
61012	2	2	1	1	10	2002	270	7	1	1	 
61012	3	7	1	1	7	2003	3500	18	1	1	 
61012	4	2	1	1	10	2003	270	7	1	1	 
61012	5	7	1	1	7	2004	3500	18	1	1	 
61012	6	2	1	1	10	2004	600	14	1	1	 
61012	7	7	1	1	7	2005	4000	18	0	 	 
61012	8	2	1	1	10	2005	300	14	0	 	 
61012	9	8	1	14	8	2005	1000	0	0	 	 
61014	1	7	2	14	7	2004	3000	18	1	1	 
61014	2	7	2	1	7	2003	2500	18	1	1	 
61014	3	7	2	1	7	2002	2500	18	1	1	 
61014	4	8	2	7	5	2005	1000	0	1	1	 
61014	5	8	2	18	7	2002	1000	0	0	 	 
61015	1	7	1	1	7	2002	2500	18	1	1	 
61015	2	7	1	1	7	2003	3000	18	1	1	 
61015	3	7	1	1	7	2004	4000	18	1	1	 
61015	4	2	1	1	11	2004	300	14	1	1	 
61015	5	7	1	1	7	2005	4000	18	0	 	 
61015	6	2	1	1	11	2005	300	14	0	 	 
61015	7	8	1	2	6	2006	100	0	0	 	 
61016	1	10	2	1	10	2005	300	0	1	1	 
61016	2	10	2	1	2	2004	500	0	1	1	 
61016	3	2	1	1	11	2004	400	14	1	1	 
61016	4	2	1	1	11	2003	420	7	1	1	 
61016	5	2	1	1	11	2002	400	7	1	1	 
61019	1	7	2	1	8	2002	3000	18	1	1	 
61019	2	7	2	1	8	2003	3000	18	1	1	 
61019	3	7	2	1	8	2004	3300	18	1	1	 
61019	4	7	2	1	8	2005	3200	18	0	 	 
61020	1	2	1	1	10	2005	600	14	0	 	 
61020	2	2	1	1	10	2004	400	14	1	1	 
61021	1	8	1	18	5	2006	100	0	0	 	 
61021	2	2	6	1	11	2005	360	14	0	 	 
61021	3	8	1	2	1	2006	130	0	1	1	 
61021	4	8	1	2	12	2005	500	0	1	1	 
61021	5	8	1	2	11	2004	500	0	1	1	 
61023	1	2	8	1	10	2005	300	14	0	 	 
61024	1	8	4	1	2	2005	200	0	0	 	 
61024	2	8	4	1	5	2006	50	0	0	 	 
61025	1	8	2	18	5	2006	100	0	0	 	 
61025	2	8	1	4	5	2006	50	0	1	1	 
61026	1	2	1	1	11	2002	300	7	1	1	 
61026	2	7	2	1	9	2003	2400	18	1	1	 
61026	3	2	1	1	11	2003	300	7	1	1	 
61026	4	7	2	1	9	2004	2400	18	1	1	 
61026	5	2	1	1	11	2004	300	14	1	1	 
61026	6	7	2	1	11	2005	2600	18	0	 	 
61026	7	2	1	1	11	2006	300	14	0	 	 
61027	1	8	2	16	1	2006	1000	0	0	 	 
61029	1	7	2	14	9	2005	3500	18	0	 	 
61029	2	7	2	14	9	2004	3500	18	1	1	 
61029	3	7	2	14	9	2003	2500	18	1	1	 
61029	4	7	2	14	9	2002	1700	18	1	1	 
61031	1	6	2	1	10	2002	2500	7	0	 	 
61031	2	8	2	16	1	2005	300	0	1	0	2
61033	1	7	2	14	8	2005	3000	18	0	 	 
61033	2	7	2	1	8	2004	3000	18	1	1	 
61033	3	7	2	1	8	2003	3000	18	1	1	 
61033	4	7	2	1	8	2002	3000	18	1	1	 
