CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
71034	3	2	3
71034	4	4	3
71034	5	5	2
71035	1	1	10
71035	2	2	6
71035	3	11	4
71036	1	8	16
71036	2	10	4
71037	1	1	14
71037	2	2	6
71038	1	1	18
71038	2	10	2
71039	1	1	15
71039	2	10	3
71039	3	2	2
71040	1	10	12
71040	2	1	4
71040	3	8	4
71041	1	10	15
71041	2	1	5
71042	1	10	5
71042	2	8	4
71042	3	2	3
71042	4	6	3
71042	5	11	3
71042	6	4	2
71043	1	10	8
71043	2	6	5
71043	3	1	3
71043	4	2	2
71043	5	8	2
71044	1	1	10
71044	2	2	5
71044	3	10	5
71045	1	1	15
71045	2	11	4
71045	3	10	1
71046	1	11	10
71046	2	1	5
71046	3	4	4
71046	4	10	1
71047	1	6	13
71047	2	1	6
71047	3	10	1
71048	1	9	7
71048	2	1	6
71048	3	11	4
71048	4	6	3
71049	1	1	16
71049	2	10	3
71049	3	4	1
81001	1	1	10
81001	2	7	5
81001	3	2	3
81001	4	8	2
81002	1	1	10
81002	2	3	7
81002	3	2	3
81003	1	1	13
81003	2	2	5
81003	3	3	2
81004	1	1	10
81004	2	2	5
81004	3	9	3
81004	4	3	2
81005	1	1	10
81005	2	6	5
81005	3	10	3
81005	4	8	2
81006	1	9	15
81006	2	3	5
81007	1	1	12
81007	2	5	6
81007	3	3	2
81009	1	1	10
81009	2	10	6
81009	3	9	3
81009	4	11	1
81010	1	1	13
81010	2	2	5
81010	3	9	2
81011	1	3	15
81011	2	1	5
81012	1	9	17
81012	2	1	2
81012	3	11	1
81013	1	1	8
81013	2	2	6
81013	3	9	3
81013	4	6	3
81014	1	1	9
81014	2	7	4
81014	3	3	3
81014	4	2	4
81015	1	1	10
81015	2	3	7
81015	3	9	3
81016	1	1	8
81016	2	2	5
81016	3	10	4
81016	4	9	3
81017	1	1	14
81017	2	2	4
81017	3	3	2
81018	1	1	15
81018	2	11	3
81018	3	3	2
81019	1	1	14
81019	2	2	4
81019	3	9	2
81020	1	1	14
81020	2	6	3
81020	3	9	2
81020	4	2	1
81021	1	1	10
81021	2	2	5
81021	3	3	3
81021	4	6	2
81023	1	3	15
81023	2	1	5
81024	1	11	10
81024	2	3	7
81024	3	2	3
81025	1	2	6
81025	2	1	10
81025	3	8	4
81026	1	1	8
81026	2	2	6
81026	3	10	4
81026	4	3	2
81027	1	1	12
81027	2	3	5
81027	3	9	3
81028	1	10	10
81028	2	3	5
81028	3	9	3
81028	4	2	1
81028	5	1	1
81029	1	1	15
81029	2	11	3
81029	3	2	1
81029	4	7	1
81030	1	1	13
81030	2	2	7
81031	1	1	9
81031	2	3	5
81031	3	7	4
81031	4	9	2
81032	1	3	9
81032	2	1	6
81032	3	7	2
81032	4	2	2
81032	5	10	1
81033	1	2	7
81033	2	1	12
81033	3	3	1
81034	1	1	10
81034	2	11	4
81034	3	10	4
81034	4	7	2
81035	1	1	7
81035	2	2	6
81035	3	9	4
81035	4	10	2
81035	5	7	1
81036	1	1	12
81036	2	6	5
81036	3	7	2
81036	4	2	1
81037	1	1	9
81037	2	3	2
81037	3	7	6
81037	4	9	3
81038	1	1	7
81038	2	3	5
81038	3	9	4
81038	4	6	4
81039	1	7	12
81039	2	6	6
81039	3	1	2
81040	1	1	12
81040	2	2	4
81040	3	3	2
81040	4	7	2
81041	1	1	12
81041	2	2	5
81041	3	7	3
81042	1	1	12
81042	2	3	4
81042	3	2	2
81042	4	9	2
81043	1	1	6
81043	2	3	5
81043	3	2	5
81043	4	9	4
81044	1	1	15
81044	2	9	5
81045	1	1	12
81045	2	3	3
81045	3	7	2
81045	4	2	2
81045	5	9	1
81046	1	1	13
81046	2	7	4
81046	3	2	3
81047	1	1	12
81047	2	3	4
81047	3	7	1
81047	4	9	3
81048	1	1	14
81048	2	2	4
81048	3	9	2
81049	1	1	8
81049	2	3	5
81049	3	2	1
81049	4	7	6
81050	1	9	14
81050	2	1	6
91001	1	1	14
91001	2	6	5
91001	3	7	1
91002	1	1	15
91002	2	2	5
91003	1	1	18
91003	2	8	2
91004	1	1	18
91004	2	2	2
91005	1	1	15
91005	2	7	3
91005	3	11	2
91006	1	1	8
91006	2	7	5
91006	3	10	4
91006	4	9	3
91007	1	1	10
91007	2	6	7
91007	3	10	3
91008	1	11	14
91008	2	1	3
91008	3	2	2
91008	4	9	1
91010	1	1	20
91011	1	1	15
91011	2	10	5
91012	1	1	5
