CHILDCODE	LANDIDR4	LNDTYPR4	ANYAGRR4	TOTLNDR4	UNTLNDR4	USERANR4	PRIRRR4	ANYLIVR4	TOTLIVR4	UNTLIVR4	USELIVR4	ANYINDR4	TOTINDR4	UNTINDR4	USEINDR4
11034	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11035	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11035	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	1	1	N	 	 	 	 	Y	48.189998626709	17	1	N	 	 	 
11036	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11036	5	1	N	 	 	 	 	N	 	 	 	Y	400	17	20
11037	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
11037	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11037	5	1	N	 	 	 	 	Y	9	17	9	N	 	 	 
11038	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	3	1	N	 	 	 	 	Y	8	17	1	N	 	 	 
11038	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11038	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
11039	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11039	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11040	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11040	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	3	1	N	 	 	 	 	Y	50	17	1	N	 	 	 
11042	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11042	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	1	1	N	 	 	 	 	Y	24	17	1	Y	6	17	9
11043	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11043	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
11044	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11044	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11045	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11045	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	3	1	N	 	 	 	 	Y	21	17	1	N	 	 	 
11046	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11046	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
11048	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11048	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	3	1	N	 	 	 	 	Y	40	17	1	N	 	 	 
11049	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11049	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	1	1	N	 	 	 	 	Y	35	17	1	Y	120	17	8
11050	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11050	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	1	1	Y	4	6	5	5	Y	40	17	1	Y	100	17	20
21002	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21002	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	3	1	N	 	 	 	 	Y	32	17	1	N	 	 	 
21003	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21003	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21004	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21004	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21004	3	1	N	 	 	 	 	Y	60	17	1	N	 	 	 
21004	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21004	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	3	1	N	 	 	 	 	Y	80	17	1	N	 	 	 
21005	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21005	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	3	1	N	 	 	 	 	Y	14	17	1	N	 	 	 
21006	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21006	5	1	N	 	 	 	 	N	 	 	 	Y	4	17	8
21007	1	1	N	 	 	 	 	N	 	 	 	Y	72	17	9
21007	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
21007	3	1	N	 	 	 	 	Y	34	17	1	N	 	 	 
