CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET090086	6	1	600	0
ET090087	1	1	2640	1200
ET090088	6	1	800	20
ET090090	4	1	4800	160
ET090090	5	1	500	0
ET090095	6	1	750	0
ET090095	7	1	520	0
ET100001	2	1	7000	200
ET100004	1	1	1200	150
ET100004	2	1	700	30
ET100005	2	1	14400	7800
ET100006	1	1	13000	3000
ET100009	2	1	1400	0
ET100009	3	1	600	0
ET100013	1	0	-88	0
ET100015	1	1	180	2000
ET100016	2	1	300	48
ET100016	3	1	600	64
ET100016	4	1	600	45
ET100016	5	0	-88	0
ET100017	2	1	50	90
ET100017	3	1	600	300
ET100017	4	1	600	220
ET100022	1	1	7400	1200
ET100032	2	1	148	0
ET100032	3	1	240	16
ET100032	5	1	20	0
ET100032	6	0	0	-88
ET100032	7	0	0	-88
ET100032	8	0	0	-88
ET100032	9	0	0	-88
ET100034	2	1	310	40
ET100038	2	1	600	90
ET100041	3	1	300	50
ET100047	2	1	200	0
ET100047	3	1	40	0
ET100047	4	1	300	18
ET100048	2	1	280	0
ET100049	4	1	2100	360
ET100049	5	1	900	0
ET100049	6	1	900	0
ET100049	7	1	400	0
ET100055	1	1	11520	9000
ET100065	2	1	1600	60
ET100065	3	1	325	10
ET100065	4	1	300	0
ET100066	1	0	-88	0
ET100066	2	0	-88	0
ET100075	2	0	-88	0
ET100075	3	0	-88	0
ET100075	4	1	2150	150
ET100075	5	1	900	275
ET100075	6	1	800	300
ET100075	7	1	600	200
ET100083	1	1	10560	8160
ET100086	3	1	1000	0
ET100086	4	1	1000	0
ET100090	3	1	2500	891
ET100090	4	1	1000	350
ET100091	1	0	-88	0
ET100098	2	1	4000	1000
ET110001	1	1	700	0
ET110002	2	1	1500	0
ET110005	1	1	2100	0
ET110011	1	1	680	180
ET110012	2	1	4000	50
ET110017	3	1	500	0
ET110017	4	1	360	0
ET110017	5	1	300	0
ET110020	3	1	1475	1222.5
ET110022	1	1	33460	23078
ET110027	2	1	2000	50
ET110027	3	1	1000	50
ET110027	4	1	900	30
ET110028	1	1	3360	2160
ET110030	5	1	300	30
ET110031	6	1	1150	0
ET110033	1	1	2000	0
ET110033	2	1	1000	0
ET110033	3	1	300	0
ET110033	4	1	600	0
ET110033	5	1	500	0
ET110034	5	1	2400	0
ET110036	1	1	2688	1728
ET110037	1	1	2460	944
ET110037	3	1	1800	0
ET110037	4	1	1200	0
ET110037	5	1	700	0
ET110041	1	1	6165	0
ET110046	1	1	25776	20016
ET110052	5	1	500	50
ET110053	5	1	450	0
ET110054	2	1	1000	0
ET110054	3	1	1400	20
ET110055	1	1	2268	72
ET110059	4	1	1000	0
ET110059	5	1	1000	0
ET110060	2	1	2000	100
ET110060	3	1	1500	100
ET110060	4	1	1750	88
ET110061	1	1	1440	720
ET110065	1	1	1440	0
ET110068	1	1	1020	360
ET110069	1	1	7680	5376
ET110069	3	1	1800	0
ET110069	4	1	1000	0
ET110071	2	1	8800	1484
ET110071	3	1	3150	1474
ET110071	10	1	3300	665
ET110071	12	1	1400	678
ET110074	1	1	900	0
ET110074	2	1	800	0
ET110076	2	1	500	0
ET110078	1	1	854400	213600
ET110079	1	1	24000	14400
