CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
ET120032	3	6	0	200
ET120041	1	13	150	-88
ET120045	1	13	50	0
ET120047	1	6	600	0
ET120055	1	22	0	20
ET120056	1	13	300	0
ET120059	1	13	700	0
ET120060	1	22	12	0
ET120060	2	18	500	0
ET120060	3	17	500	0
ET120065	1	13	25	0
ET120069	1	17	150	250
ET120070	1	17	0	75
ET120090	1	2	400	600
ET120098	1	14	65	0
ET130009	1	6	128	0
ET130014	1	5	60	-88
ET130031	1	7	22000	0
ET130041	1	5	4500	0
ET130062	1	22	40	88
ET130072	1	17	150	0
ET130072	2	22	40	0
ET130084	1	6	0	100
ET130084	2	18	0	100
ET130088	1	1	600	-77
ET130100	1	2	115	0
ET140005	1	14	30	0
ET140011	1	5	500	0
ET140015	1	5	1000	1000
ET140015	2	6	1000	1000
ET140015	3	13	0	500
ET140028	1	22	480	0
ET140033	1	13	500	0
ET140035	1	13	2000	0
ET140036	1	19	700	0
ET140038	1	19	100	0
ET140044	1	13	800	0
ET140049	1	18	2000	100
ET140051	1	6	1000	0
ET140051	2	13	1500	0
ET140052	1	6	400	300
ET140054	1	5	240	1170
ET140054	2	13	0	130
ET140068	1	13	500	0
ET140072	1	5	200	0
ET140084	1	13	550	180
ET140085	1	6	1200	0
ET140085	2	13	1100	0
ET140091	1	14	500	0
ET140096	1	15	200	-88
ET140098	1	6	200	0
ET140098	2	13	0	66
ET150003	1	13	120	0
ET150010	1	18	80	250
ET150011	1	17	2000	1500
ET150011	2	22	500	2000
ET150011	3	22	480	1600
ET150017	1	19	100	0
ET150023	1	13	200	0
ET150046	1	18	30	0
ET150046	2	19	20	0
ET150046	3	22	25	0
ET150068	1	22	700	0
ET150068	2	8	400	0
ET160017	1	14	0	60
ET160024	1	14	3000	-88
ET160026	1	7	700	30
ET160027	1	7	1000	0
ET160028	1	13	1600	200
ET160033	1	19	-88	200
ET160035	1	7	1800	-88
ET160037	1	13	100	0
ET160037	2	13	1000	0
ET160044	1	7	500	700
ET160057	1	7	1200	0
ET160076	1	13	0	800
ET160076	2	13	0	800
ET160097	1	19	200	0
ET170023	1	22	30	-88
ET170077	1	4	400	0
ET170080	1	4	200	0
ET180026	1	19	500	0
ET180034	1	14	300	0
ET180044	1	7	0	500
ET180045	1	7	800	0
ET180094	1	7	0	200
ET190010	1	13	4000	0
ET190030	1	6	200	210
ET190045	1	6	500	300
ET190045	2	5	200	0
ET190076	1	13	300	0
ET200001	1	6	2400	0
ET200075	1	13	0	2000
ET200089	1	5	-88	200
ET200089	2	6	-88	200
ET200094	1	7	0	400
