CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3	loanyrr3
ET160092	5	2	1	600	11	7	0	600	5	1998	88	1	1997
ET160092	6	4	8	1000	8	10	1	0	88	 	8	1	2001
ET160092	7	4	2	750	1	4	0	750	5	2001	88	1	2001
ET160091	1	2	1	500	11	7	0	500	5	1998	88	1	1997
ET160091	2	2	1	600	11	7	0	600	5	1999	88	1	1998
ET160091	3	2	1	600	11	7	0	600	5	2000	88	1	1999
ET160091	4	2	1	800	11	7	0	800	5	2001	88	1	2000
ET160091	5	2	1	400	11	7	1	0	88	 	88	1	2001
ET160091	6	10	2	600	12	6	1	0	88	 	88	1	2001
ET160091	7	10	2	600	11	7	1	0	88	 	88	1	2001
ET160090	1	2	1	500	10	5	1	0	88	 	11	1	2001
ET160090	2	4	2	400	1	5	1	0	88	 	11	1	2001
ET160090	3	2	1	550	10	5	0	550	6	2001	88	1	2000
ET160090	4	4	2	450	1	5	0	450	6	2001	88	1	2000
ET160090	5	2	1	500	10	5	0	500	5	2000	88	1	1999
ET160090	6	4	2	500	1	5	0	500	6	2000	88	1	1999
ET160090	7	2	1	500	10	5	0	500	6	1999	88	1	1998
ET160090	8	4	2	400	1	5	0	400	5	1999	88	1	1998
ET160090	9	2	1	450	10	5	0	450	5	1998	88	1	1997
ET160090	10	4	2	500	1	5	0	500	1	1998	88	1	1997
ET160089	1	2	1	200	11	5	0	200	5	2001	88	1	2000
ET160089	2	2	1	200	11	5	1	0	88	 	8	1	2001
ET160088	1	2	1	400	10	5	1	0	88	 	8	1	2001
ET160088	2	4	2	400	1	5	1	0	88	2002	8	1	2001
ET160088	3	2	1	350	10	5	0	350	5	2001	88	1	2000
ET160088	4	4	2	75	1	5	0	75	5	2001	88	1	2000
ET160088	5	2	1	450	11	5	0	45	5	2000	88	1	1999
ET160088	6	4	2	400	1	5	0	400	5	2000	88	1	1999
ET160088	7	2	1	700	11	5	0	700	5	1999	88	1	1998
ET160088	8	4	2	350	1	5	0	350	5	1999	88	1	1998
ET160088	9	2	1	500	11	5	0	500	5	1998	88	1	1997
ET160087	1	2	1	540	11	7	0	540	5	1998	88	1	1997
ET160087	2	2	1	600	11	7	0	600	5	1999	88	1	1998
ET160087	3	2	1	600	11	7	0	600	5	2000	88	1	1999
ET160087	4	2	1	800	11	7	0	800	5	2001	88	1	2000
ET160087	5	2	1	400	11	7	1	0	88	 	8	1	2001
ET160087	6	10	2	500	1	5	1	0	88	 	8	1	2002
ET160087	7	10	6	400	9	9	1	0	88	 	8	1	2001
ET160086	1	8	2	570	1	5	1	0	88	 	8	1	2002
ET160084	1	2	1	700	10	5	1	88	88	 	11	1	2001
ET160084	2	4	2	500	77	5	1	-88	88	 	11	1	2000
ET160084	3	2	1	680	10	5	0	-88	88	 	11	1	2000
ET160084	4	4	2	500	1	5	1	350	88	 	11	1	2000
ET160084	5	2	1	680	10	5	0	680	7	2000	88	1	1999
ET160084	6	4	2	400	1	6	0	400	6	2000	88	1	1999
ET160084	7	2	1	140	10	5	0	140	7	1999	88	1	1998
ET160084	8	4	1	300	1	5	0	300	6	1998	88	1	1998
ET160084	9	2	1	140	10	5	0	140	7	1998	88	1	1997
ET160083	1	2	1	4500	11	5	1	2500	3	2001	8	1	2000
ET160083	2	8	2	1000	12	6	1	0	88	 	8	1	2001
ET160082	1	2	1	350	11	5	0	350	5	1998	88	1	1997
ET160082	2	2	1	350	11	5	0	350	5	1999	88	1	1998
ET160082	3	2	1	380	11	5	0	380	5	2000	88	1	1999
ET160082	4	2	1	400	11	5	0	400	5	2001	88	1	2000
ET160082	5	4	7	1300	9	3	1	0	3	2002	9	1	2001
ET160081	1	4	2	300	1	4	0	300	5	2001	88	1	2001
ET160081	2	4	2	300	1	4	0	300	5	2000	88	1	2000
ET160081	3	4	2	480	1	4	0	480	5	1999	88	1	1999
ET160081	4	4	2	300	1	4	0	300	5	1998	88	1	1998
ET160080	1	2	1	300	11	6	0	300	5	1998	88	1	1997
ET160080	2	2	1	400	11	6	0	400	5	1999	88	1	1998
ET160080	3	2	1	450	11	6	0	450	5	2000	88	1	1999
ET160080	4	2	1	500	11	6	0	500	5	2001	88	1	2000
ET160080	5	2	1	400	11	6	0	200	5	2002	8	1	2001
ET160079	1	2	1	260	11	7	0	260	5	1998	88	1	1997
ET160079	2	2	1	270	11	7	0	270	6	1999	88	1	1998
ET160079	3	2	1	300	11	7	0	300	7	2000	88	1	1999
ET160079	4	2	1	200	11	7	0	200	7	2001	88	1	2000
ET160079	5	2	1	200	11	7	1	0	88	 	8	1	2001
ET160079	6	10	2	450	1	4	1	0	88	 	12	1	2002
ET160079	7	10	8	2000	9	9	1	0	88	 	9	1	2001
ET160078	1	8	8	1200	4	6	1	88	88	 	8	2	2001
ET160076	1	2	1	400	10	5	1	400	5	2002	8	1	2001
ET160076	2	2	1	200	10	5	0	200	5	2000	88	1	1999
ET160076	3	2	1	200	10	5	0	200	5	1999	88	1	1998
ET160076	4	2	1	175	10	5	0	175	5	1998	88	1	1997
ET160075	1	8	2	500	5	1	0	500	7	1999	88	1	1999
ET160075	2	8	15	400	10	2	0	400	1	2000	88	1	1999
ET160075	3	8	15	300	1	3	1	0	4	2001	8	1	2001
ET160074	1	2	1	380	10	7	1	0	88	 	8	1	2001
ET160074	2	2	1	380	10	7	0	380	5	2001	88	1	2000
ET160074	3	2	1	380	10	7	0	380	5	2000	88	1	1999
ET160074	4	2	1	380	10	7	0	380	5	1999	88	1	1998
ET160074	5	2	1	380	10	7	0	380	5	1998	88	1	1997
ET160072	1	2	1	400	11	5	0	400	5	1999	88	1	1998
ET160072	2	2	1	350	11	5	0	350	5	2000	88	1	1999
ET160072	3	2	1	350	11	5	0	350	5	2001	88	1	2000
ET160072	4	2	1	350	11	5	1	350	5	2002	8	1	2001
ET160072	5	2	1	550	11	2	1	550	2	2002	8	1	2001
ET160071	1	8	8	3000	1	5	1	88	88	 	11	1	1998
ET160071	2	10	8	2000	10	5	1	1000	5	2001	11	1	1998
ET160071	3	10	14	2100	12	5	1	88	88	 	8	1	2001
ET160071	4	2	1	230	10	5	1	88	88	 	8	1	2001
ET160071	5	10	2	570	12	5	1	88	88	 	8	1	2001
ET160070	1	2	1	200	11	5	1	0	88	 	11	1	2001
ET160070	2	4	2	700	10	5	1	250	5	2001	11	1	2001
ET160070	3	2	1	400	11	5	0	400	5	2001	88	1	2000
ET160070	4	2	1	190	11	5	0	190	5	2000	88	1	1999
ET160070	5	2	1	150	11	5	0	150	5	1999	88	1	1998
ET160070	6	2	1	150	11	5	0	150	5	1998	88	1	1997
ET160069	1	2	1	190	11	7	0	190	5	1998	88	1	1997
ET160069	2	2	1	190	11	7	0	190	5	1999	88	1	1998
ET160069	3	2	1	200	11	7	0	200	5	2000	88	1	1999
ET160069	4	2	1	400	11	7	0	400	5	2001	88	1	2000
ET160069	5	2	1	200	11	7	1	0	88	 	8	1	2001
ET160069	6	10	6	2000	1	18	1	0	88	 	8	1	2001
ET160068	1	8	18	400	8	88	1	200	2	2002	8	1	2001
ET160068	2	2	1	370	11	7	0	370	5	1998	88	1	1997
ET160068	3	2	1	380	11	7	0	380	5	1999	88	1	1998
ET160068	4	2	1	400	11	7	0	380	5	2000	88	1	1999
ET160066	1	2	1	300	11	6	0	300	6	1998	88	1	1997
ET160066	2	2	1	350	10	6	0	350	5	1999	88	1	1998
ET160066	3	2	1	450	11	6	0	450	5	2000	88	1	1999
ET160066	4	2	1	500	11	6	0	500	5	2001	88	1	2000
ET160066	5	2	1	200	11	6	0	200	6	2002	8	1	2001
ET160065	1	2	1	600	11	5	0	600	5	1998	88	2	1997
ET160065	2	2	1	600	11	5	0	600	5	1999	88	2	1998
ET160065	3	2	1	300	11	5	0	300	5	2000	88	2	1999
ET160065	4	2	1	400	11	5	0	400	5	2001	88	2	2000
ET160065	5	4	2	600	11	5	1	0	88	 	8	2	2001
ET160064	1	2	1	180	11	7	0	180	5	1998	88	1	1997
ET160064	2	2	1	165	11	7	0	165	5	1999	88	1	1998
ET160064	3	2	1	180	11	7	0	180	5	2000	88	1	1999
ET160064	4	2	1	200	11	7	0	200	5	2001	88	1	2000
ET160064	5	2	1	200	11	7	1	0	88	 	8	1	2001
ET160064	6	10	2	400	12	6	1	150	1	2002	9	1	2001
ET160063	1	10	6	40	2	1	1	0	88	 	8	1	2002
ET160062	1	10	8	2000	7	5	1	88	88	 	8	1	2001
ET160061	1	2	1	80	11	5	0	80	5	1998	88	1	1997
ET160061	2	4	2	300	1	5	0	300	5	1998	88	1	1997
ET160061	3	2	1	150	11	5	0	150	5	1999	88	1	1998
ET160061	4	4	2	300	1	5	0	300	5	1999	88	1	1998
ET160061	5	2	1	150	11	5	0	150	5	2000	88	1	1999
ET160061	6	4	2	300	1	5	0	300	5	2000	88	1	1999
ET160061	7	2	1	200	11	5	0	200	5	2001	88	1	2000
ET160061	8	4	2	400	1	5	0	400	5	2001	88	1	2000
ET160061	9	2	1	400	11	5	1	0	88	 	8	1	2001
ET160060	1	2	1	300	10	4	0	300	4	1998	88	1	1997
ET160060	2	2	1	300	10	4	0	300	4	1999	88	1	1998
ET160060	3	2	1	400	10	4	0	400	4	2000	88	1	1999
ET160060	4	2	1	400	10	4	0	400	4	2001	88	1	2000
ET160060	5	4	2	900	11	5	1	0	88	 	8	1	2001
ET160059	1	8	1	1000	11	4	1	1000	4	2002	88	1	2001
ET160058	1	2	1	300	11	4	0	300	4	1999	88	1	1998
ET160058	2	2	1	300	11	4	0	300	4	2000	88	1	1999
ET160058	3	2	1	400	11	4	0	400	4	2001	88	1	2000
ET160058	4	2	1	400	11	4	1	0	88	 	8	1	2001
ET160057	1	8	2	700	1	6	1	0	88	 	88	1	2002
ET160057	2	8	2	850	9	8	0	850	5	2001	88	1	2000
ET160056	1	2	1	400	10	5	0	400	4	2001	88	1	2000
ET160056	2	2	1	400	10	5	0	400	4	2000	88	1	1999
ET160056	3	2	1	300	10	5	0	300	5	1999	88	1	1998
ET160056	4	8	2	150	3	1	0	150	4	2000	88	1	2000
ET160055	1	2	1	400	11	4	0	200	4	1999	88	1	1998
ET160055	2	2	1	400	11	4	0	200	4	2000	88	1	1999
ET160055	3	2	1	400	11	4	0	200	4	2001	88	1	2000
ET160055	4	2	1	400	11	4	1	200	4	2002	8	1	2001
ET160054	1	2	1	1800	10	7	1	0	88	 	8	3	2001
ET160054	2	2	1	600	10	7	0	600	5	2001	88	3	2000
ET160054	3	2	1	600	10	7	0	600	5	2000	88	3	1999
ET160054	4	2	1	800	10	7	0	800	5	1999	88	3	1998
ET160054	5	2	1	600	10	7	0	600	5	1998	88	3	1997
ET160054	6	4	2	1100	1	4	0	1100	5	2001	88	3	2001
ET160054	7	4	2	1300	1	4	0	1300	5	2000	88	3	2000
ET160053	1	2	1	200	10	8	0	200	8	2002	11	1	2001
ET160053	2	2	1	540	10	8	0	-88	8	2001	88	1	2000
ET160053	3	2	1	540	10	8	0	-88	8	2000	88	1	1999
ET160053	4	2	1	540	10	8	0	-88	8	1999	88	1	1998
ET160053	5	2	1	540	10	8	0	-88	8	1998	88	1	1997
ET160051	1	2	1	300	10	6	0	300	6	1998	88	1	1997
ET160051	2	2	1	400	10	6	0	400	6	1999	88	1	1998
ET160051	3	2	1	450	10	6	0	450	6	2000	88	1	1999
ET160051	4	2	1	500	10	6	0	500	6	2001	88	1	2000
ET160051	5	2	1	400	10	6	1	200	6	2002	8	1	2001
ET160051	6	4	2	600	1	5	1	0	5	2002	8	1	2002
ET160050	1	6	7	500	5	3	1	100	3	2002	8	1	2001
ET160049	1	10	2	100	1	5	1	88	88	 	8	2	2001
ET160048	1	2	1	1250	11	5	0	1250	5	2001	88	1	2000
ET160048	2	2	1	1600	11	5	1	0	88	 	8	1	2001
ET160048	3	2	1	800	11	5	0	800	5	1999	88	1	1998
ET160047	1	5	1	400	10	4	1	88	88	 	11	1	2001
ET160047	2	4	2	500	12	4	1	88	88	 	11	1	2002
ET160047	3	2	1	350	10	4	0	350	4	2001	88	1	2000
ET160047	4	4	2	300	12	4	0	300	4	2001	88	1	2000
ET160047	5	2	1	500	10	4	0	500	4	2000	88	1	1999
ET160047	6	4	2	300	12	4	0	300	4	2000	88	1	1999
ET160047	7	2	1	300	10	4	0	300	4	1999	88	1	1998
ET160047	8	4	2	300	12	4	0	300	4	1999	88	1	1998
ET160047	9	2	1	350	10	4	0	350	4	1998	88	1	1997
ET160047	10	4	2	300	12	4	0	300	4	1998	88	1	1997
ET160046	1	2	1	600	11	7	1	0	88	 	8	17	2001
ET160046	2	2	1	600	11	7	0	600	5	2001	88	17	2000
ET160046	3	2	1	400	11	7	0	400	5	2000	88	17	1999
ET160046	4	2	1	400	11	7	0	400	5	1999	88	17	1998
ET160046	5	2	1	360	11	7	0	360	5	1998	88	17	1997
ET160046	6	4	11	150	1	1	0	150	5	2001	88	17	2001
ET160045	1	8	2	500	77	8	1	88	88	 	8	1	-77
ET160045	2	2	1	250	10	5	0	260	4	1998	8	1	1997
ET160045	3	2	1	260	10	5	0	260	4	1998	8	1	1998
ET160045	4	2	1	300	10	5	0	300	4	2000	8	1	1999
ET160045	5	2	1	300	10	5	0	300	4	2001	8	1	2000
ET160045	6	2	1	500	10	5	1	500	4	2002	8	1	2001
ET160044	1	4	2	300	1	3	0	300	4	1997	88	1	1997
ET160044	2	4	2	400	1	3	0	400	4	1998	88	1	1998
ET160044	3	4	2	450	1	3	0	450	4	1999	88	1	1999
ET160044	4	4	2	500	1	3	0	500	4	2000	88	1	2000
ET160044	5	4	2	500	1	3	0	500	4	2001	88	1	2001
ET160044	6	2	1	200	10	7	0	200	5	1998	88	1	1997
ET160044	7	2	1	200	10	7	0	200	5	1999	88	1	1998
ET160044	8	2	1	200	10	7	0	200	5	2000	88	1	1999
ET160044	9	2	1	200	10	7	0	200	5	2001	88	1	2000
ET160044	10	2	1	200	10	7	1	0	88	 	8	1	2001
ET160044	11	8	7	900	11	12	1	0	88	 	8	1	2001
ET160044	12	8	6	200	2	5	1	0	88	 	9	1	2001
ET160043	1	8	15	300	1	5	1	0	88	 	11	1	2001
ET160043	2	5	1	760	11	7	0	760	5	1998	88	1	1997
ET160043	3	5	1	780	11	7	0	780	5	1999	88	1	1998
ET160043	4	5	1	790	11	7	0	790	5	2000	88	1	1999
ET160043	5	5	1	800	11	7	0	800	5	2001	88	1	2000
ET160043	6	5	1	800	11	7	1	0	88	 	11	1	2001
ET160043	7	8	2	500	1	4	1	400	2	2002	11	1	2002
ET160042	1	8	10	7000	10	7	1	88	88	 	10	1	1999
ET160042	2	2	1	1200	10	5	0	1200	5	2001	88	2	2000
ET160042	3	8	6	2000	11	5	1	88	88	 	8	2	2001
ET160042	4	2	1	1200	11	5	1	88	88	 	8	2	2001
ET160040	1	2	1	700	11	7	0	700	5	1998	88	2	1997
ET160040	2	2	1	740	11	7	0	740	5	1999	88	2	1998
ET160040	3	2	1	740	11	7	0	740	5	2000	88	2	1999
ET160040	4	2	1	800	11	7	0	800	5	2001	88	2	2000
ET160040	5	2	1	400	11	7	1	0	88	 	8	2	2001
ET160040	6	10	10	10000	5	36	1	0	88	 	8	2	2001
ET160040	7	6	1	3180	10	77	1	800	12	2001	8	2	1999
ET160039	1	9	15	500	11	6	1	0	5	2002	8	1	2001
ET160039	2	2	1	300	10	6	0	300	6	1998	88	1	1997
ET160039	3	2	1	350	10	6	0	350	6	1999	88	1	1998
ET160039	4	2	1	450	10	6	0	450	6	2000	88	1	1999
ET160039	5	2	1	500	11	5	0	500	5	2001	88	1	2000
ET160039	6	2	1	400	11	5	0	200	5	2002	8	1	2001
ET160038	1	2	1	600	10	5	1	0	5	2002	8	1	2001
ET160038	2	8	2	400	1	5	1	88	88	 	8	1	2001
ET160038	3	2	1	420	10	5	0	420	5	2001	88	1	2000
ET160037	1	8	3	1000	6	1	1	100	1	2002	8	1	2001
ET160037	2	8	2	450	1	4	1	0	88	 	8	1	2002
ET160036	1	2	1	100	11	7	1	0	88	 	8	1	2001
ET160036	2	8	7	250	8	10	1	0	88	 	8	1	2001
ET160035	1	8	16	500	2	8	0	500	8	1998	88	1	1997
ET160035	2	8	16	1000	10	5	1	0	88	 	8	1	2001
ET160035	3	2	1	250	10	5	0	250	5	1998	88	1	1997
ET160035	4	2	1	250	10	5	0	250	5	1998	88	1	1998
ET160035	5	2	1	280	10	5	0	280	5	2000	88	1	1999
ET160035	6	2	1	200	10	5	0	200	5	2001	88	1	2000
ET160035	7	2	1	200	10	5	1	88	5	2002	88	1	2001
ET160034	1	2	1	300	10	5	0	300	6	1998	88	1	1997
ET160034	2	2	1	400	10	5	0	400	6	1999	88	1	1998
ET160034	3	2	1	450	10	6	0	450	6	2000	88	1	1999
ET160034	4	2	1	500	10	6	0	500	6	2001	88	1	2000
ET160034	5	2	1	200	10	6	1	200	88	 	8	1	2001
ET160033	1	5	2	600	1	5	1	0	88	 	4	1	2001
ET160033	2	4	2	560	10	7	0	560	5	1999	88	1	1998
ET160033	3	2	1	200	10	7	1	0	88	 	4	1	2000
ET160033	4	4	2	640	4	6	0	640	9	2001	88	1	2001
ET160032	1	8	6	500	2	4	1	0	4	2002	12	1	2002
ET160032	2	2	1	200	10	4	0	200	4	2000	88	1	1999
ET160032	3	2	1	200	10	4	0	200	4	2001	88	1	2000
ET160032	4	2	1	200	10	4	1	200	4	2002	12	1	2001
ET160031	1	2	1	200	10	7	1	0	88	 	11	2	2001
ET160031	2	2	1	250	10	7	0	250	5	2001	88	2	2000
ET160031	3	2	1	400	10	7	0	400	5	2000	88	2	1999
ET160031	4	2	1	300	10	7	0	300	5	1999	88	2	1998
ET160031	5	2	1	250	10	7	0	250	5	1998	88	2	1997
ET160031	6	10	10	17000	10	77	1	0	88	 	8	2	2000
ET160031	7	4	2	600	1	4	0	600	5	2001	88	2	2001
ET160031	8	4	2	450	1	4	0	450	5	2000	88	2	2000
ET160031	9	4	2	390	1	4	0	390	5	1999	88	2	1999
ET160031	10	10	6	200	10	77	1	0	88	 	8	2	2001
ET160030	1	10	7	1000	1	3	1	700	8	2001	8	1	2001
ET160030	2	4	2	800	1	3	0	800	4	2001	88	1	2001
ET160030	3	10	18	500	7	10	0	500	7	2001	9	1	1999
ET160030	4	4	2	1200	1	6	0	1200	5	2000	88	1	2000
ET160030	5	4	8	900	1	4	0	900	3	2000	88	1	2000
ET160030	6	4	2	600	3	4	0	600	6	2001	88	1	2001
ET160030	7	4	2	700	3	5	0	700	7	2000	88	1	2000
ET160030	8	2	1	120	10	6	1	0	88	 	8	1	2001
ET160030	9	4	2	500	1	10	0	500	6	1999	88	1	1999
ET160030	10	4	2	600	1	7	0	600	4	1998	88	1	1998
ET160030	11	4	2	450	1	6	0	450	5	1997	88	1	1997
ET160030	12	4	2	300	3	9	0	300	8	1997	88	1	1997
ET160030	13	4	2	500	3	10	0	500	8	1999	88	1	1999
ET160029	1	2	1	150	11	5	0	150	5	1998	88	1	1997
ET160029	2	2	1	175	11	5	0	175	5	1999	88	1	1998
ET160029	3	2	1	175	11	5	0	175	5	2000	88	1	1999
ET160029	4	2	1	200	11	5	0	200	5	2001	8	1	2000
ET160029	5	2	1	200	11	5	0	200	5	2002	8	1	2001
ET160028	1	2	1	200	10	7	1	0	88	 	8	2	2001
ET160028	2	2	1	200	10	7	0	200	5	2001	88	2	2000
ET160028	3	2	1	150	10	7	0	150	5	2000	88	2	1999
ET160028	4	2	1	150	10	7	0	150	5	1999	88	2	1998
ET160028	5	2	1	150	10	7	0	150	5	1998	88	2	1997
ET160028	6	4	2	560	1	4	0	560	5	2001	88	2	2001
ET160028	7	4	2	560	1	4	0	560	5	2000	88	2	2000
ET160028	8	4	2	420	1	4	0	420	5	1999	88	2	1999
ET160028	9	4	2	420	3	2	0	420	5	1998	88	2	1998
ET160028	10	4	2	420	3	2	0	420	5	1997	88	2	1997
ET160027	1	2	1	500	11	6	0	500	5	1998	88	1	1997
ET160027	2	2	1	400	11	6	0	400	5	1999	88	1	1998
ET160027	3	2	1	600	11	6	0	600	5	2000	88	1	1999
ET160027	4	2	1	200	11	6	0	200	5	2001	88	1	2000
ET160027	5	2	1	300	11	6	1	0	88	 	8	1	2001
ET160027	6	4	2	300	1	5	0	300	5	2001	88	1	2001
ET160027	7	4	2	300	1	5	0	300	5	2000	88	1	2000
ET160027	8	4	2	200	1	5	0	200	5	1999	88	1	1999
ET160027	9	4	2	300	3	2	0	300	5	1998	88	0	1998
ET160026	1	2	1	344	11	5	1	344	5	2002	8	17	2001
ET160026	2	8	7	2000	2	12	1	2000	12	2002	8	17	2001
ET160025	1	2	1	175	10	5	0	175	5	1998	88	1	1997
ET160025	2	2	1	200	10	5	0	200	5	1999	88	1	1998
ET160025	3	2	1	200	10	5	0	200	5	2000	88	1	1999
ET160025	4	2	1	200	10	5	0	200	5	2001	88	1	2000
ET160025	5	7	8	1000	11	12	0	1000	1	2002	88	2	2000
ET160024	1	2	1	400	11	7	0	200	11	2002	8	1	2001
ET160024	2	2	1	350	11	7	0	350	5	1998	88	1	1997
ET160024	3	2	1	380	11	7	0	380	5	1999	88	1	1998
ET160024	4	2	1	400	11	7	0	400	5	2000	88	1	1999
ET160024	5	2	1	400	11	7	0	400	5	2001	88	1	2000
ET160023	1	2	1	307	11	6	1	0	88	 	8	1	2001
ET160023	2	2	1	400	11	6	0	400	4	2001	88	1	2000
ET160023	3	2	1	400	11	6	0	400	4	2000	88	1	1999
ET160023	4	2	1	400	11	6	0	400	4	1999	88	1	1998
ET160023	5	2	1	400	11	6	0	400	4	1998	88	1	1997
ET160022	1	10	7	700	10	7	0	700	4	2001	88	1	2000
ET160022	2	10	8	400	1	5	1	0	88	 	8	1	2002
ET160022	3	4	2	600	3	6	0	600	8	2001	88	1	2001
ET160021	1	2	1	200	10	7	1	0	88	 	8	1	2001
ET160021	2	2	1	200	10	7	0	200	5	2001	88	1	2000
ET160021	3	2	1	200	10	7	0	200	5	2000	88	1	1999
ET160021	4	2	1	200	10	7	0	200	5	1999	88	1	1998
ET160021	5	4	2	600	1	4	0	600	5	2001	88	1	2001
ET160021	6	4	2	500	1	4	0	500	5	2000	88	1	2000
ET160021	7	4	2	400	1	4	0	400	5	1999	88	1	1999
ET160021	8	4	2	300	1	4	0	300	5	1998	88	1	1998
ET160021	9	4	2	500	3	2	0	500	5	2001	88	1	2001
ET160021	10	4	2	300	3	2	0	300	5	2000	88	1	2000
ET160021	11	4	2	400	3	2	0	400	5	1999	88	1	1999
ET160021	12	4	2	300	3	2	0	300	5	1998	88	1	1998
ET160021	13	10	6	200	3	77	1	0	88	 	8	1	2001
ET160020	1	7	8	10000	6	6	1	4000	6	2001	11	1	2000
ET160019	1	2	1	200	10	5	1	0	88	 	8	1	2001
ET160019	2	4	2	800	1	4	1	0	88	 	6	1	2001
ET160018	1	2	1	370	11	7	0	370	5	1998	88	1	1997
ET160018	2	2	1	380	11	7	0	380	5	1999	88	1	1998
ET160018	3	2	1	395	11	7	0	395	5	2000	88	1	1999
ET160018	4	2	1	400	11	7	0	400	5	2001	88	1	2000
ET160018	5	2	1	400	11	7	1	0	88	 	8	1	2001
ET160017	1	2	1	350	11	7	0	350	7	1998	88	1	1997
ET160017	2	2	1	350	11	7	0	350	7	1999	88	1	1998
ET160017	3	2	1	380	11	7	0	380	7	2000	88	1	1999
ET160017	4	2	1	400	11	7	0	400	7	2001	88	1	2000
ET160017	5	2	1	400	11	7	1	200	11	2001	8	1	2001
ET160017	6	10	15	200	1	3	1	100	2	2002	9	1	2002
ET160016	1	2	1	350	11	4	0	350	4	2001	88	1	2000
ET160016	2	2	1	500	11	4	1	88	88	 	8	1	2001
ET160016	3	8	1	1000	11	5	1	88	88	 	8	1	2001
ET160015	1	2	1	165	11	7	0	165	5	1998	88	1	1997
ET160015	2	2	1	170	11	7	0	170	5	1999	88	1	1998
ET160015	3	2	1	170	11	7	0	175	5	2001	88	1	1999
ET160015	4	2	1	175	11	7	0	175	5	2001	88	1	2000
ET160015	5	2	1	180	11	7	1	0	88	 	8	1	2001
ET160015	6	4	2	340	3	2	0	340	5	2001	88	1	2001
ET160015	7	4	2	250	1	5	1	0	88	 	8	1	2002
ET160014	1	2	1	300	10	5	0	300	5	1998	88	1	1997
ET160014	2	2	1	400	11	6	0	400	6	1999	88	1	1998
ET160014	3	2	1	450	10	5	0	450	5	2000	88	1	1999
ET160014	4	2	1	500	10	5	0	500	5	2001	88	1	2000
ET160014	5	2	1	400	10	5	1	200	5	2002	8	1	2001
ET160013	1	2	1	120	11	6	0	120	4	1998	88	1	1997
ET160013	2	2	1	120	11	6	0	120	5	1999	88	1	1998
ET160013	3	2	1	120	11	6	0	120	5	2000	88	1	1999
ET160013	4	2	1	220	11	6	0	220	4	2001	88	1	2000
ET160013	5	2	1	220	11	6	1	0	88	 	8	1	2001
ET160013	6	4	10	400	1	4	0	400	5	2001	88	1	2001
ET160013	7	4	10	500	1	4	0	500	5	2000	88	1	2000
ET160013	8	4	10	300	1	4	0	300	5	1999	88	1	1999
ET160013	9	4	10	250	1	4	0	250	5	1998	88	1	1998
ET160013	10	4	10	200	2	3	0	200	5	2001	88	1	2001
ET160013	11	4	10	300	2	3	0	300	5	2000	88	1	2000
ET160013	12	4	10	300	2	3	0	300	5	1999	88	1	1999
ET160012	1	10	6	400	11	6	1	0	6	2001	12	2	2000
ET160012	2	2	1	300	10	7	0	300	5	1998	88	2	1997
ET160012	3	2	1	400	10	6	0	400	6	1999	88	2	1998
ET160012	4	2	1	450	11	6	0	450	6	2000	88	2	1999
ET160012	5	2	1	500	11	6	0	500	6	2001	88	2	2000
ET160012	6	2	1	200	11	6	0	200	6	2002	8	2	2001
ET160011	1	2	1	200	11	5	0	200	8	1998	88	1	1997
ET160011	2	2	1	200	11	5	0	200	5	1999	88	1	1998
ET160011	3	2	1	200	11	5	0	200	5	2000	88	1	1999
ET160011	4	2	1	200	11	5	0	200	5	2001	88	1	2000
ET160011	5	2	1	200	11	5	1	200	5	2002	8	1	2000
ET160010	1	2	1	180	10	4	0	210	4	2001	88	1	2000
ET160010	2	2	1	400	10	4	0	400	4	2000	88	1	1990
ET160010	3	2	1	600	10	4	0	600	4	1999	88	1	1998
ET160010	4	4	1	1500	7	24	0	1800	4	2000	11	1	1997
ET160009	1	10	7	1000	10	4	1	88	88	 	8	1	2000
ET160009	2	8	7	700	6	4	0	700	4	1998	88	1	1997
ET160009	3	5	1	420	10	5	1	88	88	 	8	1	2001
ET160009	4	8	2	500	11	4	1	88	88	 	8	1	2001
ET160008	1	2	1	200	11	7	1	0	88	 	8	1	2001
ET160008	2	4	2	450	12	6	1	0	88	 	8	1	2001
ET160007	1	10	2	300	10	8	0	300	5	2001	88	1	2000
ET160007	2	10	2	300	10	8	1	0	5	2002	8	1	2001
ET160006	1	2	1	200	10	5	1	0	88	 	11	1	2001
ET160006	2	4	2	1000	1	5	1	0	88	 	11	1	2001
ET160006	3	2	2	400	10	5	1	200	5	2001	11	1	2000
ET160006	4	2	1	800	10	5	0	800	5	2000	88	1	1999
ET160006	5	4	2	500	1	5	0	500	5	2000	88	1	1999
ET160006	6	2	1	400	10	5	0	400	5	1999	88	1	1998
ET160006	7	2	1	400	10	5	0	400	5	1998	88	1	1997
ET160005	1	8	3	1500	11	4	1	0	88	 	8	1	2001
ET160005	2	2	1	400	11	5	0	400	5	1998	88	1	1997
ET160005	3	2	1	400	11	5	0	400	5	1999	88	1	1998
ET160005	4	2	1	400	11	5	0	400	5	2000	88	1	1999
ET160005	5	2	1	400	11	5	0	400	5	2001	88	1	1999
