childid	id	age	memsex	relate	livhse	dthunexp	adultedc	grade	hsstrtr3	strtyrr3	strmthr3	grader3	stillr3	whynotr3	agegrdr3	perfr3	feesr3	disabr3	actr3	monthsr3	daysr3	hoursr3	sleepr3	chcarer3	hhchrer3	npywrkr3	paywrkr3	schoolr3	studyr3	playr3	hrewrkr3	nohrer3	wrkprjr3	numdysr3	rsnfewr3	tywrkr31	tywrkr32	tywrkr33	wgercdr3
ET200098	3	21	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	4	12	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	4	20	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	5	17	1	7	1	 	 	 	1	1995	1	7	1	 	 	2	0	0	4	12	5	4	8	0	0	4	0	6	1	5	 	 	 	 	 	 	 	 	 
ET200098	6	15	2	7	1	 	 	 	1	1995	1	7	1	 	 	2	0	0	15	12	7	4	8	0	4	0	0	6	1	5	 	 	 	 	 	 	 	 	 
ET200098	7	13	2	7	1	 	 	 	1	1997	1	5	1	 	 	3	0	0	15	12	7	4	10	0	3	0	0	6	1	4	 	 	 	 	 	 	 	 	 
ET200098	15	10	1	7	1	 	 	 	1	2000	1	2	1	 	 	2	0	0	4	12	7	3	9	1	1	3	0	6	1	3	 	 	 	 	 	 	 	 	 
ET200098	16	4	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	17	23	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200098	18	2	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200097	0	8	1	0	1	 	 	 	1	2002	1	0	1	 	 	3	0	0	4	12	7	10	9	0	0	5	0	6	1	3	 	 	 	 	 	 	 	 	 
ET200097	1	43	1	1	1	 	 	29	 	 	 	 	 	 	 	 	 	0	1	8	5	12	 	 	 	 	 	 	 	 	1	 	1	13	1	2	3	10	20
ET200097	2	29	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	10	 	 	 	 	 	 	 	 	1	 	1	12	1	2	3	10	20
ET200097	15	11	2	7	1	 	 	 	1	1998	1	4	1	 	 	2	0	0	15	12	7	6	9	0	6	0	0	6	2	1	 	 	 	 	 	 	 	 	 
ET200097	16	4	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200096	0	8	2	0	1	 	 	0	1	2001	1	1	1	 	 	2	0	0	4	10	5	6	10	1	1	5	0	5	1	1	 	 	 	 	 	 	 	 	 
ET200096	1	42	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	6	4	8	 	 	 	 	 	 	 	 	1	 	1	15	 	2	10	3	20
ET200096	2	37	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	1	 	1	15	 	2	10	3	20
ET200096	3	15	2	7	1	 	 	 	1	1995	1	7	1	 	 	1	0	0	15	12	7	4	9	0	3	2	0	6	3	1	0	3	0	88	 	 	 	 	88
ET200096	4	12	2	7	1	 	 	 	1	1997	1	5	1	 	 	2	0	0	4	12	7	6	9	1	0	5	0	6	2	1	 	 	 	 	 	 	 	 	 
ET200096	5	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	11	0	0	0	0	0	0	13	 	 	 	 	 	 	 	 	 
ET200096	6	0	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200095	0	7	1	0	1	 	 	 	1	2000	1	2	1	 	 	1	0	0	4	12	7	5	10	0	1	4	0	5	1	3	 	 	 	 	 	 	 	 	 
ET200095	1	57	1	1	1	 	 	2	 	 	 	 	 	 	 	 	 	0	1	10	4	8	 	 	 	 	 	 	 	 	1	 	1	20	 	2	4	1	20
ET200095	2	42	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	1	 	1	20	 	2	4	1	20
ET200095	3	27	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	8	4	5	 	 	 	 	 	 	 	 	0	3	 	88	 	 	 	 	88
ET200095	4	21	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200095	5	17	1	7	1	 	 	 	1	1995	1	7	1	 	 	1	0	0	1	8	4	5	10	0	0	5	0	6	2	1	0	3	 	88	 	 	 	 	88
ET200095	6	15	1	7	1	 	 	 	1	1996	1	6	0	30	 	 	 	0	4	12	7	5	10	0	1	5	0	6	0	2	0	3	 	88	 	 	 	 	88
ET200095	7	12	2	7	1	 	 	 	1	1996	1	6	1	 	 	1	0	0	15	12	7	6	10	0	4	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET200094	0	8	1	0	1	 	 	 	1	2002	1	0	1	 	 	 	0	0	4	12	7	4	10	0	1	4	0	6	1	2	 	 	 	 	 	 	 	 	 
ET200094	1	61	1	1	1	 	 	3	 	 	 	 	 	 	 	 	 	0	1	5	5	10	 	 	 	 	 	 	 	 	1	 	1	15	 	10	3	9	20
ET200094	2	49	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	8	 	 	 	 	 	 	 	 	1	 	1	15	 	10	3	9	20
ET200094	3	28	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200094	4	25	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200094	5	23	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200094	6	17	1	7	1	 	 	 	1	1995	1	7	1	 	 	2	0	0	4	12	7	4	8	0	2	4	0	6	2	2	0	10	 	88	 	 	 	 	88
ET200094	7	13	1	7	1	 	 	 	1	1996	1	6	1	 	 	3	0	0	4	12	7	4	9	0	2	4	0	6	2	1	 	 	 	 	 	 	 	 	 
ET200093	0	8	1	0	1	 	 	 	1	2001	1	1	1	 	 	3	0	0	4	6	4	3	10	0	0	3	0	5	0	6	 	 	 	 	 	 	 	 	 
ET200093	1	36	1	1	4	 	 	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200093	2	32	2	1	1	 	 	7	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	1	 	1	10	 	2	3	4	20
ET200093	3	28	1	13	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	7	5	8	 	 	 	 	 	 	 	 	1	 	1	10	 	2	3	4	20
ET200093	15	11	2	7	1	 	 	 	1	1997	1	5	1	 	 	3	0	0	15	6	4	3	10	0	3	0	0	5	0	6	 	 	 	 	 	 	 	 	 
ET200092	0	7	2	0	1	 	 	 	1	2002	1	0	1	 	 	2	0	0	4	12	7	5	11	0	1	2	0	5	1	4	 	 	 	 	 	 	 	 	 
ET200092	1	60	1	1	1	 	 	29	 	 	 	 	 	 	 	 	 	0	1	10	4	8	 	 	 	 	 	 	 	 	1	 	1	20	 	10	2	3	20
ET200092	2	42	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	1	 	1	20	 	10	2	3	20
ET200092	3	21	2	8	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	2	3	11	 	 	 	 	 	 	 	 	0	3	 	88	 	 	 	 	88
ET200092	4	18	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	8	3	4	 	 	 	 	 	 	 	 	0	3	 	88	 	 	 	 	88
ET200092	5	16	2	7	1	 	 	 	1	1994	1	8	1	 	 	3	0	0	1	2	3	11	8	0	3	0	0	5	4	4	0	3	 	88	 	 	 	 	88
ET200092	6	14	2	7	1	 	 	 	1	1996	1	6	1	 	 	1	0	0	4	8	3	4	8	0	1	4	0	5	4	2	 	 	 	 	 	 	 	 	 
ET200092	15	10	2	7	1	 	 	 	1	1999	1	3	1	 	 	3	0	0	1	12	7	5	11	0	1	4	0	5	1	2	 	 	 	 	 	 	 	 	 
ET200091	0	8	1	0	1	 	 	 	1	2001	1	1	1	 	 	2	0	0	4	12	7	4	11	0	0	5	0	7	0	1	 	 	 	 	 	 	 	 	 
ET200091	1	59	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	12	6	11	 	 	 	 	 	 	 	 	1	 	1	20	 	2	10	4	20
ET200091	2	44	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	11	 	 	 	 	 	 	 	 	1	 	1	15	 	2	10	4	20
ET200091	3	28	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200091	4	22	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	1	15	12	7	10	 	 	 	 	 	 	 	 	0	2	 	88	 	 	 	 	88
ET200091	5	19	1	7	2	 	 	 	 	 	 	 	 	 	 	 	 	0	1	4	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200091	6	16	2	7	1	 	 	 	1	1995	1	7	1	 	 	2	0	0	15	12	7	4	9	0	5	0	0	8	1	1	0	3	 	88	 	 	 	 	 
ET200091	7	13	1	7	1	 	 	 	1	1997	1	5	1	 	 	1	0	0	4	12	7	5	10	0	0	5	0	8	0	1	 	 	 	 	 	 	 	 	 
ET200091	8	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	12	0	0	0	0	0	0	12	 	 	 	 	 	 	 	 	 
ET200090	0	8	1	0	1	 	 	29	1	2001	1	1	1	 	 	1	0	0	4	10	5	5	10	0	0	5	0	6	2	1	 	 	 	 	 	 	 	 	 
ET200090	1	49	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	8	5	10	 	 	 	 	 	 	 	 	1	 	1	10	 	2	10	12	20
ET200090	2	37	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	8	6	6	 	 	 	 	 	 	 	 	1	 	1	7	 	2	10	12	20
ET200090	3	82	2	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200090	4	17	2	7	1	 	 	 	1	1994	1	8	1	 	 	2	0	0	15	0	5	3	8	2	1	3	0	7	2	1	0	10	0	88	 	 	 	 	88
ET200090	5	14	2	7	1	 	 	 	1	1994	1	7	1	 	 	2	0	0	15	8	4	3	9	3	2	0	0	7	2	1	 	 	 	 	 	 	 	 	 
ET200090	15	12	2	7	1	 	 	 	1	1996	1	5	1	 	 	2	0	0	15	8	4	3	9	3	1	0	0	7	3	1	 	 	 	 	 	 	 	 	 
ET200090	16	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET200090	17	2	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200089	0	7	2	0	1	 	 	0	1	2002	1	0	1	 	 	3	0	0	15	8	5	3	10	2	2	1	0	6	1	2	 	 	 	 	 	 	 	 	 
ET200089	1	47	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	6	5	10	 	 	 	 	 	 	 	 	1	 	1	25	 	2	4	10	20
ET200089	2	34	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	10	 	 	 	 	 	 	 	 	1	 	1	20	 	2	4	10	20
ET200089	3	17	1	7	1	 	 	 	1	1994	1	8	1	 	 	2	0	0	15	8	5	3	11	0	3	0	0	5	4	1	0	10	 	88	 	 	 	 	88
ET200089	4	13	2	7	1	 	 	 	1	1998	1	4	1	 	 	3	0	0	15	8	5	3	10	1	3	0	0	6	2	2	 	 	 	 	 	 	 	 	 
ET200089	15	10	2	7	1	 	 	 	1	2000	1	2	1	 	 	3	0	0	15	8	5	3	10	1	2	1	0	6	2	2	 	 	 	 	 	 	 	 	 
ET200089	16	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	4	12	7	2	12	0	0	6	0	0	0	6	 	 	 	 	 	 	 	 	 
ET200089	17	3	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200089	18	0	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200088	0	7	1	0	1	 	 	0	1	2001	1	1	1	 	 	2	0	0	4	10	7	5	8	0	1	5	0	6	2	2	 	 	 	 	 	 	 	 	 
ET200088	1	44	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	8	5	6	 	 	 	 	 	 	 	 	1	 	1	10	 	12	10	4	20
ET200088	2	33	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	1	 	1	10	 	12	10	4	20
ET200088	3	17	1	7	2	 	 	 	1	1993	1	9	1	 	 	2	0	0	14	12	2	5	8	0	3	2	0	6	3	2	0	3	 	88	 	 	 	 	88
ET200088	4	15	2	7	1	 	 	 	1	1995	1	7	1	 	 	2	0	0	15	12	5	4	9	5	1	0	0	6	1	2	0	3	 	88	 	 	 	 	88
ET200088	15	12	1	7	1	 	 	 	1	1997	1	5	1	 	 	2	0	0	4	8	5	3	10	0	3	5	0	5	0	1	 	 	 	 	 	 	 	 	 
ET200088	16	5	2	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET200088	17	1	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200087	0	7	2	0	1	 	 	 	1	2001	1	1	1	 	 	2	0	0	4	12	7	3	10	0	1	3	0	5	2	3	 	 	 	 	 	 	 	 	 
ET200087	1	52	1	1	1	 	 	28	 	 	 	 	 	 	 	 	 	0	1	8	4	8	 	 	 	 	 	 	 	 	1	 	1	20	 	11	10	2	20
ET200087	2	36	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	1	 	1	20	 	11	10	2	20
ET200087	3	19	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	2	4	10	 	 	 	 	 	 	 	 	0	10	 	88	 	 	 	 	88
ET200087	4	17	1	7	1	 	 	 	1	1994	1	8	1	 	 	2	0	0	1	8	4	4	8	0	0	0	0	6	6	4	0	3	 	88	 	 	 	 	88
ET200087	5	14	2	7	1	 	 	 	1	1995	1	7	1	 	 	3	0	0	15	12	7	3	8	0	3	0	0	5	5	3	 	 	 	 	 	 	 	 	 
ET200087	15	11	2	7	1	 	 	 	1	1998	1	4	1	 	 	3	0	0	4	12	7	3	8	0	2	3	0	5	3	3	 	 	 	 	 	 	 	 	 
ET200087	16	4	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	4	3	7	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200086	0	8	1	0	1	 	 	 	1	2001	1	1	1	 	 	1	0	0	4	12	7	4	10	0	0	6	0	7	0	1	 	 	 	 	 	 	 	 	 
ET200086	1	34	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	6	10	 	 	 	 	 	 	 	 	1	 	1	10	 	10	4	12	20
ET200086	2	25	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200086	3	68	2	6	1	 	 	 	 	 	 	 	 	 	 	 	 	1	17	 	 	 	 	 	 	 	 	 	 	 	0	3	 	88	 	 	 	 	 
ET200086	4	24	2	2	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	12	 	 	 	 	 	 	 	 	1	 	1	10	 	10	4	12	20
ET200086	5	3	1	8	1	 	 	4	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200085	0	7	2	0	1	 	 	2	1	2001	1	1	1	 	 	1	0	0	4	12	7	5	10	1	1	5	0	6	1	0	 	 	 	 	 	 	 	 	 
ET200085	1	28	1	1	1	 	 	4	 	 	 	 	 	 	 	 	 	0	1	8	5	10	 	 	 	 	 	 	 	 	1	 	1	20	1	10	17	 	20
ET200085	2	31	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	11	 	 	 	 	 	 	 	 	1	 	1	5	1	10	11	 	20
ET200085	3	4	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200085	4	1	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200084	0	7	2	0	1	 	 	28	1	2001	1	0	1	 	 	2	0	0	4	12	7	3	11	0	1	4	0	7	0	1	 	 	 	 	 	 	 	 	 
ET200084	1	36	1	1	1	 	 	5	 	 	 	 	 	 	 	 	 	0	12	12	6	10	 	 	 	 	 	 	 	 	1	 	1	10	 	2	9	7	20
ET200084	2	28	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	1	 	1	15	 	2	9	7	20
ET200084	3	15	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200084	4	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	10	0	0	0	0	0	0	14	 	 	 	 	 	 	 	 	 
ET200084	5	2	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200083	0	8	2	0	1	 	 	29	1	2002	1	0	1	 	 	2	0	0	15	12	7	4	9	3	2	3	0	6	0	1	 	 	 	 	 	 	 	 	 
ET200083	1	43	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	8	5	7	 	 	 	 	 	 	 	 	1	 	1	12	 	4	10	3	20
ET200083	2	28	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	1	 	1	12	 	4	10	3	20
ET200083	3	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	9	0	0	0	0	0	0	15	 	 	 	 	 	 	 	 	 
ET200083	4	1	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200082	0	8	1	0	1	 	 	0	1	2000	1	2	1	 	 	1	0	0	4	12	5	5	10	0	0	5	0	6	2	1	 	 	 	 	 	 	 	 	 
ET200082	1	63	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200082	2	46	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	11	 	 	 	 	 	 	 	 	0	2	0	88	 	 	 	 	88
ET200082	3	25	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	10	 	 	 	 	 	 	 	 	1	 	1	15	 	10	12	2	20
ET200082	4	18	1	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	1	12	5	4	 	 	 	 	 	 	 	 	1	 	1	15	 	10	12	2	20
ET200082	5	14	1	7	1	 	 	 	1	1995	1	7	1	 	 	1	0	0	4	12	5	5	9	0	3	5	0	6	0	1	0	10	0	88	 	 	 	 	88
ET200082	6	12	2	7	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200082	7	2	2	14	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200081	0	7	1	0	1	 	 	 	1	2001	1	1	1	 	 	3	0	0	4	5	3	4	10	1	0	4	0	5	0	4	 	 	 	 	 	 	 	 	 
ET200081	1	52	1	1	1	 	 	29	 	 	 	 	 	 	 	 	 	0	1	8	5	9	 	 	 	 	 	 	 	 	1	 	1	15	 	2	3	4	20
ET200081	2	33	2	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	15	12	7	7	 	 	 	 	 	 	 	 	1	 	1	10	 	2	3	4	20
ET200081	3	12	1	7	1	 	 	 	1	1998	1	4	1	 	 	3	0	0	4	6	3	4	10	3	0	4	0	5	0	2	 	 	 	 	 	 	 	 	 
ET200081	4	3	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200080	0	8	2	0	1	 	 	4	1	2001	1	1	1	 	 	3	0	0	4	12	7	4	10	0	1	4	0	4	3	2	 	 	 	 	 	 	 	 	 
ET200080	1	39	1	1	1	 	 	0	 	 	 	 	 	 	 	 	 	0	1	8	4	8	 	 	 	 	 	 	 	 	1	 	1	15	 	10	2	3	20
ET200080	2	34	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	1	 	1	15	 	10	2	3	20
ET200080	3	15	2	7	1	 	 	 	1	1996	1	6	1	 	 	3	0	0	15	12	7	5	8	3	2	2	0	4	4	1	0	3	 	88	 	 	 	 	88
ET200080	4	12	2	7	1	 	 	 	1	1998	1	4	1	 	 	2	0	0	4	12	7	4	8	0	1	4	0	4	4	3	 	 	 	 	 	 	 	 	 
ET200080	5	5	1	7	1	 	 	 	0	 	 	 	 	29	 	 	 	0	17	 	 	 	12	0	0	0	0	0	0	12	 	 	 	 	 	 	 	 	 
ET200080	6	2	2	7	1	 	 	 	 	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200079	0	7	1	0	1	 	 	0	1	2002	1	0	1	 	 	2	0	0	15	12	3	3	8	0	5	0	0	6	4	1	 	 	 	 	 	 	 	 	 
ET200079	1	34	2	1	1	 	 	 	 	 	 	 	 	 	 	 	 	0	15	12	7	6	 	 	 	 	 	 	 	 	1	 	1	18	 	10	6	4	20
ET200079	2	14	2	7	4	 	 	 	1	1997	1	5	1	 	 	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
ET200079	15	11	1	7	1	 	 	 	1	1998	1	4	1	 	 	1	0	0	20	12	5	4	8	1	3	0	0	6	4	2	 	 	 	 	 	 	 	 	 
ET200079	16	9	2	7	1	 	 	 	1	1999	1	3	1	 	 	2	0	0	15	12	7	4	8	3	2	0	0	6	3	2	 	 	 	 	 	 	 	 	 
