CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET070009	2	75	1	2	400	80
ET070009	3	31	50	55	1150	140
ET070010	1	55	10	41	500	120
ET070010	2	19	4	41	800	10
ET070010	3	75	4	41	850	100
ET070011	1	75	7.5	2	3648	229
ET070011	2	43	50	1	250	45
ET070011	3	55	2.5	2	250	85
ET070013	1	55	10	41	500	30
ET070013	2	75	5	41	2500	70
ET070013	3	5	6	41	1200	60
ET070014	1	75	10	9	2200	130
ET070014	2	5	10	9	2000	170
ET070014	3	55	10	9	500	150
ET070014	4	43	1	9	120	20
ET070015	1	75	8	2	3680	460
ET070015	2	125	4	9	1000	250
ET070015	3	5	4	2	800	350
ET070015	4	55	0	1	0	505
ET070016	1	50	.5	8	50	10
ET070016	2	55	20	9	1000	100
ET070016	3	5	10	9	2500	200
ET070016	4	75	4	9	1200	80
ET070016	5	125	4	9	1300	60
ET070016	6	43	1	9	200	60
ET070016	7	130	3	9	900	100
ET070017	1	55	2	2	160	80
ET070017	2	75	4.5	2	1620	300
ET070017	3	125	1.5	2	900	60
ET070017	4	5	5.25	2	1575	187
ET070017	5	43	.5	2	225	60
ET070018	1	10	14	64	50	10
ET070018	2	75	20	9	4000	300
ET070018	3	130	4	9	800	100
ET070018	4	55	20	9	800	100
ET070019	1	75	2	2	960	230
ET070019	2	5	1.5	2	300	75
ET070019	3	55	3	2	480	160
ET070019	4	130	.5	2	180	30
ET070019	5	43	.25	2	190	16
ET070020	1	55	5	2	400	200
ET070020	2	43	1	41	331	30
ET070020	3	125	7	41	1818	235
ET070020	4	125	3	41	1050	80
ET070021	1	75	9	9	2250	920
ET070021	2	125	2	9	600	300
ET070021	3	5	3.5	9	775	500
ET070022	1	5	5	2	2000	200
ET070022	2	75	50	1	250	50
ET070022	3	55	15	2	1500	640
ET070022	4	43	3	2	575	115
ET070023	1	75	3	2	600	100
ET070023	2	130	6	2	1800	250
ET070023	3	43	1	2	200	70
ET070023	4	31	5	10	100	60
ET070024	1	125	4.5	2	1700	260
ET070024	2	19	1	41	200	40
ET070024	3	130	4.5	2	1500	200
ET070024	4	55	2	2	200	50
ET070025	1	26	.25	2	100	20
ET070025	2	75	2	2	800	150
ET070025	3	55	2	2	280	120
ET070026	1	75	6.5	2	3150	558
ET070026	2	19	2	2	880	275
ET070026	3	55	8	2	800	200
ET070026	4	26	3	2	400	40
ET070030	1	43	1.5	2	1050	350
ET070030	2	75	2	2	800	150
ET070030	3	130	3	2	750	100
ET070031	1	125	9	9	1800	240
ET070031	2	5	11	9	2200	400
ET070031	3	55	10	9	500	200
ET070031	4	19	2	9	500	150
ET070032	1	10	40	10	100	15
ET070032	2	125	2	41	540	80
ET070032	3	5	2	41	400	40
ET070032	4	19	2	41	640	80
ET070032	5	130	11	41	3520	200
ET070032	6	75	1	41	240	80
ET070032	7	125	1	41	270	60
ET070033	1	75	3	2	1500	150
ET070033	2	125	1	2	540	130
ET070033	3	19	.5	2	270	100
ET070033	4	5	2	2	400	220
ET070033	5	55	3	2	440	140
ET070033	6	31	6	55	180	0
ET070034	1	75	3.75	2	1750	530
ET070034	2	55	6	2	450	200
ET070034	3	5	3	2	1080	180
ET070034	4	43	.4	2	240	50
ET070034	5	130	1	2	360	90
ET070035	1	75	8	2	400	450
ET070035	2	130	1.5	2	450	125
ET070035	3	5	1	2	300	125
ET070036	1	55	50	9	4800	1250
ET070036	2	75	13	9	3980	1550
ET070036	3	43	2	9	1600	400
ET070036	4	5	3	9	1200	300
ET070038	1	75	1	9	160	32
ET070038	2	75	10	9	1600	160
ET070038	3	43	4	9	880	45
ET070038	4	125	1	9	250	150
ET070038	5	55	5	9	300	70
ET070038	6	5	1	9	110	64
ET070038	7	75	8	9	1280	192
ET070038	8	5	3	9	330	64
ET070039	1	75	18.5	9	3380	450
ET070039	2	55	4	9	320	80
ET070041	1	55	.5	2	130	30
ET070041	2	59	2	49	28	3
ET070041	3	75	18	2	9700	1460
ET070041	4	19	3	2	1500	250
ET070041	5	130	2	2	500	180
ET070041	6	43	.5	2	250	200
ET070042	1	130	10.5	2	4200	70
ET070042	2	125	2	2	760	100
ET070042	3	43	72	68	90	20
ET070043	1	43	1	2	700	100
ET070043	2	124	3	2	1350	200
ET070043	3	75	5	2	1950	800
ET070044	1	125	1.5	2	750	0
ET070044	2	55	3	2	240	100
ET070044	3	43	.25	1	165	0
ET070044	4	75	2	2	1000	0
ET070045	1	55	34	9	1700	150
ET070045	2	130	6	9	1800	46
ET070045	3	75	3	9	700	0
ET070045	4	43	1	9	350	0
ET070046	1	5	7	41	1600	50
ET070046	2	130	8	41	1650	25
ET070046	3	125	2	41	600	60
ET070047	1	75	3	2	1800	275
ET070047	2	75	2.5	2	750	150
ET070047	3	43	.5	2	200	50
ET070048	1	50	2	9	300	30
ET070048	2	10	58	10	72	4
ET070048	3	55	11	9	660	225
ET070048	4	43	2	9	800	30
ET070048	5	49	2	9	460	150
ET070048	6	5	7	9	1225	350
ET070049	1	5	10	9	2000	100
ET070049	2	125	8	9	2400	100
ET070049	3	19	2	9	700	90
ET070049	4	75	8	9	2400	200
ET070049	5	55	10	9	500	200
ET070049	6	5	2	9	500	80
ET070050	1	5	6	9	420	180
ET070050	2	75	7	9	700	220
ET070050	3	55	8	41	400	200
ET070050	4	130	4	9	320	200
ET070050	5	43	1	9	120	180
ET070050	6	125	1	9	110	160
ET070051	1	50	1	41	150	20
ET070051	2	55	20	41	1000	120
ET070051	3	75	15	41	2500	200
ET070051	4	75	1	41	200	20
ET070051	5	43	3	41	750	40
ET070051	6	75	2	41	400	60
ET070051	7	19	1	41	220	15
ET070051	8	75	2	41	400	25
ET070052	1	75	2	2	1100	100
ET070052	2	125	.5	2	150	100
ET070052	3	43	.5	2	250	50
ET070052	4	5	2	2	600	120
ET070052	5	43	.5	2	250	50
ET070054	1	50	8.5	2	1850	860
ET070054	2	125	5	2	2100	435
ET070054	3	130	4	2	1200	300
ET070054	4	75	8	2	3360	510
ET070054	5	55	5	2	830	160
ET070054	6	5	1.5	2	300	50
ET070055	1	31	8	55	160	0
ET070055	2	75	5	2	2000	340
ET070055	3	55	3	41	480	30
ET070055	4	55	4	41	640	75
ET070055	5	125	1	41	250	100
ET070055	6	5	3	41	450	225
ET070055	7	55	4	2	400	210
ET070056	1	55	2	9	180	100
ET070056	2	125	2	9	400	150
ET070056	3	5	4	9	700	100
ET070056	4	5	2	9	350	200
ET070056	5	130	8	9	1600	250
ET070057	1	55	20	9	1200	200
ET070057	2	125	1	9	190	100
ET070057	3	55	10	9	600	100
ET070057	4	75	10	9	2200	100
ET070057	5	125	2	9	380	50
ET070057	6	43	1	9	400	100
ET070057	7	130	3	9	600	100
ET070058	1	130	6	9	1200	125
ET070058	2	5	5	9	1000	130
ET070058	3	125	2	5	75	20
ET070059	1	5	1	2	300	32
ET070059	2	75	1.5	2	600	140
ET070059	3	55	1	2	200	60
ET070059	4	26	1	48	30	10
ET070059	5	130	1	2	200	80
ET070059	6	5	1	2	300	100
ET070059	7	5	1	48	80	20
ET070060	1	5	1	41	200	60
ET070060	2	5	4	41	800	80
ET070060	3	75	2	41	420	70
ET070060	4	55	4	41	240	120
ET070061	1	75	2	2	1200	200
ET070061	2	5	1	2	500	40
ET070061	3	55	7	2	1400	100
ET070061	4	5	2	2	1000	100
ET070061	5	125	1	2	600	50
ET070061	6	75	2	2	1200	150
ET070062	1	55	23	9	1610	490
ET070062	2	5	10	9	1560	340
ET070062	3	75	2	9	500	80
ET070062	4	43	1	9	250	30
ET070063	1	26	0	1	0	8
ET070063	2	75	25	1	150	25
ET070063	3	125	1	9	250	50
ET070063	4	75	1	9	300	100
ET070063	5	130	3	9	600	150
ET070063	6	125	0	1	0	200
ET070064	1	5	8	41	1600	100
ET070064	2	55	8	4	400	60
ET070064	3	130	5	4	1250	200
ET070065	1	64	8	2	2640	320
ET070065	2	44	.5	2	128	8
ET070065	3	60	2.5	2	2500	340
ET070066	1	50	20	1	100	10
ET070066	2	5	5	9	1000	120
ET070066	3	55	11	9	660	150
ET070067	1	75	7	2	1230	120
ET070067	2	130	3	2	1320	220
ET070067	3	43	.5	1	250	60
ET070068	1	55	5	2	200	80
ET070068	2	75	5.5	2	1750	0
ET070069	1	55	13	41	780	100
ET070069	2	5	18	41	1320	88
ET070069	3	19	2	41	500	20
ET070070	1	75	2	41	400	30
ET070070	2	5	3	41	1000	20
ET070071	1	130	5	2	2000	180
ET070071	2	55	10	2	1000	100
ET070071	3	5	3	2	900	180
ET070071	4	19	.5	2	400	60
ET070071	5	43	4	5	60	20
ET070072	1	8	.5	2	500	100
ET070072	2	75	2	2	1200	150
ET070073	1	75	3	2	1500	186
ET070073	2	125	3.5	9	700	160
ET070073	3	5	4	9	680	190
ET070074	1	130	3	9	600	100
ET070074	2	55	3	9	180	180
ET070074	3	5	19	9	4500	790
ET070074	4	125	8	9	1920	200
ET070074	5	75	3	9	750	230
ET070075	1	125	1.5	41	315	105
ET070075	2	5	2	2	600	280
ET070075	3	130	1.5	2	450	150
ET070076	1	55	6.5	2	650	200
ET070076	2	75	2	2	1600	200
ET070076	3	5	.5	2	200	52
ET070076	4	130	1	2	500	75
ET070077	1	75	4	9	880	150
ET070077	2	42	1	9	400	100
ET070077	3	43	.5	9	150	62
ET070077	4	130	4	9	1200	200
ET070077	5	124	4	9	1600	200
ET070079	1	66	6	41	48	10
ET070079	2	10	3	41	48	5
ET070079	3	50	1.5	41	27	6
ET070080	1	130	13	9	3500	500
ET070080	2	125	4	9	500	100
ET070081	1	130	7.5	2	3000	345
ET070081	2	76	1	2	787	287
ET070081	3	19	3.5	2	1470	242
ET070081	4	43	.5	1	400	160
ET070082	1	55	2	2	400	100
ET070082	2	75	5	2	2500	120
ET070082	3	8	1	2	700	45
ET070082	4	19	2	2	700	60
ET070082	5	49	1	2	150	40
ET070082	6	125	1	2	750	160
ET070083	1	55	5	41	250	154
ET070083	2	43	1	41	300	20
ET070083	3	75	10	41	2220	60
ET070083	4	19	4	41	800	50
ET070083	5	130	2	41	400	50
ET070084	1	130	14	41	2800	25
ET070084	2	125	10	41	1900	10
ET070084	3	75	4	41	820	15
ET070084	4	130	6	41	1200	30
ET070085	1	75	725	1	2200	115
ET070085	2	125	1	9	250	75
ET070086	1	43	1	9	200	20
ET070086	2	75	5	9	750	60
ET070086	3	125	2	9	220	60
ET070086	4	19	1	9	230	32
ET070088	1	130	5.5	2	1850	0
ET070088	2	125	2	2	750	750
ET070088	3	75	4	2	1000	150
ET070088	4	55	2	2	200	100
ET070088	5	130	1	2	400	0
ET070088	7	130	2	2	600	0
ET070089	1	75	1.5	2	720	100
ET070089	2	5	1	2	300	100
ET070089	3	55	2	2	200	80
ET070090	1	50	2	49	150	4
ET070090	2	27	1	41	15	0
ET070090	3	130	4	2	1200	268
ET070090	4	5	3	2	900	30
ET070090	5	125	.5	2	220	15
ET070091	1	130	12	9	3600	100
ET070091	2	75	3	9	900	80
ET070094	1	55	4	41	210	105
ET070094	2	125	3	41	775	84
ET070094	3	43	40	1	225	12.5
ET070094	4	130	1	41	80	30
ET070094	5	19	1.5	41	330	115
ET070094	6	75	2	41	700	220
ET070094	7	5	1	41	100	15
ET070095	1	125	75	1	300	100
ET070095	2	130	5	2	1250	250
ET070096	1	19	3	9	660	100
ET070096	2	130	25	9	14000	450
ET070097	1	125	1.5	2	900	160
ET070097	2	130	2.5	2	1500	200
ET070097	3	43	.5	2	320	100
ET070097	4	75	2	2	1300	265
ET070098	1	75	.5	9	100	32
ET070098	2	55	5	9	300	120
ET070098	3	5	6	9	1200	300
ET070099	1	130	12	9	2660	160
ET070099	2	5	8	9	1800	120
ET070099	3	55	20	9	1000	120
ET070099	4	43	2	9	220	45
ET070100	1	50	3	10	10	2
ET070100	2	59	2	49	100	11
ET070100	3	43	25	1	125	50
ET070100	4	75	3	41	900	200
ET070100	5	55	4	41	200	100
ET070100	6	75	1	41	300	60
ET080001	1	44	5.5	2	2500	100
ET080001	2	35	2.5	2	800	200
ET080001	3	75	3	2	900	170
ET080002	1	44	3	2	960	450
ET080003	1	44	7	2	2800	340
ET080003	2	76	.5	2	350	120
ET080004	1	44	8	2	4000	84
ET080005	1	44	8	2	3200	220
ET080005	2	75	2	2	900	210
ET080006	1	44	4	2	1400	100
ET080006	2	76	3	2	2400	200
ET080006	3	75	6	2	2400	250
ET080007	1	44	12	2	4800	150
ET080007	2	8	2	2	1200	90
ET080007	3	35	9	2	3600	130
ET080008	1	76	4	2	4000	302
ET080009	1	44	5	2	2000	20
ET080010	1	44	1	2	210	0
ET080011	1	44	6	2	2400	308
ET080012	1	75	16	2	6400	260
ET080012	2	64	2	2	520	80
ET080012	3	44	12	2	3600	250
ET080012	4	76	75	1	540	15
ET080013	1	76	2	2	2600	174
ET080013	2	44	23	2	7590	1650
ET080014	1	44	10	2	4500	300
ET080014	2	35	3	2	1050	595
ET080015	1	44	7	2	2100	1265
ET080016	1	44	5	2	1750	416
ET080016	2	8	2	2	2000	144
ET080016	3	76	2	2	2000	144
ET080017	1	44	11	2	3850	320
ET080017	2	5	3.5	2	2710	180
ET080017	3	35	3	2	1050	340
ET080018	1	44	10	2	3500	240
ET080018	2	75	4.5	2	2210	148
ET080019	1	44	23	2	7360	400
ET080020	1	44	10	2	2000	250
ET080020	2	10	40	40	1000	400
ET080020	3	35	.5	2	150	0
ET080021	1	8	2	2	1600	305
ET080021	2	35	3	2	750	135
ET080021	3	5	50	1	200	70
ET080021	4	44	30	2	9000	210
ET080022	1	44	2	2	800	100
ET080023	1	44	45	2	18500	10000
ET080023	2	35	12	2	4400	2200
ET080023	3	8	2	2	1400	700
ET080024	1	44	7	2	2800	690
ET080025	1	44	6	2	2400	212
ET080025	2	8	1	2	800	240
ET080027	1	44	8	2	3200	80
ET080028	1	44	6	2	2400	480
ET080028	2	8	2	2	1600	339
ET080029	1	44	6	2	2100	180
ET080030	1	44	11	2	3850	830
ET080030	2	75	8	2	3200	385
ET080030	3	50	18	2	1500	1240
ET080030	4	10	38	2	9500	9600
ET080030	5	9	12	2	7200	320
ET080031	1	44	29	2	10150	1200
ET080031	2	75	12	2	4800	400
ET080031	3	76	5	2	5000	360
ET080032	1	44	2	2	600	0
ET080032	2	35	1.5	2	525	20
ET080032	3	76	3.5	2	2555	290
ET080032	4	8	1.5	2	900	90
ET080033	1	44	20	2	8000	2200
ET080033	2	75	1	2	560	134
ET080033	3	76	1	2	1000	140
ET080034	1	44	9	2	2700	0
ET080034	2	76	2	2	2000	39
ET080034	3	35	5	2	1350	300
ET080035	1	44	16	2	4800	1000
ET080035	2	72	100	2	24000	85000
ET080035	3	50	770	2	192500	110000
ET080035	4	75	48	2	14400	8400
ET080036	1	44	4.5	2	1575	700
ET080037	1	44	7	2	2100	420
ET080037	2	76	.5	1	400	110
ET080038	1	44	2	2	600	375
ET080038	2	8	.7	2	490	240
ET080039	1	44	4	2	1280	1440
ET080040	1	44	12	2	4800	1600
ET080040	2	8	2	2	1600	1000
ET080041	1	44	770	1	2541	110
ET080042	1	44	25.5	2	7500	400
ET080042	2	75	2.5	2	1125	90
ET080042	3	8	91	1	637	142
ET080042	4	35	4	2	1400	130
ET080043	1	44	20	2	7000	2580
ET080043	2	76	1	2	900	140
ET080043	3	75	4	2	1680	300
ET080043	4	35	7	2	2660	360
ET080045	1	44	20	2	8000	380
ET080045	2	76	2	2	2400	320
ET080046	1	44	11	2	3080	2520
ET080046	2	75	3	2	900	100
ET080047	1	44	2	2	800	0
ET080047	2	10	20	41	2000	0
ET080047	3	35	3	2	1200	0
ET080048	1	44	1	2	350	140
ET080048	2	76	250	1	2000	190
ET080049	1	44	10.5	2	4200	2620
ET080049	2	76	1	2	1000	520
ET080050	1	44	4	2	1400	150
ET080051	1	76	3	2	3000	200
ET080051	2	44	20	2	8000	900
ET080051	3	75	1	2	400	50
ET080051	4	5	2	2	1000	100
ET080052	1	44	1	2	418	20
ET080053	1	44	40	2	12000	50
ET080053	2	76	8	2	2720	75
ET080054	1	44	3	2	1110	100
ET080054	2	35	3.5	2	1400	70
ET080055	1	44	1.5	2	540	0
ET080055	2	75	3	2	1800	1067
ET080056	1	44	4	2	1600	24
ET080057	1	44	2.5	2	600	45
ET080058	1	44	6	2	1800	0
ET080058	2	35	10	2	3500	320
ET080059	1	44	6	2	2400	75
ET080060	1	44	6	2	1800	1000
ET080060	2	75	13	2	5538	3744
ET080060	3	50	120	2	19000	15875
ET080060	4	76	1	2	800	560
ET080060	5	10	120	40	4800	3400
ET080060	6	7	15	40	5250	4125
ET080061	1	44	26	2	12500	865
ET080061	2	75	15	2	3600	3000
ET080061	3	50	180	2	54000	38000
ET080062	1	44	5.5	2	2090	117
ET080062	2	35	1.5	2	570	355
ET080063	1	44	9	2	3600	30
ET080063	2	76	2	2	1700	60
ET080063	3	35	3	2	1100	60
ET080065	1	44	6	2	2400	210
ET080065	2	75	3	2	1600	240
ET080066	1	44	4	2	1600	50
ET080067	1	44	2	2	800	340
ET080068	1	44	25	2	10500	230
ET080068	2	35	2.5	2	1125	1095
ET080068	3	5	2	2	800	320
ET080068	4	8	1.5	2	825	302
ET080069	1	44	13	2	5200	140
ET080069	2	75	5.5	2	3300	664
ET080069	3	35	2	2	700	80
ET080069	4	50	45	2	9000	8100
ET080070	1	44	8.75	2	1980	910
ET080072	1	44	10	2	3000	120
ET080072	2	50	7	2	10000	5000
ET080072	3	72	5	2	4000	1000
ET080072	4	75	2	2	1400	60
ET080072	5	8	.5	2	350	60
ET080072	6	10	8000	56	4000	700
ET080073	1	44	7	2	3150	350
ET080073	2	10	64	2	960	1160
ET080074	1	44	35	2	14700	2000
ET080074	2	35	2	2	800	200
ET080075	1	44	1	2	400	20
ET080075	2	76	.5	2	500	167
ET080076	1	44	4	2	1520	83
ET080078	1	44	50	1	180	0
ET080078	2	76	100	1	1200	200
ET080079	1	44	5.5	2	1800	130
ET080079	2	35	3	2	960	180
ET080080	1	44	2	2	600	33
ET080081	1	44	7	2	2520	400
ET080081	2	35	7	2	2590	500
ET080081	3	5	7	2	2240	100
ET080082	1	44	12	2	4440	20
ET080082	2	76	3	2	2700	46
ET080083	1	44	4	2	1200	400
ET080083	2	35	3	2	1200	820
ET080083	3	76	.5	2	500	470
ET080084	1	44	5.5	2	1650	0
ET080085	1	44	10	2	3000	1300
ET080085	2	75	6	2	2400	80
ET080085	3	76	2	2	1600	350
ET080085	4	35	6	2	1680	900
ET080086	1	44	8	2	3200	200
ET080086	2	76	1.5	2	1425	100
ET080086	3	5	1	2	400	50
ET080087	1	44	6	2	2400	1440
ET080087	2	8	3	2	3000	770
ET080088	1	44	12	2	4440	90
ET080088	2	76	1	2	1000	144
ET080088	3	35	4	2	800	500
ET080089	1	44	7	2	3500	135
ET080089	2	76	4	2	4000	156
ET080091	1	44	6	2	2200	55
ET080091	2	76	25	1	250	39
ET080091	3	35	50	1	200	42
ET080092	1	44	4	2	1200	160
ET080092	2	35	2	2	740	100
ET080092	3	76	3	2	3000	1440
ET080092	4	75	3	2	1800	960
ET080093	1	44	4	2	1200	0
ET080093	2	76	2	2	2000	190
ET080094	1	44	10	2	3700	110
ET080095	1	44	85	2	22500	2600
ET080095	2	35	2	2	700	60
ET080095	3	10	60	2	3000	250
ET080096	1	44	10	2	3000	1606
ET080096	2	75	4	2	1600	112
ET080097	1	44	10	2	3800	970
ET080097	2	76	3	2	2550	605
ET080098	1	76	2	2	1600	150
ET080098	2	44	4	2	1200	70
ET080098	3	50	34.5	2	11900	7000
ET080098	4	72	60	17	4000	3000
ET080098	5	9	30	2	2500	1000
ET080099	1	44	8	2	3200	170
ET080099	2	8	2	2	1800	424
ET080099	3	35	2.25	2	890	150
ET080100	1	44	3	2	1200	200
ET090001	1	44	.5	2	25	0
ET090001	2	76	1	2	1100	81
ET090001	3	35	5	2	1350	1060
ET090001	4	75	1.5	2	705	360
ET090002	1	44	1	2	300	0
ET090002	2	35	10	2	2800	490
ET090002	3	5	3	2	900	45
ET090002	4	75	29.5	2	14750	6195
ET090003	1	44	3	2	900	0
ET090003	2	75	12	2	6000	1041
ET090003	3	76	2	2	1600	60
ET090003	4	5	7	2	2100	310
ET090003	5	35	10	2	2800	0
ET090004	1	76	3	2	2400	192
ET090004	2	75	9	2	4250	3600
ET090004	3	35	3	2	600	700
ET090005	1	44	6.5	2	1950	130
ET090005	2	75	37.2	2	18600	3630
ET090005	3	35	22	2	6930	1000
ET090005	4	76	3	2	2700	870
ET090005	5	5	3	2	930	0
ET090006	1	44	12	2	3600	200
ET090006	2	75	15	2	7500	1000
ET090006	3	35	10.5	2	4410	800
ET090006	4	76	4	2	3600	600
ET090007	1	55	2.5	2	400	40
ET090007	2	7	.5	2	1500	10
ET090007	3	44	4	2	1200	100
ET090007	4	35	11	2	4400	1100
ET090007	5	75	15	2	6000	1645
ET090007	6	5	2	2	600	82
ET090007	7	76	1	2	1200	580
ET090007	8	42	2.5	2	2150	131
ET090008	1	44	5	2	1000	0
ET090008	2	35	2	2	400	79.2
ET090008	3	76	3	2	2100	156
ET090008	4	75	19	2	7600	237
ET090008	5	51	1.5	2	240	195
ET090009	1	44	5	2	2600	115
ET090009	2	75	7	2	4550	199
ET090009	3	35	11	2	3300	225
ET090010	1	44	6.5	2	1950	0
ET090010	2	75	7	2	2800	623
ET090010	3	5	3	2	750	0
ET090010	4	35	3	2	900	0
ET090011	1	44	5	2	800	0
ET090011	2	75	9	2	4500	219
ET090011	3	35	6	2	2400	0
ET090011	4	76	3	2	3000	0
ET090012	1	76	7	2	7000	2500
ET090012	2	75	7	2	3500	800
ET090012	3	44	20	2	6000	1200
ET090012	4	35	13	2	4290	2000
ET090013	1	5	1	2	400	40
ET090014	1	44	4.5	2	1350	20
ET090014	2	35	7	2	2100	100
ET090014	3	76	1.5	2	900	415
ET090014	4	75	5	2	2000	285
ET090014	5	5	5	2	1500	360
ET090016	1	44	2	2	600	0
ET090016	2	75	60	2	21000	3330
ET090017	1	44	2	2	600	0
ET090017	2	75	7	2	2100	210
ET090017	3	5	10	2	2500	105
ET090017	4	35	6	2	2400	420
ET090017	5	76	3	2	2400	840
ET090018	1	44	10	2	3000	400
ET090018	2	75	8	2	4000	1716
ET090018	3	76	3.5	2	2800	104
ET090018	4	35	6	2	2100	1150
ET090020	1	44	5	2	2000	140
ET090020	2	76	7	2	7000	1232
ET090020	3	35	8	2	3200	610
ET090020	4	5	5	2	1750	115
ET090020	5	75	35	2	24500	7066
ET090021	1	75	14	2	8400	760
ET090021	2	35	12	2	4800	100
ET090021	3	76	150	1	1200	35
ET090021	4	44	150	1	450	0
ET090022	1	35	24	2	8880	1880
ET090022	2	44	1	2	350	0
ET090022	3	8	3	2	2100	50
ET090022	4	75	21	2	8820	3886
ET090022	5	76	4	2	4000	1530
ET090023	1	44	2.5	2	500	0
ET090023	2	75	8	2	3360	916
ET090023	3	8	1	2	700	350
ET090023	4	35	6	2	2280	1140
ET090023	5	76	6	2	5100	260
ET090024	1	44	1.5	2	450	40
ET090024	2	76	4	2	3200	721.6
ET090024	3	35	5	2	900	222
ET090024	4	75	9	2	3150	1116
ET090025	1	44	8	2	2640	900
ET090025	2	35	9	2	3780	400
ET090025	3	75	20	2	9200	900
ET090025	4	76	9	2	8640	750
ET090025	5	5	7	2	2380	460
ET090026	1	44	.5	2	250	0
ET090026	2	35	10	2	3700	850
ET090026	3	76	2	2	2000	60
ET090026	4	75	10	2	4800	1730
ET090026	5	5	1	2	300	65
ET090027	1	5	18	2	7200	530
ET090027	2	35	8	2	2160	300
ET090027	3	75	15	2	8100	920
ET090027	4	76	4	2	3400	650
ET090027	5	44	6	2	2100	0
ET090028	1	44	4	2	1600	0
ET090028	2	35	3	2	1200	80
ET090028	3	5	2	2	750	0
ET090028	4	75	9	2	4800	222
ET090028	5	76	1	2	900	1000
ET090028	6	79	1	2	1000	0
ET090030	1	44	1	2	200	0
ET090030	2	35	14	2	4580	160
ET090030	3	75	21	2	7350	1010
ET090031	1	44	8	2	3200	200
ET090031	2	76	16	2	16000	1280
ET090031	3	35	11	2	4440	400
ET090031	4	5	10	2	3500	700
ET090031	5	75	10	2	3500	2028
ET090033	1	35	3	2	600	40
ET090033	2	75	20	2	5600	4800
ET090033	3	44	3	2	900	90
ET090034	1	44	.5	2	140	0
ET090034	2	75	5	2	2000	518.76
ET090034	3	35	1	2	250	164.72
ET090034	4	76	3	2	2400	468.76
ET090034	5	8	1	2	700	14.72
ET090035	1	44	6	2	1800	100
ET090035	2	75	9	2	5000	100
ET090035	3	35	2	2	800	0
ET090035	4	8	1	2	500	320
ET090036	1	44	1	2	350	32
ET090036	2	75	15	2	7500	2950
ET090036	3	35	9.5	2	3135	1530
ET090036	4	76	2	2	1600	175
ET090037	1	44	2.5	2	675	0
ET090037	2	35	4	2	1600	264
ET090037	3	5	5	2	1500	150
ET090037	4	76	3	2	2700	405
ET090037	5	75	8	2	4000	310
ET090038	1	76	7	2	8400	2100
ET090039	1	44	5	2	1500	265
ET090040	1	44	2	2	700	87.5
ET090040	2	5	5	2	1500	300
ET090040	3	64	1	2	500	30
ET090040	4	76	3	2	3000	290
ET090041	1	44	1	2	350	0
ET090041	2	75	27	2	18900	4765
ET090041	3	5	2	2	660	100
ET090041	4	35	2	2	700	145
ET090042	1	44	1.25	2	500	32
ET090042	2	8	1	2	900	15
ET090042	3	35	5	2	2000	160
ET090042	4	79	1	2	500	16
ET090042	5	75	12	2	4800	2249
ET090043	1	8	3	2	2800.5	220
ET090043	2	5	5	2	1500	78
ET090043	3	35	25	2	5000	3100
ET090043	4	75	19	2	6840	1490
ET090043	5	44	2	2	640	172
ET090044	1	44	3	2	1200	549
ET090044	2	75	3	2	1200	232
ET090044	3	76	4	2	3000	1128
ET090045	1	5	7	2	3500	70
ET090045	2	7	75	1	1500	30
ET090045	3	35	7	2	1610	270
ET090045	4	44	6	2	2400	0
ET090045	5	79	50	1	300	0
ET090045	6	75	3	2	1350	225
ET090046	1	35	6	2	2400	600
ET090046	2	44	4	2	1200	0
ET090046	3	75	10	2	4500	600
ET090047	1	44	6	2	1800	20
ET090047	2	75	12	2	4800	2030
ET090047	3	35	18	2	6820	400
ET090047	4	5	5	2	2000	176
ET090048	1	35	3	2	1200	0
ET090048	2	44	1	2	350	0
ET090048	3	75	6	2	3000	0
ET090049	1	44	4	2	1320	6
ET090049	2	35	2	2	700	0
ET090049	3	75	4	2	2200	24
ET090049	4	76	2	2	1800	936
ET090050	1	44	0	88	0	0
ET090050	2	75	5	2	2000	200
ET090050	3	35	10	2	3000	1800
ET090051	1	44	4	2	1200	0
ET090051	2	35	12	2	4800	2580
ET090051	3	76	3	2	2400	775
ET090051	4	75	15	2	6450	1846
ET090051	5	5	5	2	1500	600
ET090052	1	75	18	2	7200	2020
ET090052	2	35	8	2	3200	480
ET090052	3	76	7	2	6300	1150
ET090053	1	44	6	2	2400	200
ET090053	2	35	6	2	2400	300
ET090053	3	76	1	2	900	50
ET090053	4	5	5	2	1750	70
ET090053	5	75	9	2	4500	1750
ET090054	1	75	30	2	12250	2620
ET090054	2	76	6	2	5100	714
ET090054	3	35	22	2	7700	2900
ET090054	4	5	6	2	2400	140
ET090054	5	44	5	2	2000	0
ET090055	1	44	2	2	600	0
ET090055	2	75	2	2	600	900
ET090055	3	35	3.5	2	1400	580
ET090056	1	44	2	2	300	30
ET090056	2	75	13	2	5200	2560
ET090056	3	35	3	2	1000	150
ET090057	1	44	5	2	1500	100
ET090057	2	35	5	2	1500	150
ET090057	3	76	4	2	3200	1150
ET090057	4	75	11	2	5500	2810
ET090057	5	5	6	2	2400	600
ET090057	6	79	2	2	600	0
ET090058	1	44	.5	2	150	0
