CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET050010	5	8	50	1	333	0
ET050011	1	44	.5	2	200	0
ET050011	2	8	3.5	2	2334	0
ET050011	3	125	3	2	1000	240
ET050012	1	130	51	1	270	0
ET050012	2	125	50	1	150	0
ET050018	1	5	4	2	1970	76
ET050019	1	8	2	2	1440	80
ET050019	2	75	2.5	2	1350	370
ET050019	3	125	4	2	2720	360
ET050019	4	44	.25	2	100	20
ET050020	1	8	5	2	3600	425
ET050020	2	125	5	2	1800	564
ET050020	3	15	1	2	408	312
ET050020	4	75	5	2	2520	450
ET050020	5	130	1	2	504	150
ET050020	6	43	.25	2	150	20
ET050021	1	5	.5	2	200	0
ET050021	2	8	2.5	2	1667	0
ET050021	3	130	3	2	1500	0
ET050021	4	44	.5	2	180	0
ET050022	1	44	120	1	402	0
ET050022	2	5	200	1	952	0
ET050022	3	8	500	1	3400	0
ET050023	1	8	2.5	2	1625	50
ET050023	2	15	.5	2	204	0
ET050023	3	124	1	2	510	0
ET050024	1	8	1	2	680	100
ET050024	2	125	2	2	720	625
ET050026	1	5	6	2	2574	429
ET050026	2	124	4	2	1320	330
ET050027	1	44	4	41	374	0
ET050027	2	76	8	41	1680	150
ET050027	3	5	6	41	714	100
ET050027	4	130	4	41	684	50
ET050027	5	125	4	41	720	100
ET050028	1	8	3	2	1920	0
ET050028	2	125	0	1	0	0
ET050028	3	130	3	2	1248	0
ET050028	4	15	.75	2	275	0
ET050031	1	130	3.5	2	1785	740
ET050031	2	8	2	2	1360	175
ET050031	3	43	.5	2	360	30
ET050031	4	125	1	2	360	96
ET050032	1	19	200	1	804	40
ET050036	1	124	5	2	1700	864
ET050036	2	5	1	2	500	100
ET050036	3	8	1	2	900	70
ET050038	1	130	108	1	1218	790
ET050038	2	8	270	1	1800	480
ET050038	3	125	336	1	1120	480
ET050040	1	75	5	2	2700	750
ET050040	2	8	2	2	2100	300
ET050040	3	125	3.5	2	1190	429
ET050040	4	15	.5	2	160	140
ET050042	1	8	2	2	1360	375
ET050042	2	130	1.5	2	765	450
ET050042	3	5	1	2	476	225
ET050043	1	44	1	2	250	0
ET050043	2	7	3	1	90	0
ET050045	1	125	10.5	2	3675	684
ET050045	2	8	5	2	3300	300
ET050045	3	75	6	2	1836	396
ET050045	4	42	1	2	700	10
ET050045	5	15	1.2	2	672	567
ET050045	6	43	.18	2	120	18
ET050047	1	15	100	1	390	15
ET050047	2	125	100	1	390	15
ET050048	1	8	3	2	1980	60
ET050048	2	124	2	2	660	48
ET050049	1	125	1	2	396	180
ET050049	2	8	1.5	2	1000	80
ET050051	1	19	400	1	1792	33
ET050051	2	130	250	1	1040	33
ET050052	1	8	.5	2	180	32
ET050057	1	8	100	1	680	0
ET050057	2	130	100	1	408	0
ET050057	3	44	0	88	-88	-88
ET050058	1	8	75	52	330	0
ET050058	2	125	15	52	195	0
ET050059	1	76	3	2	2160	150
ET050059	2	15	0	88	0	193
ET050061	1	125	108	1	432	40
ET050066	1	8	3	2	2750	235
ET050066	2	44	.25	2	75	3
ET050067	1	8	1.5	2	1099	72
ET050068	1	125	300	1	500	150
