CHILDID	PLOTID	CRPRNR31	CRPRNR32	CRPDYR31	CRPDYR32	IRRIGTR3	PERIRRGR3
ET060042	4	125	20	888	888	0	88
ET060042	5	27	888	27	888	0	88
ET060043	1	44	888	888	888	0	88
ET060043	2	8	888	888	888	0	88
ET060043	3	8	888	888	888	0	88
ET060043	4	125	888	888	888	0	88
ET060043	5	55	26	888	888	0	88
ET060045	2	79	125	888	888	0	88
ET060045	3	15	888	888	888	0	88
ET060045	4	79	888	888	888	0	88
ET060045	5	8	888	888	888	0	88
ET060045	6	8	888	888	888	0	88
ET060046	1	7	888	888	888	0	88
ET060046	2	5	888	888	888	0	88
ET060046	3	76	888	888	888	0	88
ET060046	4	31	888	888	888	0	88
ET060046	5	76	888	888	888	0	88
ET060047	1	44	55	888	888	0	88
ET060047	2	8	44	888	888	0	88
ET060047	3	5	888	888	888	0	88
ET060047	4	47	888	888	888	0	88
ET060047	5	64	888	888	888	0	88
ET060048	1	7	44	888	888	0	88
ET060048	2	79	888	888	888	0	88
ET060048	3	5	8	888	888	0	88
ET060049	2	8	888	888	888	1	1
ET060049	3	125	888	888	888	0	88
ET060049	4	20	888	888	888	0	88
ET060050	1	44	888	888	888	0	88
ET060050	2	55	8	888	888	0	88
ET060050	3	64	888	888	888	0	88
ET060050	4	64	888	888	888	0	88
ET060050	5	125	888	888	888	0	88
ET060051	1	64	888	888	888	0	88
ET060051	2	76	888	888	888	0	88
ET060051	3	20	888	888	888	0	88
ET060052	4	17	27	17	27	1	4
ET060053	1	44	55	888	888	0	88
ET060053	2	31	888	888	888	0	88
ET060053	3	79	8	888	888	0	88
ET060053	4	8	888	888	888	0	88
ET060053	5	23	888	888	888	0	88
ET060053	6	31	888	888	888	0	88
ET060053	7	47	55	888	888	0	88
ET060053	8	55	888	50	888	1	4
ET060053	9	5	7	50	888	1	2
ET060054	1	44	7	888	888	0	88
ET060054	2	8	79	888	888	0	88
ET060054	3	79	888	888	888	0	88
ET060054	4	79	888	888	888	0	88
ET060054	5	8	888	888	888	0	88
ET060055	1	31	888	888	888	0	88
ET060055	2	15	64	888	888	0	88
ET060055	3	8	888	888	888	0	88
ET060055	4	47	888	50	888	1	2
ET060055	5	53	888	888	888	0	88
ET060055	6	31	888	888	888	0	88
ET060056	1	44	888	888	888	0	88
ET060056	2	15	888	888	888	0	88
ET060056	4	5	888	888	888	0	88
ET060056	6	79	47	50	888	1	4
ET060056	7	76	888	7	888	1	4
ET060059	1	78	888	888	888	0	88
ET060059	2	76	888	888	888	0	88
ET060059	3	46	888	888	888	0	88
ET060059	4	15	888	888	888	0	88
ET060060	1	7	44	50	888	1	1
ET060060	2	15	888	888	888	0	88
ET060060	5	79	15	888	888	0	88
ET060060	6	47	888	888	888	0	88
ET060060	7	7	888	888	888	0	88
ET060061	1	44	888	888	888	0	88
ET060061	2	8	888	888	888	0	88
ET060061	3	8	888	888	888	0	88
ET060062	2	64	888	888	888	0	88
ET060062	3	53	888	888	888	0	88
ET060062	4	7	888	888	888	0	88
ET060062	5	47	888	888	888	0	88
ET060062	6	8	888	888	888	0	88
ET060062	7	15	888	888	888	0	88
ET060062	8	50	888	50	888	1	2
ET060063	1	44	888	888	888	0	88
ET060063	4	8	888	123	888	1	4
ET060063	5	20	888	888	888	0	88
ET060063	6	79	888	888	888	0	88
ET060063	7	125	888	888	888	0	88
ET060064	1	44	888	888	888	0	88
ET060064	2	8	888	888	888	0	88
ET060064	3	20	888	888	888	0	88
ET060064	4	20	8	888	888	0	88
ET060064	5	79	20	888	888	0	88
ET060064	6	50	888	50	888	0	88
ET060064	7	31	888	888	888	0	88
ET060064	8	8	888	888	888	0	88
ET060064	9	8	888	888	888	0	88
ET060064	10	8	888	888	888	0	88
ET060064	11	20	888	888	888	0	88
ET060064	12	79	888	888	888	0	88
ET060065	1	44	55	888	888	0	88
ET060065	2	15	888	888	888	0	88
ET060065	3	79	888	888	888	0	88
ET060065	4	79	888	888	888	0	88
ET060065	5	19	888	888	888	0	88
ET060065	6	76	888	888	888	0	88
ET060065	7	19	888	888	888	0	88
ET060065	8	79	888	888	888	0	88
ET060065	9	76	888	888	888	0	88
ET060065	10	888	888	55	44	1	4
ET060065	11	888	888	26	44	1	4
ET060066	1	44	17	888	888	0	88
ET060066	2	76	888	888	888	0	88
ET060066	3	31	888	888	888	0	88
ET060066	4	76	888	888	888	0	88
ET060066	5	31	888	888	888	0	88
ET060066	6	76	888	888	888	0	88
ET060066	7	47	888	888	888	0	88
ET060066	8	47	888	888	888	0	88
ET060067	1	8	44	888	888	0	88
ET060067	2	76	888	888	888	0	88
ET060067	3	76	888	888	888	0	88
ET060067	4	47	888	888	888	0	88
ET060067	5	888	888	65	888	1	4
ET060068	1	64	888	888	888	0	88
ET060068	2	79	888	888	888	0	88
ET060068	3	20	888	888	888	0	88
ET060068	4	76	888	888	888	0	88
ET060068	5	76	888	888	888	0	88
ET060068	6	888	888	55	888	1	4
ET060068	7	888	888	50	888	1	4
ET060070	1	44	888	888	888	0	88
ET060070	2	76	888	888	888	0	88
ET060070	3	76	888	888	888	0	88
ET060071	1	8	76	888	888	0	88
ET060071	2	8	888	888	888	0	88
ET060071	3	20	64	888	888	0	88
ET060071	4	64	888	888	888	0	88
ET060071	5	5	888	55	888	1	2
ET060072	1	44	888	888	888	0	88
ET060072	2	47	888	50	888	1	2
ET060072	4	20	888	888	888	0	88
ET060072	5	76	888	888	888	0	88
ET060072	6	76	888	888	888	0	88
ET060072	9	79	888	888	888	0	88
ET060072	10	55	888	888	888	0	88
ET060072	11	76	888	888	888	0	88
ET060073	1	44	888	888	888	0	88
ET060074	1	44	55	96	888	0	88
ET060074	2	76	888	96	888	0	88
ET060074	3	79	888	96	888	0	88
ET060074	4	53	96	53	96	1	3
ET060074	5	79	888	96	888	0	88
ET060074	6	26	44	96	888	0	88
ET060074	7	55	44	55	44	1	3
ET060074	8	53	888	96	888	0	88
ET060075	1	19	125	888	888	0	88
ET060075	2	75	888	888	888	0	88
ET060075	3	76	888	888	888	0	88
ET060075	4	79	888	888	888	0	88
ET060075	5	76	888	888	888	0	88
ET060076	2	20	888	888	888	0	88
ET060076	3	76	19	888	888	0	88
ET060077	1	64	9	55	26	1	2
ET060077	2	76	79	888	888	0	88
ET060077	3	76	888	888	888	0	88
ET060077	4	47	888	888	888	0	88
ET060077	5	20	888	888	888	0	88
ET060077	6	31	888	888	888	0	88
ET060077	7	64	888	888	888	0	88
ET060077	8	21	888	888	888	0	88
ET060077	9	21	888	888	888	0	88
ET060080	1	44	55	888	888	0	88
ET060080	2	76	888	888	888	0	88
ET060080	3	5	888	888	888	0	88
ET060080	4	76	20	888	888	0	88
ET060080	5	888	888	26	50	1	4
ET060081	2	8	888	888	888	0	88
ET060081	3	64	20	888	888	0	88
ET060082	1	44	888	888	888	0	88
ET060082	2	8	888	888	888	0	88
ET060082	3	79	888	888	888	0	88
ET060083	1	8	55	888	888	1	2
ET060083	2	64	888	888	888	0	88
ET060083	3	47	19	888	888	0	88
ET060083	4	8	888	888	888	0	88
ET060083	5	20	888	888	888	0	88
ET060084	1	79	888	888	888	0	88
ET060084	2	79	20	888	888	0	88
ET060084	3	20	888	50	888	1	1
ET060084	4	125	888	888	888	0	88
ET060084	5	8	888	888	888	0	88
ET060084	6	76	888	888	888	0	88
ET060085	1	55	888	888	888	0	88
ET060085	2	76	888	888	888	0	88
ET060085	3	79	888	888	888	0	88
ET060085	4	79	888	888	888	0	88
ET060085	5	47	888	888	888	0	88
ET060085	6	79	888	888	888	0	88
ET060086	1	64	55	888	888	0	88
ET060086	2	47	888	888	888	0	88
ET060086	3	64	888	888	888	0	88
ET060086	4	64	888	888	888	0	88
ET060086	5	55	888	888	888	0	88
ET060087	1	50	888	50	888	1	1
ET060087	2	79	888	888	888	0	88
ET060087	3	76	888	888	888	0	88
ET060087	4	47	888	888	888	0	88
ET060088	1	44	888	888	888	0	88
ET060088	2	20	79	5	888	0	88
ET060088	3	79	888	888	888	0	88
ET060088	4	76	888	888	888	0	88
ET060089	2	44	888	888	888	1	4
ET060089	3	123	888	888	888	0	88
ET060089	4	15	75	888	888	1	4
ET060091	1	44	888	888	888	0	88
ET060091	3	47	888	888	888	0	88
ET060091	4	64	888	888	888	0	88
ET060091	5	125	888	888	888	0	88
ET060091	6	125	888	888	888	0	88
ET060091	7	125	888	888	888	0	88
ET060091	8	64	888	888	888	0	88
ET060091	9	8	888	888	888	0	88
ET060092	1	64	8	888	888	0	88
ET060092	3	64	888	888	888	0	88
ET060092	5	8	888	888	888	0	88
ET060093	1	20	8	888	888	0	88
ET060094	1	7	888	888	888	0	88
ET060094	5	55	888	888	888	0	88
ET060096	1	44	888	888	888	0	88
ET060096	2	76	888	888	888	0	88
ET060096	3	20	888	888	888	0	88
ET060096	4	79	888	888	888	0	88
ET060096	5	44	888	888	888	0	88
ET060096	6	31	888	888	888	0	88
ET060096	7	888	888	50	888	1	4
ET060096	8	79	888	888	888	0	88
ET060097	1	20	76	888	888	0	88
ET060097	2	5	888	888	888	0	88
ET060097	3	79	888	888	888	0	88
ET060098	1	44	888	50	888	1	1
ET060098	2	76	5	888	888	0	88
ET060098	3	888	888	27	17	1	4
ET060098	4	55	20	888	888	0	88
ET060098	6	20	79	888	888	0	88
ET060098	7	76	888	888	888	0	88
ET060098	9	20	888	888	888	0	88
ET060098	10	79	888	888	888	0	88
ET060100	1	44	888	888	888	0	88
ET060100	2	79	888	888	888	0	88
ET060100	3	79	888	888	888	0	88
ET060100	4	79	888	888	888	0	88
ET060100	5	21	888	888	888	0	88
