CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUIMR301	SUIMR302
ET010082	1	12	34	1997	-99	4	3	2	9	88
ET010084	1	12	34	1994	-99	4	7	3	9	88
ET010086	1	12	34	2000	-99	4	0	3	4	88
ET010087	1	12	34	1997	-99	4	0	2	4	88
ET010088	1	12	34	1981	-99	4	80	4	4	88
ET010089	1	12	34	1991	-99	4	15	4	9	88
ET010092	1	12	34	1995	-99	4	6	4	9	88
ET010093	1	12	34	1995	-99	4	15	4	9	88
ET010095	1	12	34	1997	-99	4	15	4	5	88
ET010098	1	12	34	2002	-99	4	0	2	4	88
ET020001	1	16	34	1999	-99	5	15	4	4	6
ET020001	2	7	6	2000	-99	5	7	4	5	88
ET020002	1	7	6	1998	-99	8	80	5	3	88
ET020002	2	8	6	1998	2002	8	2	4	3	88
ET020005	1	8	6	1994	-99	8	3	5	3	7
ET020014	1	16	15	1995	-99	5	15	4	4	88
ET020014	2	8	6	1999	-99	8	2	5	2	88
ET020016	1	1	5	1998	-99	5	80	3	1	88
ET020016	2	9	6	1996	-99	5	80	5	5	88
ET020020	1	12	15	2001	-99	4	0	1	4	3
ET020025	1	7	36	1999	2000	2	3	4	3	88
ET020025	2	8	36	1999	2000	2	3	4	6	88
ET020025	3	13	36	1999	2000	2	3	4	7	88
ET020028	1	7	6	1997	-99	8	8	3	3	88
ET020028	2	8	6	1998	-99	8	8	3	3	88
ET020028	3	19	15	2001	-99	2	9	1	4	88
ET020029	1	9	6	2001	2001	4	1	4	9	88
ET020029	2	16	15	2001	-99	4	0	4	4	88
ET020030	1	8	30	1998	-99	8	2	1	3	88
ET020032	1	6	7	2001	2001	4	15	4	4	9
ET020033	1	8	6	1999	-99	10	2	4	1	7
ET020033	2	16	15	1999	-99	4	0	4	6	88
ET020035	1	7	6	1999	-99	5	2	4	5	88
ET020035	2	8	6	1999	-99	5	2	4	5	88
ET020035	3	16	15	1999	-99	4	0	4	4	88
ET020035	4	16	15	1999	-99	4	4	4	4	88
ET020035	5	16	15	1999	-99	4	5	4	4	88
ET020035	6	16	15	1999	-99	4	15	4	4	88
ET020036	1	11	30	2000	-99	8	2	1	5	88
ET020037	1	7	6	1991	-99	8	7	5	3	88
ET020037	2	5	13	2000	-99	10	1	5	3	88
ET020038	1	19	36	2001	2001	9	0	4	2	1
ET020040	1	16	15	1999	-99	4	0	3	4	88
ET020044	1	8	6	1999	-99	8	80	4	3	88
ET020044	2	7	6	1999	-99	8	80	3	3	88
ET020046	1	8	30	1993	-99	8	2	5	3	88
ET020046	2	11	30	1993	-99	8	2	5	3	88
ET020049	1	7	15	1999	-99	8	2	5	3	5
ET020051	1	8	6	1999	-99	8	3	4	2	88
ET020052	1	8	6	1992	-99	8	3	5	3	88
ET020053	1	16	15	2001	-99	4	0	3	4	88
ET020055	1	7	30	1998	-99	8	80	5	3	88
ET020056	1	7	6	2001	-99	8	2	4	3	88
ET020056	2	8	6	2001	-99	8	2	4	3	88
ET020056	3	11	6	2001	-99	8	2	4	3	88
ET020058	1	12	15	2001	-99	4	0	4	4	88
ET020058	2	12	15	1997	-99	4	3	4	4	88
ET020061	1	13	15	2001	2001	2	2	4	9	88
ET020061	2	8	6	1998	-99	8	2	4	5	88
ET020062	1	8	6	1995	-99	8	2	5	1	8
ET020064	1	8	30	1998	1999	7	2	1	5	88
ET020065	1	5	13	2000	2002	4	2	5	2	88
ET020065	2	8	6	1998	-99	8	2	5	3	88
ET020067	1	7	30	1999	1999	4	2	4	5	88
ET020068	1	7	6	1999	-99	7	6	4	5	88
ET020070	1	8	6	1993	-99	11	80	4	3	5
ET020071	1	7	15	1999	-99	2	1	5	5	88
ET020071	2	16	15	1999	-99	4	5	5	6	7
ET020074	1	16	15	1999	-99	4	0	5	4	88
ET020075	1	8	6	1999	-99	8	2	5	5	7
ET020075	2	12	15	2001	-99	4	0	3	4	88
ET020076	1	5	13	2001	-99	4	13	5	3	7
ET020076	2	5	13	2001	-99	4	13	5	3	7
ET020078	1	8	6	1999	-99	5	1	4	5	88
ET020078	2	7	6	1999	-99	5	1	4	5	88
ET020078	3	16	15	1999	-99	5	0	4	6	88
ET020079	1	7	6	1995	-99	11	2	4	5	3
ET020079	2	8	6	1995	-99	11	2	4	5	3
ET020079	3	11	6	1995	-99	11	2	4	5	3
ET020080	1	19	15	1999	-99	8	15	3	1	2
ET020080	2	8	6	2001	-99	8	2	4	2	88
ET020081	1	11	30	1999	2002	10	2	1	5	88
ET020082	1	7	6	2001	-99	8	2	2	3	88
ET020082	2	8	6	2001	-99	8	2	2	3	88
ET020089	1	7	6	1999	-99	3	1	4	5	88
ET020089	2	8	6	1999	-99	3	2	4	9	88
ET020090	1	11	30	2000	2001	10	2	1	5	88
ET020093	1	16	15	2001	2002	4	0	4	4	88
ET020095	1	12	15	1994	-99	4	80	5	1	4
ET020095	2	19	15	1994	2002	11	80	5	1	4
ET020097	1	16	8	1999	-99	5	0	4	4	6
ET020097	2	16	8	1999	-99	5	15	4	4	6
ET020098	1	8	6	2000	2001	8	3	3	3	88
ET020099	1	11	30	1999	1999	4	5	1	5	88
ET020100	1	7	6	1999	-99	5	2	4	5	88
ET030004	1	16	36	2000	-99	4	80	3	4	5
ET030008	1	7	6	1999	-99	5	3	4	5	88
ET030008	2	8	6	2000	-99	8	3	4	9	88
ET030010	1	8	6	2000	-99	8	2	4	1	88
ET030010	2	16	15	2002	-99	4	0	5	6	8
ET030012	1	7	6	1999	-99	5	2	4	5	88
ET030012	2	8	6	1999	-99	8	3	4	9	88
ET030013	1	11	30	2001	2001	5	2	4	5	88
ET030019	1	7	6	1999	-99	8	2	4	5	88
ET030021	1	9	6	2001	-99	5	2	2	9	88
ET030021	2	8	6	1998	-99	10	1	5	2	88
ET030022	1	18	77	2001	-99	4	80	4	4	1
ET030023	1	16	15	2000	-99	8	6	5	2	4
ET030024	1	8	6	2001	-99	8	2	5	3	88
ET030024	2	5	13	2001	-99	4	2	5	2	88
ET030025	1	7	15	2002	-99	10	2	5	3	88
ET030027	1	7	6	2001	2001	5	1	4	5	88
ET030028	1	7	6	1999	-99	10	2	4	5	88
ET030032	1	7	6	1999	-99	8	2	5	3	88
ET030032	2	8	6	1999	-99	8	2	5	3	88
ET030034	1	7	6	1999	-99	5	2	4	5	88
ET030035	1	16	15	1999	-99	10	80	4	4	88
ET030036	1	8	6	1999	-99	8	2	5	1	7
ET030036	2	7	6	1999	-99	8	2	5	5	88
ET030037	1	5	13	1999	2000	4	2	5	1	88
ET030037	2	19	6	1999	-99	10	80	5	5	88
ET030037	3	16	36	2001	-99	10	2	5	3	88
ET030039	1	19	15	2001	2002	7	5	3	1	5
ET030041	1	7	6	2000	-99	5	2	4	5	88
ET030041	2	16	7	2001	-99	10	8	4	4	88
ET030041	3	16	15	2002	-99	5	0	4	6	88
ET030046	1	9	5	1997	-99	8	1	5	5	88
ET030046	2	5	13	1999	1999	4	3	4	9	88
ET030051	1	5	13	2001	-99	4	2	5	9	88
ET030052	1	16	15	2001	-99	10	0	4	6	4
ET030055	1	11	6	2000	2000	7	2	4	5	88
ET030056	1	7	6	2001	-99	8	3	5	3	88
ET030056	2	8	6	2001	-99	8	3	5	3	88
ET030056	3	18	8	1994	-99	4	80	5	4	88
ET030056	4	18	15	2000	-99	9	80	4	1	3
ET030059	1	8	6	1999	-99	11	2	4	5	88
ET030061	1	7	30	2001	-99	3	2	1	5	88
ET030062	1	7	6	2000	-99	11	6	5	5	88
ET030064	1	19	22	2001	-99	10	15	3	2	88
ET030066	1	7	15	2000	-99	11	2	4	5	88
ET030066	2	16	15	2002	-99	5	0	4	6	88
ET030067	1	5	13	2002	-99	4	7	4	9	88
ET030068	1	7	6	2001	2001	5	2	5	5	88
ET030069	1	7	6	2001	-99	5	1	4	5	88
ET030069	2	8	6	1999	-99	8	2	4	9	88
ET030071	1	19	15	1999	-99	10	0	4	5	88
ET030072	1	18	77	1996	-99	4	80	4	4	3
ET030072	2	16	15	2002	-99	4	80	3	4	88
ET030074	1	7	6	1999	-99	5	1	4	5	88
ET030074	2	18	77	1999	-99	10	0	4	2	88
ET030077	1	8	6	1999	-99	8	2	4	5	88
ET030078	1	9	6	2002	-9999	7	80	4	5	3
ET030079	1	16	15	2000	2002	4	1	5	4	88
ET030080	1	8	6	1990	2000	8	2	4	1	88
ET030081	1	7	6	1999	-99	8	3	5	3	88
ET030082	1	7	6	2001	2001	10	2	1	5	88
ET030083	1	7	6	2001	2001	4	1	3	3	88
ET030085	1	16	15	2001	-99	4	0	5	4	88
ET030085	2	18	15	2001	-99	11	0	5	1	88
ET030085	3	19	15	2001	2001	10	0	3	1	88
ET030089	1	8	6	1999	-99	8	2	5	1	5
ET030091	1	9	6	2001	2001	11	1	3	9	88
ET030093	1	8	6	2000	-99	8	2	4	5	8
ET030095	1	7	6	1999	-99	5	2	4	5	88
ET030096	1	9	6	1997	-99	10	80	5	5	88
ET030096	2	1	5	1998	-99	8	80	5	88	88
ET030096	3	8	6	1997	-99	10	2	4	3	88
ET030097	1	7	6	2001	2001	4	2	4	5	88
ET030098	1	8	6	1998	-99	8	2	5	3	88
ET030098	2	7	6	1998	-99	8	2	5	3	88
ET030100	1	7	6	1999	-99	5	2	4	5	88
ET030100	2	8	15	1999	-99	8	2	4	9	88
ET030100	3	7	6	1999	-99	10	1	4	5	88
ET040014	1	14	36	2001	2001	4	1	1	1	2
ET040018	1	13	38	2001	-99	5	2	2	4	3
ET040034	1	18	38	2001	-99	8	80	4	4	1
ET040037	1	4	39	1998	-99	8	80	4	1	2
ET040037	2	3	39	1998	-99	5	80	4	1	2
ET040040	1	19	77	1999	-99	10	2	5	8	88
ET040043	1	7	15	2000	-99	10	2	1	5	88
ET040054	1	8	6	1999	-99	8	2	5	5	88
ET040058	1	16	38	1997	-99	4	80	5	4	88
ET040066	1	11	22	2001	2002	2	80	2	1	2
ET040068	1	16	38	2001	-77	5	0	3	4	88
ET040073	1	16	38	1995	-99	4	80	3	4	88
ET040084	1	12	38	1994	-99	4	80	4	4	88
ET040088	1	16	38	2002	-99	4	15	4	4	88
ET040088	2	19	38	2002	-99	4	15	4	1	88
ET050002	1	3	39	1997	-99	5	80	4	2	88
ET050002	2	4	39	1999	-99	8	80	4	2	88
ET050003	1	3	39	1999	-99	5	80	4	1	2
ET050003	2	4	39	1999	-99	8	80	4	1	2
ET050014	1	4	39	1999	-99	7	80	4	1	2
ET050014	2	8	6	2000	2001	10	1	4	3	88
ET050014	3	3	39	1999	-99	7	80	4	1	2
ET050016	1	4	39	1998	-99	11	80	4	2	6
ET050016	2	3	39	1998	-99	4	80	4	2	6
ET050016	3	14	39	1999	-99	9	80	4	2	6
ET050019	1	3	39	1998	-99	4	80	3	2	88
ET050019	2	4	39	1998	-99	11	80	3	2	88
ET050024	1	3	39	1998	-99	5	80	3	2	88
ET050024	2	4	39	1998	-99	8	80	3	2	88
ET050025	1	4	39	1999	-99	8	1	5	1	2
ET050025	2	9	6	2000	-99	10	1	4	5	88
ET050025	3	3	39	1999	-99	5	1	5	1	2
ET050026	1	4	39	1998	-99	8	80	4	2	1
ET050026	2	3	39	1998	-99	5	80	4	4	1
ET050027	1	3	39	1999	-99	5	80	4	2	88
ET050027	2	4	39	1999	-99	11	80	4	2	88
ET050028	1	3	39	1997	-99	5	80	4	2	88
ET050028	2	4	39	1997	-99	8	80	4	2	88
ET050033	1	14	39	1998	-99	9	80	3	2	88
ET050037	1	3	39	1997	2002	5	80	3	2	88
ET050037	2	4	39	1997	2002	8	80	3	2	88
ET050037	3	14	39	1997	2002	9	80	3	2	88
ET050041	1	3	39	1999	-99	5	80	4	2	88
ET050041	2	4	39	1999	-99	11	80	4	2	88
ET050043	1	13	13	1997	-99	4	80	4	3	88
ET050043	2	17	6	1999	-99	4	80	4	5	88
ET050043	3	8	6	1999	-99	4	80	4	3	88
ET050043	4	7	6	1997	-99	4	80	4	5	88
ET050046	1	4	39	1998	-99	9	80	3	2	88
ET050047	1	4	39	1998	-99	11	80	4	1	2
ET050047	2	14	39	1998	-99	9	80	4	1	2
ET050047	3	3	39	1998	-99	4	80	4	1	2
ET050050	1	4	39	1997	-99	8	80	4	4	2
ET050050	2	3	39	1997	-99	5	80	4	4	2
ET050052	1	16	77	2002	-77	4	80	4	4	88
ET050052	2	3	39	1998	2003	7	80	4	2	88
ET050052	3	4	39	1998	-99	7	80	4	2	88
ET050052	4	14	39	1998	-99	7	80	4	2	88
ET050053	1	4	39	1998	-99	9	80	3	2	1
ET050054	1	19	6	2002	2003	4	2	3	2	88
ET050054	2	14	39	1999	-99	9	80	4	2	88
ET050055	1	14	39	1998	-99	9	80	4	1	2
ET050056	1	3	39	1999	-99	5	80	4	1	2
ET050056	2	4	39	1999	-99	8	80	4	1	2
ET050059	1	3	39	1998	-99	5	80	3	2	88
ET050059	2	4	39	1998	-99	8	80	3	2	88
ET050061	1	3	39	1998	-99	5	80	4	2	88
ET050061	2	4	39	1998	-99	11	80	4	2	88
ET050061	3	14	39	1998	-99	9	80	4	2	88
ET050064	1	3	39	1998	-99	4	80	5	1	2
ET050064	2	4	39	1998	-99	11	80	5	1	2
ET050065	1	4	39	1998	-99	8	80	4	2	1
ET050065	2	3	39	1998	-99	5	80	4	2	1
ET050067	1	3	39	2000	-99	7	80	4	2	8
ET050067	2	4	39	2000	-99	7	80	4	2	8
ET050070	1	4	39	1997	-99	8	80	4	2	88
ET050070	2	3	39	1997	-99	5	80	4	2	3
ET050072	1	12	38	2002	-99	4	80	4	4	88
ET050072	2	18	77	2002	-99	77	80	5	1	2
ET050072	3	14	39	-77	-99	11	80	4	1	2
ET050074	1	3	39	1999	-99	7	80	4	2	2
ET050074	2	4	39	1999	-99	7	80	4	2	2
ET050075	1	3	39	1999	-99	5	80	4	2	1
ET050075	2	4	39	1999	-99	8	80	4	2	88
ET050077	1	3	39	1998	-99	4	80	4	2	88
ET050077	2	14	39	1999	-99	9	80	4	2	88
ET050077	3	4	39	1998	-99	11	80	4	2	88
ET050081	1	3	39	1997	-99	5	80	4	2	88
ET050081	2	4	39	1997	-99	8	80	4	2	88
ET050082	1	3	39	2001	-99	5	80	4	2	3
ET050082	2	4	39	2001	-99	8	80	3	2	3
ET050083	1	16	38	2000	-99	4	6	4	4	88
ET050091	1	1	36	-77	-99	4	80	4	2	88
ET050094	1	4	39	1998	-99	11	80	3	2	88
ET050094	2	3	39	1998	-99	4	80	3	2	88
ET050096	1	19	22	2000	-99	8	4	4	1	2
ET060002	1	5	13	2001	-99	4	80	4	1	4
ET060003	1	5	13	2001	-99	4	80	4	2	88
ET060004	1	5	13	1999	2000	4	80	4	2	88
ET060004	2	5	13	2000	2001	4	80	4	2	88
ET060004	3	5	13	2001	-99	4	80	4	2	88
ET060005	1	14	39	2000	-99	2	80	2	2	88
ET060005	2	5	13	2001	-99	4	80	4	2	4
ET060005	3	3	39	1998	-99	5	80	4	2	4
ET060005	4	4	39	1998	-99	4	80	4	2	4
ET060006	1	5	13	2001	-99	4	80	4	2	5
ET060007	1	5	13	2000	-99	2	1	2	2	88
ET060007	2	5	15	2001	-99	4	80	2	2	4
ET060008	1	5	1	2001	-99	4	1	4	2	88
ET060009	1	5	13	2000	2001	4	1	4	1	2
ET060009	2	5	13	2001	-99	4	1	4	1	2
ET060010	1	5	13	1991	1998	4	80	5	2	8
ET060010	2	5	13	1998	1999	4	80	5	2	7
ET060010	3	5	13	1999	2000	4	80	5	2	8
ET060010	4	5	13	2000	2001	4	80	5	2	1
ET060010	5	5	13	2001	-99	4	80	5	2	7
ET060011	1	5	13	2001	-99	4	2	4	2	88
ET060012	1	7	13	2001	-99	4	80	4	2	88
ET060014	1	3	39	1999	-99	5	80	4	1	2
ET060014	2	4	39	1999	-99	4	80	4	1	2
ET060014	3	5	33	2001	-99	11	80	4	2	1
ET060016	1	5	13	1999	2000	4	80	4	2	88
ET060016	2	5	13	2000	2001	4	80	4	2	88
ET060016	3	5	13	2001	-99	4	80	4	2	88
ET060017	1	5	13	2000	2001	4	2	4	2	88
ET060017	2	5	13	2001	-99	4	2	4	2	88
ET060018	1	5	13	2001	-99	4	80	3	2	88
ET060018	2	5	1	1999	-99	2	80	3	2	88
ET060019	1	5	13	1999	2000	4	80	5	2	5
ET060019	2	5	13	2000	2001	4	80	5	2	1
ET060019	3	5	13	2001	-99	4	80	5	2	7
ET060020	1	5	13	1998	1999	4	2	4	1	2
ET060020	2	5	13	1999	2000	4	2	4	1	2
ET060020	3	5	13	2000	2001	4	2	4	1	2
ET060020	4	5	13	2001	-99	4	2	4	1	2
ET060021	1	3	39	1998	-99	5	80	4	2	1
ET060021	2	4	39	1998	-99	4	80	4	2	1
ET060021	3	5	33	1999	-99	11	80	4	2	88
ET060021	4	5	13	1998	-99	2	80	4	2	88
ET060023	1	5	13	1999	2000	4	80	4	2	88
ET060023	2	5	13	2000	2001	4	80	4	2	88
ET060023	3	5	13	2001	-99	4	80	4	2	88
ET060024	1	5	13	2000	2001	4	80	5	2	4
ET060024	2	5	13	2001	-99	4	80	5	2	4
ET060025	1	5	15	1998	2001	2	80	2	9	88
ET060025	2	14	36	2001	2001	4	80	4	1	88
ET060025	3	14	36	2000	2000	4	80	4	2	88
ET060026	1	5	13	2001	-99	4	80	4	1	2
ET060027	1	5	13	1999	-99	4	80	4	1	5
ET060028	1	5	13	1998	1999	4	80	4	2	4
ET060028	2	5	13	1999	2000	4	80	4	2	4
ET060028	3	5	13	2000	2001	4	80	4	2	4
ET060028	4	5	13	2001	-99	4	80	2	2	4
ET060029	1	3	39	1998	-99	5	80	4	2	7
ET060029	2	4	39	1998	-99	4	80	4	2	7
ET060029	3	5	39	2000	-99	2	80	5	2	88
ET060030	1	5	13	2001	-99	4	80	4	2	88
ET060031	1	19	15	2000	-99	2	80	4	2	1
ET060031	2	5	13	2001	-99	4	80	4	1	88
ET060032	1	5	15	1999	-99	2	1	3	2	5
ET060032	2	5	1	2000	-99	4	1	4	2	1
ET060033	1	5	13	2001	2002	4	80	4	2	88
ET060034	1	5	13	2001	-99	4	1	4	2	88
ET060035	1	5	13	2001	-99	4	80	4	2	88
ET060036	1	3	39	1998	-99	5	80	3	2	1
ET060036	2	4	39	1998	-99	4	80	3	2	8
ET060036	3	5	15	1999	-99	2	80	5	2	1
ET060036	4	5	13	1997	-99	1	80	5	7	8
ET060037	1	5	13	1999	2000	4	90	4	1	2
ET060037	2	5	13	2000	2001	4	90	4	1	2
ET060037	3	5	13	2001	-99	4	90	4	1	2
ET060037	4	5	15	2000	-99	1	1	4	1	2
ET060037	5	3	39	1997	-99	5	80	2	1	2
ET060037	6	4	39	1997	-99	4	80	2	1	2
ET060038	1	5	13	2000	2001	4	80	5	2	88
ET060038	2	5	13	2001	-99	4	80	5	2	88
ET060038	3	14	39	1998	-99	7	17	4	2	88
ET060039	1	5	13	1997	1998	4	1	4	1	2
ET060039	2	5	13	1998	1999	4	1	4	1	2
ET060039	3	5	13	1999	2000	4	1	4	1	2
ET060039	4	5	13	2000	2001	4	1	4	1	2
ET060039	5	5	13	2001	-99	4	1	4	1	2
ET060039	6	5	15	1998	-99	2	1	4	1	2
ET060040	1	14	39	1998	-99	7	80	5	7	2
ET060040	2	5	15	2001	-99	2	80	5	2	8
ET060041	1	5	13	1997	1998	4	1	4	1	2
ET060041	2	5	13	1998	1999	4	1	4	1	2
ET060041	3	5	13	1999	2000	4	1	4	1	2
ET060041	4	5	13	2000	2001	4	1	4	1	2
ET060042	1	5	13	1999	2001	2	80	4	2	1
ET060043	1	5	13	2001	-99	4	1	4	2	88
ET060043	2	3	39	1998	2002	1	80	4	2	88
ET060043	3	4	39	1998	2002	1	80	4	2	88
ET060046	1	5	15	1999	-99	2	80	4	2	4
ET060047	1	5	13	2000	-99	2	80	4	2	88
ET060047	2	4	39	2000	-99	2	80	2	2	88
ET060047	3	3	39	2000	-99	5	80	4	2	4
ET060047	4	4	19	2000	-99	4	80	4	2	88
ET060048	1	5	13	2001	-99	4	80	2	2	1
ET060049	1	5	13	2001	2002	4	80	4	2	88
ET060049	2	3	39	1998	-99	5	80	4	2	88
ET060049	3	4	39	1998	-99	4	80	4	2	88
ET060050	1	5	13	2001	-99	4	80	4	2	4
ET060051	1	5	13	2001	-99	4	80	5	2	88
ET060051	2	3	39	1998	-99	5	80	5	1	2
ET060051	3	4	39	1998	-99	4	80	5	1	2
ET060052	1	5	13	2001	-99	4	80	3	2	88
ET060053	1	10	1	1999	-99	6	1	3	2	88
ET060053	2	5	15	1999	-99	2	1	4	2	88
ET060053	3	10	15	2002	-99	6	1	4	2	88
ET060053	4	5	13	2001	-99	4	1	4	2	88
ET060054	1	5	13	2001	-99	4	1	4	2	88
ET060055	1	5	13	1999	2000	4	80	4	2	4
ET060055	2	5	13	2000	2001	4	80	4	2	4
ET060055	3	5	13	2001	-99	4	80	4	2	4
ET060056	1	5	13	1999	2000	4	80	4	2	88
ET060056	2	5	13	2000	2001	4	80	4	2	88
ET060056	3	5	13	2001	-99	4	80	4	2	88
ET060056	4	1	36	1999	2000	4	80	4	2	88
ET060059	1	5	13	1999	-99	4	80	3	1	2
ET060059	2	5	15	1999	-99	2	80	4	2	1
ET060060	1	5	13	1999	2000	4	80	4	2	1
ET060060	2	5	13	2000	2001	4	80	4	2	1
ET060060	3	5	13	2001	-99	4	80	4	2	4
ET060061	1	5	13	2000	-99	4	80	3	2	88
ET060063	1	5	13	2000	2001	4	80	4	2	88
ET060063	2	5	13	2001	-99	4	80	4	2	88
ET060063	3	1	13	2001	2001	5	80	4	2	88
ET060065	1	5	13	1999	2000	4	2	4	1	2
ET060065	2	5	13	2000	2001	4	2	4	1	2
ET060065	3	5	13	2001	-99	4	2	4	1	2
ET060065	4	5	15	1998	2001	11	1	4	1	2
ET060066	1	3	39	2000	-99	5	80	4	1	2
ET060066	2	4	39	2000	-99	4	80	4	1	2
ET060066	3	1	5	2001	2001	4	1	4	1	2
ET060066	4	5	15	2000	-99	2	1	4	1	2
ET060067	1	5	13	1999	2000	4	80	4	2	88
ET060067	2	5	13	2000	2001	4	80	4	2	88
ET060067	3	5	13	2001	-99	4	80	4	2	88
ET060070	1	5	13	1999	-99	4	80	4	1	2
ET060073	1	5	13	1998	1999	4	80	4	2	4
ET060073	2	5	13	1999	2000	4	80	2	2	4
ET060073	3	5	13	2000	2001	4	80	4	2	88
ET060073	4	5	13	2001	2001	4	80	4	2	4
ET060073	5	14	39	2001	-99	2	80	4	2	4
ET060073	6	3	39	1998	-99	3	80	4	2	88
ET060073	7	4	39	1998	-99	4	80	4	2	4
ET060080	1	5	13	1997	1998	4	2	4	1	2
ET060080	2	5	13	1998	1999	4	2	4	1	2
ET060080	3	5	13	2001	-99	4	2	4	1	2
ET060081	1	3	39	1998	-99	5	80	4	2	88
ET060081	2	4	39	1998	-99	4	80	4	2	88
ET060081	3	5	13	1999	-99	2	80	4	2	88
ET060082	1	5	13	2002	-99	4	1	4	4	2
ET060083	1	3	39	1998	-99	5	80	4	2	88
ET060083	2	4	39	1998	-99	4	80	4	2	88
ET060083	3	5	13	1999	-99	2	80	4	2	1
ET060083	4	5	13	2002	-99	4	80	4	2	1
ET060085	1	5	13	2001	-99	3	80	4	2	88
ET060086	1	5	13	2001	-99	4	80	4	2	88
ET060086	2	4	39	2000	-99	2	80	4	2	88
ET060086	3	3	39	1998	-99	5	80	4	2	4
ET060086	4	4	39	1998	-99	4	80	4	2	4
ET060087	1	5	15	2001	-99	3	80	4	2	88
ET060088	1	5	13	1999	2000	4	2	4	1	2
ET060088	2	5	13	2000	2001	4	2	4	1	2
ET060088	3	5	13	2001	-99	4	2	4	1	2
ET060091	1	1	36	2001	2002	4	80	2	9	88
ET060093	1	5	13	2001	-99	4	1	4	2	88
ET060097	1	5	13	2001	-99	4	2	4	2	88
ET060098	1	5	15	2002	-99	4	1	3	2	88
ET060100	1	5	13	2000	-99	4	80	3	2	1
ET070001	1	4	39	1998	-99	4	80	4	2	88
ET070001	2	3	39	1998	-99	5	80	4	2	88
ET070001	3	19	39	2000	-99	2	80	4	2	88
ET070003	1	3	39	1997	-99	5	80	4	1	2
ET070003	2	4	39	1997	-99	4	80	4	1	2
ET070003	3	5	13	1999	2001	4	1	4	1	88
ET070005	1	3	39	1998	-99	5	80	4	2	5
ET070005	2	4	39	1998	-99	4	80	4	2	88
ET070006	1	19	15	2000	-99	2	80	4	2	4
ET070006	2	3	39	1998	-99	5	80	4	2	4
ET070006	3	4	39	1998	-99	4	80	4	2	4
ET070007	1	3	39	1998	-99	5	80	2	1	2
ET070007	2	4	39	1998	-99	4	80	2	1	2
ET070007	3	13	11	2001	2001	4	1	1	3	88
