CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
138050	1	8	15
138050	2	9	5
138051	1	6	13
138051	2	12	7
138053	1	12	12
138053	2	7	8
148001	1	12	18
148001	2	9	2
148002	1	12	20
148003	1	12	20
148004	1	12	20
148005	1	12	10
148005	2	10	7
148005	3	10	3
148006	1	6	17
148006	2	12	3
148007	1	12	20
148008	1	7	20
148009	1	12	10
148009	2	7	10
148010	1	6	7
148010	2	9	6
148010	3	12	5
148010	4	7	2
148011	1	12	12
148011	2	9	5
148011	3	7	3
148012	1	2	11
148012	2	7	9
148013	1	12	20
148014	1	12	14
148014	2	12	6
148015	1	12	10
148015	2	7	10
148016	1	12	20
148017	1	9	11
148017	2	7	9
148018	1	12	20
148019	1	12	20
148020	1	12	20
148021	1	12	13
148021	2	6	7
148022	1	12	20
148023	1	12	20
148024	1	12	16
148024	2	9	4
148025	1	12	20
148026	1	12	20
148027	1	12	20
148028	1	12	18
148028	2	9	2
148029	1	12	20
148030	1	12	20
148031	1	12	20
148033	1	7	15
148033	2	9	5
148034	1	12	20
148035	1	9	9
148035	2	12	11
148036	1	9	20
148038	1	12	20
148039	1	12	20
148040	1	6	10
148040	2	7	3
148040	3	9	5
148040	4	12	2
148041	1	12	20
148042	1	6	14
148042	2	12	6
148043	1	9	12
148043	2	9	6
148043	3	9	2
148044	1	12	20
148045	1	12	13
148045	2	9	7
148046	1	9	7
148046	2	12	13
148047	1	12	15
148047	2	7	5
148048	1	12	13
148048	2	6	7
148049	2	12	20
148051	1	12	14
148051	2	9	6
158001	1	11	20
158002	1	1	12
158002	2	9	8
158003	1	12	20
158004	1	11	20
158005	1	8	20
158006	1	12	20
158007	1	7	20
158008	1	11	9
158008	2	11	4
158008	3	11	4
158008	5	1	3
158009	1	1	20
158010	1	9	13
158010	2	1	7
158011	1	12	20
158013	1	12	20
158014	1	1	15
158014	2	11	5
158015	1	6	15
158015	2	12	5
158016	1	1	17
158016	2	11	3
158018	1	11	15
158018	2	9	5
158019	1	12	20
158021	1	6	10
158021	2	7	7
158021	3	11	3
158022	1	1	20
158023	1	12	20
158024	1	6	15
158024	2	7	2
158024	3	6	3
158025	1	9	15
158025	2	6	5
158026	1	7	20
158033	1	7	20
158034	1	12	20
158035	1	9	15
158035	2	7	5
158036	1	1	20
158037	1	9	15
158037	2	11	5
158038	1	9	20
158039	1	10	20
158040	1	11	20
158042	1	2	14
158042	2	1	6
158043	1	1	8
158043	2	7	7
158043	3	11	5
158044	1	7	8
158044	2	6	7
158044	3	7	5
158045	3	12	20
158048	1	1	20
158049	1	1	10
158049	2	6	10
158050	1	12	9
158050	2	11	6
158050	3	11	5
158051	1	1	8
158051	2	11	7
158051	3	6	5
158052	1	12	20
158053	1	1	7
158053	2	1	7
158053	3	1	6
158054	1	1	20
158055	1	11	20
158056	1	1	20
158057	1	7	20
168001	1	11	10
168001	2	1	7
168001	3	2	3
168002	1	12	20
168004	1	12	11
168004	2	2	5
168004	3	1	4
168005	1	1	5
168005	2	12	11
168005	3	7	4
168006	1	12	12
168006	2	1	6
168006	3	7	2
168007	1	12	11
168007	2	7	4
168007	3	2	3
168007	4	1	2
168008	1	1	7
168008	2	7	5
168008	3	12	8
168009	1	7	20
168010	1	12	16
168010	2	6	4
168011	1	12	12
168011	2	1	5
168011	3	2	3
168012	1	11	11
